simplified	TH	example_TH
卑鄙	ต่ำช้า	วิธีการต่ำช้าแบบนี้ทำให้คนโกรธ
悲哀	เศร้า	หลังได้ยินข่าว เขารู้สึกเศร้ามาก
悲惨	น่าเศร้า	นั่นเป็นช่วงประวัติศาสตร์ที่น่าเศร้า
北极	ขั้วโลกเหนือ	นักวิทยาศาสตร์กำลังทำวิจัยที่ขั้วโลกเหนือ
备份	สำรองข้อมูล	โปรดสำรองไฟล์สำคัญก่อน
备忘录	บันทึกช่วยจำ	เธอเขียนประเด็นสำคัญไว้ในบันทึกช่วยจำ
背叛	ทรยศ	เขาไม่อาจยอมรับการทรยศของเพื่อนได้
背诵	ท่องจำ	นักเรียนกำลังท่องจำบทเรียน
被动	เชิงรับ	ในการเจรจา เราไม่ควรเป็นฝ่ายเชิงรับเกินไป
被告	จำเลย	จำเลยปฏิเสธข้อกล่าวหาทั้งหมด
贝壳	เปลือกหอย	เด็กเก็บเปลือกหอยริมทะเล
奔波	วิ่งวุ่น	เขาวิ่งวุ่นไปทั่วเพื่องาน
奔驰	แล่นเร็ว	รถแล่นเร็วบนทางหลวง
本能	สัญชาตญาณ	การปกป้องลูกเป็นสัญชาตญาณของพ่อแม่
本钱	ทุน	การทำธุรกิจต้องใช้ทุน
本人	ตัวฉันเอง	ตัวฉันเองยินดีรับผิดชอบ
本身	ตัวมันเอง	แผนนี้ตัวมันเองไม่มีปัญหา
本事	ความสามารถ	เขามีความสามารถมาก
笨拙	งุ่มง่าม	ท่าทางของเขาดูงุ่มง่ามเล็กน้อย
崩溃	ล่ม	ระบบล่มอย่างกะทันหัน
甭	ไม่ต้อง	เรื่องนี้คุณไม่ต้องกังวล
蹦	กระโดดโลดเต้น	ลูกสุนัขกระโดดโลดเต้นบนสนามหญ้า
迸发	ระเบิดออกมา	เสียงปรบมือระเบิดออกมาจากฝูงชน
逼迫	บังคับ	พวกเขาบังคับให้เขาเซ็นสัญญา
鼻涕	น้ำมูก	เด็กเป็นหวัดและมีน้ำมูกไหลตลอด
比方	ตัวอย่าง	ตัวอย่างเช่น เราลองทำหนึ่งเดือนก่อนก็ได้
比喻	อุปมา	อุปมานี้เห็นภาพมาก
比重	สัดส่วน	สัดส่วนของภาคบริการสูงขึ้นเรื่อยๆ
鄙视	ดูถูก	อย่าดูถูกความพยายามของคนอื่น
弊病	ปัญหา	ระบบนี้มีปัญหาไม่น้อย
弊端	ข้อเสีย	แผนใหม่แก้ไขข้อเสียของระบบเก่า
臂	แขน	แขนขวาของเขาได้รับบาดเจ็บ
闭塞	ห่างไกลและปิดกั้น	เมื่อก่อนการคมนาคมของหมู่บ้านภูเขานี้ห่างไกลและลำบากมาก
编织	ถักทอ	คุณยายกำลังถักเสื้อกันหนาวตัวหนึ่ง
边疆	ชายแดน	ทหารจำนวนมากเฝ้าปกป้องชายแดนของประเทศ
边界	เขตแดน	สองประเทศกำหนดเขตแดนกันใหม่
边境	พื้นที่ชายแดน	พื้นที่ชายแดนเพิ่มการตรวจความปลอดภัย
边缘	ขอบ	แก้วถูกวางไว้ตรงขอบโต๊ะ
鞭策	กระตุ้น	คำพูดของครูกระตุ้นฉันมาตลอด
扁	แบน	กล่องใบนี้ทั้งกว้างและแบน
贬低	ดูแคลน	อย่าดูแคลนความพยายามของคนอื่นอย่างง่ายๆ
贬义	ความหมายเชิงลบ	คำนี้ในที่นี้มีความหมายเชิงลบ
便利	สะดวก	รถไฟใต้ดินทำให้การเดินทางสะดวกยิ่งขึ้น
便条	กระดาษโน้ต	เขาทิ้งกระดาษโน้ตไว้บนโต๊ะ
便于	สะดวกต่อ	การออกแบบนี้สะดวกต่อการใช้งานของผู้สูงอายุ
变故	เหตุไม่คาดคิด	ที่บ้านเกิดเหตุไม่คาดคิดขึ้นอย่างกะทันหัน
变迁	การเปลี่ยนแปลง	การเปลี่ยนแปลงของเมืองทำให้เขารู้สึกสะเทือนใจมาก
变质	เสื่อมคุณภาพ	นมจะเสียถ้าวางทิ้งไว้นาน
辨认	ระบุ	ตำรวจให้เขาระบุคนในรูปถ่าย
辩护	แก้ต่าง	ทนายความแก้ต่างให้จำเลย
辩解	แก้ตัว	เขาพยายามแก้ตัวให้ความผิดของตนเอง
辩证	มองอย่างรอบด้าน	เราควรมองปัญหานี้อย่างรอบด้าน
辫子	เปีย	เด็กหญิงคนนั้นถักเปียไว้สองข้าง
遍布	กระจายอยู่ทั่ว	พืชชนิดนี้กระจายอยู่ทั่วประเทศ
标本	ตัวอย่างจัดแสดง	พิพิธภัณฑ์จัดแสดงตัวอย่างสัตว์
标记	เครื่องหมาย	โปรดทำเครื่องหมายข้างย่อหน้าสำคัญ
标题	ชื่อเรื่อง	ชื่อเรื่องของบทความนี้ดึงดูดมาก
表决	ลงคะแนน	ผู้แทนจะลงคะแนนต่อข้อเสนอ
表态	แสดงจุดยืน	เขายังไม่ได้แสดงจุดยืนต่อสาธารณะ
表彰	ยกย่อง	บริษัทยกย่องพนักงานดีเด่น
憋	กลั้น	เขากลั้นหัวเราะและไม่ได้พูดอะไร
别墅	วิลล่า	พวกเขาซื้อวิลล่าหลังหนึ่งในชานเมือง
别致	มีเอกลักษณ์	การตกแต่งของร้านกาแฟนี้มีเอกลักษณ์มาก
别扭	ขัดหู	ประโยคนี้ฟังดูขัดหูนิดหน่อย
濒临	ใกล้จะ	สัตว์ชนิดนี้ใกล้จะสูญพันธุ์
冰雹	ลูกเห็บ	เมื่อบ่ายวานนี้มีลูกเห็บตกหนักมาก
丙	ลำดับที่สาม	การแข่งขันของกลุ่มที่สามเริ่มในช่วงบ่าย
并非	มิใช่	เรื่องนี้มิใช่อย่างที่คุณคิด
并列	เสมอกัน	สองโครงการนี้ได้อันดับหนึ่งเสมอกัน
剥削	การเอารัดเอาเปรียบ	สังคมเก่ามีการเอารัดเอาเปรียบอย่างรุนแรง
拨	กดหมายเลข	กรุณากดหมายเลขโทรศัพท์นี้
播种	หว่านเมล็ด	ชาวนาเริ่มหว่านเมล็ดในฤดูใบไม้ผลิ
波浪	คลื่น	บนผิวน้ำทะเลมีคลื่นใหญ่ซัดขึ้นมา
波涛	คลื่นใหญ่	เรือแล่นฝ่าคลื่นใหญ่ไปข้างหน้า
伯母	ป้าสะใภ้	สุดสัปดาห์นี้ฉันจะไปเยี่ยมป้าสะใภ้
博大精深	กว้างขวางและลึกซึ้ง	วัฒนธรรมจีนกว้างขวางและลึกซึ้ง
博览会	งานมหกรรม	งานมหกรรมนานาชาติดึงดูดบริษัทจำนวนมาก
搏斗	ต่อสู้	ตำรวจต่อสู้กับคนร้าย
薄弱	อ่อนแอ	พื้นฐานไวยากรณ์ของเขาค่อนข้างอ่อนแอ
不顾	ไม่คำนึงถึง	เขาวิ่งเข้าไปโดยไม่คำนึงถึงอันตราย
不愧	สมกับเป็น	เขาสมกับเป็นผู้เชี่ยวชาญที่มีประสบการณ์จริงๆ
不料	คาดไม่ถึงว่า	คาดไม่ถึงว่าการประชุมถูกยกเลิกกะทันหัน
不像话	ไม่เหมาะสมอย่างยิ่ง	คุณปฏิบัติต่อแขกแบบนี้ไม่เหมาะสมอย่างยิ่ง
不屑一顾	ไม่แยแส	เขาไม่แยแสต่อข่าวลือเหล่านี้
哺乳	ให้นม	แม่กำลังให้นมทารก
捕捉	จับภาพ	ช่างภาพจับภาพช่วงเวลาที่ยอดเยี่ยมไว้ได้
补偿	ชดเชย	บริษัทจะชดเชยความเสียหายของคุณ
补救	แก้ไข	เรายังมีเวลาแก้ไข
补贴	เงินอุดหนุน	รัฐบาลจ่ายเงินอุดหนุนให้ครอบครัวรายได้น้อย
不得已	จำใจ	เขาจำใจต้องจากบ้านเกิดไป
不妨	ลองก็ได้	คุณลองฟังคำอธิบายของเขาก่อนก็ได้
不敢当	ไม่กล้ารับคำชม	คุณชมฉันแบบนี้ ฉันไม่กล้ารับคำชมจริงๆ
不禁	อดไม่ได้	เมื่อได้ยินข่าวนี้ เขาก็อดหัวเราะไม่ได้
不堪	ทนไม่ไหว	เสียงรบกวนที่นี่ทำให้คนทนไม่ไหว
不可思议	เหลือเชื่อ	ผลลัพธ์นี้เหลือเชื่อจริงๆ
不免	เลี่ยงไม่ได้	ขึ้นเวทีครั้งแรก เขาย่อมเลี่ยงความตื่นเต้นไม่ได้
不时	เป็นระยะๆ	เขาเงยหน้ามองนาฬิกาเป็นระยะๆ
不惜	ไม่ลังเล	เพื่อช่วยคน เขาไม่ลังเลที่จะเสี่ยง
不相上下	สูสีกัน	ความสามารถของทั้งสองทีมสูสีกัน
不言而喻	เห็นได้ชัด	ความสำคัญของความซื่อสัตย์เห็นได้ชัดอยู่แล้ว
不由得	อดไม่ได้	เมื่อเห็นรูปเก่า ฉันอดคิดถึงวัยเด็กไม่ได้
不择手段	ไม่เลือกวิธี	เขาไม่เลือกวิธีเพื่อหาเงิน
不止	มากกว่า	คนที่เข้าร่วมประชุมมีมากกว่าหนึ่งร้อยคน
布告	ประกาศ	มีประกาศแผ่นหนึ่งติดอยู่ที่หน้าประตูโรงเรียน
布局	การจัดวาง	การจัดวางของอพาร์ตเมนต์ชุดนี้สมเหตุสมผลมาก
布置	มอบหมาย	ครูมอบหมายการบ้านใหม่
步伐	จังหวะก้าว	ขบวนเดินหน้าไปด้วยจังหวะก้าวที่เป็นระเบียบ
部署	วางแผนจัดการ	บริษัทกำลังวางแผนจัดการแผนการขายใหม่
部位	ตำแหน่ง	แพทย์ตรวจตำแหน่งที่บาดเจ็บ
才干	ความสามารถ	เธอมีความสามารถด้านการจัดการมาก
裁缝	ช่างตัดเสื้อ	ช่างตัดเสื้อคนนี้ฝีมือดีมาก
裁判	กรรมการ	กรรมการประกาศหยุดการแข่งขันชั่วคราว
裁员	เลิกจ้างพนักงาน	บริษัทตัดสินใจเลิกจ้างพนักงานเพราะขาดทุน
财富	ความมั่งคั่ง	ความรู้ก็เป็นความมั่งคั่งชนิดหนึ่ง
财务	การเงิน	ฝ่ายการเงินกำลังตรวจสอบบัญชี
财政	การคลัง	รายได้การคลังปีนี้เพิ่มขึ้นบ้าง
彩票	ลอตเตอรี่	เขาซื้อลอตเตอรี่เป็นครั้งคราว
采购	จัดซื้อ	บริษัทส่งคนไปจัดซื้ออุปกรณ์
采集	เก็บรวบรวม	นักวิจัยเก็บรวบรวมตัวอย่างในป่า
采纳	รับไว้ใช้	ผู้นำรับข้อเสนอของพวกเราไว้ใช้
参谋	ที่ปรึกษา	เขามักเป็นที่ปรึกษาให้ผู้จัดการ
参照	อ้างอิง	โปรดกรอกแบบฟอร์มโดยอ้างอิงรูปแบบนี้
残疾	พิการ	สถานีแห่งนี้ให้ความช่วยเหลือผู้โดยสารพิการ
残酷	โหดร้าย	สงครามโหดร้ายมาก
残留	หลงเหลือ	ในแก้วยังมีกลิ่นกาแฟหลงเหลืออยู่
残忍	โหดเหี้ยม	การทารุณสัตว์เป็นพฤติกรรมโหดเหี้ยม
灿烂	สดใส	เธอเผยรอยยิ้มสดใส
仓促	เร่งรีบ	การตัดสินใจนี้ทำอย่างเร่งรีบเกินไป
仓库	คลังสินค้า	สินค้าถูกส่งถึงคลังสินค้าแล้ว
舱	ห้องโดยสาร	ผู้โดยสารกำลังเข้าสู่ห้องโดยสารเครื่องบิน
苍白	ซีด	สีหน้าของเขาดูซีดมาก
操劳	ตรากตรำ	แม่ตรากตรำเพื่อครอบครัวนี้มาหลายปี
操练	ฝึกซ้อม	ทหารฝึกซ้อมทุกเช้า
操纵	ควบคุม	เครื่องจักรเครื่องนี้ควบคุมด้วยคอมพิวเตอร์
操作	ใช้งาน	โปรดใช้งานอุปกรณ์ตามคำแนะนำ
嘈杂	อึกทึก	ในสถานีมีเสียงอึกทึกมาก
草案	ร่าง	คณะกรรมการกำลังหารือร่างนี้
草率	สะเพร่า	การตัดสินใจสำคัญขนาดนี้จะทำอย่างสะเพร่าไม่ได้
侧面	ด้านข้าง	มองจากด้านข้าง อาคารหลังนี้ดูสูงกว่า
测量	วัด	วิศวกรกำลังวัดความยาวของสะพาน
策划	วางแผน	พวกเขาวางแผนกิจกรรมขนาดใหญ่ครั้งหนึ่ง
策略	กลยุทธ์	กลยุทธ์นี้ช่วยบริษัทลดต้นทุน
层出不穷	เกิดขึ้นไม่หยุด	ปัญหาใหม่ๆ เกิดขึ้นไม่หยุด
层次	โครงสร้างเป็นชั้น	โครงสร้างของบทความนี้ชัดเจนมาก
差别	ความแตกต่าง	สองวิธีนี้มีความแตกต่างไม่มาก
插座	เต้ารับ	เต้ารับในห้องนี้ไม่พอใช้
查获	ตรวจยึด	ศุลกากรตรวจยึดสินค้าปลอมจำนวนหนึ่ง
刹那	ชั่วพริบตา	ชั่วพริบตา ไฟทั้งหมดก็ดับลง
岔	แยกออก	รถแยกออกจากกันที่สี่แยกข้างหน้า
诧异	ประหลาดใจ	การตัดสินใจของเขาทำให้ทุกคนประหลาดใจมาก
柴油	น้ำมันดีเซล	รถบรรทุกคันนี้ใช้น้ำมันดีเซล
搀	พยุง	พยาบาลพยุงผู้สูงอายุเข้าไปในห้องผู้ป่วย
缠绕	พันรอบ	เถาวัลย์พันรอบกิ่งไม้
馋	อยากกิน	เห็นเค้กแล้ว เด็กก็อยากกินนิดหน่อย
产业	อุตสาหกรรม	การท่องเที่ยวเป็นอุตสาหกรรมสำคัญของที่นี่
阐述	อธิบายอย่างละเอียด	ศาสตราจารย์อธิบายมุมมองของตนอย่างละเอียด
颤抖	สั่น	เธอหนาวจนสั่นไปทั้งตัว
昌盛	รุ่งเรือง	พวกเราหวังให้ประเทศรุ่งเรือง
偿还	ชำระคืน	เขาชำระคืนเงินกู้ตรงเวลา
尝试	ลอง	พวกเราลองใช้วิธีใหม่ได้
场合	โอกาส	โอกาสแบบนี้ไม่เหมาะกับการล้อเล่น
场面	บรรยากาศ	บรรยากาศงานแต่งงานคึกคักมาก
场所	สถานที่	ที่นี่เป็นสถานที่สาธารณะ กรุณาอย่าสูบบุหรี่
敞开	เปิดกว้าง	กรุณาเปิดหน้าต่างทิ้งไว้สักครู่
倡导	ส่งเสริม	โรงเรียนส่งเสริมวิถีชีวิตที่ดีต่อสุขภาพ
倡议	ข้อริเริ่ม	ข้อริเริ่มด้านสิ่งแวดล้อมนี้ได้รับการสนับสนุน
畅通	โล่ง	หลังฝนหยุด ถนนกลับมาโล่งอีกครั้ง
畅销	ขายดี	นิยายเล่มนี้ขายดีมาก
超越	เหนือกว่า	ในที่สุดเขาก็ทำลายสถิติของตนเองได้
钞票	ธนบัตร	ในกระเป๋าเงินเหลือธนบัตรเพียงไม่กี่ใบ
嘲笑	เยาะเย้ย	อย่าเยาะเย้ยข้อบกพร่องของคนอื่น
巢穴	รัง	นายพรานพบรังของสัตว์
朝代	ราชวงศ์	ราชวงศ์ถังเป็นราชวงศ์หนึ่งในประวัติศาสตร์จีน
潮流	กระแส	คนหนุ่มสาวสนใจกระแสแฟชั่นมาก
撤退	ถอยทัพ	กองทัพถอยทัพหลังได้รับคำสั่ง
撤销	เพิกถอน	ศาลเพิกถอนคำพิพากษาเดิม
沉淀	ตกตะกอน	ดินทรายจะค่อยๆ ตกตะกอนลง
沉闷	อบอ้าว	วันนี้อากาศทั้งร้อนทั้งอบอ้าว
沉思	ครุ่นคิด	เขานั่งครุ่นคิดอยู่ริมหน้าต่าง
沉重	หนักอึ้ง	ข่าวนี้ทำให้ทุกคนรู้สึกหนักอึ้ง
沉着	สุขุม	เมื่อเจออันตรายต้องรักษาความสุขุมไว้
陈旧	เก่า	เครื่องจักรเครื่องนี้เก่ามากแล้ว
陈列	จัดแสดง	ในห้องนิทรรศการจัดแสดงโบราณวัตถุจำนวนมาก
陈述	ชี้แจง	กรุณาชี้แจงข้อเท็จจริงให้ชัดเจน
称心如意	ถูกใจ	งานนี้ทำให้เขาถูกใจมาก
衬托	ขับให้เด่น	ผนังสีขาวขับสีของดอกไม้ให้เด่นขึ้น
称号	ตำแหน่งเกียรติ	เขาได้รับตำแหน่งเกียรติครูดีเด่น
乘	โดยสาร	ฉันโดยสารรถไฟใต้ดินไปทำงานทุกวัน
呈现	ปรากฏ	ท้องฟ้าปรากฏสีแดงจางๆ
城堡	ปราสาท	บนยอดเขามีปราสาทโบราณหลังหนึ่ง
惩罚	ลงโทษ	โรงเรียนจะลงโทษนักเรียนที่โกง
成本	ต้นทุน	ราคาวัตถุดิบที่สูงขึ้นทำให้ต้นทุนเพิ่มขึ้น
成交	ปิดการซื้อขาย	ธุรกิจครั้งนี้ปิดการซื้อขายได้ในที่สุด
成天	ทั้งวัน	เขานั่งอยู่หน้าคอมพิวเตอร์ทั้งวัน
成效	ผลลัพธ์	วิธีบริหารใหม่เห็นผลลัพธ์อย่างรวดเร็ว
成心	จงใจ	เขาไม่ได้จงใจทำให้คุณลำบากใจ
成员	สมาชิก	สมาชิกทุกคนต้องเข้าร่วมประชุม
承办	รับจัด	บริษัทนี้รับจัดงานนิทรรศการ
承包	รับเหมา	พวกเขารับเหมาโครงการนี้
承诺	สัญญา	เขาสัญญาว่าจะทำงานให้เสร็จตรงเวลา
橙	ส้ม	ฉันซื้อส้มสดมาหลายลูก
澄清	ชี้แจง	ผู้จัดการออกมาชี้แจงความเข้าใจผิด
盛	ตัก	เธอตักซุปหนึ่งชามให้แขก
诚挚	จริงใจ	กรุณารับคำขอบคุณอย่างจริงใจของฉัน
秤	ตาชั่ง	ตาชั่งเครื่องนี้ไม่ค่อยแม่น
吃苦	ทนลำบาก	คนหนุ่มสาวควรเรียนรู้ที่จะทนลำบาก
吃力	เปลืองแรง	การย้ายกล่องใบนี้เปลืองแรงมาก
持久	ยั่งยืน	ความสำเร็จต้องการความพยายามที่ยั่งยืน
迟钝	เชื่องช้า	ช่วงนี้ปฏิกิริยาของเขาค่อนข้างเชื่องช้า
迟缓	ช้า	หลังฝนตก การจราจรช้าลง
迟疑	ลังเล	เธอลังเลอยู่ครู่หนึ่งแล้วจึงตอบ
赤道	เส้นศูนย์สูตร	บริเวณใกล้เส้นศูนย์สูตรร้อนตลอดปี
赤字	ขาดดุล	ปีนี้บริษัทเกิดภาวะขาดดุล
充当	ทำหน้าที่เป็น	เขาทำหน้าที่เป็นผู้ประสานงานในโครงการ
充沛	เต็มเปี่ยม	เด็กๆ มีพลังเต็มเปี่ยมมาก
充实	เติมเต็ม	ประสบการณ์ช่วงนี้ทำให้ชีวิตของฉันเติมเต็มมากขึ้น
充足	เพียงพอ	ก่อนเดินทางต้องเตรียมน้ำให้เพียงพอ
冲动	แรงชั่ววูบ	อย่าตัดสินใจเพราะแรงชั่ววูบ
冲击	กระทบ	เทคโนโลยีใหม่กระทบอุตสาหกรรมดั้งเดิม
冲突	ความขัดแย้ง	ทั้งสองฝ่ายพยายามหลีกเลี่ยงความขัดแย้ง
崇拜	นับถือ	คนหนุ่มสาวจำนวนมากนับถือนักวิทยาศาสตร์คนนี้
崇高	สูงส่ง	หน้าที่ของแพทย์เป็นสิ่งสูงส่ง
崇敬	เคารพนับถือ	นักเรียนทุกคนเคารพนับถือครูท่านนี้มาก
重叠	ซ้อนทับ	งานสองอย่างนี้มีส่วนที่ซ้อนทับกัน
稠密	หนาแน่น	ประชากรที่นี่หนาแน่นมาก
筹备	เตรียมการ	พวกเขากำลังเตรียมการงานแต่งงาน
丑恶	น่าเกลียดน่าชัง	เขาเปิดโปงความจริงอันน่าเกลียดน่าชังเบื้องหลังเหตุการณ์
出路	ทางออก	การเรียนให้ทางออกแก่คนหนุ่มสาวมากขึ้น
出卖	ทรยศ	เขาจะไม่ทรยศเพื่อน
出身	พื้นเพ	เขามีพื้นเพจากครอบครัวธรรมดา
出神	ใจลอย	เธอฟังเพลงจนใจลอย
出息	อนาคตดี	เด็กคนนี้ในอนาคตจะมีอนาคตดี
初步	เบื้องต้น	พวกเราได้บรรลุข้อตกลงเบื้องต้นแล้ว
除	ยกเว้น	ยกเว้นเขา ทุกคนมาถึงแล้ว
储备	สำรอง	บริษัทจำเป็นต้องสำรองเงินทุนมากขึ้น
储存	จัดเก็บ	ข้อมูลเหล่านี้จะถูกจัดเก็บโดยอัตโนมัติ
储蓄	ออมเงิน	เขาออมเงินส่วนหนึ่งของเงินเดือนทุกเดือน
处分	ลงโทษทางวินัย	โรงเรียนลงโทษทางวินัยเขาอย่างรุนแรง
处境	สถานการณ์ลำบาก	สถานการณ์ของพวกเขาตอนนี้ลำบากมาก
处置	จัดการ	อุปกรณ์เก่าเหล่านี้ต้องจัดการอย่างเหมาะสม
触犯	ฝ่าฝืน	ทำแบบนี้จะฝ่าฝืนกฎหมาย
川流不息	ไหลไม่ขาดสาย	รถบนถนนไหลไม่ขาดสาย
穿越	ผ่าน	รถไฟผ่านอุโมงค์ยาว
传达	ถ่ายทอด	กรุณาถ่ายทอดข่าวนี้ให้ทุกคนทราบ
传单	ใบปลิว	อาสาสมัครแจกใบปลิวบนถนน
传授	ถ่ายทอดความรู้	ครูถ่ายทอดประสบการณ์ให้นักเรียน
船舶	เรือ	ในท่าเรือมีเรือจำนวนมากจอดอยู่
喘气	หอบ	หลังวิ่งเสร็จ เขาหอบไม่หยุด
串	ร้อย	เธอร้อยลูกปัดเป็นสร้อยคอเส้นหนึ่ง
床单	ผ้าปูที่นอน	กรุณาเปลี่ยนผ้าปูที่นอนหน่อย
创立	ก่อตั้ง	พวกเขาร่วมกันก่อตั้งบริษัทนี้
创新	นวัตกรรม	การพัฒนาองค์กรต้องมีนวัตกรรมอย่างต่อเนื่อง
创业	เริ่มธุรกิจ	คนหนุ่มสาวจำนวนมากเลือกเริ่มธุรกิจ
创作	สร้างสรรค์	นักเขียนกำลังสร้างสรรค์นวนิยายขนาดยาวเรื่องหนึ่ง
吹牛	คุยโว	อย่าคุยโว เอาหลักฐานออกมา
吹捧	อวยเกินจริง	สื่ออวยผลิตภัณฑ์นี้เกินจริง
炊烟	ควันครัว	ยามเย็น ควันครัวลอยขึ้นจากหมู่บ้าน
