source_headword	SV	example_SV
consequently	följaktligen	Det regnade, följaktligen avbröts matchen.
conservation	ett bevarande	Naturvård skyddar sällsynta djur.
considerable	betydande	Reparationen tog betydande tid.
considerably	avsevärt	Priserna steg avsevärt i år.
consistently	konsekvent	Hon presterar konsekvent bra.
conspiracy	en konspiration	Polisen utredde konspirationen.
consult	konsultera	Rådfråga din läkare innan du tar medicin.
consultant	en konsult	Konsulten föreslog en ny strategi.
consumption	en konsumtion	Energiförbrukningen sjönk förra månaden.
controversial	kontroversiell	Policyn förblir kontroversiell.
controversy	en kontrovers	Beslutet orsakade kontrovers.
convenience	en bekvämlighet	Butiken erbjuder stor bekvämlighet.
convention	en konvention	Den årliga kongressen börjar på måndag.
conventional	konventionell	Han valde en konventionell design.
convey	förmedla	Meddelandet förmedlade sympati.
convincing	övertygande	Hennes förklaring var övertygande.
cope	hantera	Hon lärde sig att hantera stress.
corporation	ett företag	Företaget öppnade ett nytt kontor.
corridor	en korridor	Korridoren var smal och tyst.
counter (long flat surface)	en disk	Nycklarna ligger på köksbänken.
coverage	en täckning	Nyhetsbevakningen varade hela kvällen.
crack	en spricka	En spricka dök upp i väggen.
craft	ett hantverk	Hon säljer handgjort hantverk på nätet.
creativity	en kreativitet	Kreativitet hjälper till att lösa problem.
critically	kritiskt	Artikeln var oerhört viktig.
cruise	en kryssning	De bokade en kryssning till Grekland.
cue	en signal	Skådespelaren missade sin replik.
curious	märklig	Barnet var nyfiket på rymden.
curriculum	en läroplan	Skolan uppdaterade sin läroplan.
cute	söt	Valpen såg söt ut.
dairy	ett mejeri	Gården producerar mejeriprodukter.
dare	våga	Jag utmanar dig att prova det.
darkness	ett mörker	Rummet fylldes med mörker.
database	en databas	Databasen lagrar kundregister.
deadline	en deadline	Deadlinen är på fredag.
deadly	dödlig	Ormen har dödligt gift.
dealer	en handlare	Bilhandlaren erbjöd en rabatt.
deck	ett däck	Stolarna står på däcket.
defender	en försvarare	Försvararen blockerade skottet.
delete	radera	Radera det gamla meddelandet.
democracy	en demokrati	Demokrati är beroende av fria val.
democratic	demokratisk	Omröstningen följde demokratiska regler.
demonstration	en demonstration	Studenterna deltog i en demonstration.
depart	avvika	Tåget avgår vid middagstid.
dependent	beroende	Barnet är beroende av vuxna.
deposit	en insättning	Hon betalade en deposition för lägenheten.
depression	en depression	Depression kräver professionellt stöd.
derive	härleda	Många ord härstammar från latinet.
desperately	desperat	Han behövde desperat vatten.
destruction	en förstörelse	Stormen orsakade omfattande förstörelse.
determination	en beslutsamhet	Hennes beslutsamhet imponerade på tränaren.
devote	ägna	Hon ägnar helgerna åt att studera.
differ	skilja sig	Deras åsikter skiljer sig kraftigt åt.
disability	ett funktionshinder	Byggnaden är anpassad för personer med funktionsnedsättning.
disabled	deaktiverad	Den funktionshindrade idrottaren vann en medalj.
disagreement	en oenighet	Mötet slutade i oenighet.
disappoint	göra besviken	Resultatet kan göra fansen besvikna.
disappointment	en besvikelse	Han kände djup besvikelse.
discourage	avskräcka	Avskräck inte unga elever.
disorder	en störning	Läkaren diagnostiserade en sömnstörning.
distant	avlägsen	Bergen såg avlägsna ut.
distinct	tydlig	De två ljuden är distinkta.
distinguish	urskilja	Kan du skilja på de här färgerna?
distract	distrahera	Oljud kan distrahera elever.
disturb	störa	Vänligen stör inte patienten.
dive	ett dyk	De kommer att dyka nära revet.
diverse	mångfaldig	Staden har många olika kulturer.
diversity	en mångfald	Vi firar kulturell mångfald.
divorce	en skilsmässa	Skilsmässan var svår för alla.
dominant	dominant	Det dominerande laget kontrollerade matchen.
donation	en donation	Välgörenhetsorganisationen fick en donation.
dot	en prick	Sätt en punkt efter numret.
downtown	ett centrum	Vi träffades i centrum efter jobbet.
dramatically	dramatiskt	Priset sjönk dramatiskt.
drought	en torka	Torkan skadade grödorna.
dull	tråkig	Föreläsningen var tråkig.
dump	dumpa	Släng inte sopor här.
duration	en varaktighet	Flygets längd är tre timmar.
dynamic	en dynamik	Klassrummet kändes dynamiskt.
economics	en ekonomi	Hon studerar nationalekonomi på universitetet.
economist	en ekonom	Ekonomen förutspådde en långsammare tillväxt.
editorial	redaktionell	Ledarartikeln kritiserade lagen.
efficiently	effektivt	Teamet arbetade effektivt.
elbow	en armbåge	Han skadade sin armbåge.
electronics	elektronik	Butiken säljer elektronik.
elegant	elegant	Klänningen såg elegant ut.
elementary	elementär	Boken förklarar elementär grammatik.
eliminate	eliminera	Teamet eliminerade flera fel.
embrace	omfamna	Hon omfamnade den nya idén.
emission	ett utsläpp	Bilarnas utsläppsnivåer sjönk.
emotionally	känslomässigt	Han pratade känslosamt om sin familj.
empire	ett imperium	Imperiet varade i århundraden.
enjoyable	trevlig	Resan var trevlig.
entertaining	underhållande	Showen var underhållande.
entrepreneur	en entreprenör	Entreprenören öppnade ett kafé.
envelope	ett kuvert	Lägg brevet i ett kuvert.
equip	utrusta	Skolan kommer att utrusta labbet.
equivalent	en motsvarighet	En dollar är inte likvärdig här.
era	en era	Upptäckten inledde en ny era.
erupt	bryta ut	Vulkanen kan snart få ett utbrott.
essentially	i huvudsak	De två metoderna är i grund och botten identiska.
ethic	en etik	Hans arbetsmoral är stark.
ethnic	etnisk	Festivalen firar etniska traditioner.
evaluation	en utvärdering	Kursen inkluderar en slutgiltig utvärdering.
evident	uppenbar	Hans nervositet var uppenbar.
evolution	en evolution	Evolution förklarar många biologiska förändringar.
evolve	utveckla	Språk utvecklas över tid.
exceed	överskrida	Efterfrågan kan överstiga utbudet.
exception	ett undantag	Det finns ett undantag.
excessive	överdriven	Överdrivet ljud stör grannarna.
exclude	exkludera	Listan utesluter tillfälliga arbetare.
exhibit	en utställning	Museet kommer att ställa ut sällsynta fotografier.
exit	en utgång	Utgången är bakom scenen.
exotic	exotisk	Butiken säljer exotisk frukt.
expansion	en expansion	Företaget planerade en expansion.
expertise	expertis	Hennes expertis förbättrade projektet.
exploit	utnyttja	Kriminella utnyttjar svaga lösenord.
exposure	en exponering	Solexponering kan skada huden.
extension	en förlängning	Förlängningen av deadline hjälpte alla.
extensive	omfattande	Biblioteket har omfattande resurser.
extensively	utförligt	Ämnet studerades i stor utsträckning.
extract	ett utdrag	Vaniljextrakt ger smak.
fabric	ett tyg	Tyget känns mjukt.
fabulous	fantastisk	Måltiden var fantastisk.
failed	misslyckad	Det misslyckade försöket lärde oss något.
fake	falsk	Webbplatsen sålde falska biljetter.
fame	berömmelse	Berömmelse förändrade hans privatliv.
fantasy	en fantasi	Romanen är en fantasi.
fare	ett biljettpris	Busspriset ökade.
federal	federal	Den federala regeringen tillkännagav finansiering.
fever	en feber	Barnet har feber.
firefighter	en brandman	Brandmannen räddade hunden.
firework	ett fyrverkeri	Ett fyrverkeri exploderade över parken.
firm	fast	Madrassen är fast.
firmly	bestämt	Hon stängde dörren bestämt.
flavour	en smak	Soppan har en rik smak.
fond	förtjust	Han är förtjust i jazz.
fool	en dåre	Bete dig inte som en dåre.
forbid	förbjuda	Lagen förbjuder rökning här.
forecast	en prognos	Prognosen förutspår regn.
format	ett format	Använd rätt filformat.
formation	en formation	Molnbildningen förändras snabbt.
formerly	tidigare	Byggnaden var tidigare en skola.
fortunate	lyckosam	Vi var lyckligt lottade som anlände tidigt.
forum	ett forum	Forumet diskuterade klimatpolitiken.
fossil	ett fossil	Fossilet hittades i sten.
foundation	en grund	Huset har en stark grund.
founder	en grundare	Grundaren välkomnade gästerna.
fraction	en bråkdel	Bara en bråkdel av studenterna kom.
fragment	ett fragment	Ett glasfragment låg på golvet.
framework	ett ramverk	Lagen skapar ett tydligt ramverk.
fraud	ett bedrägeri	Banken upptäckte bedrägeri.
freely	fritt	Barnen lekte fritt utomhus.
frequent	frekvent	Frekventa pauser förbättrar fokus.
fulfil	uppfylla	Jag hoppas kunna uppfylla mitt löfte.
full-time	heltid	Hon har ett heltidsjobb.
fundamentally	i grunden	Planen är fundamentalt annorlunda.
furious	rasande	Han var rasande över förseningen.
gaming	ett spelande	Spelande kan förbättra reaktionshastigheten.
gay	homosexuell	Han stödjer homosexuellas rättigheter.
gender	ett kön	Enkäten frågade om kön.
gene	en gen	Genen påverkar ögonfärgen.
genetic	genetisk	Sjukdomen har genetiska orsaker.
genius	ett geni	Den unga pianisten är ett geni.
genuine	äkta	Hennes leende verkade äkta.
genuinely	uppriktigt	Han ville uppriktigt hjälpa till.
gesture	en gest	Hon gjorde en vänlig gest.
gig	ett gig	Bandet spelade ett gig i centrum.
globalization	en globalisering	Globalisering påverkar lokala företag.
globe	en glob	Jordgloben visar varje kontinent.
golden	gyllene	Solnedgången blev gyllene.
goodness	en godhet	Hon tror på mänsklig godhet.
gorgeous	underbar	Trädgården såg underbar ut.
governor	en guvernör	Guvernören skrev under lagförslaget.
graphic	grafisk	Den grafiska bilden chockerade tittarna.
graphics	en grafik	Spelet har enkel grafik.
greatly	i hög grad	Ditt råd hjälpte oerhört.
greenhouse	ett växthus	Tomater växer inuti växthuset.
grocery	en livsmedelsbutik	Hon köpte matvaror efter jobbet.
guideline	en riktlinje	Riktlinjen förklarar säker praxis.
habitat	ett habitat	Skogen är ett fågelhabitat.
harbour	en hamn	Båten åkte in i hamnen.
headquarters	ett huvudkontor	Företagets huvudkontor flyttade till centrum.
