simplified	PT-BR	example_PT-BR
画	desenhar; o desenho; o quadro	A minha irmã mais nova gosta de desenhar pandas.
坏	mau; quebrado	Meu computador está quebrado.
欢迎	dar as boas-vindas; bem-vindo	Bem-vindo à minha casa.
环境	o ambiente	O ambiente desta escola é muito bom.
还	devolver; voltar	Por favor, devolva-me o livro amanhã.
换	trocar; mudar	Quero trocar uma camisa.
黄河	o Rio Amarelo	O Rio Amarelo é muito comprido.
回答	responder; a resposta	Por favor, responda à minha pergunta.
会议	a reunião; a conferência	A reunião começa às nove.
或者	ou; talvez	Podes pegar o metrô ou o ônibus.
几乎	quase	Ele faz exercício quase todos os dias.
机会	a oportunidade; a ocasião	Esta é uma boa oportunidade.
极	extremamente; muito	Ela está extremamente feliz.
季节	a estação	O outono é a minha estação preferida.
记得	lembrar-se	Você lembrou de trazer o cartão de crédito?
检查	verificar; examinar	O médico examina-me.
简单	simples; fácil	Esta frase é muito simples.
健康	a saúde; saudável	Fazer exercício faz bem à saúde.
见面	encontrar-se; ver-se	Amanhã encontramo-nos na escola.
讲	explicar; falar	O professor explica muito claramente.
教	ensinar	Ele ensina-me a escrever caracteres chineses.
脚	o pé; a perna	Estou com dor em um pouco o pé.
角	o canto; o ângulo	A loja fica na esquina da rua.
接	ir buscar; receber; atender	Vou ao aeroporto buscar um amigo.
街道	a rua	Esta rua está muito limpa.
结婚	casar-se	Eles vão casar no próximo ano.
结束	terminar; acabar	O jogo já acabou.
节目	o programa; o espetáculo	Este programa de televisão é muito bom.
节日	a festa; o feriado	A Festa da Primavera é uma festa chinesa importante.
解决	resolver	Este problema já foi resolvido.
借	pedir emprestado; emprestar	Quero pedir seu dicionário emprestado.
经常	frequentemente; muitas vezes	Vou muitas vezes à biblioteca.
经过	passar por; atravessar	Passo por este parque todos os dias.
经理	o gerente; o diretor	O gerente está numa reunião.
久	muito tempo; longo	Vivo aqui há muito tempo.
旧	velho; usado	Esta peça de roupa é muito velha.
句子	a frase	Por favor, escreva uma frase.
决定	decidir; a decisão	Decidi estudar chinês.
可爱	fofo; adorável	Este gato é muito fofo.
渴	ter sede	Tenho sede e quero beber água.
刻	o quarto de hora; o momento	São oito e um quarto.
客人	o convidado; o cliente	Hoje veio um convidado à nossa casa.
空调	o ar condicionado	Por favor, liga o ar condicionado.
口	a boca; o classificador para pessoas ou animais	Ele bebeu um gole de água.
哭	chorar	Porque é que a criança está a chorar?
裤子	as calças	Estas calças são novas.
筷子	os hashis	Sei comer com hashis.
蓝	azul	O céu é azul.
老	velho; idoso	O meu professor não é velho.
离开	partir; deixar	Ele parte de Pequim amanhã.
礼物	o presente	Este é um presente para você.
历史	a história	Gosto de história chinesa.
脸	a cara; o rosto	A cara dela está muito vermelha.
练习	praticar; o exercício	Por favor, pratica mais falar chinês.
辆	o classificador para veículos	Há um táxi na porta.
聊天	conversar; falar	Converso com um amigo.
了解	compreender; conhecer	Quero compreender a cultura chinesa.
邻居	o vizinho	O meu vizinho é muito simpático.
留学	estudar no exterior	Ela estuda na China como estudante estrangeira.
楼	o edifício; o andar	O escritório fica no terceiro andar.
绿	verde	Na primavera, as árvores ficam verdes.
马	o cavalo	Aquele cavalo corre muito depressa.
马上	já; imediatamente	Volto já.
满意	satisfeito	Estou muito satisfeito com este quarto.
帽子	o chapéu; o boné	Este chapéu é muito bonito.
米	o metrô; o arroz	Esta mesa tem dois metrôs de comprimento.
面包	o pão	Como pão ao café da manhã.
明白	compreender; claro	Compreendo o que queres dizer.
拿	pegar; segurar	Por favor, pegue num livro para mim.
奶奶	a avó paterna; a avó	A avó gosta de ouvir música.
南	o sul	A escola fica no sul da cidade.
难	difícil	Esta pergunta não é difícil.
难过	triste; aborrecido	Hoje ela está um pouco triste.
年级	o ano escolar	A minha irmã mais nova está no terceiro ano.
年轻	jovem	Este gerente é muito jovem.
鸟	o pássaro	Há um pássaro na árvore.
努力	esforçar-se; o esforço	Ele estuda com muito esforço.
爬山	subir a montanha; fazer caminhada	Este fim de semana vamos fazer uma caminhada na montanha.
盘子	o prato; a bandeja	Há três pratos em cima da mesa.
胖	gordo; cheinho	Este cachorro é um pouco gordo.
啤酒	a cerveja	O pai não bebe cerveja.
皮鞋	os sapatos de couro	Este par de sapatos de couro é caro.
瓶子	a garrafa	Há água na garrafa.
其实	na verdade; de fato	Na verdade, não gosto de cerveja.
其他	outro; os outros	Os outros colegas já chegaram.
奇怪	estranho	Este som é muito estranho.
骑	andar de; montar	Ele vai de bicicleta para o trabalho todos os dias.
起飞	descolar	O avião vai descolar em breve.
起来	levantar-se; para cima	Por favor, levante-se.
清楚	claro; claramente	Você falou muito claramente.
请假	pedir licença; pedir dispensa	Ele está resfriado e precisa pedir licença.
秋	o outono	No outono, o tempo é agradável.
裙子	a saia	Esta saia é muito bonita.
然后	depois; então	Primeiro como, depois faço a lição de casa.
热情	caloroso; entusiasta	Os amigos chineses são muito calorosos.
认为	achar; considerar	Acho que este método é bom.
认真	sério; atento	Por favor, ouve o professor com atenção.
容易	fácil	Este caractere chinês é fácil de escrever.
如果	se	Se chover, pegamos o metrô.
伞	o guarda-chuva	Está a chover; por favor, traz um guarda-chuva.
上网	acessar a internet; entrar na internet	À noite acesso a internet para consultar o mapa.
声音	a voz; o som	Sua voz soa bem.
生气	bravo; ficar bravo	Não fique bravo, não fiz de propósito.
世界	o mundo	O mundo é muito grande.
试	experimentar; tentar	Quero experimentar este par de sapatos de couro.
瘦	magro; esbelto	Ele está mais magro do que antes.
叔叔	o tio paterno; o tio	O tio leva-me à escola de carro.
舒服	confortável	Esta cadeira é confortável.
数学	a matemática	A aula de matemática é interessante.
树	a árvore	Há uma árvore em frente da casa.
刷牙	escovar os dentes	Escovo os dentes todas as manhãs.
双	o par; duplo	Comprei um par de sapatos de couro.
水平	o nível	O nível de chinês dele é alto.
司机	o motorista	O motorista espera por nós na porta.
太阳	o sol	O sol está forte hoje.
特别	especial; especialmente	Este programa é especialmente interessante.
疼	doer; doloroso	Estou com dor em a perna.
提高	melhorar; elevar	Mais prática pode melhorar o nível de chinês.
体育	o esporte; a educação física	Gosto da aula de educação física.
甜	doce	Esta bebida é doce demais.
条	o classificador para objetos compridos	Comprei uma saia.
同事	o colega	O meu colega está muito ocupado.
同意	concordar	Concordo com a sua decisão.
头发	o cabelo	O cabelo dela é comprido.
突然	de repente; repentino	Ele foi embora de repente.
图书馆	a biblioteca	A biblioteca não está aberta hoje.
腿	a perna	Depois da caminhada na montanha, minhas as pernas.
完成	completar; terminar	Já acabei a lição de casa.
碗	a taça; a tigela	Há duas taças em cima da mesa.
万	dez mil	Esta cidade tem dez mil habitantes.
忘记	esquecer	Não se esqueça de trazer o passaporte.
为	por; para	Estou feliz por você.
为了	para; a fim de	Para o exame, ele revê todos os dias.
位	o classificador cortês para pessoas	Este professor é muito famoso.
文化	a cultura	Quero compreender a cultura chinesa.
西	o oeste; o ocidente	O banco fica a oeste da escola.
习惯	o hábito; estar acostumado	Estou acostumado a fazer exercício de manhã.
洗手间	a banheiro	A banheiro fica à direita.
洗澡	tomar banho	À noite tomo banho.
夏	o verão	O verão é muito quente.
先	primeiro; antes	Você come primeiro.
相信	acreditar	Acredito que ele virá.
香蕉	a banana	Comprei três bananas.
像	parecer; ser como	Esta nuvem parece um pássaro.
向	para; em direção a	Por favor, caminhe para a esquerda.
小心	ter cuidado	Está a chover; tome cuidado na rua.
校长	o diretor da escola	O diretor da escola está no escritório.
新闻	as notícias	O pai vê as notícias todos os dias.
新鲜	fresco	Esta fruta está muito fresca.
信用卡	o cartão de crédito	Posso pagar com cartão de crédito?
行李箱	a mala de viagem	A minha mala de viagem é pesada.
熊猫	o panda	As crianças gostam de ver pandas.
需要	precisar de; necessitar	Preciso da sua ajuda.
选择	escolher; a escolha	Que camisa você escolhe?
要求	pedir; exigir	O professor nos pede para fazer a lição de casa com atenção.
爷爷	o avô paterno; o avô	O avô vai ao parque todos os dias.
一直	sempre; continuamente	Ele está esperando por você esse tempo todo.
一定	com certeza; sem falta	Virei com certeza.
一共	no total	Quanto custam estes livros no total?
一会儿	um pouco; um momento	Por favor, espere por mim um momento.
一样	igual; o mesmo	Estas duas xícaras têm o mesmo tamanho.
以前	antes; antigamente	Antes eu vivia em Pequim.
一般	normal; médio	A comida deste restaurante é normal.
一边	um lado; enquanto	Ele ouve música enquanto faz a lição de casa.
音乐	a música	Gosto de música chinesa.
银行	o banco	O banco fica ao lado do supermercado.
饮料	a bebida	Esta bebida sabe bem.
应该	dever; deveria	Você deve descansar mais.
影响	a influência; influenciar	O tempo vai influenciar o jogo.
用	usar; utilizar	Uso o computador para fazer a lição de casa.
游戏	o jogo	As crianças estão a brincar.
有名	famoso	Este restaurante é muito famoso.
又	outra vez; de novo	Hoje ele chegou atrasado outra vez.
遇到	encontrar; deparar-se com	Encontrei o professor na rua.
元	o yuan; a unidade monetária	Este dicionário custa cinquenta yuans.
愿意	estar disposto; querer	Você está disposto a participar?
月亮	a lua	A lua está brilhante esta noite.
越	quanto mais... mais...	Quanto mais estudo chinês, mais interessante fica.
站	a estação; estar de pé	Ele está de pé na porta.
张	o classificador para objetos planos	Por favor, me dê um mapa.
长	crescer	As crianças crescem depressa.
着急	preocupar-se; ficar ansioso	Não se preocupe, o elevador chega em breve.
照顾	cuidar de	Ela cuida da avó doente.
照片	a foto	Esta foto ficou bem.
照相机	a câmera	Uso uma câmera para tirar fotos.
283:只	só; apenas	Só bebo uma xícara de chá.
284:只	o classificador para animais	Há um gato debaixo da mesa.
只有…才…	só se... então...	Só revisando com atenção você pode se sair bem no exame.
中间	o meio; entre	A mesa está no meio da sala.
中文	o chinês; a língua chinesa	Estudo chinês todos os dias.
终于	finalmente	Finalmente chegamos.
种	o tipo; a espécie	De que tipo de bebida você gosta?
重要	importante	O passaporte é muito importante.
周末	o fim de semana	Quero ir ao parque no fim de semana.
主要	principal	O passatempo principal dele é a música.
注意	prestar atenção	Por favor, preste atenção ao professor.
自己	eu próprio; si mesmo	Quero fazer a lição de casa sozinho.
自行车	a bicicleta	A minha bicicleta está lá embaixo.
总是	sempre	Ele chega sempre cedo ao escritório.
嘴	a boca	Por favor, abra a boca.
最后	no fim; último	No fim, todos concordamos.
最近	recentemente; ultimamente	Ultimamente tenho estado ocupado.
作业	a lição de casa	Ainda não acabei a lição de casa.
