simplified	NO	example_NO
词典	en ordbok	Denne ordboken er veldig nyttig.
聪明	smart; klok	Dette barnet er veldig smart.
打扫	å gjøre rent; å feie	Jeg gjør rent rommet i helgen.
打算	å planlegge; å ha tenkt	Hvilke planer har du for i morgen?
带	å ta med; å bære med seg	Ta med passet ditt, er du snill.
担心	å bekymre seg; være bekymret	Ikke bekymre deg, jeg skal hjelpe deg.
蛋糕	en kake	Denne kaken er veldig søt.
当然	selvfølgelig; naturligvis	Selvfølgelig kan du det.
地	adverbialpartikkel	Han smilte lykkelig.
灯	en lampe; et lys	Slå på lyset, er du snill.
地方	et sted; et område	Dette stedet er veldig rolig.
地铁	en T-bane	Jeg tar T-banen til jobb hver dag.
地图	et kart	Jeg leter etter skolen på kartet.
电梯	en heis	Heisen er til venstre.
电子邮件	en e-post	Jeg sender læreren en e-post.
东	øst	Solen står opp i øst.
冬	vinter	Om vinteren liker jeg å drikke varm te.
动物	et dyr	Pandaen er et kjent dyr i Kina.
短	kort	Disse buksene er for korte.
段	et avsnitt; en del	Les dette avsnittet, er du snill.
锻炼	å trene; å mosjonere	Jeg trener hver morgen.
多么	hvor; så	Hvor bra miljøet er her!
饿	å være sulten; sulten	Jeg er sulten og vil spise brød.
耳朵	et øre	Øret mitt gjør litt vondt.
发	å sende; å utstede	Jeg sender e-poster om kvelden.
发烧	å ha feber	Han har feber og kan ikke gå på skolen.
发现	å oppdage; å merke	Jeg oppdaget at denne metoden er god.
方便	praktisk; beleilig	Det er praktisk å ta T-banen.
放	å legge; å sette; å slippe	Legg boken på bordet, er du snill.
放心	å være rolig; å slutte å bekymre seg	Ikke bekymre deg, jeg kommer i tide.
分	å dele; å fordele	Del kaken mellom alle, er du snill.
复习	å repetere; å lese på	Jeg må repetere før eksamen.
附近	i nærheten; nærområdet	Det finnes en restaurant i nærheten.
干净	ren; ryddig	Dette rommet er veldig rent.
感冒	å være forkjølet; en forkjølelse	Jeg er forkjølet og vil hvile.
感兴趣	å være interessert	Jeg er veldig interessert i kinesisk.
刚才	nyss; akkurat nå	Hvem ringte deg nettopp?
个子	høyde; kroppshøyde	Han er høy.
根据	ifølge; basert på	Ifølge kartet ligger skolen mot øst.
跟	med; å følge	Jeg går til parken med en venn.
更	mer; enda mer	I dag er det enda kaldere enn i går.
公斤	en kilogram	Disse eplene veier én kilogram.
公园	en park	Barna leker i parken.
故事	en historie	Bestefar forteller meg en historie.
刮风	å blåse; være vindfullt	Det blåser i dag, ikke sykle.
关	å lukke; å slå av	Lukk døren, er du snill.
关系	en relasjon; et forhold	Forholdet mitt til kollegaen min er godt.
关心	å bry seg om; å være omsorgsfull	Mor bryr seg mye om helsen min.
关于	om; angående	Denne boken handler om kinesisk kultur.
国家	et land; en stat	Kina er et veldig stort land.
过	erfaringspartikkel; å ha gjort før	Jeg har vært i Beijing.
过去	fortiden; før	Før var det ingen T-bane her.
还是	eller; fortsatt	Drikker du te eller kaffe?
害怕	å være redd	Jeg er ikke redd for eksamen.
黑板	en tavle	Læreren skriver tegn på tavlen.
后来	senere; etterpå	Senere gikk vi til parken.
护照	et pass	Ta med passet ditt, er du snill.
96:花	å bruke penger; å koste	Å kjøpe telefonen kostet to tusen yuan.
97:花	en blomst	Det står en blomst på bordet.
画	å tegne; en tegning; et maleri	Lillesøsteren min liker å tegne pandaer.
坏	dårlig; ødelagt	Datamaskinen min er ødelagt.
欢迎	å ønske velkommen; velkommen	Velkommen hjem til meg.
环境	et miljø; en omgivelse	Miljøet ved denne skolen er veldig godt.
还	å levere tilbake; å komme tilbake	Lever boken min tilbake i morgen, er du snill.
换	å bytte; å veksle	Jeg vil bytte en skjorte.
黄河	Den gule elven	Den gule elven er veldig lang.
回答	å svare; et svar	Svar på spørsmålet mitt, er du snill.
会议	et møte; en konferanse	Møtet begynner klokken ni.
或者	eller; kanskje	Du kan ta T-banen eller bussen.
几乎	nesten	Han trener nesten hver dag.
机会	en mulighet; en sjanse	Dette er en god mulighet.
极	ytterst; veldig	Hun er ytterst glad.
季节	en årstid	Høsten er min favorittårstid.
记得	å huske	Husket du å ta med kredittkortet?
检查	å kontrollere; å undersøke	Legen undersøker meg.
简单	enkel; ikke komplisert	Denne setningen er veldig enkel.
健康	helse; sunn	Mosjon er bra for helsen.
见面	å møtes	Vi møtes på skolen i morgen.
讲	å forklare; å snakke	Læreren forklarer veldig tydelig.
教	å undervise; å lære bort	Han lærer meg å skrive kinesiske tegn.
脚	en fot; et bein	Foten min gjør litt vondt.
角	et hjørne; en vinkel	Butikken ligger på gatehjørnet.
接	å hente; å ta imot; å svare	Jeg skal til flyplassen for å hente en venn.
街道	en gate	Denne gaten er veldig ren.
结婚	å gifte seg	De skal gifte seg neste år.
结束	å slutte; å avslutte	Kampen er allerede over.
节目	et program; et show	Dette TV-programmet er veldig bra.
节日	en høytid; en festival	Vårfestivalen er en viktig kinesisk høytid.
解决	å løse	Dette problemet er allerede løst.
借	å låne; å låne ut	Jeg vil låne ordboken din.
经常	ofte; regelmessig	Jeg går ofte på biblioteket.
经过	å passere; å gå forbi	Jeg går forbi denne parken hver dag.
经理	en sjef; en leder	Sjefen er i et møte.
久	lenge; lang tid	Jeg har bodd her lenge.
旧	gammel; brukt	Dette klesplagget er veldig gammelt.
句子	en setning	Skriv en setning, er du snill.
决定	å bestemme; en beslutning	Jeg bestemte meg for å studere kinesisk.
可爱	søt; nusselig	Denne katten er veldig søt.
渴	å være tørst	Jeg er tørst og vil drikke vann.
刻	et kvarter; et øyeblikk	Klokken er kvart over åtte.
客人	en gjest; en kunde	En gjest kom hjem til oss i dag.
空调	klimaanlegg; aircondition	Slå på klimaanlegget, er du snill.
口	en munn; måleord for mennesker eller dyr	Han tok en slurk vann.
哭	å gråte	Hvorfor gråter barnet?
裤子	bukser	Disse buksene er nye.
筷子	spisepinner	Jeg kan spise med spisepinner.
蓝	blå	Himmelen er blå.
老	gammel; eldre	Læreren min er ikke gammel.
离开	å dra fra; å forlate	Han drar fra Beijing i morgen.
礼物	en gave	Dette er en gave til deg.
历史	historie	Jeg liker kinesisk historie.
脸	et ansikt	Ansiktet hennes er veldig rødt.
练习	å øve; en øvelse	Øv mer på å snakke kinesisk, er du snill.
辆	måleord for kjøretøy	Det står en taxi ved døren.
聊天	å prate; å småprate	Jeg småprater med en venn.
了解	å forstå; å bli kjent med	Jeg vil forstå kinesisk kultur.
邻居	en nabo	Naboen min er veldig vennlig.
留学	å studere i utlandet	Hun studerer i Kina som utenlandsstudent.
楼	en bygning; en etasje	Kontoret ligger i tredje etasje.
绿	grønn	Om våren blir trærne grønne.
马	en hest	Den hesten løper veldig fort.
马上	med en gang; straks	Jeg kommer straks tilbake.
满意	fornøyd	Jeg er veldig fornøyd med dette rommet.
帽子	en hatt; en lue	Denne hatten er veldig fin.
米	en meter; ris	Dette bordet er to meter langt.
面包	brød	Jeg spiser brød til frokost.
明白	å forstå; tydelig	Jeg forstår hva du mener.
拿	å ta; å holde	Ta en bok for meg, er du snill.
奶奶	farmor; mormor	Farmor liker å høre på musikk.
南	sør	Skolen ligger sør i byen.
难	vanskelig	Dette spørsmålet er ikke vanskelig.
难过	trist; lei seg	Hun er litt trist i dag.
年级	en klasse; et skoleår	Lillesøsteren min går i tredje klasse.
年轻	ung	Denne sjefen er veldig ung.
鸟	en fugl	Det sitter en fugl i treet.
努力	å anstrenge seg; en innsats	Han studerer veldig flittig.
爬山	å bestige et fjell; å gå i fjellet	Vi skal gå i fjellet i helgen.
盘子	en tallerken; et fat	Det står tre tallerkener på bordet.
胖	tykk; lubben	Denne hunden er litt tykk.
啤酒	øl	Pappa drikker ikke øl.
皮鞋	lærsko	Dette paret lærsko er dyrt.
瓶子	en flaske	Det er vann i flasken.
其实	egentlig; faktisk	Egentlig liker jeg ikke øl.
其他	annen; øvrige	De andre klassekameratene har alle kommet.
奇怪	rar; merkelig	Denne lyden er veldig rar.
骑	å sykle; å ri	Han sykler til jobb hver dag.
起飞	å ta av	Flyet tar snart av.
起来	å reise seg; oppover	Reis deg, er du snill.
清楚	tydelig	Du snakket veldig tydelig.
请假	å be om fri	Han er forkjølet og må be om fri.
秋	høst	Været om høsten er behagelig.
裙子	et skjørt	Dette skjørtet er veldig fint.
然后	deretter; så	Først spiser jeg, deretter gjør jeg lekser.
热情	varm; hjertelig; entusiastisk	Kinesiske venner er veldig hjertelige.
认为	å mene; å synes	Jeg mener at denne metoden er god.
认真	alvorlig; grundig	Hør nøye på læreren, er du snill.
容易	lett	Dette kinesiske tegnet er lett å skrive.
如果	hvis	Hvis det regner, tar vi T-banen.
伞	en paraply	Det regner, ta med en paraply.
上网	å gå på nettet; å være på nett	Om kvelden går jeg på nettet for å se på kartet.
声音	en stemme; en lyd	Stemmen din høres fin ut.
生气	sint; å bli sint	Ikke bli sint, jeg gjorde det ikke med vilje.
世界	en verden	Verden er veldig stor.
试	å prøve; å teste	Jeg vil prøve dette paret lærsko.
瘦	tynn; slank	Han er tynnere enn før.
叔叔	en onkel	Onkel kjører meg til skolen.
舒服	behagelig; komfortabel	Denne stolen er behagelig.
数学	matematikk	Matematikktimen er interessant.
树	et tre	Det står et tre foran huset.
刷牙	å pusse tennene	Jeg pusser tennene hver morgen.
双	et par; dobbel	Jeg kjøpte et par lærsko.
水平	et nivå	Nivået hans i kinesisk er høyt.
司机	en sjåfør	Sjåføren venter på oss ved døren.
太阳	solen	Solen er sterk i dag.
特别	spesiell; spesielt	Dette programmet er spesielt interessant.
疼	å gjøre vondt; smertefull	Beinet mitt gjør vondt.
提高	å heve; å forbedre	Mer øving kan forbedre nivået i kinesisk.
体育	idrett; kroppsøving	Jeg liker kroppsøvingstimen.
甜	søt	Denne drikken er for søt.
条	måleord for lange gjenstander	Jeg kjøpte et skjørt.
同事	en kollega	Kollegaen min er veldig opptatt.
同意	å være enig; å samtykke	Jeg er enig i beslutningen din.
头发	hår	Håret hennes er langt.
突然	plutselig	Han gikk plutselig.
图书馆	et bibliotek	Biblioteket er ikke åpent i dag.
腿	et bein	Etter fjellturen gjør beina mine vondt.
完成	å fullføre; å gjøre ferdig	Jeg har allerede gjort ferdig leksene.
碗	en bolle; en skål	Det står to boller på bordet.
万	ti tusen	Denne byen har ti tusen innbyggere.
忘记	å glemme	Ikke glem å ta med passet ditt.
为	for; på grunn av	Jeg er glad på dine vegne.
为了	for; for å	For eksamen repeterer han hver dag.
位	høflig måleord for personer	Denne læreren er veldig berømt.
文化	kultur	Jeg vil forstå kinesisk kultur.
西	vest	Banken ligger vest for skolen.
习惯	en vane; å være vant til	Jeg er vant til å trene om morgenen.
洗手间	et toalett	Toalettet er til høyre.
洗澡	å dusje; å bade	Jeg dusjer om kvelden.
夏	sommer	Sommeren er veldig varm.
先	først; før	Spis du først.
相信	å tro	Jeg tror han kommer.
香蕉	en banan	Jeg kjøpte tre bananer.
像	å ligne; å være som	Denne skyen ligner på en fugl.
向	mot; i retning av	Gå til venstre, er du snill.
小心	å være forsiktig	Det regner, vær forsiktig på veien.
校长	en rektor	Rektoren er på kontoret.
新闻	nyheter	Pappa ser på nyhetene hver dag.
新鲜	fersk; frisk	Denne frukten er veldig fersk.
信用卡	et kredittkort	Kan jeg betale med kredittkort?
行李箱	en koffert	Kofferten min er tung.
熊猫	en panda	Barn liker å se på pandaer.
需要	å trenge	Jeg trenger hjelpen din.
选择	å velge; et valg	Hvilken skjorte velger du?
要求	å be om; å kreve	Læreren ber oss gjøre leksene grundig.
爷爷	farfar; morfar	Farfar går til parken hver dag.
一直	alltid; hele tiden	Han har ventet på deg hele tiden.
一定	sikkert; absolutt	Jeg kommer absolutt.
一共	til sammen	Hvor mye koster disse bøkene til sammen?
一会儿	en stund	Vent på meg en stund, er du snill.
一样	samme; lik	Disse to koppene er like store.
以前	før; tidligere	Før bodde jeg i Beijing.
一般	vanlig; gjennomsnittlig	Maten på denne restauranten er gjennomsnittlig.
一边	en side; mens	Han hører på musikk mens han gjør lekser.
音乐	musikk	Jeg liker kinesisk musikk.
银行	en bank	Banken ligger ved siden av supermarkedet.
饮料	en drikk	Denne drikken smaker godt.
应该	bør; skulle	Du bør hvile mer.
影响	en påvirkning; å påvirke	Været vil påvirke kampen.
用	å bruke	Jeg bruker datamaskinen til å gjøre lekser.
游戏	et spill	Barna spiller spill.
有名	berømt; kjent	Denne restauranten er veldig berømt.
又	igjen; på nytt	Han kom for sent igjen i dag.
遇到	å møte; å støte på	Jeg møtte læreren på gaten.
元	en yuan; valutaenhet	Denne ordboken koster femti yuan.
愿意	å være villig; å ville	Er du villig til å delta?
月亮	månen	Månen er lys i kveld.
越	jo mer... desto mer...	Jo mer jeg studerer kinesisk, desto mer interessant blir det.
站	en stasjon; å stå	Han står ved døren.
张	måleord for flate gjenstander	Gi meg et kart, er du snill.
长	å vokse	Barn vokser raskt.
着急	å bekymre seg; være urolig	Ikke bekymre deg, heisen kommer snart.
照顾	å ta vare på	Hun tar vare på den syke bestemoren sin.
照片	et bilde; et foto	Dette bildet ser bra ut.
照相机	et kamera	Jeg bruker et kamera til å ta bilder.
283:只	bare; kun	Jeg drikker bare én kopp te.
284:只	måleord for dyr	Det er en katt under bordet.
只有…才…	bare hvis... da...	Bare ved å repetere grundig kan du gjøre det bra på eksamen.
中间	midten; mellom	Bordet står midt i rommet.
中文	kinesisk; kinesisk skriftspråk	Jeg studerer kinesisk hver dag.
终于	endelig	Vi kom endelig fram.
种	en sort; en type	Hvilken type drikk liker du?
重要	viktig	Et pass er veldig viktig.
周末	en helg	Jeg vil gå til parken i helgen.
主要	hoved-; viktigst	Hans viktigste hobby er musikk.
注意	å være oppmerksom; å legge merke til	Vær oppmerksom på læreren, er du snill.
自己	selv; seg selv	Jeg vil gjøre leksene selv.
自行车	en sykkel	Sykkelen min står der nede.
总是	alltid	Han kommer alltid tidlig til kontoret.
嘴	en munn	Åpne munnen, er du snill.
最后	sist; til slutt	Til slutt var vi alle enige.
最近	nylig; i det siste	Jeg har vært opptatt i det siste.
作业	lekser	Jeg har ikke gjort ferdig leksene ennå.
