source_headword	BN	example_BN
transmit	ছড়ানো	মশা রোগ ছড়াতে পারে।
transportation	পরিবহন	আজ পাবলিক পরিবহন খুব ভিড়।
trap	ফাঁদে ফেলা	বাক্সটি নিরাপদে পোকামাকড় ফাঁদে ফেলতে পারে।
treasure	গুপ্তধন	পুরানো বাক্সটিতে গুপ্তধন ছিল।
tribe	উপজাতি	উপজাতিটি তাদের ঐতিহ্য রক্ষা করেছিল।
trigger	চালু করা	ধোঁয়া অ্যালার্ম চালু করতে পারে।
trillion	ট্রিলিয়ন	ঋণ এক ট্রিলিয়ন ডলারে পৌঁছেছে।
troop	সৈন্যদল	সৈন্যদল সীমান্তের দিকে অগ্রসর হল।
tsunami	সুনামি	সুনামি উপকূলীয় বাড়িঘর ধ্বংস করেছে।
ultimate	চূড়ান্ত	চূড়ান্ত লক্ষ্য হলো শান্তি।
unacceptable	অগ্রহণযোগ্য	বিলম্বটি যাত্রীদের কাছে অগ্রহণযোগ্য ছিল।
uncertainty	অনিশ্চয়তা	অনিশ্চয়তা বিনিয়োগকারীদের নার্ভাস করে তুলেছিল।
undergo	মধ্য দিয়ে যাওয়া	রোগীর আগামীকাল সার্জারি হবে।
undertake	গ্রহণ করা	দলটি একটি জরিপ হাতে নেবে।
unfold	উন্মোচিত হওয়া	নাটকটি ধীরে ধীরে উন্মোচিত হতে শুরু করে।
unfortunate	দুর্ভাগ্যজনক	ত্রুটিটি দুর্ভাগ্যজনক তবে ঠিক করার মতো ছিল।
unite	একত্রিত করা	নেতারা দলটিকে একত্রিত করার চেষ্টা করেছিলেন।
unity	একতা	বক্তব্যটি জাতীয় একতার আহ্বান জানিয়েছিল।
universal	সর্বজনীন	অ্যাপটি একটি সর্বজনীন ডিজাইন ব্যবহার করে।
urgent	জরুরি	হাসপাতালটি একটি জরুরি কল পেয়েছে।
usage	ব্যবহার	নির্দেশিকাটি সঠিক ব্যবহার ব্যাখ্যা করে।
useless	অকেজো	ভাঙা চার্জারটি অকেজো।
valid	বৈধ	আপনার পাসপোর্ট এখনও বৈধ।
variation	তারতম্য	দামে ব্যাপক তারতম্য রয়েছে।
vertical	উল্লম্ব	চার্টটির একটি উল্লম্ব অক্ষ রয়েছে।
viewpoint	দৃষ্টিকোণ	বিতর্কের পর তার দৃষ্টিকোণ বদলে যায়।
visa	ভিসা	সে স্টুডেন্ট ভিসার জন্য আবেদন করেছিল।
visible	দৃশ্যমান	সাইনটি এখান থেকে দৃশ্যমান।
voluntary	স্বেচ্ছাসেবী	কোর্সটিতে স্বেচ্ছাসেবী কর্মশালা অন্তর্ভুক্ত রয়েছে।
voting	ভোটদান	আগাম ভোটদান আগামী সপ্তাহে শুরু হবে।
wander	ঘোরাঘুরি করা	পর্যটকরা পুরনো বাজারে ঘোরাঘুরি করে।
warming	উষ্ণায়ন	বিশ্ব উষ্ণায়ন সমুদ্রপৃষ্ঠের উচ্চতাকে প্রভাবিত করে।
weekly	সাপ্তাহিক	দলটি একটি সাপ্তাহিক সভা করে।
weird	অদ্ভুত	শব্দটা অদ্ভুত শোনাল।
welfare	কল্যাণ	প্রোগ্রামটি শিশু কল্যাণ সমর্থন করে।
wheat	গম	কৃষক গম চাষ করে।
whoever	যে কেউ	যে কেউ প্রথমে আসবে তার বাইরে অপেক্ষা করা উচিত।
widespread	ব্যাপক	ঝড়টি ব্যাপক ক্ষয়ক্ষতি করেছে।
wisdom	প্রজ্ঞা	তার দাদী ব্যবহারিক জ্ঞান শেয়ার করেছিলেন।
withdraw	প্রত্যাহার করা	সে তার আবেদন প্রত্যাহার করার সিদ্ধান্ত নিয়েছে।
workforce	কর্মীবাহিনী	কর্মীবাহিনীর নতুন দক্ষতা প্রয়োজন।
workplace	কর্মক্ষেত্র	কর্মক্ষেত্রে স্পষ্ট সুরক্ষার নিয়ম রয়েছে।
workshop	কর্মশালা	কর্মশালা দশটায় শুরু হবে।
worm	পোকা	একটি পোকা মাটির উপর দিয়ে চলে গেল।
wrist	কবজি	সে তার কবজিতে আঘাত পেয়েছে।
