source_headword	JA	example_JA
slave	奴隷	その法律はすべての奴隷を解放しました。
slide	滑る / すべり台	子供はすべり台を滑り降りました。
slight	わずかな	わずかな遅れがありました。
slip	滑る	濡れた床で滑らないようにしてください。
slope	斜面	その道は急な斜面に沿っています。
solar	太陽の	その家は太陽エネルギーを使用しています。
somewhat	やや	その指示はやや分かりにくかったです。
soul	魂	音楽が彼女の魂を高揚させました。
specialist	専門家	専門家が患者を診察しました。
species	種	この種は川の近くに生息しています。
spiritual	精神的な	彼女は精神的な体験について語りました。
split	分割する	彼らは勘定を等分にしました。
sponsor	後援する	その会社がイベントを後援します。
stable	安定した	患者の状態は安定しています。
stare	じっと見る	見知らぬ人をじっと見つめないでください。
status	地位	彼の地位は一晩で変わりました。
steady	一定の	一定の速度を保ってください。
steel	鋼鉄	その橋は鋼鉄でできています。
steep	急な	その丘は急です。
sticky	べたべたする	床がべたべたします。
stiff	凝った	彼の肩はこっていました。
stock	在庫	その店には在庫が残っていません。
stream	小川	小さな小川が野原を横切っています。
stretch	伸ばす	飛行の後は足を伸ばしてください。
strict	厳しい	その学校には厳しい規則があります。
strike	ストライキをする	労働者は明日ストライキをするかもしれません。
struggle	苦労する	多くの家族が家賃の支払いに苦労しています。
submit	提出する	金曜日までにフォームを提出してください。
sum	金額	その金額は予想より高かったです。
surgery	手術	手術は2時間続きました。
surround	囲む	高い木々がその家を囲んでいます。
surrounding	周囲の	周囲の地域は静かです。
suspect	疑う	警察は地元の男を疑っています。
swear	罵る	授業中に汚い言葉を使ってはいけません。
sweep	掃く	客が来る前に床を掃いてください。
sympathy	同情	彼女は被害者に同情を表しました。
tale	物語	祖母は奇妙な話をしました。
tank	タンク	そのタンクにはきれいな水が入っています。
tear1	破る	その書類を破らないでください。
tear2	涙	一筋の涙が彼女の頬を伝って落ちました。
temporary	一時的な	そのオフィスは一時的な避難所です。
therapy	治療	物理療法が彼の回復を助けました。
threat	脅威	そのメッセージには脅迫が含まれていました。
threaten	脅かす	嵐が農作物に被害を与える恐れがあります。
thus	したがって	道路が閉鎖されていたため、私たちは待ちました。
tone	口調	彼の口調は穏やかに聞こえました。
tough	厳しい	面接は厳しかった。
transfer	転送する	彼らは毎晩データを転送する。
transform	変える	新しい政策はサービスを変えるだろう。
transition	移行	移行には数ヶ月かかった。
trial	裁判	裁判は来週始まる。
tropical	熱帯の	ここでは熱帯低気圧がよく発生する。
truly	本当に	本当に助かりました。
trust	信頼	信頼を築くには時間がかかる。
tune	曲	バンドは陽気な曲を演奏した。
tunnel	トンネル	トンネルは川の下を通っている。
ultimately	最終的に	最終的に、その計画は成功した。
unconscious	意識を失った	患者は意識を失ったままだった。
unexpected	予期せぬ	その遅れは予期せぬものだった。
unique	ユニークな	それぞれのデザインはユニークだ。
universe	宇宙	宇宙は膨張している。
unknown	未知の	名前は未知のままだ。
upper	上の	上の棚は空だ。
upwards	上へ	煙は上へ向かった。
urban	都市の	都市部にはより良い交通機関が必要だ。
urge	強く勧める	医師は人々に運動するよう強く勧めている。
vary	異なる	価格は地域によって異なる。
vast	広大な	砂漠は広大な面積を覆っている。
venue	会場	その会場は500人を収容できる。
via	～経由で	メール経由で書類を送ってください。
victory	勝利	チームは勝利を祝った。
violence	暴力	その都市は政治的暴力に苦しんだ。
virtual	仮想の	会議は仮想空間で行われる。
vision	ビジョン	彼女のビジョンが会社を形作った。
visual	視覚的な	報告書には視覚的な例が含まれている。
vital	不可欠な	水は生命に不可欠だ。
vitamin	ビタミン	みかんにはビタミンCが含まれている。
volume	音量	音量を下げて。
wage	賃金	労働者たちはより高い賃金を要求した。
weakness	弱点	その計画には一つ弱点がある。
wealth	富	彼の富は貿易から得たものだ。
wealthy	裕福な	裕福な家族が博物館に資金を提供した。
whereas	～であるのに対し	彼女は紅茶が好きだが、私はコーヒーの方が好きだ。
wherever	どこでも	快適だと感じる場所ならどこでも座って。
whisper	ささやく	式典中はささやき声で話してください。
whom	誰を	誰を招待したの？
widely	広く	その本は広く読まれている。
wildlife	野生生物	その公園は地元の野生生物を保護している。
willing	喜んで～する	彼女は喜んで手伝ってくれる。
wind2	巻く	ケーブルをリールに巻いて。
wire	ワイヤー	そのワイヤーが2つのデバイスを接続している。
wise	賢明な	それは賢明な選択だった。
witness	目撃者	目撃者が事故の様子を語った。
wound	傷	傷を丁寧に洗って。
wrap	包む	プレゼントを紙で包んで。
zone	区域	この区域は車両通行止めだ。
