source_headword	RO	example_RO
chip	un chips; o așchie	Chipsul acesta este sărat.
choice	o alegere	Alegerea aceasta este importantă.
church	o biserică	Biserica este aproape de aici.
cigarette	o țigară	Țigara este rea pentru sănătate.
circle	un cerc; a încercui	Desenează un cerc aici.
classical	clasic	Îmi place muzica clasică.
clear	clar; limpede	Răspunsul este clar.
clearly	clar	Vorbește clar, te rog.
clever	inteligent; isteț	Ea este un copil inteligent.
climate	climă	Clima se schimbă.
close2	apropiat; aproape	Școala mea este aproape de casă.
closed	închis	Magazinul este închis.
clothing	îmbrăcăminte	Îmbrăcămintea caldă este utilă.
cloud	un nor	Un nor acoperă soarele.
coach	un antrenor; un autocar	Antrenorul a ajutat echipa.
coast	o coastă; țărm	Am condus de-a lungul coastei.
code	un cod	Introdu codul aici.
colleague	un coleg; o colegă	Colegul meu m-a sunat.
collect	a colecționa; a strânge	Colecționez cărți vechi.
column	o coloană	Citește prima coloană.
comedy	o comedie	Această comedie este amuzantă.
comfortable	confortabil	Scaunul acesta este confortabil.
comment	un comentariu; a comenta	Lasă un comentariu mai jos.
communicate	a comunica	Comunicăm prin e-mail.
community	o comunitate	Comunitatea noastră este prietenoasă.
compete	a concura	Ei concurează în fiecare an.
competition	o competiție; un concurs	Concursul începe mâine.
complain	a se plânge	Nu te mai plânge.
completely	complet; total	Sunt complet de acord cu tine.
condition	o stare; o condiție	Mașina este în stare bună.
conference	o conferință	Conferința începe la nouă.
connect	a conecta	Conectează telefonul la computer.
connected	conectat; legat	Cele două idei sunt legate.
consider	a considera	Te rog, ia în considerare ideea mea.
contain	a conține	Această cutie conține cărți.
context	un context	Contextul te ajută să înțelegi.
continent	un continent	Un continent este foarte mare.
continue	a continua	Continuă să citești, te rog.
control	control; a controla	Controlează viteza cu atenție.
cooker	un aragaz	Aragazul este curat.
copy	o copie; a copia	Fă o copie pentru mine.
corner	un colț	Stai în colț.
correctly	corect	Scrie răspunsul corect.
count	a număra	Numără cărțile.
couple	un cuplu; câțiva	Cuplul a sosit devreme.
cover	a acoperi; o copertă	Acoperă bolul.
crazy	nebun; trăsnit	Ideea aceasta pare nebunească.
creative	creativ	Ea are o idee creativă.
credit	credit; card de credit	Am plătit cu cardul de credit.
crime	infracțiune; criminalitate	Criminalitatea este o problemă serioasă.
criminal	un infractor; criminal	Infractorul a plecat repede.
cross	a traversa; o cruce	Traversează strada cu atenție.
crowd	o mulțime	O mulțime aștepta afară.
crowded	aglomerat	Trenul era aglomerat.
cry	a plânge; un strigăt	Nu plânge acum.
cupboard	un dulap	Ceștile sunt în dulap.
curly	creț	Ea are păr creț.
cycle	a merge cu bicicleta; un ciclu	Merg cu bicicleta la școală.
daily	zilnic	Citesc știrile zilnic.
danger	pericol	Semnul arată pericol.
data	date	Datele sunt utile.
dead	mort; uscat	Planta este moartă.
deal	o afacere; o ofertă	Aceasta este o ofertă bună.
death	moarte	Moartea este un subiect dificil.
decision	o decizie	Ia o decizie azi.
deep	adânc	Apa este adâncă.
definitely	cu siguranță	Cu siguranță vreau ceai.
degree	o diplomă; un grad	Diploma mea este în istorie.
dentist	un dentist; o dentistă	Dentistul mi-a verificat dinții.
department	un departament; raion	Raionul de pantofi este sus.
depend	a depinde	Depinde de vreme.
desert	un deșert	Deșertul este foarte uscat.
designer	un designer; o designeră	Designerul a făcut această rochie.
destroy	a distruge	Nu distruge fișierul.
detective	un detectiv	Detectivul a găsit cheia.
develop	a dezvolta	Ei dezvoltă o aplicație nouă.
device	un dispozitiv	Acest dispozitiv este util.
diary	un jurnal	Ea scrie în jurnalul ei.
differently	diferit	Facem asta diferit.
digital	digital	Acesta este un aparat foto digital.
direct	direct	Ia un tren direct.
direction	direcție	Mergi în această direcție.
director	un director; un regizor	Regizorul a apreciat filmul.
disagree	a nu fi de acord	Nu sunt de acord cu ideea aceea.
disappear	a dispărea	Soarele va dispărea curând.
disaster	un dezastru	Furtuna a fost un dezastru.
discover	a descoperi	Ei descoperă o insulă nouă.
discovery	o descoperire	Descoperirea a schimbat știința.
discussion	o discuție	Discuția s-a terminat devreme.
disease	o boală	Această boală este serioasă.
distance	o distanță	Distanța este scurtă.
divorced	divorțat	Părinții ei sunt divorțați.
document	un document; a documenta	Salvează acest document acum.
double	dublu	Am nevoie de o cameră dublă.
download	a descărca; o descărcare	Descarcă aplicația azi.
drama	o dramă	Drama începe diseară.
drawing	un desen	Desenul ei este frumos.
dream	un vis; a visa	Am avut un vis ciudat.
driving	condus; șofat	Condusul noaptea este greu.
drop	a scăpa; a lăsa să cadă	Nu scăpa paharul.
drug	un medicament; un drog	Medicamentul l-a ajutat.
dry	uscat; a usca	Prosopul este uscat.
earn	a câștiga	Câștig bani la serviciu.
earth	pământul; sol	Pământul este rotund.
easily	ușor	Ea învață ușor.
education	educație	Educația este importantă.
effect	un efect	Efectul a fost clar.
either	oricare; fie	Oricare răspuns este bun.
electric	electric	Această mașină este electrică.
electrical	electric	Sistemul electric este sigur.
electricity	electricitate	Electricitatea este scumpă aici.
electronic	electronic	Acest bilet electronic funcționează.
employ	a angaja	Ei angajează cinci oameni.
employee	un angajat; o angajată	Angajatul muncește mult.
employer	un angajator	Angajatorul meu este corect.
empty	gol; a goli	Camera este goală.
ending	un final	Finalul a fost surprinzător.
energy	energie	Nu am energie azi.
engine	un motor	Motorul este zgomotos.
engineer	un inginer; o ingineră	Inginerul a reparat podul.
enormous	enorm	Clădirea este enormă.
enter	a intra; a introduce	Intră în cameră încet.
environment	mediu; mediul înconjurător	Protejează mediul.
equipment	echipament	Acest echipament este scump.
error	o eroare	Am găsit o eroare.
especially	mai ales	Îmi place mai ales acest cântec.
essay	un eseu	Scrie un eseu diseară.
everyday	de zi cu zi; cotidian	Aceasta este engleza de zi cu zi.
everywhere	peste tot	Florile cresc peste tot.
evidence	dovezi; o dovadă	Dovada este clară.
exact	exact	Dă numărul exact.
exactly	exact	Este exact corect.
excellent	excelent	Munca ta este excelentă.
except	cu excepția; în afară de	Toți au venit în afară de mine.
exist	a exista	Există această adresă?
expect	a aștepta; a se aștepta	Mă aștept la ploaie mâine.
experience	experiență; a experimenta	Am experiență cu copiii.
experiment	un experiment	Experimentul a funcționat bine.
expert	un expert; o expertă	Cere ajutorul unui expert.
explanation	o explicație	Explicația ei a fost clară.
express	a exprima	Te rog, exprimă-ți opinia.
expression	o expresie	Această expresie este comună.
extreme	extrem	Căldura a fost extremă.
extremely	extrem de	Este extrem de frig.
factor	un factor	Costul este un factor.
factory	o fabrică	Fabrica se închide la cinci.
fail	a eșua; a pica	Nu am picat.
fair	corect; echitabil	Prețul este corect.
fan	un ventilator; un fan	Pornește ventilatorul.
farming	agricultură	Agricultura este muncă grea.
fashion	modă	Moda se schimbă în fiecare an.
fear	frică; teamă	Frica poate opri oamenii.
feature	o caracteristică; a include	Telefonul acesta are o caracteristică utilă.
feed	a hrăni	Hrănește pisica acum.
female	feminin; femeie	Atleta a câștigat.
fiction	ficțiune	Ea citește ficțiune seara.
field	un câmp; un domeniu	Câmpul este verde.
fight	a lupta; o ceartă	Ei se ceartă prea mult.
figure	o figură; un număr	Uită-te la figură.
finally	în sfârșit	În sfârșit am ajuns acasă.
finger	un deget	Mă doare degetul.
firstly	în primul rând	În primul rând, citește întrebarea.
fishing	pescuit	Pescuitul este popular aici.
fit	a se potrivi; în formă	Acești pantofi se potrivesc bine.
fix	a repara	Repară scaunul stricat.
flu	gripă	Am gripă.
flying	zbor; zburător	Zborul este rapid.
focus	a se concentra; concentrare	Concentrează-te pe această sarcină.
following	următor; de mai jos	Citește următoarea propoziție.
foreign	străin	Ea vorbește o limbă străină.
forest	o pădure	Pădurea este liniștită.
fork	o furculiță	Folosește o furculiță.
formal	formal	Această scrisoare este formală.
fortunately	din fericire	Din fericire, nimeni nu a fost rănit.
forward	înainte	Mergi înainte încet.
fresh	proaspăt	Pâinea este proaspătă.
