source_headword	PT-BR	example_PT-BR
panic	o pânico	O pânico se espalhou pela multidão.
parade	o desfile	O desfile começou ao meio-dia.
parallel	paralelo	As estradas correm paralelas.
participation	a participação	A participação na aula melhorou.
partnership	a parceria	A parceria ajudou ambas as empresas.
part-time	de meio período	Ela encontrou um emprego de meio período.
passionate	apaixonado	Ele é apaixonado por música.
password	a senha	Escolha uma senha forte.
patience	a paciência	Ensinar crianças pequenas requer paciência.
pause	pausar	Pause o vídeo agora.
peer	o colega	A pressão dos colegas influenciou sua escolha.
penalty	a penalidade	O jogador recebeu uma penalidade.
perceive	perceber	As pessoas percebem o risco de maneira diferente.
perception	a percepção	A percepção de perigo dele mudou.
permanently	permanentemente	A loja fechou permanentemente.
pill	o comprimido	Tome um comprimido após o café da manhã.
pity	a pena	É uma pena.
placement	o posicionamento	O posicionamento do sofá é importante.
portion	a porção	Sirva uma pequena porção de arroz.
potentially	potencialmente	Esta mudança é potencialmente útil.
precede	preceder	Nuvens escuras costumam preceder a chuva.
precious	precioso	O anel é precioso.
precise	preciso	As instruções eram precisas.
precisely	precisamente	Meça a distância precisamente.
predictable	previsível	O final era previsível.
preference	a preferência	Ela expressou preferência por chá.
pride	o orgulho	Ele sentiu orgulho depois de terminar.
primarily	principalmente	O curso é principalmente online.
principal	o diretor	O diretor cumprimentou os novos alunos.
prior	prévio	Precisamos de aprovação prévia.
probability	a probabilidade	A probabilidade de chuva é alta.
probable	provável	Chuva é provável hoje à noite.
proceed	prosseguir	Por favor, prossiga para a próxima sala.
programming	a programação	Programação exige prática.
progressive	progressista	A política era progressista para a época.
prohibit	proibir	As regras proíbem fumar.
promising	promissor	Os resultados parecem promissores.
promotion	a promoção	Ela conseguiu uma promoção no trabalho.
prompt	rápido	A resposta rápida economizou tempo.
proportion	a proporção	Uma grande proporção votou sim.
protein	a proteína	Os feijões contêm proteína.
protester	o manifestante	O manifestante segurava uma placa.
psychological	psicológico	O acidente causou estresse psicológico.
publicity	a publicidade	O evento recebeu publicidade.
publishing	o mercado editorial	Ela trabalha no mercado editorial.
punk	o punk	A música punk se tornou popular lá.
purely	puramente	A escolha foi puramente prática.
pursuit	a busca	Ele continuou sua busca por justiça.
puzzle	o quebra-cabeça	O quebra-cabeça levou uma hora.
questionnaire	o questionário	Por favor, preencha o questionário.
racial	racial	O relatório discutiu a desigualdade racial.
racism	o racismo	O racismo prejudica as comunidades.
racist	racista	O comentário foi racista.
radiation	a radiação	A radiação pode danificar as células.
rail	o corrimão	Segure o corrimão na escada.
random	aleatório	O computador escolheu um número aleatório.
rat	o rato	Um rato correu atrás das lixeiras.
rating	a avaliação	O hotel tem uma avaliação alta.
reasonably	razoavelmente	O quarto estava razoavelmente limpo.
rebuild	reconstruir	Eles vão reconstruir a ponte.
receiver	o receptor	O receptor pegou a bola.
recession	a recessão	A recessão reduziu os gastos.
reckon	achar	Eu acho que o trem está atrasado.
recognition	o reconhecimento	Ela recebeu reconhecimento por seu trabalho.
recovery	a recuperação	A recuperação levou várias semanas.
recruit	recrutar	A empresa vai recrutar engenheiros.
recruitment	o recrutamento	O recrutamento começa na próxima segunda-feira.
referee	o árbitro	O árbitro parou a partida.
refugee	o refugiado	O refugiado encontrou um lar seguro.
registration	a inscrição	A inscrição termina na sexta-feira.
regulate	regular	A lei vai regular as emissões.
reinforce	reforçar	Vigas extras reforçam o teto.
relieve	aliviar	O remédio pode aliviar a dor.
relieved	aliviado	Ela se sentiu aliviada após a ligação.
remarkable	notável	A recuperação foi notável.
remarkably	notavelmente	Ele se recuperou notavelmente rápido.
reporting	a reportagem	Uma reportagem precisa é importante.
resign	renunciar	O gerente vai renunciar amanhã.
resolution	a resolução	A tela tem alta resolução.
restore	restaurar	Os trabalhadores restauram a pintura antiga.
restrict	restringir	As regras restringem o estacionamento.
restriction	a restrição	A restrição termina amanhã.
retail	o varejo	As vendas no varejo aumentaram.
retirement	a aposentadoria	Ela planejou sua aposentadoria cuidadosamente.
revenue	a receita	A receita dos ingressos pagou pelos reparos.
revision	a revisão	A revisão ajudou antes do exame.
ridiculous	ridículo	O preço era ridículo.
risky	arriscado	O plano parecia arriscado.
rival	o rival	Nosso rival abriu uma nova loja.
rob	roubar	Os homens tentaram roubar o banco.
robbery	o roubo	O roubo aconteceu à noite.
rocket	o foguete	O foguete foi lançado com sucesso.
romance	o romance	O livro inclui um romance.
rose	a rosa	Uma rosa vermelha cresceu perto da cerca.
roughly	aproximadamente	Aproximadamente vinte pessoas compareceram.
ruin	arruinar	A chuva pode arruinar o piquenique.
satisfaction	a satisfação	A satisfação do cliente melhorou.
scandal	o escândalo	O escândalo prejudicou a carreira dele.
scare	o susto	O barulho alto me deu um susto.
scenario	o cenário	O pior cenário é improvável.
scholar	o acadêmico	O estudioso estudou textos antigos.
scholarship	a bolsa de estudos	Ela ganhou uma bolsa de estudos.
scratch	o arranhão	O gato deixou um arranhão.
screening	a triagem	O hospital oferece triagem de câncer.
seeker	o candidato	O candidato a emprego enviou currículos.
seminar	o seminário	O seminário começa às nove.
settler	o colonizador	O colonizador construiu uma pequena fazenda.
severely	severamente	A tempestade danificou gravemente as estradas.
sexy	sexy	O vestido foi considerado sexy.
shocking	chocante	A notícia foi chocante.
shore	a costa	Nós caminhamos ao longo da costa.
shortage	a escassez	A cidade enfrentou uma escassez de água.
shortly	em breve	O ônibus chegou logo após o meio-dia.
short-term	de curto prazo	O plano tem benefícios de curto prazo.
sibling	o irmão	Cada irmão recebeu um presente.
signature	a assinatura	Por favor, adicione sua assinatura.
significance	a importância	A descoberta tem grande importância.
skilled	qualificado	Trabalhadores qualificados consertaram o telhado.
slogan	o slogan	A campanha usou um slogan simples.
so-called	o suposto	O suposto especialista cometeu erros.
somehow	de alguma forma	De alguma forma, as chaves desapareceram.
sometime	algum dia	Visite-nos algum dia na semana que vem.
sophisticated	sofisticado	O software é sofisticado.
spare	reserva	Nós guardamos uma chave reserva.
specialize	especializar-se	Os médicos se especializam em diferentes áreas.
specify	especificar	Por favor, especifique sua hora de chegada.
spectacular	espetacular	Os fogos de artifício foram espetaculares.
spectator	o espectador	Cada espectador recebeu um programa.
speculate	especular	Especialistas especulam sobre a causa.
speculation	a especulação	O artigo encorajou a especulação.
spice	o tempero	Adicione um tempero de cada vez.
spill	derramar	Não derrame o suco.
spite	o despeito	Ele teve sucesso apesar dos problemas.
spoil	estragar	Muito sal pode estragar a sopa.
spokesman	o porta-voz	O porta-voz respondeu às perguntas.
spokesperson	o porta-voz	O porta-voz leu uma declaração.
spokeswoman	a porta-voz	A porta-voz falou com a imprensa.
sponsorship	o patrocínio	A equipe precisa de patrocínio.
sporting	esportivo	A cidade sedia eventos esportivos.
stall	a barraca	A barraca do mercado vende frutas.
stance	a postura	O ministro mudou sua postura.
starve	passar fome	Sem comida, os animais podem passar fome.
steadily	constantemente	A empresa cresceu constantemente.
steam	o vapor	O vapor subiu da sopa.
stimulate	estimular	Cores brilhantes podem estimular o interesse.
