source_headword	BN	example_BN
diagnosis	রোগ নির্ণয়	রোগ নির্ণয়টি তার উপসর্গগুলো ব্যাখ্যা করেছে।
dictate	নির্দেশ দেওয়া	চুক্তিটি অর্থ প্রদানের শর্তগুলো নির্দেশ করবে।
dictator	একনায়ক	একনায়ক সংবাদমাধ্যম নিয়ন্ত্রণ করতেন।
differentiate	পার্থক্য করা	আপনি কি মতামতের সাথে তথ্যের পার্থক্য করতে পারবেন?
dignity	মর্যাদা	কর্মক্ষেত্রে প্রত্যেকেই মর্যাদা পাওয়ার যোগ্য।
dilemma	উভয়সংকট	ব্যবস্থাপক একটি গুরুতর উভয়সংকটের সম্মুখীন হয়েছেন।
dimension	মাত্রা	সমস্যাটির একটি রাজনৈতিক মাত্রা আছে।
diminish	কমা	ব্যথাটি ধীরে ধীরে কমা উচিত।
dip	ডোবানো	তাপমাত্রা হিমাঙ্কের নিচে নামতে পারে।
diplomat	কূটনীতিক	কূটনীতিক বিদেশী নেতাদের সাথে দেখা করেছিলেন।
diplomatic	কূটনৈতিক	কূটনৈতিক আলোচনা সারারাত ধরে চলেছিল।
directory	ডিরেক্টরি	তার নম্বরের জন্য ডিরেক্টরিতে খুঁজুন।
disastrous	বিপর্যয়কর	বিপর্যয়কর বন্যাটি কয়েকটি সেতু ধ্বংস করে দিয়েছে।
discard	ফেলে দেওয়া	দরকারী রেকর্ড ফেলে দেবেন না।
discharge	ছাড়পত্র দেওয়া	হাসপাতাল তাকে আগামীকাল ছাড়পত্র দেবে।
disclose	প্রকাশ করা	কর্মকর্তারা পরিসংখ্যান প্রকাশ করতে অস্বীকৃতি জানিয়েছেন।
disclosure	প্রকাশ	এই প্রকাশ বোর্ডকে হতবাক করেছিল।
discourse	আলোচনা	জনসমক্ষে আলোচনা আরও ভদ্র হয়ে উঠেছে।
discretion	বিচক্ষণতা	সংবেদনশীল ক্ষেত্রে আপনার বিচক্ষণতা ব্যবহার করুন।
discrimination	বৈষম্য	আইনটি নিয়োগের ক্ষেত্রে বৈষম্য নিষিদ্ধ করে।
dismissal	বরখাস্ত	তার বরখাস্ত জনমনে ক্ষোভের সৃষ্টি করেছিল।
displace	স্থানচ্যুত করা	যুদ্ধটি হাজার হাজার মানুষকে স্থানচ্যুত করতে পারে।
disposal	নিষ্কাশন	বর্জ্য নিষ্কাশন একটি স্থানীয় সমস্যা রয়ে গেছে।
dispose	নিষ্পত্তি করা	কোম্পানিটিকে নিরাপদে রাসায়নিক নিষ্পত্তি করতে হবে।
dispute	বিবাদ	বিবাদটি কয়েক মাস ধরে চলেছিল।
disrupt	ব্যাহত করা	গোলমাল মনোযোগ ব্যাহত করতে পারে।
disruption	ব্যাঘাত	ধর্মঘটটি বড় ধরনের ব্যাঘাত ঘটিয়েছিল।
dissolve	গলে যাওয়া	চিনি গরম চায়ে গলে যাবে।
distinction	পার্থক্য	তাদের মধ্যে পার্থক্যটি গুরুত্বপূর্ণ।
distinctive	স্বতন্ত্র	তার একটি স্বতন্ত্র কণ্ঠস্বর রয়েছে।
distort	বিকৃত করা	আয়না আপনার প্রতিবিম্বকে বিকৃত করতে পারে।
distress	কষ্ট	কলটি মারাত্মক কষ্টের কারণ হয়েছিল।
disturbing	উদ্বেগজনক	তথ্যচিত্রটি উদ্বেগজনক দৃশ্য দেখিয়েছে।
divert	অন্যদিকে ঘোরানো	পুলিশকে ট্রাফিক অন্যদিকে ঘোরাতে হয়েছিল।
divine	স্বর্গীয়	চ্যাপেলটির একটি ঐশ্বরিক পরিবেশ রয়েছে।
doctrine	মতবাদ	দলটি পুরনো মতবাদ প্রত্যাখ্যান করেছে।
documentation	নথিপত্র	চালু করার আগে নথিপত্রের কাজ সম্পন্ন করুন।
domain	ডোমেন	ওয়েবসাইটটি একটি নিরাপদ ডোমেন ব্যবহার করে।
dominance	আধিপত্য	দলটির আধিপত্য এক দশক ধরে চলেছিল।
donor	দাতা	দাতা আজ রক্ত দিয়েছেন।
dose	মাত্রা	সকালের নাস্তার পর এক মাত্রা নিন।
drain	নিষ্কাশন করা	পানি নদীতে নিষ্কাশিত হবে।
drift	ভেসে যাওয়া	ধোঁয়া রাস্তার ওপারে ভেসে যেতে শুরু করেছিল।
driving	চালিকা	বৃষ্টিই ছিল বিলম্বের প্রধান চালিকা শক্তি।
drown	ডুবে যাওয়া	এমন স্রোতে কখনও সাঁতার কাটবেন না যা আপনাকে ডুবিয়ে দিতে পারে।
dual	দ্বৈত	ডিভাইসটির একটি দ্বৈত কাজ আছে।
dub	আখ্যা দেওয়া	সমালোচকরা শহরটিকে সাংস্কৃতিক রাজধানী হিসেবে আখ্যা দিয়েছেন।
dumb	বোকা	এটি একটি বোকা ভুল ছিল।
duo	জুটি	এই কৌতুক জুটি ইউরোপ সফর করেছিল।
eager	আগ্রহী	শিক্ষার্থীরা শুরু করতে আগ্রহী ছিল।
earnings	আয়	কোম্পানির আয় তীব্রভাবে বৃদ্ধি পেয়েছে।
ease	সহজ করা	নতুন রাস্তাটি যানজট সহজ করবে।
echo	প্রতিধ্বনিত হওয়া	তার কণ্ঠস্বর হলঘরে প্রতিধ্বনিত হয়েছিল।
ecological	পরিবেশগত	পরিবেশগত প্রভাবটি অনিশ্চিত রয়ে গেছে।
educator	শিক্ষাবিদ	শিক্ষাবিদ একটি নতুন কোর্স ডিজাইন করেছেন।
effectiveness	কার্যকারিতা	গবেষণায় টিকার কার্যকারিতা পরিমাপ করা হয়েছে।
efficiency	দক্ষতা	উন্নত সফটওয়্যার দক্ষতা বাড়িয়েছে।
ego	অহংকার	তার অহংকার কর্মক্ষেত্রে সমস্যা তৈরি করেছে।
elaborate	বিস্তারিত	বিস্তারিত পোশাকটি তৈরি করতে কয়েক সপ্তাহ সময় লেগেছিল।
electoral	নির্বাচনী	গত বছর নির্বাচনী ব্যবস্থা পরিবর্তিত হয়েছে।
elevate	উন্নীত করা	পুরস্কারটি তার প্রোফাইলকে উন্নীত করবে।
eligible	যোগ্য	শুধুমাত্র বাসিন্দারাই ছাড়ের জন্য যোগ্য।
elite	অভিজাত	অভিজাতরা একটি বেসরকারি একাডেমিতে প্রশিক্ষণ নিয়েছিল।
embark	শুরু করা	তারা একটি দীর্ঘ যাত্রা শুরু করবে।
embarrassment	বিব্রতবোধ	সে তার বিব্রতবোধ লুকাতে হেসেছিল।
embassy	দূতাবাস	দূতাবাস নতুন ভ্রমণ পরামর্শ জারি করেছে।
embed	অন্তর্ভুক্ত করা	সাংবাদিক এই ইউনিটের সাথে অন্তর্ভুক্ত হবেন।
embody	মূর্ত করা	মূর্তিটি সাহসিকতাকে মূর্ত করে বলে মনে হয়।
emergence	উদ্ভব	ফোনের উদ্ভব দৈনন্দিন জীবনকে বদলে দিয়েছে।
empirical	পরীক্ষামূলক	গবেষণাপত্রটি পরীক্ষামূলক প্রমাণের উপর নির্ভর করে।
empower	ক্ষমতায়ন করা	শিক্ষা স্থানীয় সম্প্রদায়কে ক্ষমতায়ন করতে পারে।
enact	আইন প্রণয়ন করা	সংসদ সংস্কার আইন প্রণয়নের পক্ষে ভোট দিয়েছে।
encompass	অন্তর্ভুক্ত করা	কোর্সটিতে আধুনিক ইতিহাস অন্তর্ভুক্ত থাকবে।
encouragement	উৎসাহ	তার উৎসাহ তাকে চালিয়ে যেতে সাহায্য করেছিল।
encouraging	উৎসাহব্যঞ্জক	প্রাথমিক ফলাফল উৎসাহব্যঞ্জক বলে মনে হচ্ছে।
endeavour	প্রচেষ্টা	উদ্ধারকাজ একটি কঠিন প্রচেষ্টা ছিল।
endless	অন্তহীন	মরুভূমিটি অন্তহীন মনে হয়েছিল।
endorse	সমর্থন করা	ইউনিয়ন প্রার্থীকে সমর্থন করতে অস্বীকার করেছে।
endorsement	সমর্থন	তার সমর্থন তার প্রচারণাকে জোরদার করেছে।
endure	সহ্য করা	গাছপালা কঠোর শীত সহ্য করতে পারে।
enforce	প্রয়োগ করা	পুলিশ গতিসীমা প্রয়োগ করে।
enforcement	প্রয়োগ	কঠোর প্রয়োগ অবৈধ ময়লা ফেলা কমিয়েছে।
engagement	সম্পৃক্ততা	এই সেমিস্টারে শিক্ষার্থীদের সম্পৃক্ততা উন্নত হয়েছে।
engaging	আকর্ষণীয়	বক্তা একটি আকর্ষণীয় বক্তব্য দিয়েছেন।
enquire	জিজ্ঞাসা করা	দয়া করে ফ্রন্ট ডেস্কে জিজ্ঞাসা করুন।
enrich	সমৃদ্ধ করা	ভ্রমণ আপনার বোঝাপড়াকে সমৃদ্ধ করতে পারে।
enrol	ভর্তি হওয়া	শিক্ষার্থীদের অবশ্যই সেপ্টেম্বরের আগে ভর্তি হতে হবে।
ensue	ফলস্বরূপ ঘটা	ঘোষণার পর বিশৃঙ্খলা দেখা দিতে পারে।
enterprise	উদ্যোগ	উদ্যোগটি স্থানীয় শিল্পীদের নিয়োগ করে।
enthusiast	উৎসাহী	প্রতিটি সাইক্লিং উৎসাহী এই পথটি জানেন।
entitle	অধিকার দেওয়া	টিকিটটি আপনাকে প্রবেশের অধিকার দেবে।
entity	সত্তা	কোম্পানিটি একটি পৃথক আইনি সত্তা।
epidemic	মহামারী	মহামারীটি কয়েকটি অঞ্চলে ছড়িয়ে পড়েছে।
equality	সমতা	আন্দোলনটি সমতার জন্য লড়াই করেছিল।
equation	সমীকরণ	সমীকরণে দুটি অজানা বিষয় রয়েছে।
erect	নির্মাণ করা	শ্রমিকরা একটি নতুন বেড়া নির্মাণ করবে।
escalate	বৃদ্ধি পাওয়া	সংঘাত দ্রুত বৃদ্ধি পেতে পারে।
essence	সারমর্ম	কবিতাটি শৈশবের সারমর্ম ধারণ করে।
establishment	প্রতিষ্ঠান	প্রতিষ্ঠানটি এই সংস্কারের বিরোধিতা করেছে।
eternal	চিরন্তন	তারা চিরন্তন বন্ধুত্বের প্রতিশ্রুতি দিয়েছে।
evacuate	খালি করা	দমকলকর্মীরা বাসিন্দাদের নিরাপদে সরিয়ে নিতে সাহায্য করেছে।
evoke	জাগিয়ে তোলা	গানটি শক্তিশালী স্মৃতি জাগিয়ে তুলতে পারে।
evolutionary	বিবর্তনীয়	জীবাশ্মটি একটি বিবর্তনীয় পরিবর্তন দেখায়।
exaggerate	অতিরঞ্জিত করা	আপনার অভিজ্ঞতা অতিরঞ্জিত করবেন না।
excellence	শ্রেষ্ঠত্ব	স্কুল একাডেমিক শ্রেষ্ঠত্বকে পুরস্কৃত করে।
exceptional	ব্যতিক্রমী	সে ব্যতিক্রমী দক্ষতা দেখিয়েছে।
excess	অতিরিক্ত	অতিরিক্ত পানি বেসমেন্ট প্লাবিত করেছে।
exclusion	বর্জন	সামাজিক বর্জন তরুণদের ক্ষতি করে।
exclusive	একচেটিয়া	ক্লাবটি একচেটিয়া প্রবেশের সুযোগ দেয়।
exclusively	একচেটিয়াভাবে	এই ঘরটি একচেটিয়াভাবে কর্মীদের দ্বারা ব্যবহৃত হয়।
execute	সম্পাদন করা	দলটি সাবধানে পরিকল্পনাটি সম্পাদন করবে।
execution	বাস্তবায়ন	কৌশলের বাস্তবায়নে কয়েক মাস সময় লেগেছে।
exert	প্রয়োগ করা	আপনাকে আরও চাপ প্রয়োগ করতে হবে।
exile	নির্বাসন	লেখক নির্বাসনে বসবাস করতেন।
expenditure	ব্যয়	গত বছর সরকারি ব্যয় বেড়েছে।
experimental	পরীক্ষামূলক	চিকিৎসাটি এখনও পরীক্ষামূলক পর্যায়ে রয়েছে।
expire	মেয়াদোত্তীর্ণ হওয়া	আমার পাসপোর্টের মেয়াদ শীঘ্রই শেষ হবে।
explicit	স্পষ্ট	নির্দেশাবলী স্পষ্ট ছিল।
explicitly	স্পষ্টভাবে	নিয়মগুলো স্পষ্টভাবে ধূমপান নিষিদ্ধ করে।
exploitation	শোষণ	প্রতিবেদনে শ্রমিকদের শোষণ উন্মোচিত হয়েছে।
explosive	বিস্ফোরক	বিস্ফোরক যন্ত্রটি নিরাপদে সরিয়ে নেওয়া হয়েছে।
extremist	চরমপন্থী	চরমপন্থী গোষ্ঠী সমর্থন হারিয়েছে।
facilitate	সহজতর করা	অ্যাপটি দূরবর্তী শিক্ষণকে সহজতর করবে।
faction	উপদল	একটি উপদল নেতার বিরোধিতা করেছে।
faculty	অনুষদ	অনুষদ প্রস্তাবটি অনুমোদন করেছে।
fade	ম্লান হওয়া	রোদে রং ম্লান হয়ে যাবে।
fairness	ন্যায্যতা	প্রতিটি প্রতিযোগিতায় ন্যায্যতা গুরুত্বপূর্ণ।
fatal	মারাত্মক	দুর্ঘটনার কারণে মারাত্মক আঘাত লেগেছিল।
fate	ভাগ্য	কেউ তার ভাগ্য জানত না।
favourable	অনুকূল	পর্যালোচনাটি অনুকূল ছিল।
feat	কৃতিত্ব	সেই চূড়ায় আরোহণ করা একটি কৃতিত্ব ছিল।
feminist	নারীবাদী	নারীবাদী আন্দোলন জনবিতর্ক পরিবর্তন করেছে।
fibre	ফাইবার	এই রুটিতে অতিরিক্ত ফাইবার রয়েছে।
fierce	প্রচণ্ড	প্রচণ্ড ঝড় ছাদের ক্ষতি করেছে।
film-maker	চলচ্চিত্র নির্মাতা	চলচ্চিত্র নির্মাতা পরে প্রশ্নের উত্তর দিয়েছেন।
filter	ফিল্টার	ফিল্টারটি বাতাস থেকে ধুলো সরিয়ে দেয়।
fine	জরিমানা	কোম্পানি জরিমানা প্রদান করেছে।
firearm	আগ্নেয়াস্ত্র	কর্মকর্তা একটি চুরি যাওয়া আগ্নেয়াস্ত্র উদ্ধার করেছেন।
fit	মাপ	নতুন জুতো পুরোপুরি মাপে মাপে হয়েছে।
fixture	স্থায়ী সরঞ্জাম	বাতিটি একটি স্থায়ী সরঞ্জাম।
flaw	ত্রুটি	নকশাটিতে একটি গুরুতর ত্রুটি রয়েছে।
flawed	ত্রুটিপূর্ণ	ত্রুটিপূর্ণ গবেষণাটি মিথ্যা ফলাফল দিয়েছে।
flee	পালিয়ে যাওয়া	পরিবারগুলোকে যুদ্ধ থেকে পালিয়ে যেতে হয়েছিল।
fleet	বিমানবহর	এয়ারলাইনটি তাদের বিমানবহর নতুন করেছে।
flesh	মাংস	কাঁটাটি তার মাংসে বিদ্ধ হয়েছিল।
flexibility	নমনীয়তা	দূরবর্তী কাজ আরও নমনীয়তা দেয়।
flourish	সমৃদ্ধি লাভ করা	ছোট ব্যবসাগুলো এখানে সমৃদ্ধি লাভ করতে পারে।
fluid	তরল	ব্যায়ামের পরে প্রচুর তরল পান করুন।
footage	ভিডিও ফুটেজ	ফুটেজে দুর্ঘটনাটি দেখানো হয়েছে।
foreigner	বিদেশী	ফর্মে জিজ্ঞাসা করা হয়েছে আপনি বিদেশী কিনা।
forge	গড়ে তোলা	তারা একটি নতুন জোট গড়ে তোলার চেষ্টা করেছিল।
formula	সূত্র	সূত্রটি সমস্যাটির সমাধান করেছে।
formulate	প্রণয়ন করা	বিজ্ঞানীরা একটি নতুন তত্ত্ব প্রণয়ন করেন।
forth	সামনে	নদীটি নৌকাটিকে সামনের দিকে বয়ে নিয়ে গেল।
forthcoming	আসন্ন	আসন্ন প্রতিবেদন সবকিছু ব্যাখ্যা করবে।
foster	লালন করা	কর্মসূচিটি স্বাধীনতা লালন করতে সাহায্য করে।
fragile	ভঙ্গুর	ভঙ্গুর ফুলদানিটি সাবধানে পরিচালনা করা দরকার।
franchise	ফ্র্যাঞ্চাইজি	রেস্তোরাঁটি একটি বৈশ্বিক ফ্র্যাঞ্চাইজি হয়ে উঠেছে।
frankly	খোলাখুলিভাবে	খোলাখুলি বলতে গেলে, আমাদের আরও সময় দরকার।
frustrated	হতাশ	বিলম্বের কারণে কর্মীরা হতাশ বোধ করেছিলেন।
frustrating	হতাশাজনক	ধীর গতির সংযোগটি ছিল হতাশাজনক।
frustration	হতাশা	সভার সময় হতাশা বেড়ে যায়।
functional	কার্যকরী	পুরানো রান্নাঘরটি এখনও কার্যকরী।
fundraising	তহবিল সংগ্রহ	আগামী সপ্তাহে তহবিল সংগ্রহ শুরু হবে।
funeral	শেষকৃত্য	শুক্রবারে শেষকৃত্য অনুষ্ঠিত হয়।
gallon	গ্যালন	ট্যাংকটিতে এক গ্যালন ধরে।
gambling	জুয়া	আইন দ্বারা জুয়া খেলা নিষিদ্ধ।
gathering	সমাবেশ	সমাবেশটি শান্তিপূর্ণভাবে শেষ হয়েছিল।
gaze	একদৃষ্টে তাকানো	সে কিছুক্ষণ তার দিকে একদৃষ্টে তাকিয়ে রইল।
gear	সরঞ্জাম	আরোহণের আগে নিরাপত্তার সরঞ্জাম প্যাক করুন।
generic	জেনেরিক	জেনেরিক সংস্করণের দাম কম।
genocide	গণহত্যা	গণহত্যাটি গভীর জাতীয় আঘাত রেখে গেছে।
glance	একনজর	সে একনজর তাকাল।
glimpse	ঝলক	আমি সমুদ্রের এক ঝলক দেখতে পেলাম।
glorious	গৌরবময়	দলটি একটি গৌরবময় বিজয় উপভোগ করেছে।
glory	গৌরব	সে অলিম্পিক গৌরবের স্বপ্ন দেখেছিল।
governance	সুশাসন	সুশাসনের জন্য স্বচ্ছতা প্রয়োজন।
grace	শালীনতা	সে শালীনতার সাথে পরাজয় মেনে নিয়েছিল।
grasp	অনুধাবন করা	সে ধারণাটি অনুধাবন করতে ব্যর্থ হয়েছিল।
grave (for dead person)	কবর	কবরটি ফুল দিয়ে ঢাকা ছিল।
grave (serious)	গুরুতর	পরিস্থিতি এখনও গুরুতর।
gravity	মহাকর্ষ	মহাকর্ষ বস্তুগুলোকে পৃথিবীর দিকে টানে।
grid	গ্রিড	মানচিত্রটিতে একটি সাধারণ গ্রিড ব্যবহার করা হয়েছে।
grief	শোক	শোক তার পুরো পরিবারকে পরিবর্তন করে দিয়েছে।
grin	বিস্তৃত হাসি	ছেলেটি একটি বিস্তৃত হাসি দিল।
grind	গুঁড়ো করা	কর্মীরা প্রতিদিন সকালে বীজগুলো গুঁড়ো করে।
grip	আঁকড়ে ধরা	দড়িটি শক্তভাবে আঁকড়ে ধরে রাখুন।
gross	মোট	মোট আয় তীব্রভাবে বৃদ্ধি পেয়েছে।
guerrilla	গেরিলা	গেরিলা যোদ্ধারা পাহাড়ে লুকিয়ে ছিল।
guidance	নির্দেশনা	নির্দেশিকাটি ব্যবহারিক নির্দেশনা প্রদান করে।
guilt	অপরাধবোধ	মিথ্যা বলার পর সে অপরাধবোধ অনুভব করেছিল।
gut	প্রবৃত্তি	কঠিন পছন্দে আপনার প্রবৃত্তির উপর বিশ্বাস রাখুন।
hail	সাধুবাদ জানানো	গ্রামবাসীরা ডাক্তারকে নায়ক হিসেবে সাধুবাদ জানায়।
halfway	অর্ধেক পথ	আমরা পাহাড়ের অর্ধেক পথে থামলাম।
halt	থেমে যাওয়া	ট্রেনটি হঠাৎ থেমে গেল।
handful	একমুঠো	একমুঠো স্বেচ্ছাসেবক দেরি করে থেকেছিলেন।
handling	পরিচালনা	সঠিক পরিচালনা ক্ষতি প্রতিরোধ করে।
handy	সুবিধাজনক	এই সরঞ্জামটি মেরামতের জন্য সুবিধাজনক।
harassment	হয়রানি	কোম্পানিটি হয়রানির অভিযোগ তদন্ত করেছে।
hardware	হার্ডওয়্যার	দোকানটি কম্পিউটারের হার্ডওয়্যার বিক্রি করে।
harmony	সম্প্রীতি	গায়কদল নিখুঁত সম্প্রীতিতে গেয়েছে।
harsh	কঠোর	বিচারক একটি কঠোর শাস্তি দিয়েছেন।
harvest	ফসল তোলা	সেপ্টেম্বরে ফসল তোলা শুরু হয়।
haunt	তাড়া করা	স্মৃতিটি তাকে তাড়া করতে থাকে।
hazard	বিপদ	বরফ রাস্তার জন্য একটি গুরুতর বিপদ।
heighten	বাড়ানো	ভাষণটি উত্তেজনা বাড়িয়ে দিতে পারে।
heritage	ঐতিহ্য	দুর্গটি স্থানীয় ঐতিহ্যের অংশ।
hierarchy	পদমর্যাদাক্রম	অফিসের পদমর্যাদাক্রম স্পষ্টভাবে সংজ্ঞায়িত।
high-profile	উচ্চ-প্রোফাইল	উচ্চ-প্রোফাইলের বিচারটি সাংবাদিকদের আকৃষ্ট করেছিল।
hint	ইঙ্গিত	সে আমাকে একটি দরকারী ইঙ্গিত দিয়েছিল।
homeland	স্বদেশ	সে তার স্বদেশে ফিরে গিয়েছিল।
hopeful	আশাবাদী	ডাক্তাররা পুনরুদ্ধার সম্পর্কে আশাবাদী।
horizon	দিগন্ত	সূর্য দিগন্তের নিচে অদৃশ্য হয়ে গেল।
horn	হর্ন	গাড়ির হর্ন সবাইকে জাগিয়ে দিল।
hostage	জিম্মি	জিম্মি বাড়ি ফিরে এসেছিল।
hostile	বৈরী	জনতা বৈরী হয়ে উঠল।
hostility	শত্রুতা	উন্মুক্ত শত্রুতা আলোচনার সমাপ্তি ঘটায়।
humanitarian	মানবিক	মানবিক মিশনটি খাবার সরবরাহ করেছিল।
humanity	মানবতা	মানবতা অভিন্ন চ্যালেঞ্জের মুখোমুখি।
humble	বিনীত	সাফল্যের পরেও সে বিনীত ছিল।
hydrogen	হাইড্রোজেন	হাইড্রোজেন খুব সহজেই পুড়ে যায়।
identification	পরিচয়পত্র	প্রবেশদ্বারে পরিচয়পত্র প্রয়োজন।
ideological	আদর্শগত	বিরোধটির আদর্শগত শিকড় ছিল।
ideology	মতাদর্শ	তার মতাদর্শ প্রতিটি ভাষণকে রূপ দিয়েছিল।
idiot	বোকা	কাউকে বোকা বলবেন না।
ignorance	অজ্ঞতা	অজ্ঞতা ভয় ছড়াতে পারে।
