source_headword	HY	example_HY
attention	ուշադրություն	Խնդրում եմ, հիմա ուշադրություն դարձրեք։
attractive	գրավիչ	Այգին գրավիչ է։
audience	հանդիսատես	Հանդիսատեսը լուռ էր։
author	հեղինակ	Հեղինակը այս գիրքը գրել է։
available	հասանելի	Սնունդը հիմա հասանելի է։
average	միջին	Միջին միավորը լավ էր։
avoid	խուսափել	Խուսափեք զբաղված ճանապարհից։
award	մրցանակ	Նա մրցանակ շահեց։
awful	սարսափելի	Եղանակը սարսափելի էր։
background	ֆոն	Նկարը մուգ ֆոն ունի։
badly	վատ	Նա այսօր վատ խաղաց։
bar	բար	Մենք հանդիպեցինք հյուրանոցի բարում։
baseball	բեյսբոլ	Բեյսբոլը այստեղ տարածված է։
based	հիմնված	Ֆիլմը հիմնված է գրքի վրա։
basketball	բասկետբոլ	Մենք դասից հետո բասկետբոլ ենք խաղում։
bean	լոբի	Այս լոբին կանաչ է։
bear (animal)	արջ	Արջը անտառում է ապրում։
beat	հաղթել	Մեր թիմը կարող է նրանց հաղթել։
beef	տավարի միս	Ես ընթրիքին տավարի միս կերա։
behave	վարվել	Խնդրում եմ, դասարանում լավ վարվեք։
behaviour	վարք	Նրա վարքը քաղաքավարի էր։
belong	պատկանել	Այս կոշիկները ինձ են պատկանում։
belt	գոտի	Նրա գոտին սև է։
benefit	օգուտ	Մարզանքը իրական օգուտ ունի։
billion	միլիարդ	Միլիարդը հսկայական թիվ է։
bin	աղբաման	Թուղթը դրեք աղբամանի մեջ։
biology	կենսաբանություն	Կենսաբանությունը իմ լավագույն դասն է։
birth	ծնունդ	Նրա ծնունդը մայիսին էր։
biscuit	թխվածքաբլիթ	Նա թխվածքաբլիթ է ուտում։
bit	քիչ; մի քիչ	Ինձ մի քիչ ավելի ժամանակ է պետք։
blank	դատարկ տեղ	Ձեր անունը գրեք դատարկ տեղում։
blood	արյուն	Արյունը կարմիր է։
blow	փչել	Քամին կարող է ուժեղ փչել։
board	գրատախտակ	Գրեք դա գրատախտակին։
boil	եռացնել	Նախ ջուրը եռացրեք։
bone	ոսկոր	Շունը ոսկոր ունի։
borrow	վերցնել ժամանակավոր	Կարո՞ղ եմ քո գրիչը վերցնել։
boss	ղեկավար	Իմ ղեկավարը ընկերասեր է։
bottom	ներքևի մաս	Ստորագրեք ներքևի մասում։
bowl	թաս	Թասը լիքն է։
brain	ուղեղ	Քո ուղեղը հանգստի կարիք ունի։
bridge	կամուրջ	Կամուրջը հին է։
bright	պայծառ	Սենյակը պայծառ է։
brilliant	հրաշալի; փայլուն	Այդ գաղափարը հրաշալի է։
broken	կոտրված	Աթոռը կոտրված է։
brush	խոզանակ; մաքրել խոզանակով	Հիմա ատամներդ մաքրիր։
burn	այրել	Հացը մի այրեք։
businessman	գործարար	Գործարարը շուտ ժամանեց։
button	կոճակ	Սեղմեք կարմիր կոճակը։
camp	ճամբարել	Մենք լճի մոտ ենք ճամբարում։
camping	ճամբարային հանգիստ	Ամռանը ճամբարային հանգիստը հաճելի է։
can2	պահածոյի տուփ	Տուփը զգուշորեն բացեք։
care	խնամք; հոգատարություն	Հոգ տար քո առողջության մասին։
careful	զգույշ	Սանդուղքների վրա զգույշ եղեք։
carefully	զգուշորեն; ուշադիր	Հարցը ուշադիր կարդացեք։
carpet	գորգ	Գորգը փափուկ է։
cartoon	մուլտֆիլմ	Այս մուլտֆիլմը ծիծաղելի է։
case	տուփ; դեպք	Դրեք այն տուփի մեջ։
cash	կանխիկ գումար	Ես վճարեցի կանխիկ գումարով։
castle	ամրոց	Ամրոցը շատ հին է։
catch	բռնել	Հիմա բռնիր գնդակը։
cause	պատճառ դառնալ	Անձրևը կարող է խնդիրներ առաջացնել։
celebrate	տոնել	Մենք նշում ենք իմ ծննդյան օրը։
celebrity	հայտնի անձ	Հայտնի անձը շատ բարի էր։
certain	վստահ	Ես դրանում վստահ եմ։
certainly	անշուշտ	Ես անշուշտ կօգնեմ։
chance	հնարավորություն; շանս	Դու հնարավորություն ունես։
character	կերպար; բնավորություն	Այս կերպարը քաջ է։
charity	բարեգործություն	Բարեգործությունը օգնում է երեխաներին։
chat	զրուցել	Մենք դասից հետո զրուցում ենք։
chef	խոհարար	Խոհարարը ապուր պատրաստեց։
chemistry	քիմիա	Քիմիան ինձ համար դժվար է։
chip	չիպս	Այս չիպսը աղի է։
choice	ընտրություն	Այս ընտրությունը կարևոր է։
church	եկեղեցի	Եկեղեցին այստեղ մոտ է։
cigarette	սիգարետ	Սիգարետը վնասակար է առողջության համար։
circle	շրջան	Այստեղ շրջան նկարեք։
classical	դասական	Ես սիրում եմ դասական երաժշտություն։
clear	պարզ	Պատասխանը պարզ է։
clearly	պարզորեն	Խնդրում եմ, պարզ խոսեք։
clever	խելացի	Նա խելացի երեխա է։
climate	կլիմա	Կլիման փոխվում է։
close2	մոտ	Իմ դպրոցը տան մոտ է։
closed	փակ	Խանութը փակ է։
clothing	հագուստ	Տաք հագուստը օգտակար է։
cloud	ամպ	Ամպը ծածկում է արևը։
coach	մարզիչ	Մարզիչը օգնեց թիմին։
coast	ափ	Մենք քշեցինք ափի երկայնքով։
code	կոդ	Կոդը այստեղ մուտքագրեք։
colleague	գործընկեր	Գործընկերս զանգեց ինձ։
collect	հավաքել	Ես հին քարտեր եմ հավաքում։
column	սյունակ	Կարդացեք առաջին սյունակը։
comedy	կատակերգություն	Այս կատակերգությունը ծիծաղելի է։
comfortable	հարմարավետ	Այս աթոռը հարմարավետ է։
comment	մեկնաբանություն	Ստորև մեկնաբանություն թողեք։
communicate	շփվել	Մենք շփվում ենք էլփոստով։
community	համայնք	Մեր համայնքը ընկերասեր է։
compete	մրցել	Նրանք ամեն տարի մրցում են։
competition	մրցույթ	Մրցույթը վաղը սկսվում է։
complain	բողոքել	Մի բողոքիր նորից։
completely	ամբողջովին	Ես ամբողջովին համաձայն եմ քեզ հետ։
condition	վիճակ	Մեքենան լավ վիճակում է։
conference	համաժողով	Համաժողովը սկսվում է իննին։
connect	միացնել	Հեռախոսը միացրեք համակարգչին։
connected	կապված	Երկու գաղափարները կապված են։
consider	հաշվի առնել	Խնդրում եմ, հաշվի առեք իմ գաղափարը։
contain	պարունակել	Այս տուփը գրքեր է պարունակում։
context	համատեքստ	Համատեքստը օգնում է հասկանալ։
continent	մայրցամաք	Մայրցամաքը շատ մեծ է։
continue	շարունակել	Խնդրում եմ, շարունակեք կարդալ։
control	վերահսկել	Արագությունը զգուշորեն վերահսկեք։
cooker	վառարան	Վառարանը մաքուր է։
copy	պատճեն	Ինձ համար մեկ պատճեն արեք։
corner	անկյուն	Նստեք անկյունում։
correctly	ճիշտ	Պատասխանը ճիշտ գրեք։
count	հաշվել	Հաշվեք գրքերը։
couple	զույգ	Զույգը շուտ ժամանեց։
cover	ծածկել	Ծածկեք թասը։
crazy	խենթ; տարօրինակ	Այս գաղափարը տարօրինակ է հնչում։
creative	ստեղծագործական	Նա ստեղծագործական գաղափար ունի։
credit	վարկ	Ես վճարեցի վարկային քարտով։
crime	հանցանք	Հանցանքը լուրջ խնդիր է։
criminal	հանցագործ	Հանցագործը արագ հեռացավ։
cross	անցնել	Փողոցը զգուշորեն անցեք։
crowd	ամբոխ	Ամբոխը դրսում սպասում էր։
crowded	լեփլեցուն	Գնացքը լեփլեցուն էր։
cry	լացել	Հիմա մի լացիր։
cupboard	պահարան	Բաժակները պահարանում են։
curly	գանգուր	Նա գանգուր մազեր ունի։
cycle	հեծանիվ վարել	Ես դպրոց եմ գնում հեծանիվով։
daily	ամենօրյա; ամեն օր	Ես ամեն օր կարդում եմ նորությունները։
danger	վտանգ	Նշանը վտանգ է ցույց տալիս։
data	տվյալներ	Տվյալները օգտակար են։
dead	մեռած	Բույսը մեռած է։
deal	գործարք; լավ առաջարկ	Սա լավ գործարք է։
death	մահ	Մահը դժվար թեմա է։
decision	որոշում	Այսօր որոշում կայացրեք։
deep	խոր	Ջուրը խորն է։
definitely	անպայման	Ես անպայման թեյ եմ ուզում։
degree	աստիճան; դիպլոմ	Իմ դիպլոմը պատմության մեջ է։
dentist	ատամնաբույժ	Ատամնաբույժը ստուգեց իմ ատամները։
department	բաժին	Կոշիկի բաժինը վերևում է։
depend	կախված լինել	Դա կախված է եղանակից։
desert	անապատ	Անապատը շատ չոր է։
designer	դիզայներ	Դիզայները պատրաստեց այս զգեստը։
destroy	ոչնչացնել	Մի ոչնչացրեք ֆայլը։
detective	դետեկտիվ	Դետեկտիվը գտավ բանալին։
develop	զարգացնել; ստեղծել	Նրանք նոր հավելված են ստեղծում։
device	սարք	Այս սարքը օգտակար է։
diary	օրագիր	Նա գրում է իր օրագրում։
differently	այլ կերպ	Մենք դա այլ կերպ ենք անում։
digital	թվային	Սա թվային տեսախցիկ է։
direct	ուղիղ	Նստեք ուղիղ գնացք։
direction	ուղղություն	Գնացեք այս ուղղությամբ։
director	ռեժիսոր	Ռեժիսորը հավանեց ֆիլմը։
disagree	համաձայն չլինել	Ես համաձայն չեմ այդ գաղափարի հետ։
disappear	անհետանալ	Արևը շուտով կանհետանա։
disaster	աղետ	Փոթորիկը աղետ էր։
discover	հայտնաբերել	Նրանք նոր կղզի են հայտնաբերում։
discovery	հայտնագործություն	Հայտնագործությունը փոխեց գիտությունը։
discussion	քննարկում	Քննարկումը շուտ ավարտվեց։
disease	հիվանդություն	Այս հիվանդությունը լուրջ է։
distance	հեռավորություն	Հեռավորությունը կարճ է։
divorced	ամուսնալուծված	Նրա ծնողները ամուսնալուծված են։
document	փաստաթուղթ	Պահպանեք այս փաստաթուղթը հիմա։
double	կրկնակի; երկտեղանոց	Ինձ երկտեղանոց սենյակ է պետք։
download	ներբեռնել	Ներբեռնեք հավելվածը այսօր։
drama	դրամա	Դրաման սկսվում է այսօր երեկոյան։
drawing	նկար	Նրա նկարը գեղեցիկ է։
dream	երազ	Ես տարօրինակ երազ տեսա։
driving	վարում	Գիշերը վարելը դժվար է։
drop	գցել	Մի գցիր բաժակը։
drug	դեղ	Դեղը նրան օգնեց։
dry	չոր	Սրբիչը չոր է։
earn	վաստակել	Ես աշխատանքում գումար եմ վաստակում։
earth	երկիր	Երկիրը կլոր է։
easily	հեշտությամբ	Նա հեշտությամբ է սովորում։
education	կրթություն	Կրթությունը կարևոր է։
effect	ազդեցություն	Ազդեցությունը պարզ էր։
either	կամ մեկը; ցանկացածը	Երկու պատասխաններից յուրաքանչյուրն ընդունելի է։
electric	էլեկտրական	Այս մեքենան էլեկտրական է։
electrical	էլեկտրական	Էլեկտրական համակարգը անվտանգ է։
electricity	էլեկտրականություն	Էլեկտրականությունը այստեղ թանկ է։
electronic	էլեկտրոնային	Այս էլեկտրոնային տոմսը աշխատում է։
employ	աշխատանքի ընդունել	Նրանք հինգ մարդու են աշխատանքի ընդունում։
employee	աշխատակից	Աշխատակիցը շատ է աշխատում։
employer	գործատու	Իմ գործատուն արդար է։
empty	դատարկ	Սենյակը դատարկ է։
ending	վերջաբան	Վերջաբանը զարմանալի էր։
energy	էներգիա	Այսօր էներգիա չունեմ։
engine	շարժիչ	Շարժիչը բարձր ձայն ունի։
engineer	ինժեներ	Ինժեները կամուրջը վերանորոգեց։
enormous	հսկայական	Շենքը հսկայական է։
enter	մտնել	Սենյակ մտեք լուռ։
environment	շրջակա միջավայր	Պաշտպանեք շրջակա միջավայրը։
equipment	սարքավորում	Այս սարքավորումը թանկ է։
error	սխալ	Ես սխալ գտա։
especially	հատկապես	Ես հատկապես սիրում եմ այս երգը։
essay	շարադրություն	Այս երեկո շարադրություն գրեք։
everyday	ամենօրյա	Սա ամենօրյա անգլերեն է։
everywhere	ամենուր	Ծաղիկները ամենուր աճում են։
evidence	ապացույց	Ապացույցը պարզ է։
exact	ճշգրիտ	Տվեք ճշգրիտ թիվը։
exactly	ճիշտ; հենց	Դա հենց ճիշտ է։
excellent	գերազանց	Քո աշխատանքը գերազանց է։
except	բացի	Բոլորը եկան, բացի ինձնից։
exist	գոյություն ունենալ	Այս հասցեն գոյություն ունի՞։
expect	սպասել	Ես վաղը անձրև եմ սպասում։
experience	փորձ	Ես երեխաների հետ փորձ ունեմ։
experiment	փորձարկում	Փորձարկումը լավ աշխատեց։
expert	մասնագետ	Օգնության համար մասնագետից հարցրեք։
explanation	բացատրություն	Նրա բացատրությունը պարզ էր։
express	արտահայտել	Խնդրում եմ, արտահայտեք ձեր կարծիքը։
expression	արտահայտություն	Այս արտահայտությունը տարածված է։
extreme	ծայրահեղ	Շոգը ծայրահեղ էր։
extremely	չափազանց	Չափազանց ցուրտ է։
factor	գործոն	Ծախսը մեկ գործոն է։
factory	գործարան	Գործարանը փակվում է հինգին։
fail	ձախողվել	Ես չձախողվեցի։
fair	արդար	Գինը արդար է։
fan	օդափոխիչ	Միացրեք օդափոխիչը։
farming	հողագործություն	Հողագործությունը ծանր աշխատանք է։
fashion	նորաձևություն	Նորաձևությունը ամեն տարի փոխվում է։
fear	վախ	Վախը կարող է կանգնեցնել մարդկանց։
feature	հատկություն	Այս հեռախոսը օգտակար հատկություն ունի։
feed	կերակրել	Հիմա կատվին կերակրեք։
female	կին; էգ	Կին մարզիկը հաղթեց։
fiction	գեղարվեստական գրականություն	Նա գիշերը գեղարվեստական գրականություն է կարդում։
field	դաշտ; ոլորտ	Դաշտը կանաչ է։
fight	կռվել; պայքարել	Նրանք շատ են կռվում։
figure	նկար; թիվ	Նայեք նկարին։
finally	վերջապես	Մենք վերջապես տուն հասանք։
finger	մատ	Մատս ցավում է։
firstly	նախ	Նախ կարդացեք հարցը։
fishing	ձկնորսություն	Ձկնորսությունը այստեղ տարածված է։
fit	հարմար լինել	Այս կոշիկները լավ են հարմար։
fix	վերանորոգել	Վերանորոգեք կոտրված աթոռը։
flu	գրիպ	Ես գրիպ ունեմ։
flying	թռչել; թռիչք	Թռիչքը արագ է։
focus	կենտրոնանալ	Կենտրոնացեք այս առաջադրանքի վրա։
following	հաջորդ; հետևյալ	Կարդացեք հետևյալ նախադասությունը։
foreign	օտար	Նա օտար լեզվով է խոսում։
forest	անտառ	Անտառը հանգիստ է։
fork	պատառաքաղ	Օգտագործեք պատառաքաղ։
formal	պաշտոնական	Այս նամակը պաշտոնական է։
fortunately	բարեբախտաբար	Բարեբախտաբար, ոչ ոք չվնասվեց։
forward	առաջ	Դանդաղ առաջ շարժվեք։
fresh	թարմ	Հացը թարմ է։
