simplified	SK	example_SK
聊天	rozprávať sa	Rozprávam sa s kamarátom.
了解	rozumieť; spoznať	Chcem spoznať čínsku kultúru.
邻居	sused	Môj sused je veľmi srdečný.
留学	študovať v zahraničí	Študuje v zahraničí v Číne.
楼	budova; poschodie	Kancelária je na treťom poschodí.
绿	zelený	Na jar stromy zozeleneli.
马	kôň	Ten kôň beží veľmi rýchlo.
马上	hned; okamžite	Hneď sa vrátim.
满意	spokojný	Som s touto izbou veľmi spokojný.
帽子	čiapka; klobúk	Táto čiapka je veľmi pekná.
米	meter; ryža	Tento stôl je dva metre dlhý.
面包	chlieb	Na raňajky jem chlieb.
明白	rozumieť; jasný	Rozumiem, čo myslíš.
拿	vziať; držať	Prosím, vezmi mi knihu.
奶奶	stará mama z otcovej strany; babička	Babička rada počúva hudbu.
南	juh	Škola je na juhu mesta.
难	ťažký; ťažký	Táto otázka nie je ťažká.
难过	smutný	Dnes je trochu smutná.
年级	ročník; trieda	Moja mladšia sestra je v tretej triede.
年轻	mladý	Tento vedúci je veľmi mladý.
鸟	vták	Na strome je vták.
努力	snažiť sa; pilný	Veľmi usilovne sa učí.
爬山	liezť na horu; chodiť po horách	Cez víkend pôjdeme na hory.
盘子	tanier; tácka	Na stole sú tri taniere.
胖	tučný; baculatý	Tento pes je trochu tučný.
啤酒	pivo	Otec nepije pivo.
皮鞋	kožené topánky	Tento pár kožených topánok je drahý.
瓶子	fľaša	Vo fľaši je voda.
其实	vlastne; v skutočnosti	Vlastne nemám rád pivo.
其他	iný; ostatní	Ostatní spolužiaci už prišli.
奇怪	čudný; zvláštny	Ten zvuk je veľmi čudný.
骑	jazdiť na; ísť na	Každý deň jazdí do práce na bicykli.
起飞	vzlietnuť	Lietadlo čoskoro vzlietne.
起来	vstať; zdvihnúť sa	Prosím, vstaňte.
清楚	jasný; zreteľne	Hovoril si veľmi zreteľne.
请假	požiadať o voľno	Je prechladnutý a musí požiadať o voľno.
秋	jeseň	Na jeseň je počasie príjemné.
裙子	sukňa	Táto sukňa je veľmi pekná.
然后	potom; potom	Najprv jem a potom robím domácu úlohu.
热情	srdečný; nadšený	Čínski priatelia sú veľmi srdeční.
认为	myslieť si; domnievať sa	Myslím si, že tento spôsob je dobrý.
认真	vážny; pozorný	Prosím, pozorne počúvajte učiteľa.
容易	ľahký	Tento čínsky znak sa píše ľahko.
如果	ak; pokiaľ	Ak bude pršať, pôjdeme metrom.
伞	dáždnik	Prší; prosím, vezmite si dáždnik.
上网	ísť na sieť; používať sieť	Večer používam sieť, aby som skontroloval mapu.
声音	hlas; zvuk	Tvoj hlas znie pekne.
生气	naštvaný; hnevať sa	Nehnevaj sa, neurobil som to naschvál.
世界	svet	Svet je veľmi veľký.
试	skúsiť; vyskúšať	Chcem si vyskúšať tieto kožené topánky.
瘦	chudý; štíhly	Je chudší než kedysi.
叔叔	strýko	Strýko ma vozí do školy.
舒服	pohodlný; príjemný	Táto stolička je pohodlná.
数学	matematika	Hodina matematiky je zaujímavá.
树	strom	Pred domom je strom.
刷牙	čistiť si zuby	Každé ráno si čistím zuby.
双	pár; dvojica	Kúpil som pár kožených topánok.
水平	úroveň	Jeho úroveň čínštiny je vysoká.
司机	vodič	Vodič na nás čaká pred dverami.
太阳	slnko	Dnes slnko silno svieti.
特别	zvlášť; špeciálny	Táto relácia je zvlášť zaujímavá.
疼	bolieť; bolestivý	Bolí ma noha.
提高	zvýšiť; zlepšiť	Viac cvičenia môže zlepšiť úroveň čínštiny.
体育	sport; telesná výchova	Mám rád hodinu telesnej výchovy.
甜	sladký	Tento nápoj je príliš sladký.
条	klasifikátor pre dlhé veci; kus	Kúpil som sukňu.
同事	kolega z práce	Môj kolega z práce je veľmi zaneprázdnený.
同意	súhlasiť	Súhlasím s tvojím rozhodnutím.
头发	vlasy	Jej vlasy sú dlhé.
突然	náhle	Náhle odišiel.
图书馆	knižnica	Knižnica dnes nie je otvorená.
腿	noha	Po výstupe na horu ma bolia nohy.
完成	dokončiť; splniť	Už som dokončil domácu úlohu.
碗	miska	Na stole sú dve misky.
万	desať tisíc; veľa	Toto mesto má desať tisíc obyvateľov.
忘记	zabudnúť	Nezabudni si vziať pas.
为	pre; kvôli	Teším sa z tvojho šťastia.
为了	aby; s cieľom	Kvôli skúške každý deň opakuje učivo.
位	zdvorilostný klasifikátor pre osoby	Tento učiteľ je veľmi známy.
文化	kultúra	Chcem spoznať čínsku kultúru.
西	západ	Banka je západne od školy.
习惯	zvyk; byť zvyknutý	Som zvyknutý cvičiť ráno.
洗手间	toaleta	Toaleta je vpravo.
洗澡	kúpať sa; sprchovať sa	Večer sa sprchujem.
夏	leto	Leto je veľmi horúce.
先	najprv; najskôr	Najprv jedz ty.
相信	veriť	Verím, že príde.
香蕉	banán	Kúpil som tri banány.
像	vyzerať ako; podobať sa	Ten mrak vyzerá ako vták.
向	smer; smerom k	Prosím, choďte doľava.
小心	opatrný; dávať pozor	Prší, dávaj na ceste pozor.
校长	riaditeľ školy	Riaditeľ školy je v kancelárii.
新闻	správy	Otec každý deň sleduje správy.
新鲜	čerstvý	Toto ovocie je veľmi čerstvé.
信用卡	kreditná karta	Môžem zaplatiť kreditnou kartou?
行李箱	kufor	Môj kufor je ťažký.
熊猫	panda	Deti sa rady pozerajú na pandy.
需要	potrebovať	Potrebujem tvoju pomoc.
选择	vybrať; voľba	Ktorú košeľu si vyberieš?
要求	požadovať; žiadať	Učiteľ po nás žiada, aby sme domácu úlohu robili dôkladne.
爷爷	starý otec z otcovej strany; dedko	Dedko chodí každý deň do parku.
一直	stále; nepretržite	Stále na tebe čaká.
一定	určite; iste	Určite prídem.
一共	spolu	Koľko stoja tieto knihy spolu?
一会儿	chvíľa	Prosím, chvíľu na mňa počkaj.
一样	rovnaký	Tieto dva hrnčeky sú rovnako veľké.
以前	kedysi; predtým	Kedysi som býval v Pekingu.
一般	bežný; priemerný	Jedlo v tejto reštaurácii je priemerné.
一边	jedna strana; kým	Počúva hudbu, kým robí domácu úlohu.
音乐	hudba	Mám rád čínsku hudbu.
银行	banka	Banka je vedľa veľkého obchodu.
饮料	nápoj	Tento nápoj chutí dobre.
应该	mal by; máš	Mal by si si viac oddýchnuť.
影响	vplyv; ovplyvniť	Počasie ovplyvní zápas.
用	používať	Používam počítač na domácu úlohu.
游戏	hra	Deti hrajú hry.
有名	známy; slávny	Táto reštaurácia je veľmi známa.
又	zase; aj	Dnes prišiel zase neskoro.
遇到	stretnúť; naraziť na	Stretol som učiteľa na ulici.
元	jüan; menová jednotka	Tento slovník stojí päťdesiat jüanov.
愿意	chcieť; byť ochotný	Chceš sa zúčastniť?
月亮	mesiac	Dnes večer je mesiac jasný.
越	čím viac... tým viac...	Čím viac sa učím čínsky, tým zaujímavejšia mi pripadá.
站	stanica; stáť	Stojí pri dverách.
张	klasifikátor pre ploché predmety	Prosím, dajte mi mapu.
长	rásť	Deti rýchlo rastú.
着急	mať starosť; byť nervózny	Nebuď nervózny, výťah čoskoro príde.
照顾	starať sa; opatrovať	Stará sa o chorú babičku.
照片	fotografia	Táto fotografia vyzerá dobre.
照相机	fotoaparát	Používam fotoaparát na fotografovanie.
283:只	len; iba	Pijem iba jednu šálku čaju.
284:只	klasifikátor pre zvieratá	Pod stolom je mačka.
只有…才…	len keď... až potom...	Len keď budeš dôkladne opakovať učivo, urobíš skúšku dobre.
中间	stred; uprostred	Stôl je uprostred izby.
中文	čínština; čínske písmo	Každý deň sa učím čínsky.
终于	konečne	Konečne sme dorazili.
种	druh; typ	Aký druh nápoja máš rád?
重要	dôležitý	Pas je veľmi dôležitý.
周末	víkend	Cez víkend chcem ísť do parku.
主要	hlavný	Jeho hlavným koníčkom je hudba.
注意	dávať pozor; venovať pozornosť	Prosím, venujte pozornosť učiteľovi.
自己	sám; seba	Chcem urobiť domácu úlohu sám.
自行车	bicykel	Môj bicykel je dole.
总是	vždy	Vždy prichádza do kancelárie skoro.
嘴	ústa	Prosím, otvorte ústa.
最后	posledný; nakoniec	Nakoniec sme všetci súhlasili.
最近	nedávno; v poslednom čase	V poslednom čase som zaneprázdnený.
作业	domáca úloha; úloha	Ešte som nedokončil domácu úlohu.
