simplified	JA	example_JA	KO	example_KO	VI	example_VI
告诉	伝える; 告げる	私に教えてください。	말해 주다; 알리다	저에게 말해 주세요.	nói cho; cho biết	Xin hãy nói cho tôi biết.
哥哥	兄	兄は働いています。	형; 오빠	형은 일하고 있어요.	anh trai	Anh trai đang làm việc.
给	与える; 〜に	本を一冊あげます。	주다; ~에게	책 한 권을 줄게요.	đưa; cho	Tôi đưa cho bạn một quyển sách.
公共汽车	バス	私はバスで仕事に行きます。	버스	저는 버스를 타고 출근해요.	xe buýt	Tôi đi làm bằng xe buýt.
公斤	キログラム	私はりんごを一キログラム買います。	킬로그램	저는 사과를 1킬로그램 사요.	ki-lô-gam	Tôi mua một ki-lô-gam táo.
公司	会社	私は会社で働いています。	회사	저는 회사에서 일해요.	công ty	Tôi làm việc ở công ty.
贵	高い; 値段が高い	この腕時計は高いです。	비싸다	이 손목시계는 비싸요.	đắt	Chiếc đồng hồ này đắt.
过	経験を表す助詞	私は中国へ行ったことがあります。	경험을 나타내는 조사	저는 중국에 가 본 적이 있어요.	trợ từ chỉ kinh nghiệm đã qua	Tôi đã từng đến Trung Quốc.
还	まだ; さらに	彼はまだ学校にいます。	아직; 또	그는 아직 학교에 있어요.	vẫn; còn; cũng	Anh ấy vẫn ở trường.
孩子	子ども	この子どもはとても喜んでいます。	아이; 어린이	이 아이는 정말 기뻐해요.	trẻ em; con	Đứa trẻ này rất vui.
好吃	おいしい	この料理はとてもおいしいです。	맛있다	이 요리는 아주 맛있어요.	ngon	Món này rất ngon.
号	番号; 日付	今日は八日です。	번호; 날짜	오늘은 8일이에요.	số; ngày	Hôm nay là ngày tám.
黑	黒い	この猫は黒いです。	검다; 까맣다	이 고양이는 까매요.	đen	Con mèo này màu đen.
红	赤い	私は赤いりんごが好きです。	빨갛다; 붉다	저는 빨간 사과를 좋아해요.	đỏ	Tôi thích táo đỏ.
欢迎	歓迎する; ようこそ	北京へようこそ。	환영하다; 환영	베이징에 오신 것을 환영해요.	chào đón; hoan nghênh	Chào mừng bạn đến Bắc Kinh.
回答	答える; 回答	この質問に答えてください。	대답하다; 답	이 질문에 대답해 주세요.	trả lời; câu trả lời	Xin hãy trả lời câu hỏi này.
机场	空港	空港はここから遠いです。	공항	공항은 여기에서 멀어요.	sân bay	Sân bay ở xa đây.
鸡蛋	卵	私は卵を食べます。	달걀; 계란	저는 달걀을 먹어요.	trứng gà	Tôi ăn trứng gà.
件	服や物の助数詞	私は服を一着買いました。	옷과 물건의 세는 말; 벌	저는 옷 한 벌을 샀어요.	lượng từ cho quần áo và đồ vật	Tôi đã mua một món quần áo.
教室	教室	学生たちは教室にいます。	교실	학생들은 교실에 있어요.	phòng học	Học sinh đang ở trong phòng học.
姐姐	姉	姉は医者です。	누나; 언니	언니는 의사예요.	chị gái	Chị gái là bác sĩ.
介绍	紹介する; 導入する	友達を紹介します。	소개하다	제 친구를 소개해요.	giới thiệu	Tôi giới thiệu bạn của tôi.
进	入る	どうぞ入ってください。	들어가다; 들어오다	들어오세요.	vào; đi vào	Mời vào.
近	近い	学校は家に近いです。	가깝다	학교는 집에서 가까워요.	gần	Trường ở gần nhà.
就	すぐ; それなら; ちょうど	私はすぐ行きます。	곧; 바로; 그러면	저는 바로 갈게요.	liền; ngay; thì	Tôi đi ngay bây giờ.
觉得	思う; 感じる	この料理はおいしいと思います。	생각하다; 느끼다	저는 이 요리가 맛있다고 생각해요.	cảm thấy; nghĩ	Tôi thấy món này ngon.
咖啡	コーヒー	私はコーヒーを飲みます。	커피	저는 커피를 마셔요.	cà phê	Tôi uống cà phê.
开始	始まる; 始める; 始まり	試験が始まりました。	시작하다; 시작	시험이 시작됐어요.	bắt đầu; sự bắt đầu	Bài thi đã bắt đầu.
考试	試験; テスト	明日は試験があります。	시험	내일 시험이 있어요.	thi; bài thi	Ngày mai có bài thi.
可能	たぶん; 可能	彼は家にいるかもしれません。	아마; 가능하다	그는 아마 집에 있을 거예요.	có thể; có lẽ	Có lẽ anh ấy ở nhà.
可以	できる; してもよい	行ってもいいですか。	할 수 있다; 해도 되다	제가 가도 돼요?	có thể; được	Tôi có thể đi không?
课	授業; レッスン	今日は中国語の授業があります。	수업; 과목	오늘 중국어 수업이 있어요.	lớp học; bài học	Hôm nay có lớp tiếng Trung.
快	速い; もうすぐ	彼は歩くのがとても速いです。	빠르다; 곧	그는 아주 빨리 걸어요.	nhanh; sắp	Anh ấy đi rất nhanh.
快乐	楽しい; 幸せ	誕生日おめでとう。	즐겁다; 행복하다	생일 축하해요.	vui; vui vẻ	Chúc mừng sinh nhật.
累	疲れた	私はとても疲れています。	피곤하다	저는 너무 피곤해요.	mệt	Tôi rất mệt.
离	〜から; 〜から離れて	学校は家から遠くありません。	~에서; 떨어져	학교는 집에서 멀지 않아요.	cách; rời khỏi	Trường không xa nhà.
两	二つの; 二	私には子どもが二人います。	둘; 두	저는 아이가 두 명 있어요.	hai	Tôi có hai con.
路	道; 道路	この道は長いです。	길; 도로	이 길은 길어요.	đường; con đường	Con đường này dài.
旅游	旅行する; 旅行	私は中国へ旅行したいです。	여행하다; 여행	저는 중국으로 여행 가고 싶어요.	du lịch; đi du lịch	Tôi muốn đi du lịch ở Trung Quốc.
卖	売る	この店はりんごを売っています。	팔다	이 가게는 사과를 팔아요.	bán	Cửa hàng này bán táo.
慢	遅い; ゆっくり	もう少しゆっくりお願いします。	느리다; 천천히	조금 천천히 해 주세요.	chậm; chậm rãi	Xin chậm hơn một chút.
忙	忙しい	今日は忙しいです。	바쁘다	저는 오늘 바빠요.	bận	Hôm nay tôi bận.
每	毎; それぞれ	私は毎日中国語を勉強します。	매; 각	저는 매일 중국어를 공부해요.	mỗi	Tôi học tiếng Trung mỗi ngày.
妹妹	妹	妹はテレビを見ています。	여동생	여동생은 텔레비전을 보고 있어요.	em gái	Em gái đang xem ti vi.
门	ドア; 門	ドアが開きました。	문; 대문	문이 열렸어요.	cửa; cổng	Cửa đã mở.
男人	男の人; 男性	この男の人は先生です。	남자	이 남자는 선생님이에요.	người đàn ông; nam giới	Người đàn ông này là giáo viên.
您	あなた; 貴方	こんにちは。	선생님; 당신	안녕하세요.	ông/bà; ngài	Xin chào.
牛奶	牛乳	私は牛乳を飲みます。	우유	저는 우유를 마셔요.	sữa bò	Tôi uống sữa.
女人	女の人; 女性	あの女の人は医者です。	여자	저 여자는 의사예요.	người phụ nữ; phụ nữ	Người phụ nữ kia là bác sĩ.
旁边	隣; そば	学校の隣に店があります。	옆; 곁	학교 옆에 가게가 있어요.	bên cạnh; cạnh	Bên cạnh trường có một cửa hàng.
跑步	走る; ジョギングする	私は朝走ります。	달리기하다; 뛰다	저는 아침에 달려요.	chạy bộ	Tôi chạy bộ buổi sáng.
便宜	安い	このりんごは安いです。	싸다	이 사과는 싸요.	rẻ	Quả táo này rẻ.
票	チケット; 切符	私はチケットを買います。	표; 티켓	저는 표를 사요.	vé	Tôi mua vé.
妻子	妻	私の妻は先生です。	아내	제 아내는 선생님이에요.	vợ	Vợ tôi là giáo viên.
起床	起きる; 起床する	私は朝六時に起きます。	일어나다; 기상하다	저는 아침 여섯 시에 일어나요.	thức dậy; dậy	Tôi dậy lúc sáu giờ sáng.
千	千	この自転車は千元です。	천	이 자전거는 천 위안이에요.	nghìn; ngàn	Chiếc xe đạp này giá một nghìn nhân dân tệ.
晴	晴れた	今日は晴れています。	맑다	오늘은 날씨가 맑아요.	trời nắng; quang đãng	Hôm nay trời nắng.
去年	去年	去年、私は北京にいました。	작년	작년에 저는 베이징에 있었어요.	năm ngoái	Năm ngoái tôi ở Bắc Kinh.
让	〜させる; 許す	母は私に勉強させてくれます。	하게 하다; 허락하다	엄마는 제가 공부하게 해 줘요.	để; cho phép	Mẹ để tôi học.
上班	出勤する; 仕事に行く	私は八時に仕事に行きます。	출근하다	저는 여덟 시에 출근해요.	đi làm	Tôi đi làm lúc tám giờ.
身体	体; 健康	彼は健康です。	몸; 건강	그는 건강해요.	cơ thể; sức khỏe	Anh ấy khỏe.
生病	病気になる	彼は病気になりました。	병이 나다; 아프다	그는 아팠어요.	bị ốm; mắc bệnh	Anh ấy bị ốm.
生日	誕生日	今日は私の誕生日です。	생일	오늘은 제 생일이에요.	sinh nhật	Hôm nay là sinh nhật của tôi.
时间	時間	私は時間がありません。	시간	저는 시간이 없어요.	thời gian	Tôi không có thời gian.
事情	事; 用事	私にはすることがあります。	일; 사정	저는 할 일이 있어요.	việc; sự việc	Tôi có việc cần làm.
手表	腕時計	この腕時計は新しいです。	손목시계	이 손목시계는 새것이에요.	đồng hồ đeo tay	Chiếc đồng hồ này mới.
手机	携帯電話; スマホ	私の携帯電話は机の上にあります。	휴대전화; 스마트폰	제 휴대전화는 책상 위에 있어요.	điện thoại di động	Điện thoại của tôi ở trên bàn.
送	贈る; 送る	本を一冊贈ります。	선물하다; 보내다	책 한 권을 선물할게요.	tặng; gửi	Tôi tặng bạn một quyển sách.
所以	だから; そのため	今日は雨なので、私は行きません。	그래서; 그러므로	오늘 비가 와서 저는 안 가요.	vì vậy; cho nên	Hôm nay trời mưa, vì vậy tôi không đi.
它	それ; それを	それは私の猫です。	그것	그건 제 고양이예요.	nó	Đó là con mèo của tôi.
踢足球	サッカーをする	彼らはサッカーをしています。	축구하다	그들은 축구를 하고 있어요.	chơi bóng đá	Họ chơi bóng đá.
题	問題; 設問	この問題は正しくありません。	문제; 제목	이 문제는 맞지 않아요.	câu hỏi; bài tập	Bài tập này không đúng.
跳舞	踊る; ダンスする	彼女は踊るのが好きです。	춤추다	그녀는 춤추는 것을 좋아해요.	nhảy múa; khiêu vũ	Cô ấy thích nhảy.
外	外; 外側	彼は外で、ドアの前にいます。	밖; 외부	그는 밖, 문 앞에 있어요.	ngoài; bên ngoài	Anh ấy ở bên ngoài, trước cửa.
完	終わる; 終える	終わりました。	끝나다; 끝내다	끝냈어요.	xong; hoàn thành	Tôi xong rồi.
玩	遊ぶ; 楽しむ	子どもが遊んでいます。	놀다	아이가 놀고 있어요.	chơi; vui chơi	Đứa trẻ đang chơi.
晚上	夜; 晩	夜、私は映画を見ます。	저녁; 밤	저녁에 저는 영화를 봐요.	buổi tối; đêm	Buổi tối tôi xem phim.
为什么	なぜ; どうして	なぜ行かないのですか。	왜	왜 안 가요?	tại sao; vì sao	Tại sao bạn không đi?
问	尋ねる; 質問する	私は先生に尋ねます。	묻다; 질문하다	저는 선생님께 물어요.	hỏi	Tôi hỏi giáo viên.
问题	質問; 問題	質問があります。	질문; 문제	저는 질문이 있어요.	câu hỏi; vấn đề	Tôi có một câu hỏi.
西瓜	スイカ	私はスイカを食べます。	수박	저는 수박을 먹어요.	dưa hấu	Tôi ăn dưa hấu.
希望	望む; 希望	来てくれることを願っています。	바라다; 희망	네가 오기를 바라요.	hy vọng; mong	Tôi hy vọng bạn sẽ đến.
洗	洗う	私は服を洗います。	씻다; 빨다	저는 옷을 빨아요.	rửa; giặt	Tôi giặt quần áo.
向	〜へ; 〜に向かって	彼はこちらへ歩いてきます。	~을 향해; ~에게	그는 저를 향해 걸어와요.	hướng về; về phía	Anh ấy đi về phía tôi.
小时	時間; 時間単位	私は二時間勉強します。	시간	저는 두 시간 공부해요.	giờ; tiếng	Tôi học hai tiếng.
笑	笑う; ほほえむ	彼女はほほえみました。	웃다; 미소 짓다	그녀는 미소 지었어요.	cười; mỉm cười	Cô ấy đã mỉm cười.
新	新しい	これは新しい本です。	새롭다; 새	이것은 새 책이에요.	mới	Đây là một quyển sách mới.
姓	姓; 名字である	名字は何ですか。	성; 성씨	성함이 어떻게 되세요?	họ; mang họ	Họ của ông/bà là gì?
休息	休む; 休憩	休みたいです。	쉬다; 휴식	저는 쉬고 싶어요.	nghỉ ngơi; sự nghỉ	Tôi muốn nghỉ ngơi.
雪	雪	今日は雪が降っています。	눈	오늘 눈이 와요.	tuyết	Hôm nay có tuyết rơi.
颜色	色	この色が好きです。	색; 색깔	저는 이 색을 좋아해요.	màu sắc	Tôi thích màu này.
眼睛	目	彼女は目が大きいです。	눈	그녀는 눈이 커요.	mắt	Cô ấy có đôi mắt to.
羊肉	羊肉; ラム肉	私は羊肉を食べません。	양고기	저는 양고기를 먹지 않아요.	thịt cừu; thịt dê	Tôi không ăn thịt cừu.
药	薬	彼は薬を飲みます。	약	그는 약을 먹어요.	thuốc	Anh ấy uống thuốc.
要	欲しい; 〜しなければならない	私は水を飲みたいです。	원하다; 해야 하다	저는 물을 마시고 싶어요.	muốn; cần phải	Tôi muốn uống nước.
也	も; また	私も行きます。	도; 또한	저도 갈 거예요.	cũng	Tôi cũng đi.
已经	すでに; もう	私はもう着きました。	이미; 벌써	저는 이미 도착했어요.	đã; rồi	Tôi đã đến rồi.
一起	一緒に	一緒に行きましょう。	함께; 같이	우리 같이 가요.	cùng nhau	Chúng ta đi cùng nhau.
意思	意味	この漢字はどういう意味ですか。	뜻; 의미	이 한자는 무슨 뜻이에요?	ý nghĩa; nghĩa	Chữ Hán này có nghĩa là gì?
阴	曇った; 曇り	今日は曇っています。	흐리다; 음	오늘은 흐려요.	âm u; nhiều mây	Hôm nay trời nhiều mây.
因为	なぜなら; 〜なので	雨が降っているので、私は行きません。	왜냐하면; ~때문에	비가 와서 저는 안 가요.	vì; bởi vì	Vì trời mưa nên tôi không đi.
游泳	泳ぐ	私は泳げます。	수영하다	저는 수영할 수 있어요.	bơi	Tôi biết bơi.
右边	右側; 右	店は右側にあります。	오른쪽	가게는 오른쪽에 있어요.	bên phải; phía bên phải	Cửa hàng nằm bên phải.
鱼	魚	私は魚を食べます。	물고기; 생선	저는 생선을 먹어요.	cá	Tôi ăn cá.
元	元; 人民元	このカップは十元です。	위안	이 컵은 십 위안이에요.	nhân dân tệ; tệ	Cái cốc này giá mười nhân dân tệ.
远	遠い	空港は遠いです。	멀다	공항은 멀어요.	xa	Sân bay ở xa.
运动	スポーツ; 運動	私はスポーツが好きです。	운동; 스포츠	저는 운동을 좋아해요.	thể thao; vận động	Tôi thích chơi thể thao.
再	再び; また	明日また来ます。	다시; 또	내일 다시 올게요.	lại; nữa	Ngày mai tôi sẽ lại đến.
早上	朝	朝、私はお茶を飲みます。	아침	아침에 저는 차를 마셔요.	buổi sáng	Sáng tôi uống trà.
张	平たい物の助数詞	私はチケットを一枚買いました。	평평한 물건의 세는 말; 장	저는 표 한 장을 샀어요.	lượng từ cho vật phẳng	Tôi đã mua một tấm vé.
丈夫	夫	彼女の夫は医者です。	남편	그녀의 남편은 의사예요.	chồng	Chồng cô ấy là bác sĩ.
找	探す; 見つける	友達を探しています。	찾다	저는 친구를 찾고 있어요.	tìm; tìm kiếm	Tôi tìm một người bạn.
着	持続を表す助詞	ドアは開いています。	지속 상태를 나타내는 조사	문이 열려 있어요.	trợ từ chỉ trạng thái tiếp diễn	Cửa đang mở.
真	本当に; 本物の	この本は本当に良いです。	정말; 진짜	이 책은 정말 좋아요.	thật; thật sự	Quyển sách này thật sự hay.
正在	ちょうど〜している	彼はテレビを見ているところです。	막 ~하고 있다; 한창	그는 지금 텔레비전을 보고 있어요.	đang	Anh ấy đang xem ti vi.
知道	知っている; 分かる	私は知りません。	알다	저는 몰라요.	biết	Tôi không biết.
准备	準備する; 準備	私は試験の準備をしています。	준비하다; 준비	저는 시험을 준비하고 있어요.	chuẩn bị	Tôi chuẩn bị cho kỳ thi.
自行车	自転車	私の自転車は新しいです。	자전거	제 자전거는 새것이에요.	xe đạp	Xe đạp của tôi mới.
走	歩く; 行く	私は歩いて家へ帰ります。	걷다; 가다	저는 걸어서 집에 가요.	đi bộ; đi	Tôi đi bộ về nhà.
最	最も; 一番	彼は一番背が高いです。	가장; 제일	그가 가장 키가 커요.	nhất; nhất là	Anh ấy là người cao nhất.
左边	左側; 左	学校は左側にあります。	왼쪽	학교는 왼쪽에 있어요.	bên trái; phía bên trái	Trường nằm bên trái.
