hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
5128:要么	要么	要么	ya... ya da...	Ya şimdi git ya da yarına kadar bekle.	ama... ama...	Ama uondoke sasa, ama usubiri hadi kesho.	ya... ya da...	Ya indi get, ya da sabaha qədər gözlə.	yoki... yoki...	Yoki hozir ket, yoki ertagacha kut.
5130:野	野	野	yabani; vahşi	Bu dağlık bölgede birçok yabani çiçek var.	mwitu; wa porini	Kuna maua mengi ya porini katika eneo hili la milima.	vəhşi; yabanı	Bu dağlıq ərazidə çoxlu yabanı çiçək var.	yovvoyi; ishlov berilmagan	Bu tog‘li hududda ko‘plab yovvoyi gullar bor.
5131:也好	也好	也好	ister... ister...	İster git ister gitme, bana söylemelisin.	iwe... au...	Ukienda au usipoenda, lazima uniambie.	istər... istər...	İstər gedəsən, istər getməyəsən, mənə deməlisən.	xoh... xoh...	Xoh borsang, xoh bormasang, menga aytishing kerak.
5132:野生	野生	野生	yabani; vahşi	Burada yabani hayvan yakalamak yasaktır.	wa porini; mwitu	Hapa ni marufuku kukamata wanyama wa porini.	vəhşi; təbiətdə yaşayan	Burada vəhşi heyvanları tutmaq qadağandır.	yovvoyi; tabiatda o‘sadigan	Bu yerda yovvoyi hayvonlarni tutish taqiqlangan.
5133:野外	野外	野外	açık alan; saha	Öğrenciler sahada bitkileri gözlemledi.	nje; porini	Wanafunzi walichunguza mimea porini.	açıq hava; sahə	Tələbələr açıq havada bitkiləri müşahidə etdilər.	ochiq havo; dala	Talabalar dalada o‘simliklarni kuzatishdi.
5134:业	业	业	sektör; meslek; ek	Hizmet sektörü daha fazla uzmana ihtiyaç duyuyor.	sekta; kazi; kiambishi	Sekta ya huduma inahitaji wataalamu zaidi.	sahə; peşə; şəkilçi	Xidmət sahəsinə daha çox peşəkar mütəxəssis lazımdır.	soha; kasb; qo‘shimcha	Xizmat sohasi ko‘proq mutaxassislarga muhtoj.
5139:衣食住行	衣食住行	衣食住行	yaşamın temel ihtiyaçları	Bu rapor kent sakinlerinin temel yaşam ihtiyaçlarını analiz ediyor.	mahitaji ya msingi ya maisha	Ripoti hii inachambua mahitaji ya msingi ya wakazi wa mjini.	həyatın əsas ehtiyacları	Bu hesabat şəhər sakinlərinin həyatın əsas ehtiyaclarını təhlil edir.	hayotning asosiy ehtiyojlari	Bu hisobot shahar aholisi hayotining asosiy ehtiyojlarini tahlil qiladi.
5140:医药	医药	医药	tıp; ilaç sektörü	Tıp ve ilaç giderleri son yıllarda biraz arttı.	tiba; dawa	Gharama za tiba na dawa zimeongezeka kiasi katika miaka ya hivi karibuni.	tibb; dərman sənayesi	Tibb və dərman xərcləri son illərdə bir qədər artıb.	tibbiyot; farmatsevtika	Tibbiyot va dori-darmon xarajatlari so‘nggi yillarda biroz oshdi.
5141:一一	一一	一一	tek tek; birer birer	Öğretmen soruları tek tek açıkça anlattı.	moja baada ya moja	Mwalimu alieleza maswali moja baada ya moja kwa uwazi.	bir-bir; tək-tək	Müəllim sualları bir-bir aydın izah etdi.	birma-bir; bittalab	O‘qituvchi savollarni birma-bir aniq tushuntirdi.
5142:姨	姨	姨	teyze; annenin kız kardeşi	Teyzem bugün bize yemeğe geliyor.	shangazi wa upande wa mama	Shangazi yangu atakuja kula chakula nyumbani leo.	xala; ananın bacısı	Xalam bu gün bizə yeməyə gəlir.	xola; onaning singlisi	Xolam bugun uyimizga ovqatlanishga keladi.
5146:一带	一带	一带	civar; bölge	Okul civarında birçok kitapçı var.	eneo; sehemu	Kuna maduka mengi ya vitabu karibu na shule.	ətraf; bölgə	Məktəb ətrafında çoxlu kitab mağazası var.	atrof; hudud	Maktab atrofida ko‘p kitob do‘konlari bor.
5147:一道	一道	一道	birlikte; aynı anda	Haydi sergiyi birlikte görmeye gidelim.	pamoja; kwa wakati mmoja	Twende pamoja kutazama maonyesho.	birlikdə; eyni vaxtda	Gəl sərgiyə birlikdə baxmağa gedək.	birga; bir vaqtda	Keling, ko‘rgazmani birga ko‘rishga boramiz.
5155:一系列	一系列	一系列	bir dizi	Şirket bir dizi yeni ürün çıkardı.	mfululizo wa	Kampuni ilizindua mfululizo wa bidhaa mpya.	bir sıra	Şirkət bir sıra yeni məhsul təqdim etdi.	bir qator	Kompaniya bir qator yangi mahsulotlar chiqardi.
5157:一阵	一阵	一阵	bir esinti; kısa bir süre	Pencereden serin bir esinti geldi.	mpulizo; muda mfupi	Upepo mwanana wa baridi uliingia kutoka dirishani.	bir əsinti; qısa müddət	Pəncərədən sərin bir meh əsdi.	bir esish; qisqa muddat	Derazadan salqin shabada kirdi.
5158:遗址	遗址	遗址	kalıntılar; tarihi alan	Bu antik kent kalıntıları birçok turisti çekti.	magofu; eneo la kihistoria	Magofu haya ya mji wa kale yamewavutia watalii wengi.	xarabalıq; tarixi yer	Bu qədim şəhər xarabalığı çoxlu turist cəlb edib.	xaroba; tarixiy joy	Bu qadimiy shahar xarobasi ko‘plab sayyohlarni jalb qildi.
5163:益处	益处	益处	yarar; fayda	Her gün egzersiz yapmanın sağlığa birçok yararı vardır.	faida; manufaa	Mazoezi ya kila siku yana faida nyingi kwa afya.	fayda; üstünlük	Hər gün idman etməyin sağlamlıq üçün çox faydası var.	foyda; afzallik	Har kuni mashq qilish sog‘liq uchun ko‘p foyda keltiradi.
5164:一帆风顺	一帆风顺	一帆风顺	her şey yolunda; sorunsuz başarılı	Yeni işinde her şeyin yolunda gitmesini dilerim.	kwenda vizuri; bila vikwazo	Nakutakia kazi yako mpya iende vizuri bila vikwazo.	işlərin rəvan getməsi; uğurlu	Yeni işində hər şeyin rəvan getməsini arzulayıram.	ishlar silliq ketishi; omadli	Yangi ishingda hammasi ravon ketishini tilayman.
5165:一口气	一口气	一口气	bir solukta; durmadan	Durmadan dağın tepesine kadar koştu.	kwa pumzi moja; bila kusimama	Alikimbia hadi kilele cha mlima bila kusimama.	birnəfəsə; dayanmadan	O, dayanmadan dağın zirvəsinə qədər qaçdı.	bir nafasda; to‘xtamasdan	U to‘xtamasdan tog‘ cho‘qqisigacha yugurdi.
5167:一模一样	一模一样	一模一样	tıpatıp aynı	Bu iki fotoğraf tıpatıp aynı görünüyor.	sawa kabisa	Picha hizi mbili zinaonekana sawa kabisa.	tamamilə eyni	Bu iki şəkil tamamilə eyni görünür.	mutlaqo bir xil	Bu ikki surat mutlaqo bir xil ko‘rinadi.
5168:艺人	艺人	艺人	sanatçı; sahne sanatçısı	Bu sanatçı sahnede çok kendine güveniyor.	msanii; mtumbuizaji	Msanii huyu ana ujasiri mkubwa jukwaani.	sənətçi; ifaçı	Bu sənətçi səhnədə çox özünəinamlıdır.	san’atkor; ijrochi	Bu san’atkor sahnada juda o‘ziga ishonadi.
5169:一身	一身	一身	baştan aşağı; takım elbise	Baştan aşağı siyah bir takım giydi.	mwili mzima; vazi kamili	Alivaa suti nyeusi kamili.	bütün bədən; tam geyim	O, tam qara kostyum geyindi.	butun tana; to‘liq kiyim	U boshdan-oyoq qora kostyum kiygan edi.
5170:一时	一时	一时	bir an; o sırada	Bir an onun adını hatırlayamadım.	kwa muda mfupi; kwa wakati huo	Kwa muda mfupi sikuweza kukumbuka jina lake.	bir an; o vaxt	Bir an onun adını xatırlaya bilmədim.	bir lahza; o‘sha payt	Bir lahza uning ismini eslay olmadim.
5171:一同	一同	一同	birlikte	Bu projeyi birlikte tamamladık.	pamoja	Tulimaliza mradi huu pamoja.	birlikdə	Bu layihəni birlikdə tamamladıq.	birga	Biz bu loyihani birga yakunladik.
5172:易于	易于	易于	kolay; yapması kolay	Bu yazılımı kullanmak kolaydır.	rahisi; rahisi kufanya	Programu hii ni rahisi kutumia.	asan; etmək üçün asan	Bu proqramdan istifadə etmək asandır.	oson; bajarishga qulay	Bu dasturdan foydalanish oson.
5173:抑制	抑制	抑制	bastırmak; engellemek	Bu ilaç ağrıyı bastırabilir.	kuzuia; kupunguza	Dawa hii inaweza kupunguza maumivu.	cilovlamaq; basdırmaq	Bu dərman ağrını azalda bilər.	jilovlamoq; bostirmoq	Bu dori og‘riqni kamaytirishi mumkin.
5174:因	因	因	nedeniyle; yüzünden	Toplantı şiddetli yağmur nedeniyle ertelendi.	kwa sababu ya	Mkutano uliahirishwa kwa sababu ya mvua kubwa.	səbəbindən; görə	İclas güclü yağış səbəbindən təxirə salındı.	sababli; tufayli	Yig‘ilish kuchli yomg‘ir tufayli qoldirildi.
5175:音节	音节	音节	hece	Bu kelimede üç hece var.	silabi	Neno hili lina silabi tatu.	heca	Bu sözdə üç heca var.	bo‘g‘in	Bu so‘zda uchta bo‘g‘in bor.
5177:银牌	银牌	银牌	gümüş madalya	Yarışmada gümüş madalya kazandı.	medali ya fedha	Alishinda medali ya fedha kwenye mashindano.	gümüş medal	O, yarışda gümüş medal qazandı.	kumush medal	U musobaqada kumush medal oldi.
5178:引	引	引	alıntı yapmak; yönlendirmek	Öğretmen fikri açıklamak için eski bir şiirden alıntı yaptı.	kunukuu; kuongoza	Mwalimu alinukuu shairi la zamani kueleza hoja.	sitat gətirmək; yönəltmək	Müəllim fikri izah etmək üçün qədim şeirdən sitat gətirdi.	iqtibos keltirmoq; yetaklamoq	O‘qituvchi fikrni tushuntirish uchun qadimiy she’rdan iqtibos keltirdi.
5179:隐藏	隐藏	隐藏	gizlemek; saklamak	Dosya sistem klasöründe gizlenmişti.	kuficha; kufichwa	Faili lilifichwa kwenye folda ya mfumo.	gizlətmək; gizli saxlamaq	Fayl sistem qovluğunda gizlədilmişdi.	yashirmoq; berkitmoq	Fayl tizim papkasida yashirilgan edi.
5181:引发	引发	引发	tetiklemek; yol açmak	Bu haber hararetli bir tartışmaya yol açtı.	kusababisha; kuchochea	Habari hii ilisababisha mjadala mkali.	səbəb olmaq; doğurmaq	Bu xəbər qızğın müzakirəyə səbəb oldu.	keltirib chiqarmoq; sabab bo‘lmoq	Bu xabar qizg‘in muhokamaga sabab bo‘ldi.
