simplified	RU	example_RU
件	счетное слово для одежды и предметов	Я купил одну вещь из одежды.
教室	классная комната; аудитория	Студенты в аудитории.
姐姐	старшая сестра	Старшая сестра - врач.
介绍	представлять; знакомить	Я представляю своего друга.
进	входить	Входите, пожалуйста.
近	близкий; близко	Школа близко к дому.
就	сразу; тогда; именно	Я сейчас же пойду.
觉得	думать; чувствовать	Я думаю, что это блюдо вкусное.
咖啡	кофе	Я пью кофе.
开始	начинать; начало	Экзамен начался.
考试	экзамен; тест	Завтра экзамен.
可能	возможно; может быть	Возможно, он дома.
可以	можно; мочь	Можно мне пойти?
课	урок; занятие	Сегодня есть урок китайского.
快	быстрый; быстро; скоро	Он ходит очень быстро.
快乐	счастливый; радостный	С днем рождения.
累	уставший	Я очень устал.
离	от; на расстоянии от	Школа недалеко от дома.
两	два	У меня двое детей.
路	дорога; путь	Эта дорога длинная.
旅游	путешествовать; туризм	Я хочу поехать в Китай в путешествие.
卖	продавать	В этом магазине продают яблоки.
慢	медленный; медленно	Пожалуйста, помедленнее.
忙	занятый	Сегодня я занят.
每	каждый	Я каждый день учу китайский.
妹妹	младшая сестра	Младшая сестра смотрит телевизор.
门	дверь; ворота	Дверь открылась.
男人	мужчина	Этот мужчина - учитель.
您	вы	Здравствуйте.
牛奶	молоко	Я пью молоко.
女人	женщина	Та женщина - врач.
旁边	рядом; сбоку	Рядом со школой есть магазин.
跑步	бегать; бегать трусцой	Я бегаю утром.
便宜	дешевый; недорогой	Это яблоко дешевое.
票	билет	Я покупаю билет.
妻子	жена	Моя жена - учитель.
起床	вставать с постели	Я встаю в шесть утра.
千	тысяча	Этот велосипед стоит тысячу юаней.
晴	ясный; солнечный	Сегодня солнечно.
去年	прошлый год	В прошлом году я был в Пекине.
让	позволять; давать возможность	Мама позволяет мне учиться.
上班	идти на работу; быть на работе	Я иду на работу в восемь.
身体	тело; здоровье	У него хорошее здоровье.
生病	заболеть	Он заболел.
生日	день рождения	Сегодня мой день рождения.
时间	время	У меня нет времени.
事情	дело; событие	У меня есть дело.
手表	наручные часы	Эти часы новые.
手机	мобильный телефон	Мой телефон на столе.
送	дарить; отправлять	Я дарю тебе книгу.
所以	поэтому; так что	Сегодня идет дождь, поэтому я не пойду.
它	оно; это	Это моя кошка.
踢足球	играть в футбол	Они играют в футбол.
题	вопрос; задание	Это задание неправильное.
跳舞	танцевать	Она любит танцевать.
外	снаружи; вне	Он за дверью.
完	заканчивать	Я закончил.
玩	играть; развлекаться	Ребенок играет.
晚上	вечер; ночь	Вечером я смотрю фильм.
为什么	почему	Почему ты не идешь?
问	спрашивать	Я спрашиваю учителя.
问题	вопрос; проблема	У меня есть вопрос.
西瓜	арбуз	Я ем арбуз.
希望	надеяться; надежда	Я надеюсь, что ты придешь.
洗	мыть; стирать	Я стираю одежду.
向	к; по направлению к	Он идет ко мне.
小时	час	Я учусь два часа.
笑	улыбаться; смеяться	Она улыбнулась.
新	новый	Это новая книга.
姓	фамилия; носить фамилию	Какая у вас фамилия?
休息	отдыхать; отдых	Я хочу отдохнуть.
雪	снег	Сегодня идет снег.
颜色	цвет	Мне нравится этот цвет.
眼睛	глаз; глаза	У нее большие глаза.
羊肉	баранина; мясо ягненка	Я не ем баранину.
药	лекарство	Он принимает лекарство.
要	хотеть; нужно	Я хочу пить воду.
也	тоже; также	Я тоже пойду.
已经	уже	Я уже пришел.
一起	вместе	Мы пойдем вместе.
意思	значение; смысл	Что значит этот иероглиф?
阴	пасмурный; облачный	Сегодня пасмурно.
因为	потому что; из-за	Поскольку идет дождь, я не пойду.
游泳	плавать	Я умею плавать.
右边	правая сторона; справа	Магазин справа.
鱼	рыба	Я ем рыбу.
元	юань; денежная единица	Эта чашка стоит десять юаней.
远	далекий; далеко	Аэропорт далеко.
运动	спорт; физические упражнения	Мне нравится заниматься спортом.
再	снова; потом	Я снова приду завтра.
早上	утро	Утром я пью чай.
张	счетное слово для плоских предметов	Я купил билет.
丈夫	муж	Ее муж - врач.
找	искать; находить	Я ищу друга.
着	частица продолженного действия или состояния	Дверь открыта.
真	действительно; настоящий	Эта книга действительно хорошая.
正在	сейчас; в процессе	Он сейчас смотрит телевизор.
知道	знать	Я не знаю.
准备	готовиться; готовить; подготовка	Я готовлюсь к экзамену.
自行车	велосипед	Мой велосипед новый.
走	идти; ходить	Я иду домой пешком.
最	самый; наиболее	Он самый высокий.
左边	левая сторона; слева	Школа слева.
