simplified	TR	example_TR
表达	ifade etmek	Görüşünü ifade etti.
表面	yüzey	Masanın yüzeyi çok temiz.
表明	göstermek; ortaya koymak	Sonuç onun haklı olduğunu gösteriyor.
表情	yüz ifadesi	Onun yüz ifadesi çok ciddiydi.
表现	performans göstermek; davranış sergilemek	Bugün çok iyi performans gösterdi.
冰激凌	dondurma	Çocuklar dondurma yemeyi sever.
病毒	virüs	Bu virüs çok hızlı yayılıyor.
播放	çalmak; yayınlamak	Lütfen bu şarkıyı çalın.
玻璃	cam	Cam bardak kırıldı.
博物馆	müze	Hafta sonu müzeye gidiyoruz.
脖子	boyun	Boynum biraz ağrıyor.
不断	sürekli; durmadan	Fiyatlar sürekli yükseliyor.
不见得	illa ki değil; pek sayılmaz	Bu illa ki kötü bir şey değildir.
不耐烦	sabırsız	Uzun süre bekleyince biraz sabırsızlandı.
不要紧	önemli değil; sorun değil	Sorun değil, önemli değil.
补充	eklemek; tamamlamak	Bir görüş daha eklemek istiyorum.
不安	huzursuz; tedirgin	Bu haberi duyunca tedirgin oldu.
不得了	çok ciddi; berbat	Bu mesele gerçekten çok ciddi.
不然	yoksa; aksi halde	Çabuk çık, yoksa geç kalırsın.
不如	-den daha iyi olmamak; en iyisi	Arabayla gitmektense yürümek daha iyi.
不足	yetersiz; eksiklik	Burada yeterli su yok.
布	kumaş	Bu kumaş çok yumuşak.
步骤	adım; aşama	Lütfen adımlara göre işlem yapın.
部门	bölüm; departman	Satış departmanında çalışıyorum.
财产	mal varlığı; mülk	Bu ev onun mülküdür.
彩虹	gökkuşağı	Yağmurdan sonra gökkuşağı çıktı.
踩	basmak	Çimlere basma.
采访	röportaj yapmak; görüşme yapmak	Muhabir doktorla röportaj yapıyor.
采取	benimsemek; uygulamak	Yeni bir yöntem benimsedik.
参考	başvurmak; referans	Lütfen bu kitaba başvurun.
参与	katılmak	Etkinliklere aktif olarak katılıyor.
惭愧	utanmak	Kendi hatamdan utandım.
操场	oyun alanı; spor sahası	Öğrenciler spor sahasında koşuyor.
操心	endişelenmek	Benim için endişelenme.
册	cilt; kitapçık	Bir cilt kitap aldım.
测验	kısa sınav	Yarın küçük bir sınav var.
曾经	bir zamanlar; eskiden	Bir zamanlar Pekin'de yaşadım.
叉子	çatal	Salatayı çatalla yerim.
差距	fark; uçurum	Şehir ile kırsal arasında fark var.
插	sokmak; yerleştirmek	Lütfen çiçekleri vazoya koyun.
拆	yıkmak; sökmek	İşçiler eski evi yıkıyor.
产品	ürün	Bu ürünün kalitesi çok iyi.
产生	ortaya çıkmak; meydana getirmek	Bu sorun yeni bir etki yarattı.
常识	genel bilgi; sağduyu	Bu temel sağduyudur.
长途	uzun mesafe	Uzun mesafeli yolculuk yorucudur.
抄	kopya çekmek; kopyalamak	Lütfen başkalarının ödevini kopyalamayın.
超级	süper; büyük	Bu bir süpermarket.
朝	hanedanlık	Tang Hanedanı çok ünlüdür.
潮湿	nemli	Güneyde yazlar çok nemlidir.
吵	gürültülü	Dışarısı çok gürültülü.
吵架	kavga etmek	Yine kavga ettiler.
炒	tavada kızartmak	Annem yemek kavuruyor.
车库	garaj	Araba garajda duruyor.
车厢	vagon	Bu vagon çok sessiz.
彻底	tamamen; kökten	O tamamen anladı.
沉默	sessiz kalmak; suskun	Sürekli sessiz kaldı.
趁	-den yararlanarak; fırsatını bulmuşken	Hava kararmadan gidelim.
称	tartmak; adlandırmak	Lütfen bu paketi tartın.
称呼	hitap etmek; çağırmak	Ona nasıl hitap edeceğimi bilmiyorum.
称赞	övmek	Öğretmen onun ilerlemesini övdü.
成分	içerik; bileşen	Bu ilacın içeriği çok basit.
成果	sonuç; başarı	Bu proje sonuç verdi.
成就	başarı	Kariyerinde birçok başarı elde etti.
成立	kurulmak; kurmak	Şirket geçen yıl kuruldu.
成人	yetişkin	Yetişkin bileti çocuk biletinden daha pahalıdır.
成熟	olgun; olgunlaşmak	Elmalar çoktan olgunlaştı.
成语	deyim	Bu deyim çok yaygın kullanılır.
成长	büyümek; gelişmek	Çocuk yavaş yavaş büyüyor.
承担	üstlenmek; sorumluluk almak	O sorumluluk almaya istekli.
承认	kabul etmek	Hatalı olduğunu kabul etti.
承受	dayanmak; katlanmak	Bu kadar büyük baskıya dayanamam.
程度	seviye; derece	Onun Çince seviyesi çok yüksek.
程序	prosedür; süreç	Lütfen işlemi prosedüre göre yapın.
诚恳	samimi; içten	Tavrı çok samimi.
吃亏	zarar görmek; kayba uğramak	Alışverişten önce dikkatli bak, zarar görme.
持续	sürmek; devam etmek	Yağmur üç gün sürdü.
池塘	gölet	Gölette çok balık var.
迟早	er ya da geç	Er ya da geç anlayacaksın.
尺子	cetvel	Lütfen cetvelle ölçün.
翅膀	kanat	Kuşun kanadı yaralandı.
充电器	şarj cihazı	Şarj cihazım bozuldu.
充分	yeterli; tam	Tam hazırlık yaptık.
充满	dolu olmak	Oda kahkahalarla doldu.
冲	durulamak; çalkalamak	Lütfen bardağı suyla durulayın.
重复	tekrarlamak	Lütfen aynı hatayı tekrarlamayın.
宠物	evcil hayvan	O bir evcil köpek besliyor.
抽屉	çekmece	Anahtar çekmecede.
抽象	soyut	Bu kavram fazla soyut.
丑	çirkin	Bu fotoğraf biraz çirkin.
臭	kötü kokmak; kokmuş	Çöp çok kötü kokuyor.
出版	yayımlamak; yayımlanmak	Bu kitap geçen yıl yayımlandı.
出口	çıkış	Çıkış ileride.
出色	harika; seçkin	Onun performansı çok harika.
出示	göstermek	Lütfen pasaportunuzu gösterin.
出席	katılmak	O toplantıya katılacak.
初级	başlangıç seviyesi	Çinceyi başlangıç sınıfında öğreniyorum.
除非	-mezse; ancak eğer	Yağmur yağmazsa yarın dağa tırmanmaya gideceğiz.
除夕	yılbaşı arifesi	Yılbaşı arifesinde bütün aile birlikte yemek yeriz.
处理	halletmek; ele almak	Bu sorunu ben halledeceğim.
传播	yayılmak; yaymak	Bu haber çok hızlı yayıldı.
传染	bulaşmak; bulaşıcı	Soğuk algınlığı kolay bulaşır.
传说	efsane	Bu eski bir efsanedir.
传统	gelenek; geleneksel	Bahar Bayramı Çin'in geleneksel bayramıdır.
窗帘	perde	Lütfen perdeleri açın.
闯	dalmak; kuralı ihlal etmek	O yanlışlıkla kırmızı ışıkta geçti.
创造	yaratmak	İnsanlar yeni araçlar yarattı.
吹	esmek; üflemek	Rüzgar çok sert esiyor.
词汇	kelime bilgisi; sözcük	Bu sözcük çok yaygın kullanılır.
辞职	istifa etmek	İstifa etmeye karar verdi.
此外	ayrıca; bunun dışında	Ayrıca bir sorum daha var.
刺激	heyecan verici; uyarmak	Bu oyun çok heyecan verici.
次要	ikincil	Bu sorun ikincildir.
匆忙	aceleyle	Evden aceleyle çıktı.
从此	bundan sonra; o günden sonra	O günden sonra her gün egzersiz yaptı.
从而	böylece	Çok çalıştı ve böylece sınavı geçti.
从前	eskiden; bir zamanlar	Eskiden burada metro yoktu.
从事	uğraşmak; çalışmak	O eğitim alanında çalışıyor.
粗糙	pürüzlü; kaba	Bu kağıt çok pürüzlü.
促进	teşvik etmek; geliştirmek	Spor sağlığı geliştirir.
促使	sebep olmak; yöneltmek	Bu olay onu planını değiştirmeye yöneltti.
醋	sirke	Yemeğe sirke kondu.
催	acele ettirmek	Annem beni çabuk çıkmam için acele ettirdi.
存在	var olmak	Bu sorun hâlâ var.
措施	önlem	Okul güvenlik önlemleri aldı.
答应	kabul etmek; söz vermek	Bana yardım etmeyi kabul etti.
达到	ulaşmak; erişmek	Notları standarda ulaştı.
打工	yarı zamanlı çalışmak	Yaz tatilinde restoranda çalışıyor.
打交道	ilişki kurmak; iş yapmak	Müşterilerle sık sık iş yaparım.
打喷嚏	hapşırmak	Soğuk algınlığı var ve sürekli hapşırıyor.
打听	sormak; bilgi almak	Tren bileti hakkında bilgi almak istiyorum.
大方	cömert	Para harcarken çok cömerttir.
大厦	büyük bina	O büyük bina çok yüksek.
大象	fil	Çocuklar hayvanat bahçesinde fil izliyor.
大型	büyük ölçekli	Buraya büyük bir alışveriş merkezi yapılacak.
呆	kalmak; dalgın	Evde kalıp kitap okuyor.
代表	temsil etmek; temsilci	Bu çiçek dostluğu temsil eder.
代替	yerine geçmek	Bugün toplantıya onun yerine katılacağım.
待遇	maaş ve yan haklar; muamele	Bu şirketin yan hakları fena değil.
贷款	kredi	Konut kredisi için başvurdular.
单纯	basit; saf	Onun fikri çok basit.
单调	tekdüze	Bu iş biraz tekdüze.
单独	tek başına; yalnız	Seninle yalnız konuşmak istiyorum.
单位	birim; kurum	O bir kamu kurumunda çalışıyor.
单元	ünite; birim	Bugün üçüncü üniteyi öğreniyoruz.
担任	görev yapmak; üstlenmek	Bu etkinlikte sorumlu kişi olarak görev yapıyor.
耽误	geciktirmek; zamanını almak	Herkesin zamanını boşa harcama.
胆小鬼	korkak	Ona korkak deme.
淡	tatsız; hafif	Bu çorba biraz tatsız.
当地	yerel	Yerel halk bu pazarı seviyor.
当心	dikkat etmek	Yol kaygan, biraz dikkatli ol.
挡	engellemek	Bu araba girişi kapatıyor.
倒霉	şanssız olmak	Bugün gerçekten şanssızım, telefonumu kaybettim.
导演	yönetmen	Bu yönetmen çok ünlüdür.
导致	yol açmak; neden olmak	Şiddetli yağmur trafik sıkışıklığına yol açtı.
岛屿	ada	Bu ülkede çok sayıda ada var.
到达	varmak	Tren Şanghay'a zamanında vardı.
道德	ahlak	İnsan ahlaklı olmalıdır.
道理	mantık; gerekçe	Söyledikleri çok mantıklı.
登记	kayıt olmak; kaydetmek	Lütfen önce resepsiyonda kayıt olun.
等待	beklemek	Sonucu bekliyoruz.
等于	eşit olmak	Beş artı beş ona eşittir.
滴	damla; damlamak	Masanın üzerine bir damla su düştü.
敌人	düşman	Onlar düşman değil.
的确	gerçekten; gerçekten de	Bu mesele gerçekten çok önemli.
地道	otantik; has	O akıcı ve otantik Pekin ağzıyla konuşuyor.
地理	coğrafya	Çin coğrafyasına çok ilgi duyuyorum.
地区	bölge	Bu bölgede kışın hava çok soğuk olur.
地毯	halı	Oturma odasında bir halı serili.
地位	konum; statü	Eğitimin toplumda önemli bir yeri vardır.
地震	deprem	Dün gece burada deprem oldu.
递	uzatmak; vermek	Lütfen bu mektubu öğretmene ver.
点心	atıştırmalık; hamur işi	Öğleden sonra atıştırmalık yedik.
电池	pil	Bu oyuncağın iki pile ihtiyacı var.
电台	radyo istasyonu	O radyo istasyonunda program yapıyor.
钓	balık tutmak	Dedem nehir kenarında balık tutmayı sever.
顶	tepe; adet	Başında siyah bir şapka var.
冻	donmak	Dışarısı o kadar soğuk ki su dondu.
动画片	çizgi film	Çocuklar çizgi film izliyor.
洞	delık; oyuk	Duvarda küçük bir delik var.
豆腐	soya peyniri	Bu soya peyniri yemeği çok lezzetli.
逗	güldürmek; takılmak	Sözleri herkesi güldürdü.
独立	bağımsız; bağımsız yaşamak	O bağımsız yaşamak istiyor.
独特	benzersiz; özgün	Bu şehrin özgün bir kültürü var.
度过	geçirmek	Tatili deniz kenarında geçirdik.
断	kopmak; kırılmak	Bu ip koptu.
堆	yığmak; yığın	Masanın üzerinde çok belge yığılmış.
兑换	bozdurmak; değiştirmek	Biraz renminbi bozdurmak istiyorum.
对比	karşılaştırmak; karşıtlık	Lütfen bu iki planı karşılaştırın.
对待	davranmak	Herkese adil davranmalıyız.
对方	karşı taraf	Lütfen önce karşı tarafın görüşünü dinleyin.
对手	rakip	Onun rakibi çok güçlü.
对象	hedef; nesne; muhatap	Araştırmanın hedef kitlesi üniversite öğrencileridir.
吨	ton	Bu kamyon üç ton yük taşıyabilir.
蹲	çömelmek	Yerde çömelip anahtarlarını arıyor.
顿	öğün; kere	Birlikte bir akşam yemeği yedik.
多亏	sayesinde	Senin yardımın sayesinde görevi tamamladım.
多余	gereksiz	Bu cümle gereksiz.
朵	adet; çiçek için ölçü	Masanın üzerinde bir çiçek var.
躲藏	saklanmak	Küçük kedi yatağın altında saklanıyor.
恶劣	kötü; berbat	Bugün hava çok kötü.
耳环	küpe	O bir çift küpe takıyor.
发表	yayımlamak; ifade etmek	Toplantıda görüşünü ifade etti.
发愁	endişelenmek	Bu küçük şey için endişelenme.
发达	gelişmiş	Bu şehirde ulaşım çok gelişmiş.
发抖	titremek	Soğuktan sürekli titriyor.
发挥	kullanmak; ortaya koymak	Lütfen hayal gücünüzü kullanın.
发明	icat; icat etmek	Elektrik lambası önemli bir icattır.
发票	fatura	Lütfen bana fatura kesin.
发言	konuşma yapmak	Toplantıda konuştu.
罚款	para cezası	Yasak yere park edene para cezası kesilir.
法院	mahkeme	Bu dava mahkemeye verildi.
翻	çevirmek	Lütfen kitabı onuncu sayfaya çevirin.
繁荣	refaha kavuşmak; gelişmek	Ekonomi yavaş yavaş canlanıyor.
反而	aksine	O kızmadı, aksine güldü.
反复	tekrar tekrar	Bu cümleyi tekrar tekrar çalışmak gerekir.
反应	tepki	Onun tepkisi hızlıdır.
反映	yansıtmak	Bu rapor gerçek durumu yansıtıyor.
反正	nasılsa; her durumda	Nasılsa yarın vaktim var.
范围	kapsam; sınır	Lütfen bu kapsamın dışına çıkmayın.
方	kare; yön	Lütfen kağıda bir kare çizin.
方案	plan; teklif	Bu plan oldukça makul.
方式	yöntem; biçim	Bu öğrenme yöntemi çok etkilidir.
妨碍	engel olmak	Lütfen başkalarının çalışmasına engel olmayın.
仿佛	sanki	O sanki her şeyi biliyor.
非	olmadan olmaz; değil	Bu iş sensiz olmaz.
肥皂	sabun	Ellerini yıkarken sabun kullan.
废话	saçmalık; boş laf	Boş lafı bırak, hemen başla.
分别	ayrılmak; ayırt etmek	İstasyonda ayrıldılar.
分布	dağılmak; dağılım göstermek	Bu mağazalar şehrin her yerine dağılmıştır.
分配	dağıtmak; paylaştırmak	Öğretmen yeni görevleri dağıttı.
分手	ayrılmak	Geçen yıl ayrıldılar.
分析	analiz etmek	Nedenleri analiz etmemiz gerekiyor.
纷纷	peş peşe; birbiri ardına	Herkes peş peşe kabul ettiğini söyledi.
奋斗	çabalamak; mücadele etmek	Gençler hayalleri için çabalamalıdır.
疯狂	çılgın; deli gibi	Taraftarlar çılgınca tezahürat yaptı.
风格	tarz; üslup	Bu restoranın tarzı çok farklı.
风景	manzara	Dağdaki manzara çok güzel.
风俗	gelenek; âdet	Her yerin kendi gelenekleri vardır.
风险	tehlike; belirsizlik	Yatırım belli bir belirsizlik taşır.
讽刺	alay etmek; hicvetmek	Bu makale toplumsal sorunları hicvetti.
否定	inkar etmek; reddetmek	O bu görüşü reddetti.
否认	inkar etmek	Hata yaptığını inkar etti.
幅	adet; tablo için ölçü	Duvarda bir tablo asılı.
扶	destek olmak; yardım etmek	Lütfen yaşlıların yolu geçmesine yardım edin.
服装	giyim; kıyafet	Bu mağaza çocuk kıyafetleri satıyor.
辅导	ders vermek; rehberlik etmek	Öğretmen dersten sonra öğrencilere destek ders veriyor.
复制	kopyalamak	Lütfen bu belgeyi kopyalayın.
妇女	kadın	Bu hastane kadınlara hizmet veriyor.
改革	yapısal değişiklik; yenilik	Okul öğretimde yenilik yapıyor.
改进	iyileştirmek	Hizmet kalitesini iyileştirmemiz gerekiyor.
改善	iyileştirmek	Egzersiz uykuyu iyileştirebilir.
改正	düzeltmek	Lütfen hataları zamanında düzeltin.
概括	özetlemek	Lütfen makalenin içeriğini özetleyin.
概念	kavram	Bu kavramı anlamak pek kolay değil.
盖	kapatmak; kapak	Lütfen bardağın üzerini iyice kapatın.
干脆	en iyisi; açıkça	En iyisi bugün gitme.
干燥	kuru	Kuzeyde kışlar çok kurudur.
感激	minnettar olmak	Yardımın için sana çok minnettarım.
感受	duygu; his	Senin duygularını anlayabiliyorum.
感想	düşünce; izlenim	Lütfen düşüncelerinden bahset.
赶紧	acele etmek	Vakit geç oldu, acele edip gidelim.
赶快	hemen; çabucak	Kapıyı hemen kapat.
干活儿	çalışmak; el işi yapmak	O avluda çalışıyor.
钢铁	çelik	Bu köprü çelikten yapılmıştır.
高档	üst sınıf; kaliteli	Bu üst sınıf bir otel.
高级	ileri seviye; üst düzey	O ileri seviye Çince sınıfına katıldı.
搞	yapmak; düzenlemek	Ne tür bir etkinlik düzenliyorsun?
告别	veda etmek	Havaalanında arkadaşımıza veda ettik.
格外	özellikle; olağanüstü	Bugün gökyüzü özellikle mavi.
隔壁	yan taraf; komşu	Yan tarafta bir öğretmen oturuyor.
个别	bazı; tek tek	Bazı öğrenciler hâlâ ödevini teslim etmedi.
个人	kişisel; birey	Bu benim kişisel görüşüm.
个性	kişilik; karakter	O çok kişilikli biridir.
各自	her biri; kendi	Herkes kendi görevini tamamlar.
根	kök; adet	Masanın altında bir kablo var.
根本	temel; hiç	Bu sorun hiç de zor değil.
公布	duyurmak	Okul sınav sonuçlarını duyurdu.
公开	açık; herkese açık	Bu toplantı herkese açıktır.
公平	adil	Yarışma adil olmalıdır.
公寓	daire	O küçük bir daire kiraladı.
公元	miladi yıl	Bu yıl miladi 2026'dır.
公主	prenses	Küçük kız prenses hikayelerini sever.
功能	işlev	Bu yazılımın birçok işlevi var.
工厂	fabrika	Bu fabrika araba üretiyor.
工程师	mühendis	Ağabeyim bir mühendistir.
工具	alet	Bisiklet tamiri için alet gerekir.
工人	işçi	İşçiler yolu onarıyor.
工业	sanayi	Bu şehir daha çok sanayiye dayanır.
恭喜	tebrikler	Sınavı geçtiğin için tebrikler.
贡献	katkı yapmak	Şirkete katkıda bulundu.
沟通	iletişim kurmak	İyi iletişim çok önemlidir.
构成	oluşturmak	Bu parçalar bir bütün oluşturur.
姑姑	baba tarafından hala	Hafta sonu halamı görmeye gideceğim.
姑娘	genç kadın; kız	O genç kadın çok yardımsever.
古代	eski çağlar	Eski çağlarda cep telefonu yoktu.
古典	klasik	Klasik müziği severim.
股票	hisse senedi	Birkaç hisse senedi aldı.
骨头	kemik	Bu kemik çok sert.
鼓舞	cesaretlendirmek	Bu haber çok cesaret verici.
鼓掌	alkışlamak	Seyirciler oyuncuları alkışladı.
固定	sabit; düzenli	Sabit çalışma saatlerim var.
挂号	hastanede sıra almak	Doktora görünmeden önce sıra almak gerekir.
乖	uslu	Bu çocuk çok uslu.
拐弯	dönmek	İlerideki kavşaktan sağa dön.
怪不得	demek bu yüzden; şaşmamalı	Bu kadar yorgun olmana şaşmamalı.
关闭	kapatmak	Çıkmadan önce bilgisayarı kapatın.
官	memur; görevli	O genç bir memur.
观察	gözlemlemek	Doktor hastanın durumunu gözlemliyor.
观点	görüş	Senin görüşüne katılıyorum.
观念	düşünce; anlayış	Gençlerin düşünceleri değişiyor.
管子	boru	Bu borudan su sızıyor.
冠军	şampiyon	Yarışmada şampiyon oldu.
光滑	pürüzsüz	Bu masanın yüzeyi çok pürüzsüz.
光临	teşrif etmek	Sizi bir dahaki gelişinizde de bekleriz.
光明	parlak	Aydınlık bir gelecek var.
光盘	disk; optik disk	Lütfen malzemeleri diske kaydedin.
广场	meydan	Meydanda çok insan var.
广大	geniş; çok sayıda	Bu haber çok sayıda öğrenci tarafından memnuniyetle karşılandı.
广泛	geniş; yaygın	Bu kitabın etkisi geniştir.
归纳	özetlemek; toparlamak	Öğretmen önemli noktaları özetlememize yardım etti.
规矩	kural	Çocuklar kuralları bilmelidir.
规律	düzen; düzenlilik	Yaşamda düzen olmalıdır.
规模	ölçek	Bu şirketin ölçeği büyük.
规则	kural	Yarışmanın kuralları çok açık.
柜台	tezgah; gişe	Lütfen ödemeyi gişede yapın.
滚	kaynamak; yuvarlanmak	Su artık kaynadı.
锅	tencere; tava	Tencerede sıcak çorba var.
国庆节	Milli Gün	Milli Gün'de tatil yapıyoruz.
国王	kral	Kral sarayda yaşıyor.
果然	beklendiği gibi	Beklendiği gibi zamanında geldi.
果实	meyve; sonuç	Ağaç meyvelerle dolu.
过分	aşırı	Onun isteği biraz aşırı.
过敏	alerjik olmak	Polene alerjim var.
过期	süresi dolmak	Bu sütün süresi dolmuş.
哈	ha	Ha, sonunda anladım.
海关	gümrük	Gümrükte kontrol için sıraya girdik.
海鲜	deniz ürünü	Bu restoranın deniz ürünleri çok taze.
喊	bağırmak	Sınıfta yüksek sesle bağırma.
行业	sektör	Turizm sektörü hızlı gelişiyor.
豪华	lüks	Lüks bir otelde kalıyorlar.
好客	misafirperver	Yerel halk çok misafirperver.
好奇	meraklı	Çocuklar dünyayı çok merak eder.
何必	ne gerek var	Küçük bir şey için kızmaya ne gerek var?
何况	kaldı ki; hele ki	Bugün soğuk, kaldı ki yağmur da yağıyor.
合法	yasal	Bu sözleşme yasaldır.
合理	makul	Bu fiyat makul.
合同	sözleşme	Bir sözleşme imzaladılar.
合影	toplu fotoğraf	Mezuniyette toplu fotoğraf çektirdik.
合作	işbirliği yapmak	Projeyi işbirliği yaparak tamamladık.
和平	barış	Herkes barış ister.
核心	çekirdek; öz	Güven, işbirliğinin özüdür.
恨	pişman olmak; nefret etmek	Daha önce çalışmadığına pişman oluyor.
猴子	maymun	Hayvanat bahçesinde birkaç maymun var.
后背	sırt	Sırtı biraz ağrıyor.
后果	sonuç; sonuçları	Sonuçları düşünmelisin.
呼吸	nefes almak	Lütfen derin nefes al.
忽然	birden; aniden	Gökyüzü birden karardı.
忽视	göz ardı etmek	Bu sorunu göz ardı etme.
壶	demlik; sürahi	Masanın üzerinde bir demlik çay var.
糊涂	kafası karışık	Bugün biraz kafam karışık.
胡说	saçmalamak	Saçmalama, bu doğru değil.
胡同	dar sokak; ara sokak	Pekin'de çok eski ara sokak var.
蝴蝶	kelebek	Bahçede bir kelebek var.
花生	yer fıstığı	Yer fıstığı yemeyi sever.
华裔	Çin kökenli	O Çin kökenli bir yazardır.
滑	kaygan	Zemin kaygan, dikkatli ol.
划	kürek çekmek	Tekneye binince kürek çekmekten o sorumlu.
化学	kimya	Üniversitede kimya okudu.
话题	konu	Bu konu çok ilginç.
怀念	özlemek	Üniversite hayatını çok özlüyorum.
怀孕	hamile	Üç aylık hamile.
缓解	hafifletmek	Dinlenmek stresi hafifletebilir.
幻想	hayal kurmak	Sık sık uzaya seyahat etmeyi hayal eder.
慌张	paniğe kapılmak	Sorunla karşılaşınca paniğe kapılma.
黄金	altın	Altının fiyatı yine yükseldi.
恢复	iyileşmek; eski haline dönmek	Vücudu iyileşiyor.
挥	el sallamak	Elini salladı.
灰	gri	Gökyüzü gri.
灰尘	toz	Masanın üzerinde çok toz var.
灰心	cesareti kırılmak	Başarısız olsan bile cesaretini kaybetme.
汇率	döviz kuru	Bugünkü döviz kuru nedir?
婚礼	düğün	Düğünleri çok sadeydi.
婚姻	evlilik	Evlilik karşılıklı anlayış gerektirir.
活跃	aktif	O derste çok aktiftir.
伙伴	arkadaş; yoldaş	O benim en iyi arkadaşım.
火柴	kibrit	Kutuda sadece bir kibrit kaldı.
或许	belki	Belki yarın yağmur yağar.
基本	temel	Bunlar temel gerekliliklerdir.
机器	makine	Bu makine bozuldu.
激烈	şiddetli; yoğun	Yarışma çok yoğun geçti.
肌肉	kas	Spor yaptıktan sonra kaslarım biraz ağrıyor.
及格	sınavı geçmek	Bu sınavı geçti.
急忙	aceleyle	Sınıftan aceleyle çıktı.
急诊	acil servis	Hasta acil servise götürüldü.
极其	son derece	Bu konu son derece önemlidir.
集合	toplanmak	Lütfen herkes saat sekizde girişte toplansın.
集体	toplu; grup	Bu bir grup etkinliğidir.
集中	yoğunlaşmak; odaklanmak	Ders sırasında dikkatinizi toplamalısınız.
寂寞	yalnız	Tek başına yaşamak bazen yalnız hissettirebilir.
系领带	kravat bağlamak	Her gün işe gitmeden önce kravat bağlar.
纪录	rekor	Okul rekorunu kırdı.
纪律	disiplin	Sınıf disiplini çok önemlidir.
纪念	anmak; hatıra olarak saklamak	Bu günü anmak için fotoğraf çektik.
计算	hesaplamak	Lütfen toplam ücreti hesaplayın.
记录	kaydetmek; not almak	Lütfen toplantı içeriğini kaydedin.
记忆	anı; hafıza	Bu anı çok değerlidir.
嘉宾	onur konuğu	Bugünkü konuk bir yazardır.
夹子	klips; mandal	Lütfen belgeleri klipsle tutturun.
家庭	aile	Aile çocuklar için çok önemlidir.
家务	ev işi	Hafta sonu ev işi yapmam gerekiyor.
家乡	memleket	Memleketimi çok özlüyorum.
假如	eğer	Eğer yarın yağmur yağarsa gitmeyeceğiz.
假设	varsaymak; varsayım	Varsayalım ki öğretmensin, ne yapardın?
假装	numara yapmak	Duymamış gibi yaptı.
甲	A tarafı; birinci	A tarafı zamanında ödeme yapmalıdır.
价值	değer	Bu kitap çok değerlidir.
嫁	evlenmek	Gelecek yıl erkek arkadaşıyla evlenecek.
驾驶	araç kullanmak	Araba kullanırken dikkatli sür.
兼职	yarı zamanlı iş	Akşamları yarı zamanlı çalışıyor.
