source_headword	ES	example_ES
shrink	encoger	La camisa podría encoger.
shrug	encogerse de hombros	Ella se encogió levemente de hombros.
sigh	suspirar	Él suspiró de alivio.
simulate	simular	El software puede simular el tráfico.
simulation	la simulación	La simulación predijo inundaciones.
simultaneously	simultáneamente	Dos alarmas sonaron simultáneamente.
sin	el pecado	El orgullo se considera un pecado.
situated	situado	El hotel está situado en el centro.
sketch	el boceto	Ella hizo un boceto rápido.
skip	saltarse	No te saltes el desayuno.
slam	cerrar de golpe	Él puede cerrar de golpe la puerta.
slap	dar una palmada	No des palmadas en la mesa.
slavery	la esclavitud	La esclavitud moldeó la historia de la región.
slot	el espacio	Reserva un espacio de tiempo en línea.
smash	hacerse añicos	El vaso se hizo añicos contra el piso.
snap	partirse	La rama se partió con el viento.
soak	remojar	Remoja los frijoles durante la noche.
soar	dispararse	Los precios del combustible podrían dispararse.
socialist	socialista	El partido apoya políticas socialistas.
sole	único	Él fue el único sobreviviente.
solely	exclusivamente	La decisión fue exclusivamente suya.
solicitor	el abogado	El abogado preparó el contrato.
solidarity	la solidaridad	Los trabajadores expresaron su solidaridad.
solo	en solitario	Ella lanzó un álbum en solitario.
sound	sólido	El plan es sólido y práctico.
sovereignty	la soberanía	El tratado protegió la soberanía nacional.
spam	el correo no deseado	El correo no deseado llenó la bandeja de entrada.
span	cruzar	El puente cruza el río.
spark	desatar	Un pequeño comentario desató el debate.
specialized	especializado	La clínica ofrece atención especializada.
specification	la especificación	El diseño cumple con cada especificación.
specimen	el espécimen	El espécimen se guardó de forma segura.
spectacle	el espectáculo	El desfile fue un espectáculo vívido.
spectrum	el espectro	Las opiniones cubren un amplio espectro.
spell	el período	El período seco duró semanas.
sphere	la esfera	La política entró en la esfera cultural.
spin	girar	Las ruedas comenzaron a girar.
spine	la columna vertebral	La lesión afectó su columna vertebral.
spotlight	el foco de atención	El escándalo lo puso en el foco de atención.
spouse	el cónyuge	Su cónyuge asistió a la ceremonia.
spy	el espía	El espía envió mensajes codificados.
squad	el escuadrón	El escuadrón de rescate llegó rápido.
squeeze	apretar	Aprieta el asa suavemente.
stab	apuñalar	El informe describía una herida de puñalada.
stability	la estabilidad	La política trajo estabilidad.
stabilize	estabilizar	La medicina ayudó a estabilizarlo.
stake	la participación	Los inversores tienen una participación aquí.
standing	la posición	Su posición en el partido subió.
stark	marcado	Los resultados mostraron un marcado contraste.
statistical	estadístico	El estudio utilizó métodos estadísticos.
steer	dirigir	Él intentó dirigir el debate.
stem	el tallo	El tallo se rompió en la tormenta.
stereotype	el estereotipo	La película desafió un estereotipo.
stimulus	el estímulo	El paquete proporcionó un estímulo económico.
stir	remover	Remueve la salsa lentamente.
storage	el almacenamiento	La instalación ofrece almacenamiento seguro.
straightforward	sencillo	Las instrucciones eran sencillas.
strain	la tensión	La larga demora causó tensión.
strand	el mechón	Cayó un mechón de pelo.
strategic	estratégico	La empresa hizo una inversión estratégica.
strip (long narrow piece)	la tira	Corta una tira estrecha de papel.
strip (remove clothes/a layer)	quitar	Quita la pintura vieja con cuidado.
strive	esforzarse	Ellos se esfuerzan por la excelencia.
structural	estructural	El puente tiene daños estructurales.
stumble	tropezar	Él tropezó en las escaleras.
stun	asombrar	La noticia puede asombrar a la gente.
submission	la entrega	Pasó la fecha límite de entrega.
subscriber	el suscriptor	Cada suscriptor recibe actualizaciones.
subscription	la suscripción	La suscripción se renueva automáticamente.
subsidy	la subvención	La subvención redujo los costos de combustible.
substantial	sustancial	El proyecto necesita financiación sustancial.
substantially	sustancialmente	El precio aumentó sustancialmente.
substitute	el sustituto	Usa leche como sustituto.
substitution	la sustitución	La sustitución cambió la receta.
subtle	sutil	La pintura tiene detalles sutiles.
suburban	suburbano	Se mudaron a un área suburbana.
succession	la sucesión	La crisis siguió a una sucesión de fracasos.
successive	sucesivo	Los gobiernos sucesivos ignoraron el problema.
successor	el sucesor	El sucesor comenzará el lunes.
suck	aspirar	La máquina puede aspirar polvo.
sue	demandar	Ella decidió demandar a la empresa.
suicide	el suicidio	La prevención del suicidio necesita financiamiento continuo.
suite	la suite	La suite del hotel tenía vistas al río.
summit	la cumbre	Los líderes se reunieron en la cumbre.
superb	magnífico	La actuación fue magnífica.
superior	superior	El nuevo modelo es superior.
supervise	supervisar	Ella supervisará a los aprendices.
supervision	la supervisión	Los niños necesitan supervisión de un adulto.
supervisor	el supervisor	Pregúntale a tu supervisor primero.
supplement	el suplemento	El informe incluye un suplemento.
supportive	de apoyo	Su familia le brindó apoyo.
supposedly	supuestamente	El archivo supuestamente fue eliminado.
suppress	reprimir	El régimen intentó reprimir las protestas.
supreme	supremo	La corte suprema escuchó el caso.
surge	la sobrecarga	Una sobrecarga repentina dañó el equipo.
surgical	quirúrgico	El paciente necesita tratamiento quirúrgico.
surplus	el excedente	El almacén tiene un excedente.
surrender	rendirse	Los soldados acordaron rendirse.
surveillance	la vigilancia	Las cámaras de vigilancia grabaron la entrada.
suspension	la suspensión	La suspensión duró dos semanas.
suspicion	la sospecha	Su comportamiento levantó sospechas.
suspicious	sospechoso	El paquete parecía sospechoso.
sustain	sostener	El proyecto puede sostener empleos locales.
swing	balancearse	La puerta comenzó a balancearse.
sword	la espada	La espada colgaba en la pared.
symbolic	simbólico	El gesto fue simbólico.
syndrome	el síndrome	El síndrome afecta la memoria.
synthesis	la síntesis	El capítulo ofrece una síntesis.
systematic	sistemático	La revisión fue sistemática.
tactic	la táctica	La táctica fracasó rápidamente.
tactical	táctico	El equipo hizo un cambio táctico.
taxpayer	el contribuyente	El dinero de los contribuyentes financió el puente.
tempt	tentar	La oferta podría tentar a los inversores.
tenant	el inquilino	El inquilino pagó el alquiler por adelantado.
tender	tierno	Ella dedicó una tierna sonrisa.
tenure	el mandato	Su mandato duró seis años.
terminal	terminal	El paciente tenía una enfermedad terminal.
terminate	rescindir	La empresa puede rescindir el contrato.
terrain	el terreno	El terreno era difícil.
terrific	estupendo	La vista era estupenda.
testify	testificar	Ella accedió a testificar.
testimony	el testimonio	Su testimonio fue detallado.
texture	la textura	La tela tiene una textura áspera.
thankfully	afortunadamente	Afortunadamente, nadie resultó herido.
theatrical	teatral	El discurso sonó teatral.
theology	la teología	Él estudió teología en la universidad.
theoretical	teórico	El modelo es puramente teórico.
thereafter	a partir de entonces	A partir de entonces, las reglas cambiaron.
thereby	de ese modo	El cambio redujo los costos, de ese modo salvando empleos.
thoughtful	reflexivo	Su respuesta fue reflexiva.
thought-provoking	estimulante	El artículo invitaba a la reflexión.
thread	el hilo	El hilo se rompió fácilmente.
threshold	el umbral	La votación cruzó el umbral.
thrilled	encantado	Ella estaba encantada con la noticia.
thrive	prosperar	Las pequeñas empresas pueden prosperar aquí.
tide	la marea	La marea subió rápidamente.
tighten	apretar	Aprieta la tapa firmemente.
timber	la madera	La casa utiliza madera local.
timely	oportuno	La advertencia fue oportuna.
tobacco	el tabaco	Las ventas de tabaco disminuyeron.
tolerance	la tolerancia	La política fomenta la tolerancia.
tolerate	tolerar	No podemos tolerar el abuso.
toll	el peaje	La tormenta cobró un alto peaje.
top	superar	Las ventas podrían superar el récord del año pasado.
torture	la tortura	El tratado prohíbe la tortura absolutamente.
