source_headword	ID	example_ID
interference	gangguan / campur tangan	Gangguan sinyal memutuskan panggilan tersebut.
interim	sementara	Laporan sementara tiba besok.
interior	interior / bagian dalam	Dinding bagian dalam perlu dicat.
intermediate	menengah	Dia bergabung dengan kelas menengah.
intervene	campur tangan	Polisi harus campur tangan dengan cepat.
intervention	intervensi / campur tangan	Intervensi dini membantu pasien tersebut.
intimate	intim / akrab	Mereka mengadakan upacara keluarga yang intim.
intriguing	menarik	Data tersebut mengungkapkan pola yang menarik.
investigator	penyelidik	Penyelidik itu mewawancarai setiap saksi.
invisible	tidak terlihat	Gas itu tidak terlihat dan berbahaya.
invoke	memohon / menggunakan	Pengacara itu mencoba menggunakan preseden.
involvement	keterlibatan	Keterlibatannya tetap tidak jelas.
ironic	ironis	Komentar ironis itu membuat semua orang tertawa.
ironically	ironisnya	Ironisnya, rute itu memakan waktu lebih lama.
irony	ironi	Ironi tersebut terlihat jelas bagi semua orang.
irrelevant	tidak relevan	Detail itu tidak relevan di sini.
isolation	isolasi	Isolasi dapat membahayakan kesehatan mental.
judicial	peradilan / yudisial	Peninjauan kembali yudisial dimulai pada hari Senin.
junction	persimpangan	Belok kiri di persimpangan.
jurisdiction	yurisdiksi / kewenangan	Pengadilan memiliki yurisdiksi terbatas.
just	adil	Hakim itu membuat keputusan yang adil.
justification	pembenaran / justifikasi	Kita membutuhkan pembenaran yang jelas untuk pengeluaran tersebut.
kidnap	menculik	Penjahat mencoba menculik diplomat itu.
kidney	ginjal	Fungsi ginjalnya membaik.
kingdom	kerajaan	Kerajaan itu meluas di bawah pemerintahannya.
lad	anak laki-laki / pemuda	Pemuda itu membawa tas-tas tersebut.
landlord	pemilik tanah / tuan tanah	Tuan tanah memperbaiki pemanas itu.
landmark	tengara / markah tanah	Menara tersebut menjadi markah tanah kota.
lap	pangkuan	Anak itu duduk di pangkuannya.
large-scale	berskala besar	Kota itu merencanakan perbaikan berskala besar.
laser	laser	Laser tersebut mengukur jarak.
latter	yang terakhir	Pilihan yang terakhir tampaknya lebih aman.
lawn	halaman rumput	Anak-anak bermain di halaman rumput.
lawsuit	gugatan hukum	Perusahaan tersebut menyelesaikan gugatan hukum itu.
layout	tata letak	Tata letak halaman itu terlihat lebih jelas.
leak	bocor / kebocoran	Kebocoran pipa membanjiri dapur.
leap	melompat / lonjakan	Penjualan mengalami lonjakan yang tiba-tiba.
legacy	warisan	Warisannya membentuk universitas tersebut.
legendary	legendaris	Penyanyi legendaris itu kembali ke panggung.
legislation	undang-undang	Undang-undang baru melindungi penyewa.
legislative	legislatif	Komite legislatif bertemu hari ini.
legislature	badan legislatif	Badan legislatif menyetujui anggaran tersebut.
legitimate	sah	Mereka menyampaikan kekhawatiran yang sah.
lengthy	panjang lebar / lama	Perdebatan yang panjang menunda pemungutan suara itu.
lesbian	lesbian	Aktivis lesbian itu berbicara di forum.
lesser	lebih kecil	Pilihlah risiko yang lebih kecil.
lethal	mematikan	Bahan kimia tersebut bisa mematikan.
liable	bertanggung jawab	Pengemudi bertanggung jawab atas kerusakan.
liberal	liberal	Dia mendukung kebijakan sosial yang liberal.
liberation	pembebasan	Pembebasan mengubah masa depan negara itu.
liberty	kebebasan	Hukum melindungi kebebasan pribadi.
license	melisensikan / memberi izin	Negara dapat memberi izin pada klinik-klinik baru.
lifelong	seumur hidup	Dia mendapatkan teman seumur hidup di sana.
likelihood	kemungkinan	Kemungkinan hujan meningkat.
limb	anggota badan	Anggota badan yang terluka itu sembuh perlahan.
linear	linier	Grafik itu menunjukkan tren linier.
line-up	susunan acara / pemain	Susunan acara festival tersebut mencakup band-band lokal.
linger	bertahan	Baunya mungkin bertahan selama berjam-jam.
listing	daftar	Daftar apartemen itu tampak akurat.
literacy	literasi	Program literasi orang dewasa diperluas.
liver	hati	Hati menyaring zat-zat berbahaya.
lobby	lobi	Lobi itu penuh sesak setelah tengah hari.
log	catatan	Sistem menyimpan catatan harian.
logic	logika	Logika dari argumennya gagal.
long-standing	telah lama ada	Mereka menyelesaikan perselisihan yang telah lama ada.
long-time	lama	Dia adalah sukarelawan lama.
loom	menjulang	Awan gelap menjulang di atas lembah.
loop	putaran	Jejak itu membentuk sebuah putaran.
loyalty	kesetiaan	Kesetiaannya mengesankan tim.
machinery	mesin	Pabrik itu memasang mesin baru.
magical	ajaib	Taman itu tampak ajaib di malam hari.
magistrate	hakim	Hakim menyidangkan kasus tersebut.
magnetic	magnetis	Medan magnet memengaruhi kompas.
magnitude	besarnya	Besarnya kerusakan terlihat jelas.
mainland	daratan utama	Feri menghubungkan pulau-pulau ke daratan utama.
mainstream	arus utama	Gagasan itu memasuki politik arus utama.
maintenance	pemeliharaan	Pemeliharaan rutin mencegah kerusakan.
mandate	mandat	Presiden mengklaim mandat yang kuat.
mandatory	wajib	Kehadiran adalah wajib bagi peserta pelatihan.
manifest	bermanifestasi	Gejala mungkin bermanifestasi setelah beberapa minggu.
manipulate	memanipulasi	Jangan memanipulasi hasil survei.
manipulation	manipulasi	Manipulasi data itu ditemukan.
manuscript	naskah	Penerbit menerima naskahnya.
march	berbaris	Para pengunjuk rasa akan berbaris ke pusat kota.
marginal	marginal	Perubahan tersebut memiliki manfaat yang marginal.
marine	laut	Kehidupan laut membutuhkan air bersih.
marketplace	pasar	Pasar daring berkembang dengan cepat.
mask	masker	Pekerja harus memakai masker.
massacre	pembantaian	Pembantaian itu mengejutkan seluruh wilayah.
mathematical	matematis	Model matematis memprediksi permintaan.
mature	dewasa	Pohon-pohon dewasa memberikan keteduhan.
maximize	memaksimalkan	Pembaruan akan memaksimalkan masa pakai baterai.
meaningful	bermakna	Mereka melakukan percakapan yang bermakna.
meantime	sementara itu	Sementara itu, tunggulah di luar.
medieval	abad pertengahan	Kastel itu memiliki dinding abad pertengahan.
meditation	meditasi	Meditasi harian menenangkan pikirannya.
melody	melodi	Melodi itu terngiang di kepalaku.
memo	memo	Memo tersebut menjelaskan kebijakannya.
memoir	memoar	Memoarnya menggambarkan pengasingan masa kecil.
memorial	tugu peringatan	Tugu peringatan itu menghormati tentara setempat.
mentor	mentor	Mentornya meninjau proposal itu.
merchant	pedagang	Pedagang itu menjual sutra dan rempah-rempah.
mercy	belas kasihan	Hakim menunjukkan belas kasihan.
mere	sekadar	Sekadar sekilas saja mengungkapkan kesalahan itu.
merely	hanya	Dia hanya mengulangi instruksinya.
merge	bergabung	Kedua perusahaan itu akan bergabung.
merger	penggabungan	Penggabungan itu menciptakan bank yang lebih besar.
merit	manfaat	Proposal tersebut memiliki manfaat yang jelas.
methodology	metodologi	Studi itu menjelaskan metodologinya.
midst	tengah-tengah	Mereka bekerja di tengah-tengah kekacauan.
migration	migrasi	Migrasi musiman memengaruhi pekerjaan lokal.
militant	militan	Kelompok militan itu menolak negosiasi.
militia	milisi	Milisi itu menguasai jalan.
mill	penggilingan	Penggilingan tua itu menjadi museum.
minimal	minimal	Rencana tersebut membutuhkan upaya minimal.
minimize	meminimalkan	Kita harus meminimalkan risiko yang tidak perlu.
mining	penambangan	Penambangan merusak lembah sungai.
ministry	kementerian	Kementerian mengumumkan aturan baru.
minute2	sangat kecil	Retakan yang sangat kecil muncul di kaca.
miracle	keajaiban	Kesembuhannya tampak seperti keajaiban.
misery	penderitaan	Para pengungsi menanggung penderitaan selama bertahun-tahun.
misleading	menyesatkan	Grafik yang menyesatkan itu membingungkan pembaca.
missile	rudal	Uji coba rudal itu meningkatkan ketegangan.
mob	massa	Massa yang marah memblokir lalu lintas.
mobility	mobilitas	Bus yang lebih baik meningkatkan mobilitas perkotaan.
mobilize	mengerahkan	Para pemimpin mengerahkan relawan dengan cepat.
moderate	moderat	Kandidat tersebut memiliki pandangan moderat.
modification	modifikasi	Desain tersebut memerlukan satu modifikasi.
momentum	momentum	Kampanye itu mendapatkan momentum dengan cepat.
monk	biksu	Biksu itu hidup dalam keheningan.
monopoly	monopoli	Perusahaan tersebut memegang monopoli.
morality	moralitas	Kursus itu mengkaji moralitas publik.
motive	motif	Polisi mempertanyakan motifnya.
motorist	pengendara	Pengendara itu berhenti di lampu merah.
municipal	kota	Layanan kota membaik tahun ini.
mutual	bersama	Mereka mencapai kesepakatan bersama.
namely	yaitu	Satu masalah tersisa, yaitu pendanaan.
nationwide	berskala nasional	Pemogokan itu menyebabkan penundaan berskala nasional.
naval	angkatan laut	Pangkalan angkatan laut ditutup tahun lalu.
neglect	mengabaikan	Jangan mengabaikan keselamatan dasar.
neighbouring	tetangga	Kota-kota tetangga berbagi rumah sakit itu.
nest	sarang	Burung itu membangun sarang.
net	bersih	Laba bersih naik tajam.
newsletter	buletin	Buletin itu tiba setiap hari Jumat.
niche	ceruk	Perusahaan itu menemukan ceruk yang menguntungkan.
noble	mulia	Sikapnya yang mulia mengesankan semua orang.
nod	mengangguk	Tolong mengangguk jika Anda mengerti.
nominate	mencalonkan	Mereka akan mencalonkan ketua baru.
nomination	pencalonan	Pencalonannya mengejutkan komite.
nominee	calon	Calon tersebut menjawab pertanyaan-pertanyaan sulit.
nonetheless	namun demikian	Namun demikian, rencana tersebut terus berjalan.
non-profit	nirlaba	Dia bekerja untuk sebuah klinik nirlaba.
nonsense	omong kosong	Rumor itu benar-benar omong kosong.
noon	siang	Rapat dimulai pada siang hari.
notable	penting	Laporan tersebut membuat kemajuan yang penting.
notably	terutama	Terutama, biaya turun pada bulan Mei.
notify	memberi tahu	Harap beri tahu staf sebelum pergi.
notorious	terkenal (buruk)	Jalan tersebut terkenal karena sering terjadi kecelakaan.
novel	baru	Mereka mengusulkan solusi yang baru.
nursery	tempat penitipan anak	Tempat penitipan anak merawat bayi.
objection	keberatan	Pengacara mengajukan keberatan.
oblige	mewajibkan	Aturan mewajibkan pengemudi untuk berhenti.
obsess	terobsesi	Jangan terlalu terobsesi pada kesalahan kecil.
obsession	obsesi	Obsesinya merusak pekerjaannya.
occasional	sesekali	Penundaan sesekali mungkin saja terjadi.
occurrence	kejadian	Kejadian seperti itu jarang terjadi.
odds	peluang	Peluang keberhasilannya meningkat.
offering	penawaran	Universitas memperluas penawarannya.
offspring	keturunan	Rubah itu melindungi keturunannya.
operational	operasional	Sistem baru tersebut sudah operasional.
opt	memilih	Banyak siswa memilih kelas daring.
optical	optik	Lensa optik perlu dibersihkan.
optimism	optimisme	Optimisme kembali muncul setelah pengumuman tersebut.
oral	lisan	Ujian lisan dimulai besok.
organizational	organisasional	Perubahan organisasional segera dimulai.
orientation	orientasi	Lokakarya tersebut membahas orientasi karyawan.
originate	berasal	Banyak tradisi berasal dari desa-desa di pedesaan.
outbreak	wabah	Wabah tersebut menyebar ke seluruh kota.
outing	tamasya	Kelas tersebut menikmati tamasya ke museum.
outlet	gerai	Gerai tersebut menjual pakaian diskon.
outlook	prospek	Prospek ekonomi masih belum pasti.
outrage	kemarahan	Keputusan tersebut memicu kemarahan publik.
outsider	orang luar	Sebagai orang luar, dia menyadari adanya masalah.
overlook	mengabaikan	Jangan mengabaikan detail kecil.
overly	terlalu	Instruksinya terlalu rumit.
oversee	mengawasi	Dia akan mengawasi proyek tersebut.
overturn	membatalkan	Pengadilan mungkin akan membatalkan putusan tersebut.
overwhelm	membebani	Terlalu banyak informasi bisa membebani pelajar.
overwhelming	sangat banyak	Buktinya sangat banyak.
pad	bantalan	Gunakan bantalan untuk melindungi lutut.
parameter	parameter	Sesuaikan satu parameter pada satu waktu.
parental	dari orang tua	Dukungan orang tua meningkatkan angka kehadiran.
parish	paroki	Paroki tersebut mengadakan makan malam amal.
parliamentary	parlementer	Debat parlementer berlangsung berjam-jam.
partial	sebagian	Laporan tersebut memberikan jawaban sebagian.
partially	sebagian	Jendelanya terbuka sebagian.
passing	kepergian	Kepergiannya sangat mendadak.
passive	pasif	Investor pasif menerima pengembalian yang stabil.
pastor	pendeta	Pendeta mengunjungi keluarga tersebut.
patch	tambalan	Jaket itu butuh tambalan kecil.
patent	paten	Perusahaan tersebut mengajukan paten.
pathway	jalur	Jalur tersebut mengarah ke sertifikasi.
patrol	berpatroli	Polisi berpatroli di daerah tersebut pada malam hari.
patron	penyokong	Museum berterima kasih kepada penyokongnya.
peak	puncak	Permintaan mencapai puncaknya di musim dingin.
peasant	petani	Petani tersebut hanya memiliki sedikit tanah.
peculiar	aneh	Ruangan itu memiliki bau yang aneh.
persist	bertahan	Gejala mungkin bertahan selama beberapa hari.
persistent	terus-menerus	Batuk yang terus-menerus perlu diperhatikan.
personnel	personel	Catatan personel bersifat rahasia.
petition	petisi	Petisi tersebut mengumpulkan ribuan tanda tangan.
philosopher	filsuf	Filsuf tersebut mempertanyakan asumsi-asumsi umum.
philosophical	filosofis	Diskusi berubah menjadi filosofis.
physician	dokter	Dokter meminta tes darah.
pioneer	pelopor	Dia menjadi pelopor dalam dunia kedokteran.
pipeline	pipa saluran	Pipa saluran tersebut membawa gas di bawah tanah.
pirate	bajak laut	Kapal bajak laut muncul di lepas pantai.
pit	lubang	Para pekerja menggali lubang yang dalam.
plea	permohonan	Permohonannya untuk meminta pertolongan diabaikan.
plead	mengaku	Tersangka akan mengaku bersalah.
pledge	berjanji	Mereka berjanji mendukung reformasi.
plug	memasang	Pasang kabel ke stopkontak.
plunge	anjlok	Harga mungkin anjlok setelah skandal tersebut.
pole	tiang	Bendera itu tergantung dari tiang.
poll	jajak pendapat	Jajak pendapat menunjukkan pendapat yang berubah.
pond	kolam	Bebek-bebek menyeberangi kolam beku.
pop	meletus	Balon meletus di dekat benda tajam.
portfolio	portofolio	Portofolionya mencakup beberapa perusahaan rintisan.
portray	menggambarkan	Film ini akan menggambarkan kehidupan pedesaan.
postpone	menunda	Mereka memutuskan untuk menunda sidang.
post-war	pascaperang	Perumahan pascaperang sangat dibutuhkan.
practitioner	praktisi	Praktisi tersebut menjelaskan perawatannya.
preach	berkhotbah	Pendeta akan berkhotbah pada hari Minggu.
precedent	preseden	Putusan tersebut menetapkan preseden penting.
precision	presisi	Mesin memotong dengan presisi.
predator	predator	Predator itu menunggu di dekat sungai.
predecessor	pendahulu	Pendahulunya meninggalkan catatan terperinci.
predominantly	sebagian besar	Daerah tersebut sebagian besar adalah kawasan pemukiman.
pregnancy	kehamilan	Kehamilan membutuhkan perawatan medis secara rutin.
prejudice	prasangka	Kampanye tersebut menentang prasangka rasial.
preliminary	awal	Hasil awal terlihat menjanjikan.
premier	perdana menteri	Perdana menteri berpidato di depan parlemen hari ini.
premise	premis	Argumen tersebut bersandar pada premis yang salah.
premium	harga premium	Pelanggan membayar harga premium untuk kecepatan.
prescribe	meresepkan	Dokter meresepkan antibiotik dengan hati-hati.
prescription	resep	Resep itu kedaluwarsa bulan depan.
presently	saat ini	Dia saat ini tidak tersedia.
preservation	pelestarian	Pelestarian melindungi bangunan bersejarah.
preside	memimpin	Hakim akan memimpin persidangan.
presidency	kepresidenan	Masa kepresidenannya berlangsung selama delapan tahun.
presidential	presidensial	Pemilihan presidensial menarik perhatian.
prestigious	bergengsi	Dia memenangkan beasiswa bergengsi.
presumably	kemungkinan	Kantor itu kemungkinan tutup hari ini.
presume	berasumsi	Kami berasumsi dokumen-dokumen itu asli.
prevail	berlaku	Akal sehat harus berlaku.
prevalence	prevalensi	Prevalensi penyakit asma meningkat.
prevention	pencegahan	Pencegahan lebih murah daripada perbaikan.
