hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
3625:保修	保修	保修	popraviti u garanciji; garancijski servis	Ovaj računar se može besplatno popravljati u garanciji godinu dana.	popraviti v garanciji; garancijsko popravilo	Ta računalnik je mogoče eno leto brezplačno popraviti v garanciji.	taisyti pagal garantiją	Šį kompiuterį vienus metus galima nemokamai taisyti pagal garantiją.	remontēt garantijas laikā	Šo datoru vienu gadu var bez maksas remontēt garantijas laikā.	garantiikorras parandama	Seda arvutit saab aasta aega tasuta garantiikorras parandada.	gera við í ábyrgð	Það má gera við þessa tölvu ókeypis í ábyrgð í eitt ár.
3627:爆	爆	爆	pući; eksplodirati	Balon je iznenada pukao.	počiti; eksplodirati	Balon je nenadoma počil.	sprogti; plyšti	Balionas staiga sprogo.	pārsprāgt; eksplodēt	Balons pēkšņi pārsprāga.	lõhkema; plahvatama	Õhupall lõhkes äkki.	springa; springa í loft upp	Blaðran sprakk skyndilega.
3629:报刊	报刊	报刊	novine i časopisi	U biblioteci ima mnogo kineskih novina i časopisa.	časniki in revije	V knjižnici je veliko kitajskih časnikov in revij.	laikraščiai ir žurnalai	Bibliotekoje yra daug kinų laikraščių ir žurnalų.	laikraksti un žurnāli	Bibliotēkā ir daudz ķīniešu laikrakstu un žurnālu.	ajalehed ja ajakirjad	Raamatukogus on palju hiinakeelseid ajalehti ja ajakirju.	dagblöð og tímarit	Á bókasafninu eru mörg kínversk dagblöð og tímarit.
3635:悲剧	悲剧	悲剧	tragedija	Ova nesreća je bila tragedija.	tragedija	Ta nesreča je bila tragedija.	tragedija	Ši nelaimė buvo tragedija.	traģēdija	Šis negadījums bija traģēdija.	tragöödia	See õnnetus oli tragöödia.	harmleikur	Þetta slys var harmleikur.
3636:悲伤	悲伤	悲伤	tužan; žalostan	Kada je čuo vest, bio je veoma tužan.	žalosten; otožen	Ko je slišal novico, je bil zelo žalosten.	liūdnas; sielvartingas	Išgirdęs šią žinią, jis buvo labai liūdnas.	skumjš; bēdīgs	Dzirdot šo ziņu, viņš bija ļoti skumjš.	kurb; nukker	Pärast selle uudise kuulmist oli ta väga kurb.	sorgmæddur; dapur	Þegar hann heyrði fréttina varð hann mjög dapur.
3638:北美洲	北美洲	北美洲	Severna Amerika	Kanada se nalazi u Severnoj Americi.	Severna Amerika	Kanada leži v Severni Ameriki.	Šiaurės Amerika	Kanada yra Šiaurės Amerikoje.	Ziemeļamerika	Kanāda atrodas Ziemeļamerikā.	Põhja-Ameerika	Kanada asub Põhja-Ameerikas.	Norður-Ameríka	Kanada er í Norður-Ameríku.
3640:被迫	被迫	被迫	primoran; prisiljen	Zbog jake kiše utakmica je bila primorana da se otkaže.	prisiljen	Zaradi močnega dežja je bila tekma prisilno odpovedana.	priverstas	Dėl stipraus lietaus rungtynės buvo priverstinai atšauktos.	piespiests	Spēcīgā lietus dēļ spēle bija spiesta tikt atcelta.	sunnitud	Tugeva vihma tõttu oldi sunnitud mäng tühistama.	neyddur	Vegna mikillar rigningar var leiknum neyðst til að aflýsa.
3641:背心	背心	背心	potkošulja; majica bez rukava	Leti često nosi majicu bez rukava.	spodnja majica; majica brez rokavov	Poleti pogosto nosi majico brez rokavov.	apatiniai marškinėliai; marškinėliai be rankovių	Vasarą jis dažnai dėvi marškinėlius be rankovių.	apakškrekls; krekls bez piedurknēm	Vasarā viņš bieži valkā kreklu bez piedurknēm.	alussärk; varrukateta särk	Suvel kannab ta sageli varrukateta särki.	hlýrabolur; ermalaus bolur	Á sumrin klæðist hann oft ermalausum bol.
3642:备用	备用	备用	rezervni; za rezervu	Molim te pripremi jedan rezervni ključ.	rezerven; za rezervo	Prosimo, pripravi rezervni ključ.	atsarginis; rezervinis	Prašau paruošti atsarginį raktą.	rezerves	Lūdzu, sagatavojiet rezerves atslēgu.	varu-; tagavaraks	Palun valmista ette varuvõti.	vara-; til vara	Vinsamlegast undirbúðu varalykil.
3643:倍增	倍增	倍增	umnožiti se; naglo porasti	Broj porudžbina se ove godine naglo povećao.	pomnožiti se; močno narasti	Število naročil se je letos močno povečalo.	padaugėti; smarkiai išaugti	Šiemet užsakymų skaičius smarkiai išaugo.	vairākkārt pieaugt	Šogad pasūtījumu skaits vairākkārt pieauga.	mitmekordistuma; tugevasti kasvama	Tellimuste arv kasvas sel aastal tugevalt.	margfaldast; aukast mikið	Pöntunum fjölgaði mikið á þessu ári.
3644:奔跑	奔跑	奔跑	trčati	Dete trči na igralištu.	teči	Otroku teče po igrišču.	bėgti	Vaikas bėga žaidimų aikštelėje.	skriet	Bērns skrien rotaļu laukumā.	jooksma	Laps jookseb mänguväljakul.	hlaupa	Barnið hleypur á leikvellinum.
3647:本土	本土	本土	domaći; zavičajni	Ova kompanija ceni domaću kulturu.	domač; krajeven	To podjetje ceni domačo kulturo.	vietinis; gimtasis kraštas	Ši įmonė vertina vietinę kultūrą.	vietējais; dzimtā zeme	Šis uzņēmums augstu vērtē vietējo kultūru.	kohalik; kodumaa	See ettevõte väärtustab kohalikku kultuuri.	staðbundinn; heimaland	Þetta fyrirtæki metur staðbundna menningu.
3648:逼	逼	逼	prisiliti; terati	Ne teraj decu da rade ono što ne vole.	siliti; pritiskati	Ne sili otrok, da počnejo stvari, ki jih ne marajo.	versti; spausti	Neversk vaikų daryti to, ko jie nemėgsta.	piespiest; spiest	Nepiespied bērnus darīt to, kas viņiem nepatīk.	sundima; peale käima	Ära sunni lapsi tegema asju, mis neile ei meeldi.	neyða; þrýsta á	Ekki neyða börn til að gera það sem þeim líkar ekki.
3651:闭	闭	闭	zatvoriti	Molim vas, zatvorite vrata.	zapreti	Prosimo, zaprite vrata.	uždaryti	Prašau uždaryti duris.	aizvērt	Lūdzu, aizveriet durvis.	sulgema	Palun sulge uks.	loka	Vinsamlegast lokaðu hurðinni.
3652:避	避	避	izbeći; zaobići	Kada voziš, izbegavaj vreme najveće gužve.	izogniti se; obiti	Med vožnjo se izogibaj konicam.	vengti; aplenkti	Vairuojant reikia vengti piko valandų.	izvairīties; apbraukt	Braucot jāizvairās no sastrēgumstundām.	vältima; mööda sõitma	Autoga sõites tuleb tipptundi vältida.	forðast; sneiða hjá	Þegar þú ekur skaltu forðast háannatíma.
3653:必修	必修	必修	obavezan	Ovaj predmet je obavezan za prvu godinu fakulteta.	obvezen	Ta predmet je obvezen v prvem letniku univerze.	privalomas	Šis kursas privalomas pirmo kurso universiteto studentams.	obligāts	Šis kurss ir obligāts universitātes pirmā kursa studentiem.	kohustuslik	See kursus on ülikooli esimese aasta tudengitele kohustuslik.	skyldubundinn	Þetta námskeið er skyldubundið fyrir fyrsta árs háskólanema.
3654:编	编	编	sastavljati; uređivati	On trenutno sastavlja udžbenik kineskog jezika.	sestaviti; urejati	Trenutno sestavlja učbenik kitajščine.	sudaryti; redaguoti	Jis dabar rengia kinų kalbos vadovėlį.	sastādīt; rediģēt	Viņš pašlaik sastāda ķīniešu valodas mācību grāmatu.	koostama; toimetama	Ta koostab praegu hiina keele õpikut.	setja saman; ritstýra	Hann er að setja saman kennslubók í kínversku.
3656:编写	编写	编写	sastaviti i napisati	Nastavnik je sastavio i napisao skup vežbi.	sestaviti in napisati	Učitelj je sestavil sklop vaj.	sudaryti ir parašyti	Mokytojas parengė pratimų rinkinį.	sastādīt un uzrakstīt	Skolotājs sastādīja vingrinājumu komplektu.	koostama ja kirjutama	Õpetaja koostas harjutuste komplekti.	setja saman og skrifa	Kennarinn samdi æfingasafn.
3657:遍地	遍地	遍地	svuda; posvuda	U proleće je park posvuda pun cveća.	povsod	Spomladi so v parku povsod rože.	visur	Pavasarį parke visur pilna gėlių.	visur; pa visu vietu	Pavasarī parkā visur ir ziedi.	igal pool	Kevadel on pargis igal pool lilli.	alls staðar	Á vorin eru blóm alls staðar í garðinum.
3658:便捷	便捷	便捷	praktičan; pogodan	Ovaj način plaćanja je veoma praktičan.	priročen; udoben	Ta način plačila je zelo priročen.	patogus	Šis mokėjimo būdas labai patogus.	ērts	Šis maksājuma veids ir ļoti ērts.	mugav; käepärane	See makseviis on väga mugav.	þægilegur; handhægur	Þessi greiðslumáti er mjög þægilegur.
3660:兵	兵	兵	vojnik	Ovaj vojnik služi na granici.	vojak	Ta vojak služi na meji.	kareivis	Šis kareivis tarnauja pasienyje.	karavīrs	Šis karavīrs dienē uz robežas.	sõdur	See sõdur teenib piiril.	hermaður	Þessi hermaður þjónar á landamærunum.
3662:播	播	播	emitovati; puštati	Televizijska stanica večeras emituje ovaj dokumentarac.	predvajati; oddajati	Televizijska postaja bo nocoj predvajala ta dokumentarec.	transliuoti; leisti	Televizijos stotis šį vakarą transliuos šį dokumentinį filmą.	pārraidīt; atskaņot	Televīzijas kanāls šovakar pārraidīs šo dokumentālo filmu.	edastama; esitama	Telekanal näitab täna õhtul seda dokumentaalfilmi.	sýna; útvarpa	Sjónvarpsstöðin sýnir þessa heimildarmynd í kvöld.
3670:不适	不适	不适	nelagodnost; loše se osećati	Nakon leka osećao je nelagodnost u telu.	nelagodje; slabo počutje	Po zdravilu se je počutil slabo.	negalavimas; bloga savijauta	Išgėręs vaistų, jis pasijuto blogai.	slikta pašsajūta	Pēc zāļu lietošanas viņš jutās slikti.	halb enesetunne	Pärast ravimi võtmist tundis ta end halvasti.	vanlíðan	Eftir að hafa tekið lyfið fann hann fyrir vanlíðan.
3671:不至于	不至于	不至于	ne do te mere; neće baš	Ova mala greška ne bi trebalo da utiče na rezultat.	ne do te mere	Ta majhna napaka ne bi smela vplivati na rezultat.	ne tiek, kad	Ši nedidelė klaida neturėtų paveikti rezultato.	ne tik ļoti, lai	Šī mazā kļūda ne tik ļoti ietekmēs rezultātu.	mitte nii palju, et	See väike viga ei tohiks tulemust mõjutada.	ekki svo mikið að	Þessi litla villa ætti ekki að hafa áhrif á niðurstöðuna.
3672:补	补	补	dopuniti; zakrpiti	Ovaj izveštaj još treba dopuniti nekim podacima.	dopolniti; zakrpati	To poročilo je treba dopolniti še z nekaj podatki.	papildyti; taisyti	Šią ataskaitą dar reikia papildyti keliais duomenimis.	papildināt; salabot	Šis ziņojums vēl jāpapildina ar dažiem datiem.	täiendama; parandama	Seda aruannet tuleb veel mõne andmega täiendada.	bæta við; gera við	Það þarf enn að bæta nokkrum gögnum við þessa skýrslu.
3673:捕	捕	捕	uhvatiti; uhapsiti	Policija je brzo uhvatila osumnjičenog.	ujeti; prijeti	Policija je hitro ujela osumljenca.	sugauti; suimti	Policija greitai sugavo įtariamąjį.	noķert; aizturēt	Policija ātri aizturēja aizdomās turēto.	kinni püüdma; vahistama	Politsei tabas kahtlusaluse kiiresti.	grípa; handtaka	Lögreglan náði grunaða manninum fljótt.
3675:补课	补课	补课	nadoknaditi časove	Posle bolesti mora da nadoknadi časove.	nadoknaditi pouk	Po bolezni mora nadoknaditi pouk.	atsigriebti pamokas	Po ligos jam reikia atsigriebti praleistas pamokas.	atgūt nokavētās stundas	Pēc slimības viņam jāatgūst nokavētās stundas.	järele õppima	Pärast haigust peab ta tunnid järele tegema.	vinna upp tapaðar kennslustundir	Eftir veikindin þarf hann að vinna upp tapaðar kennslustundir.
3677:补习	补习	补习	ići na dodatne časove; dopunski učiti	Vikendom ide na dodatne časove matematike.	hoditi na dodatne ure	Ob koncih tedna hodi na dodatne ure matematike.	lankyti papildomas pamokas	Savaitgaliais ji lanko papildomas matematikos pamokas.	iet uz papildu nodarbībām	Brīvdienās viņa iet uz papildu matemātikas nodarbībām.	lisatunde võtma	Nädalavahetustel käib ta matemaatika lisatundides.	fara í aukatíma	Hún fer í aukatíma í stærðfræði um helgar.
3680:不曾	不曾	不曾	nikada; nijednom	Nikada nisam čuo za ovu stvar.	nikoli; niti enkrat	Nikoli nisem slišal za to zadevo.	niekada; nė karto	Aš niekada negirdėjau apie šį dalyką.	nekad; ne reizi	Es nekad neesmu dzirdējis par šo lietu.	mitte kunagi; kordagi mitte	Ma pole sellest asjast kunagi kuulnud.	aldrei; ekki einu sinni	Ég hef aldrei heyrt um þetta mál.
3681:不成	不成	不成	ne ide; ne uspeva	Bojim se da ovako neće uspeti.	ne gre; ne uspe	Bojim se, da tako ne bo šlo.	nepavykti; neveikti	Bijau, kad taip daryti nepavyks.	neizdoties; nederēt	Baidos, ka tā darīt neizdosies.	ei õnnestu; ei toimi	Kardan, et nii tegemine ei toimi.	ganga ekki; mistakast	Ég er hræddur um að þetta gangi ekki svona.
3682:不得	不得	不得	ne sme; nije dozvoljeno	U javnim prostorima nije dozvoljeno pušenje.	ne sme; ni dovoljeno	Na javnih mestih kajenje ni dovoljeno.	negalima; draudžiama	Viešose vietose rūkyti negalima.	nedrīkst; nav atļauts	Sabiedriskās vietās nedrīkst smēķēt.	ei tohi; pole lubatud	Avalikes kohtades ei tohi suitsetada.	má ekki; er óheimilt	Það má ekki reykja á opinberum stöðum.
3683:部队	部队	部队	vojna jedinica; trupe	Ova vojna jedinica trenira u planinama.	vojaška enota; čete	Ta vojaška enota se usposablja v gorah.	kariuomenės dalinys; kariuomenė	Šis kariuomenės dalinys treniruojasi kalnuose.	karaspēka vienība; karaspēks	Šī karaspēka vienība trenējas kalnos.	väeosa; väed	See väeosa harjutab mägedes.	hersveit; herlið	Þessi hersveit æfir á fjallasvæði.
3687:不许	不许	不许	nije dozvoljeno; ne sme	Ovde nije dozvoljeno parkiranje.	ni dovoljeno; ne sme	Tukaj parkiranje ni dovoljeno.	neleidžiama; negalima	Čia statyti automobilio neleidžiama.	nav atļauts; nedrīkst	Šeit nav atļauts novietot auto.	pole lubatud; ei tohi	Siin ei ole parkimine lubatud.	er ekki leyfilegt; má ekki	Hér er ekki leyfilegt að leggja bíl.
3688:不宜	不宜	不宜	nije pogodno; ne preporučuje se	Ne preporučuje se vežbati odmah posle obroka.	ni primerno; ni priporočljivo	Po obroku ni priporočljivo takoj telovaditi.	netinka; nepatartina	Po valgio nepatartina iš karto sportuoti.	nav piemērots; nav ieteicams	Pēc ēšanas nav ieteicams uzreiz vingrot.	ei sobi; pole soovitatav	Pärast sööki ei ole soovitatav kohe trenni teha.	ekki viðeigandi; ekki ráðlegt	Ekki er ráðlegt að æfa strax eftir máltíð.
3689:不已	不已	不已	neizmerno; bez prestanka	Kada su čuli dobru vest, svi su bili neizmerno uzbuđeni.	neizmerno; brez prestanka	Ko so slišali dobro novico, so bili vsi neizmerno vznemirjeni.	be galo; nesiliaujamai	Išgirdę gerą žinią, visi buvo be galo susijaudinę.	bezgalīgi; neapstājoties	Dzirdot labo ziņu, visi bija bezgalīgi satraukti.	lõputult; ülimalt	Head uudist kuuldes olid kõik ülimalt elevil.	óendanlega; mjög	Þegar allir heyrðu góðu fréttirnar urðu þeir mjög spenntir.
3693:猜测	猜测	猜测	nagađati; pretpostavljati	On samo nagađa i još nema dokaze.	ugibati; domnevati	On samo ugiba in še nima dokazov.	spėlioti; numanyti	Jis tik spėlioja ir dar neturi įrodymų.	minēt; spriest	Viņš tikai min, un viņam vēl nav pierādījumu.	oletama; arvama	Ta ainult oletab ja tal pole veel tõendeid.	giska; álykta	Hann er bara að giska og hefur engar sannanir enn.
3696:才华	才华	才华	talenat; dar	Ona ima veliki talenat za muziku.	nadarjenost; talent	Ima veliko nadarjenost za glasbo.	talentas; gabumas	Ji turi didelį talentą muzikai.	talants; dāvana	Viņai ir liels talants mūzikā.	talent; anne	Tal on suur muusikaline anne.	hæfileiki; gáfa	Hún hefur mikla tónlistarhæfileika.
3697:才能	才能	才能	sposobnost; talenat	Ovaj projekat zahteva sposobnost upravljanja.	sposobnost; talent	Ta projekt zahteva vodstvene sposobnosti.	gebėjimas; talentas	Šiam projektui reikia valdymo gebėjimų.	spēja; talants	Šim projektam vajadzīgas vadības spējas.	võime; talent	See projekt nõuab juhtimisoskust.	geta; hæfileiki	Þetta verkefni krefst stjórnunarhæfni.
3699:财物	财物	财物	imovina; lične stvari	Molim vas, dobro čuvajte ličnu imovinu.	premoženje; osebne stvari	Prosimo, dobro pazite na svoje osebne stvari.	turtas; daiktai	Prašome saugoti asmeninius daiktus.	manta; personīgās lietas	Lūdzu, rūpīgi sargājiet personīgās mantas.	vara; isiklikud asjad	Palun hoidke oma isiklikke asju hästi.	eigur; persónulegir munir	Vinsamlegast gætið vel að persónulegum munum ykkar.
3700:材质	材质	材质	materijal; tekstura	Materijal ove odeće je veoma udoban.	material; tekstura	Material tega oblačila je zelo prijeten.	medžiaga; tekstūra	Šio drabužio medžiaga labai patogi.	materiāls; faktūra	Šī apģērba materiāls ir ļoti ērts.	materjal; tekstuur	Selle riideeseme materjal on väga mugav.	efni; áferð	Efnið í þessari flík er mjög þægilegt.
3707:参展	参展	参展	učestvovati na izložbi	Kompanija ove godine prvi put učestvuje na izložbi.	sodelovati na razstavi	Podjetje letos prvič sodeluje na razstavi.	dalyvauti parodoje	Įmonė šiemet pirmą kartą dalyvauja parodoje.	piedalīties izstādē	Uzņēmums šogad pirmo reizi piedalās izstādē.	näitusel osalema	Ettevõte osaleb sel aastal esimest korda näitusel.	taka þátt í sýningu	Fyrirtækið tekur þátt í sýningu í fyrsta sinn á þessu ári.
3710:草原	草原	草原	travnata ravnica; stepa	Letnja stepa je veoma lepa.	travnata ravnica; stepa	Poletna travnata ravnica je zelo lepa.	stepė; pieva	Vasaros stepė labai graži.	zālājs; stepe	Vasaras zālājs ir ļoti skaists.	rohumaa; stepp	Suvine rohumaa on väga ilus.	graslendi; slétta	Graslendi sumarsins er mjög fallegt.
3711:侧	侧	侧	strana	Stajao je na levoj strani puta.	stran	Stal je na levi strani ceste.	pusė	Jis stovėjo kairėje kelio pusėje.	puse	Viņš stāvēja ceļa kreisajā pusē.	pool	Ta seisis tee vasakul poolel.	hlið	Hann stóð vinstra megin við veginn.
3716:层面	层面	层面	nivo; aspekt	Ovaj problem treba analizirati sa pravnog aspekta.	raven; vidik	To vprašanje je treba analizirati s pravnega vidika.	lygmuo; aspektas	Šį klausimą reikia analizuoti teisiniu lygmeniu.	līmenis; aspekts	Šis jautājums jāanalizē no juridiskā aspekta.	tasand; aspekt	Seda küsimust tuleb analüüsida õiguslikust aspektist.	stig; hlið	Þetta mál þarf að greina frá lagalegu sjónarhorni.
3717:叉	叉	叉	viljuška	Konobar mi je dao jednu viljušku.	vilice	Natakar mi je dal vilice.	šakutė	Padavėjas man davė šakutę.	dakša	Viesmīlis man iedeva dakšu.	kahvel	Teenindaja andis mulle kahvli.	gaffall	Þjónninn gaf mér gaffal.
3718:差异	差异	差异	razlika; nesrazmera	Razlika između severne i južne klime je velika.	razlika; odstopanje	Razlika med severnim in južnim podnebjem je velika.	skirtumas; neatitikimas	Šiaurės ir pietų klimato skirtumas yra didelis.	atšķirība; nevienlīdzība	Atšķirība starp ziemeļu un dienvidu klimatu ir liela.	erinevus; lahknevus	Põhja ja lõuna kliima erinevus on suur.	munur; misræmi	Munurinn á loftslagi norðurs og suðurs er mikill.
3720:查询	查询	查询	pretražiti; raspitati se	Možeš na internetu pretražiti informacije o letu.	poiskati; povprašati	Informacije o letu lahko poiščeš na spletu.	ieškoti informacijos; teirautis	Skrydžio informaciją gali pasitikrinti internete.	meklēt informāciju; vaicāt	Tu vari internetā pārbaudīt lidojuma informāciju.	järele vaatama; pärima	Lennuinfot saab internetist järele vaadata.	fletta upp; spyrjast fyrir	Þú getur flett upp flugupplýsingum á netinu.
3721:拆除	拆除	拆除	srušiti; ukloniti	Ovaj stari most biće srušen sledećeg meseca.	porušiti; odstraniti	Ta stari most bodo porušili naslednji mesec.	nugriauti; pašalinti	Šis senas tiltas bus nugriautas kitą mėnesį.	nojaukt; noņemt	Šo veco tiltu nojauks nākamajā mēnesī.	lammutama; eemaldama	See vana sild lammutatakse järgmisel kuul.	rífa niður; fjarlægja	Þessi gamla brú verður rifin niður í næsta mánuði.
3722:产出	产出	产出	proizvoditi; davati	Ova zemlja svake godine proizvodi mnogo žita.	proizvajati; dajati	Ta zemlja vsako leto pridela veliko žita.	pagaminti; duoti	Ši žemė kasmet duoda daug grūdų.	ražot; dot	Šī zeme katru gadu dod daudz graudu.	tootma; välja andma	See maa annab igal aastal palju vilja.	framleiða; gefa af sér	Þetta land gefur af sér mikið korn á hverju ári.
3723:产地	产地	产地	mesto porekla; oblast proizvodnje	Mesto porekla ovog čaja je u Junanu.	kraj izvora; območje pridelave	Kraj izvora tega čaja je v Junanu.	kilmės vieta; gamybos sritis	Šios arbatos kilmės vieta yra Junane.	izcelsmes vieta; ražošanas apgabals	Šīs tējas izcelsmes vieta ir Juņnaņā.	päritolukoht; tootmispiirkond	Selle tee päritolukoht on Yunnanis.	upprunastaður; framleiðslusvæði	Upprunastaður þessa tes er í Yunnan.
3724:肠	肠	肠	crevo	Lekar mu je pregledao crevo.	črevo	Zdravnik mu je pregledal črevo.	žarna	Gydytojas patikrino jo žarną.	zarna	Ārsts pārbaudīja viņa zarnu.	sool	Arst uuris tema soolt.	þarmur	Læknirinn skoðaði þarm hans.
3725:长短	长短	长短	dužina; odnos dužina	Dužina ova dva kanapa nije ista.	dolžina; razlika v dolžini	Ti dve vrvi sta različne dolžine.	ilgis; ilgio skirtumas	Šių dviejų virvių ilgis skiriasi.	garums; garuma atšķirība	Šīm divām virvēm ir atšķirīgs garums.	pikkus; pikkuse erinevus	Need kaks köit on erineva pikkusega.	lengd; hlutfallsleg lengd	Þessi tvö reipi eru mislöng.
3726:常规	常规	常规	rutinski; uobičajen	Ovo je rutinski pregled u bolnici.	rutinski; običajen	To je rutinski pregled v bolnišnici.	įprastas; rutininis	Tai įprastas tyrimas ligoninėje.	parasts; rutīnas	Šī ir rutīnas pārbaude slimnīcā.	tavapärane; rutiinne	See on haigla rutiinne läbivaatus.	hefðbundinn; reglulegur	Þetta er hefðbundin skoðun á sjúkrahúsinu.
3727:常年	常年	常年	tokom cele godine; stalno	Ovde je klima blaga tokom cele godine.	vse leto; stalno	Tukaj je podnebje vse leto milo.	visus metus	Čia klimatas švelnus visus metus.	visu gadu	Šeit klimats visu gadu ir maigs.	aastaringselt	Siinne kliima on aastaringselt pehme.	allt árið	Loftslagið hér er milt allt árið.
3728:长寿	长寿	长寿	dugovečnost; dug život	Zdrave životne navike pomažu dugovečnosti.	dolgoživost	Zdrave življenjske navade pomagajo k dolgoživosti.	ilgaamžiškumas	Sveiki gyvenimo įpročiai padeda ilgaamžiškumui.	ilgmūžība	Veselīgi dzīves ieradumi veicina ilgmūžību.	pikaealisus	Tervislikud eluviisid aitavad pikaealisusele kaasa.	langlífi	Heilbrigðar lífsvenjur stuðla að langlífi.
