hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
366:间	间	间	klasyfikator do pomieszczeń	To jest jedna sala lekcyjna.	telwoord voor kamers	Dit is één klaslokaal.	räkneord för rum	Det här är ett klassrum.	telleord for rom	Dette er ett klasserom.	tælleord for rum	Dette er et klasselokale.	huoneiden lukusana	Tämä on yksi luokkahuone.
372:进来	进来	进来	wejść do środka	Proszę wejść.	binnenkomen	Kom binnen.	komma in	Kom in.	komme inn	Kom inn.	komme ind	Kom ind.	tulla sisään	Tule sisään.
373:进去	进去	进去	wejść; pójść do środka	Wejdźmy.	naar binnen gaan	Laten we naar binnen gaan.	gå in	Vi går in.	gå inn	La oss gå inn.	gå ind	Lad os gå ind.	mennä sisään	Mennään sisään.
375:酒店	酒店	酒店	hotel; miejsce noclegowe	Hotel jest bardzo blisko lotniska.	het hotel	Het hotel ligt heel dicht bij de luchthaven.	hotell	Hotellet ligger mycket nära flygplatsen.	hotell	Hotellet ligger veldig nær flyplassen.	hotel; overnatningssted	Hotellet ligger meget tæt på lufthavnen.	hotelli	Hotelli on hyvin lähellä lentokenttää.
379:开学	开学	开学	rozpoczęcie szkoły	Jutro zaczynają się zajęcia.	het begin van school	Morgen begint de school.	skolstart	Skolan börjar imorgon.	skolestart	Skolen begynner i morgen.	skolestart	Skolen begynder i morgen.	koulun alkaminen	Koulu alkaa huomenna.
380:考	考	考	zdawać egzamin; sprawdzać	Jutro mam egzamin z chińskiego.	examen doen; toetsen	Ik heb morgen een Chinees examen.	göra prov; pröva	Jag har kinesiskaprov imorgon.	ta eksamen; teste	Jeg har kinesiskeksamen i morgen.	gå til eksamen; teste	Jeg har kinesiskprøve i morgen.	suorittaa koe; testata	Minulla on huomenna kiinan koe.
386:快要	快要	快要	wkrótce; prawie	Pociąg zaraz przyjedzie.	bijna; binnenkort	De trein komt er bijna aan.	snart; nästan	Tåget kommer snart.	snart; nesten	Toget kommer snart.	snart; næsten	Toget kommer snart.	pian; melkein	Juna saapuu pian.
387:篮球	篮球	篮球	koszykówka	Lubię grać w koszykówkę.	basketbal	Ik speel graag basketbal.	basket	Jag tycker om att spela basket.	basketball; kurvball	Jeg liker å spille basketball.	basketball; kurvbold	Jeg kan lide at spille basketball.	koripallo	Pidän koripallon pelaamisesta.
390:里面	里面	里面	wewnątrz	Książka jest w plecaku.	binnen; erin	Het boek zit in de schooltas.	inuti	Boken ligger i skolväskan.	inni	Boken er inni skolesekken.	indeni; inde i	Bogen ligger inde i skoletasken.	sisällä	Kirja on koulurepun sisällä.
393:路上	路上	路上	w drodze	Jestem w drodze.	onderweg	Ik ben onderweg.	på väg	Jag är på väg.	på vei	Jeg er på vei.	på vej	Jeg er på vej.	matkalla	Olen matkalla.
395:绿茶	绿茶	绿茶	zielona herbata	Tata lubi pić zieloną herbatę.	groene thee	Vader drinkt graag groene thee.	grönt te	Pappa tycker om att dricka grönt te.	grønn te	Pappa liker å drikke grønn te.	grøn te	Far kan lide at drikke grøn te.	vihreä tee	Isä pitää vihreän teen juomisesta.
396:绿色	绿色	绿色	kolor zielony	Ten kubek jest zielony.	de kleur groen	Deze beker is groen.	grön färg	Den här muggen är grön.	grønn farge	Denne koppen er grønn.	grøn farve	Denne kop er grøn.	vihreä väri	Tämä kuppi on vihreä.
398:没意思	没意思	没意思	nudny; nieciekawy	Ten film jest nudny.	saai; niet interessant	Deze film is saai.	tråkig; ointressant	Den här filmen är tråkig.	kjedelig; uinteressant	Denne filmen er kjedelig.	kedelig; uinteressant	Denne film er kedelig.	tylsä; ei kiinnostava	Tämä elokuva on tylsä.
401:门口	门口	门口	wejście; przy drzwiach	Czekam na ciebie przy wejściu do szkoły.	de ingang; de deur	Ik wacht op je bij de ingang van de school.	ingång; dörröppning	Jag väntar på dig vid skolans ingång.	inngang; døråpning	Jeg venter på deg ved skoleinngangen.	indgang; døråbning	Jeg venter på dig ved skolens indgang.	sisäänkäynti; oven luona	Odotan sinua koulun sisäänkäynnillä.
402:门票	门票	门票	bilet wstępu	Bilet wstępu nie jest drogi.	het toegangsbewijs	Het toegangsbewijs is niet duur.	inträdesbiljett	Inträdesbiljetten är inte dyr.	inngangsbillett	Inngangsbilletten er ikke dyr.	entrébillet	Entrébilletten er ikke dyr.	pääsylippu	Pääsylippu ei ole kallis.
403:面1	面1	面	strona; powierzchnia; przyrostek miejsca	Na zewnątrz pada deszcz.	kant; oppervlak; plaatsachtervoegsel	Het regent buiten.	sida; yta; platssuffix	Det regnar ute.	side; overflate; stedsendelse	Det regner ute.	side; overflade; stedssuffiks	Det regner udenfor.	puoli; pinta; paikan jälkiliite	Ulkona sataa.
404:名	名	名	klasyfikator do osób	To jest jedna nauczycielka.	telwoord voor personen	Dit is één leraar.	räkneord för personer	Det här är en lärare.	telleord for personer	Dette er en lærer.	tælleord for personer	Dette er en lærer.	ihmisten lukusana	Tämä on yksi opettaja.
406:那么	那么	那么	tak; aż tak	On nie jest aż tak zajęty.	zo; op die manier	Hij is niet zo druk.	så; på det sättet	Han är inte så upptagen.	så; på den måten	Han er ikke så travel.	så; på den måde	Han har ikke så travlt.	niin; sillä tavalla	Hän ei ole niin kiireinen.
407:那样	那样	那样	tak; w ten sposób	Nie mów tak.	zo; op die manier	Zeg het niet zo.	så; på det sättet	Säg inte så.	slik; på den måten	Ikke si det slik.	sådan; på den måde	Sig det ikke sådan.	tuolla tavalla	Älä sano sillä tavalla.
408:奶茶	奶茶	奶茶	herbata z mlekiem	Chcę napić się herbaty z mlekiem.	melkthee	Ik wil melkthee drinken.	mjölkte	Jag vill dricka mjölkte.	melkete	Jeg vil drikke melkete.	mælkete	Jeg vil drikke mælkete.	maitotee	Haluan juoda maitoteetä.
410:男孩儿	男孩儿	男孩儿	chłopiec	Tamten chłopiec biegnie.	de jongen	Die jongen rent.	pojke	Den där pojken springer.	gutt	Den gutten løper.	dreng	Den dreng løber.	poika	Tuo poika juoksee.
412:女孩儿	女孩儿	女孩儿	dziewczynka	Ta dziewczynka lubi tańczyć.	het meisje	Dat meisje houdt van dansen.	flicka	Den där flickan tycker om att dansa.	jente	Den jenta liker å danse.	pige	Den pige kan lide at danse.	tyttö	Tuo tyttö pitää tanssimisesta.
414:跑	跑	跑	biegać	On biega bardzo szybko.	rennen	Hij rent heel snel.	springa	Han springer mycket snabbt.	løpe	Han løper veldig fort.	løbe	Han løber meget hurtigt.	juosta	Hän juoksee hyvin nopeasti.
421:球	球	球	piłka	Ta piłka jest czerwona.	de bal	Deze bal is rood.	boll	Den här bollen är röd.	ball; lekeball	Denne ballen er rød.	bold	Denne bold er rød.	pallo	Tämä pallo on punainen.
423:肉	肉	肉	mięso	Nie jem mięsa.	het vlees	Ik eet geen vlees.	kött	Jag äter inte kött.	kjøtt	Jeg spiser ikke kjøtt.	kød	Jeg spiser ikke kød.	liha	En syö lihaa.
424:商场	商场	商场	centrum handlowe	W centrum handlowym jest dużo ludzi.	het winkelcentrum	Er zijn veel mensen in het winkelcentrum.	köpcentrum	Det är många människor i köpcentret.	kjøpesenter	Det er mange mennesker på kjøpesenteret.	indkøbscenter	Der er mange mennesker i indkøbscentret.	ostoskeskus	Ostoskeskuksessa on paljon ihmisiä.
425:上来	上来	上来	wejść tutaj; podejść w górę	Proszę wejść tutaj.	omhoogkomen	Kom alsjeblieft omhoog.	komma upp	Kom upp.	komme opp	Kom opp.	komme op	Kom op.	tulla ylös	Tule ylös.
426:上面	上面	上面	na górze; na wierzchu	Książka leży na stole.	boven; erop	Het boek ligt op de tafel.	ovanpå; uppe	Boken ligger på bordet.	over; oppå	Boken ligger oppå bordet.	ovenpå; oppe	Bogen ligger på bordet.	päällä; yläpuolella	Kirja on pöydällä.
427:上去	上去	上去	wejść na górę	Wejdźmy i zobaczmy.	omhooggaan	Laten we omhooggaan en kijken.	gå upp	Vi går upp och tittar.	gå opp	La oss gå opp og se.	gå op	Lad os gå op og se.	mennä ylös	Mennään ylös katsomaan.
431:时	时	时	czas; wtedy	Wtedy byłem w szkole.	tijd; toen	Toen was ik op school.	tid; då	Då var jag i skolan.	tid; da	Da var jeg på skolen.	tid; dengang	Dengang var jeg i skole.	aika; silloin	Silloin olin koulussa.
433:手	手	手	ręka; dłoń	Mam zimne ręce.	de hand	Mijn handen zijn koud.	hand; handen	Mina händer är kalla.	hånd	Hendene mine er kalde.	hånd	Mine hænder er kolde.	käsi	Käteni ovat kylmät.
435:书包	书包	书包	plecak szkolny	Mój plecak szkolny jest duży.	de schooltas	Mijn schooltas is groot.	skolväska	Min skolväska är stor.	skolesekk	Skolesekken min er stor.	skoletaske	Min skoletaske er stor.	koulureppu	Koulureppuni on iso.
438:虽然	虽然	虽然	chociaż	Chociaż pada deszcz, nadal muszę wyjść.	hoewel	Hoewel het regent, moet ik toch naar buiten.	trots att	Trots att det regnar måste jag ändå gå ut.	selv om	Selv om det regner, må jeg fortsatt gå ut.	selvom	Selvom det regner, skal jeg stadig ud.	vaikka	Vaikka sataa, minun täytyy silti lähteä ulos.
441:踢	踢	踢	kopać	On lubi grać w piłkę nożną.	schoppen; voetballen	Hij houdt van voetballen.	sparka	Han tycker om att spela fotboll.	sparke	Han liker å spille fotball.	sparke	Han kan lide at spille fodbold.	potkaista; pelata jalalla	Hän pitää jalkapallon pelaamisesta.
445:头	头	头	głowa	Boli mnie głowa.	het hoofd	Ik heb hoofdpijn.	huvud	Jag har ont i huvudet.	hode	Jeg har vondt i hodet.	hoved	Jeg har ondt i hovedet.	pää	Päätäni särkee.
446:外国	外国	外国	obcy kraj; zagranica	On pracuje za granicą.	het buitenland; een vreemd land	Hij werkt in het buitenland.	utlandet; främmande land	Han arbetar utomlands.	utlandet; fremmed land	Han jobber i utlandet.	udlandet; fremmed land	Han arbejder i udlandet.	ulkomainen maa; ulkomaat	Hän työskentelee ulkomailla.
447:外面	外面	外面	na zewnątrz	Na zewnątrz jest zimno.	buiten	Het is koud buiten.	utanför; ute	Det är kallt ute.	ute	Det er kaldt ute.	udenfor	Det er koldt udenfor.	ulkona	Ulkona on kylmä.
450:往	往	往	w kierunku	Proszę iść do przodu.	naar; in de richting van	Loop alstublieft naar voren.	mot; åt	Gå framåt.	mot; i retning av	Gå fremover.	mod; i retning af	Gå fremad.	kohti	Kävelkää eteenpäin.
451:网上	网上	网上	w internecie; online	Kupuję książki w internecie.	online; op internet	Ik koop boeken online.	online; på internet	Jag köper böcker på internet.	på nettet; online	Jeg kjøper bøker på nettet.	online; på internettet	Jeg køber bøger på internettet.	verkossa; internetissä	Ostan kirjoja verkosta.
452:忘	忘	忘	zapomnieć	Zapomniałem jego imienia.	vergeten	Ik ben zijn naam vergeten.	glömma	Jag glömde hans namn.	glemme	Jeg glemte navnet hans.	glemme	Jeg glemte hans navn.	unohtaa	Unohdin hänen nimensä.
458:下来	下来	下来	zejść tutaj	Zejdź proszę tutaj.	naar beneden komen	Kom alsjeblieft naar beneden.	komma ner	Kom ner.	komme ned	Kom ned.	komme ned	Kom ned.	tulla alas	Tule alas.
459:下面	下面	下面	pod spodem; niżej	Kot jest pod stołem.	onder; beneden	De kat zit onder de tafel.	under; nedanför	Katten är under bordet.	under; nedenfor	Katten er under bordet.	under; nedenunder	Katten er under bordet.	alla; alapuolella	Kissa on pöydän alla.
460:下去	下去	下去	zejść; pójść w dół	Zejdźmy.	naar beneden gaan	Laten we naar beneden gaan.	gå ner	Vi går ner.	gå ned	La oss gå ned.	gå ned	Lad os gå ned.	mennä alas	Mennään alas.
461:小孩儿	小孩儿	小孩儿	dziecko	Dziecko bawi się piłką.	het kind	Het kind speelt met een bal.	barn	Barnet leker med en boll.	barn	Barnet leker med en ball.	barn	Barnet leger med en bold.	lapsi	Lapsi leikkii pallolla.
462:小时候	小时候	小时候	w dzieciństwie; gdy byłem mały	W dzieciństwie mieszkałem w Pekinie.	als kind; in de kindertijd	Als kind woonde ik in Peking.	som barn; i barndomen	Jag bodde i Peking som barn.	som barn; i barndommen	Jeg bodde i Beijing da jeg var barn.	som barn; i barndommen	Jeg boede i Beijing som barn.	lapsena; lapsuudessa	Asuin lapsena Pekingissä.
465:姓名	姓名	姓名	imię i nazwisko	Proszę napisać swoje imię i nazwisko.	de volledige naam	Schrijf alstublieft uw volledige naam.	fullständigt namn	Skriv ditt fullständiga namn.	fullt navn	Skriv det fulle navnet ditt.	fulde navn	Skriv dit fulde navn.	koko nimi	Kirjoita koko nimesi.
469:药店	药店	药店	apteka	Apteka jest obok szpitala.	de apotheek	De apotheek is naast het ziekenhuis.	apotek	Apoteket ligger bredvid sjukhuset.	apotek	Apoteket ligger ved siden av sykehuset.	apotek	Apoteket ligger ved siden af hospitalet.	apteekki	Apteekki on sairaalan vieressä.
477:游	游	游	pływać	Ryba pływa w wodzie.	zwemmen	De vis zwemt in het water.	simma	Fisken simmar i vattnet.	svømme	Fisken svømmer i vannet.	svømme	Fisken svømmer i vandet.	uida	Kala ui vedessä.
479:有意思	有意思	有意思	interesujący	Ta książka jest bardzo interesująca.	interessant	Dit boek is heel interessant.	intressant	Den här boken är mycket intressant.	interessant	Denne boken er veldig interessant.	interessant	Denne bog er meget interessant.	mielenkiintoinen	Tämä kirja on hyvin mielenkiintoinen.
480:有时	有时	有时	czasami	Czasami jadę do szkoły autobusem.	soms	Ik neem soms de bus naar school.	ibland	Ibland tar jag bussen till skolan.	noen ganger	Jeg tar noen ganger buss til skolen.	nogle gange	Nogle gange tager jeg bus til skole.	joskus	Menen joskus kouluun bussilla.
481:右	右	右	prawo; prawa strona	Proszę spojrzeć w prawo.	rechts; de rechterkant	Kijk alstublieft naar rechts.	höger; högra sidan	Titta åt höger.	høyre; høyre side	Se til høyre.	højre; højre side	Se til højre.	oikea; oikea puoli	Katso oikealle.
488:这么	这么	这么	tak; aż tyle	Ta książka jest taka droga.	zo; zoveel	Dit boek is zo duur.	så; så mycket	Den här boken är så dyr.	så; så mye	Denne boken er så dyr.	så; så meget	Denne bog er så dyr.	näin; näin paljon	Tämä kirja on näin kallis.
489:这样	这样	这样	tak; w ten sposób	Robienie tego w ten sposób jest całkiem dobre.	zo; op deze manier	Het op deze manier doen is best goed.	så här; på det här sättet	Att göra så här är ganska bra.	slik; på denne måten	Å gjøre det slik er ganske bra.	sådan; på denne måde	At gøre det sådan er ret godt.	näin; tällä tavalla	Näin tekeminen on melko hyvä.
492:周	周	周	tydzień	W przyszłym tygodniu jadę do Pekinu.	de week	Volgende week ga ik naar Peking.	vecka	Nästa vecka åker jag till Peking.	uke	Neste uke drar jeg til Beijing.	uge	Næste uge tager jeg til Beijing.	viikko	Ensi viikolla menen Pekingiin.
496:走路	走路	走路	chodzić pieszo	Codziennie chodzę do szkoły pieszo.	lopen; te voet gaan	Ik loop elke dag naar school.	gå till fots	Jag går till skolan varje dag.	gå til fots	Jeg går til skolen hver dag.	gå til fods	Jeg går til skole hver dag.	kävellä	Menen kouluun kävellen joka päivä.
497:足球	足球	足球	piłka nożna; futbol	On gra w piłkę nożną.	voetbal; voetbalbal	Hij is aan het voetballen.	fotboll; fotbollsboll	Han spelar fotboll.	fotball; fotball	 Han spiller fotball.	fodbold; fodboldbold	Han spiller fodbold.	jalkapallo	Hän pelaa jalkapalloa.
499:左	左	左	lewo; lewa strona	Proszę skręcić w lewo.	links; de linkerkant	Ga alstublieft naar links.	vänster; vänstra sidan	Gå åt vänster.	venstre; venstre side	Gå til venstre.	venstre; venstre side	Gå til venstre.	vasen; vasen puoli	Käänny vasemmalle.
