simplified	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419
卖	kuuza	Duka hili linauza matufaha.	vender	Esta loja vende maçãs.	vender	Esta tienda vende manzanas.
慢	polepole; taratibu	Tafadhali nenda polepole kidogo.	lento; devagar	Mais devagar, por favor.	lento; despacio	Más despacio, por favor.
忙	kuwa na shughuli nyingi	Leo nina shughuli nyingi.	ocupado	Hoje estou ocupado.	ocupado	Hoy estoy ocupado.
每	kila	Ninasoma Kichina kila siku.	cada	Estudo chinês todos os dias.	cada	Estudio chino todos los días.
妹妹	dada mdogo	Dada yangu mdogo anatazama televisheni.	a irmã mais nova	Minha irmã mais nova está vendo televisão.	la hermana menor	Mi hermana menor está viendo la televisión.
门	mlango; lango	Mlango ulifunguka.	a porta; o portão	A porta se abriu.	la puerta; el portón	La puerta se abrió.
男人	mwanaume; mwanamume	Mwanaume huyu ni mwalimu.	o homem	Este homem é professor.	el hombre	Este hombre es profesor.
您	wewe kwa heshima	Shikamoo.	o senhor; a senhora	Olá.	usted	Hola.
牛奶	maziwa	Ninakunywa maziwa.	o leite	Bebo leite.	la leche	Bebo leche.
女人	mwanamke	Mwanamke yule ni daktari.	a mulher	Aquela mulher é médica.	la mujer	Esa mujer es médica.
旁边	kando ya; karibu na	Kuna duka kando ya shule.	ao lado; junto a	Tem uma loja ao lado da escola.	al lado; junto a	Hay una tienda al lado de la escuela.
跑步	kukimbia	Ninakimbia asubuhi.	correr; fazer jogging	Corro de manhã.	correr; trotar	Corro por la mañana.
便宜	bei nafuu; rahisi	Tufaha hili ni la bei nafuu.	barato	Esta maçã é barata.	barato	Esta manzana es barata.
票	tiketi	Ninanunua tiketi.	o ingresso; a passagem	Compro uma passagem.	el boleto; la entrada	Compro un boleto.
妻子	mke	Mke wangu ni mwalimu.	a esposa; a mulher	Minha esposa é professora.	la esposa	Mi esposa es profesora.
起床	kuamka	Ninaamka saa kumi na mbili asubuhi.	levantar-se	Levanto às seis da manhã.	levantarse	Me levanto a las seis de la mañana.
千	elfu	Baiskeli hii inagharimu yuan elfu moja.	mil	Esta bicicleta custa mil yuans.	mil	Esta bicicleta cuesta mil yuanes.
晴	jua; anga wazi	Leo kuna jua.	ensolarado; limpo	Hoje está ensolarado.	despejado; soleado	Hoy hace sol.
去年	mwaka jana	Mwaka jana nilikuwa Beijing.	o ano passado	No ano passado estive em Pequim.	el año pasado	El año pasado estuve en Pekín.
让	kuruhusu; kufanya mtu afanye	Mama ananiruhusu kusoma.	deixar; permitir	Mamãe me deixa estudar.	dejar; permitir	Mamá me deja estudiar.
上班	kwenda kazini	Ninaenda kazini saa mbili.	ir trabalhar	Vou trabalhar às oito.	ir al trabajo	Voy al trabajo a las ocho.
身体	mwili; afya	Afya yake ni nzuri.	o corpo; a saúde	Ele tem boa saúde.	el cuerpo; la salud	Él tiene buena salud.
生病	kuugua	Yeye aliugua.	adoecer; ficar doente	Ele ficou doente.	enfermarse	Él se enfermó.
生日	siku ya kuzaliwa	Leo ni siku yangu ya kuzaliwa.	o aniversário	Hoje é meu aniversário.	el cumpleaños	Hoy es mi cumpleaños.
时间	wakati; muda	Sina muda.	o tempo	Não tenho tempo.	el tiempo	No tengo tiempo.
事情	jambo; kazi	Nina jambo la kufanya.	o assunto; a coisa	Tenho uma coisa para fazer.	el asunto; la cosa	Tengo algo que hacer.
手表	saa ya mkononi	Saa hii ya mkononi ni mpya.	o relógio de pulso	Este relógio é novo.	el reloj de pulsera	Este reloj es nuevo.
手机	simu ya mkononi	Simu yangu ya mkononi iko juu ya meza.	o celular	Meu celular está em cima da mesa.	el celular	Mi celular está en la mesa.
送	kutuma; kumpa zawadi	Ninakupa kitabu kimoja kama zawadi.	dar de presente; enviar	Eu te dou um livro de presente.	regalar; enviar	Te regalo un libro.
所以	kwa hiyo	Leo mvua inanyesha, kwa hiyo siendi.	por isso; portanto	Hoje chove, por isso não vou.	por eso; por lo tanto	Hoy llueve, por eso no voy.
它	hicho; huyo	Huyu ni paka wangu.	ele; ela; isso	É o meu gato.	eso; ello	Es mi gato.
踢足球	kucheza mpira wa miguu	Wanacheza mpira wa miguu.	jogar futebol	Eles jogam futebol.	jugar fútbol	Ellos juegan fútbol.
题	swali; mada	Swali hili si sahihi.	a pergunta; o exercício	Este exercício não está correto.	la pregunta; el ejercicio	Este ejercicio no es correcto.
跳舞	kucheza dansi	Yeye anapenda kucheza dansi.	dançar	Ela gosta de dançar.	bailar	A ella le gusta bailar.
外	nje; wa nje	Yeye yuko nje ya mlango.	fora; exterior	Ele está fora da porta.	fuera; exterior	Está fuera de la puerta.
完	kumaliza	Nimemaliza.	acabar; terminar	Acabei.	terminar	Terminé.
玩	kucheza; kujifurahisha	Mtoto anacheza.	brincar; jogar; divertir-se	A criança está brincando.	jugar; divertirse	El niño está jugando.
晚上	jioni; usiku	Jioni ninatazama filamu.	a noite	À noite vejo um filme.	la noche	Por la noche veo una película.
为什么	kwa nini	Kwa nini huendi?	por que; por quê	Por que você não vai?	por qué	¿Por qué no vas?
问	kuuliza	Ninamuuliza mwalimu.	perguntar	Pergunto ao professor.	preguntar	Pregunto al profesor.
问题	swali; tatizo	Nina swali moja.	a pergunta; o problema	Tenho uma pergunta.	la pregunta; el problema	Tengo una pregunta.
西瓜	tikiti maji	Ninakula tikiti maji.	a melancia	Como melancia.	la sandía	Como sandía.
希望	kutumaini; tumaini	Natumaini utakuja.	esperar; a esperança	Espero que você venha.	esperar; la esperanza	Espero que vengas.
洗	kufua; kuosha	Ninafua nguo.	lavar	Lavo a roupa.	lavar	Lavo la ropa.
向	kuelekea	Yeye anatembea kuelekea kwangu.	para; em direção a	Ele caminha na minha direção.	hacia; en dirección a	Él camina hacia mí.
小时	saa	Ninasoma kwa saa mbili.	a hora	Estudo duas horas.	la hora	Estudio dos horas.
笑	kutabasamu; kucheka	Yeye alitabasamu.	sorrir; rir	Ela sorriu.	sonreír; reír	Ella sonrió.
新	mpya	Hiki ni kitabu kipya.	novo	Este é um livro novo.	nuevo	Este es un libro nuevo.
姓	jina la ukoo	Jina lako la ukoo ni nini?	o sobrenome; ter como sobrenome	Qual é o seu sobrenome?	el apellido; apellidarse	¿Cuál es su apellido?
休息	kupumzika	Nataka kupumzika.	descansar; o descanso	Quero descansar.	descansar; el descanso	Quiero descansar.
雪	theluji	Leo theluji inaanguka.	a neve	Hoje está nevando.	la nieve	Hoy nieva.
颜色	rangi	Ninapenda rangi hii.	a cor	Gosto desta cor.	el color	Me gusta este color.
眼睛	jicho; macho	Macho yake ni makubwa.	o olho; os olhos	Ela tem olhos grandes.	el ojo; los ojos	Ella tiene los ojos grandes.
羊肉	nyama ya kondoo	Sili nyama ya kondoo.	a carne de carneiro; o cordeiro	Não como carneiro.	la carne de cordero; el cordero	No como cordero.
药	dawa	Yeye anakunywa dawa.	o medicamento; o remédio	Ele toma remédio.	la medicina; el medicamento	Él toma un medicamento.
要	kutaka; kuhitaji	Nataka kunywa maji.	querer; precisar	Quero beber água.	querer; tener que	Quiero beber agua.
也	pia	Mimi pia ninaenda.	também	Eu também vou.	también	Yo también voy.
已经	tayari	Tayari nimefika.	já	Já cheguei.	ya	Ya he llegado.
一起	pamoja	Tunaenda pamoja.	juntos	Vamos juntos.	juntos	Vamos juntos.
意思	maana; wazo	Herufi hii ina maana gani?	o significado; o sentido	O que significa este caractere?	el significado; el sentido	¿Qué significa este carácter?
阴	mawingu; anga limefunikwa	Leo kuna mawingu.	nublado; encoberto	Hoje está nublado.	nublado; cubierto	Hoy está nublado.
因为	kwa sababu	Kwa sababu mvua inanyesha, siendi.	porque; devido a	Como está chovendo, não vou.	porque; debido a	Como llueve, no voy.
游泳	kuogelea	Ninaweza kuogelea.	nadar	Sei nadar.	nadar	Sé nadar.
右边	upande wa kulia	Duka liko upande wa kulia.	a direita; o lado direito	A loja fica à direita.	la derecha; el lado derecho	La tienda está a la derecha.
鱼	samaki	Ninakula samaki.	o peixe	Como peixe.	el pez; el pescado	Como pescado.
元	yuan; sarafu ya yuan	Kikombe hiki kinagharimu yuan kumi.	o yuan	Esta xícara custa dez yuans.	el yuan	Esta taza cuesta diez yuanes.
远	mbali	Uwanja wa ndege uko mbali.	longe; distante	O aeroporto fica longe.	lejos; lejano	El aeropuerto está lejos.
运动	michezo; mazoezi	Ninapenda kufanya mazoezi.	o esporte; o exercício	Gosto de fazer exercício.	el deporte; el ejercicio	Me gusta hacer ejercicio.
再	tena; baadaye	Nitakuja tena kesho.	de novo; depois	Amanhã volto.	otra vez; luego	Mañana volveré.
早上	asubuhi	Asubuhi ninakunywa chai.	a manhã	De manhã bebo chá.	la mañana	Por la mañana bebo té.
张	kihesabio cha vitu bapa	Nimenunua tiketi moja.	o classificador para objetos planos	Comprei uma passagem.	el clasificador para objetos planos	Compré un boleto.
丈夫	mume	Mume wake ni daktari.	o marido	O marido dela é médico.	el marido	Su marido es médico.
找	kutafuta	Ninamtafuta rafiki.	procurar; encontrar	Procuro um amigo.	buscar; encontrar	Busco a un amigo.
着	partikeli ya hali inayoendelea	Mlango uko wazi.	a partícula de ação ou estado contínuo	A porta está aberta.	la partícula de acción o estado continuo	La puerta está abierta.
真	kweli; halisi	Kitabu hiki ni kizuri kweli.	realmente; verdadeiro	Este livro é realmente bom.	realmente; verdadero	Este libro es realmente bueno.
正在	kuwa katika hali ya kufanya	Yeye anatazama televisheni.	estar; estar fazendo	Ele está vendo televisão.	estar en proceso de	Él está viendo la televisión.
知道	kujua	Sijui.	saber	Não sei.	saber	No lo sé.
准备	kujiandaa; maandalizi	Ninajiandaa kwa mtihani.	preparar-se; preparar; a preparação	Estou me preparando para o exame.	prepararse; preparar; la preparación	Me preparo para el examen.
自行车	baiskeli	Baiskeli yangu ni mpya.	a bicicleta	Minha bicicleta é nova.	la bicicleta	Mi bicicleta es nueva.
走	kwenda kwa miguu; kwenda	Ninaenda nyumbani kwa miguu.	andar; ir	Vou para casa a pé.	caminar; ir	Voy caminando a casa.
最	zaidi; -enye zaidi	Yeye ndiye mrefu zaidi.	o mais; mais	Ele é o mais alto.	el más; lo más	Él es el más alto.
左边	upande wa kushoto	Shule iko upande wa kushoto.	a esquerda; o lado esquerdo	A escola fica à esquerda.	la izquierda; el lado izquierdo	La escuela está a la izquierda.
