source_headword	FR	example_FR
smile	sourire	Souris pour la caméra.
smoke	la fumée	La fumée a rempli la pièce.
smoking	fumer	Il est interdit de fumer.
soap	le savon	Utilise du savon et de l'eau.
soccer	le football	Le football est populaire ici.
social	social	C'est un événement social.
society	la société	La société change avec le temps.
sock	la chaussette	Il manque une chaussette.
soft	doux	Cette couverture est douce.
soldier	le soldat	Le soldat est rentré chez lui.
solution	la solution	Nous avons trouvé une solution.
solve	résoudre	Résous ce puzzle.
somewhere	quelque part	Mets-le dans un endroit sûr.
sort	le type	Quel type veux-tu?
source	la source	Vérifie d'abord la source.
speaker	le haut-parleur	Le haut-parleur était fort.
specific	précis	J'ai besoin d'une réponse précise.
speech	le discours	Son discours était court.
speed	la vitesse	Réduis ta vitesse ici.
spider	l'araignée	Il y a une araignée au mur.
spoon	la cuillère	Utilise une cuillère pour la soupe.
square	carré	Dessine une boîte carrée.
stage	la scène	Le groupe est sur scène.
stair	la marche	La marche est cassée.
stamp	le timbre	Mets un timbre sur la lettre.
state	indiquer	Indique ton nom clairement.
steal	voler	Ne vole pas d'argent.
step	le pas	Fais un pas en avant.
stomach	l'estomac	J'ai mal à l'estomac.
stone	la pierre	La pierre est lourde.
store	le magasin	Le magasin ferme tôt.
storm	la tempête	Une tempête arrive.
straight	directement	Rentre directement chez toi.
strange	étrange	Ce son est étrange.
strategy	la stratégie	Nous avons besoin d'une stratégie.
stress	le stress	Le travail peut causer du stress.
structure	la structure	Cette structure est solide.
stupid	stupide	C'était une erreur stupide.
succeed	réussir	Tu peux réussir ici.
successful	réussi	Elle a connu le succès.
such	tel	Une telle aide est utile.
suddenly	soudain	Soudain, le chien s'est enfui.
suggest	suggérer	Je suggère une courte pause.
suggestion	la suggestion	Ta suggestion est utile.
suit	le costume	Ce costume est cher.
support	soutenir	Nous soutenons notre équipe.
suppose	supposer	Je suppose que tu as raison.
surprise	la surprise	La surprise l'a rendue heureuse.
surprised	surpris	Elle a été surprise aujourd'hui.
surprising	surprenant	Le résultat était surprenant.
survey	le sondage	Veuillez répondre au sondage.
sweet	sucré	Ce thé est sucré.
symbol	le symbole	Ce symbole signifie danger.
system	le système	Le système fonctionne bien.
tablet	la tablette	Ma tablette est sur le bureau.
target	la cible	Atteins la cible avec soin.
task	la tâche	Cette tâche est facile.
taste	goûter	Goûte d'abord la soupe.
teaching	l'enseignement	L'enseignement est un travail difficile.
technology	la technologie	La technologie change vite.
teenage	adolescent	Mon frère adolescent étudie dur.
temperature	la température	La température est basse.
term	le trimestre	Ce trimestre se termine bientôt.
themselves	eux-mêmes	Ils ont préparé le dîner eux-mêmes.
thick	épais	Ce livre est épais.
thief	le voleur	Le voleur s'est enfui.
thin	fin	Le papier est fin.
thinking	la réflexion	La réflexion prend du temps.
thought	la pensée	J'ai eu une pensée étrange.
throw	lancer	Lance la balle doucement.
tidy	rangé	Garde ta chambre rangée.
tie	attacher	Attache tes chaussures maintenant.
tip	le pourboire	Laisse un pourboire pour le service.
tool	l'outil	Utilise le bon outil.
top	le haut	L'étagère du haut est pleine.
touch	toucher	Ne touche pas le verre.
tour	la visite	Nous avons fait une visite de la ville.
tourism	le tourisme	Le tourisme aide cette ville.
towards	vers	Marche vers la gare.
towel	la serviette	Apporte une serviette propre.
tower	la tour	La tour est très vieille.
toy	le jouet	La voiture jouet est rouge.
track	la piste	La piste va vers le nord.
tradition	la tradition	Cette tradition est ancienne.
traditional	traditionnel	Elle portait des vêtements traditionnels.
trainer	l'entraîneur	Mon entraîneur est serviable.
training	l'entraînement	L'entraînement commence demain.
transport	les transports	Les transports publics sont en retard.
traveller	le voyageur	Le voyageur a demandé de l'aide.
trouble	le problème	Nous avons eu un problème hier.
truck	le camion	Le camion est dehors.
twin	le jumeau/la jumelle	Ma sœur jumelle est plus grande.
typical	typique	C'est une journée typique.
underground	souterrain	Le train circule sous terre.
understanding	la compréhension	Ta compréhension est correcte.
unfortunately	malheureusement	Malheureusement, le magasin est fermé.
unhappy	malheureux	Il a l'air malheureux.
uniform	l'uniforme	Elle porte un uniforme scolaire.
unit	l'unité	Cette unité est petite.
united	uni	L'équipe est restée unie.
unusual	inhabituel	Ce son est inhabituel.
used to modal	avoir l'habitude de	Nous habitions ici avant.
user	l'utilisateur	Chaque utilisateur a un numéro.
usual	habituel	J'ai pris ma place habituelle.
valley	la vallée	La vallée est verte.
van	la camionnette	La camionnette est pleine.
variety	la variété	Nous avons besoin de plus de variété.
vehicle	le véhicule	Ce véhicule est lent.
view	la vue	La vue est belle.
virus	le virus	Un virus l'a rendu malade.
voice	la voix	Sa voix est basse.
war	la guerre	La guerre s'est terminée il y a des années.
washing	le linge	Le linge est dehors.
wave	la vague	Une vague a frappé le bateau.
weak	faible	Mes jambes sont faibles.
web	le web	La page web est ouverte.
wedding	le mariage	Le mariage commence bientôt.
weight	le poids	Vérifie d'abord le poids.
wet	mouillé	Mes chaussures sont mouillées.
wheel	la roue	La roue est cassée.
while	un moment	Attends ici un moment.
whole	entier	J'ai mangé la pomme entière.
whose	à qui	À qui est ce téléphone?
wide	large	La route est large.
wild	sauvage	Les animaux sauvages vivent ici.
wind1	le vent	Le vent est fort.
winner	le gagnant	Le gagnant a souri.
wish	le vœu	Fais un vœu.
wood	le bois	La chaise est en bois.
wooden	en bois	La boîte en bois est lourde.
working	de travail	La journée de travail est terminée.
worried	inquiet	Je me sens inquiet aujourd'hui.
worry	s'inquiéter	Ne t'inquiète pas maintenant.
worse	pire	Cette douleur est pire.
worst	le pire	C'était le pire jour.
wow	waouh	Waouh, c'est incroyable!
yet	déjà	Sommes-nous déjà arrivés?
yours	à toi	Ce livre est à toi.
zero	zéro	Compte jusqu'à zéro.
