source_headword	NE	example_NE
introduction	परिचय	परिचय छोटो थियो।
invent	आविष्कार गर्नु	बालबालिकाले नयाँ खेल आविष्कार गर्न सक्छन्।
invention	आविष्कार	आविष्कारले समय बचायो।
invitation	निमन्त्रणा	मैले निमन्त्रणा पाएँ।
invite	निम्तो दिनु	आफ्नो साथीलाई पनि निम्तो देऊ।
involve	समावेश गर्नु	काममा यात्रा समावेश हुनेछ।
item	वस्तु	एउटा वस्तु छान।
itself	आफैँ	मेसिन आफैँ बन्द हुन्छ।
jam	जाम	रोटीमा जाम लगाऊ।
jazz	ज्याज	ज्याज आज राति राम्रो सुनिन्छ।
jewellery	गहना	उनी गहना बाकसमा राख्छिन्।
joke	ठट्टा	मलाई एउटा ठट्टा सुनाऊ।
journalist	पत्रकार	पत्रकारले प्रश्न सोध्यो।
jump	हाम्फाल्नु	रेखामाथि हाम्फाल।
kid	बच्चा	बच्चा हाँसिरहेको छ।
kill	मार्नु	किरा नमार।
king	राजा	राजा दरबारमा बस्थे।
knee	घुँडा	मेरो घुँडा दुख्छ।
knife	चक्कु	धारिलो चक्कु प्रयोग गर।
knock	ढकढक्याउनु	भित्र पस्नुअघि ढकढक्याऊ।
knowledge	ज्ञान	अभ्याससँग ज्ञान बढ्छ।
lab	प्रयोगशाला	प्रयोगशाला बन्द छ।
lady	महिला	महिलाले हामीलाई मुस्कुराइन्।
lake	ताल	ताल शान्त छ।
lamp	बत्ती	बत्ती बाल।
laptop	ल्यापटप	मेरो ल्यापटप नयाँ छ।
last1 (taking time)	चल्नु;समय लाग्नु	चलचित्र दुई घण्टा चल्छ।
laughter	हाँसो	हामीले बाहिर हाँसो सुन्यौँ।
law	कानुन	कानुन हिजो परिवर्तन भयो।
lawyer	वकिल	वकिलले मलाई फोन गर्‍यो।
lazy	अल्छी	अल्छी नबन।
lead1	नेतृत्व गर्नु	राम्रो नेताले उदाहरणबाट नेतृत्व गर्छन्।
leader	नेता	उनी टोलीकी नेता हुन्।
learning	सिकाइ	सिकाइमा समय लाग्छ।
least	सबैभन्दा कम	सबैभन्दा सस्तो एउटा छान।
lecture	व्याख्यान	व्याख्यान दस बजे सुरु हुन्छ।
lemon	कागती	चियामा कागती थप।
lend	सापट दिनु	के तिमी मलाई पाँच डलर सापट दिन सक्छौ।
less	कम	चिनी कम खाऊ।
level	स्तर	यो स्तर सजिलो छ।
lifestyle	जीवनशैली	उसको स्वस्थ जीवनशैली छ।
lift	उठाउनु	बाकस ध्यानपूर्वक उठाऊ।
light	बाल्नु	मैनबत्ती ध्यानपूर्वक बाल।
light (not heavy)	हल्का	यो झोला हल्का छ।
likely	सम्भावित	भोलि पानी पर्ने सम्भावना छ।
link	लिङ्क	मलाई लिङ्क पठाऊ।
listener	श्रोता	राम्रो श्रोता बन।
lock	ताल्चा लगाउनु	ढोकामा ताल्चा लगाऊ।
lorry	ट्रक	ट्रकले बाकस बोकेको थियो।
lost	हराएको;बाटो बिराएको	हामी बाटो बिराएका छौँ।
loud	चर्को	संगीत चर्को छ।
loudly	चर्को स्वरमा	कृपया चर्को स्वरमा नबोल।
lovely	मनमोहक	कति मनमोहक बगैँचा।
low	होचो;कम	कुर्सी होचो छ।
luck	भाग्य	तिम्रो परीक्षाका लागि शुभकामना।
lucky	भाग्यमानी	तिमी आज भाग्यमानी छौ।
mail	डाक;चिठी	मैले आज बिहान चिठी पाएँ।
major	प्रमुख	यो प्रमुख समस्या हो।
male	पुरुष;भाले	भाले चरा चम्किलो छ।
manage	व्यवस्थापन गर्नु;सक्नु	के तिमी यो काम गर्न सक्छौ।
manager	प्रबन्धक	प्रबन्धक व्यस्त छ।
manner	तरिका;आचरण	विनम्र तरिकाले बोल।
mark	चिन्ह लगाउनु	आफ्नो उत्तर स्पष्ट चिन्ह लगाऊ।
marry	विवाह गर्नु	उनीहरू जूनमा विवाह गर्नेछन्।
material	सामग्री	यो सामग्री नरम लाग्छ।
mathematics	गणित	गणित मेरो मनपर्ने विषय हो।
maths	गणित	गणित मलाई गाह्रो लाग्छ।
matter	महत्त्व राख्नु;विषय	यसले महत्त्व राख्दैन।
may modal	सक्नु;हुन सक्छ	तिमी अहिले जान सक्छौ।
media	मिडिया	मिडियाले कथा समेट्यो।
medical	चिकित्सासम्बन्धी	उनलाई चिकित्सासम्बन्धी सहयोग चाहिन्छ।
medicine	औषधि	यो औषधि खाजापछि खाऊ।
memory	स्मृति	मेरो स्मृति राम्रो छ।
mention	उल्लेख गर्नु	मेरो नाम उल्लेख नगर।
metal	धातु	गेट धातुको छ।
method	विधि	यो विधि राम्रोसँग काम गर्छ।
middle	बीच	बीचमा उभिऊ।
might modal	हुन सक्छ	पछि पानी पर्न सक्छ।
mind	मन;विचार	मैले आफ्नो विचार फेरेँ।
mine (belongs to me)	मेरो	यो किताब मेरो हो।
mirror	ऐना	ऐनामा हेर।
missing	हराएको	मेरा साँचाहरू हराएका छन्।
mobile	मोबाइल	मेरो मोबाइल टेबलमा छ।
monkey	बाँदर	बाँदर रूखमा चढ्यो।
moon	चन्द्रमा	चन्द्रमा उज्यालो छ।
mostly	प्रायः	कक्षा प्रायः शान्त छ।
motorcycle	मोटरसाइकल	ऊ मोटरसाइकल चढ्छ।
movement	चाल;गतिविधि	मैले रूखहरूमा चाल देखेँ।
musical	संगीतमय	यो संगीतमय चलचित्र हो।
musician	संगीतकार	संगीतकारले गितार बजाए।
myself	म आफैँ	मैले यो आफैँ बनाएँ।
narrow	साँघुरो	बाटो साँघुरो छ।
national	राष्ट्रिय	आज राष्ट्रिय बिदा हो।
nature	प्रकृति	म प्रकृतिलाई माया गर्छु।
nearly	करिब	हामी करिब पुगिसक्यौँ।
necessary	आवश्यक	के यो आवश्यक छ।
neck	घाँटी	मेरो घाँटी दुख्छ।
neither	दुवै होइन	दुवै उत्तर सही छैन।
nervous	आत्तिएको	उनी आत्तिएकी छिन्।
network	सञ्जाल	सञ्जाल बन्द छ।
noise	होहल्ला;आवाज	मैले चर्को आवाज सुनेँ।
noisy	होहल्लायुक्त	सडक होहल्लायुक्त छ।
none	कुनै पनि होइन	उनीहरूमध्ये कुनै पनि आएनन्।
normal	सामान्य	यो सामान्य हो।
normally	सामान्यतया	म सामान्यतया बिहानै उठ्छु।
notice	ध्यान दिनु;सूचना	के तिमीले संकेत देख्यौ।
novel	उपन्यास	उनले उपन्यास लेखिन्।
nowhere	कतै पनि होइन	बस्न कतै ठाउँ छैन।
nut	बदाम;गिरी	बदाम कडा छ।
ocean	महासागर	महासागर गहिरो छ।
offer	प्रस्ताव	मैले प्रस्ताव स्वीकार गरेँ।
officer	अधिकारी	अधिकारीले मेरो टिकट जाँच्यो।
oil	तेल	तावामा तेल थप।
onto	माथि	यसलाई तख्तामा राख।
opportunity	अवसर	यो राम्रो अवसर हो।
option	विकल्प	सबैभन्दा राम्रो विकल्प छान।
ordinary	साधारण	यो साधारण दिन थियो।
organization	संस्था	संस्थाले विद्यार्थीलाई सहयोग गर्छ।
organize	व्यवस्थित गर्नु	कृपया फाइलहरू व्यवस्थित गर।
original	मौलिक;मूल	मूल रसिद राख।
ourselves	हामी आफैँ	हामीले रातको खाना आफैँ पकायौँ।
oven	ओभन	ओभन तातो छ।
owner	मालिक	मालिकले पसल खोले।
pack	प्याक गर्नु	अहिले आफ्नो झोला प्याक गर।
pain	दुखाइ	मलाई ढाडमा दुखाइ छ।
painter	चित्रकार;रङ लगाउने	चित्रकारले भित्ता पूरा गर्‍यो।
palace	दरबार	दरबार पुरानो छ।
pants	पाइन्ट	यी पाइन्ट धेरै लामो छन्।
parking	पार्किङ	यहाँ पार्किङ कठिन छ।
particular	विशेष	मलाई विशेष किताब चाहिन्छ।
pass	पास गर्नु;दिनु	मलाई नुन देऊ।
passenger	यात्री	प्रत्येक यात्रीलाई टिकट चाहिन्छ।
patient	धैर्यवान;बिरामी	बालबालिकासँग धैर्यवान होऊ।
pattern	ढाँचा	यो ढाँचा सरल छ।
peace	शान्ति	हामी सबै शान्ति चाहन्छौँ।
penny	सानो सिक्का	मैले सानो सिक्का भेटेँ।
per	प्रति	टिकट प्रति व्यक्ति दस डलर पर्छ।
per cent	प्रतिशत	पाँच प्रतिशत सानो हो।
perform	प्रदर्शन गर्नु	संगीत समूह आज राति प्रदर्शन गर्नेछ।
perhaps	सायद	सायद उनी घरमा छिन्।
permission	अनुमति	पहिले अनुमति माग।
personality	व्यक्तित्व	उसको मैत्रीपूर्ण व्यक्तित्व छ।
pet	पाल्तु जनावर	मेरो पाल्तु जनावर बिरालो हो।
petrol	पेट्रोल	कारलाई पेट्रोल चाहिन्छ।
physical	शारीरिक	शारीरिक व्यायामले स्वास्थ्यमा मद्दत गर्छ।
physics	भौतिक विज्ञान	भौतिक विज्ञान कठिन छ।
pick	छान्नु	एउटा कार्ड छान।
pilot	पाइलट	पाइलटले स्पष्ट बोल्यो।
planet	ग्रह	पृथ्वी ग्रह हो।
plastic	प्लास्टिक	यो बोतल प्लास्टिकको हो।
plate	थाल	थालमा खाना राख।
platform	प्लाटफर्म	दोस्रो प्लाटफर्ममा पर्ख।
pleased	खुसी	तिमीलाई भेटेर म खुसी छु।
pocket	खल्ती	टिकट मेरो खल्तीमा छ।
polite	विनम्र	सबैसँग विनम्र होऊ।
pollution	प्रदूषण	प्रदूषणले महासागरलाई हानि गर्छ।
pop	पप संगीत	मलाई पप संगीत मन पर्छ।
population	जनसंख्या	जनसंख्या बढिरहेको छ।
position	स्थिति;स्थान	आफ्नो स्थिति बदल।
possession	सम्पत्ति	यो औँठी मेरो सम्पत्ति हो।
possibility	सम्भावना	पानी पर्ने सम्भावना छ।
poster	पोस्टर	पोस्टर भित्तामा टाँस।
power	शक्ति;बिजुली	कम्प्युटरलाई बिजुली चाहिन्छ।
predict	भविष्यवाणी गर्नु	हामी मौसम भविष्यवाणी गर्न सक्दैनौँ।
president	राष्ट्रपति	राष्ट्रपतिले भाषण दिए।
prevent	रोक्नु	रोग रोक्न हात धोऊ।
print	छाप्नु	कागजात छाप।
printer	प्रिन्टर	प्रिन्टर बिग्रिएको छ।
prison	जेल	ऊ जेल गयो।
prize	पुरस्कार	उनले पुरस्कार जितिन्।
process	प्रक्रिया	प्रक्रियामा समय लाग्छ।
produce	उत्पादन गर्नु	खेतीहरूले खाना उत्पादन गर्छन्।
professional	व्यावसायिक;पेशेवर	उनी पेशेवर नर्तकी हुन्।
professor	प्राध्यापक	प्राध्यापकले प्रश्नहरूको उत्तर दिए।
profile	प्रोफाइल	आफ्नो प्रोफाइल अद्यावधिक गर।
program	कार्यक्रम	कार्यक्रम अहिले सुरु हुन्छ।
progress	प्रगति	हामीले आज प्रगति गर्‍यौँ।
promise	वाचा	आफ्नो वाचा पूरा गर।
pronounce	उच्चारण गर्नु	कृपया यो शब्द उच्चारण गर।
protect	सुरक्षा गर्नु	आफ्ना आँखाको सुरक्षा गर।
provide	प्रदान गर्नु	उनीहरूले निःशुल्क पानी प्रदान गर्छन्।
pub	मदिरालय	हामी मदिरालयमा भेट्यौँ।
public	सार्वजनिक	पार्क सार्वजनिक छ।
publish	प्रकाशित गर्नु	उनीहरूले पत्रिका प्रकाशित गर्छन्।
pull	तान्नु	ढोका तान।
purpose	उद्देश्य	उद्देश्य के हो।
push	धकेल्नु	बटन धकेल।
quality	गुणस्तर	गुणस्तर उच्च छ।
quantity	मात्रा	मात्रा जाँच।
queen	रानी	रानीले हात हल्लाइन्।
quietly	शान्तसँग	शान्तसँग बोल।
race (competition)	दौड प्रतियोगिता	दौड प्रतियोगिता चाँडै सुरु हुन्छ।
railway	रेलमार्ग	रेलमार्ग बन्द छ।
raise	उठाउनु	आफ्नो हात उठाऊ।
rate	दर	होटलको दर उच्च छ।
rather	अलि	म अलि थाकेको छु।
reach	पुग्नु	के तिमी तख्तासम्म पुग्न सक्छौ।
react	प्रतिक्रिया दिनु	उसले कसरी प्रतिक्रिया दियो।
realize	महसुस गर्नु	मैले आफ्नो गल्ती महसुस गरेँ।
receive	प्राप्त गर्नु	के तिमीले मेरो सन्देश प्राप्त गर्‍यौ।
recent	हालसालैको	यो हालसालैको फोटो हो।
recently	हालसालै	म हालसालै यहाँ सरेँ।
reception	स्वागत समारोह	स्वागत समारोह सोमबार छ।
recipe	परिकार विधि	यो परिकार विधि सजिलो छ।
recognize	चिन्नु	म त्यो गीत चिन्छु।
recommend	सिफारिस गर्नु	म यो किताब सिफारिस गर्छु।
record	अभिलेख	भुक्तानीको अभिलेख राख।
recording	रेकर्डिङ	रेकर्डिङ स्पष्ट सुनिन्छ।
recycle	पुनःप्रयोग गर्नु	कागज र प्लास्टिक पुनःप्रयोग गर।
reduce	घटाउनु	तातो घटाऊ।
refer	सन्दर्भ लिनु	दोस्रो पृष्ठको सन्दर्भ लिनुहोस्।
refuse1	अस्वीकार गर्नु	म झूट बोल्न अस्वीकार गर्छु।
region	क्षेत्र	यो क्षेत्र चिसो छ।
regular	नियमित	ऊ नियमित ग्राहक हो।
relationship	सम्बन्ध	उनीहरूको सम्बन्ध बलियो छ।
remove	हटाउनु	आफ्ना जुत्ता हटाऊ।
repair	मर्मत गर्नु	आज साइकल मर्मत गर।
replace	बदल्नु	पुरानो ब्याट्री बदल।
reply	जवाफ दिनु	कृपया चाँडै जवाफ देऊ।
reporter	रिपोर्टर	रिपोर्टरले नोट लेख्यो।
request	अनुरोध	मैले अनुरोध गरेँ।
research	अनुसन्धान गर्नु	हामी स्थानीय इतिहास अनुसन्धान गर्छौँ।
researcher	अनुसन्धाता	अनुसन्धाताले तथ्यांक जाँच्यो।
respond	प्रतिक्रिया दिनु	कृपया आज प्रतिक्रिया देऊ।
response	प्रतिक्रिया	उनको प्रतिक्रिया छिटो थियो।
rest (remaining part)	बाँकी भाग	बाँकी भाग पछि खाऊ।
rest (sleep/relax)	आराम गर्नु	तिमीलाई आराम गर्नुपर्छ।
review	समीक्षा गर्नु	आज राति आफ्ना नोट समीक्षा गर।
ring1	औँठी	उनले सुनको औँठी लगाइन्।
ring2	फोन गर्नु	खाजापछि मलाई फोन गर।
rise	बढ्नु	मूल्य हरेक वर्ष बढ्छ।
rock (stone)	ढुंगा	ढुंगा भारी छ।
