source_headword	ZH	example_ZH
educator	教育家 / 教师	这位教育工作者设计了一门新课程。
effectiveness	有效性	这项研究测量了疫苗的有效性。
efficiency	效率	更好的软件提高了效率。
ego	自我 / 自尊心	他的自负在工作中引起了问题。
elaborate	精心制作的 / 详尽的	这套精心制作的服装花了几个星期。
electoral	选举的	选举制度去年改变了。
elevate	提升 / 举起	该奖项将提升她的知名度。
eligible	有资格的	只有居民有资格享受折扣。
elite	精英	精英们在一所私立学院接受训练。
embark	着手 / 从事	他们将开始一段漫长的旅程。
embarrassment	尴尬 / 难堪	他用笑来掩饰自己的尴尬。
embassy	大使馆	大使馆发布了新的旅行建议。
embed	嵌入 / 派驻	记者将随军采访该部队。
embody	体现 / 象征	这座雕像似乎体现了勇气。
emergence	出现 / 浮现	电话的出现改变了日常生活。
empirical	经验主义的 / 实证的	这篇论文依赖于实证证据。
empower	授权 / 使能够	教育可以赋予当地社区力量。
enact	制定 / 颁布	议会投票决定颁布这项改革。
encompass	包含 / 围绕	这门课程将涵盖现代史。
encouragement	鼓励	她的鼓励帮助他坚持了下去。
encouraging	令人鼓舞的	早期结果看起来令人鼓舞。
endeavour	努力 / 尝试	救援是一项艰巨的任务。
endless	无尽的	沙漠似乎一望无际。
endorse	赞同 / 支持	工会拒绝支持该候选人。
endorsement	赞同 / 认可	他的支持推动了她的竞选活动。
endure	忍受 / 忍耐	植物能忍受严冬。
enforce	执行 / 强迫	警察执行限速规定。
enforcement	执行 / 强制	更严格的执法减少了非法倾倒。
engagement	参与 / 参与度	这学期学生的参与度有所提高。
engaging	迷人的 / 吸引人的	演讲者作了引人入胜的演讲。
enquire	询问 / 打听	请在前台询问。
enrich	使丰富 / 充实	旅行可以丰富你的理解。
enrol	登记 / 注册	学生必须在九月前注册。
ensue	跟着发生 / 接着发生	公告发布后可能会出现混乱。
enterprise	企业 / 公司	这家企业雇佣了当地艺术家。
enthusiast	狂热者 / 爱好者	每个自行车爱好者都知道这条路线。
entitle	给…权利 / 授权	这张票将使您有权进入。
entity	实体	该公司是一个独立的法律实体。
epidemic	流行病 / 传染病	这种流行病蔓延到了几个地区。
equality	平等	这场运动为平等而战。
equation	方程式 / 等式	该方程式包含两个未知数。
erect	建立 / 竖立	工人们将竖立一道新栅栏。
escalate	逐步升级	冲突可能会迅速升级。
essence	本质 / 精华	这首诗捕捉到了童年的本质。
establishment	机构 / 统治集团	统治集团反对这项改革。
eternal	永恒的	他们承诺了永恒的友谊。
evacuate	疏散 / 撤退	消防员帮助居民安全疏散。
evoke	唤起 / 引起	这首歌能唤起强烈的回忆。
evolutionary	进化的	这块化石展示了进化上的变化。
exaggerate	夸张 / 夸大	不要夸大你的经验。
excellence	优秀 / 卓越	学校奖励优异的学习成绩。
exceptional	异常的 / 杰出的	她展示了非凡的技能。
excess	超过 / 过量	多余的水淹没了地下室。
exclusion	排除 / 排斥	社会排斥对年轻人有害。
exclusive	独有的 / 排外的	该俱乐部提供独家访问权限。
exclusively	专有地 / 排外地	这个房间仅供员工使用。
execute	执行 / 实行	团队将认真执行该计划。
execution	执行 / 实施	战略的执行花了好几个月。
exert	施加 / 运用	你必须施加更大的压力。
exile	流放 / 充军	那位作家过着流亡生活。
expenditure	支出 / 花费	去年公共支出增加了。
experimental	实验性的	这种治疗方法仍处于实验阶段。
expire	期满 / 终止	我的护照很快就要过期了。
explicit	明确的 / 清楚的	说明很明确。
explicitly	明确地	规定明确禁止吸烟。
exploitation	剥削 / 开发	该报告揭露了对工人的剥削。
explosive	爆炸的	爆炸装置已被安全移除。
extremist	极端分子	那个极端组织失去了支持。
facilitate	促进 / 帮助	这款应用程序将促进远程学习。
faction	派系 / 派别	一派反对这位领导人。
faculty	全体教员 / 院系	全体教员批准了这项提案。
fade	褪色 / 逐渐消失	油漆在阳光下会褪色。
fairness	公平 / 公正	在每次比赛中，公平都很重要。
fatal	致命的	这起事故造成了致命的伤害。
fate	命运	没有人知道他的命运。
favourable	有利的 / 赞同的	评论是正面的。
feat	功绩 / 壮举	攀登那座山峰是一项壮举。
feminist	女权主义的	女权主义运动改变了公众辩论。
fibre	纤维	这种面包含有额外的纤维。
fierce	猛烈的 / 激烈的	猛烈的风暴损坏了屋顶。
film-maker	电影制作人	电影制作人随后回答了问题。
filter	过滤器 / 滤纸	过滤器可清除空气中的灰尘。
fine	罚款	公司缴纳了罚款。
firearm	枪支 / 武器	警官寻回了一把被盗的枪支。
fit	合身	新鞋非常合脚。
fixture	固定装置	这盏灯是永久性的固定装置。
flaw	缺陷	这个设计有一个严重的缺陷。
flawed	有缺陷的	这项有缺陷的研究给出了错误的结果。
flee	逃离	家庭不得不逃离战乱。
fleet	机队	航空公司更新了其机队。
flesh	肉	刺扎进了他的肉里。
flexibility	灵活性	远程工作提供更多的灵活性。
flourish	繁荣	小企业可以在这里繁荣发展。
fluid	液体	运动后要喝大量液体。
footage	录像	录像显示了坠机过程。
foreigner	外国人	表格询问你是否是外国人。
forge	建立	他们试图缔造一个新的联盟。
formula	公式	这个公式解决了问题。
formulate	构想	科学家构想出一种新理论。
forth	向前	河水把船向前推。
forthcoming	即将到来的	即将出炉的报告将解释一切。
foster	培养	该项目有助于培养独立性。
fragile	脆弱的	易碎的花瓶需要小心轻放。
franchise	特许经营权	这家餐厅成了一个全球特许经营品牌。
frankly	坦白地说	坦白地说，我们需要更多时间。
frustrated	沮丧的	工人们对延误感到沮丧。
frustrating	令人沮丧的	缓慢的网络连接令人沮丧。
frustration	沮丧	会议期间挫败感不断增加。
functional	实用的	旧厨房仍然可以使用。
fundraising	筹款	筹款活动下周开始。
funeral	葬礼	葬礼在星期五举行。
gallon	加仑	这个水箱能装一加仑。
gambling	赌博	赌博受法律限制。
gathering	聚会	集会和平结束。
gaze	凝视	她短暂地迎上了他的目光。
gear	装备	攀岩前收拾好安全装备。
generic	通用的	通用版本价格较低。
genocide	种族灭绝	种族灭绝留下了深重的国家创伤。
glance	瞥一眼	他快速瞥了一眼。
glimpse	瞥见	我瞥见了大海。
glorious	辉煌的	队伍享受了一场辉煌的胜利。
glory	荣耀	她梦想着奥运会的荣耀。
governance	治理	良好的治理需要透明度。
grace	优雅	她有风度地接受了失败。
grasp	理解	他未能理解这个概念。
grave (for dead person)	坟墓	坟墓上铺满了鲜花。
grave (serious)	严重的	局势依然严峻。
gravity	重力	重力将物体拉向地球。
grid	网格	地图使用简单的网格。
grief	悲痛	悲痛改变了他的整个家庭。
grin	咧嘴笑	男孩咧嘴大笑。
grind	磨碎	工人们每天早上研磨豆子。
grip	紧握	紧紧抓住绳子。
gross	总的	总收入大幅上升。
guerrilla	游击队	游击队员藏在山里。
guidance	指导	指南提供了实用的指导。
guilt	内疚	说谎后她感到内疚。
gut	直觉	在艰难的选择中相信你的直觉。
hail	赞扬	村民们称赞这位医生为英雄。
halfway	在中途	我们在半山腰停了下来。
halt	停止	火车突然停了下来。
handful	少数	少数志愿者留到了很晚。
handling	处理	正确的处理可防止损坏。
handy	方便的	这个工具维修时很方便。
harassment	骚扰	公司调查了骚扰投诉。
hardware	硬件	这家商店出售电脑硬件。
harmony	和谐	合唱团的歌声完美和谐。
harsh	严厉的	法官做出了严厉的判决。
harvest	收获	收获在九月开始。
haunt	萦绕在心头	这个记忆继续萦绕在他的心头。
hazard	危险	结冰是严重的道路安全隐患。
heighten	加剧	这场演讲可能会加剧紧张局势。
heritage	遗产	这座城堡是当地遗产的一部分。
hierarchy	等级制度	办公室的等级制度定义得很清楚。
high-profile	引人注目的	这场引人注目的审判吸引了记者。
hint	提示	她给了我一个有用的提示。
homeland	祖国	他回到了自己的祖国。
hopeful	抱有希望的	医生对康复抱有希望。
horizon	地平线	太阳消失在地平线以下。
horn	喇叭	汽车喇叭吵醒了所有人。
hostage	人质	人质回到了家。
hostile	敌对的	人群变得敌对起来。
hostility	敌意	公开的敌意结束了会谈。
humanitarian	人道主义的	人道主义任务运送了食物。
humanity	人类	人类面临共同的挑战。
humble	谦逊的	成功后她依然保持谦逊。
hydrogen	氢	氢气很容易燃烧。
identification	身份证明	入口处需要身份证明。
ideological	意识形态的	这场争端有意识形态上的根源。
ideology	意识形态	他的意识形态塑造了每一次演讲。
idiot	傻瓜	不要叫任何人白痴。
ignorance	无知	无知会散布恐惧。
imagery	意象	这首诗使用了生动的意象。
immense	巨大的	这个项目需要巨大的努力。
imminent	即将发生的	暴风雨似乎即将来临。
implementation	实施	法律的实施很缓慢。
imprison	监禁	该政权试图监禁批评者。
imprisonment	监禁	他被监禁了五年。
inability	无力	她无法集中注意力让老师们担心。
inadequate	不充分的	收容所的供暖不足。
inappropriate	不恰当的	他的玩笑不合适。
incidence	发生率	流感的发病率增加了。
inclined	倾向于...的	她倾向于同意。
inclusion	包容	学校倡导包容。
