source_headword	BG	example_BG
dispose	изхвърлям	Компанията трябва да изхвърли химикалите безопасно.
dispute	спор	Спорът продължи месеци.
disrupt	нарушавам	Шумът може да наруши концентрацията.
disruption	прекъсване	Стачката предизвика сериозно прекъсване.
dissolve	разтварям	Захарта ще се разтвори в горещия чай.
distinction	разлика	Разликата между тях е важна.
distinctive	отличителен	Тя има отличителен глас.
distort	изкривявам	Огледалото може да изкриви отражението ви.
distress	страдание	Обаждането предизвика сериозно страдание.
disturbing	смущаващ	Документалният филм показа смущаващи сцени.
divert	отклонявам	Полицията трябваше да отклони движението.
divine	божествен	Параклисът има божествена атмосфера.
doctrine	доктрина	Партията отхвърли старата доктрина.
documentation	документация	Попълнете документацията преди старта.
domain	домейн	Уебсайтът използва защитен домейн.
dominance	доминация	Доминацията на отбора продължи едно десетилетие.
donor	донор	Донорът дари кръв днес.
dose	доза	Вземете една доза след закуска.
drain	оттичам се	Водата ще се оттече в реката.
drift	нося се	Димът започна да се носи по пътя.
driving	водещ	Дъждът беше водещият фактор зад закъсненията.
drown	удавям	Никога не плувайте там, където теченията могат да ви удавят.
dual	двоен	Устройството има двойна функция.
dub	наричам	Критиците наричат града културна столица.
dumb	глупав	Това беше глупава грешка.
duo	дуо	Комедийното дуо направи турне в Европа.
eager	нетърпелив	Учениците бяха нетърпеливи да започнат.
earnings	приходи	Приходите на компанията се покачиха рязко.
ease	облекчавам	Новият път ще облекчи трафика.
echo	оттеквам	Гласът ѝ оттекваше в залата.
ecological	екологичен	Екологичното въздействие остава несигурно.
educator	педагог	Педагогът разработи нов курс.
effectiveness	ефективност	Проучването измери ефективността на ваксината.
efficiency	ефикасност	По-добрият софтуер подобри ефикасността.
ego	его	Неговото его създаде проблеми на работа.
elaborate	сложен	Сложният костюм отне седмици.
electoral	избирателен	Избирателната система се промени миналата година.
elevate	издигам	Наградата ще издигне нейния профил.
eligible	допустим	Само жителите са допустими за отстъпки.
elite	елит	Елитът тренираше в частна академия.
embark	тръгвам	Те ще тръгнат на дълго пътешествие.
embarrassment	смущение	Той се засмя, за да скрие смущението си.
embassy	посолство	Посолството издаде нови съвети за пътуване.
embed	внедрявам	Журналистът ще се внедри в частта.
embody	въплъщавам	Статуята сякаш въплъщава смелост.
emergence	поява	Появата на телефоните промени ежедневието.
empirical	емпиричен	Докладът разчита на емпирични доказателства.
empower	овластявам	Образованието може да овласти местните общности.
enact	приемам	Парламентът гласува да приеме реформата.
encompass	обхващам	Курсът ще обхване съвременната история.
encouragement	насърчение	Нейното насърчение му помогна да продължи.
encouraging	насърчителен	Ранните резултати изглеждат насърчителни.
endeavour	начинание	Спасяването беше трудно начинание.
endless	безкраен	Пустинята изглеждаше безкрайна.
endorse	подкрепям	Синдикатът отказа да подкрепи кандидата.
endorsement	подкрепа	Неговата подкрепа даде тласък на нейната кампания.
endure	издържам	Растенията могат да издържат на сурови зими.
enforce	налагам	Полицията налага ограничението на скоростта.
enforcement	прилагане	По-строгото прилагане намали нелегалното изхвърляне на отпадъци.
engagement	ангажираност	Ангажираността на студентите се подобри този семестър.
engaging	увлекателен	Лекторът изнесе увлекателна беседа.
enquire	осведомявам се	Моля, осведомете се на рецепцията.
enrich	обогатявам	Пътуванията могат да обогатят разбирането ви.
enrol	записвам се	Студентите трябва да се запишат преди септември.
ensue	последвам	След съобщението може да последва хаос.
enterprise	предприятие	Предприятието наема местни артисти.
enthusiast	ентусиаст	Всеки колоездачен ентусиаст познава този маршрут.
entitle	давам право	Билетът ще ви даде право на вход.
entity	субект	Компанията е отделен юридически субект.
epidemic	епидемия	Епидемията се разпространи в няколко региона.
equality	равенство	Движението се бореше за равенство.
equation	уравнение	Уравнението съдържа две неизвестни.
erect	издигам	Работниците ще издигнат нова ограда.
escalate	ескалирам	Конфликтът би могъл да ескалира бързо.
essence	същност	Стихотворението улавя същността на детството.
establishment	институция	Върхушката се противопостави на реформата.
eternal	вечен	Те си обещаха вечно приятелство.
evacuate	евакуирам	Пожарникарите помогнаха на жителите да се евакуират безопасно.
evoke	събуждам	Песента може да събуди силни спомени.
evolutionary	еволюционен	Фосилът показва еволюционна промяна.
exaggerate	преувеличавам	Не преувеличавайте опита си.
excellence	съвършенство	Училището награждава академичните високи постижения.
exceptional	изключителен	Тя показа изключително умение.
excess	излишък	Излишната вода наводни мазето.
exclusion	изключване	Социалното изключване вреди на младите хора.
exclusive	ексклузивен	Клубът предлага ексклузивен достъп.
exclusively	изключително	Тази стая се използва изключително от персонала.
execute	изпълнявам	Екипът ще изпълни плана внимателно.
execution	изпълнение	Изпълнението на стратегията отне месеци.
exert	упражнявам	Трябва да упражните повече натиск.
exile	изгнание	Писателят живееше в изгнание.
expenditure	разход	Публичните разходи се увеличиха миналата година.
experimental	експериментален	Лечението все още е експериментално.
expire	изтичам	Паспортът ми ще изтече скоро.
explicit	ясен	Инструкциите бяха ясни.
explicitly	изрично	Правилата изрично забраняват пушенето.
exploitation	експлоатация	Докладът разкри експлоатация на работници.
explosive	експлозивен	Експлозивното устройство беше безопасно премахнато.
extremist	екстремист	Екстремистката група загуби подкрепа.
facilitate	улеснявам	Приложението ще улесни дистанционното обучение.
faction	фракция	Една фракция се противопостави на лидера.
faculty	факултет	Факултетът одобри предложението.
fade	избледнявам	Боята ще избледнее на слънчева светлина.
fairness	справедливост	Справедливостта има значение във всяко състезание.
fatal	фатален	Катастрофата причини фатални наранявания.
fate	съдба	Никой не знаеше съдбата му.
favourable	благоприятен	Отзивът беше благоприятен.
feat	подвиг	Изкачването на този връх беше подвиг.
feminist	феминистки	Феминисткото движение промени публичния дебат.
fibre	фибри	Този хляб съдържа допълнително фибри.
fierce	жесток	Свирепата буря повреди покривите.
film-maker	режисьор	Режисьорът отговаряше на въпроси след това.
filter	филтър	Филтърът премахва праха от въздуха.
fine	глоба	Компанията плати глоба.
firearm	огнестрелно оръжие	Полицаят възстанови откраднато огнестрелно оръжие.
fit	пасване	Новите обувки пасват перфектно.
fixture	приспособление	Лампата е постоянна част от обзавеждането.
flaw	недостатък	Дизайнът има един сериозен недостатък.
flawed	погрешен	Погрешното проучване даде фалшиви резултати.
flee	бягам	Семействата трябваше да избягат от боевете.
fleet	флот	Авиокомпанията обнови своя флот.
flesh	плът	Трънът прободе плътта му.
flexibility	гъвкавост	Дистанционната работа предлага повече гъвкавост.
flourish	процъфтявам	Малките бизнеси могат да процъфтяват тук.
fluid	течност	Пийте много течности след тренировка.
footage	кадри	Кадрите показаха катастрофата.
foreigner	чужденец	Формулярът пита дали сте чужденец.
forge	създавам	Те се опитаха да създадат нов съюз.
formula	формула	Формулата реши проблема.
formulate	формулирам	Учените формулират нова теория.
forth	напред	Реката понесе лодката напред.
forthcoming	предстоящ	Предстоящият доклад ще обясни всичко.
foster	насърчавам	Програмата помага да се насърчи независимостта.
fragile	крехък	Крехката ваза изисква внимателно отношение.
franchise	франчайз	Ресторантът се превърна в глобален франчайз.
frankly	честно	Честно казано, имаме нужда от повече време.
frustrated	разочарован	Работниците бяха разочаровани от забавянето.
frustrating	разочароващ	Бавната връзка беше разочароваща.
frustration	разочарование	Фрустрацията нарасна по време на срещата.
functional	функционален	Старата кухня все още е функционална.
fundraising	набиране на средства	Набирането на средства започва следващата седмица.
funeral	погребение	Погребението се състоя в петък.
gallon	галон	Резервоарът побира един галон.
gambling	хазарт	Хазартът е ограничен от закона.
gathering	събиране	Събирането приключи мирно.
gaze	поглед	Тя задържа погледа му за кратко.
gear	екипировка	Опаковайте предпазната екипировка преди катерене.
generic	генеричен	Генеричната версия струва по-малко.
genocide	геноцид	Геноцидът остави дълбока национална травма.
glance	поглед	Той хвърли бърз поглед.
glimpse	бегъл поглед	Зърнах морето за миг.
glorious	славен	Отборът се радваше на славна победа.
glory	слава	Тя мечтаеше за олимпийска слава.
governance	управление	Доброто управление изисква прозрачност.
grace	достойнство	Тя прие поражението с достойнство.
grasp	схващам	Той не успя да схване концепцията.
grave (for dead person)	гроб	Гробът беше покрит с цветя.
grave (serious)	сериозен	Ситуацията остава сериозна.
gravity	гравитация	Гравитацията привлича обектите към Земята.
grid	мрежа	Картата използва проста мрежа.
grief	скръб	Скръбта промени цялото му семейство.
grin	усмивка	Момчето се усмихна широко.
grind	меля	Работниците мелят зърната всяка сутрин.
grip	захват	Дръжте здраво въжето.
gross	брутен	Брутният доход се повиши рязко.
guerrilla	партизанин	Партизанските бойци се криеха в хълмовете.
guidance	насока	Ръководството предоставя практически насоки.
guilt	вина	Тя изпита вина, след като излъга.
gut	интуиция	Доверете се на интуицията си при трудни избори.
hail	възхвалявам	Селяните възхваляват лекаря като герой.
halfway	наполовина	Спряхме по средата на хълма.
halt	спиране	Влакът спря внезапно.
handful	шепа	Шепа доброволци останаха до късно.
handling	обработка	Правилното боравене предотвратява повреди.
handy	полезен	Този инструмент е полезен за ремонти.
harassment	тормоз	Компанията разследва жалбите за тормоз.
hardware	хардуер	Магазинът продава компютърен хардуер.
harmony	хармония	Хорът пееше в съвършена хармония.
harsh	суров	Съдията постанови сурова присъда.
harvest	реколта	Жътвата започва през септември.
haunt	преследвам	Споменът продължаваше да го преследва.
hazard	опасност	Ледът е сериозна опасност на пътя.
heighten	засилвам	Речта може да засили напрежението.
heritage	наследство	Замъкът е част от местното наследство.
hierarchy	йерархия	Офис йерархията е ясно дефинирана.
high-profile	известен	Широко отразеният процес привлече репортери.
hint	подсказка	Тя ми даде полезна подсказка.
homeland	родина	Той се завърна в родината си.
hopeful	обнадежден	Лекарите са обнадеждени за възстановяването.
horizon	хоризонт	Слънцето изчезна под хоризонта.
horn	клаксон	Клаксонът на колата събуди всички.
hostage	заложник	Заложникът се върна у дома.
hostile	враждебен	Тълпата стана враждебна.
hostility	враждебност	Откритата враждебност сложи край на преговорите.
humanitarian	хуманитарен	Хуманитарната мисия достави храна.
humanity	човечество	Човечеството е изправено пред общи предизвикателства.
humble	скромен	Тя остана скромна след успеха.
hydrogen	водород	Водородът гори много лесно.
identification	идентификация	На входа се изисква идентификация.
ideological	идеологически	Спорът имаше идеологически корени.
ideology	идеология	Неговата идеология оформяше всяка реч.
idiot	идиот	Не наричайте никого идиот.
ignorance	невежество	Невежеството може да разпространява страх.
imagery	образност	Стихотворението използва ярка образност.
immense	огромен	Проектът изискваше огромни усилия.
imminent	неизбежен	Бурята изглеждаше неизбежна.
implementation	прилагане	Прилагането на закона беше бавно.
imprison	хвърлям в затвора	Режимът се опита да хвърли в затвора критиците.
imprisonment	лишаване от свобода	Лишаването му от свобода продължи пет години.
inability	неспособност	Неспособността ѝ да се съсредоточи тревожеше учителите.
inadequate	недостатъчен	Приютът имаше недостатъчно отопление.
inappropriate	неуместен	Неговата шега беше неуместна.
incidence	честота	Честотата на грипа се увеличи.
inclined	склонен	Тя е склонна да се съгласи.
inclusion	приобщаване	Училището насърчава приобщаването.
