source_headword	TL	example_TL
albeit	kahit na	Gumana ang plano, kahit na mabagal.
alert	alertuhan	Mangyaring alertuhan kaagad ang mga tauhan.
align	ihanay	Naka-align ang mga arrow sa kalsada.
alignment	paghahanay	Pinabuti ng paghahanay ng gulong ang paghawak sa kotse.
alike	magkatulad	Parehong manamit ang kambal tuwing katapusan ng linggo.
allegation	alegasyon	Lumabas ang alegasyon sa pahayagan.
allege	igiit	Iginigiit nila na nawala ang mga pondo.
allegedly	diumano	Diumano'y binalewala ng tsuper ang babala.
alliance	alyansa	Bumuo ng pansamantalang alyansa ang mga partido.
allocate	maglaan	Maglalaan ang lungsod ng pera para sa mga paaralan.
allocation	alokasyon	Naging hindi patas ang alokasyon ng mga upuan.
allowance	allowance	Sinasaklaw ng kanyang allowance ang tanghalian at pamasahe.
ally	kaalyado	Naging malapit na kaalyado ang Canada.
aluminium	aluminyo	Gawa sa aluminyo ang frame.
amateur	baguhan	Isang baguhang litratista ang kumuha ng larawan.
ambassador	embahador	Nakipagkita ang embahador sa mga lokal na mag-aaral.
amend	amyendahan	Bumoto ang parliyamento upang amyendahan ang batas.
amendment	amyenda	Binago ng amyenda ang isang talata.
amid	sa gitna ng	Dumating ang talumpati sa gitna ng lumalaking tensyon.
analogy	analohiya	Gumamit ang guro ng simpleng analohiya.
anchor	angkla	Nagbaba ng angkla ang bangka malapit sa isla.
angel	anghel	Nagsuot ng costume na anghel ang bata.
anonymous	anonimo	Ang reklamo ay anonimo.
apparatus	aparato	Kailangang linisin ang aparato sa laboratoryo.
appealing	kaakit-akit	Ang alok ay tila kaakit-akit sa mga mag-aaral.
appetite	gana	Pinataas ng pag-eehersisyo ang kanyang gana.
applaud	pumalakpak	Nagsimulang pumalakpak nang malakas ang madla.
applicable	naaangkop	Ang diskwento ay naaangkop ngayon.
appoint	humirang	Ang lupon ay hihirang ng isang direktor.
appreciation	pagpapahalaga	Ipinahayag niya ang pagpapahalaga sa kanilang tulong.
arbitrary	arbitraryo	Ang deadline ay tila arbitraryo sa mga tauhan.
architectural	arkitektural	Pinoprotektahan ng lungsod ang arkitektural na pamana nito.
archive	artsibo	Ang artsibo ay nag-iimbak ng mga lumang litrato.
arena	arena	Lumipat ang debate sa pampublikong arena.
arguably	masasabing	Ito ay masasabing ang kanyang pinakamahusay na nobela.
arm	sandatahan	Sasandatahan ng mga guwardiya ang convoy.
array	hanay	Ang tindahan ay nag-aalok ng hanay ng mga kagamitan.
articulate	ipahayag nang malinaw	Kaya niyang ipahayag nang malinaw ang mga kumplikadong ideya.
ash	abo	Natakpan ng abo ang kotse pagkatapos ng sunog.
aspiration	adhikain	Ang kanyang adhikain ay maging isang siruhano.
aspire	maghangad	Maraming mag-aaral ang naghahangad na mag-aral sa ibang bansa.
assassination	asasinasyon	Binago ng asasinasyon ang pulitika ng bansa.
assault	pag-atake	Nangyari ang pag-atake malapit sa istasyon.
assemble	buuin	Binuo ng mga manggagawa ang muwebles gamit ang kamay.
assembly	asembliya	Magsisimula ang asembliya sa paaralan ng alas nuwebe.
assert	igiit	Sinubukan niyang igiit ang kanyang awtoridad.
assertion	pahayag	Nagulat ang panel sa kanyang pahayag.
assurance	kasiguruhan	Nagbigay ang tagapamahala ng kasiguruhan ng suporta.
asylum	asilo	Humiling ang pamilya ng asilo sa hangganan.
atrocity	kalupitan	Inilarawan ng pelikula ang isang kalupitan noong panahon ng digmaan.
attain	makamit	Kakaunting mananakbo ang nakakamit ang ganoong bilis.
attendance	pagdalo	Bumuti ang pagdalo pagkatapos ng anunsyo.
attorney	abogado	Tinanong ng abogado ang testigo.
attribute	iugnay	Iniugnay ng mga siyentipiko ang pagtaas sa polusyon.
audit	pag-audit	Nakakita ang pag-audit ng ilang mga error.
authentic	awtentiko	Naghahain ang restawran ng awtentikong pagkaing rehiyonal.
authorize	pahintulutan	Ang mga tagapamahala lamang ang maaaring magpahintulot ng mga refund.
auto	kotse	Mabilis na nagbago ang industriya ng kotse.
autonomy	awtonomiya	Gusto ng rehiyon ng mas malaking awtonomiya.
availability	pagkakaroon	Limitado ang pagkakaroon ng mga upuan.
await	hintayin	Ilang mensahe ang naghihintay sa iyong tugon.
backdrop	likuran	Bumuo ang mga bundok ng isang dramatikong likuran.
backing	suporta	Nakakuha ng suporta mula sa mga botante ang panukala.
backup	backup	Gumagawa ng backup araw-araw ang sistema.
bail	piyansa	Nagtakda ng piyansa ang hukom sa tanghali.
ballot	balota	Nakatanggap ng balota ang bawat botante.
banner	banner	Nakasabit ang banner sa itaas ng pasukan.
bare	walang laman	May mga walang laman na dingding ang silid.
barrel	bariles	Puno ng tubig ang bariles.
bass1	bass	Malalim at mainit ang tunog ng bass.
battlefield	larangan ng digmaan	Naging alaala ang lumang larangan ng digmaan.
bay	look	Nakatayo ang nayon sa tabi ng tahimik na look.
beam	biga	Sinusuportahan ng isang bigang bakal ang bubong.
beast	halimaw	Inilalarawan ng kuwento ang isang mabangis na halimaw.
behalf	ngalan	Nagsalita siya sa ngalan ng kanyang koponan.
beloved	minamahal	Nagretiro ngayon ang minamahal na guro.
bench	bangko	Umupo sila sa isang kahoy na bangko.
benchmark	pamantayan	Naging pamantayan sa industriya ang pagsusulit.
beneath	sa ilalim	Nasa ilalim ng folder ang mga dokumento.
beneficiary	benepisyaryo	Ang kanyang anak na lalaki ang pangunahing benepisyaryo.
betray	pagtaksilan	Huwag mong pagtaksilan ang tiwala ng iyong kaibigan.
bind	ibigkis	Ibibigkis ng kasunduan ang parehong kumpanya.
biography	talambuhay	Nakabenta ng maraming kopya ang kanyang talambuhay.
bishop	obispo	Binisita ng obispo ang simbahan ng nayon.
bizarre	kakaiba	May kakaibang pagtatapos ang pelikula.
blade	talim	Pinutol ng talim ang lubid.
blast	pagsabog	Binasag ng pagsabog ang mga kalapit na bintana.
bleed	dumugo	Nagsimulang dumugo nang matindi ang sugat.
blend	ihalo	Ihalo ang sarsa hanggang sa maging pino.
bless	basbasan	Babasbasan ng pari ang bahay.
blessing	biyaya	Isang biyaya ang pagkakaroon ng suporta.
boast	ipagmalaki	Mahilig siyang magyabang tungkol sa pera.
bonus	bonus	Nakatanggap ng bonus para sa holiday ang mga empleyado.
boom	pag-unlad	Nakaranas ng pag-unlad sa konstruksyon ang lungsod.
bounce	tumalbog	Maaaring tumalbog nang napakataas ang bola.
boundary	hangganan	Ang ilog ang nagsisilbing hangganan.
bow1	pagyuko	Nagbigay ng malalim na pagyuko ang aktor.
breach	paglabag	Ibinunyag ng paglabag ang mga pribadong datos.
breakdown	pagkasira	Kasama sa ulat ang detalye ng gastos.
breakthrough	tagumpay	Isang malaking tagumpay ang natuklasan.
breed	dumami	Dumarami ang mga ibong ito sa panahon ng tagsibol.
broadband	broadband	Kailangan ng opisina ng mas mabilis na broadband.
browser	browser	I-update ang iyong browser bago mag-log in.
brutal	brutal	Ang pag-atake ay brutal at biglaan.
buck	dolyar	Nagkakahalaga ng sampung dolyar ang tiket.
buddy	kaibigan	Naghintay sa labas ang kanyang kaibigan.
buffer	pananggalang	Lumilikha ang mga puno ng pananggalang sa ingay.
bulk	bulto	Bumili sila ng bigas nang bultuhan.
burden	pabigat	Naging isang mabigat na pasanin ang utang.
bureaucracy	burukrasya	Inantala ng burukrasya ang permit.
burial	libing	Naganap ang libing sa madaling araw.
burst	pumutok	Maaaring pumutok ang tubo sa ilalim ng presyon.
cabinet	gabinete	Inaprubahan ng gabinete ang plano.
calculation	kalkulasyon	Tumagal ng ilang minuto ang kalkulasyon.
canvas	canvas	Nagpinta ang pintor sa isang malaking canvas.
capability	kakayahan	May kakayahang wireless ang device.
capitalism	kapitalismo	Hinubog ng kapitalismo ang modernong ekonomiya.
capitalist	kapitalista	Ginagantimpalaan ng sistemang kapitalista ang pribadong pamumuhunan.
cargo	kargamento	Nagdala ang barko ng kargamentong medikal.
carriage	bagon	Halos walang laman ang bagon ng tren.
carve	ukitin	Uukitin niya nang maingat ang kahoy.
casino	casino	Nagbukas ang casino malapit sa hotel.
casualty	nasawi	Nagdulot ng isang nasawi ang pagbangga.
catalogue	katalogo	Nakalista sa katalogo ang bawat produkto.
cater	magsilbi	Maaaring magsilbi ang restawran sa malalaking kaganapan.
cattle	baka	Nanginain ang mga baka malapit sa ilog.
caution	pag-iingat	Mag-ingat sa mga nagyeyelong kalsada.
cautious	maingat	Nananatiling maingat ang mga mamumuhunan ngayong linggo.
cease	tumigil	Titigil na sa produksyon ang pabrika sa lalong madaling panahon.
cemetery	sementeryo	Tatanawin ng sementeryo ang dagat.
chamber	silid	Tahimik ang silid habang bumuboto.
chaos	kaguluhan	Nagdulot ng kaguluhan sa paliparan ang pagkaantala.
characterize	ilarawan	Inilalarawan ng mga eksperto ang plano bilang mapanganib.
charm	alindog	May lumang alindog ang bayan.
charter	karta	Pinoprotektahan ng karta ang mga pangunahing karapatan.
chronic	talamak	Nagdurusa siya sa talamak na pananakit ng likod.
chunk	piraso	Hatiin ang keso sa isang malaking piraso.
circulate	ikalat	Pakikalat ang agenda ngayon.
circulation	sirkulasyon	Biglang bumagsak ang sirkulasyon ng pahayagan.
citizenship	pagkamamamayan	Nag-aplay siya para sa pagkamamamayang Pranses.
civic	sibiko	Dumalo sa pulong ang mga lider sibiko.
civilian	sibilyan	Ilang tahanan ng sibilyan ang napinsala.
clarity	linaw	Nagdagdag ng linaw sa ulat ang diagram.
clash	sagupaan	Nagsimula ang sagupaan pagkatapos ng martsa.
classification	klasipikasyon	Nakadepende ang klasipikasyon sa laki.
cling	kumapit	Kumakapit sa balat ang basang damit.
clinical	klinikal	Magsisimula ang klinikal na pagsubok sa susunod na buwan.
closure	pagtatapos	Gusto ng pamilya ng pagtatapos pagkatapos ng kaso.
cluster	kumpol	May isang kumpol ng mga bahay sa malapit.
coalition	koalisyon	Nawala ng koalisyon ang mayorya nito.
coastal	baybayin	Naghanda ang mga nayon sa baybayin para sa pagbaha.
cocktail	cocktail	Umorder siya ng fruit cocktail.
cognitive	kognitibo	Bumabuti ang mga kasanayang kognitibo sa pamamagitan ng pagsasanay.
coincide	sumabay	Sasabay ang pagdiriwang sa pagtatapos.
collaborate	makipagtulungan	Nakikipagtulungan ang mga koponan sa software.
collaboration	pakikipagtulungan	Nagbunga ng magagandang resulta ang kanilang pakikipagtulungan.
collective	sama-sama	Ang desisyon ay isang sama-samang pagsisikap.
collision	banggaan	Ang banggaan ay humarang sa highway.
colonial	kolonyal	Ang gusali ay may kolonyal na arkitektura.
columnist	kolumnista	Pinuna ng kolumnista ang patakaran.
combat	labanan	Nagsanay ang mga sundalo para sa labanan.
commence	magsimula	Ang seremonya ay magsisimula sa tanghali.
commentary	komentaryo	Ang komentaryo sa laban ay masigla.
commentator	komentarista	Ipinaliwanag ng komentarista ang desisyon.
commerce	komersyo	Ang online na komersyo ay mabilis na lumago.
commissioner	komisyoner	Inihayag ng komisyoner ang mga bagong tuntunin.
commodity	kalakal	Ang trigo ay isang mahalagang kalakal.
communist	komunista	Ang partidong komunista ay nagdaos ng pulong.
companion	kasama	Ang kanyang aso ay isang tapat na kasama.
comparable	maihahambing	Ang dalawang lungsod ay maihahambing ang laki.
compassion	habag	Nagpakita ng malaking habag ang nars.
compel	pilitin	Maaaring pilitin ng ebidensya ang isang tugon.
compelling	nakakahikayat	Gumawa ng nakakahikayat na kaso ang dokumentaryo.
compensate	magbayad-pinsala	Babayaran ng kumpanya ang mga apektadong customer.
compensation	kabayaran	Humingi ang mga manggagawa ng patas na kabayaran.
competence	kakayahan	Sinusukat ng pagsusulit ang propesyonal na kakayahan.
competent	may kakayahan	Siya ay isang inhinyero na may kakayahan.
compile	tipunin	Tinitipon ng mga mananaliksik ang data mula sa mga ospital.
complement	pupunan	Pupunan ng alak ang pagkain.
complexity	pagiging kumplikado	Ang proyekto ay may hindi inaasahang pagiging kumplikado.
compliance	pagsunod	Sinuri ng audit ang legal na pagsunod.
complication	kumplikasyon	Ang operasyon ay may isang kumplikasyon.
comply	sumunod	Dapat sumunod ang mga kumpanya sa mga regulasyon.
composition	komposisyon	Ang komposisyon ay kinabibilangan ng byolin at piano.
compromise	kompromiso	Ang kompromiso ay nagbigay-kasiyahan sa parehong panig.
compute	kalkulahin	Maaaring kalkulahin ng programa ang kabuuan.
conceal	itago	Sinubukan niyang itago ang pinsala.
concede	tanggapin	Tumanggi ang ministro na tanggapin ang pagkatalo.
conceive	isipin	Hindi sila makaisip ng mas mahusay na plano.
conception	konsepto	Binago ng pelikula ang aking konsepto sa kasaysayan.
concession	konsesyon	Nag-alok ang kumpanya ng isang konsesyon.
condemn	kundenahin	Kinundena ng mga lider ang pag-atake sa publiko.
confer	magbigay	Ang parangal ay magbibigay ng prestihiyo.
confession	pag-amin	Ang kanyang pag-amin ay ikinagulat ng korte.
configuration	pagsasaayos	Kinokontrol ng pagsasaayos ang pag-access sa network.
confine	ikulong	Ikinukulong ng mga tuntunin ang mga aso sa lugar na ito.
confirmation	kumpirmasyon	Nakatanggap kami ng kumpirmasyon sa pamamagitan ng email.
confront	harapin	Nagpasya siyang harapin ang problema.
confrontation	paghaharap	Natapos ang paghaharap nang walang karahasan.
congratulate	batiin	Tumawag ako para batiin ang aking kapatid na babae.
congregation	kongregasyon	Sama-samang kumanta ang kongregasyon.
congressional	kongresyonal	Tumagal ng ilang oras ang pandinig ng kongreso.
conquer	sakupin	Inaasahan ng koponan na sakupin ang merkado.
conscience	budhi	Hindi papayagan ng kanyang budhi ang kasinungalingan.
consciousness	kamalayan	Naapektuhan ng aksidente ang kanyang kamalayan.
consecutive	magkakasunod	Nanalo siya ng tatlong magkakasunod na laban.
consensus	pinagkasunduan	Mabilis na nakarating sa pinagkasunduan ang komite.
consent	pahintulot	Kinakailangan ang nakasulat na pahintulot.
conserve	tipirin	Tinitipid natin ang tubig tuwing may tagtuyot.
consistency	pagkakapare-pareho	Mahalaga ang pagkakapare-pareho sa pag-aaral ng wika.
consolidate	pagsamahin	Pagsasamahin ng kumpanya ang dalawang opisina.
constituency	nasasakupan	Binisita ng kandidato ang bawat nasasakupan.
constitute	bumubuo	Ang mga kababaihan ay bumubuo sa kalahati ng komite.
constitution	saligang batas	Tinitiyak ng saligang batas ang malayang pamamahayag.
constitutional	konstitusyonal	Sinuri ng korte ang mga karapatang konstitusyonal.
constraint	paghihigpit	Nilimitahan ng paghihigpit sa badyet ang proyekto.
consultation	konsultasyon	Tumagal ng dalawang linggo ang konsultasyon.
contemplate	pag-isipan	Huminto siya upang pag-isipan ang alok.
contempt	paghamak	Nagpakita siya ng paghamak sa mga tuntunin.
contend	maglaban	Ilang mga kumpanya ang naglalaban para sa kontrata.
contender	katunggali	Siya ay isang malakas na katunggali.
content2	kontento	Nakaramdam siya ng pagkakontento sa resulta.
contention	pagtatalo	Ang pangunahing pagtatalo ay tungkol sa pondo.
continually	patuloy	Patuloy na sinusuri ng system ang mga error.
contractor	kontratista	Inayos ng kontratista ang bubong.
contradiction	kontradiksyon	Ang kanyang pahayag ay naglaman ng kontradiksyon.
contrary	kasalungat	Binago ng kasalungat na ebidensya ang kaso.
contributor	nag-aambag	Siya ay isang regular na nag-aambag.
conversion	pagpapalit	Pinalitan ng pagpapalit ang mga dolyar sa euro.
convict	hatulan	Maaaring hatulan ng hurado ang suspek.
conviction	paghatol	Ang kanyang paghatol ay gumulat sa publiko.
cooperate	makipagtulungan	Mangyaring makipagtulungan sa imbestigasyon.
cooperative	matulungin	Ang mga kawani ay matulungin at kalmado.
coordinate	nag-uugnay	Sila ay nag-uugnay ng mga paghahatid tuwing umaga.
coordination	koordinasyon	Ang mahusay na koordinasyon ay nakatipid ng oras.
coordinator	tagapag-ugnay	Itinalaga ng tagapag-ugnay ang bawat gawain.
cop	pulis	Isang pulis ang nakatayo sa labas ng istasyon.
copper	tanso	Ang tubo ay gawa sa tanso.
copyright	karapatang-ari	Ang larawan ay protektado ng karapatang-ari.
correction	pagwawasto	Gumawa ng isang pagwawasto ang guro.
correlate	mag-ugnay	Ang mataas na stress ay maaaring mag-ugnay sa sakit.
correlation	ugnayan	Nakahanap ang pag-aaral ng isang malakas na ugnayan.
correspond	tumugma	Ang mga numerong ito ay tumutugma sa mga label.
correspondence	pagsusulatan	Ang kanilang pagsusulatan ay tumagal ng ilang taon.
correspondent	tagapagbalita	Nag-ulat ang tagapagbalita mula sa Cairo.
corresponding	katumbas	Ang bawat pindutan ay may katumbas na ilaw.
corrupt	tiwali	Tumanggap ng pera ang tiwaling opisyal.
corruption	katiwalian	Pinahina ng katiwalian ang tiwala ng publiko.
costly	magastos	Ang pagkakamali ay magastos para sa koponan.
councillor	konsehal	Sinagot ng konsehal ang mga tanong ng mga residente.
counselling	pagpapayo	Nakatanggap siya ng pagpapayo pagkatapos ng aksidente.
counsellor	tagapayo	Tinulungan ng tagapayo ang mga bagong mag-aaral.
counter (argue against)	kontrahin	Sinubukan niyang kontrahin ang kanyang argumento.
counterpart	katapat	Nakipagkita siya sa kanyang katapat na Hapones.
countless	hindi mabilang	Maraming hindi mabilang na mga boluntaryo ang sumali sa paghahanap.
coup	kudeta	Inalis ng kudeta ang pangulo.
courtesy	paggalang	Pinasalamatan niya sila sa kanilang paggalang.
