source_headword	IS	example_IS
nationwide	á landsvísu	Verkfallið olli seinkunum á landsvísu.
naval	flota	Flotastöðinni var lokað á síðasta ári.
neglect	vanrækja	Ekki vanrækja grunnöryggi.
neighbouring	nágranna	Nágrannabæir deildu sjúkrahúsinu.
nest	hreiður	Fuglinn byggði hreiður.
net	hreinn	Hreinn hagnaður hækkaði verulega.
newsletter	fréttabréf	Fréttabréfið kemur á hverjum föstudegi.
niche	sérsvið	Fyrirtækið fann arðbært sérsvið.
noble	göfugur	Göfug látbragð hennar heillaði alla.
nod	kinka kolli	Vinsamlegast kinkaðu kolli ef þú skilur.
nominate	tilnefna	Þau munu tilnefna nýjan formann.
nomination	tilnefning	Tilnefning hennar kom nefndinni á óvart.
nominee	tilnefndur	Tilnefndur aðili svaraði erfiðum spurningum.
nonetheless	engu að síður	Engu að síður hélt áætlunin áfram.
non-profit	sjálfseignar	Hún vinnur fyrir sjálfseignarstofnun.
nonsense	kjaftæði	Sá orðrómur er algjört kjaftæði.
noon	hádegi	Fundurinn byrjar á hádegi.
notable	athyglisverður	Skýrslan tók athyglisverðum framförum.
notably	sérstaklega	Sérstaklega lækkaði kostnaður í maí.
notify	láta vita	Vinsamlegast láttu starfsfólk vita áður en þú ferð.
notorious	alræmdur	Vegurinn er alræmdur fyrir slys.
novel	nýstárlegur	Þeir stungu upp á nýstárlegri lausn.
nursery	leikskóli	Leikskólinn sér um ungbörn.
objection	andmæli	Lögfræðingurinn kom með andmæli.
oblige	skylda	Reglur skylda ökumenn til að stöðva.
obsess	hafa þráhyggju fyrir	Ekki vera oftekinn af smávægilegum mistökum.
obsession	þráhyggja	Þráhyggja hans skaðaði vinnu hans.
occasional	tilfallandi	Búast má við tilfallandi töfum.
occurrence	atvik	Slíkt atvik er sjaldgæft.
odds	líkur	Líkur á velgengni jukust.
offering	framboð	Háskólinn stækkaði framboð sitt.
offspring	afkvæmi	Refurinn verndaði afkvæmi sitt.
operational	starfhæfur	Nýja kerfið er starfhæft.
opt	velja	Margir nemendur velja netnámskeið.
optical	sjón-	Sjónlinsan þarfnast hreinsunar.
optimism	bjartsýni	Bjartsýni sneri aftur eftir tilkynninguna.
oral	munnlegur	Munnlega prófið byrjar á morgun.
organizational	skipulagslegur	Skipulagsbreytingar hófust strax.
orientation	nýliðafræðsla	Vinnustofan fjallaði um nýliðafræðslu.
originate	eiga uppruna sinn	Margar hefðir eiga uppruna sinn í sveitaþorpum.
outbreak	faraldur	Faraldurinn breiddist út um borgina.
outing	skemmtiferð	Bekkurinn naut skemmtiferðar á safnið.
outlet	verslun	Verslunin selur föt á afslætti.
outlook	horfur	Efnahagshorfur eru enn óvissar.
outrage	hneykslan	Ákvörðunin olli hneykslan almennings.
outsider	utanaðkomandi	Sem utanaðkomandi aðili tók hún eftir vandamálum.
overlook	yfirsjást	Ekki láta smáatriði yfirsjást.
overly	of	Leiðbeiningarnar voru of flóknar.
oversee	hafa yfirumsjón með	Hún mun hafa yfirumsjón með verkefninu.
overturn	hnekkja	Dómstóllinn gæti hnekkt úrskurðinum.
overwhelm	ofþyrma	Of miklar upplýsingar geta ofþyrmt nemendum.
overwhelming	yfirgnæfandi	Sönnunargögnin voru yfirgnæfandi.
pad	hlífðarpúði	Notaðu hlífðarpúðann til að vernda hnén.
parameter	stiki	Stilltu einn stika í einu.
parental	foreldra-	Stuðningur foreldra bætti mætingu.
parish	sókn	Sóknin skipulagði góðgerðarkvöldverð.
parliamentary	þinglegur	Þingumræðan stóð yfir í margar klukkustundir.
partial	að hluta	Skýrslan gaf svar að hluta.
partially	að hluta til	Glugginn var að hluta til opinn.
passing	andlát	Andlát hennar bar brátt að.
passive	aðgerðalaus	Aðgerðalausir fjárfestar samþykktu stöðuga ávöxtun.
pastor	prestur	Presturinn heimsótti fjölskylduna.
patch	bót	Jakkinn þarf litla bót.
patent	einkaleyfi	Fyrirtækið sótti um einkaleyfi.
pathway	slóð	Slóðin leiðir til vottunar.
patrol	vakta	Lögreglan vaktar svæðið á kvöldin.
patron	styrktaraðili	Safnið þakkaði styrktaraðila sínum.
peak	toppur	Eftirspurn náði vetrartoppi.
peasant	smábóndi	Smábóndinn átti lítið land.
peculiar	einkennilegur	Herbergið var með einkennilega lykt.
persist	vera viðvarandi	Einkenni geta verið viðvarandi í marga daga.
persistent	viðvarandi	Viðvarandi hósti krefst athygli.
personnel	starfsfólk	Starfsmannaskrár eru trúnaðarmál.
petition	undirskriftalisti	Undirskriftalistinn safnaði þúsundum undirskrifta.
philosopher	heimspekingur	Heimspekingurinn efaðist um almennar forsendur.
philosophical	heimspekilegur	Umræðan varð heimspekileg.
physician	læknir	Læknirinn pantaði blóðprufur.
pioneer	brautryðjandi	Hún varð brautryðjandi í læknisfræði.
pipeline	leiðsla	Leiðslan flytur gas neðanjarðar.
pirate	sjóræningi	Sjóræningjaskipið birtist úti fyrir ströndinni.
pit	gryfja	Verkamennirnir grófu djúpa gryfju.
plea	bæn	Bæn hans um hjálp var hunsuð.
plead	játa	Hinn grunaði mun játa sök.
pledge	heita	Þeir heita stuðningi við umbætur.
plug	stinga í samband	Stingdu snúrunni í samband við innstunguna.
plunge	hrapa	Verð gæti hrapað eftir hneykslið.
pole	stöng	Fáninn hékk á stöng.
poll	skoðanakönnun	Skoðanakönnunin sýndi breyttar skoðanir.
pond	tjörn	Endurnar fóru yfir frosna tjörnina.
pop	springa	Blöðrur springa nálægt beittum hlutum.
portfolio	eignasafn	Eignasafn hennar inniheldur nokkur sprotafyrirtæki.
portray	lýsa	Kvikmyndin mun lýsa sveitalífi.
postpone	fresta	Þeir ákváðu að fresta yfirheyrslunni.
post-war	eftirstríðs-	Brýn þörf var á húsnæði eftir stríð.
practitioner	fagmaður	Fagmaðurinn útskýrði meðferðina.
preach	predika	Presturinn mun predika á sunnudaginn.
precedent	fordæmi	Úrskurðurinn setti mikilvægt fordæmi.
precision	nákvæmni	Vélin sker með nákvæmni.
predator	rándýr	Rándýrið beið nálægt ánni.
predecessor	forveri	Forveri hennar skildi eftir nákvæmar glósur.
predominantly	aðallega	Svæðið er aðallega íbúðahverfi.
pregnancy	meðganga	Meðganga krefst reglulegrar heilbrigðisþjónustu.
prejudice	fordómar	Herferðin barðist gegn kynþáttafordómum.
preliminary	bráðabirgða-	Bráðabirgðaniðurstöður líta vel út.
premier	forsætisráðherra	Forsætisráðherrann ávarpaði þingið í dag.
premise	forsenda	Rökin byggjast á rangri forsendu.
premium	aukagjald	Viðskiptavinir greiddu aukagjald fyrir hraða.
prescribe	ávísa	Læknar ávísa sýklalyfjum varlega.
prescription	lyfseðill	Lyfseðillinn rennur út í næsta mánuði.
presently	sem stendur	Hún er sem stendur ekki við.
preservation	varðveisla	Varðveisla verndar sögufrægar byggingar.
preside	stýra	Dómarinn mun stýra réttarhöldunum.
presidency	forsetatíð	Forsetatíð hans stóð yfir í átta ár.
presidential	forseta-	Forsetakosningarnar vöktu athygli.
prestigious	virtur	Hún hlaut virtan námsstyrk.
presumably	sennilega	Skrifstofan er sennilega lokuð í dag.
presume	gera ráð fyrir	Við gerum ráð fyrir að skjölin séu ósvikin.
prevail	ráða ríkjum	Heilbrigð skynsemi ætti að ráða ríkjum.
prevalence	algengi	Algengi astma jókst.
prevention	forvarnir	Forvarnir eru ódýrari en viðgerðir.
