source_headword	AZ	example_AZ
leisure	asudə vaxt	Oxumaq mənim sevimli asudə vaxt məşğuliyyətimdir.
length	uzunluq	Otağın uzunluğunu ölç.
lie2 (tell a lie)	yalan danışmaq	Valideynlərinə yalan danışma.
limit	hədd	Sürət həddi əllidir.
lip	dodaq	O, dodağını dişlədi.
liquid	maye	Su şəffaf mayedir.
literature	ədəbiyyat	O, fransız ədəbiyyatını öyrənir.
live2	canlı	Qrup dünən gecə canlı ifa etdi.
living	canlı	Canlı bitkilərə işıq lazımdır.
locate	tapmaq	Faylı tapa bilərsənmi?
located	yerləşən	Ofis şəhər mərkəzində yerləşir.
location	yer	Bu yaxşı yerdir.
lonely	tənha	Köçəndən sonra o özünü tənha hiss etdi.
loss	itki	İtki hamı üçün ağır idi.
luxury	dəbdəbə	Otel həqiqi dəbdəbə təklif edir.
mad	əsəbi	Gecikməyə görə o əsəbiləşdi.
magic	sehr	Tamaşa sehrlə dolu idi.
mainly	əsasən	Qrup əsasən tələbələrdən ibarətdir.
mall	ticarət mərkəzi	Biz ticarət mərkəzində görüşdük.
management	idarəetmə	Yaxşı idarəetmə vaxtı qənaət edir.
marketing	marketinq	Marketinq məhsulu satmağa kömək edir.
marriage	nikah	Onların nikahı otuz il davam etdi.
meanwhile	bu arada	Bu arada mən şam yeməyi bişirdim.
measure	ölçmək	Masanı diqqətlə ölç.
medium	orta	Mən orta ölçülü pizza sifariş etdim.
mental	zehni	Stress zehni sağlamlığa təsir edir.
mess	qarışıqlıq	Bu qarışıqlığı yığışdır.
mild	yumşaq	Şorbanın dadı yumşaqdır.
mine (hole in the ground)	mədən	Mədən keçən il bağlandı.
mix	qarışdırmaq	Yumurtaları südlə qarışdır.
mixture	qarışıq	Qarışıq qatılaşdı.
mood	əhval	Musiqi onun əhvalını dəyişdi.
mud	palçıq	Onun ayaqqabıları palçıqla örtülmüşdü.
murder	qətl	Qətl gecə baş verdi.
muscle	əzələ	Məşq əzələ yaradır.
mystery	sirr	Köhnə ev bir sirrdir.
nail	dırnaq	Bir dırnağım qırıldı.
narrative	təhkiyə	Romanda aydın təhkiyə var.
nation	millət	Bütün millət bayram etdi.
native	ana dili	İspan dili onun ana dilidir.
naturally	təbii şəkildə	Uşaqlar oyunla təbii şəkildə öyrənirlər.
necessarily	mütləq	Bahalı yemək mütləq daha yaxşı deyil.
needle	iynə	İynə çox itidir.
neighbourhood	məhəllə	Onlar sakit məhəllədə yaşayırlar.
net	tor	Balıqçı torunu təmir etdi.
nor	nə də	O nə gülümsədi, nə də danışdı.
northern	şimal	Onlar şimal sahilinə getdilər.
nuclear	nüvə	Müzakirə nüvə enerjisi haqqında idi.
obvious	aşkar	Cavab aşkar idi.
obviously	aşkardır	Aşkardır ki, bizə daha çox vaxt lazımdır.
occasion	münasibət	Bu xüsusi münasibətdir.
occur	baş vermək	Qəzalar hər yerdə baş verə bilər.
odd	qəribə	Bu qəribə sual idi.
official	rəsmi	Rəsmi nəticə bu gün gəldi.
old-fashioned	köhnə dəbli	Onun telefonu köhnə dəbli görünür.
operation	əməliyyat	Əməliyyat iki saat davam etdi.
organized	nizamlı	Onun masası çox nizamlıdır.
organizer	təşkilatçı	Təşkilatçı qonaqları qarşıladı.
originally	əslində	O, əslində Kanadadan gəlib.
ought modal	gərək	Sən dincəlməlisən.
ours	bizimki	Bu masa bizimkidir.
outdoor	açıq hava	Biz açıq hava mebeli aldıq.
outdoors	çöldə	Uşaqlar çöldə oynamalıdır.
package	bağlama	Bağlama bu səhər gəldi.
painful	ağrılı	Kəsik ağrılı idi.
pale	solğun	Onun üzü solğun görünürdü.
pan	tava	Əvvəl tavanı qızdır.
participate	iştirak etmək	Hamı iştirak edə bilər.
particularly	xüsusilə	Mən bu mahnını xüsusilə sevirəm.
passion	ehtiras	Musiqi onun ehtirasıdır.
path	cığır	Parkdan keçən cığırı izlə.
payment	ödəniş	Ödəniş sabah edilməlidir.
peaceful	sakit	Bağ sakitdir.
percentage	faiz	Kiçik faiz razılaşdı.
perfectly	mükəmməl	Plan mükəmməl işlədi.
performance	çıxış	Onun çıxışı əla idi.
personally	şəxsən	Şəxsən mən çaya üstünlük verirəm.
persuade	inandırmaq	Onu qoşulmağa inandıra bilərsənmi?
photographer	fotoqraf	Fotoqraf çoxlu şəkil çəkdi.
photography	fotoqrafiya	Fotoqrafiya onun sevimli hobbisidir.
pin	sancaq	Xəritəyə sancaq qoy.
pipe	boru	Boru su daşıyır.
planning	planlaşdırma	Planlaşdırma vaxt aparır.
pleasant	xoş	Biz xoş axşam keçirdik.
pleasure	zövq	Sizinlə tanış olmaq zövq idi.
plenty	çox	Bizim çox vaxtımız var.
plot	süjet	Süjeti izləmək asan idi.
plus1	üstəgəl	İki üstəgəl üç beşdir.
poem	şeir	O, qısa şeir yazdı.
poet	şair	Şair ucadan oxudu.
poetry	poeziya	O, müasir poeziyanı sevir.
poison	zəhər	Zəhəri uşaqlardan uzaq saxla.
poisonous	zəhərli	Bəzi göbələklər zəhərlidir.
policy	siyasət	Şirkət siyasətini dəyişdi.
political	siyasi	Çıxış siyasi idi.
politician	siyasətçi	Siyasətçi suallara cavab verdi.
politics	siyasət	Siyasət mürəkkəb ola bilər.
port	liman	Gəmi limana girdi.
portrait	portret	Portret zalda asılıb.
possibly	ola bilsin	O, ola bilsin gec gələcək.
pot	güldan	Bitkiyə daha böyük güldan lazımdır.
pour	tökmək	Südü yavaşca tök.
poverty	yoxsulluq	Çox ailə yoxsulluqda yaşayır.
powder	toz	Tozu suya əlavə et.
powerful	güclü	Mühərrik güclüdür.
practical	praktik	Bu praktik həll yoludur.
pray	dua etmək	Onlar hər səhər dua edirlər.
prayer	dua	O, sakit dua etdi.
prediction	proqnoz	Onun proqnozu doğru idi.
prepared	hazır	Mən imtahana hazıram.
presentation	təqdimat	Onun təqdimatı aydın idi.
press	basmaq	Düyməni bir dəfə bas.
pressure	təzyiq	Təzyiq sağlamlığına təsir edə bilər.
pretend	özünü göstərmək	Yatmış kimi özünü göstərmə.
previous	əvvəlki	Əvvəlki dərs daha asan idi.
previously	əvvəllər	Biz əvvəllər Romada yaşayırdıq.
priest	keşiş	Keşiş sakit danışdı.
primary	əsas	Sağlamlıq bizim əsas narahatlığımızdır.
prince	şahzadə	Şahzadə məktəbi ziyarət etdi.
princess	şahzadə qız	Şahzadə qız mavi paltar geydi.
printing	çap	Hesabatın çapı bir neçə dəqiqə çəkdi.
prisoner	məhbus	Məhbus gecə qaçdı.
private	şəxsi	Bu şəxsi söhbətdir.
producer	prodüser	Prodüser filmi bəyəndi.
production	istehsal	İstehsal gələn həftə başlayır.
profession	peşə	Müəllimlik hörmətli peşədir.
profit	mənfəət	Mağaza mənfəət əldə etdi.
promote	təbliğ etmək	Onlar sağlam qidalanmanı təbliğ edirlər.
proper	düzgün	Gəzinti üçün düzgün ayaqqabı geyin.
properly	düzgün	Qapını düzgün bağla.
property	əmlak	Onlar çayın yanında əmlak aldılar.
protest	etiraz	Etiraz sülhlə bitdi.
proud	qürurlu	O, oğlu ilə qürurlandı.
prove	sübut etmək	Cavabını sübut edə bilərsənmi?
punish	cəzalandırmaq	Müəllim onu cəzalandırmadı.
punishment	cəza	Cəza ədalətli görünürdü.
qualification	ixtisas	Bu iş üçün ixtisas lazımdır.
qualified	ixtisaslı	O, ixtisaslı tibb bacısıdır.
qualify	seçilmək	Komandamız seçilə bilər.
queue	növbə	Biz uzun növbədə gözlədik.
quit	tərgitmək	O, siqareti tərgitməyə qərar verdi.
quotation	sitat	Esse sitatla başlayır.
quote	sitat gətirmək	Sözlərinizdən sitat gətirə bilərəmmi?
race (people)	irq	Forma irq haqqında soruşur.
racing	yarış	At yarışı orada məşhurdur.
range	çeşid	Mağaza geniş çeşid satır.
rare	nadir	Bu quş nadirdir.
rarely	nadir hallarda	Biz nadir hallarda çöldə yemək yeyirik.
reaction	reaksiya	Onun reaksiyası məni təəccübləndirdi.
reality	reallıq	Reallıq onun xəyalından fərqli idi.
receipt	qəbz	Qəbzi saxla.
recommendation	tövsiyə	Tövsiyə üçün təşəkkür edirəm.
reference	mənbə	Sonda bir mənbə əlavə et.
reflect	əks etdirmək	Güzgü işığı əks etdirə bilər.
regularly	müntəzəm	O, müntəzəm məşq edir.
reject	rədd etmək	Onlar təklifi rədd edə bilərlər.
relate	əlaqələndirmək	Bu hekayə ilə əlaqə qura bilirəm.
related	əlaqəli	İki problem əlaqəlidir.
relation	əlaqə	Onların arasında əlaqə var.
relative	nisbi	Sürət nisbidir.
relaxed	rahat	Şamdan sonra o rahat hiss etdi.
relaxing	rahatladıcı	Musiqi rahatladıcı idi.
release	buraxmaq	Onlar filmi tezliklə buraxacaqlar.
reliable	etibarlı	Bu avtobus adətən etibarlıdır.
religion	din	Din onun üçün vacibdir.
religious	dini	Onlar dini binanı ziyarət etdilər.
remain	qalmaq	Zəhmət olmasa sakit qal.
remind	xatırlatmaq	Sabah mənə xatırlat.
remote	uzaq	Onlar uzaq kənddə yaşayırlar.
rent	kirayə	Kirayə bu gün ödənməlidir.
repeated	təkrarlanan	Təkrarlanan səhvlər işi yavaşlatdı.
represent	təmsil etmək	Ulduz ümidi təmsil edir.
require	tələb etmək	Bu iş təlim tələb edir.
reservation	bron	Mən bron etdim.
resource	resurs	Kitabxana faydalı resursdur.
respect	hörmət	Sinif yoldaşlarına hörmət et.
responsibility	məsuliyyət	Uşaq baxımı böyük məsuliyyətdir.
responsible	məsul	O, biletlərə görə məsuldur.
retire	təqaüdə çıxmaq	Atam tezliklə təqaüdə çıxacaq.
retired	təqaüdçü	O, təqaüdçü müəllimdir.
revise	yoxlamaq	Bu axşam esseni yoxla.
risk	risk	Yağış riski var.
robot	robot	Robot döşəməni təmizlədi.
roll	yumalamaq	Topu mənə tərəf yumala.
romantic	romantik	Onlar romantik şam yeməyi yedilər.
rope	ip	İpi möhkəm bağla.
rough	kələ-kötür	Yol kələ-kötür idi.
row1	sıra	Ön sırada otur.
royal	kral	Kral ailəsi gəldi.
rugby	reqbi	Biz televiziyada reqbi izlədik.
safety	təhlükəsizlik	İşdə təhlükəsizlik vacibdir.
sailor	dənizçi	Dənizçi qayığı təmir etdi.
sample	nümunə	Tibb bacısı qan nümunəsi götürdü.
sand	qum	Qum ayaqqabılarımı örtdü.
scan	skan etmək	Əvvəl sənədi skan et.
scientific	elmi	Bu elmi üsuldur.
script	sssenariy	Aktyor ssenarini oxudu.
sculpture	heykəl	Heykəl çöldə dayanır.
secondary	ikinci dərəcəli	Bu ikinci dərəcəli problemdir.
security	təhlükəsizlik	Təhlükəsizlik əməkdaşları çantalarımızı yoxladı.
seed	toxum	Toxumu torpağa ək.
sensible	ağıllı	Bu ağıllı fikirdir.
seriously	ciddi	Bu problemi ciddi qəbul et.
servant	xidmətçi	Xidmətçi qapını açdı.
set (put)	qoymaq	Stəkanı masanın üstünə qoy.
set (group)	dəst	Bu dəstə altı fincan daxildir.
setting	mühit	Hekayənin şəhər mühiti var.
sex	cins	Forma yaş və cins soruşur.
sexual	cinsi	Sinif cinsi sağlamlığı müzakirə etdi.
sharp	iti	Bu bıçaq itidir.
shelf	rəf	Kitabı rəfə qoy.
shell	qabıq	Qabıq boş idi.
shift	növbə	Mənim növbəm səkkizdə başlayır.
shine	parlamaq	Ulduzlar gecə parlayır.
shiny	parlaq	Onun ayaqqabıları parlaqdır.
shoot	çəkmək	Fotoqraf səhnəni çəkəcək.
shy	utancaq	O, yad adamlarla utancaqdır.
sight	mənzərə	Dağ gözəl mənzərə idi.
signal	siqnal	Siqnal zəif idi.
silent	səssiz	Otaq səssiz oldu.
silly	axmaq	Bu axmaq səhv idi.
similarity	oxşarlıq	Aydın oxşarlıq var.
similarly	oxşar şəkildə	İkinci plan oxşar şəkildə işləyir.
simply	sadəcə	Sadəcə bu düyməni bas.
sink	batmaq	Ağır daşlar tez batır.
slice	dilim	Mən tortdan bir dilim yedim.
slightly	bir az	Otaq bir az istidir.
smart	səliqəli	O, səliqəli pencək geydi.
smooth	hamar	Yol hamardır.
software	proqram təminatı	Proqram təminatına yeniləmə lazımdır.
soil	torpaq	Torpaq qurudur.
solid	möhkəm	Divar möhkəmdir.
southern	cənub	Onlar cənub sahilində yaşayırlar.
specifically	xüsusi olaraq	Mən xüsusi olaraq çay istədim.
spending	xərc	Hökumət xərci artdı.
spicy	ədviyyatlı	Bu karri ədviyyatlıdır.
spirit	ruh	Komanda böyük ruh göstərdi.
spoken	danışıq	Təcrübə ilə danışıq ingiliscəsi yaxşılaşır.
spot	yer	Bu yer mükəmməldir.
spread	yaymaq	Çörəyin üstünə kərə yağı yay.
stadium	stadion	Stadion dolu idi.
staff	heyət	Heyət köməksevər idi.
standard	standart	Standart yüksək idi.
statistic	statistika	Bu statistika təəccüblüdür.
statue	heykəl	Heykəl meydanda dayanır.
stick (push into/attach)	yapışdırmaq	Etiketi qutuya yapışdır.
stick (piece of wood)	çubuq	O, bir çubuq götürdü.
