source_headword	TR	example_TR
aesthetic	estetik	Odanın sakin bir estetik tarzı var.
affection	şefkat	Ailesine karşı şefkat gösterdi.
aftermath	akıbet	Fırtınanın akıbeti zorluydu.
aggression	saldırganlık	Öğretmen teneffüste saldırganlık fark etti.
agricultural	tarımsal	Tarımsal ihracat bu yıl arttı.
aide	yardımcı	Yardımcı, bakanın programını düzenledi.
albeit	gerçi	Plan işe yaradı, gerçi yavaş oldu.
alert	uyarmak	Lütfen derhal personeli uyarın.
align	hizalamak	Oklar yolla hizalanıyor.
alignment	hizalama	Tekerlek hizalaması aracın yol tutuşunu iyileştirdi.
alike	benzer	İkizler hafta sonları benzer giyinirler.
allegation	iddia	İddia gazetede yer aldı.
allege	iddia etmek	Onlar fonların kaybolduğunu iddia ediyorlar.
allegedly	iddiaya göre	Sürücü iddiaya göre uyarıyı görmezden geldi.
alliance	ittifak	Partiler geçici bir ittifak kurdular.
allocate	tahsis etmek	Şehir okullar için para tahsis edecek.
allocation	tahsis	Koltukların tahsisi adaletsizdi.
allowance	harçlık	Onun harçlığı öğle yemeğini ve ulaşımı karşılıyor.
ally	müttefik	Kanada yakın bir müttefik oldu.
aluminium	alüminyum	Çerçeve alüminyumdan yapılmıştır.
amateur	amatör	Fotoğrafı amatör bir fotoğrafçı çekti.
ambassador	büyükelçi	Büyükelçi yerel öğrencilerle buluştu.
amend	değiştirmek	Parlamento yasayı değiştirmek için oy kullandı.
amendment	yasa değişikliği	Değişiklik bir paragrafı değiştirdi.
amid	ortasında	Konuşma artan gerilimin ortasında geldi.
analogy	analoji	Öğretmen basit bir analoji kullandı.
anchor	çapa	Tekne adanın yanına çapa attı.
angel	melek	Çocuk bir melek kostümü giymişti.
anonymous	anonim	Şikayet anonimdi.
apparatus	cihaz	Laboratuvar cihazının temizlenmesi gerekiyor.
appealing	cazip	Teklif öğrencilere cazip görünüyor.
appetite	iştah	Egzersiz onun iştahını artırdı.
applaud	alkışlamak	Seyirci yüksek sesle alkışlamaya başladı.
applicable	geçerli	İndirim bugün geçerlidir.
appoint	atamak	Kurul bir müdür atayacak.
appreciation	minnettarlık	Yardımları için minnettarlığını dile getirdi.
arbitrary	keyfi	Son tarih personele keyfi geldi.
architectural	mimari	Şehir mimari mirasını koruyor.
archive	arşiv	Arşiv eski fotoğrafları saklar.
arena	arena	Tartışma kamusal arenaya taşındı.
arguably	muhtemelen	Bu muhtemelen onun en iyi romanı.
arm	silahlandırmak	Korumalar konvoyu silahlandıracak.
array	dizi	Mağaza bir dizi araç sunuyor.
articulate	açıkça ifade etmek	Karmaşık fikirleri açıkça ifade edebilir.
ash	kül	Yangından sonra arabayı kül kapladı.
aspiration	arzu	Onun arzusu cerrah olmaktır.
aspire	can atmak	Çoğu öğrenci yurt dışında okumak için can atıyor.
assassination	suikast	Suikast ülkenin siyasetini değiştirdi.
assault	saldırı	Saldırı istasyonun yakınında gerçekleşti.
assemble	monte etmek	İşçiler mobilyayı elle monte ediyorlar.
assembly	toplanma	Okul toplanması dokuzda başlıyor.
assert	kabul ettirmek	Otoritesini kabul ettirmeye çalıştı.
assertion	iddia	Onun iddiası paneli şaşırttı.
assurance	güvence	Yönetici destek güvencesi verdi.
asylum	sığınma	Aile sınırda sığınma talebinde bulundu.
atrocity	vahşet	Film savaş zamanı bir vahşeti anlattı.
attain	ulaşmak	Çok az koşucu o hıza ulaşır.
attendance	katılım	Duyurudan sonra katılım arttı.
attorney	avukat	Avukat tanığı sorguladı.
attribute	bağlamak	Bilim insanları artışı kirliliğe bağlıyor.
audit	denetim	Denetim birkaç hata buldu.
authentic	otantik	Restoran otantik yöresel yemekler sunmaktadır.
authorize	yetki vermek	Sadece yöneticiler iade için yetki verebilir.
auto	oto	Otomotiv endüstrisi hızla değişti.
autonomy	özerklik	Bölge daha fazla özerklik istiyor.
availability	bulunabilirlik	Koltukların mevcudiyeti sınırlıdır.
await	beklemek	Birkaç mesaj yanıtınızı bekliyor.
backdrop	arka plan	Dağlar çarpıcı bir arka plan oluşturdu.
backing	destek	Teklif seçmenlerden destek kazandı.
backup	yedek	Sistem her gün bir yedek oluşturur.
bail	kefalet	Yargıç öğlen vakti kefaleti belirledi.
ballot	oy pusulası	Her seçmen bir oy pusulası aldı.
banner	afiş	Afiş girişin üzerine asılmıştı.
bare	boş	Odanın duvarları boştu.
barrel	fıçı	Fıçı suyla doluydu.
bass1	bas	Bas derin ve sıcak çalıyordu.
battlefield	savaş alanı	Eski savaş alanı bir anıta dönüştü.
bay	körfez	Köy sakin bir körfezin kenarında yer alıyor.
beam	kiriş	Çelik bir kiriş çatıyı destekliyor.
beast	canavar	Hikaye vahşi bir canavarı anlatıyor.
behalf	adına	Takımı adına konuştu.
beloved	sevgili	Sevgili öğretmen bugün emekli oldu.
bench	bank	Ahşap bir bankta oturdular.
benchmark	ölçüt	Test bir endüstri ölçütü haline geldi.
beneath	altında	Belgeler klasörün altındaydı.
beneficiary	lehtar	Oğlu ana lehtardı.
betray	ihanet etmek	Arkadaşınızın güvenine ihanet etmeyin.
bind	bağlamak	Anlaşma her iki şirketi de bağlayacaktır.
biography	biyografi	Biyografisi çok sayıda kopya sattı.
bishop	piskopos	Piskopos köy kilisesini ziyaret etti.
bizarre	tuhaf	Filmin tuhaf bir sonu vardı.
blade	bıçak	Bıçak ipi kesti.
blast	patlama	Patlama yakındaki pencereleri kırdı.
bleed	kanamak	Kesik şiddetle kanamaya başladı.
blend	karıştırmak	Sosu pürüzsüz olana kadar karıştırın.
bless	kutsamak	Rahip evi kutsayacak.
blessing	lütuf	Desteğe sahip olmak bir nimetti.
boast	övünmek	Para hakkında övünmeyi sever.
bonus	prim	Çalışanlar bir tatil ikramiyesi aldı.
boom	patlama	Şehir bir inşaat patlaması yaşadı.
bounce	sekmek	Top çok yükseğe sekebilir.
boundary	sınır	Nehir sınırı belirliyor.
bow1	eğilmek	Aktör derin bir şekilde eğildi.
breach	ihlal	İhlal özel verileri ifşa etti.
breakdown	döküm	Rapor bir maliyet dökümü içerir.
breakthrough	atılım	Keşif büyük bir atılımdı.
breed	üremek	Bu kuşlar ilkbaharda ürerler.
broadband	geniş bant	Ofisin daha hızlı bir geniş banta ihtiyacı var.
browser	tarayıcı	Oturum açmadan önce tarayıcınızı güncelleyin.
brutal	acımasız	Saldırı acımasız ve ani oldu.
buck	dolar	Bilet on dolar tutuyor.
buddy	kanka	Dostu dışarıda bekliyordu.
buffer	tampon	Ağaçlar bir gürültü tamponu oluşturur.
bulk	toptan	Pirinci toptan aldılar.
burden	yük	Borç ağır bir yük haline geldi.
bureaucracy	bürokrasi	Bürokrasi izni geciktirdi.
burial	cenaze	Defin işlemi şafak vakti gerçekleşti.
burst	patlamak	Boru basınç altında patlayabilir.
cabinet	kabine	Kabine planı onayladı.
calculation	hesaplama	Hesaplama birkaç dakika sürdü.
canvas	tuval	Sanatçı büyük bir tuvale resim yaptı.
capability	yetenek	Cihazın kablosuz yeteneği var.
capitalism	kapitalizm	Kapitalizm modern ekonomiyi şekillendirdi.
capitalist	kapitalist	Kapitalist sistem özel yatırımı ödüllendirir.
cargo	kargo	Gemi tıbbi kargo taşıyordu.
carriage	vagon	Tren vagonu neredeyse boştu.
carve	oymak	Ahşabı dikkatlice oyacak.
casino	kumarhane	Kumarhane otelin yakınında açıldı.
casualty	can kaybı	Kaza bir can kaybına neden oldu.
catalogue	katalog	Katalog her ürünü listeler.
cater	hizmet vermek	Restoran büyük etkinliklere yemek sağlayabilir.
cattle	sığır	Sığırlar nehrin yakınında otluyordu.
caution	dikkat	Buzlu yollarda dikkatli olun.
cautious	temkinli	Yatırımcılar bu hafta temkinli kalıyor.
cease	durdurmak	Fabrika yakında üretimi durduracak.
cemetery	mezarlık	Mezarlık denize bakıyor.
chamber	oda	Oylama sırasında salon sessizdi.
chaos	kaos	Gecikme havaalanında kaosa neden oldu.
characterize	tanımlamak	Uzmanlar planı riskli olarak tanımlıyor.
charm	çekicilik	Kasabanın eski dünya çekiciliği var.
charter	sözleşme	Sözleşme temel hakları korur.
chronic	kronik	Kronik sırt ağrısı çekiyor.
chunk	parça	Peyniri iri bir parça kesin.
circulate	dağıtmak	Lütfen gündemi bugün dağıtın.
circulation	tiraj	Gazetenin tirajı keskin bir şekilde düştü.
citizenship	vatandaşlık	Fransız vatandaşlığına başvurdu.
civic	sivil	Toplantıya sivil liderler katıldı.
civilian	sivil	Çeşitli sivil evler hasar gördü.
clarity	netlik	Şema rapora netlik kattı.
clash	çatışma	Çatışma yürüyüşten sonra başladı.
classification	sınıflandırma	Sınıflandırma boyuta bağlıdır.
cling	yapışmak	Islak giysiler cilde yapışır.
clinical	klinik	Klinik deney önümüzdeki ay başlıyor.
closure	kapanış	Aile davadan sonra bir kapanış istedi.
cluster	küme	Yakında bir küme ev duruyordu.
coalition	koalisyon	Koalisyon çoğunluğunu kaybetti.
coastal	kıyı	Kıyı köyleri su baskınlarına hazırlandı.
cocktail	kokteyl	Bir meyve kokteyli sipariş etti.
cognitive	bilişsel	Bilişsel beceriler pratikle gelişir.
coincide	aynı zamana denk gelmek	Festival mezuniyetle aynı zamana denk gelecek.
collaborate	işbirliği yapmak	Ekipler yazılım üzerinde işbirliği yapıyor.
collaboration	işbirliği	İşbirlikleri güçlü sonuçlar üretti.
collective	kolektif	Karar ortak bir çabaydı.
collision	çarpışma	Çarpışma otoyolu kapattı.
colonial	kolonyal	Binanın kolonyal bir mimarisi var.
columnist	köşe yazarı	Köşe yazarı politikayı eleştirdi.
combat	muharebe	Askerler muharebe için eğitim aldı.
commence	başlamak	Tören öğlen başlayacak.
commentary	yorum	Maç yorumu canlıydı.
commentator	yorumcu	Yorumcu kararı açıkladı.
commerce	ticaret	Çevrimiçi ticaret hızla büyüdü.
commissioner	komiser	Komiser yeni kuralları duyurdu.
commodity	emtia	Buğday önemli bir emtiadır.
communist	komünist	Komünist parti bir toplantı yaptı.
companion	yoldaş	Köpeği sadık bir yoldaştır.
comparable	karşılaştırılabilir	İki şehir boyut olarak karşılaştırılabilir.
compassion	şefkat	Hemşire büyük bir şefkat gösterdi.
compel	zorlamak	Kanıt bir yanıt vermeye zorlayabilir.
compelling	ikna edici	Belgesel ikna edici bir iddia sundu.
compensate	telafi etmek	Şirket etkilenen müşterilere tazminat ödeyecek.
compensation	tazminat	İşçiler adil bir tazminat talep etti.
competence	yetkinlik	Test profesyonel yetkinliği ölçer.
competent	yetkin	O yetkin bir mühendistir.
compile	derlemek	Araştırmacılar hastanelerden veri derliyor.
complement	tamamlamak	Şarap yemeği tamamlayacak.
complexity	karmaşıklık	Projenin beklenmedik bir karmaşıklığı var.
compliance	uyum	Denetim yasal uyumu kontrol etti.
complication	komplikasyon	Ameliyatın bir komplikasyonu oldu.
comply	uymak	Şirketler düzenlemelere uymalıdır.
composition	kompozisyon	Kompozisyon keman ve piyano içerir.
compromise	uzlaşma	Uzlaşma her iki tarafı da memnun etti.
compute	hesaplamak	Program toplamı hesaplayabilir.
conceal	gizlemek	Hasarı gizlemeye çalıştı.
concede	kabul etmek	Bakan yenilgiyi kabul etmeyi reddetti.
conceive	tasarlamak	Daha iyi bir plan tasarlayamadılar.
conception	anlayış	Film tarih anlayışımı değiştirdi.
concession	taviz	Şirket bir taviz teklif etti.
condemn	kınamak	Liderler saldırıyı açıkça kınadı.
confer	vermek	Ödül prestij verecek.
confession	itiraf	İtirafı mahkemeyi şaşırttı.
configuration	yapılandırma	Yapılandırma ağ erişimini kontrol eder.
confine	sınırlamak	Kurallar köpekleri bu alanla sınırlar.
confirmation	onay	E-posta ile onay aldık.
confront	yüzleşmek	Sorunla yüzleşmeye karar verdi.
confrontation	yüzleşme	Çatışma şiddet olmadan sona erdi.
congratulate	tebrik etmek	Kız kardeşimi tebrik etmek için aradım.
congregation	cemaat	Cemaat birlikte şarkı söyledi.
congressional	kongre	Kongre duruşması saatlerce sürdü.
conquer	fethetmek	Takım pazarı fethetmeyi umuyor.
conscience	vicdan	Vicdanı yalanlara izin vermezdi.
consciousness	bilinç	Kaza bilincini etkiledi.
consecutive	art arda	Art arda üç maç kazandı.
consensus	fikir birliği	Komite hızla fikir birliğine vardı.
consent	rıza	Yazılı rıza gereklidir.
conserve	korumak	Kuraklık sırasında suyu koruruz.
consistency	tutarlılık	Tutarlılık dil eğitiminde önemlidir.
consolidate	pekiştirmek	Şirket iki ofisi birleştirecek.
constituency	seçim bölgesi	Aday her seçim bölgesini ziyaret etti.
constitute	oluşturmak	Kadınlar komitenin yarısını oluşturur.
constitution	anayasa	Anayasa ifade özgürlüğünü garanti eder.
constitutional	anayasal	Mahkeme anayasal hakları gözden geçirdi.
constraint	kısıtlama	Bütçe kısıtlaması projeyi sınırladı.
consultation	danışma	Danışma süreci iki hafta sürdü.
contemplate	düşünmek	Teklifi düşünmek için durakladı.
contempt	küçümseme	Kuralları küçümsediğini gösterdi.
contend	yarışmak	Birkaç firma sözleşme için yarışıyor.
contender	aday	O güçlü bir aday.
content2	hoşnut	Sonuçtan hoşnuttu.
contention	tartışma	Ana tartışma finansmanla ilgili.
continually	sürekli olarak	Sistem sürekli olarak hataları kontrol eder.
contractor	müteahhit	Müteahhit çatıyı onardı.
contradiction	çelişki	İfadesinde bir çelişki vardı.
contrary	karşıt	Karşıt kanıt davayı değiştirdi.
contributor	katkıda bulunan	O düzenli olarak katkıda bulunan biridir.
conversion	dönüşüm	Dönüşüm dolarları euroya çevirdi.
convict	mahkum etmek	Jüri şüpheliyi mahkum edebilir.
conviction	mahkumiyet	Mahkumiyeti halkı şoke etti.
cooperate	işbirliği yapmak	Lütfen soruşturmada işbirliği yapın.
cooperative	uyumlu	Personel uyumlu ve sakindi.
coordinate	koordine etmek	Her sabah teslimatları koordine ediyorlar.
coordination	koordinasyon	İyi koordinasyon zaman kazandırdı.
coordinator	koordinatör	Koordinatör her görevi atadı.
cop	polis	İstasyonun dışında bir polis duruyordu.
copper	bakır	Boru bakırdan yapılmıştır.
copyright	telif hakkı	Görüntü telif hakkı ile korunmaktadır.
correction	düzeltme	Öğretmen bir düzeltme yaptı.
correlate	ilişkilendirmek	Yüksek stres hastalıkla ilişkili olabilir.
correlation	korelasyon	Çalışma güçlü bir korelasyon buldu.
correspond	uymak	Bu sayılar etiketlere uyuyor.
correspondence	yazışma	Yazışmaları yıllarca sürdü.
correspondent	muhabir	Muhabir Kahire'den bildirdi.
corresponding	karşılık gelen	Her düğmenin karşılık gelen bir ışığı var.
corrupt	yozlaşmış	Rüşvetçi memur para kabul etti.
corruption	yolsuzluk	Yolsuzluk kamu güvenini zayıflattı.
costly	maliyetli	Hata takım için maliyetli oldu.
councillor	meclis üyesi	Meclis üyesi sakinlerin sorularını yanıtladı.
counselling	danışmanlık	Kazadan sonra psikolojik danışmanlık aldı.
counsellor	danışman	Danışman yeni öğrencilere yardım etti.
counter (argue against)	karşı çıkmak	Argümanına karşı çıkmaya çalıştı.
counterpart	mevkidaş	Japon mevkidaşıyla tanıştı.
countless	sayısız	Sayısız gönüllü aramaya katıldı.
coup	darbe	Darbe başkanı görevden aldı.
courtesy	nezaket	Nezaketleri için onlara teşekkür etti.
