source_headword	JA	example_JA
spirit	精神	チームは強い精神を示しました。
spoken	話し言葉の	話し言葉の英語は練習で上達します。
spot	場所	この場所は完璧です。
spread	塗る	パンにバターを塗ってください。
stadium	スタジアム	スタジアムは満員でした。
staff	職員	職員は親切でした。
standard	基準	基準は高かったです。
statistic	統計	この統計は意外です。
statue	像	像は広場に立っています。
stick (push into/attach)	貼る	ラベルを箱に貼ってください。
stick (piece of wood)	棒	彼は棒を拾いました。
