simplified	ET	example_ET
渴	janune	Mul on janu ja tahan vett juua.
刻	veerand tundi; hetk	Kell on veerand üheksa.
客人	külaline; klient	Täna tuli meile koju külaline.
空调	konditsioneer	Palun lülita konditsioneer sisse.
口	suu; lonks; loendussõna inimestele või loomadele	Ta jõi lonksu vett.
哭	nutma	Miks laps nutab?
裤子	püksid	Need püksid on uued.
筷子	söögipulgad	Oskan söögipulkadega süüa.
蓝	sinine	Taevas on sinine.
老	vana; eakas	Minu õpetaja ei ole vana.
离开	lahkuma; ära minema	Ta lahkub homme Pekingist.
礼物	kingitus	See on kingitus sulle.
历史	ajalugu	Mulle meeldib Hiina ajalugu.
脸	nägu	Tema nägu on väga punane.
练习	harjutama; harjutus	Palun harjuta rohkem hiina keeles rääkimist.
辆	sõidukite loendussõna	Ukse ees on takso.
聊天	vestlema; jutustama	Vestlen sõbraga.
了解	aru saama; teada saama	Tahan Hiina kultuurist aru saada.
邻居	naaber	Minu naaber on väga südamlik.
留学	välismaal õppima	Ta õpib Hiinas.
楼	hoone; korrus	Kontor on kolmandal korrusel.
绿	roheline	Kevadel läksid puud roheliseks.
马	hobune	See hobune jookseb väga kiiresti.
马上	kohe; viivitamata	Tulen kohe tagasi.
满意	rahul	Olen selle toaga väga rahul.
帽子	müts; kübar	See müts on väga ilus.
米	meeter; riis	See laud on kaks meetrit pikk.
面包	leib	Söön hommikusöögiks leiba.
明白	aru saama; selge	Saan aru, mida sa mõtled.
拿	võtma; hoidma	Palun võta mulle üks raamat.
奶奶	isapoolne vanaema; vanaema	Vanaemale meeldib muusikat kuulata.
南	lõuna	Kool asub linna lõunaosas.
难	raske	See küsimus ei ole raske.
难过	kurb	Ta on täna natuke kurb.
年级	klass; õppeaasta	Mu noorem õde käib kolmandas klassis.
年轻	noor	See direktor on väga noor.
鸟	lind	Puu otsas on lind.
努力	pingutus; pingutama	Ta õpib väga usinalt.
爬山	mäkke ronima; matkama	Sel nädalavahetusel läheme mägedesse.
盘子	taldrik; kandik	Laual on kolm taldrikut.
胖	paks; pontsakas	See koer on natuke paks.
啤酒	õlu	Isale ei meeldi õlut juua.
皮鞋	nahkkingad	See nahkkingapaar on kallis.
瓶子	pudel	Pudelis on vesi.
其实	tegelikult	Tegelikult mulle õlu ei meeldi.
其他	muu; teised	Kõik teised klassikaaslased on tulnud.
奇怪	kummaline	See heli on väga kummaline.
骑	ratsutama; sõitma	Ta sõidab iga päev jalgrattaga tööle.
起飞	õhku tõusma	Lennuk tõuseb varsti õhku.
起来	püsti tõusma; üles	Palun tõuske püsti.
清楚	selge; selgelt	Sa rääkisid väga selgelt.
请假	vaba päeva paluma	Ta on külmetunud ja peab vaba päeva paluma.
秋	sügis	Sügisel on ilm meeldiv.
裙子	seelik	See seelik on väga ilus.
然后	siis; pärast seda	Kõigepealt söön, siis teen kodutööd.
热情	südamlik; entusiastlik	Hiina sõbrad on väga südamlikud.
认为	arvama; pidama	Arvan, et see meetod on hea.
认真	tõsine; tähelepanelik	Palun kuula õpetajat tähelepanelikult.
容易	lihtne	Seda hiina märki on lihtne kirjutada.
如果	kui	Kui sajab vihma, sõidame metrooga.
伞	vihmavari	Sajab vihma; palun võta vihmavari kaasa.
上网	veebi kasutama	Õhtul kasutan veebi, et kaarti kontrollida.
声音	hääl; heli	Sinu hääl kõlab ilusalt.
生气	vihane; vihastama	Ära vihasta; ma ei teinud seda meelega.
世界	maailm	Maailm on väga suur.
试	proovima; katsetama	Tahan seda nahkkingapaari proovida.
瘦	kõhn	Ta on kõhnem kui varem.
叔叔	onu	Onu viib mind kooli.
舒服	mugav; hästi tundma	See tool on mugav.
数学	matemaatika	Matemaatikatund on huvitav.
树	puu	Maja ees on puu.
刷牙	hambaid pesema	Pesen igal hommikul hambaid.
双	paar; kahekordne	Ostsin ühe paari nahkkingi.
水平	tase; mõõt	Tema hiina keele tase on kõrge.
司机	autojuht	Autojuht ootab meid ukse juures.
太阳	päike	Täna on päike tugev.
特别	eriti; eriline	See saade on eriti huvitav.
疼	valutama; valus	Mu jalg valutab.
提高	tõstma; parandama	Rohkem harjutamist võib hiina keele taset parandada.
体育	sport; kehaline kasvatus	Mulle meeldib sporditund.
甜	magus	See jook on liiga magus.
条	pikkade esemete loendussõna; tükk	Ostsin seeliku.
同事	kolleeg	Minu kolleeg on väga hõivatud.
同意	nõustuma	Olen sinu otsusega nõus.
头发	juuksed	Tema juuksed on pikad.
突然	äkki; ootamatu	Ta lahkus äkki.
图书馆	raamatukogu	Raamatukogu ei ole täna avatud.
腿	jalg	Pärast mäkke ronimist valutavad mu jalad.
完成	lõpetama; valmis saama	Olen kodutöö juba lõpetanud.
碗	kauss	Laual on kaks kaussi.
万	kümme tuhat; palju	Selles linnas on kümme tuhat inimest.
忘记	unustama	Ära unusta passi kaasa võtta.
为	jaoks; tõttu	Mul on sinu üle hea meel.
为了	selleks et; pärast	Eksami pärast kordab ta iga päev.
位	viisakas loendussõna inimestele	See õpetaja on väga kuulus.
文化	kultuur	Tahan Hiina kultuurist aru saada.
西	lääs	Pank on koolist lääne pool.
习惯	harjumus; harjuma	Olen harjunud hommikuti treenima.
洗手间	tualett	Tualett on paremal.
洗澡	duši all käima; pesema	Käin õhtul duši all.
夏	suvi	Suvi on väga kuum.
先	kõigepealt; enne	Söö sina kõigepealt.
相信	uskuma	Usun, et ta tuleb.
香蕉	banaan	Ostsin kolm banaani.
像	sarnanema; nagu	See pilv meenutab lindu.
向	suunas; suund	Palun minge vasakule.
小心	ettevaatlik; ette vaatama	Sajab vihma; ole teel ettevaatlik.
校长	koolidirektor	Koolidirektor on kontoris.
新闻	uudised	Isa vaatab iga päev uudiseid.
新鲜	värske	Need puuviljad on väga värsked.
信用卡	krediitkaart	Kas saan krediitkaardiga maksta?
行李箱	kohver	Minu kohver on raske.
熊猫	panda	Lastele meeldib pandasid vaadata.
需要	vajama; vajalik olema	Vajan sinu abi.
选择	valima; valik	Millise särgi sa valid?
要求	nõudma; paluma	Õpetaja nõuab, et teeksime kodutööd hoolikalt.
爷爷	isapoolne vanaisa; vanaisa	Vanaisa käib iga päev pargis.
一直	kogu aeg; pidevalt	Ta on sind juba kaua oodanud.
一定	kindlasti; tingimata	Tulen kindlasti.
一共	kokku	Kui palju need raamatud kokku maksavad?
一会儿	natuke aega; hetk	Palun oota mind natuke.
一样	samasugune; võrdne	Need kaks tassi on sama suured.
以前	varem	Varem elasin Pekingis.
一般	tavaline; keskmine	Selle restorani toit on keskmine.
一边	üks pool; samal ajal	Ta kuulab muusikat, kui kodutööd teeb.
音乐	muusika	Mulle meeldib Hiina muusika.
银行	pank	Pank on suure poe kõrval.
饮料	jook	See jook maitseb hästi.
应该	peaks; pidama	Sa peaksid rohkem puhkama.
影响	mõju; mõjutama	Ilm mõjutab mängu.
用	kasutama	Kasutan kodutöö tegemiseks arvutit.
游戏	mäng	Lapsed mängivad.
有名	kuulus	See restoran on väga kuulus.
又	jälle; taas	Ta jäi täna jälle hiljaks.
遇到	kohtama; kokku sattuma	Kohtasin õpetajat tänaval.
元	jüaan; rahaühik	See sõnaraamat maksab viiskümmend jüaani.
愿意	tahtma; valmis olema	Kas oled valmis osalema?
月亮	kuu	Täna õhtul on kuu hele.
越	mida rohkem... seda rohkem...	Mida rohkem hiina keelt õpin, seda huvitavamaks see muutub.
站	jaam; seisma	Ta seisab ukse juures.
张	lapikute esemete loendussõna; leht	Palun anna mulle kaart.
长	kasvama	Lapsed kasvavad kiiresti.
着急	muretsema; närveerima	Ära muretse, lift tuleb varsti.
照顾	hoolitsema	Ta hoolitseb haige vanaema eest.
照片	foto	See foto on ilus.
照相机	fotoaparaat	Kasutan pildistamiseks fotoaparaati.
283:只	ainult	Joon ainult ühe tassi teed.
284:只	loomade loendussõna	Laua all on kass.
只有…才…	ainult kui... siis...	Ainult siis, kui hoolikalt kordad, saad eksamil hästi hakkama.
中间	keskpaik; vahel	Laud on toa keskel.
中文	hiina keel; hiina kiri	Õpin iga päev hiina keelt.
终于	lõpuks	Lõpuks jõudsime kohale.
种	liik; tüüp	Mis liiki jook sulle meeldib?
重要	tähtis	Pass on väga tähtis.
周末	nädalavahetus	Tahan nädalavahetusel parki minna.
主要	peamine; põhiline	Tema peamine hobi on muusika.
注意	tähelepanu pöörama; ette vaatama	Palun pööra õpetajale tähelepanu.
自己	ise; ennast	Tahan kodutöö ise ära teha.
自行车	jalgratas	Minu jalgratas on all.
总是	alati	Ta jõuab alati vara kontorisse.
嘴	suu	Palun ava suu.
最后	viimane; lõpuks	Lõpuks olime kõik nõus.
最近	viimasel ajal; hiljuti	Viimasel ajal olen hõivatud.
作业	kodutöö; ülesanne	Ma ei ole kodutööd veel lõpetanud.
