source_headword	NL	example_NL
outline	de schets / schetsen	Schets alsjeblieft je hoofdargument.
overall	algemeen	Het algemene resultaat was positief.
owe	verschuldigd zijn	Ik ben je een verontschuldiging verschuldigd.
pace	het tempo	Loop in een gestaag tempo.
panel	het panel	Het panel besprak het klimaatbeleid.
parliament	het parlement	Het parlement heeft de nieuwe wet goedgekeurd.
participant	de deelnemer	Elke deelnemer tekende het formulier.
partly	gedeeltelijk	De vertraging was gedeeltelijk onze schuld.
passage	de passage	Lees de passage voordat je antwoord geeft.
pension1	het pensioen	Zijn pensioen onderhoudt hem na zijn pensionering.
permanent	permanent	Ze hebben een permanente oplossing nodig.
permit	toestaan	De regels staan korte bezoeken toe.
perspective	het perspectief	Probeer haar perspectief te zien.
phase	de fase	Het project is in zijn laatste fase beland.
phenomenon	het fenomeen	Het fenomeen komt in veel culturen voor.
philosophy	de filosofie	Haar filosofie hecht waarde aan praktische actie.
pile	de stapel	Een stapel papieren bedekte het bureau.
pitch	het veld	Het team bereidde het veld zorgvuldig voor.
plain	duidelijk	De instructies waren duidelijk en direct.
pointed	scherp	Hij maakte een scherpe opmerking.
popularity	de populariteit	De zanger won online aan populariteit.
pose	vormen	De vraag kan een probleem vormen.
possess	bezitten	Weinig studenten bezitten die vaardigheid.
potential	potentieel	Het idee heeft echt potentieel.
praise	de lof	De leraar gaf eerlijke lof.
pregnant	zwanger	Ze is zes maanden zwanger.
preparation	de voorbereiding	Een goede voorbereiding vermindert stress.
presence	de aanwezigheid	Zijn aanwezigheid veranderde de sfeer.
preserve	behouden	We moeten dit historische gebouw behouden.
prime	primair	De voornaamste oorzaak was een slechte planning.
principle	het principe	De beslissing volgde een helder principe.
priority	de prioriteit	Veiligheid is onze eerste prioriteit.
privacy	de privacy	Klanten verwachten online privacy.
procedure	de procedure	De procedure duurt dertig minuten.
proof	het bewijs	We hebben bewijs nodig voordat we handelen.
proposal	het voorstel	Het voorstel heeft meer detail nodig.
propose	voorstellen	Ik stel een andere oplossing voor.
prospect	het vooruitzicht	Het vooruitzicht om te falen baarde hen zorgen.
protection	de bescherming	De helm biedt basisbescherming.
psychologist	de psycholoog	De psycholoog legde de testresultaten uit.
psychology	de psychologie	Ze studeert psychologie aan de universiteit.
publication	de publicatie	De publicatie trok publieke aandacht.
pupil	de leerling	Elke leerling kreeg een nieuw leerboek.
purchase	de aankoop	Zij kopen elke maand voorraden in.
pure	puur	Het water was puur en koud.
pursue	nastreven	Hij zal een medische carrière nastreven.
rank	de rang	Zij bekleedt een hoge rang.
rapid	snel	Het land zag een snelle groei.
rapidly	snel	De prijzen stegen dit jaar snel.
raw	rauw	De chef bereidde rauwe groenten.
realistic	realistisch	Stel een realistische deadline.
reasonable	redelijk	Dat lijkt een redelijk verzoek.
recall	zich herinneren	Ik herinner me zijn exacte woorden.
recover	herstellen	Ze zal herstellen na de behandeling.
reduction	de vermindering	De vermindering bespaarde geld.
regard	beschouwen	Veel mensen beschouwen haar als eerlijk.
regional	regionaal	Het regionale kantoor sloot vandaag.
register	zich registreren	Registreer je alstublieft voor de conferentie.
regret	betreuren	Ik heb spijt van mijn eerdere beslissing.
regulation	de regelgeving	De nieuwe regelgeving raakt alle bestuurders.
relatively	relatief	Het examen was relatief makkelijk.
relevant	relevant	Kies alleen relevante details.
relief	de opluchting	Het nieuws bracht grote opluchting.
rely	vertrouwen op	Kinderen vertrouwen op steun van volwassenen.
remark	de opmerking	Zijn opmerking beëindigde de discussie.
representative	de vertegenwoordiger	De vertegenwoordiger ontmoette lokale werknemers.
reputation	de reputatie	Het hotel heeft een goede reputatie.
requirement	de vereiste	Ervaring is een basisvereiste.
rescue	redden	Ze redden mensen uit overstromingen.
reserve	de reserve	We reserveren stoelen voor gasten.
resident	de bewoner	Elke bewoner ontving een bericht.
resist	weerstaan	Probeer de druk te weerstaan.
resolve	oplossen	Ze losten het geschil vreedzaam op.
resort	het resort	Het eilandresort opende in mei.
retain	behouden	Het bedrijf wil personeel behouden.
reveal	onthullen	Het rapport zal de waarheid onthullen.
revolution	de revolutie	De revolutie veranderde het land.
reward	de beloning	Hard werken verdient een beloning.
rhythm	het ritme	Het liedje heeft een vast ritme.
rid	zich ontdoen van	Doe die oude bestanden weg.
root	de wortel	De wortel van het probleem is geld.
rub	wrijven	Wrijf het oppervlak in met een doek.
rubber	het rubber	De rubberen afdichting voorkomt lekkages.
rural	landelijk	Veel landelijke scholen hebben steun nodig.
rush	overhaasten	Overhaast deze beslissing niet.
satellite	de satelliet	De satelliet stuurde nieuwe beelden.
satisfied	tevreden	De klant leek tevreden.
satisfy	tevredenstellen	Het antwoord stelde hem niet tevreden.
saving	de besparing	Energiebesparing verlaagt de maandelijkse kosten.
scale	de schaal	De schaal van de schade was enorm.
scheme	de regeling	De regeling helpt jonge werknemers.
scream	de schreeuw	Ze hoorden een schreeuw buiten.
sector	de sector	De technologiesector groeit.
secure	beveiligen	Sluit de deur om deze te beveiligen.
seek	zoeken	Ze zoeken advies bij experts.
select	selecteren	Selecteer de beste optie.
selection	de selectie	De winkel biedt een ruime selectie.
self	het zelf	Ze liet haar ware ik zien.
senior	senior	Een senior arts controleerde de patiënt.
sensitive	gevoelig	Dit onderwerp is erg gevoelig.
sequence	de volgorde	Volg de volgorde van de stappen.
session	de sessie	De trainingssessie begint om twaalf uur.
settle	bijleggen	Ze leggen de ruzie snel bij.
severe	ernstig	De storm veroorzaakte zware overstromingen.
shade	de schaduw	Ga in de schaduw zitten.
shadow	de schaduw	Een schaduw gleed langs het raam.
shallow	ondiep	Het meer is hier ondiep.
shame	de schaamte	Hij voelde schaamte nadat hij had gelogen.
shelter	de opvang	De school bood noodopvang.
shock	de schok	De beslissing was een schok.
shocked	geschokt	Ze keek geschokt door het nieuws.
shooting	de schietpartij	De schietpartij vond plaats vlakbij het station.
shot	het schot	Het winnende schot verraste iedereen.
significant	aanzienlijk	De ontdekking was aanzienlijk.
significantly	aanzienlijk	De kosten zijn vorig jaar aanzienlijk gestegen.
silence	de stilte	De kamer viel in stilte.
silk	de zijde	De jurk was gemaakt van zijde.
sincere	oprecht	Accepteer alstublieft mijn oprechte dank.
slave	de slaaf	De wet bevrijdde elke slaaf.
slide	glijden	Het kind ging van de glijbaan.
slight	licht	Er was een lichte vertraging.
slip	uitglijden	Glij niet uit op de natte vloer.
slope	de helling	Het pad volgt een steile helling.
solar	zonne	Het huis gebruikt zonne-energie.
somewhat	enigszins	De instructies waren enigszins verwarrend.
soul	de ziel	Muziek verhief haar ziel.
specialist	de specialist	De specialist onderzocht de patiënt.
species	de soort	Deze soort leeft in de buurt van rivieren.
spiritual	spiritueel	Ze beschreef een spirituele ervaring.
split	verdelen	Ze verdeelden de rekening eerlijk.
sponsor	sponsoren	Het bedrijf zal het evenement sponsoren.
stable	stabiel	De patiënt is stabiel.
stare	staren	Staar niet naar vreemden.
status	de status	Zijn status veranderde van de ene op de andere dag.
steady	constant	Houd een constante snelheid aan.
steel	het staal	De brug is gemaakt van staal.
steep	steil	De heuvel is steil.
sticky	plakkerig	De vloer voelt plakkerig aan.
stiff	stijf	Zijn schouder voelde stijf aan.
stock	de voorraad	De winkel heeft geen voorraad meer.
stream	de stroom	Een smal beekje doorkruist het veld.
stretch	strekken	Strek je benen na de vlucht.
strict	streng	De school heeft strenge regels.
strike	staken	De werknemers gaan mogelijk morgen staken.
struggle	worstelen	Veel gezinnen worstelen met de huur.
submit	indienen	Dien het formulier uiterlijk vrijdag in.
sum	de som	De som was hoger dan verwacht.
surgery	de operatie	De operatie duurde twee uur.
surround	omringen	Hoge bomen omringen het huis.
surrounding	omliggend	De omliggende omgeving is rustig.
suspect	verdenken	De politie verdenkt een lokale man.
swear	vloeken	Vloek niet in de klas.
sweep	vegen	Veeg de vloer voordat de gasten arriveren.
sympathy	de sympathie	Ze betuigde haar medeleven aan de slachtoffers.
tale	het verhaal	Grootmoeder vertelde een vreemd verhaal.
tank	de tank	De tank bevat schoon water.
tear1	scheuren	Scheur het document niet.
tear2	de traan	Een traan rolde over haar wang.
temporary	tijdelijk	Het kantoor is een tijdelijke schuilplaats.
therapy	de therapie	Fysiotherapie hielp bij zijn herstel.
threat	de bedreiging	Het bericht bevatte een bedreiging.
threaten	bedreigen	De storm kan de gewassen bedreigen.
thus	daarom	De weg was afgesloten; daarom wachtten we.
tone	de toon	Zijn toon klonk kalm.
tough	moeilijk	Het interview was moeilijk.
transfer	overdragen	Ze dragen elke nacht gegevens over.
transform	transformeren	Het nieuwe beleid zal de diensten transformeren.
transition	de transitie	De transitie duurde enkele maanden.
trial	het proces	Het proces begint volgende week.
tropical	tropisch	Tropische stormen komen hier vaak voor.
truly	echt	Ik waardeer je hulp echt.
trust	het vertrouwen	Het kost tijd om vertrouwen op te bouwen.
tune	de melodie	De band speelde een vrolijke melodie.
tunnel	de tunnel	De tunnel loopt onder de rivier.
ultimately	uiteindelijk	Uiteindelijk is het plan geslaagd.
unconscious	bewusteloos	De patiënt bleef bewusteloos.
unexpected	onverwacht	De vertraging was onverwacht.
unique	uniek	Elk ontwerp is uniek.
universe	het universum	Het universum breidt zich uit.
unknown	onbekend	De naam blijft onbekend.
upper	bovenste	De bovenste plank is leeg.
upwards	omhoog	De rook bewoog omhoog.
urban	stedelijk	Stedelijke gebieden hebben beter vervoer nodig.
urge	aansporen	Artsen sporen mensen aan om te sporten.
vary	variëren	De prijzen variëren per regio.
vast	uitgestrekt	De woestijn beslaat een uitgestrekt gebied.
venue	de locatie	De locatie biedt plaats aan vijfhonderd mensen.
via	via	Stuur het document via e-mail.
victory	de overwinning	Het team vierde zijn overwinning.
violence	het geweld	De stad leed onder politiek geweld.
virtual	virtueel	De vergadering is virtueel.
vision	de visie	Haar visie vormde het bedrijf.
visual	visueel	Het rapport bevat visuele voorbeelden.
vital	essentieel	Water is essentieel voor het leven.
vitamin	de vitamine	Sinaasappels bevatten vitamine C.
volume	het volume	Zet het volume zachter.
wage	het loon	De arbeiders eisten een hoger loon.
weakness	de zwakte	Het plan heeft één zwakte.
wealth	de rijkdom	Zijn rijkdom kwam van de handel.
wealthy	rijk	De rijke familie financierde het museum.
whereas	terwijl	Zij houdt van thee, terwijl ik liever koffie heb.
wherever	waar dan ook	Ga zitten waar je je comfortabel voelt.
whisper	fluisteren	Fluister alstublieft tijdens de ceremonie.
whom	wie	Wie heb je uitgenodigd?
widely	breed	Het boek wordt veel gelezen.
wildlife	het wild	Het park beschermt de lokale wilde dieren.
willing	bereid	Ze is bereid om te helpen.
wind2	wikkelen	Wikkel de kabel om de haspel.
wire	de kabel	De kabel verbindt de twee apparaten.
wise	verstandig	Dat was een verstandige keuze.
witness	de getuige	Een getuige beschreef het ongeluk.
wound	de wond	Maak de wond voorzichtig schoon.
wrap	inpakken	Pak het cadeau in papier in.
zone	de zone	Deze zone is gesloten voor verkeer.
