source_headword	HI	example_HI
application	आवेदन	कृपया आवेदन ऑनलाइन पूरा करें.
appointment	मुलाकात का समय	कल मेरी दंत चिकित्सक से मुलाकात है.
appreciate	कदर करना	मैं आपकी मदद की कदर करता हूँ.
approximately	लगभग	चलने में लगभग बीस मिनट लगते हैं.
arrest	गिरफ़्तार करना	पुलिस ने चालक को गिरफ़्तार किया.
arrival	आगमन	हमारा आगमन अपेक्षा से देर से हुआ.
assignment	कार्य	कार्य शुक्रवार तक देना है.
assist	सहायता करना	नर्सें डॉक्टर की सहायता करती हैं.
atmosphere	माहौल	कैफ़े का माहौल शांत है.
attach	संलग्न करना	फ़ाइल को अपने ईमेल से संलग्न करें.
attitude	रवैया	बैठक के बाद उसका रवैया बदल गया.
attract	आकर्षित करना	चमकीले फूल मधुमक्खियों को आकर्षित करते हैं.
attraction	आकर्षण	किला एक लोकप्रिय आकर्षण है.
authority	प्राधिकरण	स्थानीय प्राधिकरण ने सड़क की मरम्मत की.
aware	जागरूक	वह जोखिम से जागरूक है.
backwards	पीछे की ओर	वह सावधानी से पीछे की ओर चला.
bake	सेंकना	मैं हर रविवार रोटी सेंकता हूँ.
balance	संतुलन	अच्छे जूते संतुलन में मदद करते हैं.
ban	प्रतिबंध लगाना	शहर कारों पर प्रतिबंध लगाएगा.
bank (river)	नदी का किनारा	हम नदी के किनारे बैठे.
base	अड्डा	टीम अड्डे पर लौट आई.
basic	मूल	सबको मूल कंप्यूटर कौशल चाहिए.
basis	आधार	विश्वास दोस्ती का आधार है.
battery	बैटरी	मेरे फोन की बैटरी कम है.
battle	लड़ाई	लड़ाई पूरी रात चली.
beauty	सुंदरता	हमने पहाड़ों की सुंदरता देखी.
bee	मधुमक्खी	एक मधुमक्खी फूल पर बैठी.
belief	विश्वास	उसके विश्वास ने उसे साहस दिया.
bell	घंटी	स्कूल की घंटी ज़ोर से बजी.
bend	मोड़ना	उठाते समय अपने घुटने मोड़ो.
bite	काटना	कुत्ता अजनबियों को काट सकता है.
block	रोकना	गिरे पेड़ ने सड़क रोक दी.
bomb	बम	बम ने कई इमारतों को नुकसान पहुँचाया.
border	सीमा	उन्होंने रात में सीमा पार की.
bother	परेशान करना	कृपया अपनी बहन को परेशान मत करो.
branch	शाखा	तूफ़ान में एक शाखा टूट गई.
brand	ब्रांड	यह ब्रांड छात्रों में लोकप्रिय है.
brave	बहादुर	बहादुर आदमी ने बच्चे को बचाया.
breath	साँस	गहरी साँस लो.
breathe	साँस लेना	मैं इस धुएँ में साँस नहीं ले सकता.
breathing	साँस लेना	उसकी साँस धीमी थी.
bride	दुल्हन	दुल्हन ने सफेद पोशाक पहनी.
bubble	बुलबुला	बुलबुला गिलास के ऊपर तैरा.
bury	दफनाना	उन्होंने डिब्बे को रेत में दफनाया.
calm	शांत	परीक्षा के दौरान शांत रहो.
campaign	अभियान	अभियान ने स्कूलों के लिए धन जुटाया.
campus	परिसर	छात्र परिसर के पास रहते हैं.
candidate	उम्मीदवार	हर उम्मीदवार ने तीन सवालों के जवाब दिए.
cap	टोपी	उसने बेसबॉल टोपी पहनी.
captain	कप्तान	कप्तान ने टीम से बात की.
careless	लापरवाह	लापरवाह गलती ने हमारा समय लिया.
category	श्रेणी	सही श्रेणी चुनो.
ceiling	छत	छत को सफेद रंगा गया.
celebration	उत्सव	उत्सव पूरी शाम चला.
central	केंद्रीय	होटल का स्थान केंद्रीय है.
ceremony	समारोह	समारोह दोपहर में शुरू हुआ.
chain	चेन	उसने चाँदी की चेन पहनी.
challenge	चुनौती	यह परियोजना असली चुनौती है.
champion	चैंपियन	चैंपियन ने अपने कोच को धन्यवाद दिया.
channel	चैनल	कृपया चैनल बदलो.
chapter	अध्याय	आज रात अगला अध्याय पढ़ो.
charge	शुल्क	बच्चों के लिए कोई शुल्क नहीं है.
cheat	नकल करना	परीक्षा में नकल मत करो.
cheerful	प्रसन्न	वह आज सुबह प्रसन्न लगी.
chemical	रासायनिक	रासायनिक गंध तेज थी.
chest	छाती	दौड़ने के बाद उसकी छाती दुखी.
childhood	बचपन	मुझे अपना बचपन का घर याद है.
claim	दावा करना	वे दावा करते हैं कि उत्पाद सुरक्षित है.
clause	उपवाक्य	यह उपवाक्य अर्थ बदलता है.
click	क्लिक करना	नीले बटन पर क्लिक करो.
client	ग्राहक	ग्राहक ने और विवरण माँगे.
cloth	कपड़ा	इस कपड़े से मेज़ पोंछो.
clue	सुराग	सुराग ने हमें इसे हल करने में मदद की.
coal	कोयला	पुरानी ट्रेन कोयला इस्तेमाल करती थी.
coin	सिक्का	उसने फ़र्श पर सिक्का पाया.
collection	संग्रह	उसका टिकट संग्रह बड़ा है.
coloured	रंगीन	उसने रंगीन स्कार्फ पहना.
combine	मिलाना	आटा और पानी मिलाओ.
commercial	विज्ञापन संबंधी	विज्ञापन विराम पाँच मिनट चला.
commit	प्रतिबद्ध होना	हमें योजना के प्रति प्रतिबद्ध होना चाहिए.
communication	संचार	अच्छा संचार गलतियाँ रोकता है.
comparison	तुलना	यह तुलना उपयोगी है.
competitive	प्रतिस्पर्धी	बाज़ार बहुत प्रतिस्पर्धी है.
competitor	प्रतिद्वंद्वी	हमारे मुख्य प्रतिद्वंद्वी ने कीमतें घटाईं.
complaint	शिकायत	उसने शोर के बारे में शिकायत की.
complex	जटिल	निर्देश बहुत जटिल हैं.
concentrate	ध्यान लगाना	संगीत बजते समय मैं ध्यान नहीं लगा सकता.
conclude	समाप्त करना	हम बैठक अभी समाप्त करते हैं.
conclusion	निष्कर्ष	उसका निष्कर्ष उचित लगा.
confident	आत्मविश्वासी	साक्षात्कार से पहले वह आत्मविश्वासी थी.
confirm	पुष्टि करना	कृपया अपना ईमेल पता पुष्टि करें.
confuse	भ्रमित करना	ये दो नाम मुझे भ्रमित करते हैं.
confused	भ्रमित	मैं नक्शे से भ्रमित महसूस कर रहा था.
connection	कनेक्शन	इंटरनेट कनेक्शन धीमा है.
consequence	परिणाम	नींद न लेने का परिणाम होता है.
consist	से बना होना	भोजन तीन पकवानों से बना है.
consume	उपभोग करना	बड़ी कारें अधिक ईंधन उपभोग करती हैं.
consumer	उपभोक्ता	उपभोक्ता स्पष्ट जानकारी चाहता है.
contact	संपर्क	दोपहर के बाद मुझसे संपर्क करो.
container	डिब्बा	सूप को डिब्बे में रखो.
content1	सामग्री	पाठ्यक्रम की सामग्री उपयोगी है.
continuous	लगातार	मशीन ने लगातार शोर किया.
contrast	विरोधाभास	उनके बीच विरोधाभास स्पष्ट है.
convenient	सुविधाजनक	स्टेशन बहुत सुविधाजनक है.
convince	मनाना	उसने उसे फिर कोशिश करने के लिए मना लिया.
costume	पोशाक	उसने समुद्री डाकू की पोशाक पहनी.
cottage	कुटिया	उन्होंने एक छोटी कुटिया किराए पर ली.
cotton	कपास	यह कमीज़ कपास की बनी है.
countryside	देहात	हम देहात से होकर चले.
court	अदालत	मामला अदालत में गया.
covered	ढका हुआ	मेज़ कागज़ों से ढकी थी.
cruel	क्रूर	हँसना क्रूर था.
cultural	सांस्कृतिक	संग्रहालय सांस्कृतिक कार्यक्रम देता है.
currency	मुद्रा	स्थानीय मुद्रा यूरो है.
current	वर्तमान	वर्तमान स्थिति कठिन है.
currently	वर्तमान में	वह वर्तमान में विदेश में पढ़ रही है.
curtain	पर्दा	रात में पर्दा बंद करो.
custom	रिवाज	यह रिवाज बहुत पुराना है.
damage	नुकसान	तूफ़ान ने गंभीर नुकसान किया.
decade	दशक	वे वहाँ एक दशक तक रहे.
decorate	सजाना	हम कमरे को साथ सजाते हैं.
define	परिभाषित करना	क्या तुम यह शब्द परिभाषित कर सकते हो?
definite	निश्चित	हमें निश्चित जवाब चाहिए.
definition	परिभाषा	परिभाषा अपनी नोटबुक में लिखो.
deliver	पहुँचाना	वे हमारे घर खाना पहुँचाते हैं.
departure	प्रस्थान	प्रस्थान का समय बदल गया.
despite	के बावजूद	बारिश के बावजूद, हम चले.
destination	गंतव्य	पेरिस उनका अंतिम गंतव्य था.
determine	निर्धारित करना	परीक्षाएँ तुम्हारा स्तर निर्धारित करती हैं.
determined	दृढ़	वह सफल होने के लिए दृढ़ थी.
development	विकास	शहर का विकास तेज था.
diagram	चित्र	एक सरल चित्र बनाओ.
diamond	हीरा	अंगूठी में छोटा हीरा था.
difficulty	कठिनाई	उसे दरवाज़ा खोलने में कठिनाई हुई.
directly	सीधे	कृपया मुझसे सीधे बात करो.
dirt	गंदगी	उसके जूते गंदगी से ढके थे.
disadvantage	नुकसान	लंबी यात्रा एक नुकसान है.
disappointed	निराश	वह परिणाम से निराश थी.
disappointing	निराशाजनक	अंत निराशाजनक था.
discount	छूट	छात्रों को यहाँ छूट मिलती है.
dislike	नापसंद करना	मुझे बहुत तेज संगीत नापसंद है.
divide	बाँटना	केक को टुकड़ों में बाँटो.
documentary	वृत्तचित्र	हमने अंतरिक्ष पर वृत्तचित्र देखा.
donate	दान करना	कई लोग पुराने कपड़े दान करते हैं.
doubt	संदेह	मुझे इस बारे में कोई संदेह नहीं है.
dressed	कपड़े पहने	वह काले कपड़े पहने था.
drum	ढोल	ढोल की आवाज़ कमरे में गूँजी.
drunk	नशे में	चालक नशे में था.
due	देय	रिपोर्ट कल देय है.
dust	धूल	धूल ने पुरानी किताबों को ढक दिया.
duty	कर्तव्य	मदद करना मेरा कर्तव्य है.
earthquake	भूकंप	भूकंप ने पुल को नुकसान पहुँचाया.
eastern	पूर्वी	पूर्वी तट पर हवा तेज है.
economic	आर्थिक	देश आर्थिक समस्याओं का सामना करता है.
economy	अर्थव्यवस्था	इस वर्ष अर्थव्यवस्था बढ़ी.
edge	किनारा	किनारे से दूर खड़े रहो.
editor	संपादक	संपादक ने लेख जाँचा.
educate	शिक्षित करना	स्कूल युवाओं को शिक्षित करते हैं.
educated	शिक्षित	वह बहुत शिक्षित है.
educational	शैक्षिक	खेल शैक्षिक है.
effective	प्रभावी	यह दवा प्रभावी है.
effectively	प्रभावी ढंग से	उसने नियम प्रभावी ढंग से समझाया.
effort	प्रयास	तुम्हारे प्रयास ने फर्क डाला.
election	चुनाव	चुनाव परिणाम क़रीब था.
element	तत्व	विश्वास एक महत्वपूर्ण तत्व है.
embarrassed	शर्मिंदा	गिरने के बाद वह शर्मिंदा हुआ.
embarrassing	शर्मनाक	वह शर्मनाक गलती थी.
emergency	आपात स्थिति	आपात स्थिति में इस नंबर पर कॉल करो.
emotion	भावना	डर एक मजबूत भावना है.
employment	रोज़गार	इस महीने रोज़गार बढ़ा.
encourage	प्रोत्साहित करना	शिक्षक छात्रों को पढ़ने के लिए प्रोत्साहित करते हैं.
enemy	दुश्मन	दोनों देश दुश्मन थे.
engaged	मंगनी हुई	उनकी पिछले वसंत में मंगनी हुई.
engineering	इंजीनियरिंग	वह विश्वविद्यालय में इंजीनियरिंग पढ़ती है.
entertain	मनोरंजन करना	गायक मेहमानों का मनोरंजन करेगा.
entertainment	मनोरंजन	शहर शाम का मनोरंजन देता है.
entrance	प्रवेश द्वार	मुझसे प्रवेश द्वार पर मिलो.
entry	प्रवेश	बच्चों के लिए प्रवेश निःशुल्क है.
environmental	पर्यावरणीय	हमने पर्यावरणीय समस्याओं पर चर्चा की.
episode	कड़ी	अंतिम कड़ी रोमांचक थी.
equal	बराबर	उन्हें बराबर वेतन मिलता है.
equally	बराबर	काम बराबर बाँटा गया है.
escape	भागना	कैदियों ने भागने की कोशिश की.
essential	आवश्यक	पानी जीवन के लिए आवश्यक है.
eventually	आख़िरकार	आख़िरकार, हमें होटल मिला.
examine	जाँचना	डॉक्टर ने मेरी बाँह जाँची.
exchange	अदला-बदली	हमने दुकान में अदला-बदली की.
excitement	उत्साह	खेल उत्साह से भरा था.
exhibition	प्रदर्शनी	कला प्रदर्शनी कल खुलती है.
expand	विस्तार करना	कंपनी विस्तार की योजना बना रही है.
expected	अपेक्षित	अपेक्षित लागत अधिक है.
expedition	अभियान	अभियान ने रेगिस्तान पार किया.
experienced	अनुभवी	वह अनुभवी नर्स है.
explode	फटना	बोतल गर्मी में फट सकती है.
explore	खोजना	हमने पुराने शहर को खोजा.
explosion	विस्फोट	विस्फोट ने कई खिड़कियाँ तोड़ीं.
export	निर्यात	कॉफ़ी एक महत्वपूर्ण निर्यात है.
fairly	काफ़ी	परीक्षा काफ़ी आसान थी.
familiar	परिचित	उसका चेहरा परिचित लगा.
fancy	चाहना	क्या तुम्हें कॉफ़ी चाहिए?
fascinating	रोचक	कहानी रोचक थी.
fashionable	फ़ैशनेबल	वे जूते फ़ैशनेबल हैं.
fasten	बाँधना	अपनी सीट बेल्ट बाँधो.
favour	मदद	क्या तुम मेरी मदद कर सकते हो?
fence	बाड़	बाड़ बगीचे को घेरती है.
fighting	लड़ाई	लड़ाई भोर में रुक गई.
file	फ़ाइल	बंद करने से पहले फ़ाइल सहेजें.
financial	वित्तीय	उसे वित्तीय सलाह चाहिए.
fitness	तंदुरुस्ती	दौड़ना तुम्हारी तंदुरुस्ती सुधारता है.
fixed	स्थिर	कीमत स्थिर है.
flag	झंडा	झंडा स्कूल के ऊपर लहराया.
flood	बाढ़	बाढ़ ने कई घरों को नुकसान पहुँचाया.
flour	आटा	कटोरे में आटा डालो.
flow	बहना	नदी शहर से होकर बहती है.
fold	मोड़ना	कागज़ को आधा मोड़ो.
folk	लोक संगीत	हॉल में लोक संगीत गूँज उठा.
force	बल	हवा में बहुत बल था.
forever	हमेशा	मैं इसे हमेशा याद रखूँगा.
frame	फ़्रेम	फ़ोटो को फ़्रेम चाहिए.
freeze	जमना	पानी रात भर में जम जाएगा.
frequently	अक्सर	वह अपने माता-पिता से अक्सर मिलता है.
friendship	दोस्ती	उनकी दोस्ती वर्षों तक चली.
frighten	डराना	तेज़ आवाज़ें बच्चे को डराती हैं.
frightened	डरा हुआ	बच्चा डरा हुआ दिखा.
frightening	डरावना	तूफ़ान डरावना था.
frozen	जमा हुआ	झील जमी हुई थी.
fry	तलना	प्याज़ को पाँच मिनट तलो.
fuel	ईंधन	कार को और ईंधन चाहिए.
function	कार्य	इस बटन का एक कार्य है.
fur	फर	बिल्ली का फर मुलायम है.
garage	गैराज	कार गैराज में है.
gather	इकट्ठा होना	हम मेज़ के चारों ओर इकट्ठा हुए.
generally	आम तौर पर	वह आम तौर पर जल्दी आती है.
generation	पीढ़ी	हर पीढ़ी नई समस्याओं का सामना करती है.
generous	उदार	वह अपने समय के साथ उदार है.
gentle	कोमल	कोमल आवाज़ का उपयोग करो.
gentleman	सज्जन	सज्जन ने दरवाज़ा खोला.
ghost	भूत	कहानी में भूत का ज़िक्र है.
giant	विशाल	विशाल स्क्रीन मंच भर गई.
glad	खुश	मुझे खुशी है कि तुम आए.
global	वैश्विक	जलवायु परिवर्तन वैश्विक मुद्दा है.
glove	दस्ताना	मैंने एक दस्ताना खो दिया.
goods	सामान	सामान देर से आया.
grade	अंक	उसे ऊँचे अंक मिले.
graduate	स्नातक	वह हाल का स्नातक है.
grain	दाना	चावल का एक दाना गिरा.
grateful	आभारी	मैं आपके समर्थन के लिए आभारी हूँ.
growth	विकास	पौधे ने स्थिर विकास दिखाया.
guard	पहरेदार	पहरेदार ने हमारे टिकट जाँचे.
guilty	दोषी	उसे झूठ बोलने पर दोषी महसूस हुआ.
hang	लटकाना	अपना कोट यहाँ लटकाओ.
happiness	खुशी	पैसा खुशी नहीं खरीद सकता.
hardly	मुश्किल से	मैं तुम्हें मुश्किल से सुन सका.
headline	शीर्षक	शीर्षक ने मेरा ध्यान खींचा.
heating	गरम करने की व्यवस्था	गरम करने की व्यवस्था बंद हो गई.
heavily	भारी मात्रा में	पूरी रात भारी मात्रा में बारिश हुई.
helicopter	हेलिकॉप्टर	पास में एक हेलिकॉप्टर उतरा.
highlight	उजागर करना	कृपया मुख्य विचार उजागर करो.
highly	बहुत	वह बहुत सम्मानित है.
hire	किराए पर लेना	हमें कार किराए पर लेनी है.
historic	ऐतिहासिक	हमने ऐतिहासिक इमारत देखी.
historical	ऐतिहासिक	उसे ऐतिहासिक उपन्यास पसंद हैं.
honest	ईमानदार	कृपया ईमानदार जवाब दो.
horrible	भयानक	गंध भयानक थी.
horror	डरावनी	उसे डरावनी फ़िल्में पसंद हैं.
host	मेजबान	मेजबान ने हर अतिथि का स्वागत किया.
