source_headword	MS	example_MS
clarify	menjelaskan	Sila menjelaskan poin terakhir.
classify	mengelaskan	Saintis mengelaskan haiwan mengikut spesies.
clerk	kerani	Kerani itu mencetak resit.
cliff	tebing	Laluan itu berakhir berhampiran dengan tebing.
clinic	klinik	Klinik itu dibuka pada pukul lapan.
clip	klip	Dia memasang klip pada kertas itu.
coincidence	kebetulan	Pertemuan dengan dia di sana adalah suatu kebetulan.
collector	pengumpul	Pengumpul itu membeli syiling nadir.
colony	tanah jajahan	Semut membina koloni yang besar.
colourful	berwarna-warni	Pasar itu terang dan berwarna-warni.
comic	komik	Adegan komik itu membuat kami ketawa.
commander	komander	Komander memberi arahan yang jelas.
comparative	perbandingan	Esei itu menggunakan data perbandingan.
completion	penyelesaian	Jambatan itu hampir siap.
compose	menggubah	Dia akan menggubah muzik untuk filem itu.
composer	komposer	Komposer itu menulis lagu baharu.
compound	sebatian	Sebatian itu mengandungi dua bahan kimia.
comprehensive	komprehensif	Panduan itu memberi arahan yang menyeluruh.
comprise	terdiri daripada	Pasukan itu terdiri daripada lima ahli.
compulsory	wajib	Kehadiran adalah wajib untuk kelas ini.
concrete	konkrit	Lantai itu diperbuat daripada konkrit.
confess	mengaku	Dia mengaku kesilapannya kepada gurunya.
confusion	kekeliruan	Kelewatan itu menyebabkan kekeliruan.
consequently	akibatnya	Hujan turun; akibatnya, perlawanan dihentikan.
conservation	pemuliharaan	Pemuliharaan melindungi haiwan yang jarang ditemui.
considerable	besar	Pembaikan itu mengambil masa yang agak lama.
considerably	agak banyak	Harga meningkat dengan ketara tahun ini.
consistently	secara konsisten	Dia menunjukkan prestasi yang baik secara konsisten.
conspiracy	konspirasi	Polis menyiasat konspirasi itu.
consult	berunding	Rujuk doktor anda sebelum mengambil ubat.
consultant	perunding	Perunding itu mencadangkan strategi baharu.
consumption	penggunaan	Penggunaan tenaga menurun bulan lepas.
controversial	kontroversi	Dasar itu kekal menjadi kontroversi.
controversy	kontroversi	Keputusan itu mencetuskan kontroversi.
convenience	kemudahan	Kedai itu menawarkan kemudahan yang hebat.
convention	konvensyen	Konvensyen tahunan bermula pada hari Isnin.
conventional	konvensional	Dia memilih reka bentuk konvensional.
convey	menyampaikan	Mesej itu menyampaikan simpati.
convincing	meyakinkan	Penjelasannya sangat meyakinkan.
cope	menangani	Dia belajar untuk menangani tekanan.
corporation	perbadanan	Perbadanan itu membuka pejabat baharu.
corridor	koridor	Koridor itu sempit dan sunyi.
counter (long flat surface)	kaunter	Kunci itu ada di atas kaunter dapur.
coverage	liputan	Liputan berita itu berlangsung sepanjang petang.
crack	retak	Rekahan muncul pada dinding.
craft	kraf	Dia menjual kraf buatan tangan secara dalam talian.
creativity	kreativiti	Kreativiti membantu menyelesaikan masalah.
critically	secara kritis	Artikel itu sangat penting.
cruise	pelayaran	Mereka menempah pelayaran ke Greece.
cue	isyarat	Pelakon itu terlepas isyaratnya.
curious	ingin tahu	Kanak-kanak itu ingin tahu tentang ruang angkasa.
curriculum	kurikulum	Sekolah itu mengemas kini kurikulumnya.
cute	comel	Anak anjing itu kelihatan comel.
dairy	tenusu	Ladang itu menghasilkan produk tenusu.
dare	berani	Saya cabar awak untuk mencubanya.
darkness	kegelapan	Bilik itu dipenuhi dengan kegelapan.
database	pangkalan data	Pangkalan data itu menyimpan rekod pelanggan.
deadline	tarikh akhir	Tarikh akhir adalah pada hari Jumaat.
deadly	membawa maut	Ular itu mempunyai racun yang mematikan.
dealer	peniaga	Pengedar kereta itu menawarkan diskaun.
deck	geladak	Kerusi itu berada di atas dek.
defender	pembela	Pemain pertahanan itu menahan rembatan.
delete	padam	Padam mesej lama itu.
democracy	demokrasi	Demokrasi bergantung pada pilihan raya yang bebas.
democratic	demokratik	Undian itu mengikut peraturan demokratik.
demonstration	demonstrasi	Pelajar-pelajar itu menyertai demonstrasi.
depart	bertolak	Kereta api akan berlepas pada waktu tengah hari.
dependent	bergantung	Kanak-kanak itu bergantung kepada orang dewasa.
deposit	deposit	Dia membayar deposit untuk pangsapuri itu.
depression	kemurungan	Kemurungan memerlukan sokongan profesional.
derive	memperoleh	Banyak perkataan berasal daripada bahasa Latin.
desperately	terdesak	Dia sangat memerlukan air.
destruction	kemusnahan	Ribut itu menyebabkan kemusnahan yang meluas.
determination	keazaman	Keazamannya mengagumkan jurulatih.
devote	menumpukan	Dia menumpukan hujung minggunya untuk belajar.
differ	berbeza	Pendapat mereka berbeza secara mendadak.
disability	kecacatan	Bangunan itu mempunyai akses untuk orang kurang upaya.
disabled	dilumpuhkan	Atlet kurang upaya itu memenangi pingat.
disagreement	perselisihan	Mesyuarat itu berakhir dengan perselisihan faham.
disappoint	mengecewakan	Keputusan itu mungkin mengecewakan peminat.
disappointment	kekecewaan	Dia merasakan kekecewaan yang mendalam.
discourage	melemahkan semangat	Jangan patahkan semangat pelajar muda.
disorder	gangguan	Doktor mendiagnosis kecelaruan tidur.
distant	jauh	Gunung-ganang itu kelihatan jauh.
distinct	berbeza	Kedua-dua bunyi itu berbeza.
distinguish	membezakan	Bolehkah anda membezakan warna-warna ini?
distract	mengalihkan perhatian	Bunyi bising boleh mengganggu pelajar.
disturb	mengganggu	Tolong jangan ganggu pesakit.
dive	menyelam	Mereka akan menyelam berhampiran terumbu karang.
diverse	pelbagai	Bandar itu mempunyai pelbagai budaya.
diversity	kepelbagaian	Kami meraikan kepelbagaian budaya.
divorce	perceraian	Perceraian itu sukar untuk semua orang.
dominant	dominan	Pasukan yang dominan itu mengawal permainan.
donation	derma	Badan amal itu menerima sumbangan.
dot	titik	Letakkan titik selepas nombor itu.
downtown	pusat bandar	Kami bertemu di pusat bandar selepas kerja.
dramatically	secara mendadak	Harga itu turun secara mendadak.
drought	kemarau	Kemarau merosakkan tanaman.
dull	membosankan	Syarahan itu membosankan.
dump	membuang	Jangan buang sampah di sini.
duration	tempoh	Tempoh penerbangan ialah tiga jam.
dynamic	dinamik	Bilik darjah itu berasa dinamik.
economics	ekonomi	Dia belajar ekonomi di universiti.
economist	pakar ekonomi	Ahli ekonomi itu meramalkan pertumbuhan yang lebih perlahan.
editorial	editorial	Editorial itu mengkritik undang-undang berkenaan.
efficiently	dengan cekap	Pasukan itu bekerja dengan cekap.
elbow	siku	Dia mencederakan sikunya.
electronics	elektronik	Kedai itu menjual barangan elektronik.
elegant	elegan	Gaun itu kelihatan elegan.
elementary	asas	Buku itu menerangkan tatabahasa asas.
eliminate	menghapuskan	Pasukan itu menyingkirkan beberapa kesilapan.
embrace	menerima	Dia menerima idea baharu itu.
emission	pelepasan	Tahap pelepasan kereta menurun.
emotionally	secara emosi	Dia bercakap secara emosi tentang keluarganya.
empire	empayar	Empayar itu kekal selama beberapa abad.
enjoyable	menyeronokkan	Perjalanan itu menyeronokkan.
entertaining	menghiburkan	Pertunjukan itu menghiburkan.
entrepreneur	usahawan	Usahawan itu membuka sebuah kafe.
envelope	sampul surat	Masukkan surat ke dalam sampul surat.
equip	melengkapkan	Sekolah akan melengkapkan makmal itu.
equivalent	setara	Satu dolar tidak setara di sini.
era	era	Penemuan itu memulakan era baharu.
erupt	meletus	Gunung berapi itu mungkin meletus tidak lama lagi.
essentially	pada asasnya	Kedua-dua kaedah itu pada dasarnya sama.
ethic	etika	Etika kerjanya kuat.
ethnic	etnik	Pesta itu meraikan tradisi etnik.
evaluation	penilaian	Kursus ini termasuk penilaian akhir.
evident	jelas	Kegelisahannya jelas.
evolution	evolusi	Evolusi menerangkan banyak perubahan biologi.
evolve	berkembang	Bahasa berkembang dari semasa ke semasa.
exceed	melebihi	Permintaan mungkin melebihi bekalan.
exception	pengecualian	Terdapat satu pengecualian.
excessive	berlebihan	Bunyi bising yang berlebihan mengganggu jiran.
exclude	mengecualikan	Senarai itu mengecualikan pekerja sementara.
exhibit	bahan pameran	Muzium itu akan mempamerkan gambar yang jarang ditemui.
exit	jalan keluar	Pintu keluar berada di belakang pentas.
exotic	eksotik	Kedai itu menjual buah-buahan eksotik.
expansion	pengembangan	Syarikat itu merancang satu pengembangan.
expertise	kepakaran	Kepakarannya menambah baik projek itu.
exploit	mengeksploitasi	Penjenayah mengeksploitasi kata laluan yang lemah.
exposure	pendedahan	Pendedahan matahari boleh merosakkan kulit.
extension	pelanjutan	Pelanjutan tarikh akhir itu membantu semua orang.
extensive	meluas	Perpustakaan itu mempunyai sumber yang meluas.
extensively	secara meluas	Topik itu dikaji secara meluas.
extract	petikan	Ekstrak vanila memberikan rasa.
fabric	kain	Kain itu terasa lembut.
fabulous	hebat	Hidangan itu hebat.
failed	gagal	Percubaan yang gagal itu mengajar kita sesuatu.
fake	palsu	Laman web itu menjual tiket palsu.
fame	kemasyhuran	Kemasyhuran mengubah kehidupan peribadinya.
fantasy	fantasi	Novel itu ialah fantasi.
fare	tambang	Tambang bas telah meningkat.
federal	persekutuan	Kerajaan persekutuan mengumumkan pembiayaan.
fever	demam	Kanak-kanak itu mengalami demam.
firefighter	ahli bomba	Ahli bomba itu menyelamatkan anjing tersebut.
firework	bunga api	Bunga api meletup di atas taman itu.
firm	tegas	Tilam itu pejal.
firmly	dengan tegas	Dia menutup pintu dengan kuat.
flavour	perisa	Sup itu mempunyai rasa yang kaya.
fond	gemar	Dia gemar muzik jaz.
fool	orang bodoh	Jangan bertindak seperti orang bodoh.
forbid	melarang	Undang-undang melarang merokok di sini.
forecast	ramalan	Ramalan itu meramalkan hujan.
format	format	Gunakan format fail yang betul.
formation	pembentukan	Pembentukan awan berubah dengan cepat.
formerly	dahulunya	Bangunan itu dahulunya merupakan sebuah sekolah.
fortunate	bernasib baik	Kami bernasib baik dapat tiba awal.
forum	forum	Forum itu membincangkan dasar iklim.
fossil	fosil	Fosil itu ditemui dalam batu.
foundation	asas	Rumah itu mempunyai asas yang kuat.
founder	pengasas	Pengasas itu mengalu-alukan tetamu.
fraction	pecahan	Hanya sebahagian kecil pelajar yang datang.
fragment	serpihan	Serpihan kaca terletak di atas lantai.
framework	rangka kerja	Undang-undang mewujudkan rangka kerja yang jelas.
fraud	penipuan	Bank itu mengesan penipuan.
freely	dengan bebas	Kanak-kanak bermain dengan bebas di luar.
frequent	kerap	Rehat yang kerap meningkatkan tumpuan.
fulfil	memenuhi	Saya berharap dapat menunaikan janji saya.
full-time	sepenuh masa	Dia mempunyai pekerjaan sepenuh masa.
fundamentally	pada dasarnya	Pelan itu pada asasnya berbeza.
furious	sangat marah	Dia sangat marah tentang kelewatan itu.
gaming	permainan	Permainan boleh meningkatkan kelajuan reaksi.
gay	gay	Dia menyokong hak gay.
gender	jantina	Tinjauan itu bertanyakan tentang jantina.
gene	gen	Gen itu mempengaruhi warna mata.
genetic	genetik	Penyakit ini mempunyai punca genetik.
genius	genius	Pemain piano muda itu adalah seorang genius.
genuine	tulen	Senyumannya kelihatan ikhlas.
genuinely	dengan ikhlas	Dia benar-benar mahu membantu.
gesture	gerak isyarat	Dia membuat isyarat mesra.
gig	persembahan	Pancaragam itu bermain satu persembahan di pusat bandar.
globalization	globalisasi	Globalisasi mempengaruhi perniagaan tempatan.
globe	glob	Glob itu menunjukkan setiap benua.
golden	keemasan	Matahari terbenam menjadi keemasan.
goodness	kebaikan	Dia percaya kepada kebaikan manusia.
gorgeous	menawan	Taman itu kelihatan menawan.
governor	gabenor	Gabenor menandatangani rang undang-undang itu.
graphic	grafik	Imej grafik itu mengejutkan penonton.
graphics	grafik	Permainan ini mempunyai grafik yang ringkas.
greatly	dengan hebat	Nasihat anda sangat membantu.
greenhouse	rumah hijau	Tomato tumbuh di dalam rumah hijau.
grocery	kedai runcit	Dia membeli barangan runcit selepas bekerja.
guideline	garis panduan	Garis panduan menerangkan amalan yang selamat.
habitat	habitat	Hutan itu ialah habitat burung.
harbour	pelabuhan	Bot itu memasuki pelabuhan.
headquarters	ibu pejabat	Ibu pejabat syarikat berpindah ke pusat bandar.
