source_headword	PT	example_PT
lethal	letal	O químico pode ser letal.
liable	responsável	Os condutores são responsáveis por danos.
liberal	liberal	Ele apoia políticas sociais liberais.
liberation	a libertação	A libertação mudou o futuro do país.
liberty	a liberdade	A lei protege a liberdade pessoal.
license	licenciar	O estado pode licenciar novas clínicas.
lifelong	para toda a vida	Ela fez amigos para toda a vida lá.
likelihood	a probabilidade	A probabilidade de chuva aumentou.
limb	o membro	O membro ferido curou-se lentamente.
linear	linear	O gráfico mostra uma tendência linear.
line-up	o cartaz	O cartaz do festival inclui bandas locais.
linger	persistir	O cheiro pode persistir por horas.
listing	o anúncio	O anúncio do apartamento parecia preciso.
literacy	a alfabetização	Os programas de alfabetização de adultos expandiram-se.
liver	o fígado	O fígado filtra substâncias nocivas.
lobby	o átrio	O átrio estava cheio depois do meio-dia.
log	o registo	O sistema mantém um registo diário.
logic	a lógica	A lógica do seu argumento falhou.
long-standing	de longa data	Eles resolveram uma disputa de longa data.
long-time	de longa data	Ela é uma voluntária de longa data.
loom	pairar	Nuvens escuras pairam sobre o vale.
loop	o circuito	O trilho forma um circuito.
loyalty	a lealdade	A lealdade dele impressionou a equipa.
machinery	a maquinaria	A fábrica instalou nova maquinaria.
magical	mágico	O jardim parecia mágico à noite.
magistrate	o magistrado	O magistrado ouviu o caso.
magnetic	magnético	O campo magnético afetou a bússola.
magnitude	a magnitude	A magnitude dos danos era clara.
mainland	o continente	O ferry liga as ilhas ao continente.
mainstream	dominante	A ideia entrou na política dominante.
maintenance	a manutenção	A manutenção regular previne avarias.
mandate	o mandato	O presidente reivindicou um forte mandato.
mandatory	obrigatório	A assiduidade é obrigatória para os estagiários.
manifest	manifestar-se	Os sintomas podem manifestar-se ao fim de semanas.
manipulate	manipular	Não manipule os resultados do inquérito.
manipulation	a manipulação	A manipulação de dados foi descoberta.
manuscript	o manuscrito	O editor aceitou o seu manuscrito.
march	marchar	Os manifestantes marcharão até ao centro.
marginal	marginal	A mudança teve benefícios marginais.
marine	marinho	A vida marinha precisa de água limpa.
marketplace	o mercado	O mercado online expandiu-se rapidamente.
mask	a máscara	Os trabalhadores devem usar uma máscara.
massacre	o massacre	O massacre chocou toda a região.
mathematical	matemático	O modelo matemático previu a procura.
mature	maduro	As árvores maduras fornecem sombra.
maximize	maximizar	A atualização vai maximizar a vida da bateria.
meaningful	significativo	Eles tiveram uma conversa significativa.
meantime	o entretanto	No entretanto, espere lá fora.
medieval	medieval	O castelo tem muralhas medievais.
meditation	a meditação	A meditação diária acalma a sua mente.
melody	a melodia	A melodia ficou na minha cabeça.
memo	o memorando	O memorando explicava a política.
memoir	o livro de memórias	O seu livro de memórias descreve o exílio na infância.
memorial	o memorial	O memorial homenageia os soldados locais.
mentor	o mentor	O seu mentor reviu a proposta.
merchant	o comerciante	O comerciante vendia seda e especiarias.
mercy	a clemência	O juiz mostrou clemência.
mere	mero	Um mero olhar revelou o erro.
merely	meramente	Ela meramente repetiu as instruções.
merge	fundir	As duas empresas vão fundir-se.
merger	a fusão	A fusão criou um banco maior.
merit	o mérito	A proposta tem mérito claro.
methodology	a metodologia	O estudo explica a sua metodologia.
midst	o meio	Eles trabalharam no meio do caos.
migration	a migração	A migração sazonal afeta os empregos locais.
militant	o militante	O grupo militante rejeitou as negociações.
militia	a milícia	A milícia controlava a estrada.
mill	o moinho	O velho moinho tornou-se num museu.
minimal	mínimo	O plano requer um esforço mínimo.
minimize	minimizar	Devemos minimizar os riscos desnecessários.
mining	a mineração	A mineração danificou o vale do rio.
ministry	o ministério	O ministério anunciou novas regras.
minute2	minúsculo	Uma falha minúscula apareceu no vidro.
miracle	o milagre	A sua recuperação pareceu um milagre.
misery	a miséria	Os refugiados suportaram anos de miséria.
misleading	enganador	O gráfico enganador confundiu os leitores.
missile	o míssil	O teste do míssil aumentou as tensões.
mob	a multidão	A multidão furiosa bloqueou o trânsito.
mobility	a mobilidade	Melhores autocarros melhoram a mobilidade urbana.
mobilize	mobilizar	Os líderes mobilizam voluntários rapidamente.
moderate	moderado	O candidato tem opiniões moderadas.
modification	a modificação	O design precisa de uma modificação.
momentum	o ímpeto	A campanha ganhou ímpeto rapidamente.
monk	o monge	O monge vivia em silêncio.
monopoly	o monopólio	A empresa detinha um monopólio.
morality	a moralidade	O curso examina a moralidade pública.
motive	o motivo	A polícia questionou o seu motivo.
motorist	o automobilista	O automobilista parou nos semáforos vermelhos.
municipal	municipal	Os serviços municipais melhoraram este ano.
mutual	mútuo	Eles chegaram a um acordo mútuo.
namely	nomeadamente	Resta um problema, nomeadamente o financiamento.
nationwide	nacional	A greve causou atrasos a nível nacional.
naval	naval	A base naval fechou no ano passado.
neglect	negligenciar	Não negligencie a segurança básica.
neighbouring	vizinho	As cidades vizinhas partilhavam o hospital.
nest	o ninho	O pássaro construiu um ninho.
net	líquido	O lucro líquido subiu acentuadamente.
newsletter	a newsletter	A newsletter chega todas as sextas-feiras.
niche	o nicho	A empresa encontrou um nicho lucrativo.
noble	nobre	O seu gesto nobre impressionou todos.
nod	acenar	Por favor, acene com a cabeça se entende.
nominate	nomear	Eles vão nomear um novo presidente.
nomination	a nomeação	A sua nomeação surpreendeu o comité.
nominee	o candidato	O nomeado respondeu a perguntas difíceis.
nonetheless	no entanto	No entanto, o plano seguiu em frente.
non-profit	sem fins lucrativos	Ela trabalha numa clínica sem fins lucrativos.
nonsense	o disparate	Esse boato é um completo disparate.
noon	o meio-dia	A reunião começa ao meio-dia.
notable	notável	O relatório fez progressos notáveis.
notably	notavelmente	Notavelmente, os custos caíram em maio.
notify	notificar	Por favor, notifique os funcionários antes de sair.
notorious	infame	A estrada é infame por acidentes.
novel	original	Eles propuseram uma solução original.
nursery	a creche	A creche cuida de bebês.
objection	a objeção	O advogado levantou uma objeção.
oblige	obrigar	As regras obrigam os motoristas a parar.
obsess	ficar obcecado	Não fique obcecado com pequenos erros.
obsession	a obsessão	A obsessão dele prejudicou o seu trabalho.
occasional	ocasional	Atrasos ocasionais são esperados.
occurrence	a ocorrência	Tal ocorrência é rara.
odds	as probabilidades	As probabilidades de sucesso melhoraram.
offering	a oferta	A universidade expandiu a sua oferta.
offspring	a cria	A raposa protegeu a sua cria.
operational	operacional	O novo sistema está operacional.
opt	optar	Muitos alunos optam por aulas online.
optical	ótico	A lente ótica precisa de limpeza.
optimism	o otimismo	O otimismo regressou após o anúncio.
oral	oral	O exame oral começa amanhã.
organizational	organizacional	As mudanças organizacionais começaram imediatamente.
orientation	a orientação	O workshop abordou a orientação dos funcionários.
originate	originar	Muitas tradições originam-se em aldeias rurais.
outbreak	o surto	O surto espalhou-se pela cidade.
outing	o passeio	A turma desfrutou de um passeio ao museu.
outlet	o outlet	A loja de descontos vende roupas mais baratas.
outlook	a perspetiva	A perspetiva económica permanece incerta.
outrage	a indignação	A decisão causou indignação pública.
outsider	o forasteiro	Como forasteira, ela notou problemas.
overlook	ignorar	Não ignore pequenos detalhes.
overly	excessivamente	As instruções eram excessivamente complexas.
oversee	supervisionar	Ela vai supervisionar o projeto.
overturn	anular	O tribunal pode anular a decisão.
overwhelm	sobrecarregar	Demasiada informação pode sobrecarregar os alunos.
overwhelming	esmagador	A evidência foi esmagadora.
pad	o protetor	Use o protetor para proteger os joelhos.
parameter	o parâmetro	Ajuste um parâmetro de cada vez.
parental	parental	O apoio parental melhorou a assiduidade.
parish	a paróquia	A paróquia organizou um jantar de caridade.
parliamentary	parlamentar	O debate parlamentar durou horas.
partial	parcial	O relatório deu uma resposta parcial.
partially	parcialmente	A janela estava parcialmente aberta.
passing	o falecimento	O falecimento dela foi repentino.
passive	passivo	Os investidores passivos aceitaram retornos estáveis.
pastor	o pastor	O pastor visitou a família.
patch	o remendo	O casaco precisa de um pequeno remendo.
patent	a patente	A empresa registou uma patente.
pathway	o caminho	O caminho leva à certificação.
patrol	a patrulha	A polícia patrulha a área à noite.
patron	o patrono	O museu agradeceu ao seu patrono.
peak	o pico	A procura atingiu um pico de inverno.
peasant	o camponês	O camponês possuía pouca terra.
peculiar	peculiar	O quarto tinha um cheiro peculiar.
persist	persistir	Os sintomas podem persistir por dias.
persistent	persistente	Uma tosse persistente precisa de atenção.
personnel	o pessoal	Os registos do pessoal são confidenciais.
petition	a petição	A petição reuniu milhares de assinaturas.
philosopher	o filósofo	O filósofo questionou suposições comuns.
philosophical	filosófico	A discussão tornou-se filosófica.
physician	o médico	O médico prescreveu análises ao sangue.
pioneer	o pioneiro	Ela tornou-se uma pioneira na medicina.
pipeline	o gasoduto	O gasoduto transporta gás debaixo da terra.
pirate	o pirata	O navio pirata apareceu ao largo da costa.
pit	o buraco	Os trabalhadores cavaram um buraco fundo.
plea	o apelo	O seu apelo por ajuda foi ignorado.
plead	declarar-se	O suspeito vai declarar-se culpado.
pledge	prometer	Eles prometem apoio às reformas.
plug	ligar	Ligue o cabo à tomada.
plunge	cair a pique	Os preços podem cair a pique após o escândalo.
pole	o poste	A bandeira estava pendurada num poste.
poll	a sondagem	A sondagem mostrou opiniões em mudança.
pond	o lago	Os patos atravessaram o lago congelado.
pop	estourar	Os balões estouram perto de objetos afiados.
portfolio	o portefólio	O seu portefólio inclui várias startups.
portray	retratar	O filme vai retratar a vida rural.
postpone	adiar	Eles decidiram adiar a audiência.
post-war	do pós-guerra	A habitação do pós-guerra era urgentemente necessária.
practitioner	o profissional	O profissional explicou o tratamento.
preach	pregar	O ministro vai pregar no domingo.
precedent	o precedente	A decisão estabeleceu um precedente importante.
precision	a precisão	A máquina corta com precisão.
predator	o predador	O predador esperou perto do rio.
predecessor	o antecessor	O seu antecessor deixou notas detalhadas.
predominantly	predominantemente	A área é predominantemente residencial.
pregnancy	a gravidez	A gravidez requer cuidados médicos regulares.
prejudice	o preconceito	A campanha desafiou o preconceito racial.
preliminary	preliminar	Os resultados preliminares parecem promissores.
premier	o primeiro-ministro	O primeiro-ministro discursou no parlamento hoje.
premise	a premissa	O argumento baseia-se numa falsa premissa.
premium	o prémio	Os clientes pagaram uma taxa extra pela velocidade.
prescribe	prescrever	Os médicos prescrevem antibióticos com cuidado.
prescription	a receita	A receita médica expira no próximo mês.
presently	atualmente	Ela está indisponível atualmente.
preservation	a preservação	A preservação protege edifícios históricos.
preside	presidir	O juiz vai presidir ao julgamento.
presidency	a presidência	A sua presidência durou oito anos.
presidential	presidencial	A eleição presidencial atraiu a atenção.
prestigious	prestigioso	Ela ganhou uma bolsa de estudo prestigiosa.
presumably	presumivelmente	O escritório está presumivelmente fechado hoje.
presume	presumir	Presumimos que os documentos sejam autênticos.
prevail	prevalecer	O bom senso deve prevalecer.
prevalence	a prevalência	A prevalência da asma aumentou.
prevention	a prevenção	A prevenção é mais barata do que a reparação.
