source_headword	BG	example_BG
lend	давам назаем	Можеш ли да ми дадеш пет долара назаем?
less	по-малко	Яж по-малко захар.
level	ниво	Това ниво е лесно.
lifestyle	начин на живот	Той има здравословен начин на живот.
lift	вдигам	Вдигни кутията внимателно.
light	запалвам	Запали свещта внимателно.
light (not heavy)	лек	Тази чанта е лека.
likely	вероятен	Утре вероятно ще вали.
link	връзка	Изпрати ми връзката.
listener	слушател	Бъди добър слушател.
lock	заключвам; ключалка	Заключи вратата.
lorry	камион	Камионът превозваше кутии.
lost	изгубен	Изгубихме се.
loud	силен; шумен	Музиката е силна.
loudly	силно; шумно	Моля, не говори толкова силно.
lovely	прекрасен	Каква прекрасна градина!
low	нисък	Столът е нисък.
luck	късмет	Успех на теста.
lucky	късметлия; с късмет	Днес имаш късмет.
mail	поща	Получих поща тази сутрин.
major	голям; важен	Това е сериозен проблем.
male	мъжки; мъж	Мъжката птица е ярка.
manage	справям се; управлявам	Можеш ли да се справиш с тази задача?
manager	мениджър; управител	Мениджърът е зает.
manner	начин; маниер	Говори по учтив начин.
mark	отбелязвам; оценка	Отбележи отговора си ясно.
marry	женя се; омъжвам се	Те ще се оженят през юни.
material	материал	Този материал е мек.
mathematics	математика	Математиката е любимият ми предмет.
maths	математика	Математиката ми е трудна.
matter	има значение; въпрос	Това няма значение.
may modal	може	Може да си тръгнеш сега.
media	медии	Медиите отразиха историята.
medical	медицински	Тя има нужда от медицинска помощ.
medicine	лекарство	Вземи това лекарство след обяд.
memory	памет	Паметта ми е добра.
mention	споменавам	Не споменавай името ми.
metal	метал	Портата е метална.
method	метод	Този метод работи добре.
middle	среда	Застани в средата.
might modal	може би	Може да вали по-късно.
mind	ум; мнение	Промених мнението си.
mine (belongs to me)	мой; моя	Тази книга е моя.
mirror	огледало	Погледни в огледалото.
missing	липсващ	Ключовете ми липсват.
mobile	мобилен телефон; мобилен	Мобилният ми телефон е на масата.
monkey	маймуна	Маймуната се качи на дървото.
moon	луна	Луната е ярка.
mostly	предимно	Класът е предимно тих.
motorcycle	мотоциклет	Той кара мотоциклет.
movement	движение	Видях движение сред дърветата.
musical	музикален	Това е музикален филм.
musician	музикант	Музикантът свири на китара.
myself	самият аз; самата аз	Направих това сам.
narrow	тесен	Пътят е тесен.
national	национален	Това е национален празник.
nature	природа	Обичам природата.
nearly	почти	Почти сме там.
necessary	необходим	Това необходимо ли е?
neck	врат	Вратът ме боли.
neither	нито един	Нито един отговор не е правилен.
nervous	нервен	Тя се чувства нервна.
network	мрежа	Мрежата не работи.
noise	шум	Чух силен шум.
noisy	шумен	Улицата е шумна.
none	никой; нито един	Никой от тях не дойде.
normal	нормален	Това е нормално.
normally	обикновено	Обикновено се събуждам рано.
notice	забелязвам; бележка	Забеляза ли знака?
novel	роман	Тя написа роман.
nowhere	никъде	Няма къде да седнем.
nut	ядка	Ядката е твърда.
ocean	океан	Океанът е дълбок.
offer	предложение	Приех предложението.
officer	служител; офицер	Служителят провери билета ми.
oil	олио; масло	Добави олио в тигана.
onto	върху	Сложи го върху рафта.
opportunity	възможност	Това е добра възможност.
option	вариант	Избери най-добрия вариант.
ordinary	обикновен	Беше обикновен ден.
organization	организация	Организацията помага на ученици.
organize	организирам	Моля, организирай файловете.
original	оригинален	Запази оригиналната касова бележка.
ourselves	ние самите	Ние сами приготвихме вечерята.
oven	фурна	Фурната е гореща.
owner	собственик	Собственикът отвори магазина.
pack	пакетирам; събирам	Събери багажа си сега.
pain	болка	Усещам болка в гърба.
painter	бояджия; художник	Бояджията завърши стената.
palace	дворец	Дворецът е стар.
pants	панталони	Тези панталони са твърде дълги.
parking	паркиране	Паркирането тук е трудно.
particular	конкретен	Имам нужда от конкретна книга.
pass	подавам; минавам	Подай ми солта.
passenger	пътник	Всеки пътник има нужда от билет.
patient	търпелив; пациент	Бъди търпелив с децата.
pattern	модел; шарка	Този модел е прост.
peace	мир	Всички искаме мир.
penny	пенс; стотинка	Намерих една стотинка.
per	на; за	Билетите струват десет долара на човек.
per cent	процент	Пет процента е малко.
perform	изпълнявам; представям	Групата ще свири тази вечер.
perhaps	може би	Може би тя е у дома.
permission	разрешение	Първо поискай разрешение.
personality	личност; характер	Той има приятелски характер.
pet	домашен любимец	Моят домашен любимец е котка.
petrol	бензин	Колата има нужда от бензин.
physical	физически	Физическите упражнения помагат на здравето.
physics	физика	Физиката е трудна.
pick	избирам; вземам	Избери една карта.
pilot	пилот	Пилотът говори ясно.
planet	планета	Земята е планета.
plastic	пластмаса; пластмасов	Тази бутилка е пластмасова.
plate	чиния	Сложи храна в чинията.
platform	перон; платформа	Чакай на втори перон.
pleased	доволен	Радвам се да се запознаем.
pocket	джоб	Билетът е в джоба ми.
polite	учтив	Бъди учтив с всички.
pollution	замърсяване	Замърсяването вреди на океана.
pop	поп музика	Харесвам поп музика.
population	население	Населението расте.
position	позиция; положение	Промени позицията си.
possession	притежание	Този пръстен е мое притежание.
possibility	възможност	Има възможност за дъжд.
poster	плакат	Сложи плаката на стената.
power	енергия; мощност	Компютърът има нужда от захранване.
predict	предсказвам	Не можем да предскажем времето.
president	президент	Президентът произнесе реч.
prevent	предотвратявам	Мий си ръцете, за да предотвратиш болест.
print	печатам	Отпечатай документа.
printer	принтер	Принтерът е счупен.
prison	затвор	Той отиде в затвора.
prize	награда	Тя спечели награда.
process	процес	Процесът отнема време.
produce	произвеждам	Фермите произвеждат храна.
professional	професионален; професионалист	Тя е професионална танцьорка.
professor	професор	Професорът отговори на въпросите.
profile	профил	Обнови профила си.
program	програма	Програмата започва сега.
progress	напредък	Днес постигнахме напредък.
promise	обещание; обещавам	Спази обещанието си.
pronounce	произнасям	Моля, произнеси тази дума.
protect	защитавам	Защити очите си.
provide	предоставям	Те предоставят безплатна вода.
pub	пъб	Срещнахме се в пъба.
public	обществен; публичен	Паркът е обществен.
publish	публикувам	Те публикуват списание.
pull	дърпам	Дръпни вратата.
purpose	цел	Каква е целта?
push	бутам; натискам	Натисни бутона.
quality	качество	Качеството е високо.
quantity	количество	Провери количеството.
queen	кралица	Кралицата махна с ръка.
quietly	тихо	Говори тихо.
race (competition)	състезание	Състезанието започва скоро.
railway	железница	Железницата е затворена.
raise	вдигам; повишавам	Вдигни ръка.
rate	тарифа; ставка	Хотелската тарифа е висока.
rather	доста	Доста съм уморен.
reach	достигам	Можеш ли да достигнеш рафта?
react	реагирам	Как реагира той?
realize	осъзнавам	Осъзнах грешката си.
receive	получавам	Получи ли съобщението ми?
recent	скорошен	Това е скорошна снимка.
recently	наскоро	Наскоро се преместих тук.
reception	прием; рецепция	Приемът е в понеделник.
recipe	рецепта	Тази рецепта е лесна.
recognize	разпознавам	Разпознавам онази песен.
recommend	препоръчвам	Препоръчвам тази книга.
record	запис; отчет	Води отчет на плащанията.
recording	запис	Записът звучи ясно.
recycle	рециклирам	Рециклирай хартия и пластмаса.
reduce	намалявам	Намали огъня.
refer	позовавам се; препращам	Виж страница две.
refuse1	отказвам	Отказвам да лъжа.
region	регион	Този регион е студен.
regular	редовен; обикновен	Той е редовен клиент.
relationship	връзка	Връзката им е силна.
remove	махам; премахвам	Събуй обувките си.
repair	ремонтирам	Ремонтирай велосипеда днес.
replace	заменям	Замени старата батерия.
reply	отговарям	Моля, отговори скоро.
reporter	репортер	Репортерът си водеше бележки.
request	молба; искане	Направих искане.
research	изследвам; изследване	Изследваме местната история.
researcher	изследовател	Изследователят провери данните.
respond	отговарям	Моля, отговори днес.
response	отговор	Отговорът й беше бърз.
rest (remaining part)	остатък	Изяж остатъка по-късно.
rest (sleep/relax)	почивам	Трябва да си починеш.
review	преглеждам; преговор	Прегледай бележките си тази вечер.
ring1	пръстен	Тя носеше златен пръстен.
ring2	звъня	Звънни ми след обяд.
rise	повишавам се; изгрявам	Цените се повишават всяка година.
rock (stone)	камък	Камъкът е тежък.
