source_headword	KN	example_KN
obtain	ಪಡೆದುಕೊಳ್ಳು	ನೀವು ಲಿಖಿತ ಅನುಮತಿಯನ್ನು ಪಡೆಯಬೇಕು.
occasionally	ಸಾಂದರ್ಭಿಕವಾಗಿ	ಅವಳು ಸಾಂದರ್ಭಿಕವಾಗಿ ಮನೆಯಿಂದ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
offence	ಅಪರಾಧ	ಆ ಕಾಮೆಂಟ್ ಗಂಭೀರವಾದ ಅಪರಾಧವನ್ನು ಉಂಟುಮಾಡಿತು.
offend	ನೋವುಂಟು ಮಾಡು	ನಾನು ಯಾರಿಗೂ ನೋವುಂಟು ಮಾಡಲು ಉದ್ದೇಶಿಸಿರಲಿಲ್ಲ.
offensive	ಆಕ್ರಮಣಕಾರಿ	ಪೋಸ್ಟರ್ ಆಕ್ರಮಣಕಾರಿ ಭಾಷೆಯನ್ನು ಹೊಂದಿತ್ತು.
opening	ಉದ್ಯೋಗಾವಕಾಶ	ಉದ್ಯೋಗಾವಕಾಶವು ಅನೇಕ ಅರ್ಜಿದಾರರನ್ನು ಆಕರ್ಷಿಸಿತು.
operate	ಕಾರ್ಯನಿರ್ವಹಿಸು	ಯಂತ್ರವು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸಬಹುದು.
opponent	ವಿರೋಧಿ	ಅವಳ ವಿರೋಧಿಯು ನೀತಿಯನ್ನು ಟೀಕಿಸಿದರು.
oppose	ವಿರೋಧಿಸು	ಅನೇಕ ನಿವಾಸಿಗಳು ಯೋಜನೆಯನ್ನು ವಿರೋಧಿಸುತ್ತಾರೆ.
opposed	ವಿರುದ್ಧ	ಗುಂಪುಗಳು ವಿರುದ್ಧ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಹೊಂದಿದ್ದವು.
opposition	ವಿರೋಧ	ಪ್ರಸ್ತಾವನೆಯು ಬಲವಾದ ವಿರೋಧವನ್ನು ಎದುರಿಸಿತು.
organ	ಅಂಗ	ಹೃದಯವು ಒಂದು ಪ್ರಮುಖ ಅಂಗವಾಗಿದೆ.
origin	ಮೂಲ	ಬೆಂಕಿಯ ಮೂಲ ತಿಳಿದಿಲ್ಲ.
otherwise	ಇಲ್ಲದಿದ್ದರೆ	ಈಗ ಹೊರಡಿ; ಇಲ್ಲದಿದ್ದರೆ, ನಿಮಗೆ ತಡವಾಗುತ್ತದೆ.
outcome	ಫಲಿತಾಂಶ	ಫಲಿತಾಂಶವು ಎಲ್ಲರಿಗೂ ಆಶ್ಚರ್ಯವನ್ನುಂಟು ಮಾಡಿತು.
outer	ಹೊರಗಿನ	ಹೊರಗಿನ ಗೋಡೆಗೆ ದುರಸ್ತಿ ಅಗತ್ಯವಿದೆ.
outline	ರೂಪರೇಖೆ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮುಖ್ಯ ವಾದದ ರೂಪರೇಖೆಯನ್ನು ನೀಡಿ.
overall	ಒಟ್ಟಾರೆ	ಒಟ್ಟಾರೆ ಫಲಿತಾಂಶವು ಸಕಾರಾತ್ಮಕವಾಗಿತ್ತು.
owe	ಋಣಿಯಾಗಿರು	ನಾನು ನಿಮಗೆ ಕ್ಷಮೆಯಾಚಿಸಬೇಕಾಗಿದೆ.
pace	ವೇಗ	ಸ್ಥಿರವಾದ ವೇಗದಲ್ಲಿ ನಡೆಯಿರಿ.
panel	ಸಮಿತಿ	ಸಮಿತಿಯು ಹವಾಮಾನ ನೀತಿಯನ್ನು ಚರ್ಚಿಸಿತು.
parliament	ಸಂಸತ್ತು	ಸಂಸತ್ತು ಹೊಸ ಕಾನೂನನ್ನು ಅನುಮೋದಿಸಿತು.
participant	ಭಾಗವಹಿಸುವವರು	ಪ್ರತಿಯೊಬ್ಬ ಭಾಗವಹಿಸುವವರು ಫಾರ್ಮ್‌ಗೆ ಸಹಿ ಹಾಕಿದ್ದಾರೆ.
partly	ಭಾಗಶಃ	ವಿಳಂಬಕ್ಕೆ ಭಾಗಶಃ ನಮ್ಮದೇ ತಪ್ಪು.
passage	ಪ್ಯಾರಾ	ಉತ್ತರಿಸುವ ಮೊದಲು ಪ್ಯಾರಾವನ್ನು ಓದಿ.
pension1	ಪಿಂಚಣಿ	ನಿವೃತ್ತಿಯ ನಂತರ ಅವನ ಪಿಂಚಣಿ ಅವನಿಗೆ ಬೆಂಬಲ ನೀಡುತ್ತದೆ.
permanent	ಶಾಶ್ವತ	ಅವರಿಗೆ ಶಾಶ್ವತ ಪರಿಹಾರದ ಅಗತ್ಯವಿದೆ.
permit	ಅನುಮತಿಸು	ನಿಯಮಗಳು ಸಣ್ಣ ಭೇಟಿಗಳನ್ನು ಅನುಮತಿಸುತ್ತವೆ.
perspective	ದೃಷ್ಟಿಕೋನ	ಅವಳ ದೃಷ್ಟಿಕೋನವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಪ್ರಯತ್ನಿಸಿ.
phase	ಹಂತ	ಯೋಜನೆಯು ಅಂತಿಮ ಹಂತವನ್ನು ತಲುಪಿದೆ.
phenomenon	ವಿದ್ಯಮಾನ	ಈ ವಿದ್ಯಮಾನವು ಅನೇಕ ಸಂಸ್ಕೃತಿಗಳಲ್ಲಿ ಸಂಭವಿಸುತ್ತದೆ.
philosophy	ತತ್ವಶಾಸ್ತ್ರ	ಅವಳ ತತ್ವಶಾಸ್ತ್ರವು ಪ್ರಾಯೋಗಿಕ ಕ್ರಿಯೆಯನ್ನು ಗೌರವಿಸುತ್ತದೆ.
pile	ರಾಶಿ	ಕಾಗದಗಳ ರಾಶಿಯು ಮೇಜನ್ನು ಆವರಿಸಿತು.
pitch	ಮೈದಾನ	ತಂಡವು ಮೈದಾನವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಸಿದ್ಧಪಡಿಸಿತು.
plain	ಸ್ಪಷ್ಟ	ಸೂಚನೆಗಳು ಸ್ಪಷ್ಟ ಮತ್ತು ನೇರವಾಗಿದ್ದವು.
pointed	ಚೂಪಾದ	ಅವರು ಚೂಪಾದ ಟೀಕೆ ಮಾಡಿದರು.
popularity	ಜನಪ್ರಿಯತೆ	ಗಾಯಕ ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಜನಪ್ರಿಯತೆಯನ್ನು ಗಳಿಸಿದರು.
pose	ಒಡ್ಡು	ಪ್ರಶ್ನೆಯು ಸಮಸ್ಯೆಯನ್ನು ಒಡ್ಡಬಹುದು.
possess	ಹೊಂದಿರು	ಕೆಲವೇ ವಿದ್ಯಾರ್ಥಿಗಳು ಆ ಕೌಶಲ್ಯವನ್ನು ಹೊಂದಿದ್ದಾರೆ.
potential	ಸಾಮರ್ಥ್ಯ	ಕಲ್ಪನೆಯು ನೈಜ ಸಾಮರ್ಥ್ಯವನ್ನು ಹೊಂದಿದೆ.
praise	ಪ್ರಶಂಸೆ	ಶಿಕ್ಷಕರು ಪ್ರಾಮಾಣಿಕ ಪ್ರಶಂಸೆ ನೀಡಿದರು.
pregnant	ಗರ್ಭಿಣಿ	ಅವಳು ಆರು ತಿಂಗಳ ಗರ್ಭಿಣಿ.
preparation	ಸಿದ್ಧತೆ	ಉತ್ತಮ ಸಿದ್ಧತೆಯು ಒತ್ತಡವನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ.
presence	ಉಪಸ್ಥಿತಿ	ಅವನ ಉಪಸ್ಥಿತಿಯು ಮನಸ್ಥಿತಿಯನ್ನು ಬದಲಾಯಿಸಿತು.
preserve	ಸಂರಕ್ಷಿಸು	ನಾವು ಈ ಐತಿಹಾಸಿಕ ಕಟ್ಟಡವನ್ನು ಸಂರಕ್ಷಿಸಬೇಕು.
prime	ಮುಖ್ಯ	ಕಳಪೆ ಯೋಜನೆಯೇ ಮುಖ್ಯ ಕಾರಣ.
principle	ತತ್ವ	ನಿರ್ಧಾರವು ಸ್ಪಷ್ಟ ತತ್ವವನ್ನು ಅನುಸರಿಸಿತು.
priority	ಆದ್ಯತೆ	ಸುರಕ್ಷತೆಯು ನಮ್ಮ ಮೊದಲ ಆದ್ಯತೆಯಾಗಿದೆ.
privacy	ಗೌಪ್ಯತೆ	ಗ್ರಾಹಕರು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಗೌಪ್ಯತೆಯನ್ನು ನಿರೀಕ್ಷಿಸುತ್ತಾರೆ.
procedure	ಕಾರ್ಯವಿಧಾನ	ಕಾರ್ಯವಿಧಾನವು ಮೂವತ್ತು ನಿಮಿಷಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
proof	ಪುರಾವೆ	ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಮೊದಲು ನಮಗೆ ಪುರಾವೆ ಬೇಕು.
proposal	ಪ್ರಸ್ತಾವನೆ	ಪ್ರಸ್ತಾವನೆಗೆ ಹೆಚ್ಚಿನ ವಿವರಗಳ ಅಗತ್ಯವಿದೆ.
propose	ಪ್ರಸ್ತಾಪಿಸು	ನಾನು ವಿಭಿನ್ನ ಪರಿಹಾರವನ್ನು ಪ್ರಸ್ತಾಪಿಸುತ್ತೇನೆ.
prospect	ನಿರೀಕ್ಷೆ	ವೈಫಲ್ಯದ ನಿರೀಕ್ಷೆಯು ಅವರನ್ನು ಚಿಂತೆಗೀಡುಮಾಡಿತು.
protection	ರಕ್ಷಣೆ	ಹೆಲ್ಮೆಟ್ ಮೂಲಭೂತ ರಕ್ಷಣೆಯನ್ನು ನೀಡುತ್ತದೆ.
psychologist	ಮನಶ್ಶಾಸ್ತ್ರಜ್ಞ	ಮನಶ್ಶಾಸ್ತ್ರಜ್ಞ ಪರೀಕ್ಷೆಯ ಫಲಿತಾಂಶಗಳನ್ನು ವಿವರಿಸಿದರು.
psychology	ಮನೋವಿಜ್ಞಾನ	ಅವಳು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಮನೋವಿಜ್ಞಾನವನ್ನು ಅಧ್ಯಯನ ಮಾಡುತ್ತಾಳೆ.
publication	ಪ್ರಕಟಣೆ	ಪ್ರಕಟಣೆಯು ಸಾರ್ವಜನಿಕರ ಗಮನವನ್ನು ಸೆಳೆಯಿತು.
pupil	ವಿದ್ಯಾರ್ಥಿ	ಪ್ರತಿಯೊಬ್ಬ ವಿದ್ಯಾರ್ಥಿಯೂ ಹೊಸ ಪಠ್ಯಪುಸ್ತಕವನ್ನು ಪಡೆದರು.
purchase	ಖರೀದಿಸು	ಅವರು ಪ್ರತಿ ತಿಂಗಳು ಸರಬರಾಜುಗಳನ್ನು ಖರೀದಿಸುತ್ತಾರೆ.
pure	ಶುದ್ಧ	ನೀರು ಶುದ್ಧ ಮತ್ತು ತಂಪಾಗಿತ್ತು.
pursue	ಮುಂದುವರಿಸು	ಅವರು ವೈದ್ಯಕೀಯ ವೃತ್ತಿಯನ್ನು ಮುಂದುವರಿಸುತ್ತಾರೆ.
rank	ಶ್ರೇಣಿ	ಅವರು ಹಿರಿಯ ಶ್ರೇಣಿಯನ್ನು ಹೊಂದಿದ್ದಾರೆ.
rapid	ತ್ವರಿತ	ದೇಶವು ತ್ವರಿತ ಬೆಳವಣಿಗೆಯನ್ನು ಕಂಡಿತು.
rapidly	ವೇಗವಾಗಿ	ಈ ವರ್ಷ ಬೆಲೆಗಳು ವೇಗವಾಗಿ ಏರಿದವು.
raw	ಹಸಿ	ಬಾಣಸಿಗ ಹಸಿ ತರಕಾರಿಗಳನ್ನು ಸಿದ್ಧಪಡಿಸಿದರು.
realistic	ವಾಸ್ತವಿಕ	ವಾಸ್ತವಿಕ ಗಡುವನ್ನು ಹೊಂದಿಸಿ.
reasonable	ಸಮಂಜಸವಾದ	ಅದು ಸಮಂಜಸವಾದ ವಿನಂತಿಯಂತೆ ತೋರುತ್ತದೆ.
recall	ನೆನಪಿಸಿಕೊ	ನಾನು ಅವನ ನಿಖರವಾದ ಮಾತುಗಳನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತೇನೆ.
recover	ಚೇತರಿಸಿಕೊ	ಚಿಕಿತ್ಸೆಯ ನಂತರ ಅವಳು ಚೇತರಿಸಿಕೊಳ್ಳುತ್ತಾಳೆ.
reduction	ಕಡಿತ	ಕಡಿತವು ಹಣವನ್ನು ಉಳಿಸಿತು.
regard	ಪರಿಗಣಿಸು	ಅನೇಕರು ಅವಳನ್ನು ಪ್ರಾಮಾಣಿಕಳೆಂದು ಪರಿಗಣಿಸುತ್ತಾರೆ.
regional	ಪ್ರಾದೇಶಿಕ	ಪ್ರಾದೇಶಿಕ ಕಛೇರಿ ಇಂದು ಮುಚ್ಚಲ್ಪಟ್ಟಿದೆ.
register	ನೋಂದಾಯಿಸು	ದಯವಿಟ್ಟು ಸಮ್ಮೇಳನಕ್ಕೂ ಮೊದಲು ನೋಂದಾಯಿಸಿ.
regret	ವಿಷಾದಿಸು	ನನ್ನ ಹಿಂದಿನ ನಿರ್ಧಾರಕ್ಕಾಗಿ ನಾನು ವಿಷಾದಿಸುತ್ತೇನೆ.
regulation	ನಿಯಂತ್ರಣ	ಹೊಸ ನಿಯಂತ್ರಣವು ಎಲ್ಲಾ ಚಾಲಕರ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
relatively	ತುಲನಾತ್ಮಕವಾಗಿ	ಪರೀಕ್ಷೆಯು ತುಲನಾತ್ಮಕವಾಗಿ ಸುಲಭವಾಗಿತ್ತು.
relevant	ಸಂಬಂಧಿತ	ಸಂಬಂಧಿತ ವಿವರಗಳನ್ನು ಮಾತ್ರ ಆರಿಸಿ.
relief	ಪರಿಹಾರ	ಈ ಸುದ್ದಿಯು ದೊಡ್ಡ ಪರಿಹಾರವನ್ನು ತಂದಿತು.
rely	ಅವಲಂಬಿಸು	ಮಕ್ಕಳು ವಯಸ್ಕರ ಬೆಂಬಲವನ್ನು ಅವಲಂಬಿಸಿರುತ್ತಾರೆ.
remark	ಹೇಳಿಕೆ	ಅವನ ಹೇಳಿಕೆಯು ಚರ್ಚೆಯನ್ನು ಕೊನೆಗೊಳಿಸಿತು.
representative	ಪ್ರತಿನಿಧಿ	ಪ್ರತಿನಿಧಿಯು ಸ್ಥಳೀಯ ಕಾರ್ಮಿಕರನ್ನು ಭೇಟಿಯಾದರು.
reputation	ಖ್ಯಾತಿ	ಹೋಟೆಲ್ ಒಳ್ಳೆಯ ಖ್ಯಾತಿಯನ್ನು ಹೊಂದಿದೆ.
requirement	ಅವಶ್ಯಕತೆ	ಅನುಭವವು ಒಂದು ಮೂಲಭೂತ ಅವಶ್ಯಕತೆಯಾಗಿದೆ.
rescue	ರಕ್ಷಿಸು	ಅವರು ಪ್ರವಾಹದಿಂದ ಜನರನ್ನು ರಕ್ಷಿಸುತ್ತಾರೆ.
reserve	ಕಾಯ್ದಿರಿಸು	ನಾವು ಅತಿಥಿಗಳಿಗಾಗಿ ಆಸನಗಳನ್ನು ಕಾಯ್ದಿರಿಸುತ್ತೇವೆ.
resident	ನಿವಾಸಿ	ಪ್ರತಿಯೊಬ್ಬ ನಿವಾಸಿಯೂ ಒಂದು ಸೂಚನೆಯನ್ನು ಪಡೆದರು.
resist	ವಿರೋಧಿಸು	ಒತ್ತಡವನ್ನು ವಿರೋಧಿಸಲು ಪ್ರಯತ್ನಿಸಿ.
resolve	ಪರಿಹರಿಸು	ಅವರು ವಿವಾದವನ್ನು ಶಾಂತಿಯುತವಾಗಿ ಪರಿಹರಿಸಿದರು.
resort	ರೆಸಾರ್ಟ್	ದ್ವೀಪದ ರೆಸಾರ್ಟ್ ಮೇ ತಿಂಗಳಲ್ಲಿ ತೆರೆಯಲ್ಪಟ್ಟಿತು.
retain	ಉಳಿಸಿಕೊಳ್ಳು	ಕಂಪನಿಯು ಸಿಬ್ಬಂದಿಯನ್ನು ಉಳಿಸಿಕೊಳ್ಳಲು ಬಯಸುತ್ತದೆ.
reveal	ಬಹಿರಂಗಪಡಿಸು	ವರದಿಯು ಸತ್ಯವನ್ನು ಬಹಿರಂಗಪಡಿಸುತ್ತದೆ.
