source_headword	AZ	example_AZ
personal	şəxsi	Bu mənim şəxsi telefonumdur.
phone	telefon	Telefonum çantamdadır.
photo	foto	Burada foto çəkin.
photograph	fotoşəkil	Bu fotoşəkil köhnədir.
phrase	ifadə	Zəhmət olmasa, ifadəni təkrar edin.
piano	piano	O, piano çalır.
picture	şəkil	Bu şəklə baxın.
piece	parça	Tortdan bir parça götürün.
pig	donuz	Donuz fermadadır.
pink	çəhrayı	Onun çantası çəhrayıdır.
place	yer	Bu yer sakitdir.
plan	plan	Bizə plan lazımdır.
plane	təyyarə	Təyyarə gecikdi.
plant	bitki	Bu gün bitkiyə su verin.
play	oynamaq	Uşaqlar parkda oynayır.
player	oyunçu	Oyunçu tez qaçır.
please	zəhmət olmasa	Zəhmət olmasa, burada oturun.
point	nöqtə; fikir	Bu fikir vacibdir.
police	polis	Polis çöldədir.
policeman	polis işçisi	Polis işçisi bizə kömək edir.
pool	hovuz	Hovuz soyuqdur.
poor	kasıb	Kasıb uşaq acdır.
popular	məşhur	Bu mahnı məşhurdur.
positive	müsbət	Bu müsbət nəticədir.
possible	mümkün	Bu gün mümkündürmü?
post	paylaşım; poçt	Mən onun onlayn paylaşımını oxuyuram.
potato	kartof	Mən kartof yeyirəm.
pound	funt	Bu bir funtdur.
practice	məşq	Məşq hər gün kömək edir.
practise	məşq etmək	Mən hər gün ingilis dilini məşq edirəm.
prefer	üstün tutmaq	Mən çayı üstün tuturam.
prepare	hazırlamaq	Çantanızı bu axşam hazırlayın.
present	indiki; burada olan	O, bu gün dərsdədir.
pretty	gözəl	Bağ gözəldir.
price	qiymət	Qiymət aşağıdır.
probably	yəqin	O, yəqin bilir.
problem	problem; məsələ	Bu problem kiçikdir.
product	məhsul	Bu məhsul yenidir.
programme	proqram	Proqram indi başlayır.
project	layihə	Layihəmiz hazırdır.
purple	bənövşəyi	Paltar bənövşəyidir.
put	qoymaq	Kitabı bura qoyun.
quarter	dörddə bir; on beş dəqiqə	İndi saat ikinin on beşidir.
question	sual	Bir sual verin.
quick	sürətli	Bu sürətli testdir.
quickly	tez	Zəhmət olmasa, tez gedin.
quiet	sakit	Kitabxana sakitdir.
quite	xeyli	Bu otaq xeyli kiçikdir.
radio	radio	Radio səsi ucadır.
rain	yağış	Yağış indi başlayır.
read	oxumaq	Bu cümləni oxuyun.
reader	oxucu	Oxucu hekayəni sevir.
reading	oxumaq	Oxumaq mənə öyrənməyə kömək edir.
ready	hazır	Şam yeməyi hazırdır.
real	həqiqi	Bu həqiqi problemdir.
really	həqiqətən	Mən bu mahnını həqiqətən sevirəm.
reason	səbəb	Mənə səbəbini deyin.
red	qırmızı	Qapı qırmızıdır.
relax	dincəlmək	İşdən sonra dincəlin.
remember	xatırlamaq	Pasportunuzu unutmayın.
repeat	təkrar etmək	Zəhmət olmasa, cümləni təkrar edin.
report	hesabat	Hesabatı bu axşam oxuyun.
restaurant	restoran	Restoran doludur.
result	nəticə	Nəticə yaxşıdır.
return	qaytarmaq; qayıtmaq	Kitabı sabah qaytarın.
rice	düyü	Mən naharda düyü yeyirəm.
rich	varlı	Bu varlı şəhərdir.
ride	minmək	Mən velosipedimə minirəm.
right	sağ; düzgün	Burada sağa dönün.
river	çay	Çay genişdir.
road	yol	Bu yol uzundur.
room	otaq	Mənim otağım təmizdir.
routine	gündəlik rejim	Gündəlik rejimim erkən başlayır.
rule	qayda	Bu qayda sadədir.
run	qaçmaq	Mən hər səhər qaçıram.
sad	kədərli	O, bu gün kədərlidir.
salad	salat	Bu salat təzədir.
salt	duz	Bir az duz əlavə edin.
same	eyni	Bizdə eyni çanta var.
sandwich	sendviç	Mən sendviç yeyirəm.
Saturday	şənbə	Biz şənbə günü görüşürük.
say	demək	Zəhmət olmasa, adınızı deyin.
school	məktəb	Məktəbim buraya yaxındır.
science	elm; təbiətşünaslıq	Mən təbiətşünaslıq fənnini oxuyuram.
scientist	alim	Alim sual verir.
sea	dəniz	Dəniz mavidir.
second1 (unit of time)	saniyə	Bir saniyə gözləyin.
section	bölmə	Bu bölməni oxuyun.
see	görmək	Mən dostumu görürəm.
sell	satmaq	Onlar təzə meyvə satırlar.
send	göndərmək	İndi mesaj göndərin.
sentence	cümlə	Bir cümlə yazın.
September	sentyabr	Məktəb sentyabrda başlayır.
seven	yeddi	Burada yeddi adam var.
seventeen	on yeddi	O, on yeddi yaşındadır.
seventy	yetmiş	Nənəm yetmiş yaşındadır.
share	bölüşmək	Tortu bölüşün.
she	o	O, mənim bacımdır.
sheep	qoyun	Qoyun ot yeyir.
shirt	köynək	Onun köynəyi təmizdir.
shoe	ayaqqabı	Bir ayaqqabı çarpayının altındadır.
shop	mağaza	Mağaza erkən bağlanır.
shopping	alış-veriş	Bu gün alış-veriş maraqlıdır.
short	qısa	Bu hekayə qısadır.
should modal	lazımdır	Siz bu gün dincəlməlisiniz.
show	göstərmək	Biletinizi mənə göstərin.
shower	duş	Mən duş qəbul edirəm.
sick	xəstə	Mən bu gün xəstəyəm.
similar	oxşar	Çantalarımız oxşardır.
sing	mahnı oxumaq	Mən sinifdə mahnı oxuyuram.
singer	müğənni	Müğənni məşhurdur.
sister	bacı	Bacım gəncdir.
sit	oturmaq	Pəncərə yanında oturun.
situation	vəziyyət	Bu vəziyyət yenidir.
six	altı	Burada altı kitab var.
sixteen	on altı	O, on altı yaşındadır.
sixty	altmış	Atam altmış yaşındadır.
skill	bacarıq	Bu bacarıq faydalıdır.
skirt	yubka	Onun yubkası mavidir.
sleep	yatmaq	Mən səkkiz saat yatıram.
slow	yavaş	Avtobus yavaşdır.
small	kiçik	Otaq kiçikdir.
snake	ilan	İlan uzundur.
snow	qar	Qışda qar yağır.
so	buna görə	Mən yorulmuşam, buna görə dincəlirəm.
some	bəzi; bir az	Mənə bir az su lazımdır.
somebody	kimsə	Qapının yanında kimsə var.
someone	kimsə	Kimsə mesaj qoydu.
something	nəsə	Mənə içməyə nəsə lazımdır.
sometimes	bəzən	Mən bəzən məktəbə piyada gedirəm.
son	oğul	Onun oğlu məktəbdədir.
song	mahnı	Bu mahnı yenidir.
soon	tezliklə	Tezliklə görüşərik.
sorry	bağışlayın	Bağışlayın.
sound	səs	Səs ucadır.
soup	şorba	Şorba istidir.
south	cənub	Otel buradan cənubdadır.
space	yer	Bir stul üçün yer var.
speak	danışmaq	Zəhmət olmasa, yavaş danışın.
special	xüsusi	Bu gün xüsusi gündür.
spell	hərfləmək	Adınızı hərfləyin.
spelling	orfoqrafiya	Orfoqrafiyanızı yoxlayın.
spend	xərcləmək	Mən yeməyə pul xərcləyirəm.
sport	idman	Futbol məşhur idmandır.
spring	yaz	Yazda güllər böyüyür.
stand	dayanmaq	Qapının yanında dayanın.
star	ulduz	Mən parlaq ulduz görürəm.
start	başlamaq	Dərsə indi başlayın.
statement	bəyanat	Bu bəyanat düzgündür.
station	stansiya	Stansiya yaxındır.
stay	qalmaq	Bu gün evdə qalın.
still	hələ	Mən hələ acam.
stop	dayanmaq	Küncdə dayanın.
story	hekayə	Mənə hekayə danışın.
street	küçə	Bu küçə sakitdir.
strong	güclü	O, güclüdür.
student	tələbə	Tələbə kitab oxuyur.
study	oxumaq	Mən ingilis dilini oxuyuram.
style	üslub	Bu üslub mənim xoşuma gəlir.
subject	fənn	İngilis dili mənim əsas fənnimdir.
success	uğur	Uğur üçün məşq lazımdır.
sugar	şəkər	Çaya şəkər əlavə edin.
summer	yay	Burada yay istidir.
sun	günəş	Günəş parlaqdır.
Sunday	bazar günü	Biz bazar günü dincəlirik.
supermarket	supermarket	Supermarket açıqdır.
sure	əmin	Mən əminəm.
sweater	sviter	Mənim sviterim istidir.
swim	üzmək	Mən hər həftə üzürəm.
swimming	üzgüçülük	Üzgüçülük yaxşı məşqdir.
table	masa	Açarlar masanın üstündədir.
