simplified	ES	example_ES	ES-419	example_ES-419
家	la casa; la familia	Mi casa está en Pekín.	la casa; la familia	Mi casa está en Beijing.
叫	llamarse; llamar	¿Cómo te llamas?	llamarse; llamar	¿Cómo te llamas?
今天	hoy	Hoy hace calor.	hoy	Hoy hace calor.
九	nueve	Ahora son las nueve.	nueve	Ahora son las nueve.
开	abrir; encender	Enciendo el ordenador.	abrir; encender	Enciendo la computadora.
看	mirar; ver; leer	Leo un libro.	mirar; ver; leer	Leo un libro.
看见	ver	Veo al profesor.	ver	Veo al profesor.
块	el pedazo; el yuan	Este libro cuesta diez yuanes.	el pedazo; el yuan	Este libro cuesta diez yuanes.
来	venir	Él viene a la escuela.	venir	Él viene a la escuela.
老师	el profesor; la profesora; el maestro; la maestra	El profesor está en la escuela.	el maestro; la maestra; el profesor; la profesora	El maestro está en la escuela.
了	la partícula de acción completada	Comí arroz.	la partícula de acción completada	Comí arroz.
冷	frío	Hoy hace frío.	frío	Hoy hace frío.
里	dentro; en	Hay agua en la taza.	dentro; en	Hay agua en la taza.
零	cero	Cero no es uno.	cero	Cero no es uno.
六	seis	Ahora son las seis.	seis	Ahora son las seis.
妈妈	mamá; la madre	Mamá bebe té.	mamá; la madre	Mamá bebe té.
吗	la partícula interrogativa	¿Eres estudiante?	la partícula interrogativa	¿Eres estudiante?
买	comprar	Compro manzanas.	comprar	Compro manzanas.
猫	el gato	El gato está en la silla.	el gato	El gato está en la silla.
没	no tener; no	No tengo dinero.	no tener; no	No tengo dinero.
没关系	no pasa nada; no importa	No pasa nada.	no pasa nada; no importa	No pasa nada.
米饭	el arroz cocido	Como arroz.	el arroz cocido	Como arroz.
名字	el nombre	¿Cómo te llamas?	el nombre	¿Cómo te llamas?
明天	mañana	Mañana voy a Pekín.	mañana	Mañana voy a Beijing.
哪	cuál; cuáles; dónde; adónde	¿Adónde vas?	cuál; cuáles; dónde; adónde	¿Adónde vas?
那	ese; esa; eso; esos; esas	Ese es mi profesor.	ese; esa; eso; esos; esas	Ese es mi maestro.
呢	la partícula interrogativa; ¿y...?	¿Y tú?	la partícula interrogativa; ¿y...?	¿Y tú?
能	poder; ser capaz	¿Puedo ir?	poder; ser capaz	¿Puedo ir?
你	tú	¿Cómo estás?	tú	¿Cómo estás?
年	el año	Un año tiene doce meses.	el año	Un año tiene doce meses.
女儿	la hija	Su hija es muy bonita.	la hija	Su hija es muy bonita.
朋友	el amigo; la amiga	Él es mi amigo.	el amigo; la amiga	Él es mi amigo.
漂亮	bonito; hermoso	Ella es muy bonita.	bonito; hermoso	Ella es muy bonita.
苹果	la manzana	Me gustan las manzanas.	la manzana	Me gustan las manzanas.
七	siete	Ahora son las siete.	siete	Ahora son las siete.
前面	delante; enfrente	El restaurante está delante de la tienda.	delante; enfrente	El restaurante está delante de la tienda.
钱	el dinero	No tengo dinero.	el dinero	No tengo dinero.
请	por favor; invitar; pedir	Por favor, toma té.	por favor; invitar; pedir	Por favor, toma té.
去	ir	Voy a la escuela.	ir	Voy a la escuela.
热	caliente; caluroso	Hoy hace calor.	caliente; caluroso	Hoy hace calor.
人	la persona; la gente	Hay mucha gente en la escuela.	la persona; la gente	Hay mucha gente en la escuela.
认识	conocer; reconocer	Lo conozco.	conocer; reconocer	Lo conozco.
日	el día; la fecha	Hoy es uno de marzo.	el día; la fecha	Hoy es primero de marzo.
三	tres	Tengo tres tazas.	tres	Tengo tres tazas.
商店	la tienda	La tienda está delante de la escuela.	la tienda	La tienda está delante de la escuela.
上	arriba; sobre; en	El libro está sobre la mesa.	arriba; sobre; en	El libro está sobre la mesa.
上午	la mañana; antes del mediodía	Por la mañana estudio chino.	la mañana; antes del mediodía	Por la mañana estudio chino.
少	poco; pocos	Hay pocos estudiantes.	poco; pocos	Hay pocos estudiantes.
什么	qué	¿Qué es esto?	qué	¿Qué es esto?
十	diez	Tengo diez libros.	diez	Tengo diez libros.
时候	el tiempo; el momento	¿Cuándo vienes?	el tiempo; el momento	¿Cuándo vienes?
是	ser; sí	Soy estudiante.	ser; sí	Soy estudiante.
书	el libro	Leo un libro.	el libro	Leo un libro.
谁	quién	¿Quién es él?	quién	¿Quién es él?
水	el agua	Bebo agua.	el agua	Bebo agua.
水果	la fruta	Compro fruta.	la fruta	Compro fruta.
睡觉	dormir; irse a dormir	Voy a dormir.	dormir; irse a dormir	Voy a dormir.
说话	hablar	El profesor está hablando.	hablar	El maestro está hablando.
四	cuatro	Tengo cuatro amigos.	cuatro	Tengo cuatro amigos.
岁	años (edad)	Tengo diez años.	años (edad)	Tengo diez años.
他	él; lo	Él es profesor.	él; lo	Él es maestro.
她	ella; la	Ella es estudiante.	ella; la	Ella es estudiante.
太	demasiado; muy	Esta taza es demasiado grande.	demasiado; muy	Esta taza es demasiado grande.
天气	el tiempo; el clima	Hoy hace buen tiempo.	el clima; el tiempo	Hoy hace buen tiempo.
听	escuchar; oír	Escucho al profesor hablar.	escuchar; oír	Escucho al maestro hablar.
同学	el compañero de clase; la compañera de clase	Él es mi compañero de clase.	el compañero de clase; la compañera de clase	Él es mi compañero de clase.
喂	hola (por teléfono)	¿Diga?	hola (por teléfono)	¿Hola?
我	yo; me	Soy médico.	yo; me	Soy médico.
我们	nosotros	Vamos a la escuela.	nosotros	Vamos a la escuela.
五	cinco	Tengo cinco manzanas.	cinco	Tengo cinco manzanas.
喜欢	gustar	Me gusta beber té.	gustar	Me gusta beber té.
下	abajo; debajo; siguiente	El libro está debajo de la mesa.	abajo; debajo; siguiente	El libro está debajo de la mesa.
下午	tarde	Por la tarde voy a la tienda.	tarde	Por la tarde voy a la tienda.
下雨	llover	Hoy llueve.	llover	Hoy llueve.
先生	el señor; el esposo	Hola, señor.	el señor; el esposo	Hola, señor.
现在	ahora	Ahora estoy en la escuela.	ahora	Ahora estoy en la escuela.
想	querer; pensar; echar de menos	Quiero beber agua.	querer; pensar; extrañar	Quiero beber agua.
小	pequeño	Esta taza es pequeña.	pequeño	Esta taza es pequeña.
小姐	la señorita; la joven	Hola, señorita.	la señorita; la joven	Hola, señorita.
些	algunos; unos pocos	Tengo algunos libros.	algunos; unos pocos	Tengo algunos libros.
写	escribir	Escribo caracteres.	escribir	Escribo caracteres.
谢谢	gracias; agradecer	Gracias.	gracias; agradecer	Gracias.
星期	la semana; el día de la semana	Hoy es lunes.	la semana; el día de la semana	Hoy es lunes.
学生	el estudiante; la estudiante	Soy estudiante.	el estudiante; la estudiante	Soy estudiante.
学习	estudiar; aprender	Estudio chino.	estudiar; aprender	Estudio chino.
学校	la escuela; el colegio	La escuela es grande.	la escuela; el colegio	La escuela es grande.
一	uno	Tengo una taza.	uno	Tengo una taza.
衣服	la ropa	Compro ropa.	la ropa	Compro ropa.
医生	el médico; la médica	Ella es médica.	el médico; la médica	Ella es médica.
医院	el hospital	El hospital está delante de la escuela.	el hospital	El hospital está delante de la escuela.
椅子	la silla	La silla está detrás de la mesa.	la silla	La silla está detrás de la mesa.
有	tener; haber	Tengo amigos.	tener; haber	Tengo amigos.
月	el mes; la luna	Hoy es cuatro de mayo.	el mes; la luna	Hoy es cuatro de mayo.
再见	adiós	Adiós, profesor.	adiós	Adiós, maestro.
在	estar; en	Estoy en casa.	estar; en	Estoy en casa.
怎么	cómo	¿Cómo se lee este carácter?	cómo	¿Cómo se lee este carácter?
怎么样	qué tal; cómo	¿Cómo estás hoy?	qué tal; cómo	¿Cómo estás hoy?
这	este; esta; esto; estos; estas	Este es mi libro.	este; esta; esto; estos; estas	Este es mi libro.
中国	China	Voy a China.	China	Voy a China.
中午	el mediodía	Al mediodía como arroz.	el mediodía	Al mediodía como arroz.
住	vivir; alojarse	Vivo en Pekín.	vivir; alojarse	Vivo en Beijing.
桌子	la mesa; el escritorio	El libro está sobre la mesa.	la mesa; el escritorio	El libro está sobre la mesa.
字	el carácter; la palabra	Este carácter es pequeño.	el carácter; la palabra	Este carácter es pequeño.
昨天	ayer	Ayer vi una película.	ayer	Ayer vi una película.
坐	sentarse; tomar transporte	Voy a Pekín en avión.	sentarse; tomar transporte	Voy a Beijing en avión.
做	hacer; preparar	Cocino.	hacer; preparar	Cocino.
