source_headword	MY	example_MY
sir	ဆရာ	ဆရာ၊ သင့်အိတ်က အသင့်ဖြစ်ပါပြီ။
site	ဆိုက်	ဒီဆိုက်က လုံခြုံတယ်။
size	အရွယ်အစား	မင်း ဘယ်အရွယ်အစား လိုသလဲ။
ski	နှင်းလျှောစီးသည်	ကျွန်တော်တို့ ဆောင်းရာသီမှာ နှင်းလျှောစီးတယ်။
skiing	နှင်းလျှောစီးခြင်း	ဆောင်းရာသီမှာ နှင်းလျှောစီးခြင်းက ပျော်စရာကောင်းတယ်။
skin	အရေပြား	သူမရဲ့ အရေပြားက ခြောက်နေတယ်။
sky	ကောင်းကင်	ကောင်းကင်က ကြည်လင်တယ်။
slowly	ဖြည်းဖြည်း	ရေခဲပေါ်မှာ ဖြည်းဖြည်း လမ်းလျှောက်ပါ။
smartphone	စမတ်ဖုန်း	ကျွန်တော့် စမတ်ဖုန်းက အသစ်ပါ။
smell	အနံ့	စွပ်ပြုတ်က အနံ့ကောင်းတယ်။
smile	ပြုံးသည်	ကင်မရာအတွက် ပြုံးပါ။
smoke	မီးခိုး	မီးခိုးက အခန်းကို ပြည့်သွားတယ်။
smoking	ဆေးလိပ်သောက်ခြင်း	ဆေးလိပ်သောက်ခြင်းကို ခွင့်မပြုပါ။
soap	ဆပ်ပြာ	ဆပ်ပြာနဲ့ ရေကို အသုံးပြုပါ။
soccer	ဘောလုံး	ဒီမှာ ဘောလုံးက လူကြိုက်များတယ်။
social	လူမှုရေးဆိုင်ရာ	ဒါက လူမှုရေးဆိုင်ရာ ပွဲတစ်ခုပါ။
society	လူ့အဖွဲ့အစည်း	လူ့အဖွဲ့အစည်းက အချိန်နဲ့အမျှ ပြောင်းလဲတယ်။
sock	ခြေအိတ်	ခြေအိတ်တစ်ဖက် ပျောက်နေတယ်။
soft	နူးညံ့သော	ဒီစောင်က နူးညံ့တယ်။
soldier	စစ်သား	စစ်သားက အိမ်ပြန်လာတယ်။
solution	ဖြေရှင်းချက်	ကျွန်တော်တို့ ဖြေရှင်းချက်တစ်ခု တွေ့ခဲ့တယ်။
solve	ဖြေရှင်းသည်	ဒီပဟေဠိကို ဖြေရှင်းပါ။
somewhere	တစ်နေရာရာ	အဲဒါကို လုံခြုံတဲ့ တစ်နေရာရာမှာ ထားပါ။
sort	အမျိုးအစား	မင်း ဘယ်အမျိုးအစားကို လိုချင်သလဲ။
source	ရင်းမြစ်	ရင်းမြစ်ကို အရင် စစ်ပါ။
speaker	စပီကာ; ဟောပြောသူ	စပီကာက အသံကျယ်တယ်။
specific	တိကျသော	ကျွန်တော် တိကျတဲ့ အဖြေ လိုတယ်။
speech	မိန့်ခွန်း	သူမရဲ့ မိန့်ခွန်းက တိုတယ်။
speed	အရှိန်	ဒီမှာ မင်းရဲ့ အရှိန်ကို လျှော့ပါ။
spider	ပင့်ကူ	နံရံပေါ်မှာ ပင့်ကူတစ်ကောင် ရှိတယ်။
spoon	ဇွန်း	စွပ်ပြုတ်အတွက် ဇွန်းကို အသုံးပြုပါ။
square	စတုရန်း	စတုရန်း သေတ္တာတစ်ခု ဆွဲပါ။
stage	စင်မြင့်	တီးဝိုင်းက စင်မြင့်ပေါ်မှာ ရှိတယ်။
stair	လှေကားထစ်	လှေကားထစ်က ပျက်နေတယ်။
stamp	တံဆိပ်ခေါင်း	စာပေါ်မှာ တံဆိပ်ခေါင်း ကပ်ပါ။
state	ပြောဆိုသည်	မင်းနာမည်ကို ရှင်းရှင်းလင်းလင်း ပြောပါ။
steal	ခိုးယူသည်	ငွေကို မခိုးယူပါနဲ့။
step	ခြေလှမ်း	ရှေ့ကို ခြေလှမ်းတစ်လှမ်း လှမ်းပါ။
stomach	ဗိုက်	ကျွန်တော့် ဗိုက် နာတယ်။
stone	ကျောက်	ကျောက်က လေးတယ်။
store	ဆိုင်	ဆိုင်က စောစော ပိတ်တယ်။
storm	မုန်တိုင်း	မုန်တိုင်းတစ်ခု လာနေတယ်။
straight	တည့်တည့်	အိမ်ကို တည့်တည့် သွားပါ။
strange	ထူးဆန်းသော	အဲဒီအသံက ထူးဆန်းတယ်။
strategy	မဟာဗျူဟာ	ကျွန်တော်တို့ မဟာဗျူဟာတစ်ခု လိုတယ်။
stress	ဖိစီးမှု	အလုပ်က ဖိစီးမှု ဖြစ်စေနိုင်တယ်။
structure	ဖွဲ့စည်းပုံ	ဒီဖွဲ့စည်းပုံက ခိုင်မာတယ်။
stupid	မိုက်မဲသော	အဲဒါက မိုက်မဲတဲ့ အမှားတစ်ခုပါ။
succeed	အောင်မြင်သည်	မင်း ဒီမှာ အောင်မြင်နိုင်တယ်။
successful	အောင်မြင်သော	သူမ အောင်မြင်လာတယ်။
such	ထိုသို့သော	ထိုသို့သော အကူအညီက အသုံးဝင်တယ်။
suddenly	ရုတ်တရက်	ရုတ်တရက် ခွေးက ပြေးထွက်သွားတယ်။
suggest	အကြံပြုသည်	ကျွန်တော် ခဏနားဖို့ အကြံပြုတယ်။
suggestion	အကြံပြုချက်	မင်းရဲ့ အကြံပြုချက်က အကူအညီဖြစ်တယ်။
suit	ဝတ်စုံ	ဒီဝတ်စုံက ဈေးကြီးတယ်။
support	ထောက်ခံသည်	ကျွန်တော်တို့ အသင်းကို ထောက်ခံတယ်။
suppose	ထင်သည်	မင်း မှန်တယ်လို့ ကျွန်တော် ထင်တယ်။
surprise	အံ့အားသင့်စရာ	အံ့အားသင့်စရာက သူမကို ပျော်စေတယ်။
surprised	အံ့အားသင့်သော	သူမ ဒီနေ့ အံ့အားသင့်ခဲ့တယ်။
surprising	အံ့အားသင့်စရာကောင်းသော	ရလဒ်က အံ့အားသင့်စရာကောင်းတယ်။
survey	စစ်တမ်း	ကျေးဇူးပြု၍ စစ်တမ်းကို ပြီးအောင် ဖြည့်ပါ။
sweet	ချိုသော	ဒီလက်ဖက်ရည်က ချိုတယ်။
symbol	သင်္ကေတ	ဒီသင်္ကေတက အန္တရာယ်ကို ဆိုလိုတယ်။
system	စနစ်	စနစ်က ကောင်းကောင်း အလုပ်လုပ်တယ်။
tablet	တက်ဘလက်	ကျွန်တော့် တက်ဘလက်က စားပွဲပေါ်မှာ ရှိတယ်။
target	ပစ်မှတ်	ပစ်မှတ်ကို သေချာ ထိပါ။
task	တာဝန်	ဒီတာဝန်က လွယ်တယ်။
taste	အရသာမြည်းသည်	စွပ်ပြုတ်ကို အရင် အရသာမြည်းပါ။
teaching	သင်ကြားခြင်း	သင်ကြားခြင်းက ခက်ခဲတဲ့ အလုပ်ပါ။
technology	နည်းပညာ	နည်းပညာက မြန်မြန် ပြောင်းလဲတယ်။
teenage	ဆယ်ကျော်သက်	ကျွန်တော့် ဆယ်ကျော်သက် ညီက ကြိုးစားပြီး စာလေ့လာတယ်။
temperature	အပူချိန်	အပူချိန်က နိမ့်တယ်။
term	ကာလ	ဒီကာလက မကြာခင် ပြီးမယ်။
themselves	သူတို့ကိုယ်တိုင်	သူတို့ကိုယ်တိုင် ညစာ ချက်တယ်။
thick	ထူသော	ဒီစာအုပ်က ထူတယ်။
thief	သူခိုး	သူခိုးက ထွက်ပြေးသွားတယ်။
thin	ပါးသော	စာရွက်က ပါးတယ်။
thinking	စဉ်းစားခြင်း	စဉ်းစားခြင်းက အချိန်ယူတယ်။
thought	အတွေး	ကျွန်တော့်မှာ ထူးဆန်းတဲ့ အတွေးတစ်ခု ရှိခဲ့တယ်။
throw	ပစ်သည်	ဘောလုံးကို ညင်ညင်သာသာ ပစ်ပါ။
tidy	သပ်ရပ်သော	မင်းအခန်းကို သပ်ရပ်အောင် ထားပါ။
tie	ချည်သည်	မင်းဖိနပ်ကို အခု ချည်ပါ။
tip	အကြံပြုချက်; အပိုဆု	ဝန်ဆောင်မှုအတွက် အပိုဆု ထားပါ။
tool	ကိရိယာ	မှန်ကန်တဲ့ ကိရိယာကို အသုံးပြုပါ။
top	အပေါ်ပိုင်း	အပေါ်ဆုံး စင်က ပြည့်နေတယ်။
touch	ထိသည်	ဖန်ခွက်ကို မထိပါနဲ့။
tour	လှည့်လည်ခရီး	ကျွန်တော်တို့ မြို့လှည့်လည်ခရီး သွားခဲ့တယ်။
tourism	ခရီးသွားလုပ်ငန်း	ခရီးသွားလုပ်ငန်းက ဒီမြို့ကို ကူညီတယ်။
towards	ဆီသို့	ဘူတာရုံဆီသို့ လမ်းလျှောက်ပါ။
towel	မျက်နှာသုတ်ပုဝါ	သန့်ရှင်းတဲ့ မျက်နှာသုတ်ပုဝါ ယူလာပါ။
tower	မျှော်စင်	မျှော်စင်က အလွန်ဟောင်းတယ်။
toy	ကစားစရာ	ကစားစရာကားက အနီရောင်ပါ။
track	လမ်းကြောင်း	လမ်းကြောင်းက မြောက်ဘက်ကို သွားတယ်။
tradition	ရိုးရာဓလေ့	ဒီရိုးရာဓလေ့က ဟောင်းတယ်။
traditional	ရိုးရာ	သူမ ရိုးရာအဝတ်အစား ဝတ်ခဲ့တယ်။
trainer	လေ့ကျင့်ပေးသူ	ကျွန်တော့် လေ့ကျင့်ပေးသူက အကူအညီဖြစ်တယ်။
training	လေ့ကျင့်ရေး	လေ့ကျင့်ရေးက မနက်ဖြန် စမယ်။
transport	သယ်ယူပို့ဆောင်ရေး	အများပြည်သူ သယ်ယူပို့ဆောင်ရေးက နောက်ကျတယ်။
traveller	ခရီးသွား	ခရီးသွားက အကူအညီ တောင်းခဲ့တယ်။
trouble	ပြဿနာ	မနေ့က ကျွန်တော်တို့ ပြဿနာ ရှိခဲ့တယ်။
truck	ကုန်တင်ကား	ကုန်တင်ကားက အပြင်မှာ ရှိတယ်။
twin	အမွှာ	ကျွန်တော့် အမွှာညီမက ပိုမြင့်တယ်။
typical	ပုံမှန်	ဒါက ပုံမှန်နေ့တစ်နေ့ပါ။
underground	မြေအောက်	ရထားက မြေအောက်မှာ ပြေးတယ်။
understanding	နားလည်မှု	မင်းရဲ့ နားလည်မှုက မှန်တယ်။
unfortunately	ကံမကောင်းစွာ	ကံမကောင်းစွာပဲ ဆိုင်က ပိတ်ထားတယ်။
unhappy	မပျော်သော	သူက မပျော်ပုံရတယ်။
uniform	ယူနီဖောင်း	သူမ ကျောင်းယူနီဖောင်း ဝတ်တယ်။
unit	ယူနစ်	ဒီယူနစ်က သေးတယ်။
united	စည်းလုံးသော	အသင်းက စည်းလုံးနေခဲ့တယ်။
unusual	ထူးခြားသော	အဲဒီအသံက ထူးခြားတယ်။
used to modal	အရင်က	ကျွန်တော်တို့ အရင်က ဒီမှာ နေခဲ့တယ်။
user	အသုံးပြုသူ	အသုံးပြုသူတိုင်းမှာ နံပါတ်တစ်ခု ရှိတယ်။
usual	ပုံမှန်	ကျွန်တော် ပုံမှန် ထိုင်ခုံမှာ ထိုင်ခဲ့တယ်။
valley	ချိုင့်ဝှမ်း	ချိုင့်ဝှမ်းက စိမ်းလန်းတယ်။
van	ဗင်ကား	ဗင်ကားက ပြည့်နေတယ်။
variety	အမျိုးမျိုး	ကျွန်တော်တို့ အမျိုးမျိုး ပိုလိုတယ်။
vehicle	ယာဉ်	ဒီယာဉ်က နှေးတယ်။
view	မြင်ကွင်း	မြင်ကွင်းက လှတယ်။
virus	ဗိုင်းရပ်စ်	ဗိုင်းရပ်စ်တစ်ခုက သူ့ကို ဖျားစေတယ်။
voice	အသံ	သူမရဲ့ အသံက တိတ်တယ်။
war	စစ်ပွဲ	စစ်ပွဲက နှစ်များစွာကတည်းက ပြီးသွားတယ်။
washing	လျှော်ထားသော အဝတ်	လျှော်ထားသော အဝတ်တွေက အပြင်မှာ ရှိတယ်။
wave	လှိုင်း	လှိုင်းတစ်ခုက လှေကို ရိုက်တယ်။
weak	အားနည်းသော	ကျွန်တော့် ခြေထောက်တွေ အားနည်းနေတယ်။
web	ဝဘ်	ဝဘ်စာမျက်နှာက ဖွင့်ထားတယ်။
wedding	မင်္ဂလာဆောင်	မင်္ဂလာဆောင်က မကြာခင် စမယ်။
weight	အလေးချိန်	အလေးချိန်ကို အရင် စစ်ပါ။
wet	စိုသော	ကျွန်တော့် ဖိနပ်တွေ စိုနေတယ်။
wheel	ဘီး	ဘီးက ပျက်နေတယ်။
while	ခဏ	ဒီမှာ ခဏ စောင့်ပါ။
whole	တစ်ခုလုံး	ကျွန်တော် ပန်းသီးတစ်လုံးလုံး စားခဲ့တယ်။
whose	ဘယ်သူ့	ဒါ ဘယ်သူ့ ဖုန်းလဲ။
wide	ကျယ်သော	လမ်းက ကျယ်တယ်။
wild	ရိုင်းသော	ရိုင်းတဲ့ တိရစ္ဆာန်တွေ ဒီမှာ နေတယ်။
wind1	လေ	လေက ပြင်းတယ်။
winner	အနိုင်ရသူ	အနိုင်ရသူက ပြုံးတယ်။
wish	ဆန္ဒ	ဆန္ဒတစ်ခု ပြုပါ။
wood	သစ်သား	ကုလားထိုင်က သစ်သားနဲ့ လုပ်ထားတယ်။
wooden	သစ်သားဖြင့်ပြုလုပ်သော	သစ်သားသေတ္တာက လေးတယ်။
working	အလုပ်လုပ်သော	အလုပ်လုပ်တဲ့နေ့က ပြီးဆုံးသွားတယ်။
worried	စိတ်ပူသော	ကျွန်တော် ဒီနေ့ စိတ်ပူနေတယ်။
worry	စိတ်ပူသည်	အခု စိတ်မပူပါနဲ့။
worse	ပိုဆိုးသော	ဒီနာကျင်မှုက ပိုဆိုးတယ်။
worst	အဆိုးဆုံး	အဲဒါက အဆိုးဆုံးနေ့ပါ။
wow	ဝိုး	ဝိုး၊ အဲဒါ အံ့သြစရာကောင်းတယ်။
yet	သေး	ကျွန်တော်တို့ ရောက်သေးလား။
yours	မင်းဟာ	ဒီစာအုပ်က မင်းဟာပါ။
zero	သုည	သုညအထိ နောက်ပြန် ရေတွက်ပါ။
