source_headword	SW	example_SW
detention	kizuizini	Wanafunzi waliandamana kupinga hali ya kizuizini.
deteriorate	kuzorota	Afya yake ilianza kuzorota.
devastate	kuharibu	Tetemeko la ardhi linaweza kuharibu miji ya pwani.
devil	shetani	Mtoto alichora shetani anayetabasamu.
devise	kubuni	Wahandisi wanabuni mifumo salama ya usafiri.
diagnose	kutambua	Madaktari hutambua ugonjwa kwa vipimo vya damu.
diagnosis	utambuzi	Utambuzi ulieleza dalili zake.
dictate	kuamuru	Mkataba utaamuru masharti ya malipo.
dictator	dikteta	Dikteta alidhibiti vyombo vya habari.
differentiate	kutofautisha	Unaweza kutofautisha ukweli na maoni?
dignity	hadhi	Kila mtu anastahili hadhi kazini.
dilemma	mtanziko	Meneja alikabiliwa na mtanziko mkubwa.
dimension	mwelekeo	Tatizo lina mwelekeo wa kisiasa.
diminish	kupungua	Maumivu yanapaswa kupungua polepole.
dip	kushuka	Joto linaweza kushuka chini ya kiwango cha kuganda.
diplomat	mwanadiplomasia	Mwanadiplomasia alikutana na viongozi wa kigeni.
diplomatic	kidiplomasia	Mazungumzo ya kidiplomasia yaliendelea usiku kucha.
directory	saraka	Tafuta nambari yake kwenye saraka.
disastrous	janga	Mafuriko ya janga yaliharibu madaraja kadhaa.
discard	kutupa	Usitupe rekodi muhimu.
discharge	kuruhusu	Hospitali itamruhusu aende kesho.
disclose	kufichua	Maafisa walikataa kufichua takwimu.
disclosure	ufichuaji	Ufichuaji huo ulishtua bodi.
discourse	mazungumzo	Mazungumzo ya umma yakawa ya heshima zaidi.
discretion	busara	Tumia busara yako kwa kesi nyeti.
discrimination	ubaguzi	Sheria inakataza ubaguzi katika kuajiri.
dismissal	kufukuzwa	Kufukuzwa kwake kulisababisha hasira ya umma.
displace	kuhamisha	Vita vinaweza kuhamisha maelfu ya watu.
disposal	utupaji	Utupaji wa taka unabaki kuwa tatizo la ndani.
dispose	kutupa	Kampuni lazima itupe kemikali kwa usalama.
dispute	mzozo	Mzozo ulidumu kwa miezi kadhaa.
disrupt	kuvuruga	Kelele zinaweza kuvuruga umakini.
disruption	usumbufu	Mgomo ulisababisha usumbufu mkubwa.
dissolve	kuyeyuka	Sukari itayeyuka katika chai ya moto.
distinction	tofauti	Tofauti kati yao ni muhimu.
distinctive	tofauti	Ana sauti tofauti.
distort	kupotosha	Kioo kinaweza kupotosha sura yako.
distress	dhiki	Simu hiyo ilisababisha dhiki kubwa.
disturbing	inayosumbua	Makala ilionyesha picha zinasumbua.
divert	kuelekeza kwingine	Polisi walilazimika kuelekeza trafiki kwingine.
divine	kimungu	Kanisa lina hali ya kimungu.
doctrine	mafundisho	Chama kilikataa mafundisho ya zamani.
documentation	nyaraka	Kamilisha nyaraka kabla ya uzinduzi.
domain	kikoa	Tovuti inatumia kikoa salama.
dominance	utawala	Utawala wa timu ulidumu kwa muongo mmoja.
donor	mfadhili	Mfadhili alitoa damu leo.
dose	dozi	Chukua dozi moja baada ya kifungua kinywa.
drain	kutiririka	Maji yatatiririka mtoni.
drift	kupeperushwa	Moshi ulianza kupeperushwa barabarani.
driving	inayoongoza	Mvua ilikuwa sababu inayoongoza ya ucheleweshaji.
drown	kufa maji	Usiwahi kuogelea ambapo mikondo inaweza kukufanya ufe maji.
dual	ya kazi mbili	Kifaa kina kazi mbili.
dub	kuita	Wakosoaji wanaliita jiji hilo mji mkuu wa kitamaduni.
dumb	kijinga	Hilo lilikuwa kosa la kijinga.
duo	wawili	Wachekeshaji wawili walizunguka Ulaya.
eager	na hamu	Wanafunzi walikuwa na hamu ya kuanza.
earnings	mapato	Mapato ya kampuni yalipanda kwa kasi.
ease	kupunguza	Barabara mpya itapunguza foleni.
echo	kutoa mwangwi	Sauti yake ilitoa mwangwi ukumbini.
ecological	ya kiikolojia	Athari ya kiikolojia bado haijulikani.
educator	muelimishaji	Muelimishaji alibuni kozi mpya.
effectiveness	ufanisi	Utafiti ulipima ufanisi wa chanjo.
efficiency	ufanisi	Programu bora iliboresha ufanisi.
ego	kiburi	Kiburi chake kilisababisha matatizo kazini.
elaborate	ya kina	Vazi la kina lilichukua wiki kadhaa.
electoral	ya uchaguzi	Mfumo wa uchaguzi ulibadilika mwaka jana.
elevate	kuinua	Tuzo itainua wasifu wake.
eligible	wanaostahili	Wakaazi pekee ndio wanaostahili punguzo.
elite	wasomi	Wasomi walipata mafunzo katika chuo cha kibinafsi.
embark	kuanza	Wataanza safari ndefu.
embarrassment	aibu	Alicheka kuficha aibu yake.
embassy	ubalozi	Ubalozi ulitoa ushauri mpya wa kusafiri.
embed	kuambatana	Mwandishi wa habari ataambatana na kikosi.
embody	kudhihirisha	Sanamu inaonekana kudhihirisha ujasiri.
emergence	kuibuka	Kuibuka kwa simu kulibadilisha maisha ya kila siku.
empirical	ya kimajaribio	Karatasi inategemea ushahidi wa kimajaribio.
empower	kuwezesha	Elimu inaweza kuwezesha jamii za mitaa.
enact	kupitisha	Bunge lilipiga kura kupitisha mageuzi hayo.
encompass	kujumuisha	Kozi itajumuisha historia ya kisasa.
encouragement	kitia moyo	Kitia moyo chake kilimsaidia kuendelea.
encouraging	ya kutia moyo	Matokeo ya mapema yanaonekana ya kutia moyo.
endeavour	jitihada	Uokoaji ulikuwa jitihada ngumu.
endless	isiyo na mwisho	Jangwa lilionekana lisilo na mwisho.
endorse	kuunga mkono	Chama cha wafanyakazi kilikataa kumuunga mkono mgombea.
endorsement	uungwaji mkono	Uungwaji mkono wake uliimarisha kampeni yake.
endure	kuvumilia	Mimea inaweza kuvumilia majira ya baridi kali.
enforce	kutekeleza	Polisi hutekeleza kikomo cha kasi.
enforcement	utekelezaji	Utekelezaji thabiti ulipunguza utupaji haramu wa taka.
engagement	ushiriki	Ushiriki wa wanafunzi uliboreka muhula huu.
engaging	ya kuvutia	Mzungumzaji alitoa hotuba ya kuvutia.
enquire	kuuliza	Tafadhali uliza kwenye dawati la mbele.
enrich	kutajirisha	Kusafiri kunaweza kutajirisha uelewa wako.
enrol	kujiandikisha	Wanafunzi lazima wajiandikishe kabla ya Septemba.
ensue	kutokea	Machafuko yanaweza kutokea baada ya tangazo.
enterprise	biashara	Biashara hiyo huajiri wasanii wa ndani.
enthusiast	mpenzi	Kila mpenzi wa baiskeli anajua njia hii.
entitle	kupa haki	Tikiti itakupa haki ya kuingia.
entity	chombo	Kampuni ni chombo tofauti cha kisheria.
epidemic	janga	Janga lilienea katika mikoa kadhaa.
equality	usawa	Harakati ilipigania usawa.
equation	mlinganyo	Mlinganyo una nambari mbili zisizojulikana.
erect	kujenga	Wafanyakazi watajenga uzio mpya.
escalate	kuongezeka	Mzozo unaweza kuwa mbaya haraka.
essence	kiini	Shairi linanasa kiini cha utoto.
establishment	taasisi	Taasisi ilipinga mageuzi hayo.
eternal	ya milele	Waliahidi urafiki wa milele.
evacuate	kuhamisha	Wazima moto waliwasaidia wakazi kuhamisha salama.
evoke	kuamsha	Wimbo unaweza kuamsha kumbukumbu kali.
evolutionary	ya kievulutioni	Fosili inaonyesha mabadiliko ya kievulutioni.
exaggerate	kutia chumvi	Usitie chumvi uzoefu wako.
excellence	ubora	Shule huthawabisha ubora wa kitaaluma.
exceptional	ya kipekee	Alionyesha ujuzi wa kipekee.
excess	ziada	Maji ya ziada yalifurika chumba cha chini ya ardhi.
exclusion	kutengwa	Kutengwa na jamii huwadhuru vijana.
exclusive	ya kipekee	Klabu hutoa ufikiaji wa kipekee.
exclusively	pekee	Chumba hiki kinatumiwa na wafanyakazi pekee.
execute	kutekeleza	Timu itatekeleza mpango huo kwa uangalifu.
execution	utekelezaji	Utekelezaji wa mkakati ulichukua miezi kadhaa.
exert	kutumia	Lazima utumie shinikizo zaidi.
exile	uhamishoni	Mwandishi aliishi uhamishoni.
expenditure	matumizi	Matumizi ya umma yaliongezeka mwaka jana.
experimental	ya majaribio	Matibabu bado ni ya majaribio.
expire	kwisha muda wake	Pasipoti yangu itaisha muda wake hivi karibuni.
explicit	wazi	Maagizo yalikuwa wazi.
explicitly	waziwazi	Sheria zinakataza waziwazi uvutaji sigara.
exploitation	unyonyaji	Ripoti ilifichua unyonyaji wa wafanyakazi.
explosive	mlipuko	Kifaa cha mlipuko kiliondolewa salama.
extremist	mwenye msimamo mkali	Kikundi chenye msimamo mkali kilipoteza uungwaji mkono.
facilitate	kurahisisha	Programu itarahisisha ujifunzaji wa mbali.
faction	kikundi	Kikundi kimoja kilimpinga kiongozi.
faculty	kitivo	Kitivo kiliidhinisha pendekezo.
fade	kufifia	Rangi itafifia kwenye mwanga wa jua.
fairness	haki	Haki ni muhimu katika kila shindano.
fatal	mbaya	Ajali hiyo ilisababisha majeraha mabaya.
fate	hatima	Hakuna aliyeyajua hatima yake.
favourable	nzuri	Tathmini ilikuwa nzuri.
feat	mafanikio	Kupanda kilele hicho kilikuwa mafanikio makubwa.
feminist	kifeministi	Harakati za kifeministi zilibadilisha mjadala wa umma.
fibre	nyuzinyuzi	Mkate huu una nyuzinyuzi za ziada.
fierce	kali	Dhoruba kali iliharibu paa.
film-maker	mtengeneza filamu	Mtengeneza filamu alijibu maswali baadaye.
filter	chujio	Chujio huondoa vumbi hewani.
fine	faini	Kampuni ililipa faini.
firearm	silaha ya moto	Afisa alipata silaha ya moto iliyoibwa.
fit	kutoshea	Viatu vipya vinatosha vizuri.
fixture	kifaa	Taa ni kifaa cha kudumu.
flaw	dosari	Muundo una dosari moja kubwa.
flawed	-enye dosari	Utafiti ulio na dosari ulitoa matokeo ya uongo.
flee	kukimbia	Familia zililazimika kukimbia mapigano.
fleet	kundi la ndege	Shirika la ndege liliboresha ndege zake.
flesh	nyama	Mwiba ulichoma nyama yake.
flexibility	unyumbufu	Kazi ya masafa inatoa unyumbufu zaidi.
flourish	kunawiri	Biashara ndogo zinaweza kunawiri hapa.
fluid	kiowevu	Kunywa kiowevu kingi baada ya mazoezi.
footage	picha za video	Picha za video zilionyesha ajali.
foreigner	mgeni	Fomu inauliza kama wewe ni mgeni.
forge	kuunda	Walijaribu kuunda ushirika mpya.
formula	fomula	Fomula ilitatua tatizo.
formulate	kuunda	Wanasayansi wanaunda nadharia mpya.
forth	mbele	Mto ulipeleka mashua mbele.
forthcoming	-ajayo	Ripoti ijayo itaeleza kila kitu.
foster	kukuza	Mpango huu unasaidia kukuza uhuru.
fragile	dhaifu	Chombo dhaifu kinahitaji kushikwa kwa uangalifu.
franchise	faranchizi	Mgahawa ulikuwa faranchizi ya kimataifa.
frankly	kusema kweli	Kusema kweli, tunahitaji muda zaidi.
frustrated	-liovunjika moyo	Wafanyakazi walivunjwa moyo na ucheleweshaji.
frustrating	-a kukatisha tamaa	Muunganisho wa polepole ulikatisha tamaa.
frustration	kufadhaika	Kufadhaika kuliongezeka wakati wa mkutano.
functional	-nayofanya kazi	Jiko la zamani bado linafanya kazi.
fundraising	kuchangisha fedha	Kuchangisha fedha kunaanza wiki ijayo.
funeral	mazishi	Mazishi yalifanyika Ijumaa.
gallon	galoni	Tangi linabeba galoni moja.
gambling	kamari	Kamari inazuiwa na sheria.
gathering	mkusanyiko	Mkusanyiko ulimalizika kwa amani.
gaze	mtazamo	Alishikilia mtazamo wake kwa muda mfupi.
gear	vifaa	Weka vifaa vya usalama kabla ya kupanda.
generic	-a kawaida	Toleo la kawaida linagharimu kiasi kidogo.
genocide	mauaji ya kimbari	Mauaji ya kimbari yaliacha kiwewe kikubwa cha kitaifa.
glance	jicho	Alitupa jicho la haraka.
glimpse	mtazamo mfupi	Nilipata mtazamo mfupi wa bahari.
glorious	-a utukufu	Timu ilifurahia ushindi wa utukufu.
glory	utukufu	Aliota utukufu wa Olimpiki.
governance	utawala	Utawala bora unahitaji uwazi.
grace	neema	Alikubali kushindwa kwa neema.
grasp	kuelewa	Alishindwa kuelewa dhana.
grave (for dead person)	kaburi	Kaburi lilifunikwa kwa maua.
grave (serious)	hatari	Hali bado ni hatari.
gravity	mvutano	Mvutano huvuta vitu kuelekea Duniani.
grid	gridi	Ramani inatumia gridi rahisi.
grief	huzuni	Huzuni ilibadilisha familia yake yote.
grin	tabasamu	Mvulana alitoa tabasamu pana.
grind	kusaga	Wafanyakazi husaga maharagwe kila asubuhi.
grip	mshiko	Weka mshiko imara kwenye kamba.
gross	pato	Pato la jumla liliongezeka sana.
guerrilla	msituni	Wapiganaji wa msituni walijificha milimani.
guidance	mwongozo	Kiongozi anatoa mwongozo wa vitendo.
guilt	hatia	Alihisi hatia baada ya kusema uongo.
gut	hisia za ndani	Amini hisia zako za ndani katika uchaguzi mgumu.
hail	kusifu	Wanakijiji wanamsifu daktari kama shujaa.
halfway	nusu njia	Tulisimama nusu ya mlima.
halt	kusimama	Treni ilisimama ghafla.
handful	wachache	Kiganja cha watu wa kujitolea walibaki hadi usiku.
handling	utunzaji	Utunzaji mzuri huzuia uharibifu.
handy	-a kufaa	Zana hii inafaa kwa matengenezo.
harassment	unyanyasaji	Kampuni ilichunguza malalamiko ya unyanyasaji.
hardware	vifaa	Duka linauza vifaa vya kompyuta.
harmony	upatano	Kwaya iliimba kwa upatano mzuri.
harsh	kali	Jaji alitoa hukumu kali.
harvest	mavuno	Mavuno huanza mwezi wa Septemba.
haunt	kusumbua	Kumbukumbu iliendelea kumsumbua.
hazard	hatari	Barafu ni hatari kubwa barabarani.
heighten	kuongeza	Hotuba inaweza kuongeza mivutano.
heritage	urithi	Ngome ni sehemu ya urithi wa eneo.
hierarchy	uongozi	Uongozi wa ofisi umefafanuliwa wazi.
high-profile	-enye hadhi ya juu	Kesi yenye hadhi ya juu ilivutia wanahabari.
hint	dokezo	Alinipa dokezo muhimu.
homeland	nchi ya asili	Alirudi katika nchi yake ya asili.
hopeful	-enye matumaini	Madaktari wana matumaini kuhusu kupona.
horizon	upeo	Jua lilipotea chini ya upeo.
horn	honi	Honi ya gari iliamsha kila mtu.
hostage	mateka	Mateka alirudi nyumbani.
hostile	-a uadui	Umati ukawa na uadui.
hostility	uadui	Uadui wa wazi ulimaliza mazungumzo.
humanitarian	-a kibinadamu	Misheni ya kibinadamu ilifikisha chakula.
humanity	ubinadamu	Ubinadamu unakabiliwa na changamoto za pamoja.
humble	mnyenyekevu	Alibaki mnyenyekevu baada ya mafanikio.
hydrogen	hidrojeni	Hidrojeni inawaka kwa urahisi sana.
identification	kitambulisho	Kitambulisho kinahitajika mlangoni.
ideological	-a kiitikadi	Mgogoro ulikuwa na mizizi ya kiitikadi.
ideology	itikadi	Itikadi yake iliunda kila hotuba.
idiot	mjinga	Usimwite mtu yeyote mjinga.
ignorance	ujinga	Ujinga unaweza kueneza hofu.
imagery	taswira	Shairi linatumia taswira wazi.
immense	kubwa sana	Mradi ulihitaji juhudi kubwa sana.
imminent	-okaribia	Dhoruba ilionekana kukaribia.
implementation	utekelezaji	Utekelezaji wa sheria ulikuwa wa polepole.
imprison	kufunga gerezani	Utawala ulijaribu kuwafunga gerezani wakosoaji.
imprisonment	kifungo	Kifungo chake kilidumu kwa miaka mitano.
inability	kutoweza	Kutoweza kwake kuzingatia kuliwatia wasiwasi walimu.
inadequate	duni	Kituo cha kujihifadhi kilikuwa na joto duni.
inappropriate	-siyofaa	Utani wake haukufaa.
incidence	matukio	Matukio ya mafua yaliongezeka.
inclined	-enye mwelekeo	Ana mwelekeo wa kukubaliana.
inclusion	ujumuishaji	Shule inakuza ujumuishaji.
