source_headword	HY	example_HY
annoy	նյարդայնացնել	Այս աղմուկը նյարդայնացնում է հարևաններին։
annoyed	նյարդայնացած	Նա երկար հերթից նյարդայնացած էր։
annoying	նյարդայնացնող	Այս ձայնը շատ նյարդայնացնող է։
apart	առանձին	Երկու տները առանձին են կանգնած։
apologize	ներողություն խնդրել	Նա ուշանալու համար ներողություն խնդրեց։
application	դիմում	Դիմումը այսօր ուղարկիր։
appointment	հանդիպում	Բժշկի հետ հանդիպումը կեսօրին է։
appreciate	գնահատել	Մենք շատ ենք գնահատում քո օգնությունը։
approximately	մոտավորապես	Ճանապարհը մոտավորապես երկու ժամ է տևում։
arrest	ձերբակալել	Ոստիկանությունը կասկածյալին ձերբակալեց։
arrival	ժամանում	Նրանց ժամանումը ուշացավ։
assignment	առաջադրանք	Առաջադրանքը վաղը պետք է հանձնել։
assist	օգնել	Նա օգնեց հյուրերին տեղերը գտնել։
atmosphere	մթնոլորտ	Սրճարանում ջերմ մթնոլորտ կար։
attach	կցել	Խնդրում եմ փաստաթուղթը կցիր նամակին։
attitude	վերաբերմունք	Նրա դրական վերաբերմունքը օգնեց թիմին։
attract	գրավել	Պայծառ նշանը գրավեց հաճախորդներին։
attraction	տեսարժան վայր	Ամրոցը հայտնի տեսարժան վայր է։
authority	իշխանություն	Տեղական իշխանությունը նոր կանոն հրապարակեց։
aware	տեղյակ	Ես տեղյակ էի փոփոխությանը։
backwards	հետընթաց	Նա դանդաղ հետընթաց քայլեց։
bake	թխել	Մենք երեկ հաց թխեցինք։
balance	հավասարակշռություն	Երեխան կորցրեց հավասարակշռությունը։
ban	արգելք	Քաղաքը նոր արգելք մտցրեց։
bank (river)	ափ	Մենք քայլեցինք գետի ափով։
base	հիմք	Այս գաղափարը ծրագրի հիմքն է։
basic	հիմնական	Սա հիմնական կանոն է։
basis	հիմք	Որոշումը արվեց փաստերի հիման վրա։
battery	մարտկոց	Հեռախոսի մարտկոցը դատարկ է։
battle	ճակատամարտ	Այդ ճակատամարտը երկար տևեց։
beauty	գեղեցկություն	Լճի գեղեցկությունը զարմացրեց մեզ։
bee	մեղու	Մեղուն թռավ ծաղկի վրա։
belief	համոզմունք	Նրա համոզմունքը ուժեղ էր։
bell	զանգ	Զանգը հնչեց դասից առաջ։
bend	թեքել	Ծունկդ մի քիչ թեքիր։
bite	կծել	Շունը փորձեց կծել գնդակը։
block	թաղամաս	Մենք ապրում ենք հաջորդ թաղամասում։
bomb	ռումբ	Ռումբի մասին լուրը վախեցրեց մարդկանց։
border	սահման	Գետը կազմում է սահմանը։
bother	անհանգստացնել	Այդ աղմուկը ինձ չի անհանգստացնում։
branch	ճյուղ	Ճյուղը կոտրվեց քամուց։
brand	ապրանքանիշ	Այս ապրանքանիշը հայտնի է։
brave	խիզախ	Նա խիզախ որոշում ընդունեց։
breath	շունչ	Խորը շունչ քաշիր։
breathe	շնչել	Դանդաղ շնչիր և հանգստացիր։
breathing	շնչառություն	Նրա շնչառությունը արագ էր։
bride	հարս	Հարսը եկավ ժպտալով։
bubble	պղպջակ	Օճառի պղպջակը պայթեց։
bury	թաղել	Նրանք ոսկորը այգում թաղեցին։
calm	հանգիստ	Նա մնաց հանգիստ ճնշման տակ։
campaign	արշավ	Ընտրական արշավը սկսվեց այսօր։
campus	համալսարանական ավան	Համալսարանական ավանը մեծ է։
candidate	թեկնածու	Թեկնածուն պատասխանեց հարցերին։
cap	գլխարկ	Նա կապույտ գլխարկ էր կրում։
captain	ավագ	Թիմի ավագը խոսեց առաջինը։
careless	անզգույշ	Անզգույշ սխալը խնդիր ստեղծեց։
category	կատեգորիա	Ընտրիր ճիշտ կատեգորիան։
ceiling	առաստաղ	Առաստաղը շատ բարձր է։
celebration	տոնակատարություն	Տոնակատարությունը սկսվեց երեկոյան։
central	կենտրոնական	Գրասենյակը կենտրոնական փողոցում է։
ceremony	արարողություն	Արարողությունը սկսվեց ժամը տասնմեկին։
chain	շղթա	Հեծանվի շղթան դուրս եկավ։
challenge	մարտահրավեր	Այս քննությունը լուրջ մարտահրավեր է։
champion	չեմպիոն	Նա ազգային չեմպիոն դարձավ։
channel	ալիք	Փոխիր հեռուստաալիքը։
chapter	գլուխ	Կարդա հաջորդ գլուխը։
charge	վճար	Այս ծառայության համար փոքր վճար կա։
cheat	խաբել	Քննության ժամանակ խաբել չի կարելի։
cheerful	ուրախ	Նա միշտ ուրախ ձայնով է խոսում։
chemical	քիմիական	Լաբորատորիայում քիմիական նյութեր կան։
chest	կուրծք	Նրա կուրծքը ցավում էր։
childhood	մանկություն	Նա հաճախ հիշում է իր մանկությունը։
claim	պնդում	Նրա պնդումը ապացույցի կարիք ունի։
clause	կետ	Պայմանագրի այս կետը կարևոր է։
click	սեղմել	Սեղմիր կապույտ կոճակը։
client	հաճախորդ	Հաճախորդը սպասում է գրասենյակում։
cloth	կտոր	Սեղանը մաքուր կտորով ծածկիր։
clue	հուշում	Այս հուշումը օգնեց լուծել խնդիրը։
coal	ածուխ	Գործարանը ածուխ էր օգտագործում։
coin	մետաղադրամ	Նա մետաղադրամը գցեց տուփի մեջ։
collection	հավաքածու	Նրա հավաքածուն հին քարտեր ունի։
coloured	գունավոր	Երեխան գունավոր մատիտներ բերեց։
combine	համատեղել	Կարելի է համատեղել երկու գաղափարները։
commercial	առևտրային	Սա առևտրային շենք է։
commit	կատարել	Նա լուրջ սխալ կատարեց։
communication	հաղորդակցություն	Լավ հաղորդակցությունը օգնում է թիմին։
comparison	համեմատություն	Այս համեմատությունը օգտակար է։
competitive	մրցակցային	Շուկան շատ մրցակցային է։
competitor	մրցակից	Մեր մրցակիցը նոր խանութ բացեց։
complaint	բողոք	Նա բողոք գրեց ծառայության մասին։
complex	բարդ	Սա բարդ խնդիր է։
concentrate	կենտրոնանալ	Դասի ժամանակ կենտրոնացիր։
conclude	եզրակացնել	Մենք կարող ենք եզրակացնել, որ ծրագիրը աշխատում է։
conclusion	եզրակացություն	Նրա եզրակացությունը հստակ էր։
confident	վստահ	Նա հարցազրույցից առաջ վստահ էր։
confirm	հաստատել	Խնդրում եմ հաստատիր հանդիպման ժամը։
confuse	շփոթեցնել	Նրա պատասխանը շփոթեցրեց ինձ։
confused	շփոթված	Ես մի պահ շփոթված էի։
connection	կապ	Ինտերնետի կապը դանդաղ էր։
consequence	հետևանք	Այդ որոշումը լուրջ հետևանք ունեցավ։
consist	կազմված լինել	Թիմը կազմված է հինգ մարդուց։
consume	սպառել	Այս մեքենան քիչ վառելիք է սպառում։
consumer	սպառող	Սպառողը լավ գին է փնտրում։
contact	կապ	Կապ պահիր մեզ հետ։
container	տարա	Ջուրը լցրու այդ տարայի մեջ։
content1	բովանդակություն	Կայքի բովանդակությունը թարմ է։
continuous	շարունակական	Շարունակական անձրևը փակեց ճանապարհը։
contrast	հակադրություն	Գույների հակադրությունը ուժեղ է։
convenient	հարմար	Այս ժամն ինձ համար հարմար է։
convince	համոզել	Նա փորձեց համոզել թիմին։
costume	տարազ	Տոնի համար նա տարազ հագավ։
cottage	քոթեջ	Մենք հանգստյան օրերին քոթեջ վարձեցինք։
cotton	բամբակ	Այս վերնաշապիկը բամբակից է։
countryside	գյուղական վայրեր	Ես սիրում եմ գյուղական վայրերը։
court	դատարան	Գործը գնաց դատարան։
covered	ծածկված	Սեղանը ծածկված էր գրքերով։
cruel	դաժան	Դա դաժան կատակ էր։
cultural	մշակութային	Քաղաքը մշակութային կենտրոն է։
currency	արժույթ	Տեղական արժույթը փոխիր օդանավակայանում։
current	ներկայիս	Ներկայիս գինը բարձր է։
currently	ներկայումս	Նա ներկայումս աշխատում է տանը։
curtain	վարագույր	Բացիր վարագույրը։
custom	սովորույթ	Սա հին ընտանեկան սովորույթ է։
damage	վնաս	Փոթորիկը մեծ վնաս պատճառեց։
decade	տասնամյակ	Նա այնտեղ ապրել է մեկ տասնամյակ։
decorate	զարդարել	Մենք սենյակը զարդարեցինք ծաղիկներով։
define	սահմանել	Խնդրում եմ սահմանիր այս բառը։
definite	հստակ	Մեզ հստակ պատասխան է պետք։
definition	սահմանում	Այս բառի սահմանումը պարզ է։
deliver	առաքել	Նրանք ծանրոցը առաքեցին առավոտյան։
departure	մեկնում	Մեկնումը հետաձգվեց։
despite	չնայած	Չնայած անձրևին, մենք դուրս եկանք։
destination	նպատակակետ	Մեր նպատակակետը փոքր գյուղ է։
determine	որոշել	Թեստը կօգնի որոշել մակարդակը։
determined	վճռական	Նա վճռական էր հաղթելու։
development	զարգացում	Քաղաքի զարգացումը արագ է։
diagram	դիագրամ	Դիագրամը բացատրում է գործընթացը։
diamond	ադամանդ	Նա ադամանդով մատանի կրեց։
difficulty	դժվարություն	Ես դժվարություն ունեցա հարցի հետ։
directly	ուղղակիորեն	Խոսիր նրա հետ ուղղակիորեն։
dirt	կեղտ	Կոշիկների վրա կեղտ կար։
disadvantage	թերություն	Բարձր գինը մեծ թերություն է։
disappointed	հիասթափված	Նա արդյունքից հիասթափված էր։
disappointing	հիասթափեցնող	Լուրը հիասթափեցնող էր։
discount	զեղչ	Խանութը մեծ զեղչ առաջարկեց։
dislike	չսիրել	Ես չեմ սիրում այդ աղմուկը։
divide	բաժանել	Բաժանիր տորթը վեց մասի։
documentary	վավերագրական ֆիլմ	Մենք վավերագրական ֆիլմ դիտեցինք։
donate	նվիրաբերել	Նրանք գումար նվիրաբերեցին դպրոցին։
doubt	կասկած	Ես կասկած չունեմ։
dressed	հագնված	Նա պատրաստ էր և լավ հագնված։
drum	թմբուկ	Երեխան թմբուկ էր նվագում։
drunk	հարբած	Վարորդը հարբած էր։
due	նախատեսված	Զեկույցը վաղն է նախատեսված։
dust	փոշի	Սեղանի վրա փոշի կար։
duty	պարտականություն	Դա իմ պարտականությունն է։
earthquake	երկրաշարժ	Երկրաշարժը վնասեց կամուրջը։
eastern	արևելյան	Արևելյան ափը գեղեցիկ է։
economic	տնտեսական	Տնտեսական աճը դանդաղեց։
economy	տնտեսություն	Երկրի տնտեսությունը աճում է։
edge	եզր	Մի կանգնիր եզրին։
editor	խմբագիր	Խմբագիրը փոխեց վերնագիրը։
educate	կրթել	Դպրոցները պետք է կրթեն երեխաներին։
educated	կրթված	Նա շատ կրթված մարդ է։
educational	կրթական	Այցը կրթական էր։
effective	արդյունավետ	Այս մեթոդը արդյունավետ է։
effectively	արդյունավետորեն	Նա արդյունավետորեն լուծեց խնդիրը։
effort	ջանք	Սա մեծ ջանք պահանջեց։
election	ընտրություն	Ընտրությունը տեղի կունենա գարնանը։
element	տարր	Ջուրը կարևոր տարր է։
embarrassed	ամաչած	Նա սխալի համար ամաչած էր։
embarrassing	ամոթալի	Դա ամոթալի պահ էր։
emergency	արտակարգ իրավիճակ	Արտակարգ իրավիճակում զանգիր օգնություն։
emotion	զգացմունք	Նրա ձայնում ուժեղ զգացմունք կար։
employment	զբաղվածություն	Ծրագիրը աջակցում է զբաղվածությանը։
encourage	քաջալերել	Ուսուցիչը քաջալերեց աշակերտներին։
enemy	թշնամի	Նա չէր վստահում իր թշնամուն։
engaged	նշանված	Նրանք անցյալ շաբաթ նշանված դարձան։
engineering	ճարտարագիտություն	Նա ճարտարագիտություն է սովորում։
entertain	զվարճացնել	Խաղը զվարճացրեց երեխաներին։
entertainment	զվարճանք	Քաղաքում շատ զվարճանք կա։
entrance	մուտք	Մուտքը աջ կողմում է։
entry	գրառում	Գրառումը պետք է կարճ լինի։
environmental	բնապահպանական	Սա բնապահպանական խնդիր է։
episode	դրվագ	Վերջին դրվագը հետաքրքիր էր։
equal	հավասար	Բոլոր ձայները հավասար են։
equally	հավասարապես	Նրանք գումարը հավասարապես բաժանեցին։
escape	փախչել	Բանտարկյալը փորձեց փախչել։
essential	էական	Ջուրը էական է կյանքի համար։
eventually	վերջապես	Վերջապես մենք գտանք տունը։
examine	զննել	Բժիշկը զննեց հիվանդին։
exchange	փոխանակել	Նրանք նվերներ փոխանակեցին։
excitement	հուզմունք	Սենյակում մեծ հուզմունք կար։
exhibition	ցուցահանդես	Մենք այցելեցինք ցուցահանդես։
expand	ընդլայնել	Ընկերությունը ուզում է ընդլայնել իր շուկան։
expected	սպասվող	Սպասվող արդյունքը լավն էր։
expedition	արշավախումբ	Արշավախումբը լեռներ գնաց։
experienced	փորձառու	Նա փորձառու ուսուցիչ է։
explode	պայթել	Շիշը կարող է պայթել ճնշումից։
explore	ուսումնասիրել	Մենք ուզում ենք ուսումնասիրել քաղաքը։
explosion	պայթյուն	Պայթյունը լսվեց հեռվից։
export	արտահանում	Երկրի արտահանումը աճեց։
fairly	բավականին	Քննությունը բավականին հեշտ էր։
familiar	ծանոթ	Այդ անունը ինձ ծանոթ է։
fancy	շքեղ	Նա շքեղ ռեստորան ընտրեց։
fascinating	գրավիչ	Պատմությունը գրավիչ էր։
fashionable	նորաձև	Այս բաճկոնը շատ նորաձև է։
fasten	ամրացնել	Ամրացրու գոտիդ։
favour	լավություն	Խնդրում եմ ինձ մի լավություն արա։
fence	ցանկապատ	Ցանկապատը նոր է ներկված։
fighting	կռիվ	Կռիվը շուտ կանգնեցվեց։
file	ֆայլ	Ֆայլը պահիր այս պանակում։
financial	ֆինանսական	Նրանք ֆինանսական օգնություն ստացան։
fitness	ֆիթնես	Ֆիթնեսը նրա առօրյայի մաս է։
fixed	ամրացված	Դարակը պատին ամրացված է։
flag	դրոշ	Դրոշը ծածանվում էր քամուց։
flood	ջրհեղեղ	Ջրհեղեղը փակեց ճանապարհը։
flour	ալյուր	Ալյուրը ավելացրու ամանի մեջ։
flow	հոսել	Գետը դանդաղ է հոսում։
fold	ծալել	Թուղթը մեջտեղից ծալիր։
folk	ժողովրդական	Նրանք ժողովրդական երգ երգեցին։
force	ուժ	Ուժ մի գործադրիր։
forever	ընդմիշտ	Նա ուզում էր այնտեղ ընդմիշտ մնալ։
frame	շրջանակ	Նկարը դրված է փայտե շրջանակի մեջ։
freeze	սառչել	Ջուրը սառչում է ձմռանը։
frequently	հաճախ	Նա հաճախ ճանապարհորդում է։
friendship	ընկերություն	Նրանց ընկերությունը երկար տևեց։
frighten	վախեցնել	Բարձր ձայնը վախեցրեց երեխային։
frightened	վախեցած	Երեխան վախեցած էր մութից։
frightening	սարսափեցնող	Ֆիլմը սարսափեցնող էր։
frozen	սառեցված	Սառեցված բանջարեղեն գնիր։
fry	տապակել	Սոխը թեթև տապակիր։
fuel	վառելիք	Մեքենային վառելիք է պետք։
function	գործառույթ	Այս կոճակը նոր գործառույթ ունի։
fur	մորթի	Կենդանու մորթին փափուկ է։
garage	ավտոտնակ	Մեքենան ավտոտնակում է։
gather	հավաքվել	Մարդիկ հավաքվեցին դահլիճում։
generally	ընդհանուր առմամբ	Ընդհանուր առմամբ, ծրագիրը լավ է աշխատում։
generation	սերունդ	Նոր սերունդը արագ է սովորում։
generous	առատաձեռն	Նա շատ առատաձեռն ընկեր է։
gentle	մեղմ	Նրա ձայնը մեղմ էր։
gentleman	պարոն	Այդ պարոնը դուռը բացեց։
ghost	ուրվական	Պատմության մեջ ուրվական կա։
giant	հսկա	Այգում հսկա ծառ կա։
glad	ուրախ	Ես ուրախ եմ քեզ տեսնել։
global	համաշխարհային	Սա համաշխարհային խնդիր է։
glove	ձեռնոց	Ձեռնոցը կորավ ձյան մեջ։
goods	ապրանքներ	Ապրանքները հասան այսօր։
grade	գնահատական	Նա բարձր գնահատական ստացավ։
graduate	շրջանավարտ	Եղբայրս համալսարանի շրջանավարտ է։
grain	հատիկ	Յուրաքանչյուր հատիկ կարևոր է։
grateful	երախտապարտ	Ես շատ երախտապարտ եմ օգնության համար։
growth	աճ	Ընկերության աճը արագ էր։
guard	պահակ	Պահակը կանգնած էր դռան մոտ։
guilty	մեղավոր	Նա իրեն մեղավոր զգաց։
hang	կախել	Կախիր վերարկուդ այստեղ։
happiness	երջանկություն	Նրա երջանկությունը երևում էր։
hardly	հազիվ	Ես հազիվ լսեցի ձայնը։
headline	վերնագիր	Վերնագիրը գրավեց իմ ուշադրությունը։
heating	ջեռուցում	Ջեռուցումը այսօր չի աշխատում։
heavily	ուժեղ	Անձրևը ուժեղ տեղաց։
helicopter	ուղղաթիռ	Ուղղաթիռը թռավ քաղաքի վրայով։
highlight	ընդգծել	Ընդգծիր կարևոր բառերը։
highly	խիստ	Նա խիստ հարգված բժիշկ է։
hire	վարձել	Մենք մեքենա վարձեցինք երկու օրով։
historic	պատմական	Սա պատմական շենք է։
historical	պատմական	Նրանք ուսումնասիրում են պատմական փաստերը։
honest	ազնիվ	Նա ազնիվ պատասխան տվեց։
horrible	սարսափելի	Եղանակը սարսափելի էր։
horror	սարսափ	Ես սարսափ ֆիլմեր չեմ սիրում։
host	հյուրընկալող	Նա երեկոյի հյուրընկալողն էր։
