source_headword	TA	example_TA
reform	சீர்திருத்தம்	சீர்திருத்தம் பொதுச் சேவைகளை மேம்படுத்தியது.
refuge	அடைக்கலம்	அந்தக் குடும்பம் வெளிநாட்டில் அடைக்கலம் தேடியது.
refusal	மறுப்பு	அவளது மறுப்பு குழுவை ஆச்சரியப்படுத்தியது.
regain	மீண்டும் பெறு	அவர் நம்பிக்கையை மீண்டும் பெற கடினமாக உழைத்தார்.
regardless	பொருட்படுத்தாமல்	விமர்சனங்களைப் பொருட்படுத்தாமல் அவர்கள் தொடர்ந்தனர்.
regime	ஆட்சி	ஆட்சி சுதந்திரமான பேச்சை தடை செய்தது.
regulator	கட்டுப்பாட்டாளர்	கட்டுப்பாட்டாளர் நிறுவனத்திற்கு அபராதம் விதித்தார்.
regulatory	ஒழுங்குமுறை	ஒழுங்குமுறை ஒப்புதலுக்கு பல மாதங்கள் ஆனது.
rehabilitation	மறுவாழ்வு	மறுவாழ்வு அவர் மீண்டும் நடக்க உதவியது.
reign	ஆட்சிக்காலம்	மன்னரின் ஆட்சிக்காலம் பல தசாப்தங்கள் நீடித்தது.
rejection	நிராகரிப்பு	நிராகரிப்பு அவளது நம்பிக்கையை பாதித்தது.
relevance	தொடர்பு	தரவுகளுக்கு குறைந்த தொடர்பே உள்ளது.
reliability	நம்பகத்தன்மை	அவசர அமைப்புகளில் நம்பகத்தன்மை முக்கியமானது.
reluctant	தயக்கமான	அவர் பேசத் தயங்கினார்.
remainder	மீதி	மீதி தொண்டு நிறுவனத்திற்கு சென்றது.
remains	மீதங்கள்	மீதங்கள் கவனமாக பரிசோதிக்கப்பட்டன.
remedy	தீர்வு	சட்டம் ஒரு தீர்வை வழங்குகிறது.
reminder	நினைவூட்டல்	மின்னஞ்சல் ஒரு பயனுள்ள நினைவூட்டலாக இருந்தது.
removal	அகற்றுதல்	தடைகளை அகற்றுவது வர்த்தகத்திற்கு உதவியது.
render	ஆக்கு	இந்த தவறு ஒப்பந்தத்தை செல்லாததாக்கியது.
renew	புதுப்பி	உங்கள் கடவுச்சீட்டை விரைவில் புதுப்பிக்கவும்.
renowned	புகழ்பெற்ற	அவள் தனது ஆராய்ச்சிக்கு புகழ்பெற்றவள்.
rental	வாடகை	வாடகையில் காப்பீடும் அடங்கும்.
replacement	மாற்று	மாற்றுப் பகுதி இன்று வந்தது.
reportedly	தகவல்களின்படி	தகவல்களின்படி அமைச்சர் நேற்று பதவி விலகினார்.
representation	பிரதிநிதித்துவம்	நியாயமான பிரதிநிதித்துவம் முக்கியமானது.
reproduce	இனப்பெருக்கம் செய்	இந்த தாவரங்கள் விரைவாக இனப்பெருக்கம் செய்கின்றன.
reproduction	இனப்பெருக்கம்	டிஜிட்டல் மறுஉற்பத்தி அணுகலை மேம்படுத்தியது.
republic	குடியரசு	குடியரசு தேர்தல்களை நடத்தியது.
resemble	ஒத்திரு	இரண்டு வடிவமைப்புகளும் ஒன்றுக்கொன்று நெருக்கமாக ஒத்திருக்கின்றன.
reside	வசி	அவர்கள் எல்லையின் அருகே வசிக்கிறார்கள்.
residence	குடியிருப்பு	அவரது அதிகாரப்பூர்வ குடியிருப்பு பாதுகாக்கப்படுகிறது.
residential	குடியிருப்புப் பகுதி	இப்பகுதி பெரும்பாலும் குடியிருப்புப் பகுதியாகும்.
residue	எச்சம்	சுத்தம் செய்யும் பொருள் ஒட்டும் எச்சத்தை விட்டுச் சென்றது.
resignation	பதவி விலகல்	அவரது பதவி விலகல் நிர்வாகக் குழுவை அதிர்ச்சியடையச் செய்தது.
resistance	எதிர்ப்பு	மாற்றத்திற்கான எதிர்ப்பு வலுவாக இருந்தது.
respective	சம்பந்தப்பட்ட	அவர்கள் தத்தம் அலுவலகங்களுக்கு திரும்பினர்.
respectively	முறையே	மதிப்பெண்கள் முறையே 80 மற்றும் 90 ஆகும்.
restoration	மறுசீரமைப்பு	கட்டிடத்தின் மறுசீரமைப்புக்கு பல ஆண்டுகள் ஆனது.
restraint	கட்டுப்பாடு	காவல்துறை கட்டுப்பாட்டைக் காட்டியது.
resume	மீண்டும் தொடங்கு	வகுப்புகள் அடுத்த வாரம் மீண்டும் தொடங்கும்.
retreat	பின்வாங்குதல்	இராணுவம் பின்வாங்கத் தொடங்கியது.
retrieve	மீட்டெடு	அவள் கோப்பை மீட்டெடுத்தாள்.
revelation	வெளிப்பாடு	இந்த வெளிப்பாடு அவரது நற்பெயருக்கு களங்கம் விளைவித்தது.
revenge	பழிவாங்குதல்	அவமானத்திற்குப் பழிவாங்க அவர் விரும்பினார்.
reverse	மாற்றியமை	நீதிமன்றம் முடிவை மாற்றியமைத்தது.
revival	புத்துயிர்	நகரம் பொருளாதாரப் புத்துயிரைக் கண்டது.
revive	புத்துயிர் அளி	திருவிழா உள்ளூர் மரபுகளுக்கு புத்துயிர் அளிக்க உதவியது.
revolutionary	புரட்சிகரமான	கண்டுபிடிப்பு புரட்சிகரமானதாக இருந்தது.
rhetoric	சொல்லாட்சி	அவரது சொல்லாட்சி ஆக்ரோஷமாக ஒலித்தது.
rifle	துப்பாக்கி	துப்பாக்கி பாதுகாப்பாக சேமிக்கப்பட்டது.
riot	கலவரம்	கலவரம் பல மணி நேரம் நீடித்தது.
rip	கிழி	காகிதத்தை கவனமாக கிழிக்கவும்.
ritual	சடங்கு	இந்த சடங்கு அறுவடையைக் குறிக்கிறது.
robust	வலுவான	கணினி அமைப்பானது வலுவாக உள்ளது.
rock	அதிர்	வெடிப்பு கிராமத்தை அதிரச் செய்தது.
rod	கம்பி	திரைச்சீலை ஒரு கம்பியிலிருந்து தொங்குகிறது.
rotate	சுழற்று	கைப்பிடியை மெதுவாக சுழற்றவும்.
rotation	சுழற்சி	பயிர் சுழற்சி மண்ணைப் பாதுகாக்கிறது.
ruling	தீர்ப்பு	நீதிமன்றம் ஒரு தீர்ப்பை வழங்கியது.
rumour	வதந்தி	வதந்தி விரைவாகப் பரவியது.
sack	பதவி நீக்கம்	குழு பயிற்சியாளரை பதவி நீக்கம் செய்யலாம்.
sacred	புனிதமான	கோயில் புனிதமானது.
sacrifice	தியாகம்	பெற்றோர்கள் அடிக்கடி தியாகங்களை செய்கிறார்கள்.
saint	புனிதர்	தேவாலயம் ஒரு உள்ளூர் புனிதரை கௌரவிக்கிறது.
sake	நன்மைக்காக	அவர் அவளுக்காக தங்கினார்.
sanction	தடை	இந்தத் தடை சர்வதேச வர்த்தகத்தைப் பாதித்தது.
say	கருத்து	திட்டமிடலில் ஊழியர்களுக்கு கருத்து தெரிவிக்க உரிமை இருந்தது.
scattered	சிதறிய	சிதறிய காகிதங்கள் மேசையை மூடியிருந்தன.
sceptical	சந்தேகமான	அவர் அந்தக் கோரிக்கையில் சந்தேகமாகவே இருந்தார்.
scope	எல்லை	திட்டத்தின் எல்லை விரிவடைந்தது.
screw	திருகு	திருகைக் கவனமாக இறுக்கவும்.
scrutiny	ஆய்வு	இந்த ஒப்பந்தம் பொது மக்களின் கண்காணிப்பை எதிர்கொண்டது.
seal	முத்திரையிடு	அஞ்சல் செய்வதற்கு முன் உறையை முத்திரையிடவும்.
secular	மதச்சார்பற்ற	பள்ளி ஒரு மதச்சார்பற்ற பாடத்திட்டத்தைப் பின்பற்றுகிறது.
seemingly	வெளிப்படையாக	அந்தப் பணி பார்ப்பதற்கு எளிமையாக இருந்தது.
segment	பிரிவு	இறுதிப் பிரிவு குறுகியதாக இருந்தது.
seize	பறிமுதல் செய்	காவல்துறை ஆவணங்களைப் பறிமுதல் செய்தது.
seldom	அரிதாக	அவர் அரிதாகவே ஒரு வகுப்பைத் தவறவிடுகிறார்.
selective	தேர்ந்தெடுக்கப்பட்ட	நிரல் மிகவும் தேர்ந்தெடுக்கப்பட்டதாகும்.
senator	செனட்டர்	செனட்டர் மசோதாவை ஆதரித்தார்.
sensation	பரபரப்பு	இந்தக் கண்டுபிடிப்பு ஒரு பரபரப்பை ஏற்படுத்தியது.
sensitivity	உணர்ர்திறன்	பிரச்சனைக்கு உணர்திறன் தேவை.
sentiment	மனநிலை	பொதுமக்களின் மனநிலை விரைவாக மாறியது.
separation	பிரிவினை	பிரிவினை கடினமாக இருந்தது.
serial	வரிசை	வரிசை எண் காணவில்லை.
settlement	தீர்வு	தீர்வு சர்ச்சையை முடிவுக்குக் கொண்டு வந்தது.
set-up	அமைப்பு	அமைப்பிற்கு காலை முழுவதும் ஆனது.
sexuality	பாலியல்	இந்தப் பாடநெறி அடையாளம் மற்றும் பாலியல் பற்றி விவாதிக்கிறது.
shareholder	பங்குதாரர்	ஒரு பங்குதாரர் குழுவை கேள்வி கேட்டார்.
shatter	சிதறடி	அந்தச் செய்தி அவனது நம்பிக்கையைச் சிதறடித்தது.
shed	குறை	நிறுவனம் வேலைகளைக் குறைக்கும்.
sheer	முழுமையான	அதன் முழுமையான அளவு அனைவரையும் ஆச்சரியப்படுத்தியது.
shipping	கப்பல் போக்குவரத்து	கப்பல் போக்குவரத்து செலவுகள் அதிகரித்தன.
shoot	படப்பிடிப்பு	புகைப்படப் படப்பிடிப்பு முன்கூட்டியே முடிந்தது.
shrink	சுருங்கு	சட்டை சுருங்கக்கூடும்.
shrug	தோள்களைக் குலுக்கு	அவள் மெதுவாகத் தோள்களைக் குலுக்கினாள்.
sigh	பெருமூச்சு விடு	அவர் நிம்மதியுடன் பெருமூச்சு விட்டார்.
simulate	உருவகப்படுத்து	மென்பொருள் போக்குவரத்தை உருவகப்படுத்த முடியும்.
simulation	உருவகப்படுத்துதல்	உருவகப்படுத்துதல் வெள்ளத்தை முன்னறிவித்தது.
simultaneously	ஒரே நேரத்தில்	இரண்டு அலாரங்கள் ஒரே நேரத்தில் ஒலித்தன.
sin	பாவம்	பெருமை ஒரு பாவமாகக் கருதப்படுகிறது.
situated	அமைந்துள்ள	விடுதி நகர மையத்தில் அமைந்துள்ளது.
sketch	வரைபடம்	அவள் ஒரு விரைவான வரைபடத்தை வரைந்தாள்.
skip	தவிர்	காலை உணவைத் தவிர்க்க வேண்டாம்.
slam	பலமாக அறை	அவனால் கதவைப் பலமாக அறைந்து மூட முடியும்.
slap	அறை	மேசையின் மீது அறைய வேண்டாம்.
slavery	அடிமைத்தனம்	அடிமைத்தனம் இப்பகுதியின் வரலாற்றை வடிவமைத்தது.
slot	நேரம் ஒதுக்குதல்	ஒரு நேரத்தை இணையத்தில் பதிவு செய்யவும்.
smash	சுக்குநூறாக உடை	கண்ணாடி தரையில் விழுந்து சுக்குநூறாக உடைந்தது.
snap	முறி	காற்றில் கிளை முறிந்தது.
soak	ஊறவை	பீன்ஸை இரவு முழுவதும் ஊறவைக்கவும்.
soar	உயர்	எரிபொருள் விலை உயரக்கூடும்.
socialist	சமதர்ம	கட்சி சமதர்மக் கொள்கைகளை ஆதரிக்கிறது.
sole	ஒரே	உயிர் பிழைத்த ஒரே நபர் அவர்தான்.
solely	முற்றிலும்	முடிவு முற்றிலும் அவருடையது.
solicitor	வழக்கறிஞர்	வழக்கறிஞர் ஒப்பந்தத்தைத் தயாரித்தார்.
solidarity	ஒற்றுமை	தொழிலாளர்கள் ஒற்றுமையை வெளிப்படுத்தினர்.
solo	தனி	அவர் ஒரு தனி இசைத் தொகுப்பை வெளியிட்டார்.
sound	சரியான	திட்டம் சரியானதும் நடைமுறைக்கு ஏற்றதுமாகும்.
sovereignty	இறையாண்மை	ஒப்பந்தம் தேசிய இறையாண்மையைப் பாதுகாத்தது.
spam	தேவையற்ற மின்னஞ்சல்	தேவையற்ற மின்னஞ்சல் இன்பாக்ஸை நிரப்பியது.
span	நீண்டுள்ளது	பாலம் நதியின் குறுக்கே நீண்டுள்ளது.
spark	தூண்டு	ஒரு சிறிய கருத்து விவாதத்தைத் தூண்டியது.
specialized	சிறப்பு	மருந்தகம் சிறப்பு சிகிச்சையை வழங்குகிறது.
specification	விவரக்குறிப்பு	வடிவமைப்பு ஒவ்வொரு விவரக்குறிப்பையும் பூர்த்தி செய்கிறது.
specimen	மாதிரி	மாதிரி பாதுகாப்பாகச் சேமிக்கப்பட்டது.
spectacle	காட்சி	அணிவகுப்பு ஒரு தெளிவான காட்சியாக இருந்தது.
spectrum	பல்வகை	கருத்துக்கள் பலவகைகளை உள்ளடக்கியது.
spell	காலம்	வறண்ட காலம் வாரக்கணக்கில் நீடித்தது.
sphere	துறை	அரசியல் கலாச்சாரத் துறைக்குள் நுழைந்தது.
spin	சுழல்	சக்கரங்கள் சுழலத் தொடங்கின.
spine	முதுகெலும்பு	காயம் அவரது முதுகெலும்பைப் பாதித்தது.
spotlight	கவனம்	ஊழல் அவரை மக்கள் கவனத்திற்குக் கொண்டுவந்தது.
spouse	வாழ்க்கைத்துணை	அவரது வாழ்க்கைத்துணை விழாவில் கலந்து கொண்டார்.
spy	ஒற்றர்	ஒற்றர் ரகசியச் செய்திகளை அனுப்பினார்.
squad	குழு	மீட்புக் குழு விரைவாக வந்தது.
squeeze	பிழி	கைப்பிடியை மெதுவாகப் பிழியவும்.
stab	குத்து	அறிக்கை ஒரு கத்திக்குத்துக் காயத்தை விவரித்தது.
stability	நிலைத்தன்மை	கொள்கை நிலைத்தன்மையைக் கொண்டுவந்தது.
stabilize	நிலைப்படுத்து	மருந்து அவரை நிலைப்படுத்த உதவியது.
stake	பங்கு	முதலீட்டாளர்களுக்கு இதில் பங்கு உள்ளது.
standing	அந்தஸ்து	கட்சியில் அவரது அந்தஸ்து உயர்ந்தது.
stark	தெளிவான	முடிவுகள் தெளிவான வேறுபாட்டைக் காட்டின.
statistical	புள்ளிவிவர	ஆய்வு புள்ளிவிவர முறைகளைப் பயன்படுத்தியது.
steer	வழிநடத்து	அவர் விவாதத்தை வழிநடத்த முயன்றார்.
stem	தண்டு	புயலில் தண்டு உடைந்தது.
stereotype	ஒரே மாதிரியான கருத்து	படம் ஒரே மாதிரியான கருத்தை சவால் செய்தது.
stimulus	ஊக்கத்தொகை	தொகுப்பு பொருளாதார ஊக்கத்தொகையை வழங்கியது.
stir	கலக்கு	சாஸை மெதுவாகக் கலக்கவும்.
storage	சேமிப்பு	வசதி பாதுகாப்பான சேமிப்பை வழங்குகிறது.
straightforward	நேரடியான	அறிவுறுத்தல்கள் நேரடியானவை.
strain	சிரமம்	நீண்ட தாமதம் சிரமத்தை ஏற்படுத்தியது.
strand	முடி இழை	ஒரு முடி இழை விழுந்தது.
strategic	முக்கியமான	நிறுவனம் ஒரு முக்கியமான முதலீட்டைச் செய்தது.
strip (long narrow piece)	நீளமான துண்டு	காகிதத்தின் ஒரு குறுகிய துண்டை வெட்டவும்.
strip (remove clothes/a layer)	அகற்று	பழைய வண்ணத்தை கவனமாக அகற்றவும்.
strive	பாடுபடு	அவர்கள் சிறந்து விளங்கப் பாடுபடுகிறார்கள்.
structural	கட்டமைப்பு	பாலத்தில் கட்டமைப்பு சேதம் உள்ளது.
stumble	தடுமாறு	அவர் படிக்கட்டுகளில் தடுமாறினார்.
stun	அதிர்ச்சியடையச் செய்	செய்தி மக்களை அதிர்ச்சியடையச் செய்யும்.
submission	சமர்ப்பிப்பு	சமர்ப்பிப்பதற்கான காலக்கெடு முடிந்தது.
subscriber	சந்தாதாரர்	ஒவ்வொரு சந்தாதாரரும் புதுப்பிப்புகளைப் பெறுகின்றனர்.
subscription	சந்தா	சந்தா தானாகவே புதுப்பிக்கப்படும்.
subsidy	மானியம்	மானியம் எரிபொருள் செலவைக் குறைத்தது.
substantial	கணிசமான	திட்டத்திற்குக் கணிசமான நிதி தேவைப்படுகிறது.
substantially	கணிசமாக	விலை கணிசமாக அதிகரித்தது.
substitute	மாற்று	பாலுக்கு மாற்றாகப் பயன்படுத்தவும்.
substitution	பதிலீடு	பதிலீடு செய்முறையை மாற்றியது.
subtle	நுட்பமான	ஓவியத்தில் நுட்பமான விவரங்கள் உள்ளன.
suburban	புறநகர்	அவர்கள் புறநகர்ப் பகுதிக்கு குடிபெயர்ந்தனர்.
succession	தொடர்	நெருக்கடியைத் தொடர்ந்து தொடர்ச்சியான தோல்விகள் ஏற்பட்டன.
successive	தொடர்ச்சியான	தொடர்ச்சியான அரசாங்கங்கள் இப்பிரச்சினையைப் புறக்கணித்தன.
successor	பின்வருபவர்	பின்வருபவர் திங்கட்கிழமை தொடங்குவார்.
suck	உறிஞ்சு	இயந்திரம் தூசியை உறிஞ்சும்.
sue	வழக்குத் தொடர்	அவள் நிறுவனத்தின் மீது வழக்குத் தொடர முடிவு செய்தாள்.
suicide	தற்கொலை	தற்கொலைத் தடுப்புக்குத் தொடர்ச்சியான நிதி தேவைப்படுகிறது.
suite	அறைத் தொகுப்பு	விடுதி அறைத் தொகுப்பு நதியைப் பார்த்தபடி இருந்தது.
summit	உச்சிமாநாடு	தலைவர்கள் உச்சிமாநாட்டில் சந்தித்தனர்.
superb	மிகச் சிறந்த	செயல்திறன் மிகச் சிறப்பாக இருந்தது.
superior	உயர்ந்த	புதிய மாதிரி உயர்ந்தது.
supervise	மேற்பார்வை செய்	அவள் பயிற்சியாளர்களை மேற்பார்வை செய்வாள்.
supervision	மேற்பார்வை	குழந்தைகளுக்குப் பெரியவர்களின் மேற்பார்வை தேவை.
supervisor	மேற்பார்வையாளர்	முதலில் உங்கள் மேற்பார்வையாளரிடம் கேளுங்கள்.
supplement	துணை	அறிக்கையில் ஒரு துணை உள்ளடங்கியுள்ளது.
supportive	ஆதரவான	அவளது குடும்பம் ஆதரவாக இருந்தது.
supposedly	பெரும்பாலும்	கோப்பு பெரும்பாலும் அழிக்கப்பட்டிருக்கலாம்.
suppress	அடக்கு	ஆட்சி போராட்டங்களை அடக்க முயன்றது.
supreme	உச்ச	உச்ச நீதிமன்றம் வழக்கை விசாரித்தது.
surge	அழுத்தம்	திடீர் அழுத்தத்தால் உபகரணங்கள் சேதமடைந்தன.
surgical	அறுவை சிகிச்சை	நோயாளிக்கு அறுவை சிகிச்சை தேவை.
surplus	உபரி	கிடங்கில் உபரி உள்ளது.
surrender	சரணடை	வீரர்கள் சரணடைய ஒப்புக்கொண்டனர்.
surveillance	கண்காணிப்பு	கண்காணிப்பு கேமராக்கள் நுழைவாயிலைப் பதிவு செய்தன.
suspension	இடைநீக்கம்	இடைநீக்கம் இரண்டு வாரங்கள் நீடித்தது.
suspicion	சந்தேகம்	அவனது நடத்தை சந்தேகத்தை எழுப்பியது.
suspicious	சந்தேகத்திற்குரிய	பார்சல் சந்தேகத்திற்குரியதாகத் தோன்றியது.
sustain	தக்கவை	திட்டம் உள்ளூர் வேலைகளைத் தக்கவைக்க முடியும்.
swing	ஊசலாடு	கதவு ஊசலாடத் தொடங்கியது.
sword	வாள்	வாள் சுவரில் தொங்கியது.
symbolic	அடையாளப்பூர்வமான	அந்தச் செயல் அடையாளப்பூர்வமாக இருந்தது.
syndrome	நோய்க்குறி	நோய்க்குறி நினைவகத்தைப் பாதிக்கிறது.
synthesis	தொகுப்பு	அத்தியாயம் ஒரு தொகுப்பை வழங்குகிறது.
systematic	முறையான	மதிப்பாய்வு முறையாக இருந்தது.
tactic	உத்தி	உத்தி விரைவாகத் தோல்வியடைந்தது.
tactical	தந்திரோபாயமான	குழு ஒரு தந்திரோபாயமான மாற்றத்தைச் செய்தது.
taxpayer	வரி செலுத்துபவர்	வரி செலுத்துவோரின் பணம் பாலத்திற்கு நிதியளித்தது.
tempt	கவர்	இந்தச் சலுகை முதலீட்டாளர்களைக் கவரக்கூடும்.
tenant	குத்தகைதாரர்	குத்தகைதாரர் வாடகையை முன்கூட்டியே செலுத்தினார்.
tender	மென்மையான	அவள் மென்மையான புன்னகையை உதிர்த்தாள்.
tenure	பதவிக்காலம்	அவரது பதவிக்காலம் ஆறு ஆண்டுகள் நீடித்தது.
terminal	ஆபத்தான	நோயாளிக்கு ஆபத்தான நோய் இருந்தது.
terminate	முடிவுக்குக் கொண்டுவா	நிறுவனம் ஒப்பந்தத்தை முடிவுக்குக் கொண்டுவரலாம்.
terrain	நிலப்பரப்பு	நிலப்பரப்பு கடினமாக இருந்தது.
terrific	அற்புதமான	காட்சி அற்புதமாக இருந்தது.
testify	சாட்சியமளி	அவள் சாட்சியமளிக்க ஒப்புக்கொண்டாள்.
testimony	சாட்சியம்	அவரது சாட்சியம் விரிவாக இருந்தது.
texture	அமைப்பு	துணி சொரசொரப்பான அமைப்பைக் கொண்டுள்ளது.
thankfully	நல்வாய்ப்பாக	நல்வாய்ப்பாக, யாருக்கும் காயம் ஏற்படவில்லை.
theatrical	நாடகத்தனமான	பேச்சு நாடகத்தனமாகத் ஒலித்தது.
theology	இறையியல்	அவர் பல்கலைக்கழகத்தில் இறையியல் படித்தார்.
theoretical	கோட்பாட்டு	மாதிரி முற்றிலும் கோட்பாட்டு ரீதியானது.
thereafter	அதன்பிறகு	அதன்பிறகு, விதிகள் மாறின.
thereby	அதன்மூலம்	மாற்றம் செலவுகளைக் குறைத்தது, அதன்மூலம் வேலைகள் சேமிக்கப்பட்டன.
thoughtful	சிந்தனைமிக்க	அவளது பதில் சிந்தனைமிக்கதாக இருந்தது.
thought-provoking	சிந்திக்கத் தூண்டும்	கட்டுரை சிந்திக்கத் தூண்டுவதாக இருந்தது.
thread	நூல்	நூல் எளிதாக அறுந்தது.
threshold	வரம்பு	வாக்களிப்பு வரம்பைத் தாண்டியது.
thrilled	மகிழ்ச்சியடை	செய்தியைக் கேட்டு அவள் மகிழ்ச்சியடைந்தாள்.
thrive	செழிப்படை	சிறுகுறு தொழில்கள் இங்குச் செழிப்படைய முடியும்.
tide	அலை	அலை வேகமாக உயர்ந்தது.
tighten	இறுக்கு	மூடியை நன்றாக இறுக்கவும்.
timber	மரம்	வீடு உள்ளூர் மரங்களைப் பயன்படுத்துகிறது.
timely	சரியான நேரத்திற்குரிய	எச்சரிக்கை சரியான நேரத்திற்குரியதாக இருந்தது.
tobacco	புகையிலை	புகையிலை விற்பனை குறைந்தது.
tolerance	சகிப்புத்தன்மை	கொள்கை சகிப்புத்தன்மையை ஊக்குவிக்கிறது.
