source_headword	DE	example_DE
pump	die Pumpe	Die Pumpe bewegt das Wasser nach oben.
punch	der Schlag	Er versetzte im Zorn einen Schlag.
query	die Anfrage	Senden Sie Ihre Anfrage an den Support.
quest	die Suche	Ihre Suche nach Gerechtigkeit ging weiter.
quota	die Quote	Das Team hat seine Verkaufsquote erreicht.
radar	das Radar	Der Sturm erschien auf dem Radar.
radical	radikal	Die Gruppe schlug radikale Reformen vor.
rage	die Wut	Seine Wut verflog schnell.
raid	die Razzia	Die Polizei führte eine Razzia im Morgengrauen durch.
rally	die Kundgebung	Anhänger schlossen sich der Kundgebung in der Innenstadt an.
ranking	das Ranking	Die Universität verbesserte ihr Ranking.
rape	die Vergewaltigung	Vergewaltigungsfälle erfordern eine sorgfältige Untersuchung.
ratio	das Verhältnis	Die Klasse hat ein niedriges Lehrerverhältnis.
rational	rational	Ihre Entscheidung war rational.
ray	der Strahl	Ein Sonnenstrahl fiel herein.
readily	bereitwillig	Er nahm das Angebot bereitwillig an.
realization	die Erkenntnis	Die Erkenntnis änderte ihre Pläne.
realm	der Bereich	Diese Frage gehört in einen anderen Bereich.
rear	hintere	Nutzen Sie heute den hinteren Eingang.
reasoning	die Argumentation	Seine Argumentation war klar.
reassure	beruhigen	Der Arzt versuchte, sie zu beruhigen.
rebel	der Rebell	Der Rebellenführer entging der Gefangennahme.
rebellion	die Rebellion	Die Rebellion endete nach Verhandlungen.
recipient	der Empfänger	Der Empfänger hat das Formular unterschrieben.
reconstruction	der Wiederaufbau	Der Wiederaufbau begann nach der Flut.
recount1	erzählen	Sie kann Ereignisse klar erzählen.
referendum	das Referendum	Das Referendum spaltete das Land.
reflection	das Nachdenken	Der Aufsatz erforderte tieferes Nachdenken.
reform	die Reform	Die Reform verbesserte die öffentlichen Dienstleistungen.
refuge	die Zuflucht	Die Familie suchte Zuflucht im Ausland.
refusal	die Weigerung	Ihre Weigerung überraschte den Ausschuss.
regain	zurückgewinnen	Er hat hart gearbeitet, um Vertrauen zurückzugewinnen.
regardless	ungeachtet	Sie machten ungeachtet der Kritik weiter.
regime	das Regime	Das Regime schränkte die freie Meinungsäußerung ein.
regulator	die Aufsichtsbehörde	Die Aufsichtsbehörde verhängte eine Geldstrafe gegen das Unternehmen.
regulatory	behördlich	Die behördliche Genehmigung dauerte Monate.
rehabilitation	die Rehabilitation	Die Rehabilitation half ihm, wieder laufen zu können.
reign	die Herrschaft	Die Herrschaft des Königs dauerte Jahrzehnte.
rejection	die Ablehnung	Die Ablehnung verletzte ihr Selbstvertrauen.
relevance	die Relevanz	Die Daten haben eine begrenzte Relevanz.
reliability	die Zuverlässigkeit	Zuverlässigkeit ist bei Notfallsystemen wichtig.
reluctant	zögerlich	Er war zögerlich zu sprechen.
remainder	der Rest	Der Rest ging an wohltätige Zwecke.
remains	die Überreste	Die Überreste wurden sorgfältig untersucht.
remedy	die Abhilfe	Das Gesetz bietet eine Abhilfe.
reminder	die Erinnerung	Die E-Mail war eine nützliche Erinnerung.
removal	die Beseitigung	Die Beseitigung von Barrieren half dem Handel.
render	machen	Der Fehler machte den Vertrag ungültig.
renew	erneuern	Erneuern Sie bald Ihren Pass.
renowned	renommiert	Sie ist für ihre Forschung renommiert.
rental	die Miete	Die Miete beinhaltet die Versicherung.
replacement	der Ersatz	Das Ersatzteil ist heute angekommen.
reportedly	Berichten zufolge	Der Minister ist Berichten zufolge gestern zurückgetreten.
representation	die Repräsentation	Eine faire Repräsentation bleibt wichtig.
reproduce	sich fortpflanzen	Diese Pflanzen pflanzen sich schnell fort.
reproduction	die Reproduktion	Die digitale Reproduktion verbesserte den Zugang.
republic	die Republik	Die Republik hielt Wahlen ab.
resemble	ähneln	Die beiden Entwürfe ähneln einander sehr.
reside	wohnen	Sie wohnen in der Nähe der Grenze.
residence	der Wohnsitz	Sein offizieller Wohnsitz wird bewacht.
residential	Wohn-	Das Gebiet ist größtenteils ein Wohngebiet.
residue	der Rückstand	Der Reiniger hinterließ einen klebrigen Rückstand.
resignation	der Rücktritt	Ihr Rücktritt schockierte den Vorstand.
resistance	der Widerstand	Der Widerstand gegen Veränderungen war stark.
respective	jeweilig	Sie kehrten in ihre jeweiligen Büros zurück.
respectively	beziehungsweise	Die Punktzahlen waren 80 beziehungsweise 90.
restoration	die Restaurierung	Die Restaurierung des Gebäudes dauerte Jahre.
restraint	die Zurückhaltung	Die Polizei zeigte Zurückhaltung.
resume	fortsetzen	Der Unterricht wird nächste Woche fortgesetzt.
retreat	der Rückzug	Die Armee begann einen Rückzug.
retrieve	abrufen	Sie hat die Datei abgerufen.
revelation	die Enthüllung	Die Enthüllung schadete seinem Ruf.
revenge	die Rache	Er wollte Rache für die Beleidigung.
reverse	aufheben	Das Gericht hob die Entscheidung auf.
revival	die Wiederbelebung	Die Stadt erlebte eine wirtschaftliche Wiederbelebung.
revive	wiederbeleben	Das Festival half, lokale Traditionen wiederzubeleben.
revolutionary	revolutionär	Die Erfindung war revolutionär.
rhetoric	die Rhetorik	Seine Rhetorik klang aggressiv.
rifle	das Gewehr	Das Gewehr wurde sicher aufbewahrt.
riot	der Aufstand	Der Aufstand dauerte mehrere Stunden.
rip	zerreißen	Zerreißen Sie das Papier vorsichtig.
ritual	das Ritual	Das Ritual markiert die Ernte.
robust	robust	Das System ist robust.
rock	erschüttern	Die Explosion erschütterte das Dorf.
rod	die Stange	Der Vorhang hängt an einer Stange.
rotate	drehen	Drehen Sie den Griff langsam.
rotation	die Rotation	Die Fruchtfolge schützt den Boden.
ruling	das Urteil	Das Gericht fällte ein Urteil.
rumour	das Gerücht	Das Gerücht verbreitete sich schnell.
sack	entlassen	Der Vorstand könnte den Trainer entlassen.
sacred	heilig	Der Tempel ist heilig.
sacrifice	das Opfer	Eltern bringen oft Opfer.
saint	der Heilige	Die Kirche ehrt einen lokalen Heiligen.
sake	das Wohl	Er blieb um ihretwillen.
sanction	die Sanktion	Die Sanktion beeinträchtigte den internationalen Handel.
say	das Mitspracherecht	Die Mitarbeiter hatten ein Mitspracherecht bei der Planung.
scattered	verstreut	Verstreute Papiere bedeckten den Schreibtisch.
sceptical	skeptisch	Sie blieb gegenüber der Behauptung skeptisch.
scope	der Umfang	Der Projektumfang wurde erweitert.
screw	die Schraube	Ziehen Sie die Schraube vorsichtig fest.
scrutiny	die genaue Prüfung	Das Geschäft stand unter genauer öffentlicher Prüfung.
seal	versiegeln	Versiegeln Sie den Umschlag vor dem Absenden.
secular	säkular	Die Schule folgt einem säkularen Lehrplan.
seemingly	scheinbar	Die Aufgabe war scheinbar einfach.
segment	das Segment	Das letzte Segment war kürzer.
seize	beschlagnahmen	Die Polizei beschlagnahmte die Dokumente.
seldom	selten	Sie verpasst selten einen Unterricht.
selective	selektiv	Das Programm ist sehr selektiv.
senator	der Senator	Der Senator unterstützte den Gesetzentwurf.
sensation	die Sensation	Die Entdeckung sorgte für eine Sensation.
sensitivity	die Sensibilität	Das Thema erfordert Sensibilität.
sentiment	die Stimmung	Die öffentliche Stimmung änderte sich schnell.
separation	die Trennung	Die Trennung war schwierig.
serial	Serien-	Die Seriennummer fehlt.
settlement	die Einigung	Die Einigung beendete den Streit.
set-up	der Aufbau	Der Aufbau dauerte den ganzen Morgen.
sexuality	die Sexualität	Der Kurs behandelt Identität und Sexualität.
shareholder	der Aktionär	Ein Aktionär befragte den Vorstand.
shatter	erschüttern	Die Nachrichten haben sein Selbstvertrauen erschüttert.
shed	abbauen	Das Unternehmen wird Stellen abbauen.
sheer	schier	Die schiere Größe überraschte alle.
shipping	der Versand	Die Versandkosten sind gestiegen.
shoot	das Shooting	Das Fotoshooting endete früh.
shrink	einlaufen	Das Hemd kann einlaufen.
shrug	mit den Schultern zucken	Sie zuckte leicht mit den Schultern.
sigh	seufzen	Er seufzte vor Erleichterung.
simulate	simulieren	Die Software kann den Verkehr simulieren.
simulation	die Simulation	Die Simulation sagte Überschwemmungen voraus.
simultaneously	gleichzeitig	Zwei Alarme klingelten gleichzeitig.
sin	die Sünde	Stolz gilt als Sünde.
situated	gelegen	Das Hotel ist im Stadtzentrum gelegen.
sketch	die Skizze	Sie fertigte eine schnelle Skizze an.
skip	auslassen	Lassen Sie das Frühstück nicht aus.
slam	zuschlagen	Er kann die Tür zuschlagen.
slap	schlagen	Schlage nicht auf den Tisch.
slavery	die Sklaverei	Die Sklaverei prägte die Geschichte der Region.
slot	das Zeitfenster	Buchen Sie online ein Zeitfenster.
smash	zerbrechen	Das Glas zerbrach auf dem Boden.
snap	brechen	Der Ast brach im Wind.
soak	einweichen	Weichen Sie die Bohnen über Nacht ein.
soar	in die Höhe schnellen	Die Kraftstoffpreise könnten in die Höhe schnellen.
socialist	sozialistisch	Die Partei unterstützt sozialistische Strategien.
sole	einzig	Er war der einzige Überlebende.
solely	ausschließlich	Die Entscheidung lag allein bei ihm.
solicitor	der Anwalt	Der Anwalt bereitete den Vertrag vor.
solidarity	die Solidarität	Die Arbeiter drückten ihre Solidarität aus.
solo	solo	Sie hat ein Soloalbum veröffentlicht.
sound	solide	Der Plan ist solide und praktisch.
sovereignty	die Souveränität	Der Vertrag schützte die nationale Souveränität.
spam	der Spam	Spam füllte den Posteingang.
span	überspannen	Die Brücke überspannt den Fluss.
spark	auslösen	Eine kleine Bemerkung löste eine Debatte aus.
specialized	spezialisiert	Die Klinik bietet spezialisierte Pflege.
specification	die Spezifikation	Das Design erfüllt jede Spezifikation.
specimen	das Exemplar	Das Exemplar wurde sicher aufbewahrt.
spectacle	das Spektakel	Die Parade war ein lebhaftes Spektakel.
spectrum	das Spektrum	Die Meinungen decken ein breites Spektrum ab.
spell	die Periode	Die Trockenperiode dauerte Wochen.
sphere	die Sphäre	Die Politik betrat die kulturelle Sphäre.
spin	sich drehen	Die Räder begannen sich zu drehen.
spine	die Wirbelsäule	Die Verletzung betraf seine Wirbelsäule.
spotlight	das Rampenlicht	Der Skandal rückte ihn ins Rampenlicht.
spouse	der Ehepartner	Ihr Ehepartner nahm an der Zeremonie teil.
spy	der Spion	Der Spion sendete verschlüsselte Nachrichten.
squad	der Trupp	Der Rettungstrupp kam schnell an.
squeeze	drücken	Drücken Sie den Griff vorsichtig.
stab	erstechen	Der Bericht beschrieb eine Stichwunde.
stability	die Stabilität	Die Politik brachte Stabilität.
stabilize	stabilisieren	Das Medikament half, ihn zu stabilisieren.
stake	der Anteil	Investoren haben hier einen Anteil.
standing	das Ansehen	Ihr Ansehen in der Partei stieg.
stark	krass	Die Ergebnisse zeigten einen krassen Gegensatz.
statistical	statistisch	Die Studie verwendete statistische Methoden.
steer	lenken	Er versuchte, die Debatte zu lenken.
stem	der Stiel	Der Stiel brach im Sturm.
stereotype	das Klischee	Der Film stellte ein Klischee infrage.
stimulus	der Impuls	Das Paket bot einen wirtschaftlichen Impuls.
stir	umrühren	Rühren Sie die Soße langsam um.
storage	die Lagerung	Die Einrichtung bietet sichere Lagerung.
straightforward	unkompliziert	Die Anweisungen waren unkompliziert.
strain	die Spannung	Die lange Verzögerung verursachte Spannungen.
strand	die Strähne	Eine Haarsträhne fiel herab.
strategic	strategisch	Das Unternehmen tätigte eine strategische Investition.
strip (long narrow piece)	der Streifen	Schneiden Sie einen schmalen Papierstreifen ab.
strip (remove clothes/a layer)	abziehen	Ziehen Sie die alte Farbe vorsichtig ab.
strive	streben	Sie streben nach Exzellenz.
structural	strukturell	Die Brücke hat strukturelle Schäden.
stumble	stolpern	Er stolperte auf der Treppe.
stun	verblüffen	Die Nachrichten können Menschen verblüffen.
submission	die Einreichung	Die Frist für die Einreichung ist abgelaufen.
subscriber	der Abonnent	Jeder Abonnent erhält Updates.
subscription	das Abonnement	Das Abonnement verlängert sich automatisch.
subsidy	die Subvention	Die Subvention senkte die Treibstoffkosten.
substantial	erheblich	Das Projekt benötigt erhebliche Fördermittel.
substantially	erheblich	Der Preis stieg erheblich.
substitute	der Ersatz	Verwenden Sie Milch als Ersatz.
substitution	der Austausch	Der Austausch veränderte das Rezept.
subtle	subtil	Das Gemälde hat subtile Details.
suburban	vorstädtisch	Sie zogen in eine vorstädtische Gegend.
succession	die Abfolge	Die Krise folgte auf eine Abfolge von Fehlern.
successive	aufeinanderfolgend	Aufeinanderfolgende Regierungen ignorierten das Problem.
successor	der Nachfolger	Der Nachfolger wird am Montag anfangen.
suck	saugen	Die Maschine kann Staub saugen.
sue	verklagen	Sie beschloss, das Unternehmen zu verklagen.
suicide	der Suizid	Suizidprävention benötigt dauerhafte Finanzierung.
suite	die Suite	Die Hotelsuite überblickte den Fluss.
summit	der Gipfel	Die Führer trafen sich auf dem Gipfel.
superb	hervorragend	Die Aufführung war hervorragend.
superior	überlegen	Das neue Modell ist überlegen.
supervise	beaufsichtigen	Sie wird die Auszubildenden betreuen.
supervision	die Aufsicht	Kinder brauchen die Aufsicht von Erwachsenen.
supervisor	der Vorgesetzte	Fragen Sie zuerst Ihren Vorgesetzten.
supplement	die Ergänzung	Der Bericht enthält eine Ergänzung.
supportive	unterstützend	Ihre Familie war sehr unterstützend.
supposedly	angeblich	Die Datei wurde angeblich gelöscht.
suppress	unterdrücken	Das Regime versuchte, Proteste zu unterdrücken.
supreme	oberste	Das oberste Gericht hat den Fall angehört.
surge	der Stromstoß	Ein plötzlicher Stromstoß beschädigte die Ausrüstung.
surgical	chirurgisch	Der Patient benötigt eine chirurgische Behandlung.
surplus	der Überschuss	Das Lager hat einen Überschuss.
surrender	sich ergeben	Die Soldaten stimmten zu, sich zu ergeben.
surveillance	die Überwachung	Überwachungskameras haben den Eingang aufgezeichnet.
suspension	die Sperre	Die Sperre dauerte zwei Wochen.
suspicion	der Verdacht	Sein Verhalten erregte Verdacht.
suspicious	verdächtig	Das Paket sah verdächtig aus.
sustain	aufrechterhalten	Das Projekt kann lokale Arbeitsplätze erhalten.
swing	schwingen	Die Tür begann zu schwingen.
sword	das Schwert	Das Schwert hing an der Wand.
symbolic	symbolisch	Die Geste war symbolisch.
syndrome	das Syndrom	Das Syndrom beeinträchtigt das Gedächtnis.
synthesis	die Synthese	Das Kapitel bietet eine Synthese.
systematic	systematisch	Die Überprüfung war systematisch.
tactic	die Taktik	Die Taktik scheiterte schnell.
tactical	taktisch	Das Team hat einen taktischen Wechsel vorgenommen.
taxpayer	der Steuerzahler	Steuergelder finanzierten die Brücke.
tempt	verlocken	Das Angebot könnte Investoren anlocken.
tenant	der Mieter	Der Mieter zahlte die Miete frühzeitig.
tender	zärtlich	Sie schenkte ein zärtliches Lächeln.
tenure	die Amtszeit	Seine Amtszeit dauerte sechs Jahre.
terminal	unheilbar	Der Patient hatte eine unheilbare Krankheit.
terminate	kündigen	Das Unternehmen kann den Vertrag kündigen.
terrain	das Gelände	Das Gelände war schwierig.
terrific	fantastisch	Die Aussicht war großartig.
testify	aussagen	Sie stimmte zu, auszusagen.
testimony	die Aussage	Seine Aussage war detailliert.
texture	die Textur	Der Stoff hat eine raue Textur.
thankfully	glücklicherweise	Glücklicherweise wurde niemand verletzt.
theatrical	theatralisch	Die Rede klang theatralisch.
theology	die Theologie	Er studierte Theologie an der Universität.
theoretical	theoretisch	Das Modell ist rein theoretisch.
thereafter	danach	Danach änderten sich die Regeln.
thereby	dadurch	Die Änderung senkte die Kosten und rettete dadurch Arbeitsplätze.
thoughtful	nachdenklich	Ihre Antwort war gut durchdacht.
thought-provoking	zum Nachdenken anregend	Der Artikel regte zum Nachdenken an.
thread	der Faden	Der Faden riss leicht.
threshold	die Schwelle	Die Abstimmung hat die Schwelle überschritten.
thrilled	begeistert	Sie war von den Neuigkeiten begeistert.
thrive	florieren	Kleine Unternehmen können hier florieren.
tide	die Flut	Die Flut stieg schnell.
tighten	festziehen	Ziehen Sie den Deckel fest zu.
timber	das Holz	Das Haus verwendet lokales Holz.
timely	rechtzeitig	Die Warnung kam rechtzeitig.
tobacco	der Tabak	Die Tabakverkäufe gingen zurück.
tolerance	die Toleranz	Die Politik fördert Toleranz.
tolerate	tolerieren	Wir können keinen Missbrauch dulden.
toll	der Tribut	Der Sturm forderte einen schweren Tribut.
top	übertreffen	Die Verkäufe könnten den Rekord vom letzten Jahr übertreffen.
torture	die Folter	Der Vertrag verbietet Folter absolut.
