source_headword	TH	example_TH
incorporate	รวมเข้าด้วยกัน	รวมผักเข้ากับมื้ออาหารให้มากขึ้น.
incorrect	ไม่ถูกต้อง	คำตอบไม่ถูกต้อง.
independence	ความเป็นอิสระ	ประเทศเฉลิมฉลองความเป็นอิสระ.
index	ดัชนี	ตรวจสอบดัชนีสำหรับหัวข้อนี้.
indication	ข้อบ่งชี้	รอยยิ้มเป็นข้อบ่งชี้ถึงความโล่งใจ.
inevitable	ซึ่งหลีกเลี่ยงไม่ได้	ความล่าช้าบางอย่างเป็นเรื่องที่หลีกเลี่ยงไม่ได้.
inevitably	อย่างหลีกเลี่ยงไม่ได้	อย่างหลีกเลี่ยงไม่ได้ราคาได้สูงขึ้นหลังจากขาดแคลน.
infer	อนุมาน	เราสามารถอนุมานคำตอบได้จากบริบท.
inflation	ภาวะเงินเฟ้อ	ภาวะเงินเฟ้อทำให้ราคาอาหารเพิ่มขึ้น.
info	ข้อมูล	เว็บไซต์นี้แสดงรายการข้อมูลที่เป็นประโยชน์.
infrastructure	โครงสร้างพื้นฐาน	พายุสร้างความเสียหายต่อโครงสร้างพื้นฐานในท้องถิ่น.
inhabitant	ผู้อยู่อาศัย	ผู้อยู่อาศัยแต่ละคนได้รับน้ำสะอาด.
inherit	สืบทอด	เธอจะสืบทอดบ้านของครอบครัว.
ink	หมึก	เครื่องพิมพ์ต้องการหมึกสีดำ.
innovation	นวัตกรรม	นวัตกรรมขับเคลื่อนอุตสาหกรรมไปข้างหน้า.
innovative	ซึ่งเป็นนวัตกรรม	บริษัทเปิดตัวผลิตภัณฑ์ที่เป็นนวัตกรรมใหม่.
input	ข้อคิดเห็น	ผู้จัดการขอข้อคิดเห็น.
insert	ใส่	ใส่การ์ดลงในเครื่อง.
inspector	ผู้ตรวจสอบ	ผู้ตรวจสอบตรวจสอบอาคาร.
installation	การติดตั้ง	การติดตั้งใช้เวลาสองชั่วโมง.
instant	ทันที	แอปพลิเคชันส่งการตอบกลับทันที.
instantly	อย่างทันที	หน้าจอสว่างขึ้นอย่างทันที.
integrate	บูรณาการ	ซอฟต์แวร์สามารถบูรณาการเครื่องมือใหม่ได้.
intellectual	ทางปัญญา	การโต้วาทีเป็นเรื่องทางปัญญาแต่เป็นมิตร.
interact	มีปฏิสัมพันธ์	นักเรียนมีปฏิสัมพันธ์ระหว่างการทำงานกลุ่ม.
interaction	ปฏิสัมพันธ์	ปฏิสัมพันธ์เป็นไปอย่างสุภาพ.
interpretation	การตีความ	การตีความบทกวีของเธอมีความเป็นต้นฉบับ.
interval	ช่วงเวลา	มีช่วงเวลาสั้นๆระหว่างการแสดง.
invade	บุกรุก	กองทัพพยายามบุกรุกเกาะนี้.
invasion	การบุกรุก	การบุกรุกสร้างความเสียหายให้กับหลายเมือง.
investor	นักลงทุน	นักลงทุนให้ทุนสนับสนุนสตาร์ทอัพแห่งใหม่.
isolate	แยกตัว	แพทย์แยกผู้ป่วยที่ติดเชื้อรุนแรง.
isolated	โดดเดี่ยว	หมู่บ้านถูกโดดเดี่ยวโดยหิมะ.
jail	คุก	โจรไปที่คุก.
jet	เครื่องบินเจ็ต	เครื่องบินเจ็ตลงจอดตอนเที่ยง.
joint	ร่วม	พวกเขาประกาศโครงการร่วม.
journalism	วารสารศาสตร์	วารสารศาสตร์ต้องการข้อเท็จจริงที่แม่นยำ.
jury	คณะลูกขุน	คณะลูกขุนตัดสินใจแล้ว.
kit	ชุดเครื่องมือ	ชุดเครื่องมือซ่อมมีสกรูอยู่ด้วย.
ladder	บันได	บันไดพิงกำแพง.
landing	การลงจอด	เครื่องบินลงจอดอย่างราบรื่น.
lane	เลน	อยู่ในเลนขวา.
lately	เมื่อเร็วๆนี้	เมื่อเร็วๆนี้ฉันนอนหลับไม่ดี.
leaflet	แผ่นพับ	แผ่นพับอธิบายบริการนี้.
legend	ตำนาน	ตำนานเล่าถึงเมืองที่ซ่อนอยู่.
lens	เลนส์	ทำความสะอาดเลนส์กล้องอย่างระมัดระวัง.
lifetime	ตลอดชีวิต	เขาประหยัดเงินมาตลอดชีวิต.
lighting	แสงสว่าง	แสงสว่างที่ดีทำให้ห้องดูดีขึ้น.
likewise	เช่นเดียวกัน	เธอยิ้มและเขาก็ทำเช่นเดียวกัน.
limitation	ข้อจำกัด	แผนนี้มีข้อจำกัดอย่างหนึ่ง.
literally	อย่างแท้จริง	เธอวิ่งไปที่รถบัสอย่างแท้จริง.
literary	ทางวรรณกรรม	เทศกาลนี้ยกย่องผลงานทางวรรณกรรม.
litre	ลิตร	ซื้อนมนึ่งลิตร.
litter	ขยะ	อย่าทิ้งขยะ.
logo	โลโก้	โลโก้ปรากฏในทุกหน้า.
lottery	ลอตเตอรี่	เขาถูกรางวัลลอตเตอรี่เล็กๆน้อยๆ.
loyal	ภักดี	สุนัขมีความภักดีต่อเจ้าของ.
lyric	เนื้อเพลง	เนื้อเพลงกล่าวซ้ำแนวคิดหลัก.
magnificent	งดงาม	พระราชวังดูงดงามมาก.
make-up	เครื่องสำอาง	เธอแต่งหน้าด้วยเครื่องสำอางง่ายๆ.
making	การสร้าง	การสร้างภาพยนตร์เป็นเรื่องยาก.
manufacture	ผลิต	โรงงานจะผลิตโทรศัพท์.
manufacturing	การผลิต	งานด้านการผลิตในท้องถิ่นเพิ่มขึ้น.
marathon	มาราธอน	เธอวิ่งมาราธอนจนจบ.
margin	ขอบ	เขียนบันทึกที่ขอบ.
marker	ปากกามาร์กเกอร์	ใช้ปากกามาร์กเกอร์สำหรับป้าย.
martial	การต่อสู้	เขาศึกษาศิลปะการต่อสู้.
mate	เพื่อน	เพื่อนร่วมโรงเรียนเก่าของฉันโทรมาเมื่อวานนี้.
mayor	นายกเทศมนตรี	นายกเทศมนตรีเปิดห้องสมุด.
mechanic	ช่างเครื่อง	ช่างเครื่องซ่อมรถบัส.
mechanical	ทางกล	นาฬิกามีข้อบกพร่องทางกล.
mechanism	กลไก	กลไกการล็อคนั้นเรียบง่าย.
medal	เหรียญรางวัล	เธอได้รับเหรียญรางวัลทอง.
medication	ยา	รับประทานยาพร้อมน้ำ.
membership	สมาชิกภาพ	สมาชิกภาพยิมถูกกว่าเมื่อสมัครออนไลน์.
memorable	น่าจดจำ	ทริปนี้น่าจดจำมาก.
metaphor	คำอุปมา	บทกวีนี้ใช้คำอุปมาที่ทรงพลัง.
miner	คนงานเหมือง	คนงานเหมืองทำงานใต้ดิน.
miserable	น่าสังเวช	ฝนทำให้การปิกนิกน่าสังเวช.
mode	โหมด	เปลี่ยนกล้องไปที่โหมดกลางคืน.
modest	พอประมาณ	พวกเขาอาศัยอยู่ในบ้านที่พอประมาณ.
monster	สัตว์ประหลาด	เรื่องราวนี้มีสัตว์ประหลาดที่น่ากลัว.
monthly	รายเดือน	เราจ่ายค่าเช่ารายเดือน.
monument	อนุสาวรีย์	อนุสาวรีย์ตั้งอยู่ใกล้แม่น้ำ.
moreover	นอกจากนี้	นอกจากนี้แผนนี้ยังช่วยประหยัดเงินได้อีกด้วย.
mortgage	จำนอง	พวกเขายื่นขอจำนอง.
mosque	มัสยิด	มัสยิดอยู่ใกล้ตลาด.
motion	การเคลื่อนไหว	เซ็นเซอร์ตรวจจับการเคลื่อนไหวได้.
motivate	กระตุ้น	คำชมสามารถกระตุ้นนักเรียนได้.
motivation	แรงจูงใจ	แรงจูงใจของเธอยังคงแข็งแกร่ง.
moving	น่าซาบซึ้ง	สุนทรพจน์นั้นน่าซาบซึ้ง.
myth	ตำนาน	ตำนานอธิบายชื่อของภูเขา.
naked	เปลือยเปล่า	ทารกเปลือยเปล่าหลังจากอาบน้ำ.
nasty	ร้ายแรง	รอยบาดดูร้ายแรงมาก.
navigation	การนำทาง	แอปพลิเคชันปรับปรุงการนำทาง.
nearby	ใกล้เคียง	คาเฟ่ใกล้เคียงเปิดเร็ว.
necessity	ความจำเป็น	น้ำสะอาดเป็นความจำเป็น.
negotiate	เจรจา	พวกเขาจะเจรจาสัญญาในวันพรุ่งนี้.
negotiation	การเจรจา	การเจรจากินเวลาตลอดเช้า.
neutral	เป็นกลาง	ผู้พิพากษายังคงเป็นกลาง.
newly	ใหม่	ประตูที่ทาสีใหม่ดูสดใส.
norm	บรรทัดฐาน	การทำงานระยะไกลกลายเป็นบรรทัดฐานไปแล้ว.
notebook	สมุดบันทึก	เขียนบันทึกลงในสมุดบันทึกของคุณ.
novelist	นักเขียนนวนิยาย	นักเขียนนวนิยายเซ็นชื่อในหนังสือของเธอ.
nowadays	ในปัจจุบันนี้	ในปัจจุบันนี้ผู้คนจำนวนมากทำงานออนไลน์.
nursing	การพยาบาล	เธอกำลังศึกษาการพยาบาล.
nutrition	โภชนาการ	โภชนาการที่ดีส่งเสริมสุขภาพ.
obesity	โรคอ้วน	โรคอ้วนเพิ่มความเสี่ยงต่อสุขภาพ.
observer	ผู้สังเกตการณ์	ผู้สังเกตการณ์บันทึกผลลัพธ์.
obstacle	อุปสรรค	ต้นไม้ที่ล้มลงเป็นอุปสรรค.
occupation	อาชีพ	โปรดเขียนอาชีพของคุณที่นี่.
occupy	ครอบครอง	ครอบครัวนี้จะครอบครองอพาร์ตเมนต์.
offender	ผู้กระทำความผิด	ผู้กระทำความผิดขอโทษในศาล.
ongoing	อย่างต่อเนื่อง	การสืบสวนกำลังดำเนินการอย่างต่อเนื่อง.
openly	อย่างเปิดเผย	เธอพูดอย่างเปิดเผยเกี่ยวกับความกลัวของเธอ.
opera	โอเปร่า	เราดูโอเปร่าในมิลาน.
operator	พนักงานรับสาย	พนักงานรับสายเชื่อมต่อสาย.
optimistic	มองโลกในแง่ดี	เธอรู้สึกมองโลกในแง่ดีเกี่ยวกับอนาคต.
orchestra	วงออร์เคสตรา	วงออร์เคสตราบรรเลงอย่างนุ่มนวล.
organic	อินทรีย์	พวกเขาซื้อผักอินทรีย์.
outfit	เครื่องแต่งกาย	เครื่องแต่งกายของเธอเข้ากับโอกาสนี้.
output	ผลผลิต	ผลผลิตของเครื่องจักรเพิ่มขึ้น.
outstanding	โดดเด่น	การแสดงของเขานั้นโดดเด่นมาก.
overcome	เอาชนะ	พวกเขาเอาชนะปัญหาร่วมกัน.
overnight	ข้ามคืน	พัสดุมาถึงในชั่วข้ามคืน.
overseas	ในต่างประเทศ	เขาหางานในต่างประเทศ.
ownership	ความเป็นเจ้าของ	ความเป็นเจ้าของที่ดินได้เปลี่ยนไป.
oxygen	ออกซิเจน	พืชผลิตออกซิเจน.
packet	แพ็คเก็ต	เปิดแพ็คเก็ตอย่างระมัดระวัง.
palm	ฝ่ามือ	ถือเหรียญไว้ในฝ่ามือของคุณ.
panic	ความตื่นตระหนก	ความตื่นตระหนกแพร่กระจายไปทั่วฝูงชน.
parade	ขบวนพาเหรด	ขบวนพาเหรดเริ่มตอนเที่ยง.
parallel	ขนาน	ถนนวิ่งขนานกัน.
participation	การมีส่วนร่วม	การมีส่วนร่วมในชั้นเรียนดีขึ้น.
partnership	ความเป็นหุ้นส่วน	ความเป็นหุ้นส่วนช่วยทั้งสองบริษัทได้.
part-time	นอกเวลา	เธอได้งานนอกเวลา.
passionate	หลงใหล	เขาหลงใหลในดนตรี.
password	รหัสผ่าน	เลือกรหัสผ่านที่รัดกุม.
patience	ความอดทน	การสอนเด็กเล็กต้องใช้ความอดทน.
pause	หยุดชั่วคราว	หยุดวิดีโอชั่วคราวเดี๋ยวนี้.
peer	เพื่อนร่วมรุ่น	ความกดดันจากเพื่อนร่วมรุ่นมีผลต่อการเลือกของเขา.
penalty	บทลงโทษ	ผู้เล่นได้รับบทลงโทษ.
perceive	รับรู้	ผู้คนรับรู้ความเสี่ยงแตกต่างกันไป.
perception	การรับรู้	การรับรู้ถึงอันตรายของเขาได้เปลี่ยนไป.
permanently	อย่างถาวร	ร้านปิดอย่างถาวร.
pill	ยาเม็ด	ทานยาหนึ่งเม็ดหลังอาหารเช้า.
pity	ความน่าเสียดาย	มันเป็นความน่าเสียดาย.
placement	การจัดวาง	การจัดวางโซฟามีความสำคัญ.
portion	สัดส่วน	เสิร์ฟข้าวสัดส่วนเล็กน้อย.
potentially	ซึ่งอาจเกิดขึ้นได้	การเปลี่ยนแปลงนี้อาจมีประโยชน์.
precede	นำหน้า	เมฆดำมักจะนำหน้าฝน.
precious	ล้ำค่า	แหวนนี้ล้ำค่ามาก.
precise	แม่นยำ	คำแนะนำมีความแม่นยำ.
precisely	อย่างแม่นยำ	วัดระยะทางอย่างแม่นยำ.
predictable	คาดเดาได้	ตอนจบนั้นสามารถคาดเดาได้.
preference	ความชอบ	เธอแสดงความชอบในชา.
pride	ความภาคภูมิใจ	เขารู้สึกถึงความภาคภูมิใจหลังจากทำเสร็จ.
primarily	เป็นหลัก	หลักสูตรนี้เป็นหลักสูตรออนไลน์เป็นหลัก.
principal	ครูใหญ่	ครูใหญ่ทักทายนักเรียนใหม่.
prior	ก่อนหน้า	เราต้องการการอนุมัติล่วงหน้า.
probability	ความน่าจะเป็น	ความน่าจะเป็นที่จะมีฝนตกมีสูง.
probable	เป็นไปได้	คืนนี้เป็นไปได้ที่จะมีฝนตก.
proceed	ดำเนินการต่อ	โปรดดำเนินการต่อไปยังห้องถัดไป.
programming	การเขียนโปรแกรม	การเขียนโปรแกรมต้องใช้การฝึกฝน.
progressive	ก้าวหน้า	นโยบายมีความก้าวหน้าในยุคนั้น.
prohibit	ห้าม	กฎระเบียบห้ามสูบบุหรี่.
promising	มีแนวโน้มที่ดี	ผลลัพธ์ดูมีแนวโน้มที่ดี.
promotion	การเลื่อนตำแหน่ง	เธอได้รับการเลื่อนตำแหน่งในที่ทำงาน.
prompt	รวดเร็ว	การตอบสนองที่รวดเร็วช่วยประหยัดเวลา.
proportion	สัดส่วน	สัดส่วนใหญ่ลงคะแนนเห็นด้วย.
protein	โปรตีน	ถั่วมีโปรตีน.
protester	ผู้ประท้วง	ผู้ประท้วงถือป้าย.
psychological	ทางจิตวิทยา	อุบัติเหตุทำให้เกิดความเครียดทางจิตวิทยา.
publicity	การประชาสัมพันธ์	งานนี้ได้รับการประชาสัมพันธ์.
publishing	การจัดพิมพ์	เธอทำงานในด้านการจัดพิมพ์.
punk	พังค์	ดนตรีพังค์กลายเป็นที่นิยมที่นั่น.
purely	อย่างแท้จริง	ทางเลือกนี้เป็นไปในเชิงปฏิบัติอย่างแท้จริง.
pursuit	การแสวงหา	เขาดำเนินการแสวงหาความยุติธรรมต่อไป.
puzzle	ปริศนา	ปริศนานี้ใช้เวลาหนึ่งชั่วโมง.
questionnaire	แบบสอบถาม	โปรดกรอกแบบสอบถาม.
racial	ทางเชื้อชาติ	รายงานได้กล่าวถึงความไม่เท่าเทียมทางเชื้อชาติ.
racism	การเหยียดเชื้อชาติ	การเหยียดเชื้อชาติส่งผลเสียต่อชุมชน.
racist	ซึ่งเหยียดเชื้อชาติ	ความคิดเห็นนั้นเหยียดเชื้อชาติ.
radiation	รังสี	รังสีสามารถทำลายเซลล์ได้.
rail	ราว	จับราวบนบันได.
random	สุ่ม	คอมพิวเตอร์เลือกตัวเลขสุ่ม.
rat	หนู	หนูวิ่งไปหลังถังขยะ.
rating	การให้คะแนน	โรงแรมมีการให้คะแนนสูง.
reasonably	สมเหตุสมผล	ห้องสะอาดอย่างสมเหตุสมผล.
rebuild	สร้างใหม่	พวกเขาจะสร้างสะพานใหม่.
receiver	ผู้รับ	ผู้รับจับลูกบอลได้.
recession	ภาวะถดถอย	ภาวะถดถอยลดการใช้จ่าย.
reckon	คิดว่า	ฉันคิดว่ารถไฟมาช้า.
recognition	การยอมรับ	เธอได้รับการยอมรับสำหรับงานของเธอ.
recovery	การฟื้นตัว	การฟื้นตัวใช้เวลาหลายสัปดาห์.
recruit	รับสมัคร	บริษัทจะรับสมัครวิศวกร.
recruitment	การรับสมัคร	การรับสมัครเริ่มในวันจันทร์หน้า.
referee	กรรมการ	กรรมการหยุดการแข่งขัน.
refugee	ผู้ลี้ภัย	ผู้ลี้ภัยพบบ้านที่ปลอดภัย.
registration	การลงทะเบียน	การลงทะเบียนปิดในวันศุกร์.
regulate	ควบคุม	กฎหมายจะควบคุมการปล่อยมลพิษ.
reinforce	เสริมกำลัง	คานเสริมช่วยเสริมกำลังหลังคา.
relieve	บรรเทา	ยาสามารถบรรเทาอาการปวดได้.
relieved	โล่งใจ	เธอรู้สึกโล่งใจหลังจากได้รับโทรศัพท์.
remarkable	โดดเด่น	การฟื้นตัวมีความโดดเด่น.
remarkably	อย่างโดดเด่น	เขาฟื้นตัวได้อย่างรวดเร็วอย่างโดดเด่น.
reporting	การรายงาน	การรายงานที่แม่นยำเป็นสิ่งสำคัญ.
resign	ลาออก	ผู้จัดการจะลาออกในวันพรุ่งนี้.
resolution	ความละเอียด	หน้าจอมีความละเอียดสูง.
restore	ฟื้นฟู	คนงานฟื้นฟูภาพวาดเก่า.
restrict	จำกัด	กฎระเบียบจำกัดการจอดรถ.
restriction	ข้อจำกัด	ข้อจำกัดจะสิ้นสุดในวันพรุ่งนี้.
retail	การขายปลีก	ยอดการขายปลีกเพิ่มขึ้น.
retirement	การเกษียณอายุ	เธอวางแผนการเกษียณอายุอย่างรอบคอบ.
revenue	รายได้	รายได้จากตั๋วจ่ายค่าซ่อมแซม.
revision	การทบทวน	การทบทวนช่วยได้ก่อนการสอบ.
ridiculous	ไร้สาระ	ราคานั้นไร้สาระมาก.
risky	มีความเสี่ยง	แผนนี้ดูเหมือนจะมีความเสี่ยง.
rival	คู่แข่ง	คู่แข่งของเราเปิดร้านใหม่.
rob	ปล้น	ชายเหล่านั้นพยายามปล้นธนาคาร.
robbery	การปล้น	การปล้นเกิดขึ้นในตอนกลางคืน.
rocket	จรวด	จรวดถูกปล่อยอย่างสำเร็จ.
romance	ความโรแมนติก	นวนิยายเรื่องนี้มีความโรแมนติก.
rose	ดอกกุหลาบ	ดอกกุหลาบสีแดงเติบโตริมรั้ว.
roughly	คร่าวๆ	มีผู้เข้าร่วมคร่าวๆยี่สิบคน.
ruin	ทำลาย	ฝนอาจทำลายการปิกนิกได้.
satisfaction	ความพึงพอใจ	ความพึงพอใจของลูกค้าดีขึ้น.
scandal	เรื่องอื้อฉาว	เรื่องอื้อฉาวทำลายอาชีพของเขา.
scare	ความตกใจ	เสียงดังทำให้ฉันตกใจ.
scenario	สถานการณ์	สถานการณ์ที่เลวร้ายที่สุดไม่น่าจะเกิดขึ้นได้.
scholar	นักวิชาการ	นักวิชาการศึกษาข้อความโบราณ.
scholarship	ทุนการศึกษา	เธอได้รับทุนการศึกษา.
scratch	รอยขีดข่วน	แมวทิ้งรอยขีดข่วนเอาไว้.
screening	การตรวจคัดกรอง	โรงพยาบาลให้บริการการตรวจคัดกรองมะเร็ง.
seeker	ผู้ค้นหา	ผู้ค้นหางานส่งใบสมัคร.
seminar	สัมมนา	สัมมนาเริ่มเวลาเก้าโมง.
settler	ผู้ตั้งถิ่นฐาน	ผู้ตั้งถิ่นฐานสร้างฟาร์มเล็กๆ.
severely	อย่างรุนแรง	พายุสร้างความเสียหายต่อถนนอย่างรุนแรง.
sexy	เซ็กซี่	ชุดนี้ถูกมองว่าเซ็กซี่.
shocking	น่าตกใจ	ข่าวนั้นน่าตกใจมาก.
shore	ชายฝั่ง	เราเดินไปตามชายฝั่ง.
shortage	ความขาดแคลน	เมืองเผชิญกับความขาดแคลนน้ำ.
shortly	ในไม่ช้า	รถบัสมาถึงในไม่ช้าหลังเที่ยง.
short-term	ระยะสั้น	แผนนี้มีผลประโยชน์ระยะสั้น.
sibling	พี่น้อง	พี่น้องแต่ละคนได้รับของขวัญ.
signature	ลายเซ็น	โปรดเพิ่มลายเซ็นของคุณ.
significance	ความสำคัญ	การค้นพบนี้มีความสำคัญอย่างยิ่ง.
skilled	มีทักษะ	คนงานที่มีทักษะซ่อมแซมหลังคา.
slogan	สโลแกน	แคมเปญนี้ใช้สโลแกนที่เรียบง่าย.
so-called	ที่เรียกกันว่า	ผู้เชี่ยวชาญที่เรียกกันว่าคนนั้นทำผิดพลาด.
somehow	ด้วยเหตุใดก็ตาม	ด้วยเหตุใดก็ตามกุญแจก็หายไป.
sometime	บางเวลา	มาเยี่ยมเราบางเวลาในสัปดาห์หน้า.
sophisticated	ซับซ้อน	ซอฟต์แวร์มีความซับซ้อน.
spare	สำรอง	เราเก็บกุญแจสำรองไว้.
specialize	เชี่ยวชาญ	แพทย์เชี่ยวชาญในสาขาที่แตกต่างกัน.
specify	ระบุ	โปรดระบุเวลามาถึงของคุณ.
spectacular	งดงามตระการตา	ดอกไม้ไฟงดงามตระการตามาก.
spectator	ผู้ชม	ผู้ชมแต่ละคนได้รับรายการ.
speculate	คาดเดา	ผู้เชี่ยวชาญคาดเดาเกี่ยวกับสาเหตุ.
speculation	การคาดเดา	บทความนี้ส่งเสริมการคาดเดา.
spice	เครื่องเทศ	เพิ่มเครื่องเทศทีละอย่าง.
spill	ทำหก	อย่าทำน้ำผลไม้หก.
spite	แม้ว่า	เขาประสบความสำเร็จแม้ว่าจะมีปัญหา.
spoil	ทำให้เสีย	เกลือมากเกินไปสามารถทำให้ซุปเสียได้.
spokesman	โฆษก	โฆษกตอบคำถาม.
spokesperson	โฆษก	โฆษกอ่านแถลงการณ์.
spokeswoman	โฆษกหญิง	โฆษกหญิงกล่าวปราศรัยต่อสื่อ.
sponsorship	การสนับสนุน	ทีมต้องการการสนับสนุน.
sporting	เกี่ยวกับการกีฬา	เมืองเป็นเจ้าภาพจัดงานกีฬา.
stall	แผงลอย	แผงลอยในตลาดขายผลไม้.
stance	จุดยืน	รัฐมนตรีเปลี่ยนจุดยืนของเขา.
starve	อดตาย	หากไม่มีอาหารสัตว์อาจอดตายได้.
steadily	อย่างสม่ำเสมอ	บริษัทเติบโตอย่างสม่ำเสมอ.
steam	ไอน้ำ	ไอน้ำลอยขึ้นมาจากซุป.
stimulate	กระตุ้น	สีสันสดใสสามารถกระตุ้นความสนใจได้.
