source_headword	KN	example_KN
annoy	ಕಿರಿಕಿರಿ ಮಾಡು	ಜೋರಾದ ಸಂಗೀತ ನೆರೆಹೊರೆಯವರಿಗೆ ಕಿರಿಕಿರಿ ಮಾಡಬಹುದು.
annoyed	ಕಿರಿಕಿರಿಗೊಂಡ	ವಿಳಂಬದ ನಂತರ ಅವನು ಕಿರಿಕಿರಿಗೊಂಡಂತೆ ಕಂಡನು.
annoying	ಕಿರಿಕಿರಿಯಾದ	ಆ ಶಬ್ದ ನಿಜವಾಗಿಯೂ ಕಿರಿಕಿರಿಯಾಗಿದೆ.
apart	ಅಂತರದಲ್ಲಿ	ಮನೆಗಳು ಎರಡು ಮೀಟರ್ ಅಂತರದಲ್ಲಿವೆ.
apologize	ಕ್ಷಮೆ ಕೇಳು	ತಡವಾಗಿ ಬಂದಿದ್ದಕ್ಕೆ ನಾನು ಕ್ಷಮೆ ಕೇಳುತ್ತೇನೆ.
application	ಅರ್ಜಿ	ದಯವಿಟ್ಟು ಅರ್ಜಿಯನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸಿ.
appointment	ನೇಮಕಾತಿ	ನಾಳೆ ನನಗೆ ದಂತವೈದ್ಯರ ನೇಮಕಾತಿ ಇದೆ.
appreciate	ಕೃತಜ್ಞತೆಯಿಂದ ಮೆಚ್ಚು	ನಿಮ್ಮ ಸಹಾಯವನ್ನು ನಾನು ಕೃತಜ್ಞತೆಯಿಂದ ಮೆಚ್ಚುತ್ತೇನೆ.
approximately	ಸುಮಾರು	ನಡೆಗೆ ಸುಮಾರು ಇಪ್ಪತ್ತು ನಿಮಿಷ ಬೇಕು.
arrest	ಬಂಧಿಸು	ಪೊಲೀಸರು ಚಾಲಕನನ್ನು ಬಂಧಿಸಿದರು.
arrival	ಆಗಮನ	ನಮ್ಮ ಆಗಮನ ನಿರೀಕ್ಷೆಗಿಂತ ತಡವಾಯಿತು.
assignment	ನಿಯೋಜಿತ ಕೆಲಸ	ನಿಯೋಜಿತ ಕೆಲಸ ಶುಕ್ರವಾರಕ್ಕೆ ಸಲ್ಲಿಸಬೇಕು.
assist	ಸಹಾಯಮಾಡು	ನರ್ಸ್‌ಗಳು ವೈದ್ಯರಿಗೆ ಸಹಾಯಮಾಡುತ್ತಾರೆ.
atmosphere	ವಾತಾವರಣ	ಕಾಫೆಯಲ್ಲಿ ಆರಾಮದಾಯಕ ವಾತಾವರಣ ಇದೆ.
attach	ಲಗತ್ತಿಸು	ಫೈಲ್ ಅನ್ನು ನಿಮ್ಮ ಇಮೇಲ್‌ಗೆ ಲಗತ್ತಿಸಿ.
attitude	ಮನೋಭಾವ	ಸಭೆಯ ನಂತರ ಅವಳ ಮನೋಭಾವ ಬದಲಾಯಿತು.
attract	ಆಕರ್ಷಿಸು	ಬಣ್ಣದ ಹೂಗಳು ಜೇನುನೊಣಗಳನ್ನು ಆಕರ್ಷಿಸುತ್ತವೆ.
attraction	ಆಕರ್ಷಣೆ	ಕೋಟೆ ಜನಪ್ರಿಯ ಆಕರ್ಷಣೆಯಾಗಿದೆ.
authority	ಅಧಿಕಾರ ಸಂಸ್ಥೆ	ಸ್ಥಳೀಯ ಅಧಿಕಾರ ಸಂಸ್ಥೆ ರಸ್ತೆಯನ್ನು ದುರಸ್ತಿ ಮಾಡಿತು.
aware	ಅರಿವುಳ್ಳ	ಅವಳು ಅಪಾಯದ ಬಗ್ಗೆ ಅರಿವುಳ್ಳವಳು.
backwards	ಹಿಂದಕ್ಕೆ	ಅವನು ಎಚ್ಚರಿಕೆಯಿಂದ ಹಿಂದಕ್ಕೆ ನಡೆದುಹೋದನು.
bake	ಬೇಯಿಸು	ನಾನು ಪ್ರತಿ ಭಾನುವಾರ ರೊಟ್ಟಿ ಬೇಯಿಸುತ್ತೇನೆ.
balance	ಸಮತೋಲನ	ಒಳ್ಳೆಯ ಬೂಟುಗಳು ನಿಮ್ಮ ಸಮತೋಲನಕ್ಕೆ ಸಹಾಯಮಾಡುತ್ತವೆ.
ban	ನಿಷೇಧಿಸು	ನಗರವು ಕಾರುಗಳನ್ನು ನಿಷೇಧಿಸಲಿದೆ.
bank (river)	ನದಿ ದಡ	ನಾವು ನದಿ ದಡದಲ್ಲಿ ಕೂತಿದ್ದೇವೆ.
base	ನೆಲೆ	ತಂಡವು ನೆಲೆಗೆ ಮರಳಿತು.
basic	ಮೂಲಭೂತ	ಎಲ್ಲರಿಗೂ ಮೂಲಭೂತ ಕಂಪ್ಯೂಟರ್ ಕೌಶಲ್ಯಗಳು ಬೇಕು.
basis	ಆಧಾರ	ನಂಬಿಕೆ ಸ್ನೇಹದ ಆಧಾರ.
battery	ಬ್ಯಾಟರಿ	ನನ್ನ ಫೋನ್ ಬ್ಯಾಟರಿ ಕಡಿಮೆಯಾಗಿದೆ.
battle	ಯುದ್ಧ	ಯುದ್ಧವು ಇಡೀ ರಾತ್ರಿ ನಡೆಯಿತು.
beauty	ಸೌಂದರ್ಯ	ನಾವು ಪರ್ವತಗಳ ಸೌಂದರ್ಯವನ್ನು ಮೆಚ್ಚಿದೆವು.
bee	ಜೇನುನೊಣ	ಜೇನುನೊಣ ಹೂವಿನ ಮೇಲೆ ಇಳಿಯಿತು.
belief	ನಂಬಿಕೆ	ಅವನ ನಂಬಿಕೆ ಅವನಿಗೆ ಧೈರ್ಯ ನೀಡಿತು.
bell	ಗಂಟೆ	ಶಾಲೆಯ ಗಂಟೆ ಜೋರಾಗಿ ಮೊಳಗಿತು.
bend	ಬಾಗು	ಎತ್ತುವಾಗ ನಿಮ್ಮ ಮೊಣಕಾಲುಗಳನ್ನು ಬಾಗಿಸಿ.
bite	ಕಚ್ಚು	ನಾಯಿ ಅಪರಿಚಿತರನ್ನು ಕಚ್ಚಬಹುದು.
block	ತಡೆಯು	ಬಿದ್ದ ಮರವು ರಸ್ತೆಯನ್ನು ತಡೆಯಿತು.
bomb	ಬಾಂಬ್	ಬಾಂಬ್ ಹಲವಾರು ಕಟ್ಟಡಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
border	ಗಡಿ	ಅವರು ರಾತ್ರಿ ಗಡಿಯನ್ನು ದಾಟಿದರು.
bother	ತೊಂದರೆ ಕೊಡು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ತಂಗಿಗೆ ತೊಂದರೆ ಕೊಡಬೇಡಿ.
branch	ಕೊಂಬೆ	ಗಾಳಿಯಲ್ಲಿ ಒಂದು ಕೊಂಬೆ ಮುರಿಯಿತು.
brand	ಬ್ರ್ಯಾಂಡ್	ಈ ಬ್ರ್ಯಾಂಡ್ ವಿದ್ಯಾರ್ಥಿಗಳಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿದೆ.
brave	ಧೈರ್ಯಶಾಲಿ	ಧೈರ್ಯಶಾಲಿ ವ್ಯಕ್ತಿ ಮಗುವನ್ನು ಉಳಿಸಿದನು.
breath	ಉಸಿರು	ಆಳವಾದ ಉಸಿರು ತೆಗೆದುಕೊಳ್ಳಿ.
breathe	ಉಸಿರಾಡು	ಈ ಹೊಗೆಯಲ್ಲಿ ನಾನು ಉಸಿರಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ.
breathing	ಉಸಿರಾಟ	ಅವಳ ಉಸಿರಾಟ ನಿಧಾನವಾಗಿತ್ತು.
bride	ಮದುಮಗಳು	ಮದುಮಗಳು ಬಿಳಿ ಉಡುಗೆ ಧರಿಸಿದ್ದಳು.
bubble	ಗುಳ್ಳೆ	ಒಂದು ಗುಳ್ಳೆ ಗಾಜಿನ ಮೇಲಕ್ಕೆ ತೇಲಿತು.
bury	ಹೂಳು	ಅವರು ಪೆಟ್ಟಿಗೆಯನ್ನು ಮರಳಿನಲ್ಲಿ ಹೂಳಿದರು.
calm	ಶಾಂತ	ಪರೀಕ್ಷೆಯ ಸಮಯದಲ್ಲಿ ಶಾಂತವಾಗಿರಿ.
campaign	ಪ್ರಚಾರ	ಪ್ರಚಾರವು ಶಾಲೆಗಳಿಗಾಗಿ ಹಣ ಸಂಗ್ರಹಿಸಿತು.
campus	ಕ್ಯಾಂಪಸ್	ವಿದ್ಯಾರ್ಥಿಗಳು ಕ್ಯಾಂಪಸ್ ಹತ್ತಿರ ವಾಸಿಸುತ್ತಾರೆ.
candidate	ಅಭ್ಯರ್ಥಿ	ಪ್ರತಿ ಅಭ್ಯರ್ಥಿ ಮೂರು ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸಿದನು.
cap	ಟೋಪಿ	ಅವನು ಬೇಸ್‌ಬಾಲ್ ಟೋಪಿ ಧರಿಸಿದ್ದನು.
captain	ನಾಯಕ	ನಾಯಕ ತಂಡದೊಂದಿಗೆ ಮಾತನಾಡಿದನು.
careless	ಅಜಾಗರೂಕ	ಅಜಾಗರೂಕ ತಪ್ಪು ನಮಗೆ ಸಮಯ ಕಳೆಸಿತು.
category	ವರ್ಗ	ಸರಿಯಾದ ವರ್ಗವನ್ನು ಆರಿಸಿ.
ceiling	ಮೇಲ್ಚಾವಣಿ	ಮೇಲ್ಚಾವಣಿಯನ್ನು ಬಿಳಿಯಾಗಿ ಬಣ್ಣಿಸಿದರು.
celebration	ಸಂಭ್ರಮಾಚರಣೆ	ಸಂಭ್ರಮಾಚರಣೆ ಇಡೀ ಸಂಜೆ ನಡೆಯಿತು.
central	ಮಧ್ಯದ	ಹೋಟೆಲ್‌ಗೆ ಮಧ್ಯದ ಸ್ಥಳವಿದೆ.
ceremony	ಸಮಾರಂಭ	ಸಮಾರಂಭ ಮಧ್ಯಾಹ್ನ ಆರಂಭವಾಯಿತು.
chain	ಸರಪಳಿ	ಅವಳು ಬೆಳ್ಳಿಯ ಸರಪಳಿ ಧರಿಸಿದ್ದಳು.
challenge	ಸವಾಲು	ಈ ಯೋಜನೆ ನಿಜವಾದ ಸವಾಲು.
champion	ಚಾಂಪಿಯನ್	ಚಾಂಪಿಯನ್ ತನ್ನ ತರಬೇತುದಾರರಿಗೆ ಧನ್ಯವಾದ ಹೇಳಿದರು.
channel	ಚಾನಲ್	ದಯವಿಟ್ಟು ಚಾನಲ್ ಬದಲಿಸಿ.
chapter	ಅಧ್ಯಾಯ	ಇಂದು ರಾತ್ರಿ ಮುಂದಿನ ಅಧ್ಯಾಯ ಓದಿ.
charge	ಶುಲ್ಕ	ಮಕ್ಕಳಿಗೆ ಯಾವುದೇ ಶುಲ್ಕ ಇಲ್ಲ.
cheat	ಮೋಸಮಾಡು	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಮೋಸಮಾಡಬೇಡಿ.
cheerful	ಹರ್ಷಭರಿತ	ಇಂದು ಬೆಳಿಗ್ಗೆ ಅವಳು ಹರ್ಷಭರಿತವಾಗಿ ಕೇಳಿಸಿದಳು.
chemical	ರಾಸಾಯನಿಕ	ರಾಸಾಯನಿಕ ವಾಸನೆ ತೀವ್ರವಾಗಿತ್ತು.
chest	ಎದೆ	ಓಡಿದ ನಂತರ ಅವನ ಎದೆ ನೋಯಿತು.
childhood	ಬಾಲ್ಯ	ನಾನು ನನ್ನ ಬಾಲ್ಯದ ಮನೆಯನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತೇನೆ.
claim	ಹೇಳಿಕೊಂಡು ಹೇಳು	ಉತ್ಪನ್ನ ಸುರಕ್ಷಿತವೆಂದು ಅವರು ಹೇಳಿಕೊಂಡು ಹೇಳುತ್ತಾರೆ.
clause	ಉಪವಾಕ್ಯ	ಈ ಉಪವಾಕ್ಯ ಅರ್ಥವನ್ನು ಬದಲಿಸುತ್ತದೆ.
click	ಕ್ಲಿಕ್ ಮಾಡು	ನೀಲಿ ಬಟನ್ ಮೇಲೆ ಕ್ಲಿಕ್ ಮಾಡಿ.
client	ಗ್ರಾಹಕ	ಗ್ರಾಹಕ ಇನ್ನಷ್ಟು ವಿವರಗಳನ್ನು ಕೇಳಿದರು.
cloth	ಬಟ್ಟೆ	ಈ ಬಟ್ಟೆಯಿಂದ ಮೇಜನ್ನು ಒರೆಸಿ.
clue	ಸುಳಿವು	ಸುಳಿವು ಅದನ್ನು ಪರಿಹರಿಸಲು ನಮಗೆ ಸಹಾಯಮಾಡಿತು.
coal	ಕಲ್ಲಿದ್ದಲು	ಹಳೆಯ ರೈಲು ಕಲ್ಲಿದ್ದಲು ಬಳಸುತ್ತಿತ್ತು.
coin	ನಾಣ್ಯ	ಅವನು ನೆಲದ ಮೇಲೆ ನಾಣ್ಯ ಕಂಡನು.
collection	ಸಂಗ್ರಹ	ಅವಳ ಅಂಚೆಚೀಟಿ ಸಂಗ್ರಹ ದೊಡ್ಡದು.
coloured	ಬಣ್ಣದ	ಅವಳು ಬಣ್ಣದ ದುಪಟ್ಟಾ ಧರಿಸಿದ್ದಳು.
combine	ಸೇರಿಸು	ಹಿಟ್ಟು ಮತ್ತು ನೀರನ್ನು ಸೇರಿಸಿ.
commercial	ವಾಣಿಜ್ಯ ಜಾಹೀರಾತು	ವಾಣಿಜ್ಯ ಜಾಹೀರಾತಿನ ವಿರಾಮ ಐದು ನಿಮಿಷ ನಡೆಯಿತು.
commit	ಬದ್ಧವಾಗು	ನಾವು ಯೋಜನೆಗೆ ಬದ್ಧವಾಗಬೇಕು.
communication	ಸಂವಹನ	ಒಳ್ಳೆಯ ಸಂವಹನ ತಪ್ಪುಗಳನ್ನು ತಡೆಯುತ್ತದೆ.
comparison	ಹೋಲಿಕೆ	ಈ ಹೋಲಿಕೆ ಉಪಯುಕ್ತವಾಗಿದೆ.
competitive	ಸ್ಪರ್ಧಾತ್ಮಕ	ಮಾರುಕಟ್ಟೆ ತುಂಬಾ ಸ್ಪರ್ಧಾತ್ಮಕವಾಗಿದೆ.
competitor	ಸ್ಪರ್ಧಿ	ನಮ್ಮ ಮುಖ್ಯ ಸ್ಪರ್ಧಿ ಬೆಲೆಗಳನ್ನು ಕಡಿಮೆಮಾಡಿದರು.
complaint	ದೂರು	ಅವಳು ಶಬ್ದದ ಬಗ್ಗೆ ದೂರು ನೀಡಿದಳು.
complex	ಸಂಕೀರ್ಣ	ಸೂಚನೆಗಳು ತುಂಬಾ ಸಂಕೀರ್ಣವಾಗಿವೆ.
concentrate	ಏಕಾಗ್ರವಾಗು	ಸಂಗೀತ ಬರುವಾಗ ನಾನು ಏಕಾಗ್ರವಾಗಲು ಸಾಧ್ಯವಿಲ್ಲ.
conclude	ಮುಕ್ತಾಯಗೊಳಿಸು	ನಾವು ಸಭೆಯನ್ನು ಈಗ ಮುಕ್ತಾಯಗೊಳಿಸುತ್ತೇವೆ.
conclusion	ತೀರ್ಮಾನ	ಅವನ ತೀರ್ಮಾನ ಸಮಂಜಸವಾಗಿ ಕಂಡಿತು.
confident	ಆತ್ಮವಿಶ್ವಾಸಿ	ಸಂದರ್ಶನಕ್ಕೂ ಮೊದಲು ಅವಳು ಆತ್ಮವಿಶ್ವಾಸಿ ಆಗಿದ್ದಳು.
confirm	ದೃಢೀಕರಿಸು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ದೃಢೀಕರಿಸಿ.
confuse	ಗೊಂದಲಗೊಳಿಸು	ಈ ಎರಡು ಹೆಸರುಗಳು ನನ್ನನ್ನು ಗೊಂದಲಗೊಳಿಸುತ್ತವೆ.
confused	ಗೊಂದಲಗೊಂಡ	ನಕ್ಷೆಯಿಂದ ನಾನು ಗೊಂದಲಗೊಂಡೆ.
connection	ಸಂಪರ್ಕ	ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕ ನಿಧಾನವಾಗಿದೆ.
consequence	ಪರಿಣಾಮ	ನಿದ್ರೆ ತಪ್ಪಿದರೆ ಪರಿಣಾಮ ಇರುತ್ತದೆ.
consist	ಒಳಗೊಂಡಿರು	ಊಟವು ಮೂರು ಭಾಗಗಳನ್ನು ಒಳಗೊಂಡಿದೆ.
consume	ಬಳಸು	ದೊಡ್ಡ ಕಾರುಗಳು ಹೆಚ್ಚು ಇಂಧನ ಬಳಸುತ್ತವೆ.
consumer	ಗ್ರಾಹಕ	ಗ್ರಾಹಕ ಸ್ಪಷ್ಟ ಮಾಹಿತಿಯನ್ನು ಬಯಸುತ್ತಾನೆ.
contact	ಸಂಪರ್ಕಿಸು	ಮಧ್ಯಾಹ್ನದ ನಂತರ ನನ್ನನ್ನು ಸಂಪರ್ಕಿಸಿ.
container	ಪಾತ್ರೆ	ಸೂಪನ್ನು ಪಾತ್ರೆಗೆ ಹಾಕಿ.
content1	ವಿಷಯವಸ್ತು	ಕೋರ್ಸ್‌ನ ವಿಷಯವಸ್ತು ಉಪಯುಕ್ತವಾಗಿದೆ.
continuous	ನಿರಂತರ	ಯಂತ್ರವು ನಿರಂತರ ಶಬ್ದ ಮಾಡಿತು.
contrast	ವ್ಯತ್ಯಾಸ	ಅವರ ನಡುವಿನ ವ್ಯತ್ಯಾಸ ಸ್ಪಷ್ಟವಾಗಿದೆ.
convenient	ಅನುಕೂಲಕರ	ನಿಲ್ದಾಣ ತುಂಬಾ ಅನುಕೂಲಕರವಾಗಿದೆ.
convince	ಮನವರಿಕೆ ಮಾಡು	ಅವಳು ಅವನಿಗೆ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಮನವರಿಕೆ ಮಾಡಿದಳು.
costume	ವೇಷಭೂಷಣ	ಅವನು ಕಡಲುಕಳ್ಳನ ವೇಷಭೂಷಣ ಧರಿಸಿದ್ದನು.
cottage	ಸಣ್ಣ ಮನೆ	ಅವರು ಸಣ್ಣ ಮನೆಯನ್ನು ಬಾಡಿಗೆಗೆ ಪಡೆದರು.
cotton	ಹತ್ತಿ	ಈ ಅಂಗಿ ಹತ್ತಿಯಿಂದ ಮಾಡಲಾಗಿದೆ.
countryside	ಗ್ರಾಮೀಣ ಪ್ರದೇಶ	ನಾವು ಗ್ರಾಮೀಣ ಪ್ರದೇಶದ ಮೂಲಕ ನಡೆದೆವು.
court	ನ್ಯಾಯಾಲಯ	ಪ್ರಕರಣ ನ್ಯಾಯಾಲಯಕ್ಕೆ ಹೋಯಿತು.
covered	ಮುಚ್ಚಲ್ಪಟ್ಟ	ಮೇಜು ಕಾಗದಗಳಿಂದ ಮುಚ್ಚಲ್ಪಟ್ಟಿತ್ತು.
cruel	ಕ್ರೂರ	ನಗುವುದು ಕ್ರೂರವಾಗಿತ್ತು.
cultural	ಸಾಂಸ್ಕೃತಿಕ	ಸಂಗ್ರಹಾಲಯವು ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ನೀಡುತ್ತದೆ.
currency	ಚಲಾವಣಾ ನಾಣ್ಯ	ಸ್ಥಳೀಯ ಚಲಾವಣಾ ನಾಣ್ಯ ಯೂರೋ ಆಗಿದೆ.
current	ಪ್ರಸ್ತುತ	ಪ್ರಸ್ತುತ ಪರಿಸ್ಥಿತಿ ಕಷ್ಟಕರವಾಗಿದೆ.
currently	ಪ್ರಸ್ತುತವಾಗಿ	ಅವಳು ಪ್ರಸ್ತುತವಾಗಿ ವಿದೇಶದಲ್ಲಿ ಓದುತ್ತಿದ್ದಾಳೆ.
curtain	ಪರದೆ	ರಾತ್ರಿ ಪರದೆಯನ್ನು ಮುಚ್ಚಿ.
custom	ಸಂಪ್ರದಾಯ	ಈ ಸಂಪ್ರದಾಯ ತುಂಬಾ ಹಳೆಯದು.
damage	ಹಾನಿ	ಬಿರುಗಾಳಿ ಗಂಭೀರ ಹಾನಿ ಮಾಡಿತು.
decade	ದಶಕ	ಅವರು ಅಲ್ಲಿ ಒಂದು ದಶಕ ವಾಸಿಸಿದರು.
decorate	ಅಲಂಕರಿಸು	ನಾವು ಕೋಣೆಯನ್ನು ಒಟ್ಟಿಗೆ ಅಲಂಕರಿಸುತ್ತೇವೆ.
define	ವ್ಯಾಖ್ಯಾನಿಸು	ಈ ಪದವನ್ನು ನೀವು ವ್ಯಾಖ್ಯಾನಿಸಬಹುದೇ.
definite	ನಿಶ್ಚಿತ	ನಮಗೆ ನಿಶ್ಚಿತ ಉತ್ತರ ಬೇಕು.
definition	ವ್ಯಾಖ್ಯಾನ	ನಿಮ್ಮ ನೋಟುಪುಸ್ತಕದಲ್ಲಿ ವ್ಯಾಖ್ಯಾನ ಬರೆಯಿರಿ.
deliver	ತಲುಪಿಸು	ಅವರು ನಮ್ಮ ಮನೆಗೆ ಆಹಾರ ತಲುಪಿಸುತ್ತಾರೆ.
departure	ನಿರ್ಗಮನ	ನಿರ್ಗಮನ ಸಮಯ ಬದಲಾಗಿದೆ.
despite	ಆದರೂ	ಮಳೆಯಾದರೂ ನಾವು ನಡೆದೆವು.
destination	ಗಮ್ಯಸ್ಥಾನ	ಪ್ಯಾರಿಸ್ ಅವರ ಅಂತಿಮ ಗಮ್ಯಸ್ಥಾನವಾಗಿತ್ತು.
determine	ನಿರ್ಧರಿಸು	ಪರೀಕ್ಷೆಗಳು ನಿಮ್ಮ ಮಟ್ಟವನ್ನು ನಿರ್ಧರಿಸುತ್ತವೆ.
determined	ದೃಢನಿಶ್ಚಯದ	ಅವಳು ಯಶಸ್ವಿಯಾಗಲು ದೃಢನಿಶ್ಚಯದವಳಾಗಿದ್ದಳು.
development	ಅಭಿವೃದ್ಧಿ	ಪಟ್ಟಣದ ಅಭಿವೃದ್ಧಿ ವೇಗವಾಗಿತ್ತು.
diagram	ರೇಖಾಚಿತ್ರ	ಸರಳ ರೇಖಾಚಿತ್ರವನ್ನು ಬಿಡಿಸಿ.
diamond	ವಜ್ರ	ಉಂಗುರದಲ್ಲಿ ಸಣ್ಣ ವಜ್ರ ಇತ್ತು.
difficulty	ಕಷ್ಟ	ಬಾಗಿಲು ತೆರೆಯಲು ಅವನಿಗೆ ಕಷ್ಟವಾಯಿತು.
directly	ನೇರವಾಗಿ	ದಯವಿಟ್ಟು ನನ್ನೊಂದಿಗೆ ನೇರವಾಗಿ ಮಾತನಾಡಿ.
dirt	ಮಣ್ಣು	ಅವನ ಬೂಟುಗಳು ಮಣ್ಣಿನಿಂದ ಮುಚ್ಚಲ್ಪಟ್ಟಿದ್ದವು.
disadvantage	ಅನಾನುಕೂಲ	ದೀರ್ಘ ಪ್ರಯಾಣ ಒಂದು ಅನಾನುಕೂಲ.
disappointed	ನಿರಾಶನಾದ	ಫಲಿತಾಂಶದಿಂದ ಅವಳು ನಿರಾಶಳಾದಳು.
disappointing	ನಿರಾಶಾಜನಕ	ಅಂತ್ಯ ನಿರಾಶಾಜನಕವಾಗಿತ್ತು.
discount	ರಿಯಾಯಿತಿ	ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಇಲ್ಲಿ ರಿಯಾಯಿತಿ ಸಿಗುತ್ತದೆ.
