source_headword	MS	example_MS
whether	sama ada	Saya tidak tahu sama ada dia bersetuju.
wing	sayap	Burung itu mencederakan satu sayapnya.
within	dalam masa	Sila balas dalam masa dua hari.
wonder	tertanya-tanya	Saya tertanya-tanya apa yang telah berlaku.
wool	bulu biri-biri	Kot ini diperbuat daripada bulu biri-biri.
worldwide	seluruh dunia	Lagu itu menjadi popular di seluruh dunia.
worth	berbaloi	Buku ini berbaloi untuk dibaca.
written	bertulis	Sila hantar arahan bertulis.
yard	halaman	Kanak-kanak bermain di halaman.
youth	belia	Kelab belia menyokong remaja tempatan.
