source_headword	ML	example_ML
album	ആൽബം	ഈ ആൽബത്തിൽ പത്ത് പാട്ടുകളുണ്ട്.
alcohol	മദ്യം	ഹോട്ടൽ മദ്യം നൽകുന്നില്ല.
alcoholic	മദ്യമുള്ള	ഈ പാനം മദ്യമുള്ളതല്ല.
amazed	അദ്ഭുതപ്പെട്ട	ഫലത്തിൽ അവൾ അദ്ഭുതപ്പെട്ടു.
ambition	ആകാംക്ഷ	അവന്റെ ആകാംക്ഷ പൈലറ്റാകുകയാണ്.
ambitious	ആകാംക്ഷയുള്ള	അവൾക്ക് ആകാംക്ഷയുള്ള പദ്ധതി ഉണ്ട്.
analyse	വിശകലനം ചെയ്യുക	നമുക്ക് ഫലങ്ങൾ വിശകലനം ചെയ്യണം.
analysis	വിശകലനം	അവളുടെ വിശകലനം വ്യക്തവും സൂക്ഷ്മവുമായിരുന്നു.
announce	പ്രഖ്യാപിക്കുക	അവർ നാളെ വിജയിയെ പ്രഖ്യാപിക്കും.
announcement	പ്രഖ്യാപനം	പ്രഖ്യാപനം എല്ലാവരെയും ആശ്ചര്യപ്പെടുത്തി.
annoy	അലട്ടുക	ഉച്ചത്തിലുള്ള സംഗീതം അയൽക്കാരെ അലട്ടാം.
annoyed	അലട്ടപ്പെട്ട	വൈകിയതിനുശേഷം അവൻ അലട്ടപ്പെട്ടതായി തോന്നി.
annoying	അലട്ടുന്ന	ആ ശബ്ദം ശരിക്കും അലട്ടുന്നതാണ്.
apart	അകലത്തിൽ	വീടുകൾ രണ്ട് മീറ്റർ അകലത്തിലാണ്.
apologize	ക്ഷമ ചോദിക്കുക	വൈകിയതിന് ഞാൻ ക്ഷമ ചോദിക്കുന്നു.
application	അപേക്ഷ	ദയവായി അപേക്ഷ ഓൺലൈനിൽ പൂർത്തിയാക്കുക.
appointment	നിയമനം	നാളെ എനിക്ക് ദന്തഡോക്ടറുടെ നിയമനമുണ്ട്.
appreciate	വിലമതിക്കുക	നിങ്ങളുടെ സഹായം ഞാൻ വിലമതിക്കുന്നു.
approximately	ഏകദേശം	നടക്കാൻ ഏകദേശം ഇരുപത് മിനിറ്റ് വേണം.
arrest	അറസ്റ്റ് ചെയ്യുക	പോലീസ് ഡ്രൈവറെ അറസ്റ്റ് ചെയ്തു.
arrival	വരവ്	ഞങ്ങളുടെ വരവ് പ്രതീക്ഷിച്ചതിലും വൈകി.
assignment	ചുമതല	ചുമതല വെള്ളിയാഴ്ചയ്ക്കകം നൽകണം.
assist	സഹായിക്കുക	നഴ്സുമാർ ഡോക്ടറെ സഹായിക്കുന്നു.
atmosphere	അന്തരീക്ഷം	കഫേയ്ക്ക് ശാന്തമായ അന്തരീക്ഷമുണ്ട്.
attach	ചേർക്കുക	ഫയൽ നിങ്ങളുടെ ഇമെയിലിൽ ചേർക്കുക.
attitude	സമീപനം	യോഗത്തിന് ശേഷം അവളുടെ സമീപനം മാറി.
attract	ആകർഷിക്കുക	തിളങ്ങുന്ന പൂക്കൾ തേനീച്ചകളെ ആകർഷിക്കുന്നു.
attraction	ആകർഷണം	കോട്ട ജനപ്രിയ ആകർഷണമാണ്.
authority	അധികാരസംസ്ഥാനം	പ്രാദേശിക അധികാരസംസ്ഥാനം റോഡ് നന്നാക്കി.
aware	ബോധമുള്ള	അവൾ അപകടത്തെക്കുറിച്ച് ബോധമുള്ളവളാണ്.
backwards	പിന്നിലേക്ക്	അവൻ സൂക്ഷിച്ച് പിന്നിലേക്ക് നടന്നു.
bake	ചുടുക	ഞാൻ എല്ലാ ഞായറാഴ്ചയും അപ്പം ചുടുന്നു.
balance	സമതുലനം	നല്ല ചെരുപ്പുകൾ നിങ്ങളുടെ സമതുലനത്തിന് സഹായിക്കുന്നു.
ban	നിരോധിക്കുക	നഗരം കാറുകൾ നിരോധിക്കും.
bank (river)	നദിക്കര	ഞങ്ങൾ നദിക്കരയിൽ ഇരുന്നു.
base	അടിത്തറ	സംഘം അടിത്തറയിലേക്ക് മടങ്ങി.
basic	അടിസ്ഥാന	എല്ലാവർക്കും അടിസ്ഥാന കമ്പ്യൂട്ടർ കഴിവുകൾ വേണം.
basis	അടിസ്ഥാനം	വിശ്വാസമാണ് സൗഹൃദത്തിന്റെ അടിസ്ഥാനം.
battery	ബാറ്ററി	എന്റെ ഫോൺ ബാറ്ററി കുറവാണ്.
battle	യുദ്ധം	യുദ്ധം മുഴുവൻ രാത്രി നീണ്ടു.
beauty	സൗന്ദര്യം	ഞങ്ങൾ മലകളുടെ സൗന്ദര്യം ആസ്വദിച്ചു.
bee	തേനീച്ച	ഒരു തേനീച്ച പൂവിൽ ഇറങ്ങി.
belief	വിശ്വാസം	അവന്റെ വിശ്വാസം അവന് ധൈര്യം നൽകി.
bell	മണി	സ്കൂൾ മണി ഉറക്കെ മുഴങ്ങി.
bend	വളയ്ക്കുക	എടുക്കുമ്പോൾ മുട്ടുകൾ വളയ്ക്കുക.
bite	കടിക്കുക	നായ അപരിചിതരെ കടിക്കാം.
block	തടയുക	വീണ മരമൊന്ന് റോഡ് തടഞ്ഞു.
bomb	ബോംബ്	ബോംബ് നിരവധി കെട്ടിടങ്ങൾക്ക് നാശം വരുത്തി.
border	അതിർത്തി	അവർ രാത്രിയിൽ അതിർത്തി കടന്നു.
bother	ശല്യപ്പെടുത്തുക	ദയവായി സഹോദരിയെ ശല്യപ്പെടുത്തരുത്.
branch	കൊമ്പ്	കാറ്റിൽ ഒരു കൊമ്പ് ഒടിഞ്ഞു.
brand	ബ്രാൻഡ്	ഈ ബ്രാൻഡ് വിദ്യാർത്ഥികൾക്കിടയിൽ ജനപ്രിയമാണ്.
brave	ധീരമായ	ധീരനായ മനുഷ്യൻ കുട്ടിയെ രക്ഷിച്ചു.
breath	ശ്വാസം	ആഴമുള്ള ശ്വാസം എടുക്കൂ.
breathe	ശ്വസിക്കുക	ഈ പുകയിലിൽ എനിക്ക് ശ്വസിക്കാൻ കഴിയില്ല.
breathing	ശ്വസനം	അവളുടെ ശ്വസനം മന്ദമായിരുന്നു.
bride	വധു	വധു വെള്ള വസ്ത്രം ധരിച്ചു.
bubble	കുമിള	ഒരു കുമിള ഗ്ലാസിന് മുകളിൽ പൊങ്ങി.
bury	കുഴിച്ചിടുക	അവർ പെട്ടി മണലിൽ കുഴിച്ചിട്ടു.
calm	ശാന്തം	പരീക്ഷയ്ക്കിടെ ശാന്തരായി ഇരിക്കുക.
campaign	പ്രചാരണം	പ്രചാരണം സ്കൂളുകൾക്കായി പണം സമാഹരിച്ചു.
campus	കാമ്പസ്	വിദ്യാർത്ഥികൾ കാമ്പസിനടുത്ത് താമസിക്കുന്നു.
candidate	സ്ഥാനാർഥി	ഓരോ സ്ഥാനാർഥിയും മൂന്ന് ചോദ്യങ്ങൾക്ക് മറുപടി നൽകി.
cap	തൊപ്പി	അവൻ ബേസ്ബോൾ തൊപ്പി ധരിച്ചു.
captain	നായകൻ	നായകൻ സംഘത്തോട് സംസാരിച്ചു.
careless	അശ്രദ്ധമായ	അശ്രദ്ധമായ തെറ്റ് ഞങ്ങളുടെ സമയം നഷ്ടപ്പെടുത്തി.
category	വിഭാഗം	ശരിയായ വിഭാഗം തിരഞ്ഞെടുക്കുക.
ceiling	മേൽക്കൂര	മേൽക്കൂര വെള്ളയായി പെയിന്റ് ചെയ്തു.
celebration	ആഘോഷം	ആഘോഷം മുഴുവൻ സന്ധ്യ നീണ്ടു.
central	കേന്ദ്രത്തിലുള്ള	ഹോട്ടലിന് കേന്ദ്രത്തിലുള്ള സ്ഥലം ഉണ്ട്.
ceremony	ചടങ്ങ്	ചടങ്ങ് ഉച്ചയ്ക്ക് ആരംഭിച്ചു.
chain	ചങ്ങല	അവൾ വെള്ളി ചങ്ങല ധരിച്ചു.
challenge	വെല്ലുവിളി	ഈ പദ്ധതി യഥാർത്ഥ വെല്ലുവിളിയാണ്.
champion	ചാമ്പ്യൻ	ചാമ്പ്യൻ പരിശീലകനോട് നന്ദി പറഞ്ഞു.
channel	ചാനൽ	ദയവായി ചാനൽ മാറ്റൂ.
chapter	അധ്യായം	ഇന്ന് രാത്രി അടുത്ത അധ്യായം വായിക്കുക.
charge	നിരക്ക്	കുട്ടികൾക്ക് നിരക്ക് ഇല്ല.
cheat	വഞ്ചിക്കുക	പരീക്ഷയിൽ വഞ്ചിക്കരുത്.
cheerful	ഉല്ലാസമുള്ള	ഇന്ന് രാവിലെ അവൾ ഉല്ലാസമുള്ളതായി തോന്നി.
chemical	രാസവസ്തു	രാസവസ്തുവിന്റെ മണം ശക്തമായിരുന്നു.
chest	നെഞ്ച്	ഓടിയ ശേഷം അവന്റെ നെഞ്ച് വേദനിച്ചു.
childhood	ബാല്യം	എന്റെ ബാല്യകാല വീട് ഞാൻ ഓർക്കുന്നു.
claim	അവകാശപ്പെടുക	ഉൽപ്പന്നം സുരക്ഷിതമാണെന്ന് അവർ അവകാശപ്പെടുന്നു.
clause	ഉപവാക്യം	ഈ ഉപവാക്യം അർത്ഥം മാറ്റുന്നു.
click	ക്ലിക്ക് ചെയ്യുക	നീല ബട്ടണിൽ ക്ലിക്ക് ചെയ്യുക.
client	ക്ലയന്റ്	ക്ലയന്റ് കൂടുതൽ വിവരങ്ങൾ ചോദിച്ചു.
cloth	തുണി	ഈ തുണികൊണ്ട് മേശ തുടയ്ക്കുക.
clue	സൂചന	സൂചന അത് പരിഹരിക്കാൻ ഞങ്ങളെ സഹായിച്ചു.
coal	കൽക്കരി	പഴയ ട്രെയിൻ കൽക്കരി ഉപയോഗിച്ചു.
coin	നാണയം	അവൻ നിലത്ത് ഒരു നാണയം കണ്ടു.
collection	ശേഖരം	അവളുടെ സ്റ്റാമ്പ് ശേഖരം വലുതാണ്.
coloured	നിറമുള്ള	അവൾ നിറമുള്ള സ്കാർഫ് ധരിച്ചു.
combine	കൂട്ടിച്ചേർക്കുക	മാവും വെള്ളവും കൂട്ടിച്ചേർക്കുക.
commercial	വാണിജ്യപരസ്യം	വാണിജ്യപരസ്യ ഇടവേള അഞ്ച് മിനിറ്റ് നീണ്ടു.
commit	പ്രതിജ്ഞാബദ്ധമാകുക	നമുക്ക് പദ്ധതിയോട് പ്രതിജ്ഞാബദ്ധമാകണം.
communication	ആശയവിനിമയം	നല്ല ആശയവിനിമയം തെറ്റുകൾ തടയും.
comparison	താരതമ്യം	ഈ താരതമ്യം ഉപകാരപ്രദമാണ്.
competitive	മത്സരപരമായ	വിപണി വളരെ മത്സരപരമാണ്.
competitor	മത്സരക്കാരൻ	ഞങ്ങളുടെ പ്രധാന മത്സരക്കാരൻ വില കുറച്ചു.
complaint	പരാതി	ശബ്ദത്തെക്കുറിച്ച് അവൾ പരാതി നൽകി.
complex	സങ്കീർണ്ണം	നിർദ്ദേശങ്ങൾ വളരെ സങ്കീർണ്ണമാണ്.
concentrate	ശ്രദ്ധ കേന്ദ്രീകരിക്കുക	സംഗീതം കേൾക്കുമ്പോൾ എനിക്ക് ശ്രദ്ധ കേന്ദ്രീകരിക്കാൻ കഴിയില്ല.
conclude	സമാപിക്കുക	ഞങ്ങൾ യോഗം ഇപ്പോൾ സമാപിക്കുന്നു.
conclusion	നിഗമനം	അവന്റെ നിഗമനം യുക്തിസഹമായി തോന്നി.
confident	ആത്മവിശ്വാസമുള്ള	ഇന്റർവ്യൂവിന് മുമ്പ് അവൾ ആത്മവിശ്വാസത്തിലായിരുന്നു.
confirm	സ്ഥിരീകരിക്കുക	ദയവായി നിങ്ങളുടെ ഇമെയിൽ വിലാസം സ്ഥിരീകരിക്കുക.
confuse	കുഴക്കുക	ഈ രണ്ട് പേരുകൾ എന്നെ കുഴക്കുന്നു.
confused	കുഴങ്ങിയ	മാപ്പ് കണ്ടപ്പോൾ ഞാൻ കുഴങ്ങി.
connection	ബന്ധം	ഇന്റർനെറ്റ് ബന്ധം മന്ദമാണ്.
consequence	ഫലം	ഉറക്കം നഷ്ടപ്പെടുന്നതിന് ഫലം ഉണ്ടാകും.
consist	ഉൾക്കൊള്ളുക	ഭക്ഷണം മൂന്ന് കോഴ്സുകൾ ഉൾക്കൊള്ളുന്നു.
consume	ഉപയോഗിക്കുക	വലിയ കാറുകൾ കൂടുതൽ ഇന്ധനം ഉപയോഗിക്കുന്നു.
consumer	ഉപഭോക്താവ്	ഉപഭോക്താവ് വ്യക്തമായ വിവരം ആഗ്രഹിക്കുന്നു.
contact	ബന്ധപ്പെടുക	ഉച്ചഭക്ഷണത്തിന് ശേഷം എന്നെ ബന്ധപ്പെടുക.
container	പാത്രം	സൂപ്പ് ഒരു പാത്രത്തിൽ ഇടൂ.
content1	ഉള്ളടക്കം	കോഴ്‌സിന്റെ ഉള്ളടക്കം ഉപകാരപ്രദമാണ്.
continuous	തുടർച്ചയായ	യന്ത്രം തുടർച്ചയായ ശബ്ദം ഉണ്ടാക്കി.
contrast	വ്യത്യാസം	അവർക്കിടയിലെ വ്യത്യാസം വ്യക്തമാണ്.
convenient	സൗകര്യപ്രദം	സ്റ്റേഷൻ വളരെ സൗകര്യപ്രദമാണ്.
convince	വിശ്വസിപ്പിക്കുക	അവൾ അവനെ വീണ്ടും ശ്രമിക്കാൻ വിശ്വസിപ്പിച്ചു.
costume	വേഷം	അവൻ കടൽകൊള്ളക്കാരന്റെ വേഷം ധരിച്ചു.
cottage	ചെറിയ വീട്	അവർ ചെറിയ വീട് വാടകയ്ക്ക് എടുത്തു.
cotton	പരുത്തി	ഈ ഷർട്ട് പരുത്തിയിൽ നിന്നാണ് നിർമ്മിച്ചത്.
countryside	ഗ്രാമപ്രദേശം	ഞങ്ങൾ ഗ്രാമപ്രദേശത്തിലൂടെ നടന്നു.
court	കോടതി	കേസ് കോടതിയിലെത്തി.
covered	മൂടപ്പെട്ട	മേശ പേപ്പറുകൾ കൊണ്ട് മൂടപ്പെട്ടിരുന്നു.
cruel	ക്രൂരമായ	ചിരിക്കുന്നത് ക്രൂരമായിരുന്നു.
cultural	സാംസ്കാരിക	മ്യൂസിയം സാംസ്കാരിക പരിപാടികൾ നൽകുന്നു.
currency	നാണയം	പ്രാദേശിക നാണയം യൂറോയാണ്.
current	നിലവിലെ	നിലവിലെ സ്ഥിതി കഠിനമാണ്.
currently	നിലവിൽ	അവൾ നിലവിൽ വിദേശത്ത് പഠിക്കുന്നു.
curtain	തിരശ്ശീലം	രാത്രിയിൽ തിരശ്ശീലം അടയ്ക്കുക.
custom	ആചാരം	ഈ ആചാരം വളരെ പഴയതാണ്.
damage	നാശം	കൊടുങ്കാറ്റ് ഗുരുതര നാശം ഉണ്ടാക്കി.
decade	ദശകം	അവർ അവിടെ ഒരു ദശകം താമസിച്ചു.
decorate	അലങ്കരിക്കുക	ഞങ്ങൾ മുറി ഒരുമിച്ച് അലങ്കരിക്കുന്നു.
define	നിർവചിക്കുക	ഈ പദം നിങ്ങൾ നിർവചിക്കുമോ.
definite	നിശ്ചിത	നമുക്ക് നിശ്ചിത മറുപടി വേണം.
definition	നിർവചനം	നിങ്ങളുടെ നോട്ട്ബുക്കിൽ നിർവചനം എഴുതുക.
deliver	എത്തിക്കുക	അവർ ഞങ്ങളുടെ വീട്ടിലേക്ക് ഭക്ഷണം എത്തിക്കുന്നു.
departure	പുറപ്പെടൽ	പുറപ്പെടൽ സമയം മാറി.
despite	എങ്കിലും	മഴയുണ്ടായിരുന്നെങ്കിലും ഞങ്ങൾ നടന്നു.
destination	ലക്ഷ്യസ്ഥാനം	പാരീസ് അവരുടെ അന്തിമ ലക്ഷ്യസ്ഥാനം ആയിരുന്നു.
determine	നിർണ്ണയിക്കുക	പരീക്ഷകൾ നിങ്ങളുടെ നില നിർണ്ണയിക്കുന്നു.
determined	ദൃഢനിശ്ചയമുള്ള	അവൾ വിജയിക്കാൻ ദൃഢനിശ്ചയമുള്ളയാളായിരുന്നു.
development	വികസനം	പട്ടണത്തിന്റെ വികസനം വേഗത്തിലായിരുന്നു.
diagram	രേഖാചിത്രം	ലളിതമായ രേഖാചിത്രം വരയ്ക്കുക.
diamond	വജ്രം	മോതിരത്തിൽ ചെറിയ വജ്രം ഉണ്ടായിരുന്നു.
difficulty	ബുദ്ധിമുട്ട്	വാതിൽ തുറക്കാൻ അവന് ബുദ്ധിമുട്ടുണ്ടായി.
directly	നേരിട്ട്	ദയവായി എന്നോട് നേരിട്ട് സംസാരിക്കുക.
dirt	മണ്ണ്	അവന്റെ ചെരുപ്പുകൾ മണ്ണിൽ മൂടപ്പെട്ടു.
disadvantage	ദോഷം	ദീർഘയാത്ര ഒരു ദോഷമാണ്.
disappointed	നിരാശനായ	ഫലത്തിൽ അവൾ നിരാശയായി.
disappointing	നിരാശാജനകമായ	അവസാനം നിരാശാജനകമായിരുന്നു.
discount	കിഴിവ്	വിദ്യാർത്ഥികൾക്ക് ഇവിടെ കിഴിവ് ലഭിക്കും.
dislike	ഇഷ്ടമല്ലാതിരിക്കുക	എനിക്ക് വളരെ ഉച്ചത്തിലുള്ള സംഗീതം ഇഷ്ടമല്ല.
divide	വിഭജിക്കുക	കേക്ക് കഷണങ്ങളാക്കി വിഭജിക്കുക.
documentary	ഡോക്യുമെന്ററി	ഞങ്ങൾ ബഹിരാകാശത്തെക്കുറിച്ചുള്ള ഡോക്യുമെന്ററി കണ്ടു.
donate	ദാനം ചെയ്യുക	പലരും പഴയ വസ്ത്രങ്ങൾ ദാനം ചെയ്യുന്നു.
doubt	സംശയം	അതിനെക്കുറിച്ച് എനിക്ക് സംശയമില്ല.
dressed	വസ്ത്രം ധരിച്ച	അവൻ കറുപ്പ് വസ്ത്രം ധരിച്ചിരുന്നു.
drum	ചെണ്ട	ചെണ്ടയുടെ ശബ്ദം മുറിയിലുടനീളം കേട്ടു.
drunk	മദ്യപിച്ച	ഡ്രൈവർ മദ്യപിച്ചിരുന്നു.
due	അവസാനിക്കേണ്ട	റിപ്പോർട്ട് നാളെ അവസാനിക്കേണ്ടതാണ്.
dust	പൊടി	പഴയ പുസ്തകങ്ങളിൽ പൊടി മൂടി.
duty	കടമ	സഹായിക്കുന്നത് എന്റെ കടമയാണ്.
earthquake	ഭൂകമ്പം	ഭൂകമ്പം പാലത്തിന് നാശം വരുത്തി.
eastern	കിഴക്കൻ	കിഴക്കൻ തീരം കാറ്റുള്ളതാണ്.
economic	സാമ്പത്തിക	രാജ്യം സാമ്പത്തിക പ്രശ്നങ്ങൾ നേരിടുന്നു.
economy	സമ്പദ്‌വ്യവസ്ഥ	ഈ വർഷം സമ്പദ്‌വ്യവസ്ഥ വളർന്നു.
edge	അറ്റം	അറ്റത്തിൽ നിന്ന് അകലെ നിൽക്കുക.
editor	എഡിറ്റർ	എഡിറ്റർ ലേഖനം പരിശോധിച്ചു.
educate	വിദ്യാഭ്യാസം നൽകുക	സ്കൂളുകൾ യുവാക്കൾക്ക് വിദ്യാഭ്യാസം നൽകുന്നു.
educated	വിദ്യാഭ്യാസമുള്ള	അവൾ വളരെ വിദ്യാഭ്യാസമുള്ളവളാണ്.
educational	വിദ്യാഭ്യാസപരമായ	ആ കളി വിദ്യാഭ്യാസപരമാണ്.
effective	ഫലപ്രദം	ഈ മരുന്ന് ഫലപ്രദമാണ്.
effectively	ഫലപ്രദമായി	അവൾ നിയമം ഫലപ്രദമായി വിശദീകരിച്ചു.
effort	ശ്രമം	നിങ്ങളുടെ ശ്രമം മാറ്റം ഉണ്ടാക്കി.
election	തിരഞ്ഞെടുപ്പ്	തിരഞ്ഞെടുപ്പ് ഫലം വളരെ അടുത്തിരുന്നു.
element	ഘടകം	വിശ്വാസം പ്രധാന ഘടകമാണ്.
embarrassed	ലജ്ജിച്ച	വീണതിന് ശേഷം അവൻ ലജ്ജിച്ചു.
embarrassing	ലജ്ജാകരമായ	അത് ലജ്ജാകരമായ തെറ്റായിരുന്നു.
emergency	അടിയന്തരാവസ്ഥ	അടിയന്തരാവസ്ഥയിൽ ഈ നമ്പറിലേക്ക് വിളിക്കുക.
emotion	വികാരം	ഭയം ശക്തമായ വികാരമാണ്.
employment	തൊഴിൽ	ഈ മാസം തൊഴിൽ വർധിച്ചു.
encourage	പ്രോത്സാഹിപ്പിക്കുക	അധ്യാപകർ വിദ്യാർത്ഥികളെ വായിക്കാൻ പ്രോത്സാഹിപ്പിക്കുന്നു.
enemy	ശത്രു	രണ്ട് രാജ്യങ്ങളും ശത്രുക്കളായിരുന്നു.
engaged	നിശ്ചയിതരായ	അവർ കഴിഞ്ഞ വസന്തത്തിൽ നിശ്ചയിതരായി.
engineering	എഞ്ചിനീയറിംഗ്	അവൾ സർവകലാശാലയിൽ എഞ്ചിനീയറിംഗ് പഠിക്കുന്നു.
entertain	വിനോദിപ്പിക്കുക	ഗായകൻ അതിഥികളെ വിനോദിപ്പിക്കും.
entertainment	വിനോദം	നഗരം സന്ധ്യാവിനോദം നൽകുന്നു.
entrance	പ്രവേശനവാതിൽ	പ്രവേശനവാതിലിൽ എന്നെ കാണൂ.
entry	പ്രവേശനം	കുട്ടികൾക്ക് പ്രവേശനം സൗജന്യമാണ്.
environmental	പരിസ്ഥിതി സംബന്ധമായ	ഞങ്ങൾ പരിസ്ഥിതി സംബന്ധമായ പ്രശ്നങ്ങൾ ചർച്ച ചെയ്തു.
episode	എപ്പിസോഡ്	അവസാന എപ്പിസോഡ് ആവേശകരമായിരുന്നു.
equal	സമം	അവർക്ക് സമം വേതനം ലഭിക്കുന്നു.
equally	സമമായി	ജോലി സമമായി പങ്കിടുന്നു.
escape	രക്ഷപ്പെടുക	തടവുകാർ രക്ഷപ്പെടാൻ ശ്രമിച്ചു.
essential	അത്യാവശ്യമായ	ജീവിതത്തിന് വെള്ളം അത്യാവശ്യമാണ്.
eventually	അവസാനം	അവസാനം ഞങ്ങൾ ഹോട്ടൽ കണ്ടെത്തി.
examine	പരിശോധിക്കുക	ഡോക്ടർ എന്റെ കൈ പരിശോധിച്ചു.
exchange	കൈമാറ്റം	ഞങ്ങൾ കടയിൽ കൈമാറ്റം നടത്തി.
excitement	ആവേശം	കളി ആവേശം നിറഞ്ഞതായിരുന്നു.
exhibition	പ്രദർശനം	കലാപ്രദർശനം നാളെ തുറക്കും.
expand	വികസിപ്പിക്കുക	കമ്പനി വികസിപ്പിക്കാൻ പദ്ധതിയിടുന്നു.
expected	പ്രതീക്ഷിച്ച	പ്രതീക്ഷിച്ച ചെലവ് കൂടുതലാണ്.
expedition	ദൗത്യം	ദൗത്യം മരുഭൂമി കടന്നു.
experienced	അനുഭവസമ്പന്ന	അവൾ അനുഭവസമ്പന്ന നഴ്സാണ്.
explode	പൊട്ടിത്തെറിക്കുക	ചൂടിൽ കുപ്പി പൊട്ടിത്തെറിക്കാം.
explore	അന്വേഷിക്കുക	ഞങ്ങൾ പഴയ പട്ടണം അന്വേഷിച്ചു.
explosion	പൊട്ടിത്തെറി	പൊട്ടിത്തെറി നിരവധി ജനാലകൾ തകർത്തു.
export	കയറ്റുമതി	കാപ്പി പ്രധാന കയറ്റുമതിയാണ്.
fairly	താരതമ്യേന	പരീക്ഷ താരതമ്യേന എളുപ്പമായിരുന്നു.
familiar	പരിചിതമായ	അവളുടെ മുഖം പരിചിതമായി തോന്നി.
fancy	ഇഷ്ടപ്പെടുക	നിങ്ങൾക്ക് ഒരു കാപ്പി ഇഷ്ടമുണ്ടോ.
fascinating	ആകർഷകമായ	കഥ ആകർഷകമായിരുന്നു.
fashionable	ഫാഷനുള്ള	ആ ചെരുപ്പുകൾ ഫാഷനുള്ളതാണ്.
fasten	മുറുക്കുക	നിങ്ങളുടെ സീറ്റ് ബെൽറ്റ് മുറുക്കുക.
favour	സഹായം	നിങ്ങൾ എനിക്ക് ഒരു സഹായം ചെയ്യുമോ.
fence	വേലി	വേലി തോട്ടത്തെ ചുറ്റുന്നു.
fighting	പോരാട്ടം	പുലർച്ചെ പോരാട്ടം നിർത്തി.
file	ഫയൽ	അടയ്ക്കുന്നതിന് മുമ്പ് ഫയൽ സംരക്ഷിക്കുക.
financial	ധനകാര്യ	അവൾക്ക് ധനകാര്യ ഉപദേശം വേണം.
fitness	ശാരീരികക്ഷമത	ഓട്ടം നിങ്ങളുടെ ശാരീരികക്ഷമത മെച്ചപ്പെടുത്തുന്നു.
fixed	നിശ്ചിതം	വില നിശ്ചിതമാണ്.
flag	പതാക	പതാക സ്കൂളിന് മുകളിൽ പറന്നു.
flood	വെള്ളപ്പൊക്കം	വെള്ളപ്പൊക്കം പല വീടുകൾക്കും നാശം വരുത്തി.
flour	മാവ്	കിണ്ണത്തിൽ മാവ് ചേർക്കുക.
flow	ഒഴുകുക	നദി പട്ടണത്തിലൂടെ ഒഴുകുന്നു.
fold	മടക്കുക	കാഗിതം പകുതിയായി മടക്കുക.
folk	നാടൻ	നാടൻ സംഗീതം ഹാൾ നിറച്ചു.
force	ശക്തി	കാറ്റിന് വലിയ ശക്തിയുണ്ടായിരുന്നു.
forever	എന്നേക്കും	ഞാൻ ഇത് എന്നേക്കും ഓർക്കും.
frame	ചട്ടക്കൂട്	ഫോട്ടോയ്ക്ക് ചട്ടക്കൂട് വേണം.
freeze	ഉറയുക	വെള്ളം രാത്രി ഉറയും.
frequently	പതിവായി	അവൻ മാതാപിതാക്കളെ പതിവായി സന്ദർശിക്കുന്നു.
friendship	സൗഹൃദം	അവരുടെ സൗഹൃദം വർഷങ്ങൾ നീണ്ടു.
