source_headword	UZ	example_UZ
balloon	shar	Pufak stol ustida suzib yurardi.
barely	arang	U e'lonni arang eshitdi.
bargain	kelishuv	O'sha kurtka haqiqiy arzon xarid bo'ldi.
basement	yerto'la	Qutilar yerto'lada.
basket	savat	U savatga olmalarni soldi.
bat	ko'rshapalak	Ko'rshapalak g'ordan uchib chiqdi.
beneficial	foydali	Muntazam mashq qilish salomatlik uchun foydalidir.
beside	yonida	Chiroq divan yonida turibdi.
besides	bundan tashqari	Matematikadan tashqari, u kimyoni ham o'rganadi.
bias	tarafkashlik	Maqola aniq tarafkashlikni ko'rsatdi.
bid	taklif	Kompaniya yuqoriroq narx taklifini qildi.
biological	biologik	Biologik test natijani tasdiqladi.
blanket	adyol	Bola adyol ostida uxladi.
blow	zarba	Kuchli zarba derazani sindirdi.
bold	jasur	Sarlavhada qalin harflardan foydalanilgan.
bombing	bombardimon	Bombardimon bir nechta binolarga zarar yetkazdi.
booking	band qilish	Men mehmonxona buyurtmasini tasdiqladim.
boost	kuchaytirish	G'alaba jamoa ishonchini oshirdi.
bound	majburiy	Posilka ip bilan bog'langan edi.
brick	g'isht	Devor g'ishtdan qurilgan.
briefly	qisqacha	U tushlikdan keyin qisqacha gapirdi.
broadcaster	eshittiruvchi	Boshlovchi shahar hokimidan intervyu oldi.
broadly	keng ma'noda	Ikki reja umuman olganda o'xshashdir.
bug	xato	Ilova xatolik tufayli ishdan chiqdi.
cabin	kabina	Biz kichik kulbada qoldik.
canal	kanal	Qayiqlar kanal bo'ylab sekin harakatlanardi.
candle	sham	Sham stol ustida yonib turardi.
carbon	uglerod	Daraxtlar havodan uglerodni yutadi.
casual	norasmiy	U ishga kundalik kiyim kiyib keldi.
cave	g'or	Sayyohlar g'orga kirishdi.
certainty	aniqlik	Biz buni aniqlik bilan bila olmaymiz.
certificate	sertifikat	U ta'lim sertifikatini oldi.
challenging	qiyin	Kurs qiyin, lekin foydali edi.
championship	chempionat	Bizning jamoamiz chempionat finaliga chiqdi.
charming	jozibali	Eski ko'cha jozibali ko'rinardi.
chase	ta'qib	It to'pning orqasidan quvdi.
cheek	yonoq	Uning yonog'idan yosh oqib tushdi.
cheer	olqish	Olomon baland ovozda olqishlashni boshladi.
choir	xor	Xor juda chiroyli kuyladi.
chop	chopmoq	Piyozni mayda bo'laklarga to'g'rang.
circuit	zanjir	Yuguruvchi aylanma yo'lni yakunladi.
civilization	sivilizatsiya	Qadimgi sivilizatsiya bu mintaqani shakllantirgan.
clarify	oydinlashtirmoq	Iltimos, oxirgi fikrga oydinlik kiriting.
classify	tasniflamoq	Olimlar hayvonlarni turlari bo'yicha tasniflaydilar.
clerk	kotib	Xodim kvitansiyani chop etdi.
cliff	jarlik	Yo'l qoya yaqinida tugaydi.
clinic	klinika	Klinika soat sakkizda ochiladi.
clip	klip	U qog'ozga qisqichni taqdi.
coincidence	tasodif	Uni u yerda uchrashish tasodif edi.
collector	kolleksioner	Kolleksioner noyob tangalarni sotib oldi.
colony	koloniya	Chumolilar katta koloniya qurdilar.
colourful	rang-barang	Bozor yorqin va rang-barang edi.
comic	komiks	Kulgili sahna bizni kuldirdi.
commander	qo'mondon	Qo'mondon aniq buyruqlar berdi.
comparative	qiyosiy	Insho qiyosiy ma'lumotlardan foydalanadi.
completion	yakunlash	Ko'prik bitish arafasida.
compose	tuzmoq	U film uchun musiqa bastalaydi.
composer	bastakor	Bastakor yangi qo'shiq yozdi.
compound	birikma	Birikma ikkita kimyoviy moddani o'z ichiga oladi.
comprehensive	keng qamrovli	Qo'llanma keng qamrovli ko'rsatmalar beradi.
comprise	o'z ichiga olmoq	Jamoa besh a'zodan iborat.
compulsory	majburiy	Bu dars uchun qatnashish majburiy.
concrete	aniq	Pol betondan qilingan.
confess	tan olmoq	U o'qituvchisiga xatosini tan oldi.
confusion	chalkashlik	Kechikish chalkashlikka sabab bo'ldi.
consequently	natijada	Yomg'ir yog'di; natijada, o'yin to'xtatildi.
conservation	tabiatni muhofaza qilish	Muhofaza qilish noyob hayvonlarni himoya qiladi.
considerable	salmoqli	Ta'mirlash ancha vaqt oldi.
considerably	sezilarli darajada	Bu yil narxlar sezilarli darajada ko'tarildi.
consistently	izchil ravishda	U doimiy ravishda yaxshi harakat qiladi.
conspiracy	fitna	Politsiya fitnani tergov qildi.
consult	maslahatlashmoq	Dori ichishdan oldin shifokoringiz bilan maslahatlashing.
consultant	maslahatchi	Maslahatchi yangi strategiyani taklif qildi.
consumption	iste'mol	O'tgan oy energiya iste'moli pasaydi.
controversial	munozarali	Siyosat bahsli bo'lib qolmoqda.
controversy	munozara	Qaror munozaraga sabab bo'ldi.
convenience	qulaylik	Do'kon katta qulaylik taqdim etadi.
convention	anjuman	Yillik anjuman dushanba kuni boshlanadi.
conventional	an'anaviy	U an'anaviy dizaynni tanladi.
convey	yetkazmoq	Xabar hamdardlikni yetkazdi.
convincing	ishonchli	Uning tushuntirishi ishonchli edi.
cope	yengish	U stressni yengishni o'rgandi.
corporation	korporatsiya	Korporatsiya yangi ofis ochdi.
corridor	yo'lak	Koridor tor va tinch edi.
counter (long flat surface)	peshtaxta	Kalitlar oshxona stoli ustida.
coverage	qamrov	Yangiliklarni yoritish butun oqshom davom etdi.
crack	yoriq	Devorda yoriq paydo bo'ldi.
craft	hunarmandchilik	U qo'lda yasalgan hunarmandchilik buyumlarini onlayn sotadi.
creativity	ijodkorlik	Ijodkorlik muammolarni hal qilishga yordam beradi.
critically	tanqidiy ravishda	Maqola o'ta muhim edi.
cruise	kruiz	Ular Gretsiyaga kruiz buyurtma qilishdi.
cue	ishora	Aktyor o'z ishorasini o'tkazib yubordi.
curious	qiziquvchan	Bola kosmos haqida qiziquvchan edi.
curriculum	o'quv dasturi	Maktab o'z o'quv dasturini yangiladi.
cute	yoqimli	Kuchukcha yoqimli ko'rinardi.
dairy	sut mahsulotlari	Ferma sut mahsulotlarini ishlab chiqaradi.
dare	jur'at etmoq	Men seni buni sinab ko'rishga chorlayman.
darkness	qorong'ilik	Xona qorong'ilik bilan to'ldi.
database	ma'lumotlar bazasi	Ma'lumotlar bazasi mijozlar yozuvlarini saqlaydi.
deadline	oxirgi muddat	Oxirgi muddat juma kuni.
deadly	halokatli	Ilonning halokatli zahari bor.
dealer	diler	Avtomobil dileri chegirma taklif qildi.
deck	paluba	Stullar ochiq ayvonda.
defender	himoyachi	Himoyachi zarbani qaytardi.
delete	o'chirish	Eski xabarni o'chiring.
democracy	demokratiya	Demokratiya erkin saylovlarga tayanadi.
democratic	demokratik	Ovoz berish demokratik qoidalarga muvofiq o'tdi.
demonstration	namoyish	Talabalar namoyishga qo'shilishdi.
depart	jo'nab ketish	Poyezd tushda jo'nab ketadi.
dependent	qaram	Bola kattalarga qaram.
deposit	depozit	U kvartira uchun depozit to'ladi.
depression	depressiya	Depressiya kasbiy yordamni talab qiladi.
derive	keltirib chiqarish	Ko'p so'zlar lotin tilidan kelib chiqqan.
desperately	umidsizlarcha	Unga juda qattiq suv kerak edi.
destruction	halokat	Bo'ron keng ko'lamli vayronagarchiliklarga sabab bo'ldi.
determination	qat'iyat	Uning qat'iyati murabbiyni lol qoldirdi.
devote	bag'ishlash	U dam olish kunlarini o'qishga bag'ishlaydi.
differ	farq qilish	Ularning fikrlari keskin farq qiladi.
disability	nogironlik	Binoda nogironligi bo'lganlar uchun kirish yo'lagi bor.
disabled	bekor qilingan	Nogiron sportchi medalni qo'lga kiritdi.
disagreement	kelishmovchilik	Uchrashuv kelishmovchilik bilan yakunlandi.
disappoint	xafa qilish	Natija muxlislarning hafsalasini pir qilishi mumkin.
disappointment	umidsizlik	U qattiq umidsizlikni his qildi.
discourage	ruhdan tushirish	Yosh o'rganuvchilarni ruhsizlantirmang.
disorder	tartibsizlik	Shifokor uyqu buzilishini aniqladi.
distant	uzoq	Tog'lar uzoq bo'lib ko'rindi.
distinct	aniq	Ikki tovush bir-biridan farq qiladi.
distinguish	ajratish	Bu ranglarni ajrata olasizmi?
distract	chalg'itish	Shovqin talabalarni chalg'itishi mumkin.
disturb	bezovta qilish	Iltimos, bemorni bezovta qilmang.
dive	sho'ng'ish	Ular rif yaqinida suvga sho'ng'ishadi.
diverse	xilma-xil	Shahar xilma-xil madaniyatlarga ega.
diversity	xilma-xillik	Biz madaniy xilma-xillikni nishonlaymiz.
divorce	ajrashish	Ajrashish hamma uchun qiyin bo'ldi.
dominant	ustun	Ustun jamoa o'yinni nazorat qildi.
donation	xayriya	Xayriya tashkiloti ehson oldi.
dot	nuqta	Raqamdan keyin nuqta qo'ying.
downtown	shahar markazi	Biz ishdan keyin shahar markazida uchrashdik.
dramatically	keskin	Narx keskin tushib ketdi.
drought	qurg'oqchilik	Qurg'oqchilik hosilga zarar yetkazdi.
dull	zerikarli	Ma'ruza zerikarli edi.
dump	tashlab yuborish	Bu yerga axlat tashlamang.
duration	davomiylik	Parvoz davomiyligi uch soat.
dynamic	dinamik	Sinfxona jo'shqin tuyuldi.
economics	iqtisodiyot	U universitetda iqtisodiyotni o'rganadi.
economist	iqtisodchi	Iqtisodchi o'sish sekinlashishini bashorat qildi.
editorial	tahririy	Tahririyat maqolasi qonunni tanqid qildi.
efficiently	samarali	Jamoa samarali ishladi.
elbow	tirsak	U tirsagini jarohatladi.
electronics	elektronika	Do'kon elektronika sotadi.
elegant	nafis	Ko'ylak nafis ko'rinardi.
elementary	boshlang'ich	Kitob boshlang'ich grammatikani tushuntiradi.
eliminate	bartaraf etish	Jamoa bir nechta xatolarni yo'q qildi.
embrace	qabul qilish	U yangi g'oyani qabul qildi.
emission	chiqindi	Avtomobil chiqindilari darajasi tushdi.
emotionally	hissiyotli ravishda	U oilasi haqida hissiyot bilan gapirdi.
empire	imperiya	Imperiya asrlar davomida hukm surdi.
enjoyable	yoqimli	Sayohat maroqli edi.
entertaining	ko'ngilochar	Tomosha qiziqarli edi.
entrepreneur	tadbirkor	Tadbirkor kafe ochdi.
envelope	konvert	Xatni konvertga soling.
equip	jihozlash	Maktab laboratoriyani jihozlaydi.
equivalent	ekvivalent	Bu yerda bir dollar ekvivalent emas.
era	davr	Kashfiyot yangi davrni boshladi.
erupt	otilib chiqish	Vulqon tez orada otilishi mumkin.
essentially	asosan	Ikkala usul asosan bir xil.
ethic	axloq	Uning ish etikasi kuchli.
ethnic	etnik	Festival etnik an'analarni nishonlaydi.
evaluation	baholash	Kurs yakuniy baholashni o'z ichiga oladi.
evident	ravshan	Uning asabiyligi aniq edi.
evolution	evolyutsiya	Evolyutsiya ko'plab biologik o'zgarishlarni tushuntiradi.
evolve	rivojlanish	Tillar vaqt o'tishi bilan rivojlanadi.
exceed	oshib ketish	Talab taklifdan oshib ketishi mumkin.
exception	istisno	Bitta istisno bor.
excessive	haddan tashqari	Haddan tashqari shovqin qo'shnilarni bezovta qiladi.
exclude	istisno qilish	Ro'yxat vaqtinchalik ishchilarni chetlatadi.
exhibit	eksponat	Muzey noyob suratlarni ko'rgazmaga qo'yadi.
exit	chiqish	Chiqish sahnaning orqasida.
exotic	ekzotik	Do'kon ekzotik mevalarni sotadi.
expansion	kengayish	Kompaniya kengayishni rejalashtirgan.
expertise	ekspertiza	Uning tajribasi loyihani yaxshiladi.
exploit	ekspluatatsiya qilish	Jinoyatchilar zaif parollardan foydalanadilar.
exposure	fosh qilish	Quyosh ta'siri teriga zarar yetkazishi mumkin.
extension	kengaytma	Muddatning uzaytirilishi hammaga yordam berdi.
extensive	keng qamrovli	Kutubxonada keng ko'lamli manbalar mavjud.
extensively	keng ko'lamda	Mavzu keng miqyosda o'rganildi.
extract	ekstrakt	Vanil ekstrakti ta'm beradi.
fabric	mato	Mato yumshoq tuyuladi.
fabulous	ajoyib	Ovqat ajoyib edi.
failed	muvaffaqiyatsiz	Muvaffaqiyatsiz urinish bizga nimadir o'rgatdi.
fake	soxta	Veb-sayt qalbaki chiptalarni sotdi.
fame	shon-shuhrat	Shon-shuhrat uning shaxsiy hayotini o'zgartirdi.
fantasy	fantaziya	Roman fantaziya asaridir.
fare	yo'l haqi	Avtobus yo'l haqi oshdi.
federal	federal	Federal hukumat moliyalashtirishni e'lon qildi.
fever	isitma	Bolaning isitmasi bor.
firefighter	o't o'chiruvchi	O't o'chiruvchi itni qutqardi.
firework	feyerverk	Parkning tepasida feyerverk portladi.
firm	qat'iy	Matras qattiq.
firmly	qat'iyan	U eshikni qattiq yopdi.
flavour	ta'm	Sho'rvaning ta'mi juda zo'r.
fond	mehribon	U jazzni yaxshi ko'radi.
fool	ahmoq	O'zingni ahmoqdek tutma.
forbid	taqiqlamoq	Qonun bu yerda chekishni taqiqlaydi.
forecast	prognoz	Prognozga ko'ra yomg'ir yog'adi.
format	format	To'g'ri fayl formatidan foydalaning.
formation	shakllanish	Bulutlarning shakllanishi tez o'zgaradi.
formerly	oldin	Bino ilgari maktab bo'lgan.
fortunate	omadli	Vaqtli yetib kelganimiz omadimiz bo'ldi.
forum	forum	Forumda iqlim siyosati muhokama qilindi.
fossil	qazilma	Qazilma toshning ichidan topildi.
foundation	poydevor	Uyning poydevori mustahkam.
founder	asoschi	Asoschi mehmonlarni kutib oldi.
fraction	kasr	Talabalarning faqat kichik qismi keldi.
fragment	parcha	Yerda shisha parchasi yotardi.
framework	doira	Qonun aniq bir tizim yaratadi.
fraud	firibgarlik	Bank firibgarlikni aniqladi.
freely	erkin	Bolalar tashqarida erkin o'ynashdi.
frequent	tez-tez	Tez-tez tanaffus qilish diqqatni yaxshilaydi.
fulfil	bajarmak	Men va'damni bajarishga umid qilaman.
full-time	to'liq vaqtli	Uning to'liq stavkali ishi bor.
fundamentally	asosan	Reja tubdan farq qiladi.
furious	g'azablangan	U kechikishdan juda jahl qildi.
gaming	o'yin	O'yin o'ynash reaksiya tezligini oshirishi mumkin.
gay	gey	U geylar huquqlarini qo'llab-quvvatlaydi.
gender	jins	So'rovnomada jins haqida so'ralgan.
gene	gen	Gen ko'z rangiga ta'sir qiladi.
genetic	genetik	Kasallikning genetik sabablari bor.
genius	daho	Yosh pianinochi - daho.
genuine	haqiqiy	Uning tabassumi samimiy tuyuldi.
genuinely	chin dildan	U chin dildan yordam berishni xohladi.
gesture	ishora	U do'stona ishora qildi.
gig	gig	Guruh shahar markazida konsert berdi.
globalization	globallashuv	Globallashuv mahalliy bizneslarga ta'sir qiladi.
globe	globus	Globus har bir qit'ani ko'rsatadi.
golden	oltin	Quyosh botishida osmon oltin rangga kirdi.
goodness	yaxshilik	U insonning yaxshiligiga ishonadi.
gorgeous	ajoyib	Bog' juda go'zal ko'rinardi.
governor	gubernator	Gubernator qonun loyihasini imzoladi.
graphic	grafik	Grafik rasm tomoshabinlarni hayratda qoldirdi.
graphics	grafikalar	O'yin oddiy grafikaga ega.
greatly	juda	Maslahatingiz sezilarli darajada yordam berdi.
greenhouse	issiqxona	Pomidorlar issiqxonada o'stiriladi.
grocery	oziq-ovqat	U ishdan keyin oziq-ovqat mahsulotlarini sotib oldi.
guideline	ko'rsatma	Ko'rsatma xavfsiz amaliyotni tushuntiradi.
habitat	yashash joyi	O'rmon - qushlarning yashash joyi.
harbour	bandargoh	Qayiq bandargohga kirdi.
headquarters	shtab-kvartira	Kompaniyaning bosh qarorgohi shahar markaziga ko'chdi.
