source_headword	SI	example_SI
vice	දුර්ගුණය	කෑදරකම ඔහුගේ විශාලතම දුර්ගුණය විය.
vicious	කෲර	කෲර ප්‍රහාරය නගරය කම්පනයට පත් කළේය.
villager	ගැමියා	ගැමියෙක් අපට ගඟට මඟ පෙන්වීය.
violate	උල්ලංඝනය කරනවා	සමාගම ආරක්ෂක නීති උල්ලංඝනය කළ හැකිය.
violation	උල්ලංඝනය	පරීක්ෂකවරයා බරපතල උල්ලංඝනයක් වාර්තා කළේය.
virtue	ගුණධර්මය	ඉවසීම වැදගත් ගුණධර්මයකි.
vocal	විවෘතව කතා කරන	ඇය එම තීරණය ගැන විවෘතව අදහස් ප්‍රකාශ කළාය.
vow	ප්‍රතිඥා දෙනවා	ඔහු වැඩය නිම කිරීමට ප්‍රතිඥා දුන්නේය.
vulnerability	දුර්වලතාවය	විගණනය මගින් ආරක්ෂක දුර්වලතාවයක් අනාවරණය විය.
vulnerable	අවදානමට ලක්විය හැකි	අධික උෂ්ණත්වය පවතින කාලවලදී දරුවන් අවදානමට ලක් වේ.
ward	වාට්ටුව	රෝගියා වෙනත් වාට්ටුවකට මාරු කරන ලදී.
warehouse	ගබඩාව	ගබඩාවේ අමතර කොටස් තබා ඇත.
warfare	යුද්ධය	නවීන යුද්ධය තාක්ෂණය මත රඳා පවතී.
warrant	වරෙන්තුව	පොලිසිය සෝදිසි කිරීමේ වරෙන්තුවක් පෙන්වීය.
warrior	රණශූරයා	රණශූරයා ගම ආරක්ෂා කළේය.
weaken	දුර්වල කරනවා	තුවාලය ඔහුගේ ග්‍රහණය දුර්වල කළේය.
weave	වියනවා	ඇය කූඩ වියන්නට ඉගෙන ගත්තාය.
weed	වල් පැළෑටිය	ගල් අතර වල් පැළයක් වැවී තිබුණි.
well	ළිඳ	ගමේ ළිඳ සිඳී ගියේය.
well-being	යහපැවැත්ම	යහපැවැත්ම සඳහා නින්ද අත්‍යවශ්‍ය වේ.
whatsoever	කොහෙත්ම	ඔහු කොහෙත්ම උනන්දුවක් දැක්වූයේ නැත.
whereby	ඒ මගින්	පවුල් වලට අභියාචනා කළ හැකි ක්‍රමයක් නීතිය මගින් නිර්මාණය කළේය.
whilst	අතරතුර	ඔහු විවේක ගන්නා අතරතුර ඇය වැඩ කළාය.
whip	සෙලවෙනවා	සුළඟට කොඩි තදින් සෙලවිය හැක.
wholly	සම්පූර්ණයෙන්ම	තීරණය සම්පූර්ණයෙන්ම අනපේක්ෂිත එකක් විය.
widen	පුළුල් කරනවා	නගරය මාර්ගය පුළුල් කිරීමට සැලසුම් කරයි.
widow	වැන්දඹුව	එම වැන්දඹුව පාසල අසල ජීවත් වේ.
width	පළල	දොරේ පළල මැන බලන්න.
willingness	කැමැත්ත	උපකාර කිරීමට ඇයගේ කැමැත්ත සැමගේ පැහැදීමට ලක් විය.
wipe	පිස දමනවා	රෙදි කඩකින් තිරය පිස දමන්න.
wit	හාස්‍යය	ඔහුගේ හාස්‍යය කතාව සජීවී කළේය.
withdrawal	ඉවත් කර ගැනීම	අරමුදල් ඉවත් කර ගැනීම ව්‍යාපෘතිය ප්‍රමාද කළේය.
workout	ව්‍යායාමය	ව්‍යායාමය මිනිත්තු හතළිහක් පැවතුනි.
worship	නමස්කාරය	අලුයම නමස්කාරය සඳහා ජනතාව රැස් වූහ.
worthwhile	වටිනා	එම සංචාරය වටිනා එකක් විය.
worthy	සුදුසු	පුණ්‍යායතනය සහාය වීමට සුදුසුය.
yell	කෑගසනවා	කාර්ය මණ්ඩලයට කෑගසන්න එපා.
yield	අස්වැන්න	මෙම කන්නයේ ගොවිපළේ අස්වැන්න වැඩි දියුණු විය.
youngster	තරුණයා	තරුණයා ප්‍රශ්න රාශියක් ඇසුවේය.
