source_headword	AZ	example_AZ
appreciate	qədrini bilmək	Biz köməyinin qədrini çox bilirik.
approximately	təxminən	Səfər təxminən iki saat çəkir.
arrest	həbs etmək	Polis şübhəlini həbs etdi.
arrival	gəliş	Qatarın gəlişi gecikdi.
assignment	tapşırıq	Tapşırığı cüməyə qədər yerinə yetir.
assist	kömək etmək	Müəllim yeni şagirdə kömək etdi.
atmosphere	atmosfer	Kafenin atmosferi rahat idi.
attach	əlavə etmək	Məktuba sənədi əlavə et.
attitude	münasibət	Onun işə münasibəti müsbətdir.
attract	cəlb etmək	Yeni sərgi çox adamı cəlb etdi.
attraction	görməli yer	Bu şəhərdə əsas görməli yerdir.
authority	hakimiyyət	Yerli hakimiyyət yolu bağladı.
aware	xəbərdar	Onlar təhlükədən xəbərdar idi.
backwards	geriyə	O, qapıya doğru geriyə addımladı.
bake	bişirmək	Anam səhər çörək bişirdi.
balance	tarazlıq	Velosipeddə tarazlığı saxla.
ban	qadağa	Məktəb telefona qadağa qoydu.
bank (river)	çay sahili	Biz çay sahilində oturduq.
base	əsas	Bu planın əsası güclüdür.
basic	əsas	Əsas qaydaları başa düş.
basis	əsas	Bu qərar etibar əsasında verildi.
battery	batareya	Telefonun batareyası tez bitdi.
battle	döyüş	Döyüş uzun çəkdi.
beauty	gözəllik	Dağın gözəlliyi heyrətamiz idi.
bee	arı	Arı çiçəyin üstünə qondu.
belief	inam	Onun öz gücünə inamı artdı.
bell	zəng	Dərs zəngi çaldı.
bend	əymək	Kağızı ortadan əy.
bite	dişləmək	İt uşağı dişləmədi.
block	kvartal	Biz növbəti kvartala qədər getdik.
bomb	bomba	Əsgərlər köhnə bomba tapdılar.
border	sərhəd	Sərhəd səhər açıldı.
bother	narahat etmək	Onu indi narahat etmə.
branch	budaq	Budaq küləkdən qırıldı.
brand	brend	Bu brend gənclər arasında məşhurdur.
brave	cəsur	Cəsur yanğınsöndürən uşağı xilas etdi.
breath	nəfəs	O, dərin nəfəs aldı.
breathe	nəfəs almaq	Dərindən nəfəs almağa çalış.
breathing	nəfəsalma	Onun nəfəsalması yavaşladı.
bride	gəlin	Gəlin ağ paltar geyindi.
bubble	köpük	Suda köpük yarandı.
bury	basdirmək	Onlar toxumu torpağa basdırdılar.
calm	sakit	Böhran zamanı sakit ol.
campaign	kampaniya	Yeni kampaniya bu gün başladı.
campus	kampus	Kampus şəhər mərkəzinə yaxındır.
candidate	namizəd	Namizəd suallara cavab verdi.
cap	papaq	O, mavi papaq geydi.
captain	kapitan	Kapitan komandanı meydana çıxardı.
careless	diqqətsiz	Diqqətsiz səhv qiyməti azaltdı.
category	kateqoriya	Bu söz başqa kateqoriyaya aiddir.
ceiling	tavan	Otağın tavanı hündürdür.
celebration	bayram	Bayram axşama qədər davam etdi.
central	mərkəzi	Mərkəzi meydanda çox adam var.
ceremony	mərasim	Mərasim səhər keçirildi.
chain	zəncir	Qapıya dəmir zəncir asıldı.
challenge	çətinlik	Bu tapşırıq böyük çətinlik idi.
champion	çempion	Çempion kuboku qaldırdı.
channel	kanal	Uşaqlar kanalı dəyişdilər.
chapter	fəsil	Növbəti fəsli oxu.
charge	ödəniş	Çatdırılma üçün əlavə ödəniş var.
cheat	aldatmaq	İmtahanda aldatmaq olmaz.
cheerful	şən	Onun şən səsi otağı canlandırdı.
chemical	kimyəvi maddə	Laboratoriyada təhlükəli kimyəvi maddə var.
chest	sinə	Məşqdən sonra sinəm ağrıdı.
childhood	uşaqlıq	O, uşaqlığını kənddə keçirdi.
claim	iddia	Şirkət onun iddiasını yoxladı.
clause	maddə	Müqavilədə son maddəni oxu.
click	klik etmək	Keçidə bir dəfə klik et.
client	müştəri	Müştəri sənədi imzaladı.
cloth	parça	Masanı yumşaq parça ilə sil.
clue	ipucu	Bu ipucu cavaba yaxınlaşdırdı.
coal	kömür	Sobaya kömür qoyuldu.
coin	sikkə	Uşaq yerdən sikkə tapdı.
collection	kolleksiya	Onun marka kolleksiyası böyükdür.
coloured	rəngli	Qutuda rəngli qələmlər var.
combine	birləşdirmək	İki qrup gücünü birləşdirdi.
commercial	kommersiya	Bu kommersiya layihəsi deyil.
commit	öhdəlik götürmək	O, layihəni bitirməyə öhdəlik götürdü.
communication	ünsiyyət	Yaxşı ünsiyyət işi asanlaşdırır.
comparison	müqayisə	Müqayisə fərqi göstərdi.
competitive	rəqabətli	Bazar çox rəqabətli idi.
competitor	rəqib	Yeni rəqib qiymətini endirdi.
complaint	şikayət	Müştəri şikayət yazdı.
complex	mürəkkəb	Məsələ çox mürəkkəb görünürdü.
concentrate	diqqəti cəmləmək	Dərsdə diqqəti cəmləmək çətin idi.
conclude	nəticə çıxarmaq	Müəllim müzakirədən nəticə çıxardı.
conclusion	nəticə	Onun nəticəsi məntiqli idi.
confident	əmin	O, cavab verəndə əmin görünürdü.
confirm	təsdiq etmək	Görüşü məktubla təsdiq et.
confuse	çaşdırmaq	Oxşar adlar insanları çaşdırır.
confused	çaşqın	Şagird yeni qaydadan çaşqın qaldı.
connection	bağlantı	İnternet bağlantısı zəif idi.
consequence	nəticə	Bu qərarın nəticəsi ağırdır.
consist	ibarət olmaq	Komanda beş nəfərdən ibarətdir.
consume	istehlak etmək	Bu maşın az yanacaq istehlak edir.
consumer	istehlakçı	İstehlakçı keyfiyyətli məhsul gözləyir.
contact	əlaqə	Lazım olsa, mənimlə əlaqə saxla.
container	konteyner	Yeməyi qapalı konteynerə qoy.
content1	məzmun	Məqalənin məzmunu faydalıdır.
continuous	davamlı	Davamlı yağış yolu bağladı.
contrast	təzad	İki şəkil arasında aydın təzad var.
convenient	rahat	Bu dayanacaq bizim üçün rahatdır.
convince	inandırmaq	O, qrupu yeni plana inandırdı.
costume	kostyum	Uşaq bayram üçün kostyum geydi.
cottage	kiçik ev	Onlar göl yanında kiçik ev kirayələdi.
cotton	pambıq	Bu köynək pambıqdan tikilib.
countryside	kənd yeri	Tətildə kənd yerinə getdik.
court	məhkəmə	İş məhkəmədə baxıldı.
covered	örtülü	Masa ağ parça ilə örtülü idi.
cruel	qəddar	Qəddar sözlər onu incitdi.
cultural	mədəni	Şəhərdə çox mədəni tədbir var.
currency	valyuta	Səfərdən əvvəl valyuta dəyiş.
current	cari	Cari qiymət çox yüksəkdir.
currently	hazırda	Hazırda biz yeni ofisdə işləyirik.
curtain	pərdə	Pərdəni axşam bağla.
custom	adət	Bu qədim adət hələ də yaşayır.
damage	zərər	Fırtına dama zərər vurdu.
decade	onillik	Son onillikdə şəhər böyüdü.
decorate	bəzəmək	Biz otağı güllərlə bəzədik.
define	müəyyən etmək	Qaydanı müəyyən etmək lazımdır.
definite	dəqiq	Mənə dəqiq cavab lazımdır.
definition	tərif	Sözün tərifini dəftərə yaz.
deliver	çatdırmaq	Mağaza sifarişi axşam çatdıracaq.
departure	gediş	Təyyarənin gedişi gecikdi.
despite	baxmayaraq	Yağışa baxmayaraq, biz çıxdıq.
destination	təyinat yeri	Təyinat yerimiz uzaq deyil.
determine	müəyyənləşdirmək	Yoxlama səbəbi müəyyənləşdirəcək.
determined	qətiyyətli	O, məqsədinə çatmaqda qətiyyətli idi.
development	inkişaf	Kəndin inkişafı sürətlə getdi.
diagram	diaqram	Diaqram prosesi aydın göstərir.
diamond	almaz	Üzükdə kiçik almaz var.
difficulty	çətinlik	O, tapşırıqda çətinlik çəkdi.
directly	birbaşa	Evə birbaşa get.
dirt	kir	Ayaqqabıda kir qaldı.
disadvantage	mənfi cəhət	Bu üsulun bir mənfi cəhəti var.
disappointed	məyus	O, nəticədən məyus oldu.
disappointing	məyusedici	Oyun məyusedici oldu.
discount	endirim	Mağaza tələbələrə endirim verir.
dislike	xoşlamamaq	Mən güclü səsi xoşlamıram.
divide	bölmək	Tortu altı hissəyə böl.
documentary	sənədli film	Biz təbiət haqqında sənədli film izlədik.
donate	ianə etmək	Onlar məktəbə kitab ianə etdilər.
doubt	şübhə	Məndə bu planla bağlı şübhə var.
dressed	geyinmiş	O, bayram üçün gözəl geyinmişdi.
drum	baraban	Uşaq barabana bərk vurdu.
drunk	sərxoş	Sərxoş sürücü yola çıxmadı.
due	vaxtı çatmış	Hesabat sabah təqdim edilməlidir.
dust	toz	Rəfin üstündə toz yığıldı.
duty	vəzifə	Uşaqları qorumaq bizim vəzifəmizdir.
earthquake	zəlzələ	Zəlzələ gecə baş verdi.
eastern	şərq	Şərq sahilində külək güclüdür.
economic	iqtisadi	İqtisadi vəziyyət yaxşılaşır.
economy	iqtisadiyyat	Ölkə iqtisadiyyatı yavaş böyüdü.
edge	kənar	Masanın kənarında oturma.
editor	redaktor	Redaktor mətni qısaltdı.
educate	təhsil vermək	Məktəb uşaqlara təhsil verir.
educated	təhsilli	Təhsilli insan çox sual verir.
educational	təhsil	Bu təhsil proqramı faydalıdır.
effective	təsirli	Bu üsul çox təsirli oldu.
effectively	səmərəli şəkildə	Komanda səmərəli şəkildə işləyirdi.
effort	səy	Onun səyi nəticə verdi.
election	seçki	Seçki gələn ay keçiriləcək.
element	element	Su vacib elementdir.
embarrassed	utanmış	O, səhvinə görə utanmışdı.
embarrassing	utandırıcı	Bu çox utandırıcı an idi.
emergency	fövqəladə vəziyyət	Fövqəladə vəziyyətdə bu nömrəyə zəng et.
emotion	emosiya	O, emosiyasını gizlədə bilmədi.
employment	məşğulluq	Bölgədə məşğulluq artdı.
encourage	həvəsləndirmək	Müəllim şagirdləri həvəsləndirdi.
enemy	düşmən	Köhnə düşmən sülh təklif etdi.
engaged	nişanlı	Onlar keçən həftə nişanlandılar.
engineering	mühəndislik	Mühəndislik dərsi çətin idi.
entertain	əyləndirmək	Musiqiçilər qonaqları əyləndirdi.
entertainment	əyləncə	Şəhərdə axşam əyləncəsi çoxdur.
entrance	giriş	Giriş sol tərəfdədir.
entry	giriş	Muzeyə giriş pulsuzdur.
environmental	ekoloji	Ekoloji problem hamımıza təsir edir.
episode	epizod	Yeni epizod bu gün çıxır.
equal	bərabər	İki komanda bərabər xal aldı.
equally	bərabər şəkildə	Bütün şagirdlər bərabər şəkildə vacibdir.
escape	qaçmaq	Məhbus pəncərədən qaçmağa çalışdı.
essential	vacib	Su həyat üçün vacibdir.
eventually	nəhayət	Nəhayət, onlar düzgün yolu tapdılar.
examine	müayinə etmək	Həkim xəstəni diqqətlə müayinə etdi.
exchange	dəyişdirmək	Biz mağazada köynəyi dəyişdirdik.
excitement	həyəcan	Uşaqların həyəcanı aydın görünürdü.
exhibition	sərgi	Sərgi bazar gününə qədər açıqdır.
expand	genişləndirmək	Şirkət xidmətini genişləndirməyi planlaşdırır.
expected	gözlənilən	Gözlənilən nəticə yaxşı idi.
expedition	ekspedisiya	Ekspedisiya dağa tərəf yola çıxdı.
experienced	təcrübəli	Təcrübəli həkim tez qərar verdi.
explode	partlamaq	Köhnə boru qəflətən partladı.
explore	araşdırmaq	Uşaqlar mağaranı araşdırdılar.
explosion	partlayış	Partlayış uzaqdan eşidildi.
export	ixrac etmək	Zavod buğdanı ixrac edir.
fairly	ədalətli şəkildə	Hakim oyunu ədalətli şəkildə idarə etdi.
familiar	tanış	Bu səs mənə tanışdır.
fancy	dəbdəbəli	Onlar dəbdəbəli restoranda görüşdülər.
fascinating	maraqlı	Mühazirə çox maraqlı idi.
fashionable	dəbli	Bu pencək indi dəblidir.
fasten	bağlamaq	Təhlükəsizlik kəmərini bağla.
favour	yaxşılıq	Mənə kiçik bir yaxşılıq edə bilərsən?
fence	hasar	Bağın ətrafında hasar var.
fighting	dava	Küçədəki dava tez dayandı.
file	fayl	Faylı indi aç.
financial	maliyyə	Maliyyə hesabatı hazır idi.
fitness	fiziki forma	Fiziki forma sağlamlıq üçün faydalıdır.
fixed	sabit	Qiymət bir il üçün sabitdir.
flag	bayraq	Bayraq binanın qarşısında dalğalanır.
flood	daşqın	Daşqın körpünü bağladı.
flour	un	Çörək üçün iki stəkan un lazımdır.
flow	axmaq	Çay yavaş-yavaş axır.
fold	qatlamaq	Məktubu diqqətlə qatla.
folk	xalq	Xalq mahnısı gecədə səsləndi.
force	güc	Qapını güclə açma.
forever	həmişəlik	Bu xatirə həmişəlik qalacaq.
frame	çərçivə	Şəkil gözəl çərçivədədir.
freeze	donmaq	Su gecə dondu.
frequently	tez-tez	O, bu sözü tez-tez işlədir.
friendship	dostluq	Onların dostluğu məktəbdə başladı.
frighten	qorxutmaq	Güclü səs uşağı qorxutdu.
frightened	qorxmuş	Qorxmuş uşaq anasına qaçdı.
frightening	qorxulu	Gecə səsi qorxulu idi.
frozen	dondurulmuş	Dondurulmuş tərəvəz ucuz idi.
fry	qızartmaq	Soğanı yağda qızartmaq lazımdır.
fuel	yanacaq	Maşına yanacaq doldurduq.
function	funksiya	Bu düymənin funksiyası sadədir.
fur	xəz	Pişiyin xəzi yumşaqdır.
garage	qaraj	Maşın qarajdadır.
gather	toplaşmaq	İnsanlar meydana toplaşdılar.
generally	ümumiyyətlə	Ümumiyyətlə, nəticə yaxşıdır.
generation	nəsil	Yeni nəsil texnologiyanı tez öyrənir.
generous	səxavətli	Səxavətli qonşu bizə kömək etdi.
gentle	zərif	Onun səsi zərif idi.
gentleman	cənab	Cənab qapını açdı.
ghost	kabus	Uşaqlar köhnə evdə kabus gördüklərini dedilər.
giant	nəhəng	Nəhəng ağac yolun yanında bitir.
glad	şad	Mən səni gördüyümə şadam.
global	qlobal	Bu qlobal problemdir.
glove	əlcək	Soyuqda əlcək geyin.
goods	mallar	Mağaza yeni mallar gətirdi.
grade	qiymət	O, imtahandan yaxşı qiymət aldı.
graduate	məzun	Gənc məzun iş axtarır.
grain	taxıl dənəsi	Torbada buğda dənəsi var.
grateful	minnətdar	Mən köməyinə minnətdaram.
growth	artım	Şirkətin artımı sabitdir.
guard	mühafizəçi	Mühafizəçi qapının yanında durdu.
guilty	günahkar	Məhkəmə onu günahkar saydı.
hang	asmaq	Paltarı asılqana as.
happiness	xoşbəxtlik	Ailə ona xoşbəxtlik verir.
hardly	güclə	Mən onu güclə tanıdım.
headline	başlıq	Qəzetin başlığı böyük idi.
heating	isitmə	Qışda isitmə sistemi vacibdir.
heavily	güclü	Dünən yağış güclü yağdı.
helicopter	helikopter	Helikopter dağın üstündən uçdu.
highlight	vurğulamaq	Vacib sətri vurğula.
highly	yüksək dərəcədə	Bu kitab yüksək dərəcədə qiymətləndirilir.
hire	kirayələmək	Biz bir günlük maşın kirayələdik.
historic	tarixi əhəmiyyətli	Bu tarixi əhəmiyyətli binadır.
historical	tarixi	O, tarixi film izləyirdi.
honest	dürüst	Dürüst cavab etibar yaradır.
horrible	dəhşətli	Qoxu çox dəhşətli idi.
horror	dəhşət	Film tamaşaçıda dəhşət yaratdı.
host	ev sahibi	Ev sahibi qonaqları isti qarşıladı.
