hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
1182:多样	多样	多样	diverse; varied	这里的活动形式很多样。	Zhè lǐ de huó dòng xíng shì hěn duō yàng.	The activity formats here are very diverse.
1185:发出	发出	发出	to give off; to send out	手机发出了声音。	Shǒu jī fā chū le shēng yīn.	The mobile phone made a sound.
1186:发送	发送	发送	to send	请把邮件发送给我。	Qǐng bǎ yóu jiàn fā sòng gěi wǒ.	Please send the email to me.
1187:法	法	法	law; method	这个做法比较简单。	Zhè ge zuò fǎ bǐ jiào jiǎn dān.	This method is relatively simple.
1190:烦	烦	烦	annoyed; troublesome	这件事让他很烦。	Zhè jiàn shì ràng tā hěn fán.	This matter made him very annoyed.
1196:房租	房租	房租	rent	这个月房租涨了。	Zhè ge yuè fáng zū zhǎng le.	The rent went up this month.
1199:费	费	费	fee; to cost	报名费已经交了。	Bào míng fèi yǐ jīng jiāo le.	The registration fee has already been paid.
1200:费用	费用	费用	expense; cost	旅行费用不算高。	Lǚ xíng fèi yong bú suàn gāo.	The travel cost is not very high.
1201:分数	分数	分数	score; grade	他的考试分数很高。	Tā de kǎo shì fēn shù hěn gāo.	His exam score is very high.
1202:分为	分为	分为	to divide into	这个班分为三个小组。	Zhè ge bān fēn wéi sān ge xiǎo zǔ.	This class is divided into three groups.
1209:付	付	付	to pay	我用手机付了钱。	Wǒ yòng shǒu jī fù le qián.	I paid with my mobile phone.
1210:父母	父母	父母	parents	他的父母住在北部。	Tā de fù mǔ zhù zài běi bù.	His parents live in the north.
1211:父女	父女	父女	father and daughter	这对父女一起旅行。	Zhè duì fù nǚ yì qǐ lǚ xíng.	This father and daughter are traveling together.
1216:负责人	负责人	负责人	person in charge	负责人会给大家发通知。	Fù zé rén huì gěi dà jiā fā tōng zhī.	The person in charge will send everyone a notice.
1217:父子	父子	父子	father and son	这对父子常去公园跑步。	Zhè duì fù zǐ cháng qù gōng yuán pǎo bù.	This father and son often go running in the park.
1218:改	改	改	to change; to correct	请把错误改一下。	Qǐng bǎ cuò wù gǎi yí xià.	Please correct the mistake.
1224:感	感	感	sense; feeling	这间房子很有安全感。	Zhè jiān fáng zi hěn yǒu ān quán gǎn.	This room gives a strong sense of safety.
1230:感人	感人	感人	moving; touching	这个故事很感人。	Zhè ge gù shì hěn gǎn rén.	This story is very moving.
1231:赶上	赶上	赶上	to catch up with	他终于赶上了末班车。	Tā zhōng yú gǎn shàng le mò bān chē.	He finally caught the last bus.
1235:钢琴	钢琴	钢琴	piano	她每天练习钢琴。	Tā měi tiān liàn xí gāng qín.	She practices piano every day.
1236:高价	高价	高价	high price	他不想买高价票。	Tā bù xiǎng mǎi gāo jià piào.	He does not want to buy a high-price ticket.
1237:高考	高考	高考	Chinese college entrance exam	很多学生正在准备高考。	Hěn duō xué sheng zhèng zài zhǔn bèi gāo kǎo.	Many students are preparing for the gaokao.
1238:高速	高速	高速	high speed	这条高速路很宽。	Zhè tiáo gāo sù lù hěn kuān.	This expressway is very wide.
1239:高温	高温	高温	high temperature	高温天气不适合长跑。	Gāo wēn tiān qì bù shì hé cháng pǎo.	High-temperature weather is not suitable for long-distance running.
1240:高于	高于	高于	to be higher than	今年的价格高于去年。	Jīn nián de jià gé gāo yú qù nián.	This year's price is higher than last year's.
1242:歌声	歌声	歌声	singing voice	远处传来美丽的歌声。	Yuǎn chù chuán lái měi lì de gē shēng.	A beautiful singing voice came from far away.
1243:歌手	歌手	歌手	singer	这位歌手很受欢迎。	Zhè wèi gē shǒu hěn shòu huān yíng.	This singer is very popular.
1245:各地	各地	各地	various places	各地游客都来到这里。	Gè dì yóu kè dōu lái dào zhè lǐ.	Tourists from various places come here.
1246:各个	各个	各个	each; every	各个班都参加了活动。	Gè ge bān dōu cān jiā le huó dòng.	Every class took part in the activity.
1247:各位	各位	各位	everyone; all of you	各位老师，请先休息一下。	Gè wèi lǎo shī, qǐng xiān xiū xi yí xià.	Teachers, please take a short rest first.
1248:各种	各种	各种	various kinds of	超市里有各种水果。	Chāo shì lǐ yǒu gè zhǒng shuǐ guǒ.	The supermarket has various kinds of fruit.
1249:更加	更加	更加	even more	学习以后，他更加自信了。	Xué xí yǐ hòu, tā gèng jiā zì xìn le.	After studying, he became even more confident.
1252:公共	公共	公共	public	公共汽车站在前面。	Gōng gòng qì chē zhàn zài qián miàn.	The bus stop is ahead.
1253:功课	功课	功课	schoolwork; lessons	他晚上在家做功课。	Tā wǎn shàng zài jiā zuò gōng kè.	He does his schoolwork at home in the evening.
1255:公路	公路	公路	road; highway	这条公路很长。	Zhè tiáo gōng lù hěn cháng.	This road is very long.
1258:共	共	共	total; altogether	我们共买了三张票。	Wǒ men gòng mǎi le sān zhāng piào.	We bought three tickets in total.
1261:购买	购买	购买	to buy; to purchase	请在网上购买门票。	Qǐng zài wǎng shàng gòu mǎi mén piào.	Please buy the tickets online.
1270:观看	观看	观看	to watch	学生们正在观看比赛。	Xué sheng men zhèng zài guān kàn bǐ sài.	The students are watching the match.
1272:管	管	管	to manage; to be in charge of	这件事由他来管。	Zhè jiàn shì yóu tā lái guǎn.	He will be in charge of this matter.
1286:寒冷	寒冷	寒冷	cold; chilly	寒冷的冬天快到了。	Hán lěng de dōng tiān kuài dào le.	The cold winter is coming soon.
1291:好好	好好	好好	well; carefully	你要好好休息。	Nǐ yào hǎo hǎo xiū xi.	You should rest well.
1292:好笑	好笑	好笑	funny	这个故事真好笑。	Zhè ge gù shì zhēn hǎo xiào.	This story is really funny.
1295:红包	红包	红包	red envelope	春节时孩子们会收到红包。	Chūn jié shí hái zi men huì shōu dào hóng bāo.	Children receive red envelopes during Spring Festival.
1302:话剧	话剧	话剧	stage play	我们今晚去看话剧。	Wǒ men jīn wǎn qù kàn huà jù.	We are going to watch a stage play tonight.
1304:坏处	坏处	坏处	disadvantage; harm	这个习惯有很多坏处。	Zhè ge xí guàn yǒu hěn duō huài chù.	This habit has many disadvantages.
1305:环保	环保	环保	environmental protection	环保问题越来越重要。	Huán bǎo wèn tí yuè lái yuè zhòng yào.	Environmental protection issues are becoming more important.
1306:换乘	换乘	换乘	to transfer	到下一站需要换乘地铁。	Dào xià yí zhàn xū yào huàn chéng dì tiě.	To reach the next station, you need to transfer to the subway.
1307:回复	回复	回复	to reply	请尽快回复我的邮件。	Qǐng jǐn kuài huí fù wǒ de yóu jiàn.	Please reply to my email as soon as possible.
1308:回信	回信	回信	to write back; reply letter	他一直没有回信。	Tā yì zhí méi yǒu huí xìn.	He still has not written back.
1310:会员	会员	会员	member	会员可以买低价票。	Huì yuán kě yǐ mǎi dī jià piào.	Members can buy low-price tickets.
1311:活	活	活	alive; to live	这棵树还活着。	Zhè kē shù hái huó zhe.	This tree is still alive.
1315:货	货	货	goods	这批货今天到了。	Zhè pī huò jīn tiān dào le.	This batch of goods arrived today.
1317:获奖	获奖	获奖	to win an award	他在比赛中获奖了。	Tā zài bǐ sài zhōng huò jiǎng le.	He won an award in the competition.
1318:获取	获取	获取	to obtain	学生可以从中获取信息。	Xué sheng kě yǐ cóng zhōng huò qǔ xìn xī.	Students can obtain information from it.
1320:基本上	基本上	基本上	basically	这个问题基本上解决了。	Zhè ge wèn tí jī běn shàng jiě jué le.	This problem has basically been solved.
1327:既	既	既	both; since	他既会中文，也会英文。	Tā jì huì zhōng wén, yě huì yīng wén.	He can speak both Chinese and English.
1336:加快	加快	加快	to speed up	请加快工作速度。	Qǐng jiā kuài gōng zuò sù dù.	Please speed up the work.
1337:加强	加强	加强	to strengthen	学校要加强安全管理。	Xué xiào yào jiā qiáng ān quán guǎn lǐ.	The school needs to strengthen safety management.
1338:加入	加入	加入	to join	他想加入篮球队。	Tā xiǎng jiā rù lán qiú duì.	He wants to join the basketball team.
1339:加上	加上	加上	plus; add on	加上服务费，一共两百元。	Jiā shàng fú wù fèi, yí gòng liǎng bǎi yuán.	With the service fee added, it is two hundred yuan in total.
1342:加油	加油	加油	to cheer; to add fuel	同学们一起为队员加油。	Tóng xué men yì qǐ wèi duì yuán jiā yóu.	The classmates cheered together for the team members.
1344:家长	家长	家长	parent; guardian	明天学校召开家长会。	Míng tiān xué xiào zhào kāi jiā zhǎng huì.	The school will hold a parent meeting tomorrow.
1347:价钱	价钱	价钱	price	这件衣服价钱不高。	Zhè jiàn yī fu jià qián bù gāo.	The price of this piece of clothing is not high.
1348:假日	假日	假日	holiday	假日里商场人很多。	Jià rì lǐ shāng chǎng rén hěn duō.	The mall is crowded during holidays.
1349:减	减	减	to reduce; to subtract	请把糖减一半。	Qǐng bǎ táng jiǎn yí bàn.	Please reduce the sugar by half.
1350:减轻	减轻	减轻	to reduce; to lighten	运动可以减轻压力。	Yùn dòng kě yǐ jiǎn qīng yā lì.	Exercise can reduce stress.
1353:健身房	健身房	健身房	gym	他下班后去健身房。	Tā xià bān hòu qù jiàn shēn fáng.	He goes to the gym after work.
1355:江	江	江	river	这条江流过城市东部。	Zhè tiáo jiāng liú guò chéng shì dōng bù.	This river flows through the eastern part of the city.
1356:将	将	将	will; about to	他将去北京学习。	Tā jiāng qù Běi jīng xué xí.	He will go to Beijing to study.
1358:将要	将要	将要	will soon	火车将要进站。	Huǒ chē jiāng yào jìn zhàn.	The train is about to enter the station.
1359:奖	奖	奖	prize; award	他拿到了一个大奖。	Tā ná dào le yí ge dà jiǎng.	He received a big prize.
1361:奖学金	奖学金	奖学金	scholarship	她获得了奖学金。	Tā huò dé le jiǎng xué jīn.	She received a scholarship.
1362:降	降	降	to fall; to lower	气温突然降了很多。	Qì wēn tū rán jiàng le hěn duō.	The temperature suddenly fell a lot.
1364:降价	降价	降价	to reduce the price	这款手机开始降价了。	Zhè kuǎn shǒu jī kāi shǐ jiàng jià le.	This model of mobile phone has started to drop in price.
1366:降温	降温	降温	to cool down; temperature drop	明天可能会降温。	Míng tiān kě néng huì jiàng wēn.	The temperature may drop tomorrow.
1369:交警	交警	交警	traffic police	交警正在路口指挥交通。	Jiāo jǐng zhèng zài lù kǒu zhǐ huī jiāo tōng.	The traffic police are directing traffic at the intersection.
1374:教师	教师	教师	teacher	这位教师很有经验。	Zhè wèi jiào shī hěn yǒu jīng yàn.	This teacher is very experienced.
1376:教学	教学	教学	teaching	新的教学方法很有效。	Xīn de jiào xué fāng fǎ hěn yǒu xiào.	The new teaching method is very effective.
1378:叫作	叫作	叫作	to be called	这个地方叫作东湖。	Zhè ge dì fāng jiào zuò Dōng hú.	This place is called East Lake.
1383:节假日	节假日	节假日	holidays	节假日出行要提前订票。	Jié jià rì chū xíng yào tí qián dìng piào.	When traveling during holidays, you should book tickets in advance.
1387:今后	今后	今后	from now on	今后我会更加努力。	Jīn hòu wǒ huì gèng jiā nǔ lì.	From now on, I will work even harder.
1388:仅	仅	仅	only	这个活动仅限会员参加。	Zhè ge huó dòng jǐn xiàn huì yuán cān jiā.	This activity is only open to members.
1390:仅仅	仅仅	仅仅	only; merely	他仅仅用了十分钟。	Tā jǐn jǐn yòng le shí fēn zhōng.	He used only ten minutes.
1392:进入	进入	进入	to enter	请排队进入大厅。	Qǐng pái duì jìn rù dà tīng.	Please line up to enter the hall.
1401:景点	景点	景点	scenic spot	这个景点很受欢迎。	Zhè ge jǐng diǎn hěn shòu huān yíng.	This scenic spot is very popular.
1402:景区	景区	景区	scenic area	景区门口有很多游客。	Jǐng qū mén kǒu yǒu hěn duō yóu kè.	There are many tourists at the entrance to the scenic area.
1408:就是	就是	就是	just; exactly; is	这就是我的学校。	Zhè jiù shì wǒ de xué xiào.	This is exactly my school.
1411:举例	举例	举例	to give an example	老师请他举例说明。	Lǎo shī qǐng tā jǔ lì shuō míng.	The teacher asked him to give an example to explain.
1413:聚	聚	聚	to gather	朋友们周末聚在一起。	Péng you men zhōu mò jù zài yì qǐ.	Friends gather together on the weekend.
1414:聚餐	聚餐	聚餐	to have a group meal	我们今晚一起聚餐。	Wǒ men jīn wǎn yì qǐ jù cān.	We are having a group meal together tonight.
1418:剧院	剧院	剧院	theater	剧院门口排着很多人。	Jù yuàn mén kǒu pái zhe hěn duō rén.	Many people are lining up at the theater entrance.
1421:烤	烤	烤	to roast; to bake	他正在烤面包。	Tā zhèng zài kǎo miàn bāo.	He is baking bread.
1423:考生	考生	考生	exam candidate	考生必须带身份证。	Kǎo shēng bì xū dài shēn fèn zhèng.	Exam candidates must bring their ID cards.
1425:科技	科技	科技	science and technology	科技让生活更加方便。	Kē jì ràng shēng huó gèng jiā fāng biàn.	Technology makes life more convenient.
1427:咳	咳	咳	to cough	他感冒后一直咳。	Tā gǎn mào hòu yì zhí ké.	He has been coughing since he caught a cold.
1432:客气	客气	客气	polite; courteous	你太客气了。	Nǐ tài kè qi le.	You are too polite.
1433:课堂	课堂	课堂	classroom; class	课堂上大家都很认真。	Kè táng shàng dà jiā dōu hěn rèn zhēn.	Everyone is very serious in class.
1440:口语	口语	口语	spoken language	他的中文口语进步很快。	Tā de zhōng wén kǒu yǔ jìn bù hěn kuài.	His spoken Chinese is improving quickly.
1442:快餐	快餐	快餐	fast food	中午我们吃快餐。	Zhōng wǔ wǒ men chī kuài cān.	At noon we ate fast food.
1443:快递	快递	快递	express delivery	我的快递还没到。	Wǒ de kuài dì hái méi dào.	My express delivery has not arrived yet.
1444:快速	快速	快速	fast; rapid	这是一条快速通道。	Zhè shì yì tiáo kuài sù tōng dào.	This is a fast passage.
1448:垃圾	垃圾	垃圾	garbage	请把垃圾放进桶里。	Qǐng bǎ lā jī fàng jìn tǒng lǐ.	Please put the garbage into the bin.
1456:老家	老家	老家	hometown	春节时他回老家。	Chūn jié shí tā huí lǎo jiā.	He returns to his hometown during Spring Festival.
1457:老年	老年	老年	old age; elderly years	老年人也需要运动。	Lǎo nián rén yě xū yào yùn dòng.	Elderly people also need exercise.
1458:老是	老是	老是	always; repeatedly	他老是忘带钥匙。	Tā lǎo shì wàng dài yào shi.	He always forgets to bring his keys.
1467:例子	例子	例子	example	老师又举了一个例子。	Lǎo shī yòu jǔ le yí ge lì zi.	The teacher gave another example.
1471:凉	凉	凉	cool	这杯茶已经凉了。	Zhè bēi chá yǐ jīng liáng le.	This cup of tea has already become cool.
1472:量	量	量	to measure	护士帮孩子量体温。	Hù shi bāng hái zi liáng tǐ wēn.	The nurse measured the child's temperature.
1475:列	列	列	to list; row	请把名字列出来。	Qǐng bǎ míng zi liè chū lái.	Please list the names.
1476:零下	零下	零下	below zero	今天早上气温零下五度。	Jīn tiān zǎo shang qì wēn líng xià wǔ dù.	This morning the temperature was five degrees below zero.
1477:零花钱	零花钱	零花钱	pocket money	他把零花钱存起来了。	Tā bǎ líng huā qián cún qǐ lái le.	He saved his pocket money.
1480:另	另	另	another; separately	请另选一个时间。	Qǐng lìng xuǎn yí ge shí jiān.	Please choose another time.
1483:流	流	流	to flow	小河从村边流过。	Xiǎo hé cóng cūn biān liú guò.	The small river flows past the village.
1485:留下	留下	留下	to leave behind; to stay	请留下你的电话号码。	Qǐng liú xià nǐ de diàn huà hào mǎ.	Please leave your phone number.
1487:路过	路过	路过	to pass by	我路过书店时买了一本书。	Wǒ lù guò shū diàn shí mǎi le yì běn shū.	I bought a book when I passed by the bookstore.
1488:旅馆	旅馆	旅馆	hotel; inn	这家旅馆离车站很近。	Zhè jiā lǚ guǎn lí chē zhàn hěn jìn.	This hotel is very close to the station.
1489:旅客	旅客	旅客	traveler; passenger	旅客正在排队登机。	Lǚ kè zhèng zài pái duì dēng jī.	The passengers are lining up to board.
1493:落	落	落	to fall	树叶落在路上。	Shù yè luò zài lù shang.	The leaves fell on the road.
1498:毛衣	毛衣	毛衣	sweater	这件毛衣很暖和。	Zhè jiàn máo yī hěn nuǎn huo.	This sweater is very warm.
1500:美	美	美	beautiful	这里的风景很美。	Zhè lǐ de fēng jǐng hěn měi.	The scenery here is beautiful.
1501:美好	美好	美好	beautiful; happy	大家都希望有美好的生活。	Dà jiā dōu xī wàng yǒu měi hǎo de shēng huó.	Everyone hopes for a good life.
1502:美景	美景	美景	beautiful scenery	山上的美景让人难忘。	Shān shàng de měi jǐng ràng rén nán wàng.	The beautiful scenery on the mountain is unforgettable.
1504:美食	美食	美食	delicious food	这里有很多当地美食。	Zhè lǐ yǒu hěn duō dāng dì měi shí.	There is a lot of local delicious food here.
1510:面试	面试	面试	interview	他明天上午参加面试。	Tā míng tiān shàng wǔ cān jiā miàn shì.	He will attend an interview tomorrow morning.
1513:末	末	末	end	六月末学校放假。	Liù yuè mò xué xiào fàng jià.	The school holiday starts at the end of June.
1514:母女	母女	母女	mother and daughter	这对母女一起去旅行。	Zhè duì mǔ nǚ yì qǐ qù lǚ xíng.	This mother and daughter are traveling together.
1516:母子	母子	母子	mother and son	这对母子住在南部。	Zhè duì mǔ zǐ zhù zài nán bù.	This mother and son live in the south.
1519:目的地	目的地	目的地	destination	我们的目的地是北京。	Wǒ men de mù dì dì shì Běi jīng.	Our destination is Beijing.
1522:南部	南部	南部	southern part	这个国家南部很暖和。	Zhè ge guó jiā nán bù hěn nuǎn huo.	The southern part of this country is very warm.
1524:男士	男士	男士	man; gentleman	男士洗手间在左边。	Nán shì xǐ shǒu jiān zài zuǒ biān.	The men's restroom is on the left.
1526:难忘	难忘	难忘	unforgettable	这次旅行非常难忘。	Zhè cì lǚ xíng fēi cháng nán wàng.	This trip was very unforgettable.
1527:男性	男性	男性	male; man	这项活动欢迎男性和女性参加。	Zhè xiàng huó dòng huān yíng nán xìng hé nǚ xìng cān jiā.	This activity welcomes both men and women.
