source_headword	TL	example_TL
deficiency	kakulangan	Ang kakulangan sa iron ay maaaring makaapekto sa kalusugan.
deficit	depisit	Nag-alala ang mga opisyal sa depisit sa badyet.
defy	suwayin	Pinili ng mga nagpoprotesta na suwayin ang pagbabawal.
delegate	delegado	Bawat delegado ay nakatanggap ng voting card.
delegation	delegasyon	Dumating ang delegasyon bago magtanghali.
delicate	maseselan	Madaling nabasag ang maseselang baso.
demon	demonyo	Inilalarawan ng kuwento ang isang sinaunang demonyo.
denial	pagtanggi	Ikinagalit ng mga biktima ang kanyang pagtanggi.
denounce	tuligsain	Tinutuligsa ng mga pinuno ang karahasan sa mga paaralan.
dense	masukal	Hinarangan ng masukal na kagubatan ang sikat ng araw.
density	densidad	Mataas ang densidad ng populasyon sa sentro ng lungsod.
dependence	dependensiya	Bumaba ang dependensiya ng bansa sa langis.
depict	ilarawan	Inilalarawan ng mural ang buhay sa nayon.
deploy	magpadala	Magpapadala ang hukbo ng karagdagang tauhan.
deployment	pagpapadala	Nagsimula noong Lunes ang pagpapadala ng mga tropa.
deprive	pagkaitan	Maaaring pagkaitan ng pokus ang mga mag-aaral dahil sa kakulangan sa tulog.
deputy	kinatawan	Nilagdaan ng kinatawan ang kasunduan.
descend	bumaba	Nagsimulang bumaba nang matarik ang daan.
descent	pagbaba	Sinimulan ng eroplano ang pagbaba nito.
designate	itaga	Magtatalaga ang lungsod ng bagong parke.
desirable	kanais-nais	Kanais-nais ang magandang ilaw sa mga silid-aralan.
desktop	desktop	Nasa aking desktop ang file.
destructive	mapanira	May mapanirang lakas ang bagyo.
detain	ikulong	Maaaring ikulong ng pulisya ang mga suspek nang magdamag.
detection	pagtuklas	Pinabubuti ng maagang pagtuklas ang paggamot sa kanser.
detention	detensyon	Nagprotesta ang mga mag-aaral laban sa mga kondisyon ng detensyon.
deteriorate	lumala	Nagsimulang lumala ang kanyang kalusugan.
devastate	wasakin	Maaaring wasakin ng lindol ang mga bayan sa baybayin.
devil	demonyo	Gumuhit ang bata ng isang nakangiting demonyo.
devise	umisip	Nagdidisenyo ang mga inhinyero ng mas ligtas na mga sistema ng transportasyon.
diagnose	suriin	Sinusuri ng mga doktor ang sakit gamit ang mga blood test.
diagnosis	diyagnosis	Ipinaliwanag ng diyagnosis ang kanyang mga sintomas.
dictate	magdikta	Magdidikta ang kontrata ng mga tuntunin sa pagbabayad.
dictator	diktador	Kinontrol ng diktador ang media.
differentiate	tukuyin ang kaibahan	Matutukoy mo ba ang kaibahan ng katotohanan sa opinyon?
dignity	dignidad	Karapat-dapat ang lahat sa dignidad sa trabaho.
dilemma	dilemma	Naharap ang tagapamahala sa isang seryosong dilemma.
dimension	dimensyon	May politikal na dimensyon ang problema.
diminish	mabawasan	Dapat na dahan-dahang mabawasan ang sakit.
dip	bumaba	Maaaring bumaba ang temperatura nang mas malamig pa sa freezing point.
diplomat	diplomatiko	Nakipagkita ang diplomatiko sa mga dayuhang pinuno.
diplomatic	diplomatiko	Nagpatuloy ang mga diplomatikong pag-uusap magdamag.
directory	direktoryo	Hanapin ang kanyang numero sa direktoryo.
disastrous	mapaminsala	Sinira ng mapaminsalang baha ang ilang tulay.
discard	itapon	Huwag itapon ang mga kapaki-pakinabang na talaan.
discharge	pauwiin	Papauwiin na siya ng ospital bukas.
disclose	ibunyag	Tumanggi ang mga opisyal na ibunyag ang mga pigura.
disclosure	pagbubunyag	Ikinagulat ng lupon ang pagbubunyag.
discourse	diskurso	Naging mas magalang ang pampublikong diskurso.
discretion	diskresyon	Gamitin ang iyong diskresyon sa mga sensitibong kaso.
discrimination	diskriminasyon	Ipinagbabawal ng batas ang diskriminasyon sa pagkuha ng empleyado.
dismissal	pagpapatalsik	Nagdulot ng galit ng publiko ang kanyang pagpapatalsik.
displace	ilikas	Maaaring ilikas ng digmaan ang libu-libong tao.
disposal	pagtatapon	Nanatiling lokal na problema ang pagtatapon ng basura.
dispose	itapon	Dapat itapon ng kumpanya nang ligtas ang mga kemikal.
dispute	alitan	Tumagal ng ilang buwan ang alitan.
disrupt	gambalain	Maaaring gambalain ng ingay ang konsentrasyon.
disruption	pagkagambala	Nagdulot ng malaking pagkagambala ang welga.
dissolve	matunaw	Matutunaw ang asukal sa mainit na tsaa.
distinction	pagkakaiba	Mahalaga ang pagkakaiba sa pagitan nila.
distinctive	natatangi	Mayroon siyang natatanging boses.
distort	baluktutin	Maaaring baluktutin ng salamin ang iyong repleksyon.
distress	pagkabalisa	Nagdulot ng seryosong pagkabalisa ang tawag.
disturbing	nakakabahala	Nagpakita ang dokumentaryo ng mga nakakabahalang eksena.
divert	ilihis	Kinailangang ilihis ng pulisya ang trapiko.
divine	banal	May banal na atmospera ang kapilya.
doctrine	doktrina	Tinanggihan ng partido ang lumang doktrina.
documentation	dokumentasyon	Kumpletuhin ang dokumentasyon bago ang paglunsad.
domain	domain	Gumagamit ang website ng isang ligtas na domain.
dominance	pangingibabaw	Ang pangingibabaw ng koponan ay tumagal ng isang dekada.
donor	donor	Ang donor ay nagbigay ng dugo ngayon.
dose	dosis	Uminom ng isang dosis pagkatapos ng almusal.
drain	maubos	Aagos ang tubig patungo sa ilog.
drift	maanod	Nagsimulang maanod ang usok sa kalsada.
driving	nagpapatakbo	Ulan ang pangunahing dahilan ng mga pagkaantala.
drown	malunod	Huwag kailanman lumangoy kung saan maaaring malunod ka sa alon.
dual	dalawahan	Ang aparato ay may dalawahang gamit.
dub	bansagan	Binansagan ng mga kritiko ang lungsod bilang isang kultural na kabisera.
dumb	hangal	Iyon ay isang hangal na pagkakamali.
duo	duo	Naglibot ang comedy duo sa Europa.
eager	sabik	Sabik na magsimula ang mga mag-aaral.
earnings	kita	Mabilis na tumaas ang kita ng kumpanya.
ease	padaliin	Papaluwagin ng bagong kalsada ang trapiko.
echo	umalingawngaw	Umalingawngaw ang kanyang boses sa bulwagan.
ecological	ekolohikal	Nananatiling hindi tiyak ang epekto sa ekolohiya.
educator	edukador	Ang edukador ay nagdisenyo ng bagong kurso.
effectiveness	pagiging epektibo	Sinukat ng pag-aaral ang pagiging epektibo ng bakuna.
efficiency	kahusayan	Pinabuti ng mas mahusay na software ang kahusayan.
ego	ego	Ang kanyang ego ay nagdulot ng mga problema sa trabaho.
elaborate	detalyado	Inabot ng ilang linggo ang detalyadong kasuotan.
electoral	elektoral	Nagbago ang sistemang elektoral noong nakaraang taon.
elevate	itaas	Itataas ng parangal ang kanyang profile.
eligible	karapat-dapat	Tanging mga residente lang ang karapat-dapat para sa mga diskwento.
elite	elite	Nagsanay ang mga elite sa isang pribadong akademya.
embark	simulan	Sila ay magsisimula sa isang mahabang paglalakbay.
embarrassment	kahihiyan	Tumawa siya para itago ang kanyang kahihiyan.
embassy	embahada	Naglabas ng bagong payo sa paglalakbay ang embahada.
embed	isama	Sasama ang mamamahayag sa yunit.
embody	isabuhay	Tila isinasabuhay ng rebulto ang katapangan.
emergence	paglitaw	Ang paglitaw ng mga telepono ay nagpabago sa pang-araw-araw na buhay.
empirical	empirikal	Ang papel ay umaasa sa empirikal na ebidensya.
empower	bigyang-kapangyarihan	Maaaring bigyang-kapangyarihan ng edukasyon ang mga lokal na komunidad.
enact	isabatas	Bumoto ang parlyamento para isabatas ang reporma.
encompass	saklawin	Sasaklawin ng kurso ang modernong kasaysayan.
encouragement	paghihikayat	Nakatulong ang kanyang paghihikayat para siya ay magpatuloy.
encouraging	nakakahikayat	Nakakahikayat ang mga unang resulta.
endeavour	pagsisikap	Ang pagsagip ay isang mahirap na pagsisikap.
endless	walang katapusan	Tila walang katapusan ang disyerto.
endorse	suportahan	Tumanggi ang unyon na suportahan ang kandidato.
endorsement	pag-endorso	Pinalakas ng kanyang pag-endorso ang kanyang kampanya.
endure	tiisin	Nakakatiis ang mga halaman sa matinding taglamig.
enforce	ipatupad	Ipinapatupad ng pulisya ang limitasyon sa bilis.
enforcement	pagpapatupad	Nabawasan ang ilegal na pagtatapon dahil sa mas mahigpit na pagpapatupad.
engagement	pakikipag-ugnayan	Bumuti ang pakikipag-ugnayan ng mga mag-aaral ngayong semestre.
engaging	nakakaengganyo	Nagbigay ang tagapagsalita ng isang nakakaengganyong mensahe.
enquire	magtanong	Mangyaring magtanong sa front desk.
enrich	pagyamanin	Maaaring pagyamanin ng paglalakbay ang iyong pang-unawa.
enrol	magpatala	Dapat magpatala ang mga mag-aaral bago ang Setyembre.
ensue	sumunod	Maaaring sumunod ang kaguluhan pagkatapos ng anunsyo.
enterprise	negosyo	Ang negosyo ay kumukuha ng mga lokal na artista.
enthusiast	mahilig	Alam ng bawat mahilig sa pagbibisikleta ang rutang ito.
entitle	bigyan ng karapatan	Bibigyan ka ng karapatang pumasok ng tiket.
entity	entidad	Ang kumpanya ay isang hiwalay na legal na entidad.
epidemic	epidemya	Kumalat ang epidemya sa ilang rehiyon.
equality	pagkakapantay-pantay	Ipinaglaban ng kilusan ang pagkakapantay-pantay.
equation	ekwasyon	Ang ekwasyon ay naglalaman ng dalawang hindi alam.
erect	magtayo	Magtatayo ang mga manggagawa ng bagong bakod.
escalate	lumala	Maaaring mabilis na lumala ang labanan.
essence	diwa	Kinukuha ng tula ang diwa ng pagkabata.
establishment	establisimyento	Tinutulan ng establisimyento ang reporma.
eternal	walang hanggan	Nangako sila ng walang hanggang pagkakaibigan.
evacuate	lumikas	Tinulungan ng mga bumbero ang mga residente na ligtas na lumikas.
evoke	pukawin	Maaaring pukawin ng kanta ang malalakas na alaala.
evolutionary	ebolusyonaryo	Ang fossil ay nagpapakita ng isang pagbabagong ebolusyonaryo.
exaggerate	palakihin	Huwag palakihin ang iyong karanasan.
excellence	kahusayan	Ginagantimpalaan ng paaralan ang kahusayan sa akademya.
exceptional	katangi-tangi	Nagpakita siya ng katangi-tanging kasanayan.
excess	labis	Binaha ng labis na tubig ang basement.
exclusion	pagbubukod	Nakakapinsala sa mga kabataan ang pagbubukod sa lipunan.
exclusive	eksklusibo	Nag-aalok ang club ng eksklusibong pag-access.
exclusively	eksklusibo	Ang silid na ito ay eksklusibong ginagamit ng mga tauhan.
execute	isagawa	Maingat na isasagawa ng koponan ang plano.
execution	pagpapatupad	Inabot ng ilang buwan ang pagpapatupad ng diskarte.
exert	igiit	Dapat kang gumamit ng higit pang presyon.
exile	pagpapatapon	Nabuhay sa pagpapatapon ang manunulat.
expenditure	gastos	Tumaas ang pampublikong paggasta noong nakaraang taon.
experimental	eksperimental	Eksperimental pa rin ang paggamot.
expire	mapaso	Mapapaso na ang pasaporte ko sa lalong madaling panahon.
explicit	malinaw	Malinaw ang mga tagubilin.
explicitly	malinaw	Malinaw na ipinagbabawal ng mga panuntunan ang paninigarilyo.
exploitation	pagsasamantala	Ibinunyag ng ulat ang pagsasamantala sa mga manggagawa.
explosive	pampasabog	Ligtas na inalis ang pampasabog na aparato.
extremist	ekstremista	Nawalan ng suporta ang grupong ekstremista.
facilitate	padaliin	Papadaliin ng app ang malayuang pag-aaral.
faction	paksyon	Tinutulan ng isang paksyon ang pinuno.
faculty	guro	Inaprubahan ng mga guro ang panukala.
fade	kumupas	Kukupas ang pintura sa sikat ng araw.
fairness	pagiging patas	Mahalaga ang pagiging patas sa bawat kumpetisyon.
fatal	nakamamatay	Nagdulot ng mga nakamamatay na pinsala ang aksidente.
fate	kapalaran	Walang nakakaalam ng kanyang kapalaran.
favourable	paborable	Paborable ang pagsusuri.
feat	tagumpay	Isang tagumpay ang pag-akyat sa tuktok na iyon.
feminist	pangkababaihan	Binago ng kilusang pangkababaihan ang pampublikong debate.
fibre	hibla	Ang tinapay na ito ay naglalaman ng karagdagang hibla.
fierce	mabangis	Sinira ng mabangis na bagyo ang mga bubong.
film-maker	gumagawa ng pelikula	Sumagot ang gumagawa ng pelikula sa mga katanungan pagkatapos.
filter	salaan	Inaalis ng salaan ang alikabok sa hangin.
fine	multa	Nagbayad ng multa ang kumpanya.
firearm	baril	Nakuha muli ng opisyal ang isang nakaw na baril.
fit	sukat	Tamang-tama ang sukat ng bagong sapatos.
fixture	permanenteng nakakabit	Ang lampara ay isang permanenteng nakakabit.
flaw	kapintasan	Ang disenyo ay may isang malubhang kapintasan.
flawed	may kapintasan	Ang may kapintasang pag-aaral ay nagbigay ng maling mga resulta.
flee	tumakas	Kinailangan ng mga pamilya na tumakas mula sa labanan.
fleet	plota	Binago ng eroplano ang kanilang plota.
flesh	laman	Tinusok ng tinik ang kanyang laman.
flexibility	kaluwagan	Ang remote na trabaho ay nag-aalok ng higit na kaluwagan.
flourish	umunlad	Ang maliliit na negosyo ay maaaring umunlad dito.
fluid	likido	Uminom ng maraming likido pagkatapos mag-ehersisyo.
footage	kuha sa video	Ipinakita sa kuha sa video ang banggaan.
foreigner	dayuhan	Tinatanong sa form kung ikaw ay isang dayuhan.
forge	bumuo	Sinubukan nilang bumuo ng bagong alyansa.
formula	pormula	Nalutas ng pormula ang problema.
formulate	bumalangkas	Ang mga siyentipiko ay bumabalangkas ng bagong teorya.
forth	papunta sa unahan	Dinala ng ilog ang bangka papunta sa unahan.
forthcoming	paparating	Ipaliwanag ng paparating na ulat ang lahat.
foster	itaguyod	Ang programa ay tumutulong upang itaguyod ang kalayaan.
fragile	marupok	Ang marupok na plorera ay kailangang maingat na hawakan.
franchise	prangkisa	Ang restawran ay naging isang pandaigdigang prangkisa.
frankly	sa totoo lang	Sa totoo lang, kailangan natin ng mas maraming oras.
frustrated	nadismaya	Nadismaya ang mga manggagawa dahil sa pagkaantala.
frustrating	nakakadismaya	Nakakadismaya ang mabagal na koneksyon.
frustration	pagkadismaya	Lumaki ang pagkadismaya habang nagpupulong.
functional	gumagana pa	Gumagana pa rin ang lumang kusina.
fundraising	pangangalap ng pondo	Magsisimula sa susunod na linggo ang pangangalap ng pondo.
funeral	burol	Ginanap ang burol noong Biyernes.
gallon	galon	Ang tangke ay naglalaman ng isang galon.
gambling	pagsusugal	Ang pagsusugal ay pinaghihigpitan ng batas.
gathering	pagtitipon	Natapos nang mapayapa ang pagtitipon.
gaze	titig	Saglit niyang pinanatili ang kanyang titig.
gear	gamit	I-empake ang gamit pangkaligtasan bago umakyat.
generic	heneriko	Mas mura ang henerikong bersyon.
genocide	henosidyo	Nag-iwan ng matinding pambansang trauma ang henosidyo.
glance	sulyap	Siya ay mabilis na sumulyap.
glimpse	pasulyap na tingin	Nakita ko nang pasulyap ang dagat.
glorious	maluwalhati	Nagdiwang ng isang maluwalhating tagumpay ang koponan.
glory	kaluwalhatian	Nangarap siya ng kaluwalhatian sa Olympic.
governance	pamamahala	Ang mabuting pamamahala ay nangangailangan ng transparency.
grace	kagandahang-asal	Tinanggap niya ang pagkatalo nang may kagandahang-asal.
grasp	maunawaan	Nabigo siyang maunawaan ang konsepto.
grave (for dead person)	libingan	Ang libingan ay natatakpan ng mga bulaklak.
grave (serious)	malubha	Ang sitwasyon ay nananatiling malubha.
gravity	grabidad	Hinihila ng grabidad ang mga bagay papunta sa Earth.
grid	grid	Gumagamit ang mapa ng isang simpleng grid.
grief	pighati	Binago ng pighati ang kanyang buong pamilya.
grin	ngisi	Nagbigay ng malapad na ngisi ang bata.
grind	gilingin	Giniling ng mga manggagawa ang mga butil tuwing umaga.
grip	hawak	Panatilihin ang mahigpit na hawak sa lubid.
gross	kabuuan	Tumaas nang husto ang kabuuang kita.
guerrilla	gerilya	Nagtago ang mga mandirigmang gerilya sa mga burol.
guidance	patnubay	Ang gabay ay nagbibigay ng praktikal na patnubay.
guilt	pagkakasala	Nakadama siya ng pagkakasala pagkatapos magsinungaling.
gut	kutob	Magtiwala sa iyong kutob sa mahihirap na pagpili.
hail	papurihan	Pinupuri ng mga taganayon ang doktor bilang isang bayani.
halfway	kalahati ng daan	Huminto kami sa kalahati ng daan pataas ng burol.
halt	paghinto	Biglang huminto ang tren.
handful	iilan	May iilang boluntaryo na nagtagal.
handling	paghawak	Ang tamang paghawak ay pumipigil sa pinsala.
handy	kapaki-pakinabang	Ang kagamitang ito ay kapaki-pakinabang para sa mga pagkukumpuni.
harassment	panliligalig	Inimbestigahan ng kumpanya ang mga reklamo sa panliligalig.
hardware	hardware	Ang tindahan ay nagbebenta ng computer hardware.
harmony	pagkakaisa	Kumanta ang koro sa perpektong pagkakaisa.
harsh	malupit	Nagbigay ang hukom ng malupit na parusa.
harvest	ani	Magsisimula ang pag-ani sa Setyembre.
haunt	bumagabag	Patuloy siyang binagabag ng alaala.
hazard	panganib	Ang yelo ay isang malubhang panganib sa kalsada.
heighten	patindihin	Ang talumpati ay maaaring magpatindi ng mga tensyon.
heritage	pamana	Ang kastilyo ay bahagi ng lokal na pamana.
hierarchy	herarkiya	Ang herarkiya ng opisina ay malinaw na tinukoy.
high-profile	kilala	Ang kilalang paglilitis ay umakit ng mga mamamahayag.
hint	pahiwatig	Binigyan niya ako ng isang kapaki-pakinabang na pahiwatig.
homeland	lupang tinubuan	Bumalik siya sa kanyang lupang tinubuan.
hopeful	umaasa	Umaasa ang mga doktor tungkol sa paggaling.
horizon	abot-tanaw	Nawala ang araw sa ibaba ng abot-tanaw.
horn	busina	Ginising ng busina ng sasakyan ang lahat.
hostage	bihag	Ang bihag ay umuwi na.
hostile	agresibo	Naging agresibo ang mga tao.
hostility	poot	Tinapos ng matinding poot ang mga pag-uusap.
humanitarian	makatao	Naghatid ng pagkain ang makataong misyon.
humanity	sangkatauhan	Nahaharap ang sangkatauhan sa mga magkakaparehong hamon.
humble	mapagpakumbaba	Nananatili siyang mapagpakumbaba pagkatapos ng tagumpay.
hydrogen	hydrogen	Napakadaling masunog ng hydrogen.
identification	pagkakakilanlan	Kinakailangan ang pagkakakilanlan sa pasukan.
ideological	ideolohikal	Ang sigalot ay may mga ideolohikal na ugat.
ideology	ideolohiya	Hinubog ng kanyang ideolohiya ang bawat talumpati.
idiot	idyota	Huwag tawaging idyota ang sinuman.
ignorance	kamangmangan	Ang kamangmangan ay maaaring magpalaganap ng takot.
imagery	imahen	Gumagamit ang tula ng malinaw na imahen.
immense	matindi	Nangailangan ng matinding pagsisikap ang proyekto.
imminent	nalalapit	Tila nalalapit na ang isang bagyo.
implementation	pagpapatupad	Mabagal ang pagpapatupad ng batas.
imprison	ibilanggo	Sinubukan ng rehimen na ibilanggo ang mga kritiko.
imprisonment	pagkakakulong	Tumagal ng limang taon ang kanyang pagkakakulong.
inability	kawalan ng kakayahan	Nag-alala ang mga guro sa kanyang kawalan ng kakayahang mag-focus.
inadequate	hindi sapat	Ang silungan ay may hindi sapat na pampainit.
inappropriate	hindi naaangkop	Ang kanyang biro ay hindi naaangkop.
incidence	insidente	Tumaas ang insidente ng trangkaso.
inclined	malamang na sumang-ayon	Siya ay malamang na sumang-ayon.
inclusion	pagsasama	Itinataguyod ng paaralan ang pagsasama.
