source_headword	CS	example_CS
agricultural	zemědělský	Zemědělský vývoz letos vzrostl.
aide	asistent	Asistent organizoval ministrův program.
albeit	ačkoliv	Plán fungoval, ačkoliv pomalu.
alert	upozornit	Okamžitě upozorněte personál.
align	zarovnat	Šipky jsou zarovnány se silnicí.
alignment	seřízení	Seřízení kol zlepšilo ovladatelnost vozu.
alike	stejně	Dvojčata se o víkendech oblékají stejně.
allegation	tvrzení	Tvrzení se objevilo v novinách.
allege	tvrdit	Tvrdí, že se ztratily finanční prostředky.
allegedly	údajně	Řidič údajně varování ignoroval.
alliance	aliance	Strany vytvořily dočasnou alianci.
allocate	přidělit	Město přidělí peníze školám.
allocation	rozdělení	Rozdělení míst bylo nespravedlivé.
allowance	kapesné	Její kapesné pokryje oběd a dopravu.
ally	spojenec	Kanada se stala blízkým spojencem.
aluminium	hliník	Rám je vyroben z hliníku.
amateur	amatér	Fotku pořídil amatérský fotograf.
ambassador	velvyslanec	Velvyslanec se setkal s místními studenty.
amend	pozměnit	Parlament odhlasoval pozměnění zákona.
amendment	dodatek	Dodatek změnil jeden odstavec.
amid	uprostřed	Projev přišel uprostřed rostoucího napětí.
analogy	analogie	Učitel použil jednoduchou analogii.
anchor	kotva	Loď spustila kotvu poblíž ostrova.
angel	anděl	Dítě mělo na sobě kostým anděla.
anonymous	anonymní	Stížnost byla anonymní.
apparatus	přístroj	Laboratorní přístroj potřebuje vyčistit.
appealing	lákavý	Nabídka vypadá pro studenty lákavě.
appetite	chuť k jídlu	Cvičení mu zvýšilo chuť k jídlu.
applaud	tleskat	Publikum začalo hlasitě tleskat.
applicable	platný	Sleva je platná dnes.
appoint	jmenovat	Představenstvo jmenuje ředitele.
appreciation	uznání	Vyjádřila uznání za jejich pomoc.
arbitrary	libovolný	Termín připadal zaměstnancům libovolný.
architectural	architektonický	Město chrání své architektonické dědictví.
archive	archiv	V archivu jsou uloženy staré fotografie.
arena	aréna	Debata se přesunula do veřejné arény.
arguably	pravděpodobně	Toto je pravděpodobně jeho nejlepší román.
arm	vyzbrojit	Stráže vyzbrojí konvoj.
array	řada	Obchod nabízí řadu nástrojů.
articulate	formulovat	Dokáže jasně formulovat složité myšlenky.
ash	popel	Auto po požáru pokryl popel.
aspiration	aspirace	Její aspirací je stát se chirurgyní.
aspire	usilovat	Mnoho studentů usiluje o studium v zahraničí.
assassination	atentát	Atentát změnil politiku země.
assault	napadení	K napadení došlo poblíž nádraží.
assemble	sestavit	Dělníci sestavují nábytek ručně.
assembly	shromáždění	Školní shromáždění začíná v devět.
assert	prosadit	Snažil se prosadit svou autoritu.
assertion	tvrzení	Její tvrzení překvapilo komisi.
assurance	ujištění	Manažer dal ujištění o podpoře.
asylum	azyl	Rodina požádala o azyl na hranicích.
atrocity	zvěrstvo	Film popisoval válečné zvěrstvo.
attain	dosáhnout	Té rychlosti dosáhne jen málo běžců.
attendance	docházka	Docházka se po oznámení zlepšila.
attorney	advokát	Advokát vyslýchal svědka.
attribute	přisuzovat	Vědci tento nárůst přisuzují znečištění.
audit	audit	Audit odhalil několik chyb.
authentic	autentický	Restaurace podává autentické regionální jídlo.
authorize	schválit	Vrácení peněz mohou schválit pouze manažeři.
auto	auto	Automobilový průmysl se rychle změnil.
autonomy	autonomie	Region chce větší autonomii.
availability	dostupnost	Dostupnost míst je omezená.
await	očekávat	Několik zpráv čeká na vaši odpověď.
backdrop	pozadí	Hory tvořily dramatické pozadí.
backing	podpora	Návrh získal podporu voličů.
backup	záloha	Systém denně vytváří zálohu.
bail	kauce	Soudce stanovil kauci na poledne.
ballot	hlasovací lístek	Každý volič obdržel hlasovací lístek.
banner	transparent	Transparent visel nad vchodem.
bare	holý	Pokoj měl holé stěny.
barrel	sud	Sud byl plný vody.
bass1	basa	Basa zněla hluboce a teple.
battlefield	bojiště	Ze starého bojiště se stal památník.
bay	záliv	Vesnice leží u klidného zálivu.
beam	trám	Ocelový trám podepírá střechu.
beast	zvíře	Příběh popisuje divoké zvíře.
behalf	jménem	Mluvila jménem svého týmu.
beloved	milovaný	Milovaný učitel dnes odešel do důchodu.
bench	lavička	Seděli na dřevěné lavičce.
benchmark	měřítko	Test se stal průmyslovým měřítkem.
beneath	pod	Dokumenty byly pod složkou.
beneficiary	příjemce	Její syn byl hlavním příjemcem.
betray	zradit	Nezrazuj důvěru svého přítele.
bind	vázat	Dohoda bude vázat obě společnosti.
biography	biografie	Jeho biografie se prodalo mnoho výtisků.
bishop	biskup	Biskup navštívil vesnický kostel.
bizarre	bizarní	Film měl bizarní konec.
blade	čepel	Čepel přeřízla lano.
blast	výbuch	Výbuch rozbil nedaleká okna.
bleed	krvácet	Řezná rána začala silně krvácet.
blend	smíchat	Míchejte omáčku, dokud nebude hladká.
bless	žehnat	Kněz požehná dům.
blessing	požehnání	Mít podporu bylo požehnání.
boast	chlubit se	Rád se chlubí penězi.
bonus	bonus	Zaměstnanci dostali sváteční bonus.
boom	rozmach	Město zažilo stavební rozmach.
bounce	odrazit se	Míč se může odrazit velmi vysoko.
boundary	hranice	Řeka tvoří hranici.
bow1	úklona	Herec se hluboce uklonil.
breach	porušení	Únik odhalil soukromá data.
breakdown	rozpis	Zpráva obsahuje rozpis nákladů.
breakthrough	průlom	Objev byl velkým průlomem.
breed	rozmnožovat se	Tito ptáci se rozmnožují na jaře.
broadband	širokopásmové připojení	Kancelář potřebuje rychlejší širokopásmové připojení.
browser	prohlížeč	Před přihlášením aktualizujte svůj prohlížeč.
brutal	brutální	Útok byl brutální a náhlý.
buck	dolar	Lístok stojí deset dolarů.
buddy	kámoš	Jeho kámoš čekal venku.
buffer	bariéra	Stromy tvoří hlukovou bariéru.
bulk	objem	Kupovali rýži ve velkém.
burden	břemeno	Dluh se stal těžkým břemenem.
bureaucracy	byrokracie	Byrokracie zpozdila povolení.
burial	pohřeb	Pohřeb proběhl za úsvitu.
burst	prasknout	Potrubí může pod tlakem prasknout.
cabinet	kabinet	Kabinet plán schválil.
calculation	výpočet	Výpočet trval několik minut.
canvas	plátno	Umělec maloval na velké plátno.
capability	schopnost	Zařízení má bezdrátové připojení.
capitalism	kapitalismus	Kapitalismus formoval moderní ekonomiku.
capitalist	kapitalistický	Kapitalistický systém odměňuje soukromé investice.
cargo	náklad	Loď vezla zdravotnický náklad.
carriage	vagon	Vlakový vagon byl téměř prázdný.
carve	vyřezávat	Bude dřevo vyřezávat opatrně.
casino	kasino	Kasino se otevřelo blízko hotelu.
casualty	oběť	Nehoda si vyžádala jednu oběť.
catalogue	katalog	Katalog uvádí každý produkt.
cater	zajišťovat občerstvení	Restaurace může zajistit pohoštění na velkých akcích.
cattle	dobytek	Dobytek se pásl poblíž řeky.
caution	opatrnost	Na zledovatělých silnicích dbejte opatrnosti.
cautious	opatrný	Investoři zůstávají tento týden opatrní.
cease	přestat	Továrna brzy ukončí výrobu.
cemetery	hřbitov	Ze hřbitova je výhled na moře.
chamber	komora	Komora byla během hlasování tichá.
chaos	chaos	Zpoždění způsobilo na letišti chaos.
characterize	charakterizovat	Odborníci charakterizují plán jako riskantní.
charm	kouzlo	Město má starosvětské kouzlo.
charter	charta	Charta chrání základní práva.
chronic	chronický	Trpí chronickou bolestí zad.
chunk	kus	Sýr nakrájejte na velký kus.
circulate	kolovat	Prosím, nechte dnes kolovat program.
circulation	náklad	Náklad novin prudce klesl.
citizenship	občanství	Požádala o francouzské občanství.
civic	občanský	Setkání se zúčastnili občanští lídři.
civilian	civilista	Několik civilních domů bylo poškozeno.
clarity	jasnost	Diagram dodal zprávě jasnost.
clash	střet	Střet začal po pochodu.
classification	klasifikace	Klasifikace závisí na velikosti.
cling	držet se	Mokré oblečení se lepí na kůži.
clinical	klinický	Klinická studie začíná příští měsíc.
closure	uzavření	Rodina chtěla po případu uzavření.
cluster	shluk	Nedaleko stál shluk domů.
coalition	koalice	Koalice ztratila většinu.
coastal	pobřežní	Pobřežní vesnice se připravovaly na povodně.
cocktail	koktejl	Objednala si ovocný koktejl.
cognitive	kognitivní	Kognitivní dovednosti se praxí zlepšují.
coincide	shodovat se	Festival se bude krýt s promocí.
collaborate	spolupracovat	Týmy spolupracují na softwaru.
collaboration	spolupráce	Jejich spolupráce přinesla dobré výsledky.
collective	kolektivní	Rozhodnutí bylo kolektivním úsilím.
collision	srážka	Srážka zablokovala dálnici.
colonial	koloniální	Budova má koloniální architekturu.
columnist	sloupkař	Sloupkař kritizoval politiku.
combat	boj	Vojáci trénovali na boj.
commence	začít	Ceremonie začne v poledne.
commentary	komentář	Komentář k zápasu byl živý.
commentator	komentátor	Komentátor vysvětlil rozhodnutí.
commerce	obchod	Online obchod rostl rychle.
commissioner	komisař	Komisař oznámil nová pravidla.
commodity	komodita	Pšenice je důležitá komodita.
communist	komunistický	Komunistická strana uspořádala schůzi.
companion	společník	Její pes je věrný společník.
comparable	srovnatelný	Dvě města jsou srovnatelná ve velikosti.
compassion	soucit	Zdravotní sestra projevila velký soucit.
compel	donutit	Důkazy mohou donutit k odpovědi.
compelling	přesvědčivý	Dokumentární film představil přesvědčivý argument.
compensate	kompenzovat	Společnost bude kompenzovat zasažené zákazníky.
compensation	kompenzace	Dělníci požadovali spravedlivou kompenzaci.
competence	kompetence	Test měří profesionální kompetenci.
competent	kompetentní	Je to kompetentní inženýrka.
compile	shromáždit	Výzkumníci shromáždí data z nemocnic.
complement	doplnit	Víno doplní jídlo.
complexity	složitost	Projekt má nečekanou složitost.
compliance	dodržování	Audit zkontroloval dodržování předpisů.
complication	komplikace	Operace měla jednu komplikaci.
comply	dodržovat	Společnosti musí dodržovat předpisy.
composition	skladba	Skladba zahrnuje housle a klavír.
compromise	kompromis	Kompromis uspokojil obě strany.
compute	spočítat	Program dokáže spočítat celkovou částku.
conceal	zatajit	Snažil se zatajit škodu.
concede	přiznat	Ministr odmítl přiznat porážku.
conceive	vymyslet	Nemohli vymyslet lepší plán.
conception	pojetí	Film změnil mé pojetí historie.
concession	ústupek	Společnost nabídla jeden ústupek.
condemn	odsoudit	Lídři útok veřejně odsoudili.
confer	udělit	Ocenění udělí prestiž.
confession	doznání	Jeho doznání překvapilo soud.
configuration	konfigurace	Konfigurace řídí přístup k síti.
confine	omezit	Pravidla omezují psy na tuto oblast.
confirmation	potvrzení	Obdrželi jsme potvrzení e-mailem.
confront	čelit	Rozhodla se čelit problému.
confrontation	konfrontace	Konfrontace skončila bez násilí.
congratulate	gratulovat	Zavolal jsem, abych pogratuloval sestře.
congregation	shromáždění	Shromáždění zpívalo společně.
congressional	kongresový	Kongresové slyšení trvalo hodiny.
conquer	dobýt	Tým doufá, že dobyje trh.
conscience	svědomí	Jeho svědomí by nedovolilo lži.
consciousness	vědomí	Nehoda ovlivnila jeho vědomí.
consecutive	po sobě jdoucí	Vyhrála tři po sobě jdoucí zápasy.
consensus	konsenzus	Výbor rychle dosáhl konsenzu.
consent	souhlas	Písemný souhlas je vyžadován.
conserve	šetřit	Během sucha šetříme vodou.
consistency	důslednost	Důslednost je při studiu jazyků důležitá.
consolidate	sloučit	Společnost sloučí dvě kanceláře.
constituency	volební obvod	Kandidát navštívil každý volební obvod.
constitute	tvořit	Ženy tvoří polovinu výboru.
constitution	ústava	Ústava zaručuje svobodu projevu.
constitutional	ústavní	Soud přezkoumal ústavní práva.
constraint	omezení	Rozpočtové omezení projekt omezilo.
consultation	konzultace	Konzultace trvala dva týdny.
contemplate	zvažovat	Odmlčela se, aby zvážila nabídku.
contempt	opovržení	Projevil opovržení k pravidlům.
contend	soutěžit	O zakázku soutěží několik firem.
contender	uchazeč	Je silnou uchazečkou.
content2	spokojený	S výsledkem se cítil spokojený.
contention	spor	Hlavní spor se týká financování.
continually	neustále	Systém neustále kontroluje chyby.
contractor	dodavatel	Dodavatel opravil střechu.
contradiction	rozpor	Jeho prohlášení obsahovalo rozpor.
contrary	opačný	Opačné důkazy změnily případ.
contributor	přispěvatel	Je pravidelnou přispěvatelkou.
conversion	převod	Převod změnil dolary na eura.
convict	usvědčit	Porota může podezřelého usvědčit.
conviction	odsouzení	Jeho odsouzení šokovalo veřejnost.
cooperate	spolupracovat	Prosím, spolupracujte s vyšetřováním.
cooperative	kooperativní	Personál byl kooperativní a klidný.
coordinate	koordinovat	Každé ráno koordinují dodávky.
coordination	koordinace	Dobrá koordinace ušetřila čas.
coordinator	koordinátor	Koordinátor přidělil každý úkol.
cop	polda	Polda stál před stanicí.
copper	měď	Trubka je vyrobena z mědi.
copyright	autorské právo	Obrázek je chráněn autorským právem.
correction	oprava	Učitel provedl jednu opravu.
correlate	korelovat	Vysoký stres může korelovat s nemocí.
correlation	korelace	Studie našla silnou korelaci.
correspond	odpovídat	Tato čísla odpovídají štítkům.
correspondence	korespondence	Jejich korespondence trvala roky.
correspondent	zpravodaj	Zpravodaj reportoval z Káhiry.
corresponding	odpovídající	Každé tlačítko má odpovídající světlo.
corrupt	zkorumpovaný	Zkorumpovaný úředník přijal peníze.
corruption	korupce	Korupce oslabila důvěru veřejnosti.
costly	nákladný	Chyba byla pro tým nákladná.
councillor	radní	Radní odpověděl na dotazy obyvatel.
counselling	poradenství	Po nehodě dostala poradenství.
counsellor	poradce	Poradce pomáhal novým studentům.
counter (argue against)	oponovat	Snažila se oponovat jeho argumentu.
counterpart	protějšek	Setkal se se svým japonským protějškem.
countless	nespočetný	Nespočet dobrovolníků se připojilo k pátrání.
coup	převrat	Převrat svrhl prezidenta.
courtesy	zdvořilost	Poděkovala jim za jejich zdvořilost.
