simplified	IT	example_IT
采购	acquistare; approvvigionare	L'azienda ha mandato qualcuno ad acquistare attrezzature.
采集	raccogliere	I ricercatori hanno raccolto campioni nella foresta.
采纳	adottare; accettare	Il dirigente ha adottato il nostro suggerimento.
参谋	il consigliere; consigliare	Spesso fa da consigliere al manager.
参照	fare riferimento a	Per favore, compila il modulo facendo riferimento a questo formato.
残疾	disabile	Questa stazione offre assistenza ai passeggeri disabili.
残酷	crudele	La guerra è molto crudele.
残留	rimanere; residuo	Nella tazza rimane ancora odore di caffè.
残忍	crudele	Maltrattare gli animali è un comportamento crudele.
灿烂	splendido; luminoso	Ha mostrato un sorriso luminoso.
仓促	frettoloso	Questa decisione è stata presa troppo in fretta.
仓库	il magazzino	La merce è già stata consegnata al magazzino.
舱	la cabina	I passeggeri stanno entrando nella cabina dell'aereo.
苍白	pallido	Il suo viso sembrava molto pallido.
操劳	lavorare duramente; affaticarsi	La madre ha lavorato duramente per questa famiglia per molti anni.
操练	esercitarsi; fare addestramento	I soldati fanno addestramento ogni mattina.
操纵	controllare; manovrare	Questa macchina è controllata da un computer.
操作	azionare; usare	Per favore usa l'attrezzatura seguendo le istruzioni.
嘈杂	rumoroso	Nella stazione c'era molto rumore.
草案	la bozza	Il comitato sta discutendo la bozza.
草率	affrettato; negligente	Una decisione così importante non può essere presa con leggerezza.
侧面	il lato; l'aspetto	Vista di lato, questa costruzione sembra più alta.
测量	misurare; rilevare	L'ingegnere sta misurando la lunghezza del ponte.
策划	pianificare; organizzare	Hanno organizzato un grande evento.
策略	la strategia	Questa strategia ha aiutato l'azienda a ridurre i costi.
层出不穷	emergere senza sosta	Nuovi problemi continuano a emergere uno dopo l'altro.
层次	il livello; la struttura	La struttura di questo articolo è molto chiara.
差别	la differenza	Tra i due metodi non c'è una grande differenza.
插座	la presa	In questa stanza non ci sono abbastanza prese.
查获	sequestrare; scoprire	La dogana ha sequestrato una partita di merce falsa.
刹那	l'istante	In un istante si sono spente tutte le luci.
岔	il bivio; diramarsi	Le auto si sono separate all'incrocio più avanti.
诧异	sorpreso; stupito	La sua decisione ha sorpreso molto tutti.
柴油	il gasolio	Questo camion usa il gasolio.
搀	sorreggere per il braccio	L'infermiera ha sorretto l'anziano mentre entrava in reparto.
缠绕	avvolgersi; intrecciarsi	Le viti si intrecciano intorno ai rami.
馋	avere voglia; goloso	Vedendo la torta, il bambino ne ha avuto voglia.
产业	l'industria; il settore	Il turismo è un settore importante qui.
阐述	esporre; spiegare in dettaglio	Il professore ha spiegato in dettaglio il proprio punto di vista.
颤抖	tremare; rabbrividire	Aveva così freddo che tremava in tutto il corpo.
昌盛	prospero	Speriamo che il paese sia prospero e fiorente.
偿还	rimborsare; ripagare	Ha rimborsato il prestito in tempo.
尝试	provare; tentare	Possiamo provare un nuovo metodo.
场合	l'occasione; la situazione	In un'occasione del genere non è adatto scherzare.
场面	la scena; l'atmosfera	La scena del matrimonio era molto vivace.
场所	il luogo	Questo è un luogo pubblico; per favore non fumare.
敞开	spalancare; tenere aperto	Per favore lascia la finestra spalancata per un po'.
倡导	sostenere; promuovere	La scuola promuove uno stile di vita sano.
倡议	l'iniziativa; proporre	Questa iniziativa ambientale ha ricevuto sostegno.
畅通	libero; scorrevole	Dopo che la pioggia si è fermata, la strada è tornata libera.
畅销	vendere molto bene	Questo romanzo vende molto bene.
超越	superare	Alla fine ha superato il proprio record.
钞票	la banconota	Nel portafoglio erano rimaste solo poche banconote.
嘲笑	deridere; prendere in giro	Non prendere in giro i difetti degli altri.
巢穴	la tana; il nido	Il cacciatore ha scoperto la tana dell'animale.
朝代	la dinastia	La dinastia Tang è una dinastia della storia cinese.
潮流	la tendenza; la corrente	I giovani seguono molto le tendenze della moda.
撤退	ritirarsi	Le truppe si sono ritirate dopo aver ricevuto l'ordine.
撤销	revocare; annullare	Il tribunale ha revocato la sentenza originale.
沉淀	depositarsi; sedimentare	Il limo si depositerà lentamente.
沉闷	opprimente; cupo	Oggi il tempo è caldo e opprimente.
沉思	meditare; riflettere profondamente	Era seduto vicino alla finestra immerso nei pensieri.
沉重	pesante; grave	Questa notizia ha reso tutti molto tristi.
沉着	calmo; composto	Bisogna restare calmi davanti al pericolo.
陈旧	vecchio; superato	Questa macchina è ormai molto vecchia.
陈列	esporre; mettere in mostra	Nella sala espositiva sono esposti molti reperti culturali.
陈述	dichiarare; esporre	Per favore esponi chiaramente i fatti.
称心如意	soddisfacente; proprio come desiderato	Questo lavoro per lui è molto soddisfacente.
衬托	mettere in risalto	Il muro bianco mette in risalto il colore dei fiori.
称号	il titolo	Ha ricevuto il titolo di insegnante eccellente.
乘	prendere; salire su	Ogni giorno prendo la metropolitana per andare al lavoro.
呈现	assumere; presentare	Il cielo ha assunto un leggero colore rosso.
城堡	il castello	Sulla cima della montagna c'è un antico castello.
惩罚	punire; la punizione	La scuola punirà gli studenti che imbrogliano.
成本	il costo	L'aumento dei prezzi delle materie prime ha fatto salire i costi.
成交	concludere un affare	Questo affare è stato finalmente concluso.
成天	tutto il giorno	Sta tutto il giorno davanti al computer.
成效	il risultato; l'effetto	Il nuovo metodo di gestione ha presto mostrato risultati.
成心	deliberatamente; apposta	Non ti ha messo in imbarazzo apposta.
成员	il membro	Ogni membro deve partecipare alla riunione.
承办	organizzare; assumersi	L'azienda ha organizzato la mostra.
承包	assumere in appalto; appaltare	Hanno preso in appalto questo progetto.
承诺	promettere; l'impegno	Ha promesso di finire il compito in tempo.
橙	l'arancia	Ho comprato alcune arance fresche.
澄清	chiarire	Il direttore è intervenuto per chiarire il malinteso.
盛	servire; riempire	Ha servito una ciotola di zuppa all'ospite.
诚挚	sincero	Per favore accetta i miei sinceri ringraziamenti.
秤	la bilancia	Questa bilancia non è molto precisa.
吃苦	sopportare le difficoltà	I giovani dovrebbero imparare a sopportare le difficoltà.
吃力	faticoso; richiedere sforzo	Spostare questa scatola richiede molta fatica.
持久	duraturo; persistente	Il successo richiede uno sforzo duraturo.
迟钝	lento di riflessi; ottuso	Ultimamente le sue reazioni sono un po' lente.
迟缓	lento; rallentato	Dopo la pioggia il traffico è diventato lento.
迟疑	esitare	Ha esitato un momento prima di rispondere.
赤道	l'equatore	Vicino all'equatore fa caldo tutto l'anno.
赤字	il deficit	Quest'anno l'azienda ha registrato un deficit.
充当	servire da; fare da	Nel progetto ha fatto da coordinatore.
充沛	abbondante; pieno di energia	I bambini sono pieni di energia.
充实	pieno; arricchire	Questa esperienza ha reso la mia vita più piena.
充足	sufficiente; abbondante	Prima del viaggio bisogna preparare acqua sufficiente.
冲动	l'impulso	Non prendere decisioni per un impulso momentaneo.
冲击	l'impatto; colpire	Le nuove tecnologie hanno avuto un impatto sulle industrie tradizionali.
冲突	il conflitto	Entrambe le parti hanno cercato di evitare il conflitto.
崇拜	ammirare; adorare	Molti giovani ammirano questo scienziato.
崇高	nobile; sublime	Il dovere di un medico è nobile.
崇敬	rispettare profondamente	Gli studenti rispettano molto questo insegnante.
重叠	sovrapporsi	Questi due compiti si sovrappongono in parte.
稠密	denso	Qui la popolazione è molto densa.
筹备	preparare; organizzare	Stanno preparando il matrimonio.
丑恶	brutto; ripugnante	Ha rivelato la brutta verità dietro l'evento.
出路	la via d'uscita; la prospettiva	Lo studio può offrire ai giovani più prospettive.
出卖	tradire; vendere	Non tradirebbe i suoi amici.
出身	la provenienza familiare	Viene da una famiglia comune.
出神	essere assorto	Era assorta mentre ascoltava la musica.
出息	avere prospettive	Questo bambino avrà un futuro promettente.
初步	preliminare; iniziale	Abbiamo già raggiunto un accordo preliminare.
除	eccetto; rimuovere	Sono arrivati tutti eccetto lui.
储备	riservare; le riserve	L'azienda deve riservare più fondi.
储存	conservare; immagazzinare	Questi dati verranno salvati automaticamente.
储蓄	risparmiare; i risparmi	Risparmia una parte dello stipendio ogni mese.
处分	la sanzione disciplinare	La scuola gli ha dato una grave sanzione disciplinare.
处境	la situazione difficile	La loro situazione attuale è molto difficile.
处置	gestire; trattare	Queste vecchie attrezzature devono essere gestite in modo adeguato.
触犯	violare; offendere	Fare così violerà la legge.
川流不息	scorrere senza sosta	I veicoli sulla strada scorrono senza sosta.
穿越	attraversare	Il treno ha attraversato il lungo tunnel.
传达	comunicare; trasmettere	Per favore comunica questa notizia a tutti.
传单	il volantino	I volontari distribuivano volantini per strada.
传授	trasmettere; insegnare	L'insegnante trasmette esperienza agli studenti.
船舶	le imbarcazioni; le navi	Nel porto sono ormeggiate molte navi.
喘气	ansimare	Continuava ad ansimare dopo aver corso.
串	infilare; mettere in fila	Ha infilato le perline formando una collana.
床单	il lenzuolo	Per favore cambia il lenzuolo.
创立	fondare	Hanno fondato insieme questa azienda.
创新	innovare; l'innovazione	Lo sviluppo di un'impresa richiede innovazione continua.
创业	avviare un'attività	Molti giovani scelgono di avviare un'attività.
创作	creare; comporre	Lo scrittore sta creando un romanzo lungo.
吹牛	vantarsi	Non vantarti, mostra le prove.
吹捧	esaltare; adulare	I media hanno esaltato troppo questo prodotto.
炊烟	il fumo delle cucine	La sera, dal villaggio si levava il fumo delle cucine.
垂直	verticale; perpendicolare	Queste due linee sono perpendicolari tra loro.
锤	il martello	L'operaio ha colpito la lastra di ferro con un martello.
纯粹	puramente	Il suo aiuto nasceva puramente da buone intenzioni.
纯洁	puro	Il cuore di un bambino è molto puro.
慈善	benefico; caritatevole	Questa azienda partecipa spesso ad attività benefiche.
慈祥	benevolo; affettuoso	Il sorriso della nonna è molto affettuoso.
磁带	la cassetta; il nastro magnetico	Questa vecchia cassetta può ancora essere riprodotta.
雌雄	maschio e femmina	In questa specie di uccelli maschio e femmina hanno colori diversi.
伺候	assistere; servire	L'infermiera assisteva il paziente con cura.
刺	la spina; pungere	Sui rami della rosa ci sono molte spine.
次品	il prodotto difettoso	Questi prodotti difettosi non possono essere venduti.
次序	l'ordine; la sequenza	Per favore mettetevi in fila in ordine.
丛	il cespuglio; il gruppo	Sul bordo della strada c'è un gruppo di fiori selvatici.
从容	calmo; senza fretta	Ha risposto alla domanda con calma.
凑合	accontentarsi; arrangiarsi	La stanza non è grande, ma ci si può arrangiare.
粗鲁	maleducato; rozzo	Parla in modo troppo maleducato.
窜	scappare di colpo; guizzare	Quel gatto è guizzato dentro casa all'improvviso.
摧残	devastare; rovinare	L'inquinamento a lungo termine devasterà questa foresta.
脆弱	fragile	I prodotti di vetro sono molto fragili.
搓	strofinare	Si è strofinato le mani fredde.
磋商	consultarsi; negoziare	Le due parti continueranno a negoziare.
挫折	la battuta d'arresto	Tutti incontrano battute d'arresto.
搭	prendere; costruire	Prendiamo l'autobus per andare all'aeroporto.
搭档	il partner; collaborare	È il mio partner di lavoro da molti anni.
搭配	abbinare	Questa giacca si abbina bene ai pantaloni.
答辩	la discussione; difendere una tesi	Lo studente magistrale sta preparando la discussione della tesi.
答复	la risposta	Per favore dammi una risposta il prima possibile.
达成	raggiungere; concludere	Le due parti hanno finalmente raggiunto un accordo.
打包	impacchettare; portare via	Il cameriere ci ha impacchettato gli avanzi.
打官司	fare causa; andare in tribunale	Sono andati in tribunale per un problema di contratto.
打击	il colpo; colpire	Questo fallimento è stato un duro colpo per lui.
打架	fare a botte	Gli studenti che fanno a botte nel campus saranno puniti.
打量	squadrare; osservare	Lei mi ha squadrato da capo a piedi.
打猎	andare a caccia	Qui è vietato andare a caccia.
打仗	fare la guerra	Nessuno vuole fare la guerra.
大不了	nel peggiore dei casi	Nel peggiore dei casi riproveremo domani.
大臣	il ministro	Il re convocò diversi ministri.
大伙儿	tutti	Tutti stanno aspettando la tua decisione.
大肆	su larga scala; senza freni	Il commerciante ha promosso il nuovo prodotto su larga scala.
大体	in generale; grosso modo	Il piano in generale non ha problemi.
大意	l'idea principale	Per favore spiega prima l'idea principale di questo articolo.
大致	grosso modo	Ho capito grosso modo come sono andate le cose.
歹徒	il criminale	La polizia ha catturato rapidamente il criminale.
代价	il prezzo; il costo	Il successo spesso richiede di pagare un prezzo.
代理	fare le veci; agire come agente	Temporaneamente fa le veci del direttore.
带领	guidare; condurre	L'insegnante ha guidato gli studenti nella visita al museo.
怠慢	trascurare; trattare con poca attenzione	Non dobbiamo trascurare gli ospiti.
逮捕	arrestare	La polizia ha arrestato il principale sospettato.
担保	garantire; la garanzia	La banca richiede che qualcuno fornisca una garanzia.
胆怯	timido; pauroso	Al suo primo discorso era un po' timido.
淡季	la bassa stagione	I biglietti aerei costano meno in bassa stagione turistica.
淡水	l'acqua dolce	Questo tipo di pesce può vivere solo in acqua dolce.
蛋白质	la proteina	Le uova contengono molte proteine.
诞辰	l'anniversario della nascita	Oggi è l'anniversario della nascita di questo scrittore.
诞生	nascere	Questa idea è nata durante la discussione.
当场	sul posto	Ha ammesso l'errore sul posto.
当初	all'inizio; a quel tempo	All'inizio sostenevamo tutti questa decisione.
当代	contemporaneo	La società contemporanea cambia molto rapidamente.
当面	di persona; faccia a faccia	È meglio chiarire i problemi di persona.
当前	attuale; al momento	La cosa più importante al momento è garantire la sicurezza.
当事人	la persona coinvolta	La polizia sta interrogando la persona coinvolta.
当务之急	la priorità assoluta	Risolvere il problema abitativo è la priorità assoluta.
当选	essere eletto	È stata eletta presidente senza problemi.
党	il partito	Questo partito ha proposto una nuova politica.
档案	il fascicolo; l'archivio	La scuola ha conservato i fascicoli degli studenti.
档次	il livello; la categoria	Questo hotel è di alto livello.
倒闭	chiudere; fallire	Quel piccolo negozio ha chiuso l'anno scorso.
导弹	il missile	Le notizie hanno riferito del test missilistico.
导航	la navigazione	Per favore attiva la navigazione del telefono.
导向	orientato verso; l'orientamento	La politica educativa dovrebbe essere orientata all'equità.
捣乱	fare confusione; creare problemi	Per favore non creare problemi in classe.
盗窃	il furto; rubare	Il centro commerciale ha rafforzato le misure per prevenire i furti.
稻谷	il riso non trebbiato	I contadini stanno raccogliendo il riso.
得不偿失	non valere la perdita	Comprare materiali scadenti per risparmiare non vale la perdita.
得力	capace; competente	È un assistente capace al fianco del direttore.
得天独厚	avere vantaggi unici	Questa città ha vantaggi geografici unici.
得罪	offendere	Non voglio offendere i colleghi per una sciocchezza.
灯笼	la lanterna	Durante la Festa di Primavera alla porta sono appese lanterne rosse.
登录	accedere; effettuare il login	Per favore accedi prima al tuo account.
登陆	approdare; fare landfall	Il tifone potrebbe raggiungere la costa questa sera.
蹬	spingere con il piede	Ha spinto forte con il piede e la bicicletta si è mossa.
等候	aspettare	I passeggeri stanno aspettando nella sala per imbarcarsi.
等级	il livello	Questo software ha diversi livelli di abbonamento.
瞪	fissare; guardare male	Mi ha guardato male con rabbia.
堤坝	la diga	Dopo la pioggia intensa la diga deve essere controllata con attenzione.
敌视	essere ostile	Non dovremmo essere ostili verso opinioni diverse.
抵达	arrivare	L'aereo è arrivato a Pechino in orario.
抵抗	resistere; la resistenza	Gli abitanti del villaggio hanno resistito insieme all'alluvione.
抵制	boicottare; rifiutare	I consumatori hanno iniziato a boicottare i prodotti di bassa qualità.
地步	la situazione; il punto	La questione non è ancora arrivata a quel punto di gravità.
地势	il terreno; la conformazione	Qui il terreno è più alto, quindi l'acqua non si accumula facilmente.
地质	la geologia	Gli esperti stanno indagando sulle condizioni geologiche locali.
递增	aumentare gradualmente	Le vendite sono aumentate per tre mesi consecutivi.
颠簸	sobbalzare; accidentato	La strada di montagna è molto accidentata, quindi guida con prudenza.
颠倒	invertire; capovolgere	Hai invertito l'ordine dei due numeri.
典礼	la cerimonia	La cerimonia di laurea si terrà nell'auditorium.
典型	tipico	Questo è un tipico caso di successo.
点缀	decorare; adornare	Alcuni piccoli fiori decoravano il tavolo da pranzo.
垫	il tappetino; mettere sotto	Per favore metti questo foglio sotto la tazza.
奠定	porre le basi	Questa collaborazione ha posto le basi per un rapporto a lungo termine.
惦记	preoccuparsi; pensare con affetto	La madre pensa sempre con preoccupazione al figlio lontano.
