source_headword	IS	example_IS
rehabilitation	endurhæfing	Endurhæfingin hjálpaði honum að ganga á ný.
reign	stjórnartíð	Stjórnartíð konungs stóð í áratugi.
rejection	höfnun	Höfnunin særði sjálfstraust hennar.
relevance	vægi	Gögnin hafa takmarkað vægi.
reliability	áreiðanleiki	Áreiðanleiki skiptir máli í neyðarkerfum.
reluctant	tregur	Hann var tregur til að tala.
remainder	afgangur	Afgangurinn fór til góðgerðarmála.
remains	leifar	Leifarnar voru rannsakaðar vandlega.
remedy	úrræði	Lögin veita úrræði.
reminder	áminning	Tölvupósturinn var gagnleg áminning.
removal	afnám	Afnám hindrana hjálpaði viðskiptum.
render	gera	Mistökin gerðu samninginn ógildan.
renew	endurnýja	Endurnýjaðu vegabréfið þitt fljótlega.
renowned	þekktur	Hún er þekkt fyrir rannsóknir sínar.
rental	leiga	Leigan inniheldur tryggingu.
replacement	varahlutur	Varahluturinn kom í dag.
reportedly	að sögn	Ráðherrann sagði að sögn af sér í gær.
representation	fulltrúamennska	Sanngjörn fulltrúamennska er áfram mikilvæg.
reproduce	fjölga sér	Þessar plöntur fjölga sér fljótt.
reproduction	eftirprentun	Stafræn eftirprentun bætti aðgengi.
republic	lýðveldi	Lýðveldið hélt kosningar.
resemble	líkjast	Hönnunin tvö líkjast hvort öðru mjög.
reside	búa	Þau búa nálægt landamærunum.
residence	aðsetur	Opinbert aðsetur hans er vaktað.
residential	íbúða-	Svæðið er aðallega íbúðahverfi.
residue	leifar	Hreinsiefnið skildi eftir sig klístraðar leifar.
resignation	afsögn	Afsögn hennar kom stjórninni á óvart.
resistance	andstaða	Andstaða við breytingar var mikil.
respective	viðkomandi	Þeir sneru aftur á viðkomandi skrifstofur sínar.
respectively	hvort um sig	Einkunnirnar voru 80 og 90, hvort um sig.
restoration	endurreisn	Endurreisn byggingarinnar tók mörg ár.
restraint	stilling	Lögreglan sýndi stillingu.
resume	hefjast að nýju	Kennslan hefst að nýju í næstu viku.
retreat	undanhald	Herinn hóf undanhald.
retrieve	sækja	Hún sótti skrána.
revelation	opinberun	Opinberunin skaðaði orðspor hans.
revenge	hefnd	Hann vildi hefnd fyrir móðgunina.
reverse	snúa við	Dómstóllinn sneri við ákvörðuninni.
revival	endurvakning	Bærinn sá efnahagslega endurvakningu.
revive	endurvekja	Hátíðin hjálpaði til við að endurvekja staðbundnar hefðir.
revolutionary	byltingarkenndur	Uppfinningin var byltingarkennd.
rhetoric	orðræða	Orðræða hans hljómaði árásargjarn.
rifle	riffill	Riffillinn var geymdur á öruggum stað.
riot	óeirðir	Óeirðirnar stóðu yfir í nokkrar klukkustundir.
rip	rífa	Rífðu pappírinn varlega.
ritual	helgisiður	Helgisiðurinn markar uppskeruna.
robust	öflugur	Kerfið er öflugt.
rock	hrista	Sprengingin hristi þorpið.
rod	stöng	Gardínan hangir á stöng.
rotate	snúa	Snúðu handfanginu hægt.
rotation	skipting	Uppskeruskipti vernda jarðveginn.
ruling	úrskurður	Dómstóllinn gaf út úrskurð.
rumour	orðrómur	Orðrómurinn dreifðist fljótt.
sack	reka	Stjórnin gæti rekið þjálfarann.
sacred	heilagur	Musterið er heilagt.
sacrifice	fórn	Foreldrar færa oft fórnir.
saint	dýrlingur	Kirkjan heiðrar staðbundinn dýrling.
sake	vegna	Hann var áfram hennar vegna.
sanction	refsiaðgerð	Refsiaðgerðin hafði áhrif á milliríkjaviðskipti.
say	áhrif	Starfsmenn höfðu áhrif á vaktaplanið.
scattered	dreifður	Dreifð blöð þöktu skrifborðið.
sceptical	tortrygginn	Hún var áfram tortryggin gagnvart fullyrðingunni.
scope	umfang	Umfang verkefnisins stækkaði.
screw	skrúfa	Hertu skrúfuna varlega.
scrutiny	rýni	Samningurinn sætti opinberri rýni.
seal	loka	Lokaðu umslaginu áður en þú sendir það.
secular	veraldlegur	Skólinn fylgir veraldlegri námskrá.
seemingly	að því er virðist	Verkefnið var að því er virðist einfalt.
segment	hluti	Lokahlutinn var styttri.
seize	leggja hald á	Lögreglan lagði hald á skjölin.
seldom	sjaldan	Hún missir sjaldan af tíma.
selective	valkvæður	Námið er mjög valkvætt.
senator	öldungadeildarþingmaður	Öldungadeildarþingmaðurinn studdi frumvarpið.
sensation	fjaðrafok	Uppgötvunin olli fjaðrafoki.
sensitivity	viðkvæmni	Málið krefst viðkvæmni.
sentiment	viðhorf	Almennt viðhorf breyttist hratt.
separation	aðskilnaður	Aðskilnaðurinn var erfiður.
serial	rað-	Raðnúmerið vantar.
settlement	sátt	Sáttin bundu enda á deiluna.
set-up	uppsetning	Uppsetningin tók allan morguninn.
sexuality	kynhneigð	Námskeiðið fjallar um sjálfsmynd og kynhneigð.
shareholder	hluthafi	Hluthafi spurði stjórnina spurninga.
shatter	splundra	Fréttirnar mölbrutu sjálfstraust hans.
shed	fækka	Fyrirtækið mun fækka störfum.
sheer	hrein	Hrein stærðin kom öllum á óvart.
shipping	flutningur	Flutningskostnaður jókst.
shoot	myndataka	Myndatakan endaði snemma.
shrink	minnka	Skyrtan gæti hlaupið í.
shrug	yppta öxlum	Hún yppti öxlum örlítið.
sigh	andvarpa	Hann andvarpaði af létti.
simulate	herma eftir	Hugbúnaðurinn getur hermt eftir umferð.
simulation	hermun	Hermunin spáði fyrir um flóð.
simultaneously	samtímis	Tvær viðvaranir hringdu samtímis.
sin	synd	Stolt er talið vera synd.
situated	staðsettur	Hótelið er staðsett í miðbænum.
sketch	skissa	Hún gerði fljóta skissu.
skip	sleppa	Ekki sleppa morgunmat.
slam	skella	Hann getur skellt hurðinni.
slap	slá	Ekki slá í borðið.
slavery	þrælahald	Þrælahald mótaði sögu svæðisins.
slot	tímarammi	Bókaðu tíma á netinu.
smash	mölbrjóta	Glasið brotnaði á gólfinu.
snap	brotna	Greinin brotnaði í vindinum.
soak	leggja í bleyti	Leggðu baunirnar í bleyti yfir nótt.
soar	rjúka upp	Eldsneytisverð gæti rokið upp.
socialist	sósíalískur	Flokkurinn styður sósíalíska stefnu.
sole	eini	Hann var eini eftirlifandinn.
solely	eingöngu	Ákvörðunin var eingöngu hans.
solicitor	lögfræðingur	Lögfræðingurinn útbjó samninginn.
solidarity	samstaða	Verkamenn sýndu samstöðu.
solo	sóló	Hún gaf út sólóplötu.
sound	traustur	Áætlunin er traust og raunhæf.
sovereignty	fullveldi	Sáttmálinn verndaði þjóðarfullveldi.
spam	ruslpóstur	Ruslpóstur fyllti innhólfið.
span	spanna	Brúin spannar ána.
spark	kveikja	Lítil athugasemd kveikti umræðu.
specialized	sérhæfður	Heilsugæslan veitir sérhæfða umönnun.
specification	forskrift	Hönnunin uppfyllir allar forskriftir.
specimen	sýni	Sýnið var geymt á öruggan hátt.
spectacle	sjónarspil	Skrúðgangan var lifandi sjónarspil.
spectrum	róf	Skoðanir spanna vítt svið.
spell	tímabil	Þurrkatímabilið stóð yfir í margar vikur.
sphere	svið	Stjórnmál færðust inn á menningarsviðið.
spin	snúast	Dekkin byrjuðu að snúast.
spine	hryggur	Meiðslin höfðu áhrif á hrygg hans.
spotlight	sviðsljós	Hneykslið kom honum í sviðsljósið.
spouse	maki	Maki hennar mætti við athöfnina.
spy	njósnari	Njósnarinn sendi dulkóðuð skilaboð.
squad	sveit	Björgunarsveitin kom fljótt.
squeeze	kreista	Kreistu handfangið varlega.
stab	stinga	Skýrslan lýsti stungusári.
stability	stöðugleiki	Stefnan færði stöðugleika.
stabilize	koma á stöðugleika	Lyfið hjálpaði til við að koma stöðugleika á hann.
stake	hagsmunir	Fjárfestar eiga hagsmuni hér.
standing	staða	Staða hennar í flokknum hækkaði.
stark	skarpur	Niðurstöðurnar sýndu skarpa andstæðu.
statistical	tölfræðilegur	Rannsóknin notaði tölfræðilegar aðferðir.
steer	stýra	Hann reyndi að stýra umræðunni.
stem	stilkur	Stilkurinn brotnaði í storminum.
stereotype	staðalímynd	Kvikmyndin ögraði staðalímynd.
stimulus	hvati	Pakkinn veitti efnahagslegan hvata.
stir	hræra	Hrærðu sósuna hægt.
storage	geymsla	Aðstaðan býður upp á örugga geymslu.
straightforward	einfaldur	Leiðbeiningarnar voru einfaldar.
strain	álag	Langa töfin olli álagi.
strand	þráður	Hárlokkur féll niður.
strategic	stefnumótandi	Fyrirtækið gerði stefnumótandi fjárfestingu.
strip (long narrow piece)	ræma	Klipptu mjóa pappírsræmu.
strip (remove clothes/a layer)	fjarlægja	Fjarlægðu gömlu málninguna varlega.
strive	leitast við	Þau leitast við að ná framúrskarandi árangri.
structural	burðarvirkis	Brúin er með skemmdir í burðarvirki.
stumble	hrasa	Hann hrasaði í stiganum.
stun	koma í opna skjöldu	Fréttirnar geta komið fólki í opna skjöldu.
submission	skil	Frestur til skila rann út.
subscriber	áskrifandi	Hver áskrifandi fær uppfærslur.
subscription	áskrift	Áskriftin endurnýjast sjálfkrafa.
subsidy	niðurgreiðsla	Niðurgreiðslan lækkaði eldsneytiskostnað.
substantial	töluverður	Verkefnið þarfnast töluverðs fjármagns.
substantially	verulega	Verðið hækkaði verulega.
substitute	staðgengill	Notaðu mjólk í staðinn.
substitution	útskipting	Útskiptingin breytti uppskriftinni.
subtle	hárfínn	Málverkið hefur hárfín smáatriði.
suburban	úthverfa	Þau fluttu í úthverfi.
succession	röð	Kreppan fylgdi í kjölfar röð mistaka.
successive	samfelldur	Samfelldar ríkisstjórnir hunsuðu málið.
successor	arftaki	Arftakinn mun byrja á mánudaginn.
suck	sjúga	Vélin getur sogið upp ryk.
sue	lögsækja	Hún ákvað að lögsækja fyrirtækið.
suicide	sjálfsvíg	Sjálfsvígsforvarnir þurfa viðvarandi fjármögnun.
suite	svíta	Hótelsvítan sneri að ánni.
summit	leiðtogafundur	Leiðtogar hittust á leiðtogafundinum.
superb	frábær	Frammistaðan var frábær.
superior	betri	Nýja gerðin er betri.
supervise	hafa umsjón með	Hún mun hafa umsjón með nemendunum.
supervision	eftirlit	Börn þurfa eftirlit fullorðinna.
supervisor	yfirmaður	Spyrðu yfirmann þinn fyrst.
supplement	viðbót	Skýrslan inniheldur viðbót.
supportive	styðjandi	Fjölskylda hennar var mjög styðjandi.
supposedly	að sögn	Skránni var að sögn eytt.
suppress	bæla niður	Stjórnin reyndi að bæla niður mótmæli.
supreme	æðstur	Hæstiréttur tók málið fyrir.
surge	straumhögg	Skyndilegt straumhögg skemmdi búnaðinn.
surgical	skurð	Sjúklingurinn þarf skurðaðgerð.
surplus	umframbirgðir	Vöruhúsið hefur umframbirgðir.
surrender	gefast upp	Hermennirnir samþykktu að gefast upp.
surveillance	eftirlit	Eftirlitsmyndavélar tóku upp innganginn.
suspension	bann	Bannið stóð yfir í tvær vikur.
suspicion	grunur	Hegðun hans vakti grun.
suspicious	grunsamlegur	Pakkinn leit grunsamlega út.
sustain	viðhalda	Verkefnið getur viðhaldið staðbundnum störfum.
swing	sveiflast	Hurðin byrjaði að sveiflast.
sword	sverð	Sverðið hékk á veggnum.
symbolic	táknrænn	Bendingin var táknræn.
syndrome	heilkenni	Heilkennið hefur áhrif á minnið.
synthesis	samþætting	Kaflinn býður upp á samþættingu.
systematic	kerfisbundinn	Endurskoðunin var kerfisbundin.
tactic	aðferð	Aðferðin mistókst fljótt.
tactical	taktískur	Liðið gerði taktíska breytingu.
taxpayer	skattgreiðandi	Peningar skattgreiðenda fjármögnuðu brúna.
tempt	freista	Tilboðið gæti freistað fjárfesta.
tenant	leigjandi	Leigjandinn greiddi leiguna snemma.
tender	blíður	Hún gaf blítt bros.
tenure	starfstími	Starfstími hans stóð yfir í sex ár.
terminal	banvænn	Sjúklingurinn var með banvænan sjúkdóm.
terminate	segja upp	Fyrirtækið gæti sagt upp samningnum.
terrain	landslag	Landslagið var erfitt.
terrific	frábær	Útsýnið var frábært.
testify	bera vitni	Hún samþykkti að bera vitni.
testimony	vitnisburður	Vitnisburður hans var ítarlegur.
texture	áferð	Efnið hefur grófa áferð.
thankfully	sem betur fer	Sem betur fer slasaðist enginn.
theatrical	leikræn	Ræðan hljómaði leikræn.
theology	guðfræði	Hann lærði guðfræði í háskóla.
theoretical	fræðilegur	Líkanið er eingöngu fræðilegt.
thereafter	eftir það	Eftir það breyttust reglurnar.
thereby	þar með	Breytingin dró úr kostnaði og bjargaði þar með störfum.
thoughtful	hugulsamur	Svar hennar var hugulsamt.
thought-provoking	hugvekjandi	Greinin var hugvekjandi.
thread	þráður	Þráðurinn slitnaði auðveldlega.
threshold	þröskuldur	Kosningin fór yfir þröskuldinn.
thrilled	í skýjunum	Hún var í skýjunum með fréttirnar.
thrive	blómstra	Smáfyrirtæki geta blómstrað hér.
tide	sjávarföll	Sjávarborðið hækkaði hratt.
tighten	herða	Hertu lokið vel.
timber	timbur	Húsið notar staðbundið timbur.
timely	tímabær	Viðvörunin var tímabær.
tobacco	tóbak	Tóbakssala dróst saman.
tolerance	umburðarlyndi	Stefnan hvetur til umburðarlyndis.
tolerate	liða	Við getum ekki liðið ofbeldi.
toll	tollur	Stormurinn tók mikinn toll.
top	fara fram úr	Salan gæti farið fram úr meti síðasta árs.
torture	pynting	Sáttmálinn bannar pyntingar alfarið.
