source_headword	AZ	example_AZ
applicant	müraciət edən	Namizəd yeni tərcümeyi-hal göndərdi.
appropriately	uyğun olaraq	Lütfən, müsahibə üçün uyğun şəkildə geyinin.
arrow	ox	Ox çıxışı göstərir.
artwork	sənət əsəri	Muzeydə yerli sənət əsərləri nümayiş olunurdu.
aside	kənara	O, ona yol vermək üçün kənara çəkildi.
asset	aktiv	Təcrübə dəyərli bir sərvətdir.
assign	təyin etmək	Müəllim bu gün ev tapşırığı verdi.
assistance	kömək	Lütfən, işçilərdən kömək istəyin.
assumption	fərziyyə	Bu fərziyyə səhv ola bilər.
assure	əmin etmək	Sizi əmin edirəm ki, qapı bağlıdır.
astonishing	heyrətamiz	Qayadan açılan mənzərə heyrətamiz idi.
attachment	əlavə	E-poçtda qoşma var.
auction	hərrac	Rəsm əsəri hərracda satıldı.
audio	səs	Audio yazısı aydın eşidilir.
automatic	avtomatik	Qapının avtomatik kilidi var.
automatically	avtomatik olaraq	İşıqlar avtomatik olaraq yanır.
awareness	fərqindəlik	Kampaniya ictimai məlumatlılığı artırdı.
awkward	narahat	Sükut narahat hiss edilirdi.
badge	nişan	Ziyarətçilər döş nişanı taxmalıdırlar.
balanced	balanslı	Balanslı qidalanmaya tərəvəzlər daxildir.
ballet	balet	O, məktəbdən sonra baletlə məşğul olur.
balloon	şar	Şar masanın üstündə uçurdu.
barely	çətinliklə	O, elanı güclə eşitdi.
bargain	bazarlıq	O gödəkçə həqiqətən sərfəli alış idi.
basement	zirzəmi	Qutular zirzəmidədir.
basket	səbət	O, almaları səbətə qoydu.
bat	yarasa	Yarasa mağaradan uçub çıxdı.
beneficial	faydalı	Müntəzəm idman sağlamlıq üçün faydalıdır.
beside	yanında	Lampa divanın yanında dayanır.
besides	bundan başqa	O, riyaziyyatdan başqa kimya da oxuyur.
bias	qərəz	Məqalə açıq qərəzlilik nümayiş etdirirdi.
bid	tender	Şirkət daha yüksək təklif etdi.
biological	bioloji	Bioloji test nəticəni təsdiqlədi.
blanket	ədyal	Uşaq yorğanın altında yatdı.
blow	zərbə	Güclü zərbə pəncərəni sındırdı.
bold	cəsur	Başlıqda qalın hərflərdən istifadə olunmuşdu.
bombing	bombardman	Bombardman bir neçə binaya ziyan vurdu.
booking	rezervasiya	Mən otel bronunu təsdiqlədim.
boost	təkan	Qələbə komandanın inamını artırdı.
bound	məcbur	Bağlama iplə bağlanmışdı.
brick	kərpic	Divar kərpicdən hörülüb.
briefly	qısaca	O, nahardan sonra qısaca danışdı.
broadcaster	yayımçı	Yayımçı bələdiyyə başçısından müsahibə aldı.
broadly	geniş şəkildə	İki plan ümumilikdə oxşardır.
bug	xəta	Proqram xəta səbəbindən çökdü.
cabin	kabin	Biz kiçik daxmada qaldıq.
canal	kanal	Qayıqlar kanal boyu yavaşca hərəkət edirdi.
candle	şam	Şam masanın üstündə yanırdı.
carbon	karbon	Ağaclar havadakı karbonu udur.
casual	qeyri-rəsmi	O, işə gündəlik paltar geyinmişdi.
cave	mağara	Turistlər mağaraya girdilər.
certainty	yəqinlik	Biz əminliklə bilə bilmərik.
certificate	sertifikat	O, təlim sertifikatı aldı.
challenging	çətin	Kurs çətin, lakin faydalı idi.
championship	çempionat	Komandamız çempionatın finalına çatdı.
charming	füsunkar	Köhnə küçə füsunkar görünürdü.
chase	təqib	İt topu qovdu.
cheek	yanaq	Göz yaşı onun yanağı ilə axdı.
cheer	alqış	İzdiham ucadan alqışlamağa başladı.
choir	xor	Xor gözəl oxudu.
chop	doğramaq	Soğanı xırda doğrayın.
circuit	dövrə	Qaçışçı dairəni tamamladı.
civilization	sivilizasiya	Qədim sivilizasiya bu regionu formalaşdırıb.
clarify	aydınlaşdırmaq	Zəhmət olmasa, sonuncu məqamı aydınlaşdırın.
classify	təsnif etmək	Alimlər heyvanları növlərinə görə təsnif edirlər.
clerk	katib	İşçi qəbzi çap etdi.
cliff	uçurum	Cığır uçurumun yaxınlığında bitir.
clinic	klinika	Klinika saat səkkizdə açılır.
clip	klip	O, qısqacı kağıza bərkitdi.
coincidence	təsadüf	Onunla orada qarşılaşmaq təsadüf idi.
collector	kolleksiyaçı	Kolleksiyaçı nadir sikkələr aldı.
colony	koloniya	Qarışqalar böyük bir koloniya qurdular.
colourful	rəngarəng	Bazar parlaq və rəngarəng idi.
comic	komiks	Komik səhnə bizi güldürdü.
commander	komandir	Komandir aydın əmrlər verdi.
comparative	müqayisəli	Essedə müqayisəli məlumatlardan istifadə olunub.
completion	tamamlama	Körpünün tikintisi tamamlanmaq üzrədir.
compose	tərtib etmək	O, film üçün musiqi bəstələyəcək.
composer	bəstəkar	Bəstəkar yeni bir mahnı yazdı.
compound	birləşmə	Birləşmədə iki kimyəvi maddə var.
comprehensive	hərtərəfli	Rəhbərlik hərtərəfli təlimatlar verir.
comprise	ibarət olmaq	Komanda beş üzvdən ibarətdir.
compulsory	icbari	Bu dərsdə iştirak etmək məcburidir.
concrete	konkret	Döşəmə betondan hazırlanmışdır.
confess	etiraf etmək	O, səhvini müəlliminə etiraf etdi.
confusion	qarışıqlıq	Gecikmə qarışıqlığa səbəb oldu.
consequently	nəticədə	Yağış yağdı, nəticədə matç dayandırıldı.
conservation	qoruma	Təbiəti mühafizə nadir heyvanları qoruyur.
considerable	xeyli	Təmir xeyli vaxt apardı.
considerably	xeyli dərəcədə	Bu il qiymətlər xeyli artdı.
consistently	ardıcıl olaraq	O, ardıcıl olaraq yaxşı çıxış edir.
conspiracy	sui-qəsd	Polis sui-qəsdi araşdırdı.
consult	məsləhətləşmək	Dərman qəbul etməzdən əvvəl həkiminizlə məsləhətləşin.
consultant	məsləhətçi	Məsləhətçi yeni bir strategiya təklif etdi.
consumption	istehlak	Ötən ay enerji istehlakı azaldı.
controversial	mübahisəli	Siyasət hələ də mübahisəli olaraq qalır.
controversy	mübahisə	Qərar mübahisəyə səbəb oldu.
convenience	rahatlıq	Mağaza böyük rahatlıq təklif edir.
convention	konvensiya	İllik qurultay bazar ertəsi başlayır.
conventional	ənənəvi	O, ənənəvi bir dizayn seçdi.
convey	çatdırmaq	Mesaj rəğbət ifadə edirdi.
convincing	inandırıcı	Onun izahatı inandırıcı idi.
cope	öhdəsindən gəlmək	O, stresin öhdəsindən gəlməyi öyrəndi.
corporation	korporasiya	Korporasiya yeni bir ofis açdı.
corridor	dəhliz	Dəhliz dar və sakit idi.
counter (long flat surface)	piştaxta	Açarlar mətbəx piştaxtasının üstündədir.
coverage	əhatə	Xəbərlərin işıqlandırılması bütün axşam davam etdi.
crack	çat	Divarda çat əmələ gəldi.
craft	sənətkarlıq	O, onlayn olaraq əl işləri satır.
creativity	yaradıcılıq	Yaradıcılıq problemləri həll etməyə kömək edir.
critically	tənqidi olaraq	Məqalə son dərəcə vacib idi.
cruise	kruiz	Onlar Yunanıstana kruiz sifariş etdilər.
cue	işarə	Aktyor öz işarəsini qaçırdı.
curious	maraqlı	Uşaq kosmosla maraqlanırdı.
curriculum	tədris proqramı	Məktəb öz tədris proqramını yenilədi.
cute	şirin	Küçük şirin görünürdü.
dairy	süd məhsulları	Ferma süd məhsulları istehsal edir.
dare	cürət etmək	Səni bunu sınamağa çağırıram.
darkness	qaranlıq	Otaq qaranlıqla doldu.
database	məlumat bazası	Məlumat bazası müştəri qeydlərini saxlayır.
deadline	son tarix	Son tarix cümə günüdür.
deadly	ölümcül	İlanın ölümcül zəhəri var.
dealer	diler	Maşın dileri endirim təklif etdi.
deck	göyərtə	Kreslolar terrasdadır.
defender	müdafiəçi	Müdafiəçi zərbənin qarşısını aldı.
delete	silmək	Köhnə mesajı silin.
democracy	demokratiya	Demokratiya azad seçkilərdən asılıdır.
democratic	demokratik	Səsvermə demokratik qaydalara uyğun keçdi.
demonstration	nümayiş	Tələbələr nümayişə qoşuldular.
depart	tərk etmək	Qatar günorta yola düşəcək.
dependent	asılı	Uşaq böyüklərdən asılıdır.
deposit	depozit	O, mənzil üçün beh ödədi.
depression	depressiya	Depressiya peşəkar dəstək tələb edir.
derive	çıxarmaq	Bir çox sözlər latın dilindən törəyib.
desperately	ümidsizcəsinə	Onun suya kəskin ehtiyacı var idi.
destruction	dağıntı	Fırtına genişmiqyaslı dağıntıya səbəb oldu.
determination	qətiyyət	Onun əzmkarlığı məşqçini heyran etdi.
devote	həsr etmək	O, həftəsonlarını oxumağa həsr edir.
differ	fərqlənmək	Onların fikirləri kəskin şəkildə fərqlənir.
disability	əlillik	Binada əlillik girişi var.
disabled	qeyri-aktiv	Əlil idmançı medal qazandı.
disagreement	razılaşmama	İclas fikir ayrılığı ilə başa çatdı.
disappoint	məyus etmək	Nəticə azarkeşləri məyus edə bilər.
disappointment	məyusluq	O, dərin məyusluq hiss etdi.
discourage	ruhdan salmaq	Gənc öyrənənləri həvəsdən salmayın.
disorder	pozuntu	Həkim yuxu pozuntusu diaqnozu qoydu.
distant	uzaq	Dağlar uzaq görünürdü.
distinct	fərqli	İki səs fərqlidir.
distinguish	fərqləndirmək	Bu rəngləri fərqləndirə bilərsinizmi?
distract	diqqəti yayındırmaq	Səs-küy tələbələrin diqqətini yayındıra bilər.
disturb	narahat etmək	Zəhmət olmasa, xəstəni narahat etməyin.
dive	dalış	Onlar rifin yaxınlığında dalacaqlar.
diverse	müxtəlif	Şəhərdə müxtəlif mədəniyyətlər var.
diversity	müxtəliflik	Biz mədəni müxtəlifliyi qeyd edirik.
divorce	boşanma	Boşanma hamı üçün çətin oldu.
dominant	dominant	Dominant komanda oyuna nəzarət edirdi.
donation	ianə	Xeyriyyə təşkilatı ianə aldı.
dot	nöqtə	Rəqəmdən sonra nöqtə qoyun.
downtown	şəhər mərkəzi	İşdən sonra şəhər mərkəzində görüşdük.
dramatically	kəskin şəkildə	Qiymət kəskin şəkildə düşdü.
drought	quraqlıq	Quraqlıq məhsula ziyan vurdu.
dull	darıxdırıcı	Mühazirə darıxdırıcı idi.
dump	atmaq	Bura zibil atmayın.
duration	müddət	Uçuş müddəti üç saatdır.
dynamic	dinamik	Sinif otağı dinamik hiss edilirdi.
economics	iqtisadiyyat	O, universitetdə iqtisadiyyat öyrənir.
economist	iqtisadçı	İqtisadçı artımın yavaşlayacağını proqnozlaşdırdı.
editorial	redaksiya	Baş məqalə qanunu tənqid etdi.
efficiently	səmərəli şəkildə	Komanda səmərəli işlədi.
elbow	dirsək	O, dirsəyini incitdi.
electronics	elektronika	Mağaza elektronika satır.
elegant	zərif	Don zərif görünürdü.
elementary	ibtidai	Kitab sadə qrammatikanı izah edir.
eliminate	aradan qaldırmaq	Komanda bir neçə səhvi aradan qaldırdı.
embrace	qəbul etmək	O, yeni ideyanı qəbul etdi.
emission	emissiya	Avtomobil tullantılarının səviyyəsi düşdü.
emotionally	emosional şəkildə	O, ailəsi haqqında emosional şəkildə danışdı.
empire	imperiya	İmperiya əsrlər boyu davam etdi.
enjoyable	zövqlü	Səyahət xoş keçdi.
entertaining	əyləncəli	Şou əyləncəli idi.
entrepreneur	sahibkar	Sahibkar kafe açdı.
envelope	zərf	Məktubu zərfə qoyun.
equip	təchiz etmək	Məktəb laboratoriyanı təchiz edəcək.
equivalent	ekvivalent	Bir dollar burada ekvivalent deyil.
era	dövr	Kəşf yeni bir dövrə başladı.
erupt	püskürmək	Vulkan tezliklə püskürə bilər.
essentially	əsasən	İki metod əsasən eynidir.
ethic	etika	Onun iş etikası güclüdür.
ethnic	etnik	Festival etnik ənənələri qeyd edir.
evaluation	qiymətləndirmə	Kurs yekun qiymətləndirməni ehtiva edir.
evident	aydın	Onun həyəcanı aşkar idi.
evolution	təkamül	Təkamül bir çox bioloji dəyişiklikləri izah edir.
evolve	inkişaf etmək	Dillər zamanla inkişaf edir.
exceed	aşmaq	Tələbat təklifi aşa bilər.
exception	istisna	Bir istisna var.
excessive	həddindən artıq	Həddindən artıq səs-küy qonşuları narahat edir.
exclude	xaric etmək	Siyahıya müvəqqəti işçilər daxil deyil.
exhibit	eksponat	Muzey nadir fotoşəkilləri nümayiş etdirəcək.
exit	çıxış	Çıxış səhnənin arxasındadır.
exotic	ekzotik	Mağaza ekzotik meyvələr satır.
expansion	genişlənmə	Şirkət genişlənmə planlaşdırdı.
expertise	ekspertiza	Onun təcrübəsi layihəni inkişaf etdirdi.
exploit	istismar etmək	Cinayətkarlar zəif parollardan sui-istifadə edirlər.
exposure	məruz qalma	Günəşin təsiri dərini zədələyə bilər.
extension	uzantı	Son müddətin uzadılması hamıya kömək etdi.
extensive	geniş	Kitabxananın geniş resursları var.
extensively	geniş şəkildə	Mövzu geniş şəkildə öyrənildi.
extract	çıxarış	Vanil ekstraktı ləzzət verir.
fabric	parça	Parça yumşaqdır.
fabulous	möhtəşəm	Yemək möhtəşəm idi.
failed	uğursuz	Uğursuz cəhd bizə nəsə öyrətdi.
fake	saxta	Veb sayt saxta biletlər satırdı.
fame	şöhrət	Şöhrət onun şəxsi həyatını dəyişdi.
fantasy	fantaziya	Roman bir fantaziyadır.
fare	gediş haqqı	Avtobus gediş haqqı artdı.
federal	federal	Federal hökumət maliyyələşdirməni elan etdi.
fever	qızdırma	Uşağın qızdırması var.
firefighter	yanğınsöndürən	Yanğınsöndürən iti xilas etdi.
firework	atəşfəşanlıq	Parkın üzərində fişəng partladı.
firm	qəti	Döşək bərkdir.
firmly	qətiyyətlə	O, qapını bərk bağladı.
flavour	dad	Şorbanın zəngin dadı var.
fond	mehriban	O, cazı çox sevir.
fool	axmaq	Özünü axmaq kimi aparma.
forbid	qadağan etmək	Qanun burada siqaret çəkməyi qadağan edir.
forecast	proqnoz	Proqnoza görə yağış yağacaq.
format	format	Düzgün fayl formatından istifadə edin.
formation	yaranma	Buludun formalaşması tez dəyişir.
formerly	əvvəllər	Bu bina əvvəllər məktəb olub.
fortunate	şanslı	Tez gəldiyimiz üçün şanslı idik.
forum	forum	Forumda iqlim siyasəti müzakirə olundu.
fossil	qalıq	Qalıq daşın içində tapıldı.
foundation	təməl	Evin güclü təməli var.
founder	qurucu	Qurucu qonaqları qarşıladı.
fraction	kəsr	Tələbələrin yalnız kiçik bir hissəsi gəldi.
fragment	fraqment	Yerdə şüşə parçası uzanmışdı.
framework	çərçivə	Qanun aydın bir çərçivə yaradır.
fraud	fırıldaqçılıq	Bank dələduzluq aşkar etdi.
freely	sərbəst	Uşaqlar çöldə sərbəst oynayırdılar.
frequent	tez-tez	Tez-tez verilən fasilələr diqqəti yaxşılaşdırır.
fulfil	yerinə yetirmək	Ümid edirəm ki, sözümü yerinə yetirəcəyəm.
full-time	tam ştatlı	Onun tam ştatlı işi var.
fundamentally	əsaslı şəkildə	Plan əsaslı şəkildə fərqlidir.
furious	qəzəbli	O, gecikməyə görə qəzəbli idi.
gaming	oyun	Oyun oynamaq reaksiya sürətini artıra bilər.
gay	gey	O, geylərin hüquqlarını dəstəkləyir.
gender	cins	Sorğuda cins haqqında soruşuldu.
gene	gen	Gen göz rənginə təsir edir.
genetic	genetik	Xəstəliyin genetik səbəbləri var.
genius	dahi	Gənc pianoçu dahidir.
genuine	həqiqi	Onun gülüşü səmimi görünürdü.
genuinely	həqiqətən	O, səmimi olaraq kömək etmək istəyirdi.
gesture	jest	O, mehriban bir jest etdi.
gig	qiq	Qrup şəhər mərkəzində konsert verdi.
globalization	qloballaşma	Qloballaşma yerli biznesə təsir edir.
globe	qlobus	Qlobus hər bir qitəni göstərir.
golden	qızıl	Günbatımı qızılı rəngə çaldı.
goodness	yaxşılıq	O, insanların xeyirxahlığına inanır.
gorgeous	möhtəşəm	Bağ möhtəşəm görünürdü.
governor	qubernator	Qubernator qanun layihəsini imzaladı.
graphic	qrafik	Qrafik təsvir izləyiciləri şoka saldı.
graphics	qrafika	Oyunun sadə qrafikası var.
greatly	böyük ölçüdə	Sizin məsləhətiniz xeyli kömək etdi.
greenhouse	istixana	Pomidorlar istixanada böyüyür.
grocery	baqqal	O, işdən sonra ərzaq aldı.
guideline	təlimat	Təlimat təhlükəsiz təcrübəni izah edir.
habitat	yaşayış mühiti	Meşə quşların yaşayış mühitidir.
harbour	liman	Qayıq limana daxil oldu.
headquarters	qərargah	Şirkətin baş ofisi şəhər mərkəzinə köçdü.
