source_headword	LV	example_LV
reconstruction	rekonstrukcija	Rekonstrukcija sākās pēc plūdiem.
recount1	atstāstīt	Viņa var skaidri atstāstīt notikumus.
referendum	referendums	Referendums sašķēla valsti.
reflection	pārdomas	Esejai bija nepieciešamas dziļākas pārdomas.
reform	reforma	Reforma uzlaboja sabiedriskos pakalpojumus.
refuge	patvērums	Ģimene meklēja patvērumu ārzemēs.
refusal	atteikums	Viņas atteikums pārsteidza komiteju.
regain	atgūt	Viņš smagi strādāja, lai atgūtu uzticību.
regardless	neskatoties uz to	Viņi turpināja, neskatoties uz kritiku.
regime	režīms	Režīms ierobežoja vārda brīvību.
regulator	regulators	Regulators uzlika uzņēmumam naudas sodu.
regulatory	normatīvs	Normatīvais apstiprinājums prasīja mēnešus.
rehabilitation	rehabilitācija	Rehabilitācija viņam palīdzēja atkal staigāt.
reign	valdīšana	Karaļa valdīšana ilga gadu desmitiem.
rejection	noraidījums	Noraidījums iedragāja viņas pārliecību.
relevance	nozīmīgums	Datiem ir ierobežots nozīmīgums.
reliability	uzticamība	Avārijas sistēmās svarīga ir uzticamība.
reluctant	negribīgs	Viņš negribīgi runāja.
remainder	atlikums	Atlikums nonāca labdarībai.
remains	mirstīgās atliekas	Mirstīgās atliekas tika rūpīgi izmeklētas.
remedy	tiesiskās aizsardzības līdzeklis	Likums paredz tiesiskās aizsardzības līdzekli.
reminder	atgādinājums	E-pasts bija noderīgs atgādinājums.
removal	noņemšana	Šķēršļu noņemšana palīdzēja tirdzniecībai.
render	padarīt	Kļūda padarīja līgumu par nederīgu.
renew	atjaunot	Drīz atjaunojiet savu pasi.
renowned	slavens	Viņa ir slavena ar saviem pētījumiem.
rental	noma	Nomā ir iekļauta apdrošināšana.
replacement	nomaiņa	Rezerves daļa ieradās šodien.
reportedly	kā ziņots	Kā ziņots, ministrs vakar atkāpās no amata.
representation	pārstāvniecība	Godīga pārstāvniecība joprojām ir svarīga.
reproduce	vairoties	Šie augi ātri vairojas.
reproduction	reproducēšana	Digitālā reproducēšana uzlaboja piekļuvi.
republic	republika	Republika rīkoja vēlēšanas.
resemble	līdzināties	Abi modeļi ir ļoti līdzīgi viens otram.
reside	dzīvot	Viņi dzīvo netālu no robežas.
residence	rezidence	Viņa oficiālā rezidence tiek apsargāta.
residential	dzīvojamais	Šis rajons ir galvenokārt dzīvojamais.
residue	paliekas	Tīrīšanas līdzeklis atstāja lipīgas paliekas.
resignation	atkāpšanās	Viņas atkāpšanās šokēja valdi.
resistance	pretestība	Pretestība pārmaiņām bija spēcīga.
respective	attiecīgs	Viņi atgriezās savos attiecīgajos birojos.
respectively	attiecīgi	Rezultāti bija attiecīgi 80 un 90.
restoration	restaurācija	Ēkas restaurācija prasīja gadiem ilgi.
restraint	savaldība	Policija izrādīja savaldību.
resume	atsākt	Nodarbības atsākas nākamnedēļ.
retreat	atkāpšanās	Armija sāka atkāpšanos.
retrieve	atgūt	Viņa atguva failu.
revelation	atklājums	Atklājums iedragāja viņa reputāciju.
revenge	atriebība	Viņš gribēja atriebību par apvainojumu.
reverse	atcelt	Tiesa atcēla lēmumu.
revival	atdzimšana	Pilsēta pieredzēja ekonomisko atdzimšanu.
revive	atdzīvināt	Festivāls palīdzēja atdzīvināt vietējās tradīcijas.
revolutionary	revolucionārs	Izgudrojums bija revolucionārs.
rhetoric	retorika	Viņa retorika izklausījās agresīva.
rifle	šautene	Šautene tika droši uzglabāta.
riot	nemieri	Nemieri ilga vairākas stundas.
rip	saplēst	Uzmanīgi saplēsiet papīru.
ritual	rituāls	Rituāls iezīmē ražas novākšanu.
robust	izturīgs	Sistēma ir izturīga.
rock	satricināt	Sprādziens satricināja ciematu.
rod	stienis	Aizkars karājas pie stieņa.
rotate	pagriezt	Lēnām pagrieziet rokturi.
rotation	rotācija	Augseku rotācija aizsargā augsni.
ruling	nolēmums	Tiesa pieņēma nolēmumu.
rumour	baumas	Baumas ātri izplatījās.
sack	atlaist	Valde var atlaist treneri.
sacred	svēts	Templis ir svēts.
sacrifice	upuris	Vecāki bieži nes upurus.
saint	svētais	Baznīca godina vietējo svēto.
sake	dēļ	Viņš palika viņas dēļ.
sanction	sankcija	Sankcija ietekmēja starptautisko tirdzniecību.
say	teikšana	Darbiniekiem bija teikšana grafika veidošanā.
scattered	izmētāts	Izmētāti papīri noklāja rakstāmgaldu.
sceptical	skeptisks	Viņa palika skeptiska pret apgalvojumu.
scope	apjoms	Projekta apjoms paplašinājās.
screw	skrūve	Uzmanīgi pievelciet skrūvi.
scrutiny	uzmanība	Darījums saskārās ar sabiedrības uzmanību.
seal	aizzīmogot	Pirms nosūtīšanas aizzīmogojiet aploksni.
secular	laicīgs	Skola ievēro laicīgu mācību programmu.
seemingly	šķietami	Uzdevums bija šķietami vienkāršs.
segment	segments	Pēdējais segments bija īsāks.
seize	konfiscēt	Policija konfiscēja dokumentus.
seldom	reti	Viņa reti kavē stundas.
selective	selektīvs	Programma ir ļoti selektīva.
senator	senators	Senators atbalstīja likumprojektu.
sensation	sensācija	Atklājums izraisīja sensāciju.
sensitivity	iejūtība	Šim jautājumam nepieciešama iejūtība.
sentiment	noskaņojums	Sabiedrības noskaņojums ātri mainījās.
separation	šķiršanās	Šķiršanās bija grūta.
serial	sērijas	Sērijas numurs trūkst.
settlement	izlīgums	Izlīgums izbeidza strīdu.
set-up	sagatavošana	Sagatavošana aizņēma visu rītu.
sexuality	seksualitāte	Kursā tiek apspriesta identitāte un seksualitāte.
shareholder	akcionārs	Akcionārs iztaujāja valdi.
shatter	satriekt	Ziņas satrieca viņa pārliecību.
shed	likvidēt	Uzņēmums likvidēs darbavietas.
sheer	absolūts	Absolūtais lielums pārsteidza visus.
shipping	piegāde	Piegādes izmaksas pieauga.
shoot	sesija	Fotosesija beidzās agri.
shrink	sarauties	Krekls var sarauties.
shrug	paraustīt plecus	Viņa viegli paraustīja plecus.
sigh	nopūsties	Viņš atviegloti nopūtās.
simulate	simulēt	Programmatūra var simulēt satiksmi.
simulation	simulācija	Simulācija paredzēja plūdus.
simultaneously	vienlaicīgi	Divi trauksmes signāli iezvanījās vienlaicīgi.
sin	grēks	Lepnums tiek uzskatīts par grēku.
situated	atrodas	Viesnīca atrodas pilsētas centrā.
sketch	skice	Viņa uzzīmēja ātru skici.
skip	izlaist	Neizlaidiet brokastis.
slam	aizcirst	Viņš var aizcirst durvis.
slap	uzsist	Nesitiet pa galdu.
slavery	verdzība	Verdzība veidoja reģiona vēsturi.
slot	laika logs	Rezervējiet laiku tiešsaistē.
smash	sašķīst	Glāze sašķīda uz grīdas.
snap	nolūzt	Zars nolūza vējā.
soak	mērcēt	Mērcējiet pupiņas pa nakti.
soar	strauji celties	Degvielas cenas var strauji celties.
socialist	sociālistisks	Partija atbalsta sociālistisku politiku.
sole	vienīgais	Viņš bija vienīgais izdzīvojušais.
solely	vienīgi	Lēmums bija vienīgi viņa.
solicitor	jurists	Jurists sagatavoja līgumu.
solidarity	solidaritāte	Strādnieki pauda solidaritāti.
solo	solo	Viņa izdeva solo albumu.
sound	saprātīgs	Plāns ir saprātīgs un praktisks.
sovereignty	suverenitāte	Līgums aizsargāja nacionālo suverenitāti.
spam	mēstules	Mēstules piepildīja ienākošo ziņojumu mapi.
span	stiepties pāri	Tilts stiepjas pāri upei.
spark	izraisīt	Neliela piezīme izraisīja debates.
specialized	specializēts	Klīnika sniedz specializētu aprūpi.
specification	specifikācija	Dizains atbilst katrai specifikācijai.
specimen	paraugs	Paraugs tika droši uzglabāts.
spectacle	skats	Parāde bija spilgts skats.
spectrum	spektrs	Viedokļi aptver plašu spektru.
spell	periods	Sausuma periods ilga nedēļas.
sphere	sfēra	Politika ienāca kultūras sfērā.
spin	griezties	Riteņi sāka griezties.
spine	mugurkauls	Trauma ietekmēja viņa mugurkaulu.
spotlight	uzmanības centrs	Skandāls nolika viņu uzmanības centrā.
spouse	dzīvesbiedrs	Viņas dzīvesbiedrs apmeklēja ceremoniju.
spy	spiegs	Spiegs sūtīja šifrētus ziņojumus.
squad	vienība	Glābšanas vienība ieradās ātri.
squeeze	saspiest	Saspiediet rokturi maigi.
stab	durt	Ziņojumā bija aprakstīta durta brūce.
stability	stabilitāte	Politika ienesa stabilitāti.
stabilize	stabilizēt	Zāles palīdzēja viņu stabilizēt.
stake	daļa	Investoriem šeit ir sava daļa.
standing	stāvoklis	Viņas stāvoklis partijā uzlabojās.
stark	krass	Rezultāti uzrādīja krasu kontrastu.
statistical	statistisks	Pētījumā izmantoja statistiskas metodes.
steer	virzīt	Viņš mēģināja virzīt debates.
stem	kāts	Kāts nolūza vētrā.
stereotype	stereotips	Filma apstrīdēja stereotipu.
stimulus	stimuls	Pakete sniedza ekonomisko stimulu.
stir	maisīt	Lēnām maisiet mērci.
storage	uzglabāšana	Iestāde piedāvā drošu uzglabāšanu.
straightforward	saprotams	Instrukcijas bija saprotamas.
strain	spriedze	Ilgā aizkavēšanās radīja spriedzi.
strand	šķipsna	Nokrita matu šķipsna.
strategic	stratēģisks	Uzņēmums veica stratēģisku investīciju.
strip (long narrow piece)	strēmele	Nogrieziet šauru papīra strēmeli.
strip (remove clothes/a layer)	noņemt	Uzmanīgi noņemiet veco krāsu.
strive	tiekties	Viņi tiecas uz izcilību.
structural	strukturāls	Tiltam ir strukturāli bojājumi.
stumble	paklupt	Viņš paklupa uz kāpnēm.
stun	satriekt	Ziņas var satriekt cilvēkus.
submission	iesniegšana	Iesniegšanas termiņš pagāja.
subscriber	abonents	Katrs abonents saņem atjauninājumus.
subscription	abonements	Abonements atjaunojas automātiski.
subsidy	subsīdija	Subsīdija pazemināja degvielas izmaksas.
substantial	ievērojams	Projektam nepieciešams ievērojams finansējums.
substantially	ievērojami	Cena ievērojami pieauga.
substitute	aizstājējs	Izmantojiet pienu kā aizstājēju.
substitution	aizstāšana	Aizstāšana mainīja recepti.
subtle	smalks	Gleznai ir smalkas detaļas.
suburban	piepilsētas	Viņi pārcēlās uz piepilsētas rajonu.
succession	virkne	Krīzei sekoja neveiksmju virkne.
successive	secīgs	Secīgas valdības ignorēja problēmu.
successor	pēctecis	Pēctecis sāks darbu pirmdien.
suck	sūkt	Mašīna var sūkt putekļus.
sue	iesūdzēt tiesā	Viņa nolēma iesūdzēt uzņēmumu tiesā.
suicide	pašnāvība	Pašnāvību novēršanai ir nepieciešams ilgtermiņa finansējums.
suite	luksusa numurs	No viesnīcas luksusa numura pavērās skats uz upi.
summit	samits	Līderi tikās samitā.
superb	lielisks	Priekšnesums bija lielisks.
superior	pārāks	Jaunais modelis ir pārāks.
supervise	uzraudzīt	Viņa uzraudzīs praktikantus.
supervision	uzraudzība	Bērniem ir nepieciešama pieaugušo uzraudzība.
supervisor	vadītājs	Vispirms jautājiet savam vadītājam.
supplement	pielikums	Ziņojumā ir iekļauts pielikums.
supportive	atbalstošs	Viņas ģimene bija atbalstoša.
supposedly	domājams	Fails domājams tika izdzēsts.
suppress	apspiest	Režīms mēģināja apspiest protestus.
supreme	augstākais	Augstākā tiesa izskatīja lietu.
surge	pārspriegums	Pēkšņs pārspriegums sabojāja aprīkojumu.
surgical	ķirurģisks	Pacientam nepieciešama ķirurģiska ārstēšana.
surplus	pārpalikums	Noliktavā ir pārpalikums.
surrender	padoties	Karavīri piekrita padoties.
surveillance	novērošana	Novērošanas kameras ierakstīja ieeju.
suspension	atstādināšana	Atstādināšana ilga divas nedēļas.
suspicion	aizdomas	Viņa uzvedība radīja aizdomas.
suspicious	aizdomīgs	Sūtījums izskatījās aizdomīgs.
sustain	uzturēt	Projekts var uzturēt vietējās darbavietas.
swing	šūpoties	Durvis sāka šūpoties.
sword	zobens	Zobens karājās pie sienas.
symbolic	simbolisks	Žests bija simbolisks.
syndrome	sindroms	Sindroms ietekmē atmiņu.
synthesis	sintēze	Nodaļa piedāvā sintēzi.
systematic	sistemātisks	Pārskats bija sistemātisks.
tactic	taktika	Taktika ātri izgāzās.
tactical	taktisks	Komanda veica taktisku izmaiņu.
taxpayer	nodokļu maksātājs	Nodokļu maksātāju nauda finansēja tiltu.
tempt	kārdināt	Piedāvājums var kārdināt investorus.
tenant	īrnieks	Īrnieks samaksāja īri agri.
tender	maigs	Viņa veltīja maigu smaidu.
tenure	pilnvaru termiņš	Viņa pilnvaru termiņš ilga sešus gadus.
terminal	neārstējams	Pacientam bija neārstējama slimība.
terminate	lauzt	Uzņēmums var lauzt līgumu.
terrain	reljefs	Reljefs bija sarežģīts.
terrific	lielisks	Skats bija lielisks.
testify	liecināt	Viņa piekrita liecināt.
testimony	liecība	Viņa liecība bija detalizēta.
texture	tekstūra	Audumam ir raupja tekstūra.
thankfully	par laimi	Par laimi, neviens netika ievainots.
theatrical	teatrāls	Runa izklausījās teatrāla.
theology	teoloģija	Viņš studēja teoloģiju universitātē.
theoretical	teorētisks	Modelis ir tīri teorētisks.
thereafter	pēc tam	Pēc tam noteikumi mainījās.
thereby	tādējādi	Izmaiņa samazināja izmaksas, tādējādi glābjot darbavietas.
thoughtful	pārdomāts	Viņas atbilde bija pārdomāta.
thought-provoking	pārdomas rosinošs	Raksts bija pārdomas rosinošs.
thread	diegs	Diegs viegli pārtrūka.
threshold	slieksnis	Balsojums pārkāpa slieksni.
thrilled	sajūsmā	Viņa bija sajūsmā par ziņām.
thrive	plaukt	Mazie uzņēmumi šeit var plaukt.
tide	paisums	Paisums cēlās ātri.
tighten	pievilkt	Stingri pievelciet vāku.
timber	kokmateriāli	Māja izmanto vietējos kokmateriālus.
timely	savlaicīgs	Brīdinājums bija savlaicīgs.
tobacco	tabaka	Tabakas pārdošana samazinājās.
tolerance	iecietība	Politika veicina iecietību.
tolerate	paciest	Mēs nevaram paciest vardarbību.
toll	sekas	Vētra radīja smagas sekas.
top	pārsniegt	Pārdošana var pārsniegt pagājušā gada rekordu.
torture	spīdzināšana	Līgums pilnībā aizliedz spīdzināšanu.
