source_headword	NO	example_NO
patience	en tålmodighet	Å undervise små barn krever tålmodighet.
pause	å pause	Pause videoen nå.
peer	en jevnaldrende	Gruppepress påvirket valget hans.
penalty	en straff	Spilleren fikk en straff.
perceive	å oppfatte	Folk oppfatter risiko forskjellig.
perception	en oppfatning	Hans oppfatning av fare endret seg.
permanently	permanent	Butikken stengte permanent.
pill	en pille	Ta en pille etter frokost.
pity	en synd	Det er synd.
placement	en plassering	Plasseringen av sofaen har betydning.
portion	en porsjon	Server en liten porsjon ris.
potentially	potensielt	Denne endringen er potensielt nyttig.
precede	å gå forut for	Mørke skyer går ofte forut for regn.
precious	dyrebar	Ringen er dyrebar.
precise	presis	Instruksjonene var presise.
precisely	presist	Mål avstanden presist.
predictable	forutsigbar	Slutten var forutsigbar.
preference	en preferanse	Hun uttrykte en preferanse for te.
pride	en stolthet	Han følte stolthet etter å ha fullført.
primarily	primært	Kurset er primært på nettet.
principal	en rektor	Rektoren hilste på nye studenter.
prior	forhånds-	Vi trenger forhåndsgodkjenning.
probability	en sannsynlighet	Sannsynligheten for regn er høy.
probable	sannsynlig	Regn er sannsynlig i kveld.
proceed	å fortsette	Vennligst fortsett til neste rom.
programming	en programmering	Programmering krever øvelse.
progressive	progressiv	Politikken var progressiv for sin tid.
prohibit	å forby	Reglene forbyr røyking.
promising	lovende	Resultatene ser lovende ut.
promotion	en forfremmelse	Hun fikk en forfremmelse på jobben.
prompt	rask	Det raske svaret sparte tid.
proportion	en andel	En stor andel stemte ja.
protein	et protein	Bønner inneholder protein.
protester	en demonstrant	Demonstranten holdt et skilt.
psychological	psykologisk	Ulykken forårsaket psykologisk stress.
publicity	en publisitet	Arrangementet fikk publisitet.
publishing	et forlag	Hun jobber i forlagsbransjen.
punk	en punk	Punkmusikk ble populært der.
purely	rent	Valget var rent praktisk.
pursuit	en jakt	Han fortsatte sin jakt på rettferdighet.
puzzle	et puslespill	Puslespillet tok en time.
questionnaire	et spørreskjema	Vennligst fyll ut spørreskjemaet.
racial	rase-	Rapporten diskuterte raseulikhet.
racism	en rasisme	Rasisme skader samfunn.
racist	rasistisk	Kommentaren var rasistisk.
radiation	en stråling	Stråling kan skade celler.
rail	et gelender	Hold i gelenderet i trappen.
random	tilfeldig	Datamaskinen valgte et tilfeldig tall.
rat	en rotte	En rotte løp bak søppeldunkene.
rating	en vurdering	Hotellet har en høy vurdering.
reasonably	rimelig	Rommet var rimelig rent.
rebuild	å gjenoppbygge	De vil gjenoppbygge broen.
receiver	en mottaker	Mottakeren fanget ballen.
recession	en resesjon	Resesjonen reduserte forbruket.
reckon	å regne med	Jeg regner med at toget er forsinket.
recognition	en anerkjennelse	Hun mottok anerkjennelse for arbeidet sitt.
recovery	en bedring	Bedringen tok flere uker.
recruit	å rekruttere	Selskapet vil rekruttere ingeniører.
recruitment	en rekruttering	Rekruttering begynner neste mandag.
referee	en dommer	Dommeren stoppet kampen.
refugee	en flyktning	Flyktningen fant et trygt hjem.
registration	en registrering	Registreringen stenger på fredag.
regulate	å regulere	Loven vil regulere utslipp.
reinforce	å forsterke	Ekstra bjelker forsterker taket.
relieve	å lindre	Medisin kan lindre smerte.
relieved	lettet	Hun følte seg lettet etter samtalen.
remarkable	bemerkelsesverdig	Bedringen var bemerkelsesverdig.
remarkably	bemerkelsesverdig	Han kom seg bemerkelsesverdig raskt.
reporting	en rapportering	Nøyaktig rapportering betyr noe.
resign	å si opp	Lederen vil si opp i morgen.
resolution	en oppløsning	Skjermen har høy oppløsning.
restore	å restaurere	Arbeidere restaurerer det gamle maleriet.
restrict	å begrense	Reglene begrenser parkering.
restriction	en restriksjon	Restriksjonen ender i morgen.
retail	en detaljhandel	Detaljhandelssalget økte.
retirement	en pensjonstilværelse	Hun planla pensjonstilværelsen sin nøye.
revenue	en inntekt	Billettinntektene betalte for reparasjonene.
revision	en repetisjon	Repetisjon hjalp før eksamen.
ridiculous	latterlig	Prisen var latterlig.
risky	risikabel	Planen virket risikabel.
rival	en rival	Vår rival åpnet en ny butikk.
rob	å rane	Mennene prøvde å rane banken.
robbery	et ran	Ranet skjedde om natten.
rocket	en rakett	Raketten ble skutt opp vellykket.
romance	en romanse	Romanen inkluderer en romanse.
rose	en rose	En rød rose vokste ved gjerdet.
roughly	omtrent	Omtrent tjue personer deltok.
ruin	å ødelegge	Regnet kan ødelegge pikniken.
satisfaction	en tilfredshet	Kundetilfredsheten forbedret seg.
scandal	en skandale	Skandalen skadet karrieren hans.
scare	en skrekk	Den høye lyden ga meg en skrekk.
scenario	et scenario	Det verste scenarioet er usannsynlig.
scholar	en forsker	Forskaren studerte eldgamle tekster.
scholarship	et stipend	Hun vant et stipend.
scratch	et kloremerke	Katten la igjen et kloremerke.
screening	en screening	Sykehuset tilbyr kreftscreening.
seeker	en søker	Jobbsøkeren sendte søknader.
seminar	et seminar	Seminaret starter klokken ni.
settler	en nybygger	Nybyggeren bygde en liten gård.
severely	alvorlig	Stormen skadet veiene alvorlig.
sexy	sexy	Kjolen ble ansett som sexy.
shocking	sjokkerende	Nyhetene var sjokkerende.
shore	en strand	Vi gikk langs stranden.
shortage	en mangel	Byen møtte en vannmangel.
shortly	kort tid	Bussen ankom kort tid etter middagstid.
short-term	kortsiktig	Planen har kortsiktige fordeler.
sibling	et søsken	Hvert søsken fikk en gave.
signature	en signatur	Vennligst legg til signaturen din.
significance	en betydning	Oppdagelsen har stor betydning.
skilled	faglært	Faglærte arbeidere reparerte taket.
slogan	et slagord	Kampanjen brukte et enkelt slagord.
so-called	såkalt	Den såkalte eksperten gjorde feil.
somehow	på en eller annen måte	På en eller annen måte forsvant nøklene.
sometime	en gang	Besøk oss en gang neste uke.
sophisticated	avansert	Programvaren er avansert.
spare	ekstra	Vi beholder en ekstra nøkkel.
specialize	å spesialisere seg	Leger spesialiserer seg på forskjellige felt.
specify	å spesifisere	Vennligst spesifiser ankomsttiden din.
spectacular	spektakulær	Fyrverkeriet var spektakulært.
spectator	en tilskuer	Hver tilskuer fikk et program.
speculate	å spekulere	Eksperter spekulerer på årsaken.
speculation	en spekulasjon	Artikkelen oppmuntret til spekulasjon.
spice	et krydder	Tilsett ett krydder av gangen.
spill	å søle	Ikke søl juicen.
spite	en trass	Han lyktes på tross av problemer.
spoil	å ødelegge	For mye salt kan ødelegge suppen.
spokesman	en talsmann	Talsmannen svarte på spørsmål.
spokesperson	en talsperson	Talspersonen leste en uttalelse.
spokeswoman	en talskvinne	Talskvinnen henvendte seg til pressen.
sponsorship	et sponsorat	Laget trenger sponsorat.
sporting	sports-	Byen er vert for sportsarrangementer.
stall	en bod	Markedsboden selger frukt.
stance	et standpunkt	Ministeren endret standpunktet sitt.
starve	å sulte	Uten mat kan dyr sulte.
steadily	jevnt	Selskapet vokste jevnt.
steam	en damp	Damp steg opp fra suppen.
stimulate	å stimulere	Lyse farger kan stimulere interesse.
