source_headword	NL	example_NL
upgrade	bijwerken	We hebben de software gisteravond bijgewerkt.
uphold	handhaven	Wij handhaven het oorspronkelijke besluit.
utility	de nutsvoorziening	Het appartement is inclusief alle kosten voor nutsvoorzieningen.
utilize	benutten	Het team benutte de beschikbare gegevens.
utterly	volkomen	De uitleg was volkomen verwarrend.
vacuum	het vacuüm	Het vacuüm in het leiderschap zorgde voor spanning.
vague	vaag	Zijn antwoord was vaag en zwak.
validity	de geldigheid	De studie trok de geldigheid van de test in twijfel.
vanish	verdwijnen	Het bestand verdween uit de map.
variable	de variabele	Prijs is een belangrijke variabele.
varied	gevarieerd	De cursus biedt gevarieerde opdrachten.
vein	de ader	De verpleegster vond snel een ader.
venture	de onderneming	De nieuwe onderneming trok investeerders aan.
verbal	mondeling	Ze kwamen tot een mondelinge overeenkomst.
verdict	het vonnis	De jury sprak haar vonnis uit.
verify	verifiëren	Verifieer alstublieft uw e-mailadres.
verse	het vers	Ze citeerde een vers uit het gedicht.
versus	versus	Het debat ging over privacy versus veiligheid.
vessel	het vaartuig	Het vaartuig vervoerde graan over de zee.
veteran	de veteraan	De veteraan trainde het nieuwe personeel.
viable	levensvatbaar	Het voorstel is financieel levensvatbaar.
vibrant	levendig	De stad heeft een levendige kunstscene.
vice	de ondeugd	Hebzucht was zijn grootste ondeugd.
vicious	wreed	De wrede aanval schokte de stad.
villager	de dorpsbewoner	Een dorpsbewoner bracht ons naar de rivier.
violate	overtreden	Het bedrijf overtreedt mogelijk de veiligheidsregels.
violation	de overtreding	De inspecteur rapporteerde een ernstige overtreding.
virtue	de deugd	Geduld is een belangrijke deugd.
vocal	uitgesproken	Ze was uitgesproken over de beslissing.
vow	zweren	Hij zwoer het werk af te maken.
vulnerability	de kwetsbaarheid	De audit onthulde een kwetsbaarheid in de beveiliging.
vulnerable	kwetsbaar	Kinderen zijn kwetsbaar tijdens extreme hitte.
ward	de afdeling	De patiënt verhuisde naar een andere afdeling.
warehouse	het magazijn	Het magazijn slaat reserveonderdelen op.
warfare	de oorlogsvoering	Moderne oorlogsvoering leunt op technologie.
warrant	het bevelschrift	De politie toonde een huiszoekingsbevel.
warrior	de krijger	De krijger beschermde het dorp.
weaken	verzwakken	De verwonding verzwakte zijn greep.
weave	vlechten	Ze leerde manden vlechten.
weed	het onkruid	Er groeide onkruid tussen de stenen.
well	de put	De dorpsput kwam droog te staan.
well-being	het welzijn	Slaap is van vitaal belang voor het welzijn.
whatsoever	dan ook	Hij toonde geen enkele interesse.
whereby	waardoor	De wet creëerde een systeem waardoor families in beroep konden gaan.
whilst	terwijl	Zij werkte terwijl hij rustte.
whip	wapperen	De wind kan de vlaggen doen wapperen.
wholly	geheel	De beslissing was geheel onverwacht.
widen	verbreden	De stad is van plan de weg te verbreden.
widow	de weduwe	De weduwe woont vlakbij de school.
width	de breedte	Meet de breedte van de deur.
willingness	de bereidheid	Haar bereidheid om te helpen maakte op iedereen indruk.
wipe	afvegen	Veeg het scherm af met een doekje.
wit	de gevatheid	Zijn gevatheid maakte de toespraak levendig.
withdrawal	de intrekking	De intrekking van de financiering vertraagde het project.
workout	de work-out	De work-out duurde veertig minuten.
worship	de aanbidding	Mensen verzamelden zich voor aanbidding bij zonsopgang.
worthwhile	de moeite waard	De reis was de moeite waard.
worthy	waardig	Het goede doel is ondersteuning waardig.
yell	schreeuwen	Schreeuw niet tegen het personeel.
yield	de opbrengst	De opbrengst van de boerderij is dit seizoen verbeterd.
youngster	de jongere	De jongere stelde veel vragen.
