source_headword	ES	example_ES
may modal	poder; puede que	Puedes irte ahora.
media	los medios; los medios de comunicación	Los medios contaron la historia.
medical	médico	Ella necesita ayuda médica.
medicine	la medicina; el medicamento	Toma este medicamento después del almuerzo.
memory	la memoria	Tengo buena memoria.
mention	mencionar	No menciones mi nombre.
metal	el metal	La puerta está hecha de metal.
method	el método	Este método funciona bien.
middle	el medio; la mitad	Ponte en el medio.
might modal	podría; puede que	Puede que llueva más tarde.
mind	la mente; la opinión	Cambié de opinión.
mine (belongs to me)	mío; mía	Este libro es mío.
mirror	el espejo	Mírate en el espejo.
missing	perdido; ausente	Mis llaves están perdidas.
mobile	el móvil; el celular	Mi móvil está sobre la mesa.
monkey	el mono	El mono subió al árbol.
moon	la luna	La luna está brillante.
mostly	principalmente; en su mayoría	La clase está casi siempre tranquila.
motorcycle	la motocicleta; la moto	Él va en moto.
movement	el movimiento	Vi movimiento entre los árboles.
musical	musical; el musical	Esta es una película musical.
musician	el músico; la música	El músico tocó la guitarra.
myself	yo mismo; a mí mismo	Lo hice yo mismo.
narrow	estrecho	El camino es estrecho.
national	nacional	Es una fiesta nacional.
nature	la naturaleza	Me encanta la naturaleza.
nearly	casi	Ya casi llegamos.
necessary	necesario	¿Es necesario?
neck	el cuello	Me duele el cuello.
neither	ninguno de los dos	Ninguna respuesta es correcta.
nervous	nervioso	Ella está nerviosa.
network	la red	La red no funciona.
noise	el ruido	Oí un ruido fuerte.
noisy	ruidoso	La calle es ruidosa.
none	ninguno; nada	Ninguno de ellos vino.
normal	normal	Esto es normal.
normally	normalmente	Normalmente me despierto temprano.
notice	notar; el aviso	¿Notaste el cartel?
novel	la novela	Ella escribió una novela.
nowhere	en ninguna parte; a ninguna parte	No hay dónde sentarse aquí.
nut	la nuez	La nuez es dura.
ocean	el océano	El océano es profundo.
offer	la oferta; ofrecer	Acepté la oferta.
officer	el oficial; la oficial	El oficial revisó mi boleto.
oil	el aceite; el petróleo	Añade aceite a la sartén.
onto	sobre; encima de	Ponlo sobre el estante.
opportunity	la oportunidad	Esta es una buena oportunidad.
option	la opción	Elige la mejor opción.
ordinary	ordinario; común	Fue un día común.
organization	la organización	La organización ayuda a estudiantes.
organize	organizar	Por favor, organiza los archivos.
original	original	Guarda el recibo original.
ourselves	nosotros mismos	Preparamos la cena nosotros mismos.
oven	el horno	El horno está caliente.
owner	el dueño; la dueña	El dueño abrió la tienda.
pack	empacar; la mochila	Empaca tu mochila ahora.
pain	el dolor	Siento dolor en la espalda.
painter	el pintor; la pintora	El pintor terminó la pared.
palace	el palacio	El palacio es antiguo.
pants	los pantalones	Estos pantalones son demasiado largos.
parking	el estacionamiento; el aparcamiento	Estacionar aquí es difícil.
particular	particular; específico	Necesito un libro específico.
pass	pasar; aprobar	Pásame la sal.
passenger	el pasajero; la pasajera	Cada pasajero necesita un boleto.
patient	paciente; el paciente	Sé paciente con los niños.
pattern	el patrón; el dibujo	Este patrón es simple.
peace	la paz	Todos queremos paz.
penny	el penique; la moneda	Encontré una moneda.
per	por; cada	Los boletos cuestan diez dólares por persona.
per cent	el porcentaje; por ciento	Cinco por ciento es poco.
perform	actuar; interpretar	La banda actuará esta noche.
perhaps	quizás; tal vez	Quizás ella esté en casa.
permission	el permiso	Pide permiso primero.
personality	la personalidad	Tiene una personalidad amable.
pet	la mascota	Mi mascota es un gato.
petrol	la gasolina	El coche necesita gasolina.
physical	físico	El ejercicio físico ayuda a la salud.
physics	la física	La física es difícil.
pick	elegir; recoger	Elige una tarjeta.
pilot	el piloto; la piloto	El piloto habló claramente.
planet	el planeta	La Tierra es un planeta.
plastic	el plástico; plástico	Esta botella es de plástico.
plate	el plato	Pon la comida en el plato.
platform	la plataforma; el andén	Espera en el andén dos.
pleased	contento; encantado	Estoy encantado de conocerte.
pocket	el bolsillo	El boleto está en mi bolsillo.
polite	educado; cortés	Sé educado con todos.
pollution	la contaminación	La contaminación daña el océano.
pop	el pop; popular	Me gusta la música pop.
population	la población	La población está creciendo.
position	la posición	Cambia tu posición.
possession	la posesión	Este anillo es mi posesión.
possibility	la posibilidad	Hay posibilidad de lluvia.
poster	el póster; el cartel	Pon el póster en la pared.
power	la energía; el poder	La computadora necesita energía.
predict	predecir	No podemos predecir el clima.
president	el presidente; la presidenta	El presidente dio un discurso.
prevent	prevenir	Lávate las manos para prevenir enfermedades.
print	imprimir; la impresión	Imprime el documento.
printer	la impresora	La impresora está rota.
prison	la prisión; la cárcel	Él fue a la cárcel.
prize	el premio	Ella ganó un premio.
process	el proceso; procesar	El proceso lleva tiempo.
produce	producir	Las granjas producen comida.
professional	profesional; el profesional	Ella es una bailarina profesional.
professor	el profesor; la profesora	El profesor respondió preguntas.
profile	el perfil	Actualiza tu perfil.
program	el programa	El programa empieza ahora.
progress	el progreso	Hicimos progreso hoy.
promise	prometer; la promesa	Cumple tu promesa.
pronounce	pronunciar	Por favor, pronuncia esta palabra.
protect	proteger	Protege tus ojos.
provide	proporcionar	Ellos proporcionan agua gratis.
pub	el pub; el bar	Nos encontramos en el pub.
public	público	El parque es público.
publish	publicar	Ellos publican una revista.
pull	tirar; jalar	Tira de la puerta.
purpose	el propósito; la finalidad	¿Cuál es el propósito?
push	empujar; presionar	Presiona el botón.
quality	la calidad	La calidad es alta.
quantity	la cantidad	Revisa la cantidad.
queen	la reina	La reina saludó con la mano.
quietly	en silencio; tranquilamente	Habla en voz baja.
race (competition)	la carrera	La carrera empieza pronto.
railway	el ferrocarril; la vía férrea	El ferrocarril está cerrado.
raise	levantar; aumentar	Levanta la mano.
rate	la tarifa; la tasa	La tarifa del hotel es alta.
rather	bastante; más bien	Estoy bastante cansado.
reach	alcanzar; llegar a	¿Puedes alcanzar el estante?
react	reaccionar	¿Cómo reaccionó él?
realize	darse cuenta; comprender	Me doy cuenta de mi error.
receive	recibir	¿Recibiste mi mensaje?
recent	reciente	Esta es una foto reciente.
recently	recientemente	Me mudé aquí recientemente.
reception	la recepción	La recepción es el lunes.
recipe	la receta	Esta receta es fácil.
recognize	reconocer	Reconozco esa canción.
recommend	recomendar	Recomiendo este libro.
record	el registro; grabar	Lleva un registro de los pagos.
recording	la grabación	La grabación suena clara.
recycle	reciclar	Recicla papel y plástico.
reduce	reducir	Baja el fuego.
refer	referirse; consultar	Consulta la página dos.
refuse1	negarse	Me niego a mentir.
region	la región	Esta región es fría.
regular	regular; habitual	Él es un cliente habitual.
relationship	la relación	Su relación es fuerte.
remove	quitar; retirar	Quítate los zapatos.
repair	reparar; la reparación	Repara la bicicleta hoy.
replace	reemplazar	Cambia la batería vieja.
reply	responder; la respuesta	Por favor, responde pronto.
reporter	el reportero; la reportera	El reportero tomó notas.
request	la solicitud; pedir	Hice una solicitud.
research	la investigación; investigar	Investigamos la historia local.
researcher	el investigador; la investigadora	El investigador revisó los datos.
respond	responder	Por favor, responde hoy.
response	la respuesta	Su respuesta fue rápida.
rest (remaining part)	el resto	Come el resto más tarde.
rest (sleep/relax)	descansar; el descanso	Necesitas descansar.
review	revisar; la reseña	Revisa tus apuntes esta noche.
ring1	el anillo	Ella llevaba un anillo de oro.
ring2	llamar; sonar	Llámame después del almuerzo.
rise	subir; aumentar	Los precios suben cada año.
rock (stone)	la roca; la piedra	La roca es pesada.
