simplified	UZ	example_UZ
哭	yig'lamoq	Bola nega yig'layapti?
裤子	shim	Bu shim yangi.
筷子	cho'p; ovqat cho'pi	Men cho'p bilan ovqat yeyishni bilaman.
蓝	ko'k	Osmon ko'k.
老	qari; eski	O'qituvchim qari emas.
离开	ketmoq; tark etmoq	U ertaga Pekinni tark etadi.
礼物	sovg'a	Bu siz uchun sovg'a.
历史	tarix	Men Xitoy tarixini yaxshi ko'raman.
脸	yuz	Uning yuzi juda qizil.
练习	mashq qilmoq; mashq	Iltimos, xitoycha gapirishni ko'proq mashq qiling.
辆	transport vositalari uchun hisob so'zi	Eshik oldida bitta taksi bor.
聊天	suhbatlashmoq	Men do'stim bilan suhbatlashaman.
了解	tushunmoq; bilib olmoq	Men Xitoy madaniyatini tushunmoqchiman.
邻居	qo'shni	Qo'shnim juda samimiy.
留学	chet elda o'qimoq	U Xitoyda o'qiyapti.
楼	bino; qavat	Ofis uchinchi qavatda.
绿	yashil	Bahorda daraxtlarning hammasi yashil bo'lib qoldi.
马	ot	Anavi ot juda tez yuguradi.
马上	darhol; hozir	Men darhol qaytaman.
满意	qoniqmoq	Men bu xonadan juda mamnunman.
帽子	shlyapa; qalpoq	Bu qalpoq juda chiroyli.
米	metr; guruch	Bu stol ikki metr uzun.
面包	non	Nonushtada men non yeyman.
明白	tushunmoq; aniq	Men sizning ma'nongizni tushundim.
拿	olmoq; ushlamoq	Iltimos, menga bitta kitob olib bering.
奶奶	buvi; ota tomondan buvi	Buvim musiqa tinglashni yaxshi ko'radi.
南	janub	Maktab shaharning janubida.
难	qiyin	Bu savol qiyin emas.
难过	xafa bo'lmoq	U bugun biroz xafa.
年级	sinf bosqichi	Singlim uchinchi sinfda o'qiydi.
年轻	yosh	Bu menejer juda yosh.
鸟	qush	Daraxtda bitta qush bor.
努力	tirishmoq; harakat	U juda tirishib o'qiydi.
爬山	toqqa chiqmoq	Dam olish kunlari biz toqqa chiqamiz.
盘子	likopcha	Stol ustida uchta likopcha bor.
胖	semiz	Bu it biroz semiz.
啤酒	pivo	Dadam pivo ichmaydi.
皮鞋	charm poyabzal	Bu charm poyabzal jufti qimmat.
瓶子	shisha; butilka	Shishada suv bor.
其实	haqiqatan; aslida	Aslida men pivoni yoqtirmayman.
其他	boshqa; boshqalar	Boshqa sinfdoshlar hammasi keldi.
奇怪	g'alati	Bu ovoz juda g'alati.
骑	minmoq	U har kuni ishga velosipedda boradi.
起飞	uchib ketmoq	Samolyot hozir uchib ketadi.
起来	turmoq	Iltimos, o'rningizdan turing.
清楚	aniq	Siz juda aniq gapirdingiz.
请假	ruxsat so'ramoq	U shamollagan, ruxsat so'rashi kerak.
秋	kuz	Kuzgi ob-havo juda yoqimli.
裙子	yubka	Bu yubka juda chiroyli.
然后	keyin; so'ng	Men avval ovqat yeyman, keyin uy vazifasini qilaman.
热情	samimiy; iliq	Xitoylik do'stlar juda samimiy.
认为	o'ylamoq; deb hisoblamoq	Men bu usul yaxshi deb o'ylayman.
认真	jiddiy; diqqat bilan	Iltimos, o'qituvchini diqqat bilan tinglang.
容易	oson	Bu xitoy ieroglifi yozishga oson.
如果	agar	Agar yomg'ir yog'sa, biz metroda boramiz.
伞	soyabon	Yomg'ir yog'yapti, iltimos soyabon olib keling.
上网	internetga kirmoq	Men kechqurun xaritani tekshirish uchun internetga kiraman.
声音	ovoz	Ovozingiz juda yoqimli eshitiladi.
生气	jahli chiqmoq	Jahlingiz chiqmasin, men ataylab qilmadim.
世界	dunyo	Dunyo juda katta.
试	sinamoq	Men bu charm poyabzal juftini kiyib ko'rmoqchiman.
瘦	ozg'in	U avvalgidan ozg'inroq.
叔叔	amaki; tog'a	Amakim meni mashinada maktabga olib boradi.
舒服	qulay; rohat	Bu stul juda qulay.
数学	matematika	Matematika darsi qiziqarli.
树	daraxt	Uy oldida bitta daraxt bor.
刷牙	tish yuvmoq	Men har kuni ertalab tish yuvaman.
双	juft; ikki	Men bir juft charm poyabzal sotib oldim.
水平	daraja; saviya	Uning xitoy tili darajasi yuqori.
司机	haydovchi	Haydovchi eshik oldida bizni kutyapti.
太阳	quyosh	Bugun quyosh kuchli.
特别	ayniqsa; maxsus	Bu dastur ayniqsa qiziqarli.
疼	og'rimoq	Oyog'im juda og'riyapti.
提高	oshirmoq; yaxshilamoq	Ko'p mashq xitoy tili darajasini oshiradi.
体育	jismoniy tarbiya; sport	Men jismoniy tarbiya darsini yoqtiraman.
甜	shirin	Bu ichimlik juda shirin.
条	uzun narsalar uchun hisob so'zi	Men bitta yubka sotib oldim.
同事	hamkasb	Hamkasbim juda band.
同意	rozi bo'lmoq	Men sizning qaroringizga roziman.
头发	soch	Uning sochi uzun.
突然	to'satdan	U to'satdan ketib qoldi.
图书馆	kutubxona	Kutubxona bugun ochiq emas.
腿	oyoq	Toqqa chiqqandan keyin oyoqlarim juda og'ridi.
完成	tugatmoq; yakunlamoq	Men uy vazifasini allaqachon tugatdim.
碗	kosa	Stol ustida ikkita kosa bor.
万	o'n ming	Bu shaharda o'n ming kishi bor.
忘记	unutmoq	Pasport olib kelishni unutmang.
为	uchun; sababli	Men siz uchun xursandman.
为了	uchun; maqsadida	Imtihon uchun u har kuni darslarni takrorlaydi.
位	odamlar uchun hurmatli hisob so'zi	Bu o'qituvchi juda mashhur.
文化	madaniyat	Men Xitoy madaniyatini tushunmoqchiman.
西	g'arb	Bank maktabning g'arbida.
习惯	odat; o'rganib qolmoq	Men ertalab mashq qilishga o'rganib qolganman.
洗手间	hojatxona; yuvinish xonasi	Hojatxona o'ng tomonda.
洗澡	cho'milmoq; dush qabul qilmoq	Men kechqurun dush qabul qilaman.
夏	yoz	Yozda juda issiq bo'ladi.
先	avval; birinchi	Avval ovqatlaning.
相信	ishonmoq	Men uning kelishiga ishonaman.
香蕉	banan	Men uchta banan sotib oldim.
像	o'xshamoq; kabi	Bu bulut qushga o'xshaydi.
向	tomonga; yo'nalish	Iltimos, chap tomonga yuring.
小心	ehtiyot bo'lmoq	Yomg'ir yog'yapti, yo'lda ehtiyot bo'ling.
校长	maktab direktori	Direktor ofisda.
新闻	xabar; yangilik	Dadam har kuni yangiliklar ko'radi.
新鲜	yangi; barra	Bu meva juda yangi.
信用卡	kredit karta	Kredit karta bilan to'lasam bo'ladimi?
行李箱	chamadon	Chamadonim juda og'ir.
熊猫	Xitoy ayig'i	Bolalar Xitoy ayig'ini ko'rishni yaxshi ko'radi.
需要	kerak bo'lmoq; ehtiyoj sezmoq	Menga sizning yordamingiz kerak.
选择	tanlamoq; tanlov	Qaysi ko'ylakni tanlaysiz?
要求	talab qilmoq; so'ramoq	O'qituvchi bizdan uy vazifasini diqqat bilan qilishni talab qiladi.
爷爷	bobo	Bobom har kuni parkka boradi.
一直	doimo; davomli	U sizni doimo kutyapti.
一定	albatta; aniq	Men albatta kelaman.
一共	jami	Bu kitoblar jami qancha turadi?
一会儿	biroz vaqt	Iltimos, meni biroz kuting.
一样	bir xil	Bu ikki stakan bir xil katta.
以前	ilgari; oldin	Men ilgari Pekinda yashaganman.
一般	oddiy; o'rtacha	Bu restoranning ovqati o'rtacha.
一边	bir tomondan; bir vaqtda	U musiqa tinglab, uy vazifasini qiladi.
音乐	musiqa	Men Xitoy musiqasini yaxshi ko'raman.
银行	bank	Bank katta do'kon yonida.
饮料	ichimlik	Bu ichimlik mazali.
应该	kerak; lozim	Siz ko'proq dam olishingiz kerak.
影响	ta'sir; ta'sir qilmoq	Ob-havo musobaqaga ta'sir qiladi.
用	ishlatmoq; foydalanmoq	Men uy vazifasini kompyuterda qilaman.
游戏	o'yin	Bolalar o'yin o'ynashyapti.
有名	mashhur	Bu restoran juda mashhur.
又	yana	U bugun yana kechikdi.
遇到	uchratmoq; duch kelmoq	Men ko'chada o'qituvchini uchratdim.
元	yuan; pul birligi	Bu lug'at ellik yuan turadi.
愿意	rozi bo'lmoq; xohlamoq	Qatnashishga rozimisiz?
月亮	oy	Bugun kechqurun oy yorqin.
越	qanchalik... shunchalik...	Xitoy tilini qanchalik ko'p o'rgansam, shunchalik qiziqarli bo'ladi.
站	stansiya; turmoq	U eshik oldida turibdi.
张	tekis narsalar uchun hisob so'zi	Iltimos, menga bitta xarita bering.
长	o'smoq	Bolalar tez o'sadi.
着急	xavotirlanmoq; shoshilmoq	Xavotir olmang, lift hozir keladi.
照顾	g'amxo'rlik qilmoq	U kasal buvisiga g'amxo'rlik qiladi.
照片	surat	Bu surat yaxshi ko'rinadi.
照相机	fotoapparat	Men fotoapparat bilan suratga olaman.
283:只	faqat; xolos	Men faqat bir stakan choy ichaman.
284:只	hayvonlar uchun hisob so'zi	Stol ostida bitta mushuk bor.
只有…才…	faqat... bo'lsagina...	Faqat diqqat bilan takrorlasang, imtihonda yaxshi natija qilasan.
中间	o'rtasi; orasida	Stol xonaning o'rtasida.
中文	xitoy tili	Men har kuni xitoy tilini o'rganaman.
终于	nihoyat	Nihoyat yetib keldik.
种	tur; xil	Qaysi turdagi ichimlikni yoqtirasiz?
重要	muhim	Pasport juda muhim.
周末	dam olish kunlari	Dam olish kunlari parkka borgim keladi.
主要	asosiy	Uning asosiy qiziqishi musiqa.
注意	e'tibor bermoq	Iltimos, o'qituvchini diqqat bilan tinglang.
自己	o'zi; o'zim	Men uy vazifasini o'zim qilmoqchiman.
自行车	velosiped	Velosipedim pastda.
总是	doimo	U doimo ofisga erta keladi.
嘴	og'iz	Iltimos, og'zingizni oching.
最后	oxirgi; oxirida	Oxirida hammamiz rozi bo'ldik.
最近	yaqinda; so'nggi paytlarda	So'nggi paytlarda juda bandman.
作业	uy vazifasi; ish	Men hali uy vazifasini tugatmadim.
