simplified	TE	example_TE
不愧	తగినవాడని నిరూపించుకోవడం	అతడు నిజంగానే అనుభవజ్ఞుడైన నిపుణుడని తగినవాడిగా నిలిచాడు.
不料	అనుకోకుండా	అనుకోకుండా సమావేశం అకస్మాత్తుగా రద్దయింది.
不像话	అసహ్యకరమైన; అనుచితమైన	నువ్వు అతిథులతో ఇలా ప్రవర్తించడం చాలా అనుచితంగా ఉంది.
不屑一顾	తిరస్కారంగా పట్టించుకోకపోవడం	అతడు ఈ పుకార్లను తిరస్కారంగా పట్టించుకోలేదు.
哺乳	పాలను ఇవ్వడం	తల్లి శిశువుకు పాలను ఇస్తోంది.
捕捉	పట్టుకోవడం; అందిపుచ్చుకోవడం	ఫోటోగ్రాఫర్ అద్భుతమైన క్షణాన్ని అందిపుచ్చుకున్నాడు.
补偿	పరిహారం చెల్లించడం	కంపెనీ నీ నష్టానికి పరిహారం చెల్లిస్తుంది.
补救	సరిదిద్దడం	మనం ఇంకా దీన్ని సరిదిద్దడానికి సమయం ఉంది.
补贴	సబ్సిడీ; భృతి	ప్రభుత్వం తక్కువ ఆదాయ కుటుంబాలకు సబ్సిడీలు ఇస్తుంది.
不得已	చేసే మార్గం లేక	అతడు చేసే మార్గం లేక తన ఊరును వదిలి వెళ్లాడు.
不妨	చేస్తే తప్పు లేదు	నువ్వు ముందుగా అతని వివరణ వింటే తప్పు లేదు.
不敢当	ఆ ప్రశంసకు నేను తగను	మీరు ఇలా ప్రశంసించగా, ఆ ప్రశంసకు నేను నిజంగా తగను.
不禁	తట్టుకోలేక	ఈ వార్త విన్నప్పుడు అతడు తట్టుకోలేక నవ్వాడు.
不堪	భరించలేని	ఇక్కడి శబ్దం భరించలేనిది.
不可思议	నమ్మశక్యంకాని	ఈ ఫలితం నిజంగా నమ్మశక్యంకానిది.
不免	తప్పనిసరిగా కొంత	మొదటిసారి వేదికపైకి వచ్చినప్పుడు అతనికి తప్పనిసరిగా కొంత ఆందోళన కలిగింది.
不时	అప్పుడప్పుడు	అతడు అప్పుడప్పుడు తలెత్తి గడియారం చూశాడు.
不惜	వెనుకాడక	ఒకరిని రక్షించడానికి అతడు ప్రమాదం తీసేందుకు వెనుకాడలేదు.
不相上下	సమాన స్థాయి	రెండు జట్ల బలం సమాన స్థాయిలో ఉంది.
不言而喻	చెప్పకుండానే స్పష్టమైన	నిజాయితీ ప్రాధాన్యం చెప్పకుండానే స్పష్టంగా ఉంది.
不由得	తట్టుకోలేక స్వయంగా	పాత ఫోటోను చూసి నేను తట్టుకోలేక బాల్యాన్ని గుర్తు చేసుకున్నాను.
不择手段	ఏ మార్గమైనా ఉపయోగించడం	డబ్బు సంపాదించడానికి అతడు ఏ మార్గమైనా ఉపయోగిస్తాడు.
不止	కంటే ఎక్కువ; మాత్రమే కాదు	సమావేశానికి వచ్చిన వారు వంద మందికంటే ఎక్కువ.
布告	ప్రకటన	పాఠశాల గేటు దగ్గర ఒక ప్రకటన అతికించబడింది.
布局	అమరిక; రూపకల్పన	ఈ అపార్ట్‌మెంట్ అమరిక చాలా సమంజసంగా ఉంది.
布置	అమర్చడం; కేటాయించడం	ఉపాధ్యాయుడు కొత్త హోంవర్క్ కేటాయించాడు.
步伐	అడుగుల లయ	బృందం సరిగా సరిపడిన అడుగుల లయతో ముందుకు సాగింది.
部署	మోహరించడం; అమలు కోసం ఏర్పాటు చేయడం	కంపెనీ కొత్త విక్రయ ప్రణాళికను అమలు కోసం ఏర్పాటు చేస్తోంది.
部位	భాగం	వైద్యుడు గాయపడిన భాగాన్ని పరీక్షించాడు.
才干	సామర్థ్యం; ప్రతిభ	ఆమె నిర్వహణలో చాలా ప్రతిభావంతురాలు.
裁缝	దర్జీ	ఈ దర్జీ నైపుణ్యం చాలా మంచిది.
裁判	న్యాయనిర్ణేత	న్యాయనిర్ణేత మ్యాచ్ నిలిపివేసినట్టు ప్రకటించాడు.
裁员	ఉద్యోగులను తగ్గించడం	నష్టాల కారణంగా కంపెనీ ఉద్యోగులను తగ్గించాలని నిర్ణయించింది.
财富	సంపద	జ్ఞానం కూడా ఒక రకమైన సంపద.
财务	ఆర్థిక వ్యవహారాలు	ఆర్థిక విభాగం ఖాతాలను తనిఖీ చేస్తోంది.
财政	ప్రభుత్వ ఆర్థిక వ్యవహారాలు	ఈ సంవత్సరం ప్రభుత్వ ఆదాయం కొంత పెరిగింది.
彩票	లాటరీ టికెట్	అతడు అప్పుడప్పుడు ఒక లాటరీ టికెట్ కొనుగోలు చేస్తాడు.
采购	కొనుగోలు చేయడం	కంపెనీ పరికరాలను కొనుగోలు చేయడానికి ఒకరిని పంపింది.
采集	సేకరించడం	పరిశోధకులు అడవిలో నమూనాలను సేకరించారు.
采纳	స్వీకరించడం	నాయకుడు మా సూచనను స్వీకరించాడు.
参谋	సలహాదారు; సలహా ఇవ్వడం	అతడు తరచుగా మేనేజర్‌కు సలహాదారుడిగా ఉంటాడు.
参照	ఆధారంగా చూడడం	దయచేసి ఈ ఆకృతిని ఆధారంగా తీసుకుని ఫారమ్ నింపండి.
残疾	వికలాంగత్వం	ఈ స్టేషన్ వికలాంగ ప్రయాణికులకు సహాయం అందిస్తుంది.
残酷	క్రూరమైన	యుద్ధం చాలా క్రూరమైనది.
残留	మిగిలి ఉండటం	కప్పులో ఇంకా కాఫీ వాసన మిగిలి ఉంది.
残忍	నిర్దయమైన	జంతువులను హింసించడం నిర్దయమైన ప్రవర్తన.
灿烂	ప్రకాశవంతమైన	ఆమె ప్రకాశవంతమైన చిరునవ్వు చిందించింది.
仓促	తొందరపాటుగా	ఈ నిర్ణయం చాలా తొందరపాటుగా తీసుకోబడింది.
仓库	గిడ్డంగి	సరుకు ఇప్పటికే గిడ్డంగికి చేరింది.
舱	కేబిన్	ప్రయాణికులు విమాన కేబిన్‌లోకి ప్రవేశిస్తున్నారు.
苍白	వెలవెలపోయిన	అతని ముఖం వెలవెలపోయినట్టుగా కనిపించింది.
操劳	కష్టపడి చూసుకోవడం	అమ్మ ఈ కుటుంబం కోసం ఎన్నో సంవత్సరాలు కష్టపడింది.
操练	సైనిక సాధన చేయడం	సైనికులు ప్రతి ఉదయం సాధన చేస్తారు.
操纵	నియంత్రించడం; నడపడం	ఈ యంత్రాన్ని కంప్యూటర్ నియంత్రిస్తుంది.
操作	నడపడం; ఉపయోగించడం	దయచేసి సూచనల ప్రకారం పరికరాన్ని ఉపయోగించండి.
嘈杂	గోలగా ఉన్న	స్టేషన్‌లో చాలా గోలగా ఉంది.
草案	ముసాయిదా	కమిటీ ముసాయిదాపై చర్చిస్తోంది.
草率	తొందరపాటుతో చేసిన; నిర్లక్ష్యమైన	ఇంత ముఖ్యమైన నిర్ణయాన్ని తొందరపాటుగా తీసుకోకూడదు.
侧面	పక్క వైపు	పక్క వైపు నుంచి చూస్తే ఈ భవనం ఇంకా ఎత్తుగా కనిపిస్తుంది.
测量	కొలవడం	ఇంజనీరు వంతెన పొడవును కొలుస్తున్నాడు.
策划	ప్రణాళిక చేయడం	వారు ఒక పెద్ద కార్యక్రమాన్ని ప్రణాళిక చేశారు.
策略	వ్యూహం	ఈ వ్యూహం కంపెనీ ఖర్చులను తగ్గించడానికి సహాయపడింది.
层出不穷	తరచుగా వరుసగా బయటపడటం	కొత్త సమస్యలు వరుసగా బయటపడుతూనే ఉన్నాయి.
层次	స్థాయి; నిర్మాణం	ఈ వ్యాసం నిర్మాణం చాలా స్పష్టంగా ఉంది.
差别	తేడా	రెండు పద్ధతుల మధ్య పెద్ద తేడా లేదు.
插座	విద్యుత్ సాకెట్	ఈ గదిలో విద్యుత్ సాకెట్లు సరిపోవు.
查获	గుర్తించి స్వాధీనం చేసుకోవడం	కస్టమ్స్ నకిలీ సరుకుల ఒక గుంపును స్వాధీనం చేసుకుంది.
刹那	క్షణం	క్షణంలోనే అన్ని దీపాలు ఆరిపోయాయి.
岔	చీలిపోవడం; దారి మలుపు	ముందున్న కూడలిలో కార్లు వేర్వేరు దారుల్లోకి వెళ్లాయి.
诧异	ఆశ్చర్యపోయిన	అతని నిర్ణయం అందరినీ చాలా ఆశ్చర్యపరిచింది.
柴油	డీజిల్ ఇంధనం	ఈ లారీ డీజిల్ ఇంధనాన్ని ఉపయోగిస్తుంది.
搀	ఆధరించి నడిపించడం	నర్సు వృద్ధుడిని ఆధరించి వార్డులోకి తీసుకెళ్లింది.
缠绕	చుట్టుకోవడం	లతలు కొమ్మల చుట్టూ చుట్టుకున్నాయి.
馋	తినాలని ఆశపడే	కేక్ చూసి పిల్లవాడికి తినాలని ఆశ కలిగింది.
产业	పరిశ్రమ	పర్యాటకం ఇక్కడి ముఖ్యమైన పరిశ్రమ.
阐述	వివరంగా వివరించడం	ప్రొఫెసర్ తన అభిప్రాయాన్ని వివరంగా వివరించారు.
颤抖	వణకడం	ఆమె చలితో అంతా వణికింది.
昌盛	సుభిక్షమైన	దేశం సుభిక్షంగా అభివృద్ధి చెందాలని మేము ఆశిస్తున్నాము.
偿还	తిరిగి చెల్లించడం	అతడు రుణాన్ని సమయానికి తిరిగి చెల్లించాడు.
尝试	ప్రయత్నించడం	మనం కొత్త పద్ధతిని ప్రయత్నించవచ్చు.
场合	సందర్భం	ఇలాంటి సందర్భంలో సరదాగా మాట్లాడటం తగదు.
场面	దృశ్యం; వాతావరణం	వివాహ దృశ్యం చాలా ఉత్సాహంగా ఉంది.
场所	స్థలం	ఇది ప్రజా స్థలం, దయచేసి ధూమపానం చేయవద్దు.
敞开	విప్పి తెరవడం	దయచేసి కిటికీని కొంతసేపు విప్పి తెరవండి.
倡导	ప్రోత్సహించడం; మద్దతు తెలపడం	పాఠశాల ఆరోగ్యకరమైన జీవనశైలిని ప్రోత్సహిస్తుంది.
倡议	ప్రతిపాదన; ప్రారంభ చర్య	ఈ పర్యావరణ ప్రతిపాదనకు మద్దతు లభించింది.
畅通	అడ్డంకిలేని	వర్షం ఆగిన తర్వాత రహదారి మళ్లీ అడ్డంకిలేకుండా మారింది.
畅销	బాగా అమ్ముడవడం	ఈ నవల చాలా బాగా అమ్ముడవుతోంది.
超越	అధిగమించడం	అతడు చివరకు తన స్వంత రికార్డును అధిగమించాడు.
钞票	నోటు	పర్సులో కొన్ని నోట్లు మాత్రమే మిగిలాయి.
嘲笑	ఎగతాళి చేయడం	ఇతరుల లోపాలను ఎగతాళి చేయవద్దు.
巢穴	గూడు; దాచుకునే స్థలం	వేటగాడు జంతువు గూడు కనుగొన్నాడు.
朝代	వంశం; రాజవంశ కాలం	తాంగ్ వంశం చైనా చరిత్రలో ఒక రాజవంశం.
