simplified	ES-419	example_ES-419
聊天	charlar; conversar	Charlo con un amigo.
了解	entender; conocer	Quiero entender la cultura china.
邻居	el vecino	Mi vecino es muy amable.
留学	estudiar en el extranjero	Ella estudia en China como estudiante extranjera.
楼	el edificio; el piso	La oficina está en el tercer piso.
绿	verde	En primavera los árboles se vuelven verdes.
马	el caballo	Ese caballo corre muy rápido.
马上	enseguida; inmediatamente	Volveré enseguida.
满意	satisfecho	Estoy muy satisfecho con esta habitación.
帽子	el sombrero; la gorra	Este sombrero es muy bonito.
米	el metro; el arroz	Esta mesa mide dos metros de largo.
面包	el pan	Desayuno pan.
明白	entender; claro	Entiendo lo que quieres decir.
拿	tomar; tomar; sostener	Por favor, toma un libro para mí.
奶奶	la abuela paterna; la abuela	A la abuela le gusta escuchar música.
南	el sur	La escuela está en el sur de la ciudad.
难	difícil	Esta pregunta no es difícil.
难过	triste; apenado	Ella está un poco triste hoy.
年级	el curso; el grado	Mi hermana menor está en tercer grado.
年轻	joven	Este gerente es muy joven.
鸟	el pájaro	Hay un pájaro en el árbol.
努力	esforzarse; el esfuerzo	Él estudia con mucho esfuerzo.
爬山	escalar montañas; hacer senderismo	Vamos a subir a la montaña este fin de semana.
盘子	el plato; la bandeja	Hay tres platos sobre la mesa.
胖	gordo; rellenito	Este perro está un poco gordo.
啤酒	la cerveza	Papá no bebe cerveza.
皮鞋	los zapatos de cuero	Este par de zapatos de cuero es caro.
瓶子	la botella	Hay agua en la botella.
其实	en realidad; de hecho	En realidad, no me gusta la cerveza.
其他	otro; los demás	Los otros compañeros ya han venido.
奇怪	raro; extraño	Este sonido es muy extraño.
骑	montar; ir en	Monta en bicicleta al trabajo todos los días.
起飞	despegar	El avión despegará pronto.
起来	levantarse; hacia arriba	Por favor, levántate.
清楚	claro; claramente	Hablaste muy claramente.
请假	pedir permiso; pedir días libres	Él está resfriado y necesita pedir permiso.
秋	el otoño	El clima en otoño es agradable.
裙子	la falda	Esta falda es muy bonita.
然后	luego; después	Primero como y luego hago la tarea.
热情	cálido; entusiasta	Los amigos chinos son muy cálidos.
认为	creer; considerar	Creo que este método es bueno.
认真	serio; atento	Por favor, escucha al profesor con atención.
容易	fácil	Este carácter chino es fácil de escribir.
如果	si	Si llueve, tomaremos el metro.
伞	el paraguas	Está lloviendo; por favor, trae un paraguas.
上网	conectarse a internet; navegar	Por la noche me conecto a internet para mirar el mapa.
声音	la voz; el sonido	Tu voz suena bonita.
生气	enfadado; enojarse	No te enfades; no lo hice a propósito.
世界	el mundo	El mundo es muy grande.
试	probar; intentar	Quiero probarme estos zapatos de cuero.
瘦	delgado	Él está más delgado que antes.
叔叔	el tío paterno; el tío	El tío me lleva a la escuela en coche.
舒服	cómodo; sentirse bien	Esta silla es cómoda.
数学	las matemáticas	La clase de matemáticas es interesante.
树	el árbol	Hay un árbol delante de la casa.
刷牙	cepillarse los dientes	Me cepillo los dientes todas las mañanas.
双	el par; doble	Compré un par de zapatos de cuero.
水平	el nivel	Su nivel de chino es alto.
司机	el conductor	El conductor nos espera en la puerta.
太阳	el sol	Hoy el sol es fuerte.
特别	especial; especialmente	Este programa es especialmente interesante.
疼	doler; doloroso	Me duele la pierna.
提高	mejorar; elevar	Más práctica puede mejorar el nivel de chino.
体育	el deporte; la educación física	Me gusta la clase de educación física.
甜	dulce	Esta bebida es demasiado dulce.
条	clasificador para objetos largos; artículo	Compré una falda.
同事	el colega	Mi colega está muy ocupado.
同意	estar de acuerdo; aceptar	Estoy de acuerdo con tu decisión.
头发	el pelo; el cabello	Ella tiene el pelo largo.
突然	de repente; repentino	Él se fue de repente.
图书馆	la biblioteca	La biblioteca no está abierta hoy.
腿	la pierna	Después de subir la montaña, me duelen las piernas.
完成	completar; terminar	Ya terminé la tarea.
碗	el cuenco; el bol	Hay dos cuencos sobre la mesa.
万	diez mil	Esta ciudad tiene diez mil habitantes.
忘记	olvidar	No olvides traer tu pasaporte.
为	por; para	Estoy feliz por ti.
为了	para; con el fin de	Para el examen, él repasa todos los días.
位	clasificador cortés para personas	Este profesor es muy famoso.
文化	la cultura	Quiero entender la cultura china.
西	el oeste	El banco está al oeste de la escuela.
习惯	el hábito; acostumbrarse	Estoy acostumbrado a hacer ejercicio por la mañana.
洗手间	el baño; el baño	El baño está a la derecha.
洗澡	ducharse; bañarse	Me ducho por la noche.
夏	el verano	El verano es muy caluroso.
先	primero; antes	Tú come primero.
相信	creer	Creo que él vendrá.
香蕉	el banana; la banana	Compré tres bananas.
像	parecerse; ser como	Esta nube parece un pájaro.
向	hacia; dirección	Por favor, camina hacia la izquierda.
小心	tener cuidado	Está lloviendo; ten cuidado en el camino.
校长	el director de escuela	El director está en la oficina.
新闻	las noticias	Papá ve las noticias todos los días.
新鲜	fresco	Esta fruta está muy fresca.
信用卡	la tarjeta de crédito	¿Puedo pagar con tarjeta de crédito?
行李箱	la maleta	Mi maleta pesa mucho.
熊猫	el panda	A los niños les gusta ver pandas.
需要	necesitar	Necesito tu ayuda.
选择	elegir; la elección	¿Qué camisa eliges?
要求	pedir; exigir	El profesor nos pide hacer la tarea con cuidado.
爷爷	el abuelo paterno; el abuelo	El abuelo va al parque todos los días.
一直	siempre; continuamente	Él te ha estado esperando todo el tiempo.
一定	seguramente; sin falta	Sin falta vendré.
一共	en total	¿Cuánto cuestan estos libros en total?
一会儿	un rato	Por favor, espérame un rato.
一样	igual; lo mismo	Estas dos tazas son del mismo tamaño.
以前	antes; anteriormente	Antes vivía en Pekín.
一般	normal; corriente; medio	La comida de este restaurante es normal.
一边	un lado; mientras	Él escucha música mientras hace la tarea.
音乐	la música	Me gusta la música china.
银行	el banco	El banco está al lado del supermercado.
饮料	la bebida	Esta bebida sabe bien.
应该	deber; debería	Deberías descansar más.
影响	la influencia; influir	El tiempo afectará al partido.
用	usar; utilizar	Uso la computadora para hacer la tarea.
游戏	el juego	Los niños están jugando.
有名	famoso	Este restaurante es muy famoso.
又	otra vez; de nuevo	Él volvió a llegar tarde hoy.
遇到	encontrarse con; topar con	Me encontré con el profesor en la calle.
元	el yuan; la unidad monetaria	Este diccionario cuesta cincuenta yuanes.
愿意	estar dispuesto; querer	¿Estás dispuesto a participar?
月亮	la luna	La luna está brillante esta noche.
越	cuanto más... más...	Cuanto más estudio chino, más interesante se vuelve.
站	la estación; estar de pie	Él está de pie en la puerta.
张	clasificador para objetos planos	Por favor, dame un mapa.
长	crecer	Los niños crecen rápido.
着急	preocuparse; estar ansioso	No te preocupes; el ascensor llegará pronto.
照顾	cuidar	Ella cuida a su abuela enferma.
照片	la foto; la fotografía	Esta foto se ve bien.
照相机	la cámara	Uso una cámara para tomar fotos.
283:只	solo; solamente	Solo bebo una taza de té.
284:只	clasificador para animales	Hay un gato debajo de la mesa.
只有…才…	solo si... entonces...	Solo repasando con cuidado puedes sacar buena nota en el examen.
中间	el medio; entre	La mesa está en medio de la habitación.
中文	el chino; la lengua china	Estudio chino todos los días.
终于	por fin; finalmente	Por fin llegamos.
种	el tipo; la clase	¿Qué tipo de bebida te gusta?
重要	importante	El pasaporte es muy importante.
周末	el fin de semana	Quiero ir al parque el fin de semana.
主要	principal; mayor	Su principal afición es la música.
注意	prestar atención	Por favor, presta atención al profesor.
自己	uno mismo; sí mismo	Quiero hacer la tarea yo mismo.
自行车	la bicicleta	Mi bicicleta está abajo.
总是	siempre	Él siempre llega temprano a la oficina.
嘴	la boca	Por favor, abre la boca.
最后	al final; último	Al final, todos estuvimos de acuerdo.
最近	recientemente; últimamente	Últimamente he estado ocupado.
作业	la tarea; la tarea	Todavía no he terminado la tarea.
