source_headword	DE	example_DE
comparison	der Vergleich	Dieser Vergleich ist nützlich.
competitive	wettbewerbsintensiv	Der Markt ist sehr wettbewerbsintensiv.
competitor	der Konkurrent	Unser wichtigster Konkurrent senkte die Preise.
complaint	die Beschwerde	Sie machte eine Beschwerde wegen Lärm.
complex	komplex	Die Anweisungen sind zu komplex.
concentrate	sich konzentrieren	Ich kann mich bei laufender Musik nicht konzentrieren.
conclude	abschließen	Wir schließen das Treffen jetzt ab.
conclusion	die Schlussfolgerung	Seine Schlussfolgerung schien vernünftig.
confident	zuversichtlich	Sie fühlte sich vor dem Interview zuversichtlich.
confirm	bestätigen	Bitte bestätigen Sie Ihre E-Mail-Adresse.
confuse	verwirren	Diese zwei Namen verwirren mich.
confused	verwirrt	Ich war von der Karte verwirrt.
connection	die Verbindung	Die Internetverbindung ist langsam.
consequence	die Folge	Fehlender Schlaf hat eine Folge.
consist	bestehen	Die Mahlzeit besteht aus drei Gängen.
consume	verbrauchen	Große Autos verbrauchen mehr Kraftstoff.
consumer	der Verbraucher	Der Verbraucher will klare Informationen.
contact	kontaktieren	Kontaktiere mich nach dem Mittagessen.
container	der Behälter	Gib die Suppe in einen Behälter.
content1	der Inhalt	Der Inhalt des Kurses ist nützlich.
continuous	kontinuierlich	Die Maschine machte ein kontinuierliches Geräusch.
contrast	der Kontrast	Der Kontrast zwischen ihnen ist klar.
convenient	bequem	Der Bahnhof ist sehr bequem.
convince	überzeugen	Sie überzeugte ihn, es noch einmal zu versuchen.
costume	das Kostüm	Er trug ein Piratenkostüm.
cottage	das Ferienhaus	Sie mieteten ein kleines Ferienhaus.
cotton	die Baumwolle	Dieses Hemd ist aus Baumwolle.
countryside	die Landschaft	Wir gingen durch die Landschaft.
court	das Gericht	Der Fall kam vor Gericht.
covered	bedeckt	Der Tisch war mit Papieren bedeckt.
cruel	grausam	Es war grausam zu lachen.
cultural	kulturell	Das Museum bietet kulturelle Veranstaltungen an.
currency	die Währung	Die lokale Währung ist der Euro.
current	aktuell	Die aktuelle Situation ist schwierig.
currently	derzeit	Sie studiert derzeit im Ausland.
curtain	der Vorhang	Schließ den Vorhang in der Nacht.
custom	der Brauch	Dieser Brauch ist sehr alt.
damage	der Schaden	Der Sturm verursachte schweren Schaden.
decade	das Jahrzehnt	Sie lebten dort ein Jahrzehnt lang.
decorate	dekorieren	Wir dekorieren den Raum zusammen.
define	definieren	Kannst du diesen Begriff definieren?
definite	eindeutig	Wir brauchen eine eindeutige Antwort.
definition	die Definition	Schreib die Definition in dein Heft.
deliver	liefern	Sie liefern Essen zu unserem Haus.
departure	die Abfahrt	Die Abfahrtszeit hat sich geändert.
despite	trotz	Trotz des Regens gingen wir spazieren.
destination	das Ziel	Paris war ihr endgültiges Ziel.
determine	bestimmen	Tests bestimmen dein Niveau.
determined	entschlossen	Sie war entschlossen, Erfolg zu haben.
development	die Entwicklung	Die Entwicklung der Stadt war schnell.
diagram	das Diagramm	Zeichne ein einfaches Diagramm.
diamond	der Diamant	Der Ring hatte einen kleinen Diamanten.
difficulty	die Schwierigkeit	Er hatte Schwierigkeiten, die Tür zu öffnen.
directly	direkt	Bitte sprich direkt mit mir.
dirt	der Schmutz	Seine Schuhe waren mit Schmutz bedeckt.
disadvantage	der Nachteil	Die lange Reise ist ein Nachteil.
disappointed	enttäuscht	Sie war vom Ergebnis enttäuscht.
disappointing	enttäuschend	Das Ende war enttäuschend.
discount	der Rabatt	Studierende bekommen hier einen Rabatt.
dislike	nicht mögen	Ich mag sehr laute Musik nicht.
divide	teilen	Teile den Kuchen in Stücke.
documentary	die Dokumentation	Wir sahen eine Dokumentation über den Weltraum.
donate	spenden	Viele Menschen spenden alte Kleidung.
doubt	der Zweifel	Ich habe daran keinen Zweifel.
dressed	gekleidet	Er war schwarz gekleidet.
drum	die Trommel	Die Trommel klang durch den Raum.
drunk	betrunken	Der Fahrer war betrunken.
due	fällig	Der Bericht ist morgen fällig.
dust	der Staub	Staub bedeckte die alten Bücher.
duty	die Pflicht	Es ist meine Pflicht zu helfen.
earthquake	das Erdbeben	Das Erdbeben beschädigte die Brücke.
eastern	östlich	Die östliche Küste ist windig.
economic	wirtschaftlich	Das Land hat wirtschaftliche Probleme.
economy	die Wirtschaft	Die Wirtschaft wuchs in diesem Jahr.
edge	der Rand	Bleib vom Rand weg.
editor	der Redakteur	Der Redakteur prüfte den Artikel.
educate	bilden	Schulen bilden junge Menschen.
educated	gebildet	Sie ist hochgebildet.
educational	lehrreich	Das Spiel ist lehrreich.
effective	wirksam	Dieses Medikament ist wirksam.
effectively	effektiv	Sie erklärte die Regel effektiv.
effort	die Anstrengung	Deine Anstrengung machte einen Unterschied.
election	die Wahl	Das Wahlergebnis war knapp.
element	das Element	Vertrauen ist ein wichtiges Element.
embarrassed	verlegen	Er fühlte sich nach dem Sturz verlegen.
embarrassing	peinlich	Das war ein peinlicher Fehler.
emergency	der Notfall	Rufen Sie diese Nummer im Notfall an.
emotion	das Gefühl	Angst ist ein starkes Gefühl.
employment	die Beschäftigung	Die Beschäftigung nahm diesen Monat zu.
encourage	ermutigen	Lehrer ermutigen Schüler zum Lesen.
enemy	der Feind	Die zwei Länder waren Feinde.
engaged	verlobt	Sie verlobten sich im letzten Frühling.
engineering	das Ingenieurwesen	Sie studiert Ingenieurwesen an der Universität.
entertain	unterhalten	Der Sänger wird die Gäste unterhalten.
entertainment	die Unterhaltung	Die Stadt bietet abendliche Unterhaltung.
entrance	der Eingang	Triff mich am Eingang.
entry	der Eintritt	Der Eintritt ist für Kinder frei.
environmental	umweltbezogen	Wir besprachen umweltbezogene Probleme.
episode	die Folge	Die letzte Folge war spannend.
equal	gleich	Sie erhalten gleichen Lohn.
equally	gleichmäßig	Die Arbeit wird gleichmäßig geteilt.
escape	fliehen	Die Gefangenen versuchten zu fliehen.
essential	wesentlich	Wasser ist wesentlich für das Leben.
eventually	schließlich	Schließlich fanden wir das Hotel.
examine	untersuchen	Der Arzt untersuchte meinen Arm.
exchange	der Umtausch	Wir machten im Geschäft einen Umtausch.
excitement	die Aufregung	Das Spiel war voller Aufregung.
exhibition	die Ausstellung	Die Kunstausstellung öffnet morgen.
expand	expandieren	Das Unternehmen plant zu expandieren.
expected	erwartet	Die erwarteten Kosten sind hoch.
expedition	die Expedition	Die Expedition durchquerte die Wüste.
experienced	erfahren	Sie ist eine erfahrene Krankenschwester.
explode	explodieren	Die Flasche kann bei Hitze explodieren.
explore	erkunden	Wir erkundeten die Altstadt.
explosion	die Explosion	Die Explosion zerbrach mehrere Fenster.
export	der Export	Kaffee ist ein wichtiger Export.
fairly	ziemlich	Der Test war ziemlich leicht.
familiar	vertraut	Ihr Gesicht kam mir vertraut vor.
fancy	Lust haben auf	Hast du Lust auf einen Kaffee?
fascinating	faszinierend	Die Geschichte war faszinierend.
fashionable	modisch	Diese Schuhe sind modisch.
fasten	anschnallen	Schnall deinen Sicherheitsgurt an.
favour	der Gefallen	Kannst du mir einen Gefallen tun?
fence	der Zaun	Der Zaun umgibt den Garten.
fighting	die Kämpfe	Die Kämpfe hörten im Morgengrauen auf.
file	die Datei	Speichere die Datei vor dem Schließen.
financial	finanziell	Sie braucht finanzielle Beratung.
fitness	die Fitness	Laufen verbessert deine Fitness.
fixed	fest	Der Preis ist fest.
flag	die Flagge	Die Flagge wehte über der Schule.
flood	die Überschwemmung	Die Überschwemmung beschädigte viele Häuser.
flour	das Mehl	Gib Mehl in die Schüssel.
flow	fließen	Der Fluss fließt durch die Stadt.
fold	falten	Falte das Papier in der Mitte.
folk	die Volksmusik	Volksmusik erfüllte den Saal.
force	die Kraft	Der Wind hatte große Kraft.
forever	für immer	Ich werde mich für immer daran erinnern.
frame	der Rahmen	Das Foto braucht einen Rahmen.
freeze	gefrieren	Wasser wird über Nacht gefrieren.
frequently	häufig	Er besucht seine Eltern häufig.
friendship	die Freundschaft	Ihre Freundschaft dauerte Jahre.
frighten	erschrecken	Laute Geräusche erschrecken das Baby.
frightened	verängstigt	Das Kind sah verängstigt aus.
frightening	beängstigend	Der Sturm war beängstigend.
frozen	gefroren	Der See war gefroren.
fry	braten	Brate die Zwiebeln fünf Minuten lang.
fuel	der Kraftstoff	Das Auto braucht mehr Kraftstoff.
function	die Funktion	Dieser Knopf hat eine Funktion.
fur	das Fell	Die Katze hat weiches Fell.
garage	die Garage	Das Auto steht in der Garage.
gather	sich versammeln	Wir versammelten uns um den Tisch.
generally	im Allgemeinen	Sie kommt im Allgemeinen früh an.
generation	die Generation	Jede Generation steht vor neuen Problemen.
generous	großzügig	Er ist großzügig mit seiner Zeit.
gentle	sanft	Sprich mit sanfter Stimme.
gentleman	der Herr	Der Herr öffnete die Tür.
ghost	der Geist	Die Geschichte erwähnt einen Geist.
giant	riesig	Ein riesiger Bildschirm füllte die Bühne.
glad	froh	Ich bin froh, dass du gekommen bist.
global	global	Der Klimawandel ist ein globales Thema.
glove	der Handschuh	Ich habe einen Handschuh verloren.
goods	die Waren	Die Waren kamen spät an.
grade	die Note	Sie bekam eine hohe Note.
graduate	der Absolvent	Er ist ein frischgebackener Absolvent.
grain	das Korn	Ein Reiskorn fiel herunter.
grateful	dankbar	Ich bin dankbar für deine Unterstützung.
growth	das Wachstum	Die Pflanze zeigte stetiges Wachstum.
guard	der Wachmann	Der Wachmann kontrollierte unsere Tickets.
guilty	schuldig	Er fühlte sich wegen der Lüge schuldig.
hang	aufhängen	Häng deinen Mantel hier auf.
happiness	das Glück	Geld kann kein Glück kaufen.
hardly	kaum	Ich konnte dich kaum hören.
headline	die Schlagzeile	Die Schlagzeile weckte meine Aufmerksamkeit.
heating	die Heizung	Die Heizung funktionierte nicht mehr.
heavily	stark	Es regnete die ganze Nacht stark.
helicopter	der Hubschrauber	Ein Hubschrauber landete in der Nähe.
highlight	hervorheben	Bitte hebe die Hauptidee hervor.
highly	hoch	Sie wird hoch geachtet.
hire	mieten	Wir müssen ein Auto mieten.
historic	historisch	Wir besuchten ein historisches Gebäude.
historical	geschichtlich	Sie liebt geschichtliche Romane.
honest	ehrlich	Bitte gib eine ehrliche Antwort.
horrible	schrecklich	Der Geruch war schrecklich.
horror	der Horror	Er mag Horrorfilme.
host	der Gastgeber	Der Gastgeber begrüßte jeden Gast.
